#1.2
22089	6
Name	Description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Igf2bp2	Igf2bp2	2795.203523	5.82055494029	0.16189294098	35.9531113899	4.52534085411702e-283	7.64149056626201e-279
Igf2bp3	Igf2bp3	2319.75983964	6.04751897675	0.209851663628	28.8180654478	1.27385089674727e-182	1.07551231212372e-178
H19	H19	5061.2552229	10.2564930422	0.383134725337	26.7699385202	7.23679917633698e-158	4.07335302972087e-154
Hif3a	Hif3a	2166.97471208	4.32858249204	0.166375195583	26.0169941612	3.18092815129649e-149	1.34282881906981e-145
Lin28b	Lin28b	1357.56923956	5.18730074954	0.202033188492	25.6754882119	2.19603111361427e-145	7.41643627689811e-142
H2-Q6	H2-Q6	592.135362373	-6.02378857291444	0.253008417614	-23.8086488573528	2.71735705527079e-125	6.55504160504323e-122
H2-Q8	H2-Q8	592.135362373	-6.02378857291444	0.253008417614	-23.8086488573528	2.71735705527079e-125	6.55504160504323e-122
Slco4a1	Slco4a1	3284.53209212	-3.44040855742187	0.151046635544	-22.7771280374821	7.72945468440218e-115	1.63149464751019e-111
Ank1	Ank1	1109.82671219	7.53128306069	0.341435736026	22.0576883613	8.05976726542374e-108	1.51219144493272e-104
Pqlc3	Pqlc3	1124.91367231	-3.7074851317255	0.169439431192	-21.8808874984964	3.9508005495513e-106	6.67132180797233e-103
Evl	Evl	1379.0939465	3.34903730803	0.15359327509	21.804582955	2.0991068559044e-105	3.22231985170924e-102
Cd72	Cd72	646.481626051	-3.81707812110779	0.180096371553	-21.1946420029949	1.07009321449852e-99	1.5057995016685e-96
Cd63	Cd63	6412.86069838	-2.46204872886433	0.116247869711	-21.1793019087456	1.48212482610144e-99	1.92516613950377e-96
Hnf4a	Hnf4a	745.720577137	4.35424720991	0.207156858905	21.019082993	4.38829731657204e-98	5.29291346340253e-95
Nlrc5	Nlrc5	1543.3500541	-2.92644990660287	0.139634174465	-20.9579776427265	1.58687393407845e-97	1.78639688338991e-94
Lat2	Lat2	1105.41478482	-3.13733399596852	0.150941455631	-20.785104945791	5.90350173269912e-96	6.23040814114734e-93
Nqo1	Nqo1	1016.61587233	-4.47817360225563	0.21850275226	-20.4948155386455	2.39492430942238e-93	2.37886422875919e-90
H2-K1	H2-K1	18712.9238748	-2.05152611392273	0.10359943354	-19.8024838921641	2.83370812595171e-87	2.65833307860114e-84
Nes	Nes	676.501520542	6.56712007651	0.33542261071	19.578644572	2.35195886023615e-85	2.09027249020777e-82
Ndrg1	Ndrg1	1209.8339833	-3.31061803460441	0.169818383193	-19.4950509618815	1.20934116822544e-84	1.02104674833274e-81
H2-Q5	H2-Q5	394.888887961	-5.91318614379087	0.305172939088	-19.3765088132314	1.21837384348139e-83	9.7968860576318e-81
Klf1	Klf1	710.270447245	5.89604475706	0.30443972481	19.3668706038	1.46920344580169e-83	1.1276804266276e-80
Col18a1	Col18a1	2395.42859411	3.33395897698	0.175904135415	18.9532722987	4.14958956615775e-80	3.04652040931043e-77
Ptpn3	Ptpn3	347.311187794	-4.23848392064419	0.228374417532	-18.5593639009336	6.85110358384425e-77	4.82032229653308e-74
Dnajc6	Dnajc6	745.170647626	-3.75714034716775	0.203320416284	-18.4789133124713	3.05267871706873e-76	2.0619013126569e-73
Havcr2	Havcr2	521.460041454	-3.71173249492515	0.202928254655	-18.2908609805686	9.78572171186375e-75	6.35544987794351e-72
Hvcn1	Hvcn1	1111.48680905	-2.61118102768533	0.145302116746	-17.9707019151541	3.30506467358087e-72	2.06701192881802e-69
Grap	Grap	410.220990199	4.41374329001	0.247109600459	17.8614804192	2.35314355775108e-71	1.4191136470066e-68
Tacstd2	Tacstd2	248.885730385	-4.09839049087418	0.229554691759	-17.8536559609194	2.70719588221657e-71	1.57633481610721e-68
Tanc1	Tanc1	440.666004283	-3.26876218291859	0.186492992348	-17.5275335645147	8.83182489033056e-69	4.97113983660406e-66
Cd96	Cd96	785.652627288	-3.75680830223668	0.215367441067	-17.4437151856656	3.84262593639295e-68	2.09311553425585e-65
Fam69b	Fam69b	1406.57940539	-2.56726565551079	0.147632205915	-17.3896043860543	9.89146285569879e-68	5.21960130566656e-65
Arid3a	Arid3a	2891.51894323	3.05029850576	0.175961132711	17.3350697326	2.55756712495834e-67	1.30869934763778e-64
S100a6	S100a6	671.073114045	-3.75488686678729	0.218032576833	-17.2216781608042	1.82615517165002e-66	9.06954594955357e-64
S100a4	S100a4	1379.44976418	-5.15213336727501	0.30383194927	-16.9571810326604	1.70322060641418e-64	8.21730947425996e-62
Ahrr	Ahrr	456.608809751	-4.6816534239946	0.276673102072	-16.9212452852371	3.13726417118897e-64	1.47155118874158e-61
P2rx7	P2rx7	429.208819103	3.6506584531	0.216754461042	16.8423682518	1.19362270255299e-63	5.44743593386753e-61
Gpr124	Gpr124	591.151438784	4.13784706041	0.2468199012	16.7646411019	4.42679107361546e-63	1.96712615971239e-60
Bcl2	Bcl2	2155.7403647	-2.5261714934492	0.152648260782	-16.5489700342154	1.6286512441636e-61	7.05164228434528e-59
Lgals3bp	Lgals3bp	4354.14329422	-1.94857443307281	0.117991324938	-16.5145567616001	2.88271044878009e-61	1.21693621595251e-58
Hmga2	Hmga2	9049.14481304	4.16582535093	0.253083270187	16.4602952532	7.07544890507863e-61	2.91404951734531e-58
Lair1	Lair1	511.82039857	-4.26095728003354	0.260369263798	-16.3650548374349	3.39721630153341e-60	1.36584272542127e-57
Sulf2	Sulf2	373.00583202	-4.42774276633244	0.271173087015	-16.3281054733856	6.22887579349174e-60	2.44606503834655e-57
Nxpe2	Nxpe2	401.781882175	4.37023566395	0.271090817588	16.1209284137	1.81856497996904e-58	6.9791564208539e-56
Cbr3	Cbr3	230.984977261	-7.74317711482206	0.481660716312	-16.0759988360987	3.75885608754704e-58	1.41048986431821e-55
Ermap	Ermap	1617.89363817	10.0274146247	0.624094539604	16.0671404546	4.33633608237415e-58	1.59181241493413e-55
Klk8	Klk8	1023.91502605	2.60054671051	0.16294959228	15.9592096803	2.45824488772601e-57	8.83189854768965e-55
Zcchc3	Zcchc3	1258.25174436	2.48448787268	0.155987734589	15.9274565992	4.0864386123654e-57	1.43757505017504e-54
Satb1	Satb1	2222.89142934	3.30934916039	0.209627869095	15.7867805206	3.83668354935312e-56	1.32216813090565e-53
Gzmb	Gzmb	297.206593242	-8.81106522107169	0.562667124	-15.6594633758555	2.86302712565698e-55	9.66901520876875e-53
Thbd	Thbd	525.669924427	3.25425782609	0.210832755209	15.4352573103	9.48214977177939e-54	3.13952119698562e-51
Setbp1	Setbp1	336.318683635	5.23530822023	0.339545153869	15.41859208	1.2275135212819e-53	3.98611410007041e-51
Cdkn1c	Cdkn1c	708.023905297	3.34994267071	0.217650300165	15.3913992683	1.86945391524808e-53	5.95615071941115e-51
Padi4	Padi4	1430.97715827	-3.45162316018035	0.225595340899	-15.3000640280206	7.63814516785003e-53	2.38847628341325e-50
Degs2	Degs2	476.429712392	3.18362112459	0.208110550733	15.2977401356	7.91578149711002e-53	2.43028884291272e-50
Sorcs2	Sorcs2	259.348282495	5.07437401434	0.334734714556	15.1593897904	6.56766800088097e-52	1.98038646183707e-49
Lsp1	Lsp1	3844.56347796	1.92236366479	0.127002448609	15.1364299338	9.31341133936073e-52	2.75905726099027e-49
Igf2r	Igf2r	1655.42315308	2.75411244759	0.182079529974	15.1258763024	1.09335447883085e-51	3.16087268089618e-49
Camkk1	Camkk1	479.055252984	3.34854220271	0.221388091557	15.1252137328	1.10441482987608e-51	3.16087268089618e-49
H2-D1	H2-D1	12676.9414192	-1.84232223163265	0.121961967899	-15.1057109307475	1.48496128291809e-51	4.1791760372258e-49
Cited4	Cited4	406.177295132	5.75497858348	0.381561915473	15.0826860598	2.1052684273455e-51	5.82779715805839e-49
