TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PI3K	PI3K/Akt/mTOR signaling pathway	0.233569365373316	-1.4542761780092	92	76	0.23030303030303	330	416	73699,22059,18707,12443,26408,73181,16331,13685,18019,14936,19696,30955,320207,108067,72508,18018,56637,12387,16193,16334,16333,29869,75669,74769,11651,12575,19698,11652,16175,18037,18035,17246,218268,19744,16001,18710,56458,18033,13682,224045,18034,16176,18036,22341,18021,64930,15251,13681,22390,16337,18708,18569,19053,12675,16002,12576,16150,17932,209354,11835,217715,19697,71742,56716,23797,16004,19052,19211,22339,109880,54446,18607,18706,232493,16000,13684	Ppp2r1b,Trp53,Pik3cd,Ccnd1,Map3k5,Nfatc4,Inpp5d,Eif4ebp1,Nfatc2,Gys1,Rel,Pik3cg,Pik3r5,Eif2b3,Rps6kb1,Nfatc1,Gsk3b,Ctnnb1,Il6,Ins2,Ins1,Ulk2,Pik3r4,Pik3cb,Akt1,Cdkn1a,Relb,Akt2,Il1a,Nfkbie,Nfkbia,Mdm2,Eif4e1b,Rheb,Igf1r,Pik3r3,Foxo1,Nfkb1,Eif4a2,Eif2b5,Nfkb2,Il1b,Nfkbib,Vegfc,Nfatc3,Tsc1,Hif1a,Eif4a1,Wee1,Insr,Pik3r1,Pdcd4,Ppp2cb,Chuk,Igf2,Cdkn1b,Ikbkb,Myt1,Eif2b1,Ar,Eif2b2,Rela,Ulk3,Mlst8,Akt3,Igf2r,Ppp2ca,Pten,Vegfa,Braf,Nfat5,Pdpk1,Pik3ca,Gys2,Igf1,Eif4e
PPAR	PPAR (Peroxisome proliferator-activated receptor) signaling pathway	0.246217699720684	-1.40153917618027	45	38	0.115151515151515	330	416	104086,11450,19015,18830,20411,14077,11806,11832,26457,56473,11770,20280,17436,11430,13122,22190,57875,26569,15360,16956,13124,14081,18534,11363,22227,11364,66113,228026,19016,12894,20181,12896,19013,74147,12491,11807,14626,20249	Cyp27a1,Adipoq,Ppard,Pltp,Sorbs1,Fabp3,Apoa1,Aqp7,Slc27a1,Fads2,Fabp4,Scp2,Me1,Acox1,Cyp7a1,Ubc,Angptl4,Slc27a4,Hmgcs2,Lpl,Cyp8b1,Acsl1,Pck1,Acadl,Ucp1,Acadm,Apoa5,Pdk1,Pparg,Cpt1a,Rxra,Cpt2,Ppara,Ehhadh,Cd36,Apoa2,Gk2,Scd1
FAOmega3And6Unsaturated	Omega-3 and omega-6 unsaturated fatty acids biosynthesis pathway	0.369228339345381	-0.996340020508938	15	13	0.0393939393939394	330	416	76267,68801,54326,14081,18783,18784,50790,26897,171210,56473,74205,53357,11430	Fads1,Elovl5,Elovl2,Acsl1,Pla2g4a,Pla2g5,Acsl4,Acot1,Acot2,Fads2,Acsl3,Pla2g6,Acox1
SP	Sphingolipids metabolism pathway	0.422863233319142	-0.860706477703476	24	20	0.0606060606060606	330	416	22234,76893,20773,208449,268656,11886,19012,241447,22239,74442,67916,71949,93898,223753,70750,67260,545975,20597,56632,70059	Ugcg,Cers2,Sptlc2,Sgms1,Sptlc1,Asah1,Plpp1,Cers6,Ugt8a,Sgms2,Plpp3,Cers5,Cers1,Cerk,Kdsr,Cers4,Cers3,Smpd1,Sphk2,Degs2
TLR4	TLR4 (Toll-like receptor 4) signaling pathway	0.462717506264608	-0.770638548763065	67	54	0.163636363636364	330	416	21929,26419,54123,56480,26413,26416,21898,16476,225471,19696,20304,56489,26399,73914,26396,15962,26410,26409,16193,19698,19094,26398,12370,12475,26400,18037,18035,16175,16159,22329,15977,14082,66513,18036,20750,29857,16176,18034,18033,19225,68652,16150,14281,12675,19697,26420,18126,26397,27056,22031,15894,26415,266632,17087	Tnfaip3,Mapk8,Irf7,Tbk1,Mapk1,Mapk14,Tlr4,Jun,Ticam2,Rel,Ccl5,Ikbke,Map2k6,Irak3,Map2k2,Ifna1,Map3k8,Map3k7,Il6,Relb,Mapk11,Map2k4,Casp8,Cd14,Map2k7,Nfkbie,Nfkbia,Il1a,Il12a,Vcam1,Ifnb1,Fadd,Tab1,Nfkbib,Spp1,Mapk12,Il1b,Nfkb2,Nfkb1,Ptgs2,Tab2,Ikbkb,Fos,Chuk,Rela,Mapk9,Nos2,Map2k3,Irf5,Traf3,Icam1,Mapk13,Irak4,Ly96
Apoptosis	Apoptosis signaling pathway	0.65442383101141	-0.424000077774439	74	58	0.175757575757576	330	416	266632,26926,12633,12333,18706,23797,108960,19697,12048,16150,18049,12675,18708,19087,19085,18036,18034,21937,18033,22030,18710,16187,12122,12043,12367,14082,13063,12983,12370,18035,18037,12369,21933,53859,16177,16175,19698,12364,11652,22035,14103,18211,19055,74769,11651,19084,14102,11796,30955,320207,12368,19696,73914,18749,11783,19088,18707,22059	Irak4,Aifm1,Cflar,Capn1,Pik3ca,Akt3,Irak2,Rela,Bcl2l1,Ikbkb,Ngf,Chuk,Pik3r1,Prkar2a,Prkar1b,Nfkbib,Nfkb2,Tnfrsf1a,Nfkb1,Traf2,Pik3r3,Il3,Bid,Bcl2,Casp3,Fadd,Cycs,Csf2rb,Casp8,Nfkbia,Nfkbie,Casp7,Tnfrsf10b,Map3k14,Il1r1,Il1a,Relb,Casp12,Akt2,Tnfsf10,Fasl,Ntrk1,Ppp3ca,Pik3cb,Akt1,Prkar1a,Fas,Birc3,Pik3cg,Pik3r5,Casp6,Rel,Irak3,Prkacb,Apaf1,Prkar2b,Pik3cd,Trp53
FAOmega9AndOthersUnsaturated	Omega-9 and other unsaturated fatty acids biosynthesis pathway	0.676218505579111	-0.391239022062545	14	11	0.0333333333333333	330	416	76267,68801,26897,171210,54326,14081,20250,56473,74205,12686,50790	Fads1,Elovl5,Acot1,Acot2,Elovl2,Acsl1,Scd2,Fads2,Acsl3,Elovl3,Acsl4
CellCycle	Cell cycle signaling pathway	0.707896451463567	-0.345457450979684	95	74	0.224242424242424	330	416	56452,12579,22642,18393,22390,19651,26428,12914,12576,12427,12566,52206,19645,17218,12447,12571,21803,13559,12578,17127,211586,12545,50883,18392,68999,17219,21402,56317,19650,104394,12544,23834,11350,20842,18817,17120,13006,17215,17220,12443,69010,17869,22059,13557,13555,107995,19357,12534,17126,66671,12567,22137,268930,12580,140557,12442,50878,18538,17246,27401,242705,56637,12531,13197,21781,56150,12237,12577,12235,12575,17128,56371,15182,218294	Orc6,Cdkn2b,Zbtb17,Orc2,Wee1,Rbl2,Orc4,Crebbp,Cdkn1b,Ccna1,Cdk2,Anapc4,Rb1,Mcm5,Ccne1,Cdk6,Tgfb1,E2f5,Cdkn2a,Smad3,Tfdp2,Cdc7,Chek2,Orc1,Anapc10,Mcm6,Skp1,Anapc7,Rbl1,E2f4,Cdc45,Cdc6,Abl1,Stag1,Plk1,Mad1l1,Smc3,Mcm3,Mcm7,Ccnd1,Anapc13,Myc,Trp53,E2f3,E2f1,Cdc20,Rad21,Cdk1,Smad2,Ccnh,Cdk4,Ttk,Pkmyt1,Cdkn2c,Smc1b,Ccnb2,Stag3,Pcna,Mdm2,Skp2,E2f2,Gsk3b,Cdc25b,Gadd45a,Tfdp1,Mad2l1,Bub3,Cdkn1c,Bub1,Cdkn1a,Smad4,Fzr1,Hdac2,Cdc14b
FAEicosanoids	Arachidonic acid metabolism pathway	0.721410766487546	-0.326546586188876	9	7	0.0212121212121212	330	416	19225,19224,11689,64292,18784,53357,18783	Ptgs2,Ptgs1,Alox5,Ptges,Pla2g5,Pla2g6,Pla2g4a
ST	Sterols biosynthesis pathway	0.721410766487546	-0.326546586188876	9	7	0.0212121212121212	330	416	74754,223920,20775,20652,15357,235293,12642	Dhcr24,Soat2,Sqle,Soat1,Hmgcr,Sc5d,Ch25h
FAEicosanoidsCYP	Arachidonic acid metabolism via CYP (Cytochromoe P450) pathway	0.821668439038671	-0.196418324130747	15	11	0.0333333333333333	330	416	13095,13097,13850,13109,72054,13096,13098,277753,13099,72082,226143	Cyp2c29,Cyp2c38,Ephx2,Cyp2j5,Cyp4f18,Cyp2c37,Cyp2c39,Cyp4a12a,Cyp2c40,Cyp2c55,Cyp2c23
FAEicosanoidsLOX	Arachidonic acid metabolism via LOX (Lipooxygenase) pathway	0.905185501537246	-0.0996153822122215	20	14	0.0424242424242424	330	416	11687,23887,13479,72054,74147,11430,277753,67103,319446,11684,11689,15446,16993,93732	Alox15,Ggt5,Dpep1,Cyp4f18,Ehhadh,Acox1,Cyp4a12a,Ptgr1,Dpep2,Alox12,Alox5,Hpgd,Lta4h,Acox2
GP	Glycerolipids/Glycerophospholipids metabolism pathway	0.926199905698845	-0.076665186750601	19	13	0.0393939393939394	330	416	68262,13026,18618,320951,212862,75320,27388,18778,19012,74596,18805,104418,14732	Agpat4,Pcyt1a,Pemt,Pisd,Chpt1,Etnk1,Ptdss2,Pla2g1b,Plpp1,Cds1,Pld1,Dgkz,Gpam
FAEicosanoidsCOX	Arachidonic acid metabolism via COX (Cyclooxygenase) pathway	0.926199905698845	-0.076665186750601	19	13	0.0393939393939394	330	416	19225,74147,72054,21391,64292,67103,11430,277753,19223,19224,93732,18783,15446	Ptgs2,Ehhadh,Cyp4f18,Tbxas1,Ptges,Ptgr1,Acox1,Cyp4a12a,Ptgis,Ptgs1,Acox2,Pla2g4a,Hpgd
