TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00109	TYRKINASE	1.02499014776549e-05	-11.4882424643622	97	90	0.0187265917602996	4806	6344	13836,14159,21687,13848,59125,381983,12229,13867,17005,16885,234878,26404,13649,20779,13846,14302,230661,18211,26409,12169,26403,13838,14191,65964,22637,13841,11302,16001,230735,16453,21682,14186,13869,22174,16452,71461,14360,243659,19882,71751,14183,83813,13845,13837,18212,17289,11352,231876,17295,12143,14184,14083,20187,338372,13866,18198,26362,26563,18213,270190,13835,12305,17179,14182,13840,23920,18214,59126,17096,26564,54721,16886,19886,51789,22165,12988,14158,16451,19713,13844,11350,20963,13842,16337,22612,19229,15162,11682,13839,16428	Epha2,Fes,Tek,Ephb6,Nek7,Lmtk3,Btk,Erbb3,Ltk,Limk1,Map3k21,Map3k12,Egfr,Src,Ephb4,Frk,Tesk2,Ntrk1,Map3k7,Bmx,Map3k11,Epha4,Fgr,Map3k20,Zap70,Epha7,Aatk,Igf1r,Epha10,Jak3,Tec,Fgfr4,Erbb4,Tyro3,Jak2,Ptk7,Fyn,Styk1,Mst1r,Map3k13,Fgfr2,Tnk1,Ephb3,Epha3,Ntrk2,Mertk,Abl2,Lmtk2,Met,Blk,Fgfr3,Ptk2,Ryk,Map3k9,Erbb2,Musk,Axl,Ror1,Ntrk3,Ephb1,Epha1,Ddr1,Matk,Fgfr1,Epha6,Insrr,Ddr2,Nek6,Lyn,Ror2,Tyk2,Limk2,Ros1,Tnk2,Txk,Csk,Fer,Jak1,Ret,Ephb2,Abl1,Syk,Epha8,Insr,Yes1,Ptk2b,Hck,Alk,Epha5,Itk
PR00249	GPCRSECRETIN	1.44428556539105e-05	-11.1453106840854	40	40	0.00832292967124428	4806	6344	26364,107831,215798,319387,99633,382045,11517,78249,77596,19228,330814,107934,230775,12921,239853,54598,12614,381628,224792,14527,22355,213527,93896,381853,170757,52614,53883,319229,12922,14602,13733,243277,210933,22354,237175,435529,14766,54672,14652,12311	Adgre5,Adgrb1,Adgrg6,Adgrl3,Adgrl2,Adgrg5,Adcyap1r1,Adgrf4,Adgrf1,Pth1r,Adgrl1,Celsr3,Adgrb2,Crhr1,Adgrg7,Calcrl,Celsr1,Adgrf3,Adgrf5,Gcgr,Vipr2,Pth2r,Glp2r,Gipr,Adgrl4,Adgre4,Celsr2,Sctr,Crhr2,Ghrhr,Adgre1,Adgrd1,Adgrb3,Vipr1,Adgrg2,Adgrf2,Adgrg1,Adgrg3,Glp1r,Calcr
PR00205	CADHERIN	3.72077906854649e-05	-10.1989923915833	116	105	0.0218476903870162	4806	6344	270120,93703,93875,320873,192163,93710,12560,93717,93704,13506,211924,16769,245827,12565,93702,93877,93888,14107,93891,219228,65945,93715,211712,116731,23836,381409,12562,12942,353236,93705,93873,11994,93699,18526,93879,12939,68764,93874,353235,219257,107934,54216,93714,353234,93872,320865,12943,12563,329628,104010,93713,12558,12564,93700,93881,12552,225256,268663,93880,192161,93701,93892,75599,13507,353237,93878,215654,93716,93722,53883,93724,93876,53601,64085,227485,13512,12936,93723,12554,93885,93893,13505,233651,93890,170677,12557,22295,73173,192164,12550,245578,232370,93708,12561,12941,93884,12555,93706,18530,12614,93889,93883,13510,241201,93711	Fat3,Pcdhgb6,Pcdhb4,Cdh10,Pcdha3,Pcdhga2,Cdh3,Pcdhga9,Pcdhgb7,Dsc2,Dsg1c,Dsg4,Fat2,Cdh9,Pcdhgb5,Pcdhb6,Pcdhb17,Fat1,Pcdhb20,Pcdh17,Clstn1,Pcdhga7,Pcdh9,Pcdha1,Cdh20,Cdh26,Cdh5,Pcdha11,Pcdhac1,Pcdhgb8,Pcdhb2,Pcdh15,Pcdhgb1,Pcdh10,Pcdhb8,Pcdha7,Cdhr3,Pcdhb3,Pcdha8,Pcdh20,Celsr3,Pcdh7,Pcdhga6,Pcdha2,Pcdhb1,Cdh18,Pcdha10,Cdh6,Fat4,Cdh22,Pcdhga5,Cdh2,Cdh8,Pcdhgb2,Pcdhb10,Cdh11,Dsg1b,Cdhr2,Pcdhb9,Pcdha9,Pcdhgb4,Pcdhb21,Pcdh1,Dsc3,Pcdhac2,Pcdhb7,Cdh12,Pcdhga8,Pcdhga10,Celsr2,Pcdhga12,Pcdhb5,Pcdh12,Clstn2,Cdh19,Dsg3,Pcdha4,Pcdhga11,Cdh13,Pcdhb14,Pcdhb22,Dsc1,Dchs1,Pcdhb19,Cdhr1,Cdh17,Cdh23,Pcdh18,Pcdha12,Cdh1,Pcdh11x,Clstn3,Pcdhgc5,Cdh4,Pcdha5,Pcdhb13,Cdh15,Pcdhgc3,Pcdh8,Celsr1,Pcdhb18,Pcdhb12,Dsg1a,Cdh7,Pcdhga3
PR00452	SH3DOMAIN	0.000273766561054523	-8.20323478166061	87	79	0.0164377861007074	4806	6344	20411,56324,20740,329416,18803,12927,13043,338372,218038,12229,66938,12143,52906,237611,259302,71602,21981,20408,54126,14302,13644,71520,16443,12928,269016,20779,27059,17444,17970,234878,19200,231760,22325,20405,20840,75739,329165,26403,17969,11308,17096,80708,15468,57257,17974,207278,16796,14191,17973,73341,15163,21682,30948,74103,24057,217154,20844,13196,20409,14784,59009,78473,23969,12929,58194,20404,22324,22612,333654,234214,54353,20410,23970,237353,14360,15162,20403,17972,12488	Sorbs1,Stam2,Sptan1,Nostrin,Plcg1,Bcar1,Cttn,Map3k9,Amph,Btk,Sh3d21,Blk,Ahi1,Stac3,Srgap3,Myo1e,Ppp1r13b,Sh3gl3,Arhgef7,Frk,Efs,Grap,Itsn1,Crk,Sh3rf2,Src,Sh3d19,Grap2,Ncf2,Map3k21,Pstpip1,Rimbp2,Vav2,Sh3gl1,Stac,Mpp7,Abi2,Map3k11,Ncf1,Abi1,Lyn,Pacsin3,Prmt2,Vav3,Nck2,Fchsd2,Lasp1,Fgr,Nck1,Arhgef6,Hcls1,Tec,Bin1,Nebl,Sh3yl1,Stac2,Stam,Asap1,Ostf1,Grb2,Sh3rf1,Skap1,Pacsin1,Crkl,Sh3kbp1,Sh3gl2,Vav1,Yes1,Ppp1r13l,Sorbs2,Skap2,Sorbs3,Pacsin2,Sh3rf3,Fyn,Hck,Itsn2,Ncf4,Cd2ap
PR00499	P67PHOX	0.001259013398568	-6.67742688174621	24	24	0.00499375780274657	4806	6344	66938,241275,20844,217154,13043,15163,71972,20411,56324,11308,12488,20403,237353,20410,234214,71520,58194,16443,17970,27059,59009,14784,20409,237611	Sh3d21,Noxa1,Stam,Stac2,Cttn,Hcls1,Dnmbp,Sorbs1,Stam2,Abi1,Cd2ap,Itsn2,Sh3rf3,Sorbs3,Sorbs2,Grap,Sh3kbp1,Itsn1,Ncf2,Sh3d19,Sh3rf1,Grb2,Ostf1,Stac3
PR00014	FNTYPEIII	0.00152721047975118	-6.48431242350767	32	31	0.00645027049521432	4806	6344	18007,109272,13840,319448,13838,13839,19280,53311,19273,233199,19266,545156,270190,13176,13842,242702,330222,13848,19268,68753,237979,13844,13845,17930,13837,333564,22138,13841,14268,17929,72007	Neo1,Mybpc1,Epha6,Fndc3a,Epha4,Epha5,Ptprs,Mybph,Ptpru,Mybpc2,Ptprd,Kalrn,Ephb1,Dcc,Epha8,Myom3,Sdk1,Ephb6,Ptprf,Mybphl,Sdk2,Ephb2,Ephb3,Myom2,Epha3,Fndc3c1,Ttn,Epha7,Fn1,Myom1,Fndc3b
PR00453	VWFADOMAIN	0.00196122584291088	-6.23418557118301	31	30	0.00624219725343321	4806	6344	246228,319480,12836,16408,16409,17183,16398,14962,109700,12818,74199,17181,69700,381924,12835,22371,68553,12816,16407,73368,12833,17180,213945,240675,16411,665033,12834,245026,12810,17182	Vwa1,Itga11,Col7a1,Itgal,Itgam,Matn4,Itga2,Cfb,Itga1,Col14a1,Vit,Matn2,Col22a1,Itgad,Col6a3,Vwf,Col6a4,Col12a1,Itgae,Col20a1,Col6a1,Matn1,Col28a1,Vwa2,Itgax,Col6a5,Col6a2,Col6a6,Coch,Matn3
PR00011	EGFLAMININ	0.00219876635020252	-6.11985882580484	22	22	0.00457761131918435	4806	6344	73182,16774,16782,269878,380713,16779,230971,230316,226519,57764,22283,16777,224024,16780,16773,75740,16772,214058,11603,23928,16776,70417	Pear1,Lama3,Lamc2,Megf8,Scarf1,Lamb2,Megf6,Megf9,Lamc1,Ntn4,Ush2a,Lamb1,Scarf2,Lamb3,Lama2,Egfem1,Lama1,Megf11,Agrn,Lamc3,Lama5,Megf10
PR01349	WNTPROTEIN	0.00507266977283206	-5.28388801756228	19	19	0.00395339159384103	4806	6344	22414,93735,22410,22419,22418,20890,22420,22417,22423,22413,22409,22412,22411,22408,22415,22416,22421,22422,216795	Wnt2b,Wnt16,Wnt10b,Wnt5b,Wnt5a,Wnt8a,Wnt6,Wnt4,Wnt8b,Wnt2,Wnt10a,Wnt9b,Wnt11,Wnt1,Wnt3,Wnt3a,Wnt7a,Wnt7b,Wnt9a
PR00387	PDIESTERASE1	0.00507266977283206	-5.28388801756228	19	19	0.00395339159384103	4806	6344	225600,18583,218461,238871,110855,18578,29863,18587,241489,18585,110385,18574,18575,23984,207728,18584,18573,18577,242202	Pde6a,Pde7a,Pde8b,Pde4d,Pde6c,Pde4b,Pde7b,Pde6b,Pde11a,Pde9a,Pde4c,Pde1b,Pde1c,Pde10a,Pde2a,Pde8a,Pde1a,Pde4a,Pde5a
