TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	2.62098632070741e-06	-12.8519598527486	252	228	0.0289303387894937	7881	9882	106877,72789,13196,71801,20743,12169,75547,26377,545156,381605,241639,231717,102693,106766,234353,20399,110279,110355,23921,20166,331374,69239,102075,216439,75974,24001,20649,102595,114255,76303,109135,83436,78473,218952,79196,20741,14783,94190,18802,18806,216445,244867,227333,27276,215632,67016,16443,68018,17909,210710,223254,75415,16369,70292,11652,230972,226250,219140,14388,623279,109294,320405,76117,71240,73728,226751,13429,20650,103967,74002,21664,110596,13449,23853,80297,102098,18805,213783,54519,269615,14786,213556,83435,53972,18803,269608,19157,57257,58996,231532,240753,22325,110253,18760,233765,54126,72469,11651,19415,16560,237542,20403,20947,20742,56193,73341,241308,226970,77300,26936,71435,72318,245684,216190,211914,380921,384783,78514,22324,212285,347722,71720,78670,19414,231999,30938,56349,263406,72993,16800,226525,223435,622434,27260,64291,277360,69601,22113,245666,380698,77980,71096,230837,105445,12229,106326,20662,232237,74309,101540,16367,106952,240505,14389,19418,385263,353047,19417,21682,24055,21844,71544,16561,69710,67220,16370,226971,12704,224014,101476,213990,194231,100037278,71302,232201,210293,69632,78255,74486,50915,234779,239027,101497,232970,27062,54353,75292,208177,76829,213522,217682,23797,320129,54324,227120,20663,18799,100273,17207,78618,544817,231821,99031,26382,320495,216991,27280,217866,226245,19878,54153,218397,19877,109934,241075,216859,56792,13998,231134,19159,213649,71704,114713,269437,224860,13430,16428,319934	Afap1l1,Veph1,Asap1,Plekhf2,Sptbn2,Bmx,Akap13,Dapp1,Kalrn,Tbc1d2,Fermt1,Pheta1,Phldb1,Stap2,Psd3,Sh2b1,Bcr,Grk2,Sh2b2,Rtkn,Dgkk,Pdzph1,Plekhg4,Agap2,Dock11,Tiam2,Sntb1,Plekho2,Dok4,Osbp,Plekha5,Plekha2,Skap1,Fermt2,Osbpl5,Sptb,Grb10,Ophn1,Plcd4,Pld2,Arhgap9,Arhgap20,Dgkd,Plekhb1,Psd4,Tbc1d2b,Itsn1,Cert1,Myo10,Gab3,Farp1,Arhgap12,Irs3,Afap1,Akt2,Arhgef16,Afap1l2,Spata13,Gab1,Dok6,Prex2,Cadps2,Arhgap15,Osbpl7,Psd,Cdc42bpa,Dnm1,Sntb2,Dnm3,Psd2,Phlda1,Arhgef28,Dok2,Def6,Sptbn4,Arhgef18,Pld1,Plekhg1,Apbb1ip,Plch2,Grb7,Plekhh2,Plekha3,Ngef,Plcg1,Plekhg5,Cyth1,Vav3,Arhgap23,Arhgap24,Plekha6,Vav2,Triobp,Prkd1,Plekha7,Arhgef7,Plcd3,Akt1,Rasal1,Kif1a,Osbpl8,Itsn2,Swap70,Sptbn1,Plek,Arhgef6,Ralgps1,Arhgef4,Raph1,Mprip,Arhgap21,Cyth4,Cnksr2,Appl2,Asap2,Dgkh,Irs2,Arhgap10,Vav1,Arap2,Agap1,Osbpl3,Plekhj1,Rasa3,Plekha8,Fgd3,Net1,Plekhg3,Appl1,Arhgef2,Rasal2,Trio,Arhgef26,Plek2,Osbpl1a,Prex1,Dab2ip,Phlda2,Iqsec2,Obscn,Sbf1,Sntg1,Asap3,Dock9,Btk,Osbpl11,Sos1,Fgd5,Osbp2,Prkd2,Irs1,Arap3,Cdc42bpg,Gab2,Rasgrf2,Gm1527,Plekhm1,Rasgrf1,Tec,Sh3bp2,Tiam1,Arhgap42,Kif1b,Arap1,Plekho1,Irs4,Plekhb2,Cit,Fgd4,Plekha1,Agap3,Cnksr1,Niban3,Arhgap26,Arhgap25,Dock10,Arhgef12,Ralgps2,Osbpl10,Grb14,Plcg2,Arhgap22,Plekhg2,Phldb3,Cadps,Skap2,Prkd3,Phldb2,Dok5,Plekhg6,Plekhd1,Akt3,Grk3,Arhgef5,Plcl1,Sos2,Plcd1,Osbpl9,Mcf2l,Acap2,Arhgap27,Adap1,Osbpl6,Fgd2,Ipcef1,Adap2,Phlda3,Cdc42bpb,Plekhs1,Rock2,Rasa4,Rasa1,Rock1,Abr,Plekhm3,Acap1,Stap1,Fgd6,Dok7,Cyth3,Arhgef19,Arhgef3,Rasa2,Plch1,Plcl2,Dnm2,Itk,Sbf2
SM00181	EGF	4.76858733848522e-06	-12.2534604523805	177	163	0.0206826544854714	7881	9882	15245,21892,17063,18552,11990,268977,70945,14119,16780,106565,20344,667277,65969,12153,22018,16782,19699,21826,58859,23963,114249,620292,14118,24117,20563,16975,71768,230316,268780,338352,214058,15530,56788,208777,21960,18129,227325,21824,18791,16973,23965,50909,329628,238680,17183,21687,353156,70445,19128,634731,16773,20339,170571,54003,11899,13004,14107,54485,16775,226243,269878,192187,13733,75740,21827,241324,80883,12845,54426,226255,18190,21828,329278,16835,26364,70417,245827,246154,14068,16971,22242,226519,17181,14114,216616,23876,94217,170788,16774,240675,13388,53883,170757,52020,228357,231470,24087,13003,23928,17175,16772,16776,268935,171508,224024,22635,108075,64706,14115,13612,17304,380713,211323,73182,13389,320924,16449,81877,241175,107934,16997,14456,64817,20562,192188,77446,17064,23966,17180,11603,83961,16998,19123,171171,17182,18191,230971,66797,16777,13386,13645,18131,18074,21825,140474,12032,223272,14725,20564,18302,21923,636808,18553,23964,18189,16974,545370,22359,270120,14071,102635496,12614,16779	Hhip,Tll1,Muc13,Pcsk5,Atrn,Ltbp1,Mmrn1,Fbn2,Lamb3,Dlk2,Selp,C1rb,Cubn,Bmp1,Tpo,Lamc2,Reln,Thbs2,Efemp2,Tenm1,Npnt,Cntnap5c,Fbn1,Wif1,Slit2,Lrp8,Vwce,Megf9,Egflam,Nell1,Megf11,Hspg2,Scube2,Sned1,Tnr,Notch2,Dner,Thbd,Plat,Lrp5,Tenm3,C1ra,Fat4,Cntnap3,Matn4,Tek,Egfl7,Cd248,Pros1,Susd1,Lama2,Sele,Cntnap4,Nell2,Astn1,Ncan,Fat1,Dll4,Lama4,Habp2,Megf8,Stab1,Adgre1,Egfem1,Thbs3,Crb2,Ntng1,Comp,Hgfac,Atrnl1,Nrxn2,Thbs4,Tnn,Ldlr,Adgre5,Megf10,Fat2,Vasn,F7,Lrp1,Umod,Lamc1,Matn2,Fbln1,Efemp1,Fbln5,Lrp1b,Crb1,Lama3,Vwa2,Dll1,Celsr2,Adgrl4,Umodl1,Lrp4,Fras1,Tll2,Vcan,Lamc3,Masp2,Lama1,Lama5,Scube3,Creld1,Scarf2,Zan,Ltbp4,Scube1,Fbln2,Edil3,Mfge8,Scarf1,Nrg1,Pear1,Dll3,Ccbe1,Jag1,Tnxb,Cntnap5b,Celsr3,Ltbp2,Gas6,Svep1,Slit1,Stab2,Heg1,Cd93,Tenm4,Matn1,Agrn,Nrg4,Ltbp3,Proc,Ntng2,Matn3,Nrxn3,Megf6,Cntnap2,Lamb1,Dlk1,Egf,Notch3,Nid2,Thbs1,Muc4,Bcan,Itgbl1,Lrp2,Slit3,Oit3,Tnc,Cntnap5a,Pcsk6,Tenm2,Nrxn1,Lrp6,Hmcn1,Vldlr,Fat3,F9,Malrd1,Celsr1,Lamb2
SM00408	IGc2	5.58060023154574e-05	-9.7936291259847	228	204	0.025885039969547	7881	9882	233199,240916,26439,320747,58235,21367,237403,116701,16206,12978,26564,107527,237979,17930,331461,278507,268890,26365,330222,67703,269116,20612,244682,547431,54725,98752,214425,14183,70530,434540,207683,226438,574429,26436,20350,320772,19289,545925,71461,12661,105827,260299,545370,18596,73940,75690,72927,20354,114871,12483,192198,242122,68753,320027,18007,231668,71306,18198,16160,238205,16456,16194,269959,18595,19649,235402,16178,71566,14182,14186,74762,224792,329693,233067,15530,380698,13508,107589,54631,235472,13052,18613,116904,117606,235106,223435,72431,22138,57276,83964,75426,16980,545428,11790,19266,22253,80749,71740,57810,12804,320840,319504,242235,77739,72333,16979,98733,382097,19280,18726,210801,26438,16590,16542,12805,211323,69675,229715,18212,384557,14129,101202,170721,17967,74144,18729,269473,17929,17968,53870,19876,330790,243816,170643,16981,80891,26968,233186,114873,107449,107250,12501,213262,59290,58916,225638,22329,78789,216760,269784,14184,239857,243911,13176,17082,19268,14257,11596,330483,18488,102657,60367,101434,26368,330908,272381,26367,57278,56741,17136,20320,242702,242050,320398,114872,12215,14254,241568,68802,100042150,235086,109272,12502,240354,66601,22174,94332,270152,83382,20348,630146,210094,67374,18725,84004,72242,26563,242384,29817,53311,545156,246256,268902,68709	Mybpc2,Vsig8,Psg19,Lingo4,Nectin1,Cntn2,Lingo3,Fgfrl1,Lrig1,Csf1r,Ror2,Il1rl2,Sdk2,Myom2,Il1rapl1,Wfikkn2,Lsamp,Ceacam1,Sdk1,Kirrel3,Nfasc,Siglec1,Cntn5,Btnl2,Cadm1,Fcrla,Cilp,Fgfr2,Lrfn2,Psg20,Igsf11,Igfn1,Psg26,Psg16,Sema3f,Mdga2,Igdcc3,Psg27,Ptk7,Chl1,Amigo2,Cadm4,Hmcn1,Pdgfrb,Hapln2,Vsig10l,Hepacam,Sema4d,Psg28,Cd22,Lrrc4,Vtcn1,Mybphl,Fstl4,Neo1,Vsig10,Mfap3l,Musk,Il12b,Lrfn5,F11r,Il6ra,Adamtsl3,Pdgfra,Robo3,Lingo1,Il1r2,Clmp,Fgfr1,Fgfr4,Mdga1,Adgrf5,Fcrl5,Lrfn3,Hspg2,Obscn,Dscam,Mylk,Nphs1,Prtg,Cxadr,Pecam1,Alpk3,Boc,Ntm,Trio,Ceacam18,Ttn,Vsig2,Jam3,Igfbpl1,Lrrn2,Ccdc141,Speg,Ptprd,Unc5c,Lrfn1,Nectin4,Cdon,Cntfr,Negr1,Nrcam,Lrit3,Adamtsl1,Palld,Lrrn1,Obsl1,Gm1123,Ptprs,Lilra6,Unc5d,Psg18,Kit,Kdr,Cntn1,Nrg1,Pxdn,Amigo1,Ntrk2,Ceacam3,Fcgr1,Hepacam2,Papln,Ncam1,Robo4,Pira6,Lrig2,Myom1,Ncam2,Cntn6,Robo1,Hapln4,Gp6,Kirrel1,Lrrn3,Fcrl2,Islr,Siglecf,Dscaml1,Unc5b,Kazald1,Cd3e,Fstl5,Gpa33,Myot,Alpk2,Vcam1,Vsig1,Mfap3,Cntn4,Fgfr3,Cadm2,Kirrel2,Dcc,Il1rl1,Ptprf,Flt4,Ager,Ceacam16,Cntn3,Cd276,Il1rapl2,Ceacam15,Ceacam9,Opcml,Lrrc4b,Ceacam2,Bcam,Igdcc4,Mag,Nptn,Myom3,Igsf10,Lrig3,Psg29,Bsg,Flt1,Lrrc4c,Mypn,Nrg2,Igsf9b,Mybpc1,Cd3g,Malt1,Tmigd1,Tyro3,Cadm3,Jaml,Siglece,Sema3c,Cd101,Iglon5,Jam2,Pira2,Mcam,Psg21,Ror1,Lingo2,Igfbp7,Mybph,Kalrn,Fcgr4,Robo2,Cilp2
SM00180	EGF_Lam	0.000358195366536975	-7.93443200382899	35	35	0.00444106077908895	7881	9882	16773,192188,107934,18209,16780,11603,11990,16774,53883,171171,192187,269878,16777,16782,16775,23928,230971,22283,226255,230316,224024,80883,16776,16772,70417,243967,15530,214058,18208,226519,380713,16779,73182,12614,57764	Lama2,Stab2,Celsr3,Ntn3,Lamb3,Agrn,Atrn,Lama3,Celsr2,Ntng2,Stab1,Megf8,Lamb1,Lamc2,Lama4,Lamc3,Megf6,Ush2a,Atrnl1,Megf9,Scarf2,Ntng1,Lama5,Lama1,Megf10,Ntn5,Hspg2,Megf11,Ntn1,Lamc1,Scarf1,Lamb2,Pear1,Celsr1,Ntn4
SM00219	TyrKc	0.000374870846586877	-7.88892900041796	81	76	0.00964344626316457	7881	9882	21682,17179,16337,20963,14186,14182,11350,15162,16590,12988,16542,11682,13835,12229,270190,20779,13837,13838,13867,11352,16451,22637,51789,18212,16428,14184,83813,16001,17295,19713,14360,13839,18595,14083,18211,12978,16452,18214,13845,18198,14257,13869,19229,19882,19886,13842,13846,54721,23920,12143,14302,18596,12169,17289,13840,16453,12305,14158,17005,22612,17096,13866,20187,13836,13844,13841,14183,14254,14159,18213,14191,22174,26362,21687,22165,13649	Tec,Matk,Insr,Syk,Fgfr4,Fgfr1,Abl1,Hck,Kit,Csk,Kdr,Alk,Epha1,Btk,Ephb1,Src,Epha3,Epha4,Erbb3,Abl2,Jak1,Zap70,Tnk2,Ntrk2,Itk,Fgfr3,Tnk1,Igf1r,Met,Ret,Fyn,Epha5,Pdgfra,Ptk2,Ntrk1,Csf1r,Jak2,Ddr2,Ephb3,Musk,Flt4,Erbb4,Ptk2b,Mst1r,Ros1,Epha8,Ephb4,Tyk2,Insrr,Blk,Frk,Pdgfrb,Bmx,Mertk,Epha6,Jak3,Ddr1,Fer,Ltk,Yes1,Lyn,Erbb2,Ryk,Epha2,Ephb2,Epha7,Fgfr2,Flt1,Fes,Ntrk3,Fgr,Tyro3,Axl,Tek,Txk,Egfr
SM00353	HLH	0.000444932065634576	-7.71758894894732	110	101	0.0128156325339424	7881	9882	15213,17121,21425,22282,20464,17428,71093,15251,17187,17979,21423,83383,11921,17877,56184,21349,21406,20289,17878,67341,17977,18143,58805,272322,17173,17293,17978,27386,18013,11622,17928,15904,17927,17870,50913,11925,12753,17341,17869,21412,17119,21407,18109,208104,13345,15205,209446,11624,15902,11863,11865,18072,50914,20787,84653,15903,69852,55927,59058,20788,18014,21350,320522,17095,277353,17859,15110,15206,11924,22160,11864,140489,56198,18012,17681,29808,17122,53404,20893,19213,21413,11922,13819,15901,16918,22278,15214,18071,17172,18142,20465,17292,15207,94222,207806,21426,114712,79362,100039596,234219,17342	Hey1,Mxd3,Tfeb,Usf2,Sim1,Mnt,Atoh8,Hif1a,Max,Ncoa3,Tcf3,Tfap4,Atoh1,Myf5,Msgn1,Tal1,Tcf12,Scx,Myf6,Ascl4,Ncoa1,Npas2,Mlxipl,Bmal2,Ascl2,Mesp2,Ncoa2,Npas3,Neurod2,Ahr,Myog,Id4,Myod1,Mycs,Olig2,Neurog3,Clock,Bhlha15,Myc,Tcf21,Mxd1,Tcf15,Mycn,Mlxip,Twist2,Hes1,Tfe3,Ahrr,Id2,Arnt,Bmal1,Nhlh2,Olig1,Srebf1,Hes7,Id3,Tcf23,Hes6,Bhlhe22,Srebf2,Neurog1,Tal2,Bhlha9,Lyl1,Tcfl5,Mxi1,Hand1,Hes2,Neurog2,Twist1,Arnt2,Bhlhe23,Heyl,Neurod1,Msc,Mga,Mxd4,Atoh7,Bhlhe40,Ptf1a,Tcf4,Neurod6,Epas1,Id1,Mycl,Usf1,Hey2,Nhlh1,Ascl1,Npas1,Sim2,Mesp1,Hes3,Olig3,Usf3,Tfec,Ferd3l,Bhlhe41,Tcf24,Helt,Mitf
SM00209	TSP1	0.000496131842052009	-7.608668855972	63	60	0.00761324704986677	7881	9882	20356,12279,229595,240322,233744,16007,56229,110382,230775,77794,545370,109828,230558,22253,327743,239337,14219,21825,216725,192199,107449,224697,107448,11504,30806,68709,101401,239405,319909,240913,21826,208936,279028,22402,228770,77739,210801,108154,269959,107831,207596,330119,233332,210417,108153,210933,23794,223838,12274,100689,66548,217738,237360,214425,170721,72780,20357,235130,330267,18133	Sema5a,C9,Adamtsl4,Adamts19,Spon1,Ccn1,Thsd1,C8b,Adgrb2,Adamtsl2,Hmcn1,C7,C8a,Unc5c,Ccn6,Adamts12,Ccn2,Thbs1,Adamts2,Rspo1,Unc5b,Adamts10,Unc5a,Adamts1,Adamts8,Cilp2,Adamts9,Rspo2,Ism1,Adamts4,Thbs2,Adamts18,Adamts13,Ccn4,Rspo4,Adamtsl1,Unc5d,Adamts6,Adamtsl3,Adgrb1,Thsd4,Adamts3,Adamts17,Thsd7b,Adamts7,Adgrb3,Adamts5,Adamts20,C6,Spon2,Adamtsl5,Ism2,Adamts14,Cilp,Papln,Rspo3,Sema5b,Adamts15,Thsd7a,Ccn3
SM00239	C2	0.000695321867059142	-7.27113570153485	121	110	0.0139576195914224	7881	9882	78771,244585,74562,94253,171180,240058,277939,69601,70450,100534273,18754,66313,271844,269589,18704,110279,240752,16396,18750,229521,226525,329502,18795,83671,18752,19414,74413,231214,242662,319508,241770,83762,12337,54524,50780,545192,114875,18646,74998,66871,116837,16443,102278,78390,26875,74020,237397,18802,74055,208898,54526,109333,80976,110058,22249,75767,20980,12891,319965,18803,226101,329152,13447,83814,20983,20979,18799,75788,227120,269615,54525,18751,329324,83672,17999,212139,238266,54473,234577,52635,18798,234779,66894,382018,271944,224860,116838,52055,20981,244049,114713,18796,26903,269437,18755,19894,20403,109934,72469,19415,55925,70568,272636,218397,54153,74741,18783,18705,211232,13446	Mctp1,Rpgrip1l,Fer1l4,Hecw1,Syt12,Cpne5,C2cd3,Dab2ip,Unc13d,Fer1l5,Prkce,Smurf2,Pla2g4f,Sytl1,Pik3c2a,Bcr,Pik3c2b,Itch,Prkca,Syt11,Rasal2,Pla2g4e,Plcb1,Sytl2,Prkcg,Rasa3,Tc2n,Cc2d2a,Rims3,Syt15,Rims4,Otof,Capn5,Syt6,Rgs3,Baiap3,Plcz1,Prf1,Rab11fip2,Cpne8,Rims1,Itsn1,Cpne7,Pla2g4d,Pclo,Cpne4,C2cd4c,Plcd4,Plce1,Unc13c,Syt10,Pkn2,Syt13,Syt17,Unc13b,Rab11fip1,Syt2,Cpne6,Cc2d1b,Plcg1,Myof,Hecw2,Doc2b,Nedd4l,Syt4,Syt1,Plcd1,Smurf1,Plcl1,Plch2,Syt7,Prkcb,Syt14,Sytl3,Nedd4,Cc2d1a,Syt16,Tollip,Cpne2,Esyt2,Plcb4,Plcg2,Wwp2,Unc13a,C2cd4d,Plcl2,Rims2,Rab11fip5,Syt3,Mctp2,Rasa2,Plcb2,Dysf,Plch1,Prkch,Rph3a,Itsn2,Abr,Plcd3,Rasal1,Syt8,Cpne3,Esyt3,Rasa1,Rasa4,C2cd5,Pla2g4a,Pik3c2g,Cpne9,Doc2a
SM00282	LamG	0.00128884997485309	-6.65400495058615	40	39	0.0049486105824134	7881	9882	170788,16773,19128,14456,20562,241175,107934,170571,11603,16774,53321,14107,53883,121021,54003,12814,66797,22283,16775,18191,18190,20563,620292,20415,241324,16772,16776,12819,245827,15530,20564,338352,636808,268780,270120,18189,238680,329628,12614	Crb1,Lama2,Pros1,Gas6,Slit1,Cntnap5b,Celsr3,Cntnap4,Agrn,Lama3,Cntnap1,Fat1,Celsr2,Cspg4,Nell2,Col11a1,Cntnap2,Ush2a,Lama4,Nrxn3,Nrxn2,Slit2,Cntnap5c,Shbg,Crb2,Lama1,Lama5,Col15a1,Fat2,Hspg2,Slit3,Nell1,Cntnap5a,Egflam,Fat3,Nrxn1,Cntnap3,Fat4,Celsr1
SM00303	GPS	0.00139899987439136	-6.57199767308339	29	29	0.00367973607410227	7881	9882	239853,99633,319387,13733,53883,170757,78249,381628,243277,382045,230775,107934,77596,18763,52614,210933,12614,14766,435529,215798,224792,70693,107831,237175,330814,244646,26364,54672,76645	Adgrg7,Adgrl2,Adgrl3,Adgre1,Celsr2,Adgrl4,Adgrf4,Adgrf3,Adgrd1,Adgrg5,Adgrb2,Celsr3,Adgrf1,Pkd1,Adgre4,Adgrb3,Celsr1,Adgrg1,Adgrf2,Adgrg6,Adgrf5,Adgra3,Adgrb1,Adgrg2,Adgrl1,Pkd1l3,Adgre5,Adgrg3,Pkd1l2
