TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0031462	Cul2-RING ubiquitin ligase complex	0.000888657130194322	-7.0257990771655	63	4	0.0205128205128205	195	28799	100041102,381654,622894,108169097	Pramel42,Pramel34,Pramel59,Pramel44
GO:0031461	cullin-RING ubiquitin ligase complex	0.000893494939446861	-7.02036988712245	225	7	0.0358974358974359	195	28799	100041102,381654,108169097,622894,319701,57439,26554	Pramel42,Pramel34,Pramel44,Pramel59,Fbxo48,Tmem183a,Cul3
GO:0000151	ubiquitin ligase complex	0.00271935714989055	-5.90735976855939	349	8	0.041025641025641	195	28799	57439,368203,319701,108169097,26554,622894,381654,100041102	Tmem183a,Brcc3dc,Fbxo48,Pramel44,Cul3,Pramel59,Pramel34,Pramel42
GO:0016010	dystrophin-associated glycoprotein complex	0.00799842074845912	-4.82851116323213	20	2	0.0102564102564103	195	28799	24052,20649	Sgcd,Sntb1
GO:0090665	glycoprotein complex	0.0123524535430171	-4.39390056818914	25	2	0.0102564102564103	195	28799	20649,24052	Sntb1,Sgcd
GO:0140534	endoplasmic reticulum protein-containing complex	0.0125760610358482	-4.37596018994763	132	4	0.0205128205128205	195	28799	394436,66212,66789,110557	Ugt1a1,Sec61b,Alg14,H2-Q6
GO:0042720	mitochondrial inner membrane peptidase complex	0.0134965230418393	-4.30532317916643	2	1	0.00512820512820513	195	28799	66541	Immp1l
GO:0019008	molybdopterin synthase complex	0.0134965230418393	-4.30532317916643	2	1	0.00512820512820513	195	28799	56738	Mocs1
GO:0016342	catenin complex	0.0198012382773349	-3.92201080397781	32	2	0.0102564102564103	195	28799	241201,104010	Cdh7,Cdh22
GO:0070369	beta-catenin-TCF7L2 complex	0.0201766695148052	-3.90322831658665	3	1	0.00512820512820513	195	28799	21416	Tcf7l2
GO:0120333	radial spoke 1	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	100037282	Rsph3b
GO:1990357	terminal web	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	12808	Cobl
GO:0120336	radial spoke head 1	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	100037282	Rsph3b
GO:0120338	radial spoke head 3	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	100037282	Rsph3b
GO:1990508	CKM complex	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	264064	Cdk8
GO:0120335	radial spoke 3	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	100037282	Rsph3b
GO:0071664	catenin-TCF7L2 complex	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	21416	Tcf7l2
GO:0043541	UDP-N-acetylglucosamine transferase complex	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	66789	Alg14
GO:0033269	internode region of axon	0.0268118115298335	-3.61891275983257	4	1	0.00512820512820513	195	28799	77767	Ermn
GO:0070418	DNA-dependent protein kinase complex	0.0334022507292491	-3.39913199416662	5	1	0.00512820512820513	195	28799	16969	Zbtb7a
GO:0030870	Mre11 complex	0.0334022507292491	-3.39913199416662	5	1	0.00512820512820513	195	28799	20684	Sp100
GO:0005827	polar microtubule	0.0334022507292491	-3.39913199416662	5	1	0.00512820512820513	195	28799	26554	Cul3
GO:0001535	radial spoke head	0.0334022507292491	-3.39913199416662	5	1	0.00512820512820513	195	28799	100037282	Rsph3b
GO:0098591	external side of apical plasma membrane	0.0399482867467271	-3.22016949262743	6	1	0.00512820512820513	195	28799	26357	Abcg2
GO:0008091	spectrin	0.0399482867467271	-3.22016949262743	6	1	0.00512820512820513	195	28799	18751	Prkcb
GO:0016012	sarcoglycan complex	0.0399482867467271	-3.22016949262743	6	1	0.00512820512820513	195	28799	24052	Sgcd
