TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu00140	Steroid hormone biosynthesis	0.00232726734074957	-6.06306051481934	87	4	0.0769230769230769	52	8044	394436,107141,53973,380997	Ugt1a1,Cyp2c50,Cyp3a41a,Cyp2d12
ko00140	Steroid hormone biosynthesis	0.00232726734074957	-6.06306051481934	87	4	0.0769230769230769	52	8044	53973,380997,394436,107141	Cyp3a41a,Cyp2d12,Ugt1a1,Cyp2c50
mmu00830	Retinol metabolism	0.00252871675344777	-5.98004331699425	89	4	0.0769230769230769	52	8044	53973,13082,394436,107141	Cyp3a41a,Cyp26a1,Ugt1a1,Cyp2c50
ko00830	Retinol metabolism	0.00252871675344777	-5.98004331699425	89	4	0.0769230769230769	52	8044	107141,394436,13082,53973	Cyp2c50,Ugt1a1,Cyp26a1,Cyp3a41a
mmu_M00066	Lactosylceramide biosynthesis	0.0128879005824244	-4.3514663471018	2	1	0.0192307692307692	52	8044	56386	B4galt6
M00066	Lactosylceramide biosynthesis	0.0128879005824244	-4.3514663471018	2	1	0.0192307692307692	52	8044	56386	B4galt6
ko03060	Protein export	0.0158840234289076	-4.14244149071374	30	2	0.0384615384615385	52	8044	66541,66212	Immp1l,Sec61b
mmu03060	Protein export	0.0158840234289076	-4.14244149071374	30	2	0.0384615384615385	52	8044	66212,66541	Sec61b,Immp1l
mmu05204	Chemical carcinogenesis	0.0219866546476916	-3.81731961660735	93	3	0.0576923076923077	52	8044	394436,107141,53973	Ugt1a1,Cyp2c50,Cyp3a41a
ko05204	Chemical carcinogenesis	0.0219866546476916	-3.81731961660735	93	3	0.0576923076923077	52	8044	107141,394436,53973	Cyp2c50,Ugt1a1,Cyp3a41a
M00384	Cul3-SPOP complex	0.0319148633559969	-3.44468344178111	5	1	0.0192307692307692	52	8044	26554	Cul3
mmu_M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	0.0319148633559969	-3.44468344178111	5	1	0.0192307692307692	52	8044	107626	Asmt
mmu_M00384	Cul3-SPOP complex	0.0319148633559969	-3.44468344178111	5	1	0.0192307692307692	52	8044	26554	Cul3
M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	0.0319148633559969	-3.44468344178111	5	1	0.0192307692307692	52	8044	107626	Asmt
mmu00591	Linoleic acid metabolism	0.0412216811588973	-3.18879091932246	50	2	0.0384615384615385	52	8044	53973,107141	Cyp3a41a,Cyp2c50
ko00591	Linoleic acid metabolism	0.0412216811588973	-3.18879091932246	50	2	0.0384615384615385	52	8044	53973,107141	Cyp3a41a,Cyp2c50
mmu_M00401	Sec61 complex	0.0443991836877813	-3.1145341951233	7	1	0.0192307692307692	52	8044	66212	Sec61b
M00401	Sec61 complex	0.0443991836877813	-3.1145341951233	7	1	0.0192307692307692	52	8044	66212	Sec61b
ko04750	Inflammatory mediator regulation of TRP channels	0.0466632644243956	-3.06479805289018	125	3	0.0576923076923077	52	8044	18751,171382,107141	Prkcb,Trpm8,Cyp2c50
mmu04750	Inflammatory mediator regulation of TRP channels	0.0466632644243956	-3.06479805289018	125	3	0.0576923076923077	52	8044	107141,171382,18751	Cyp2c50,Trpm8,Prkcb
mmu04726	Serotonergic synapse	0.0533348381324159	-2.93116553783166	132	3	0.0576923076923077	52	8044	107141,18751,380997	Cyp2c50,Prkcb,Cyp2d12
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0.0567255644718247	-2.86953029734195	9	1	0.0192307692307692	52	8044	234515	Inpp4b
mmu_M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0.0567255644718247	-2.86953029734195	9	1	0.0192307692307692	52	8044	234515	Inpp4b
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.0786869399663104	-2.54227808439038	72	2	0.0384615384615385	52	8044	24052,21416	Sgcd,Tcf7l2
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.0786869399663104	-2.54227808439038	72	2	0.0384615384615385	52	8044	21416,24052	Tcf7l2,Sgcd
ko04010	MAPK signaling pathway	0.0791262430365877	-2.5367106888581	252	4	0.0769230769230769	52	8044	17347,18751,224105,193740	Mknk2,Prkcb,Pak2,Hspa1a
mmu04010	MAPK signaling pathway	0.0791262430365877	-2.5367106888581	252	4	0.0769230769230769	52	8044	193740,224105,18751,17347	Hspa1a,Pak2,Prkcb,Mknk2
mmu_M00353	Spliceosome, Prp19/CDC5L complex	0.08091232118967	-2.51438916503515	13	1	0.0192307692307692	52	8044	193740	Hspa1a
M00353	Spliceosome, Prp19/CDC5L complex	0.08091232118967	-2.51438916503515	13	1	0.0192307692307692	52	8044	193740	Hspa1a
mmu_M00055	N-glycan precursor biosynthesis	0.0868633309394874	-2.44341930423994	14	1	0.0192307692307692	52	8044	66789	Alg14
ko00790	Folate biosynthesis	0.0868633309394874	-2.44341930423994	14	1	0.0192307692307692	52	8044	56738	Mocs1
M00055	N-glycan precursor biosynthesis	0.0868633309394874	-2.44341930423994	14	1	0.0192307692307692	52	8044	66789	Alg14
mmu00790	Folate biosynthesis	0.0868633309394874	-2.44341930423994	14	1	0.0192307692307692	52	8044	56738	Mocs1
mmu05164	Influenza A	0.0942460550986192	-2.36184630924756	168	3	0.0576923076923077	52	8044	16646,193740,18751	Kpna1,Hspa1a,Prkcb
ko05164	Influenza A	0.0942460550986192	-2.36184630924756	168	3	0.0576923076923077	52	8044	16646,193740,18751	Kpna1,Hspa1a,Prkcb
mmu04360	Axon guidance	0.103374043643217	-2.26940137701634	175	3	0.0576923076923077	52	8044	241568,210801,224105	Lrrc4c,Unc5d,Pak2
ko04360	Axon guidance	0.103374043643217	-2.26940137701634	175	3	0.0576923076923077	52	8044	224105,210801,241568	Pak2,Unc5d,Lrrc4c
mmu04911	Insulin secretion	0.104319488740942	-2.26029708168867	85	2	0.0384615384615385	52	8044	16532,18751	Kcnu1,Prkcb
mmu04012	ErbB signaling pathway	0.104319488740942	-2.26029708168867	85	2	0.0384615384615385	52	8044	224105,18751	Pak2,Prkcb
ko04012	ErbB signaling pathway	0.104319488740942	-2.26029708168867	85	2	0.0384615384615385	52	8044	224105,18751	Pak2,Prkcb
mmu05206	MicroRNAs in cancer	0.106239158712254	-2.24206251203298	280	4	0.0769230769230769	52	8044	100628572,387222,18751,723930	Mir101c,Mir29a,Prkcb,Mir335
ko05206	MicroRNAs in cancer	0.106239158712254	-2.24206251203298	280	4	0.0769230769230769	52	8044	100628572,387222,18751,723930	Mir101c,Mir29a,Prkcb,Mir335
mmu05416	Viral myocarditis	0.106377247409927	-2.24076356507392	86	2	0.0384615384615385	52	8044	24052,110557	Sgcd,H2-Q6
ko04144	Endocytosis	0.110424957584747	-2.20341910560878	284	4	0.0769230769230769	52	8044	268451,110557,193740,54673	Rab11fip4,H2-Q6,Hspa1a,Sh3glb1
mmu04144	Endocytosis	0.110424957584747	-2.20341910560878	284	4	0.0769230769230769	52	8044	110557,268451,54673,193740	H2-Q6,Rab11fip4,Sh3glb1,Hspa1a
mmu04612	Antigen processing and presentation	0.112616402571612	-2.18376790273447	89	2	0.0384615384615385	52	8044	110557,193740	H2-Q6,Hspa1a
ko04612	Antigen processing and presentation	0.112616402571612	-2.18376790273447	89	2	0.0384615384615385	52	8044	193740,110557	Hspa1a,H2-Q6
mmu04062	Chemokine signaling pathway	0.117002234751115	-2.14556224392992	185	3	0.0576923076923077	52	8044	18751,12775,56838	Prkcb,Ccr7,Ccl28
ko04062	Chemokine signaling pathway	0.117002234751115	-2.14556224392992	185	3	0.0576923076923077	52	8044	18751,12775,56838	Prkcb,Ccr7,Ccl28
mmu04070	Phosphatidylinositol signaling system	0.127530877215845	-2.05939676946118	96	2	0.0384615384615385	52	8044	234515,18751	Inpp4b,Prkcb
ko04070	Phosphatidylinositol signaling system	0.127530877215845	-2.05939676946118	96	2	0.0384615384615385	52	8044	234515,18751	Inpp4b,Prkcb
mmu04916	Melanogenesis	0.136256065752731	-1.99321932714364	100	2	0.0384615384615385	52	8044	18751,21416	Prkcb,Tcf7l2
ko04916	Melanogenesis	0.136256065752731	-1.99321932714364	100	2	0.0384615384615385	52	8044	21416,18751	Tcf7l2,Prkcb
mmu_M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0.144333017211686	-1.93563202986942	24	1	0.0192307692307692	52	8044	394436	Ugt1a1
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0.144333017211686	-1.93563202986942	24	1	0.0192307692307692	52	8044	394436	Ugt1a1
mmu05146	Amoebiasis	0.149586525993135	-1.89988028438883	106	2	0.0384615384615385	52	8044	20723,18751	Serpinb9,Prkcb
ko05146	Amoebiasis	0.149586525993135	-1.89988028438883	106	2	0.0384615384615385	52	8044	18751,20723	Prkcb,Serpinb9
mmu04066	HIF-1 signaling pathway	0.151834162284323	-1.88496639135379	107	2	0.0384615384615385	52	8044	18751,17347	Prkcb,Mknk2
M00014	Glucuronate pathway (uronate pathway)	0.155393663684046	-1.86179361611382	26	1	0.0192307692307692	52	8044	394436	Ugt1a1
mmu_M00014	Glucuronate pathway (uronate pathway)	0.155393663684046	-1.86179361611382	26	1	0.0192307692307692	52	8044	394436	Ugt1a1
mmu05168	Herpes simplex infection	0.158414304662533	-1.8425414964663	213	3	0.0576923076923077	52	8044	667373,20684,110557	Ifit1bl1,Sp100,H2-Q6
ko05168	Herpes simplex infection	0.158414304662533	-1.8425414964663	213	3	0.0576923076923077	52	8044	20684,667373,110557	Sp100,Ifit1bl1,H2-Q6
ko04950	Maturity onset diabetes of the young	0.160871280228235	-1.82715073545758	27	1	0.0192307692307692	52	8044	18096	Nkx6-1
mmu04950	Maturity onset diabetes of the young	0.160871280228235	-1.82715073545758	27	1	0.0192307692307692	52	8044	18096	Nkx6-1
ko00053	Ascorbate and aldarate metabolism	0.160871280228235	-1.82715073545758	27	1	0.0192307692307692	52	8044	394436	Ugt1a1
mmu00053	Ascorbate and aldarate metabolism	0.160871280228235	-1.82715073545758	27	1	0.0192307692307692	52	8044	394436	Ugt1a1
mmu05169	Epstein-Barr virus infection	0.163100897420073	-1.81338626710131	216	3	0.0576923076923077	52	8044	22631,193740,110557	Ywhaz,Hspa1a,H2-Q6
