TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0140110	transcription regulator activity	2.41527714818055e-05	-10.6311114232989	1811	29	0.146464646464646	198	28418	433791,18096,17684,71468,66505,433801,193740,626316,100041677,195531,109032,52915,115489950,69228,18751,100041379,58180,16969,112422,381287,620078,246792,667666,20684,100041433,21416,100041352,100043034,666532	Zfp992,Nkx6-1,Cited2,Obox1,Zmynd11,Zfp268,Hspa1a,Zfp987,Zfp984,Zfp982,Sp110,Zmiz2,Zfp988,Zfp746,Prkcb,Zfp980,Hic2,Zbtb7a,Zfp979,Sp140l1,Sp140l2,Obox2,Zfp600,Sp100,Zfp981,Tcf7l2,Tcp10c,Rex2,Zfp991
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	3.14294215723108e-05	-10.367766111005	1278	23	0.116161616161616	198	28418	69228,100041379,115489950,16969,620078,246792,381287,112422,58180,100041433,20684,21416,667666,666532,100043034,71468,433791,18096,100041677,433801,626316,109032,195531	Zfp746,Zfp980,Zfp988,Zbtb7a,Sp140l2,Obox2,Sp140l1,Zfp979,Hic2,Zfp981,Sp100,Tcf7l2,Zfp600,Zfp991,Rex2,Obox1,Zfp992,Nkx6-1,Zfp984,Zfp268,Zfp987,Sp110,Zfp982
GO:0008061	chitin binding	5.27507081511726e-05	-9.84993336103143	11	3	0.0151515151515152	198	28418	12655,81600,104183	Chil3,Chia1,Chil4
GO:0003700	DNA-binding transcription factor activity	6.1885131359473e-05	-9.69023061133621	1336	23	0.116161616161616	198	28418	433801,626316,100041677,109032,195531,18096,433791,71468,667666,100041433,20684,21416,100043034,666532,115489950,69228,100041379,58180,16969,246792,620078,381287,112422	Zfp268,Zfp987,Zfp984,Sp110,Zfp982,Nkx6-1,Zfp992,Obox1,Zfp600,Zfp981,Sp100,Tcf7l2,Rex2,Zfp991,Zfp988,Zfp746,Zfp980,Hic2,Zbtb7a,Obox2,Sp140l2,Sp140l1,Zfp979
GO:0008401	retinoic acid 4-hydroxylase activity	0.000347982334769828	-7.96335884163391	20	3	0.0151515151515152	198	28418	107141,53973,13082	Cyp2c50,Cyp3a41a,Cyp26a1
GO:0005148	prolactin receptor binding	0.000959811927497941	-6.94877320155135	28	3	0.0151515151515152	198	28418	18812,18811,107849	Prl2c3,Prl2c2,Prl2c5
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.000987189632272126	-6.92064840702376	1130	18	0.0909090909090909	198	28418	112422,246792,16969,71468,433791,18096,100041379,69228,115489950,666532,100043034,195531,21416,100041677,100041433,626316,433801,667666	Zfp979,Obox2,Zbtb7a,Obox1,Zfp992,Nkx6-1,Zfp980,Zfp746,Zfp988,Zfp991,Rex2,Zfp982,Tcf7l2,Zfp984,Zfp981,Zfp987,Zfp268,Zfp600
GO:0000987	cis-regulatory region sequence-specific DNA binding	0.00127334650888016	-6.66610679779721	1156	18	0.0909090909090909	198	28418	21416,100041677,100041433,626316,433801,667666,666532,100043034,195531,100041379,69228,115489950,112422,246792,16969,71468,433791,18096	Tcf7l2,Zfp984,Zfp981,Zfp987,Zfp268,Zfp600,Zfp991,Rex2,Zfp982,Zfp980,Zfp746,Zfp988,Zfp979,Obox2,Zbtb7a,Obox1,Zfp992,Nkx6-1
GO:0004568	chitinase activity	0.00131560180911836	-6.63346106852234	8	2	0.0101010101010101	198	28418	12655,81600	Chil3,Chia1
GO:1990756	ubiquitin-like ligase-substrate adaptor activity	0.00461085816462248	-5.37934128645135	96	4	0.0202020202020202	198	28418	100041102,622894,108169097,381654	Pramel42,Pramel59,Pramel44,Pramel34
GO:0001972	retinoic acid binding	0.00543524315255732	-5.21485102112868	16	2	0.0101010101010101	198	28418	13082,394436	Cyp26a1,Ugt1a1
