TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0042720	mitochondrial inner membrane peptidase complex	0.0102519021796089	-4.58029201211685	2	1	0.00675675675675676	148	28799	66541	Immp1l
GO:0019008	molybdopterin synthase complex	0.0102519021796089	-4.58029201211685	2	1	0.00675675675675676	148	28799	56738	Mocs1
GO:0016342	catenin complex	0.0117615927676148	-4.44291590625972	32	2	0.0135135135135135	148	28799	241201,104010	Cdh7,Cdh22
GO:0043541	UDP-N-acetylglucosamine transferase complex	0.0203994057698313	-3.89224950748606	4	1	0.00675675675675676	148	28799	66789	Alg14
GO:1990357	terminal web	0.0203994057698313	-3.89224950748606	4	1	0.00675675675675676	148	28799	12808	Cobl
GO:1990508	CKM complex	0.0203994057698313	-3.89224950748606	4	1	0.00675675675675676	148	28799	264064	Cdk8
GO:0030870	Mre11 complex	0.02543433849813	-3.67165510858915	5	1	0.00675675675675676	148	28799	20684	Sp100
GO:0005634	nucleus	0.027597454560667	-3.59003173657491	7420	49	0.331081081081081	148	28799	78749,12655,100041677,620078,66505,195531,67198,433801,399675,666532,668620,18096,115489950,17347,20684,18751,64659,193740,100043034,94245,433791,231507,12228,434484,664783,17684,67824,100041379,52915,223332,368203,71468,360220,100041433,381287,626316,112422,110265,66789,109032,22631,100041352,100862314,26357,667666,264064,381280,16646,233833	Filip1l,Chil3,Zfp984,Sp140l2,Zmynd11,Zfp982,Spats2l,Zfp268,Tdpoz4,Zfp991,Zfp936,Nkx6-1,Zfp988,Mknk2,Sp100,Prkcb,Mrps14,Hspa1a,Rex2,Dtnbp1,Zfp992,Plac8,Btg3,Sp140,Dux,Cited2,Nmral1,Zfp980,Zmiz2,Ranbp3l,Brcc3dc,Obox1,Speer4d,Zfp981,Sp140l1,Zfp987,Zfp979,Msra,Alg14,Sp110,Ywhaz,Tcp10c,Spin2j,Abcg2,Zfp600,Cdk8,Hjurp,Kpna1,Tnrc6a
GO:0008091	spectrin	0.0304435667354503	-3.49188058020335	6	1	0.00675675675675676	148	28799	18751	Prkcb
GO:0098591	external side of apical plasma membrane	0.0304435667354503	-3.49188058020335	6	1	0.00675675675675676	148	28799	26357	Abcg2
GO:0070552	BRISC complex	0.0354272208203931	-3.34027480460416	7	1	0.00675675675675676	148	28799	368203	Brcc3dc
GO:0005615	extracellular space	0.0396604957985077	-3.22739965474554	1929	16	0.108108108108108	148	28799	12655,100189605,12994,18812,81600,100041687,107849,78896,104183,100048884,56838,18811,17844,20725,193740,94242	Chil3,Mup19,Csn3,Prl2c3,Chia1,Mup8,Prl2c5,Ecrg4,Chil4,Mup18,Ccl28,Prl2c2,Mup5,Serpinb8,Hspa1a,Tinagl1
GO:0031462	Cul2-RING ubiquitin ligase complex	0.0417770464021236	-3.17540821941385	63	2	0.0135135135135135	148	28799	381654,100041102	Pramel34,Pramel42
GO:0001650	fibrillar center	0.0452942696234382	-3.09457475287359	154	3	0.0202702702702703	148	28799	381287,620078,434484	Sp140l1,Sp140l2,Sp140
GO:0070531	BRCA1-A complex	0.0453183246231236	-3.09404381122137	9	1	0.00675675675675676	148	28799	368203	Brcc3dc
GO:0098686	hippocampal mossy fiber to CA3 synapse	0.0466759240763408	-3.06452679164983	67	2	0.0135135135135135	148	28799	22631,94245	Ywhaz,Dtnbp1
GO:0042564	NLS-dependent protein nuclear import complex	0.050226031738591	-2.9912218261608	10	1	0.00675675675675676	148	28799	16646	Kpna1
GO:0031074	nucleocytoplasmic transport complex	0.0599663950894005	-2.81397095550779	12	1	0.00675675675675676	148	28799	16646	Kpna1
GO:0044294	dendritic growth cone	0.0599663950894005	-2.81397095550779	12	1	0.00675675675675676	148	28799	12808	Cobl
GO:0034663	endoplasmic reticulum chaperone complex	0.0599663950894005	-2.81397095550779	12	1	0.00675675675675676	148	28799	394436	Ugt1a1
GO:0031526	brush border membrane	0.0667373250643009	-2.70699088640968	82	2	0.0135135135135135	148	28799	18751,26357	Prkcb,Abcg2
