TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko00140	Steroid hormone biosynthesis	3.81615353183979e-05	-10.1736824784829	87	5	0.138888888888889	36	8044	107141,53973,100041375,380997,394436	Cyp2c50,Cyp3a41a,Cyp3a41b,Cyp2d12,Ugt1a1
mmu00140	Steroid hormone biosynthesis	3.81615353183979e-05	-10.1736824784829	87	5	0.138888888888889	36	8044	100041375,53973,107141,394436,380997	Cyp3a41b,Cyp3a41a,Cyp2c50,Ugt1a1,Cyp2d12
mmu00830	Retinol metabolism	0.000629384641674793	-7.37076797516522	89	4	0.111111111111111	36	8044	394436,107141,53973,100041375	Ugt1a1,Cyp2c50,Cyp3a41a,Cyp3a41b
ko00830	Retinol metabolism	0.000629384641674793	-7.37076797516522	89	4	0.111111111111111	36	8044	394436,100041375,53973,107141	Ugt1a1,Cyp3a41b,Cyp3a41a,Cyp2c50
ko05204	Chemical carcinogenesis	0.000743117393683157	-7.20465652615357	93	4	0.111111111111111	36	8044	107141,53973,100041375,394436	Cyp2c50,Cyp3a41a,Cyp3a41b,Ugt1a1
mmu05204	Chemical carcinogenesis	0.000743117393683157	-7.20465652615357	93	4	0.111111111111111	36	8044	100041375,53973,107141,394436	Cyp3a41b,Cyp3a41a,Cyp2c50,Ugt1a1
ko00591	Linoleic acid metabolism	0.00139664637878137	-6.5736813597539	50	3	0.0833333333333333	36	8044	107141,53973,100041375	Cyp2c50,Cyp3a41a,Cyp3a41b
mmu00591	Linoleic acid metabolism	0.00139664637878137	-6.5736813597539	50	3	0.0833333333333333	36	8044	53973,107141,100041375	Cyp3a41a,Cyp2c50,Cyp3a41b
ko04750	Inflammatory mediator regulation of TRP channels	0.0180090001225531	-4.01688363923922	125	3	0.0833333333333333	36	8044	171382,18751,107141	Trpm8,Prkcb,Cyp2c50
mmu04750	Inflammatory mediator regulation of TRP channels	0.0180090001225531	-4.01688363923922	125	3	0.0833333333333333	36	8044	107141,18751,171382	Cyp2c50,Prkcb,Trpm8
mmu04726	Serotonergic synapse	0.020787931342226	-3.87338268460135	132	3	0.0833333333333333	36	8044	107141,18751,380997	Cyp2c50,Prkcb,Cyp2d12
mmu_M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	0.0221829972625239	-3.80842917262228	5	1	0.0277777777777778	36	8044	107626	Asmt
M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	0.0221829972625239	-3.80842917262228	5	1	0.0277777777777778	36	8044	107626	Asmt
mmu05206	MicroRNAs in cancer	0.0353087555234381	-3.34362431397225	280	4	0.111111111111111	36	8044	100628572,387222,18751,723930	Mir101c,Mir29a,Prkcb,Mir335
ko05206	MicroRNAs in cancer	0.0353087555234381	-3.34362431397225	280	4	0.111111111111111	36	8044	387222,100628572,18751,723930	Mir29a,Mir101c,Prkcb,Mir335
mmu05164	Influenza A	0.0386216916437468	-3.25394120066901	168	3	0.0833333333333333	36	8044	16646,193740,18751	Kpna1,Hspa1a,Prkcb
ko05164	Influenza A	0.0386216916437468	-3.25394120066901	168	3	0.0833333333333333	36	8044	193740,16646,18751	Hspa1a,Kpna1,Prkcb
mmu_M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0.039584237567521	-3.22932428118536	9	1	0.0277777777777778	36	8044	234515	Inpp4b
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0.039584237567521	-3.22932428118536	9	1	0.0277777777777778	36	8044	234515	Inpp4b
mmu04062	Chemokine signaling pathway	0.049076855316717	-3.01436773379369	185	3	0.0833333333333333	36	8044	18751,12775,56838	Prkcb,Ccr7,Ccl28
ko04062	Chemokine signaling pathway	0.049076855316717	-3.01436773379369	185	3	0.0833333333333333	36	8044	12775,18751,56838	Ccr7,Prkcb,Ccl28
mmu_M00353	Spliceosome, Prp19/CDC5L complex	0.0566842581444545	-2.87025874093253	13	1	0.0277777777777778	36	8044	193740	Hspa1a
M00353	Spliceosome, Prp19/CDC5L complex	0.0566842581444545	-2.87025874093253	13	1	0.0277777777777778	36	8044	193740	Hspa1a
mmu_M00055	N-glycan precursor biosynthesis	0.060912793407887	-2.7983120539493	14	1	0.0277777777777778	36	8044	66789	Alg14
M00055	N-glycan precursor biosynthesis	0.060912793407887	-2.7983120539493	14	1	0.0277777777777778	36	8044	66789	Alg14
ko00790	Folate biosynthesis	0.060912793407887	-2.7983120539493	14	1	0.0277777777777778	36	8044	56738	Mocs1
mmu00790	Folate biosynthesis	0.060912793407887	-2.7983120539493	14	1	0.0277777777777778	36	8044	56738	Mocs1
ko04070	Phosphatidylinositol signaling system	0.0683394176075378	-2.68326855431641	96	2	0.0555555555555556	36	8044	234515,18751	Inpp4b,Prkcb
mmu04070	Phosphatidylinositol signaling system	0.0683394176075378	-2.68326855431641	96	2	0.0555555555555556	36	8044	18751,234515	Prkcb,Inpp4b
mmu04066	HIF-1 signaling pathway	0.0824616678975495	-2.49542172516104	107	2	0.0555555555555556	36	8044	18751,17347	Prkcb,Mknk2
mmu04010	MAPK signaling pathway	0.101927919683031	-2.28348938528085	252	3	0.0833333333333333	36	8044	17347,193740,18751	Mknk2,Hspa1a,Prkcb
ko04010	MAPK signaling pathway	0.101927919683031	-2.28348938528085	252	3	0.0833333333333333	36	8044	18751,193740,17347	Prkcb,Hspa1a,Mknk2
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0.102197228671796	-2.28085071829452	24	1	0.0277777777777778	36	8044	394436	Ugt1a1
mmu_M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0.102197228671796	-2.28085071829452	24	1	0.0277777777777778	36	8044	394436	Ugt1a1
mmu04071	Sphingolipid signaling pathway	0.10301387202312	-2.2728916199849	122	2	0.0555555555555556	36	8044	18751,18201	Prkcb,Nsmaf
ko04071	Sphingolipid signaling pathway	0.10301387202312	-2.2728916199849	122	2	0.0555555555555556	36	8044	18201,18751	Nsmaf,Prkcb
mmu_M00014	Glucuronate pathway (uronate pathway)	0.110239713788819	-2.20509806797543	26	1	0.0277777777777778	36	8044	394436	Ugt1a1
M00014	Glucuronate pathway (uronate pathway)	0.110239713788819	-2.20509806797543	26	1	0.0277777777777778	36	8044	394436	Ugt1a1
ko00053	Ascorbate and aldarate metabolism	0.11423464647571	-2.16950064357129	27	1	0.0277777777777778	36	8044	394436	Ugt1a1
ko04950	Maturity onset diabetes of the young	0.11423464647571	-2.16950064357129	27	1	0.0277777777777778	36	8044	18096	Nkx6-1
mmu00053	Ascorbate and aldarate metabolism	0.11423464647571	-2.16950064357129	27	1	0.0277777777777778	36	8044	394436	Ugt1a1
mmu04950	Maturity onset diabetes of the young	0.11423464647571	-2.16950064357129	27	1	0.0277777777777778	36	8044	18096	Nkx6-1
mmu01100	Metabolic pathways	0.120427491761224	-2.11670743528508	1313	9	0.25	36	8044	107141,81600,107626,234515,394436,56738,53973,66789,100041375	Cyp2c50,Chia1,Asmt,Inpp4b,Ugt1a1,Mocs1,Cyp3a41a,Alg14,Cyp3a41b
ko03060	Protein export	0.126115095531426	-2.07056033237963	30	1	0.0277777777777778	36	8044	66541	Immp1l
mmu03060	Protein export	0.126115095531426	-2.07056033237963	30	1	0.0277777777777778	36	8044	66541	Immp1l
ko01523	Antifolate resistance	0.126115095531426	-2.07056033237963	30	1	0.0277777777777778	36	8044	26357	Abcg2
mmu01523	Antifolate resistance	0.126115095531426	-2.07056033237963	30	1	0.0277777777777778	36	8044	26357	Abcg2
mmu05161	Hepatitis B	0.133837433944468	-2.01112939504812	143	2	0.0555555555555556	36	8044	22631,18751	Ywhaz,Prkcb
ko00040	Pentose and glucuronate interconversions	0.141714955140486	-1.95393759699015	34	1	0.0277777777777778	36	8044	394436	Ugt1a1
ko05020	Prion diseases	0.141714955140486	-1.95393759699015	34	1	0.0277777777777778	36	8044	193740	Hspa1a
mmu00040	Pentose and glucuronate interconversions	0.141714955140486	-1.95393759699015	34	1	0.0277777777777778	36	8044	394436	Ugt1a1
mmu05020	Prion diseases	0.141714955140486	-1.95393759699015	34	1	0.0277777777777778	36	8044	193740	Hspa1a
mmu05143	African trypanosomiasis	0.149413019463331	-1.90104086507811	36	1	0.0277777777777778	36	8044	18751	Prkcb
ko05143	African trypanosomiasis	0.149413019463331	-1.90104086507811	36	1	0.0277777777777778	36	8044	18751	Prkcb
M00355	Spliceosome, 35S U5-snRNP	0.149413019463331	-1.90104086507811	36	1	0.0277777777777778	36	8044	193740	Hspa1a
mmu_M00355	Spliceosome, 35S U5-snRNP	0.149413019463331	-1.90104086507811	36	1	0.0277777777777778	36	8044	193740	Hspa1a
ko04960	Aldosterone-regulated sodium reabsorption	0.15704394007857	-1.85122963967909	38	1	0.0277777777777778	36	8044	18751	Prkcb
mmu04960	Aldosterone-regulated sodium reabsorption	0.15704394007857	-1.85122963967909	38	1	0.0277777777777778	36	8044	18751	Prkcb
ko00860	Porphyrin and chlorophyll metabolism	0.168365670049753	-1.78161705751813	41	1	0.0277777777777778	36	8044	394436	Ugt1a1
ko03440	Homologous recombination	0.168365670049753	-1.78161705751813	41	1	0.0277777777777778	36	8044	368203	Brcc3dc
mmu03440	Homologous recombination	0.168365670049753	-1.78161705751813	41	1	0.0277777777777778	36	8044	368203	Brcc3dc
mmu00860	Porphyrin and chlorophyll metabolism	0.168365670049753	-1.78161705751813	41	1	0.0277777777777778	36	8044	394436	Ugt1a1
mmu04672	Intestinal immune network for IgA production	0.17583121072974	-1.73823077405209	43	1	0.0277777777777778	36	8044	56838	Ccl28
ko04672	Intestinal immune network for IgA production	0.17583121072974	-1.73823077405209	43	1	0.0277777777777778	36	8044	56838	Ccl28
mmu04973	Carbohydrate digestion and absorption	0.17583121072974	-1.73823077405209	43	1	0.0277777777777778	36	8044	18751	Prkcb
ko04973	Carbohydrate digestion and absorption	0.17583121072974	-1.73823077405209	43	1	0.0277777777777778	36	8044	18751	Prkcb
mmu03010	Ribosome	0.182493556433395	-1.70104041379718	174	2	0.0555555555555556	36	8044	100861480,64659	Gm25018,Mrps14
ko03010	Ribosome	0.182493556433395	-1.70104041379718	174	2	0.0555555555555556	36	8044	64659,100861480	Mrps14,Gm25018
mmu02010	ABC transporters	0.186907496347166	-1.67714145645837	46	1	0.0277777777777778	36	8044	26357	Abcg2
mmu00380	Tryptophan metabolism	0.186907496347166	-1.67714145645837	46	1	0.0277777777777778	36	8044	107626	Asmt
ko00380	Tryptophan metabolism	0.186907496347166	-1.67714145645837	46	1	0.0277777777777778	36	8044	107626	Asmt
ko02010	ABC transporters	0.186907496347166	-1.67714145645837	46	1	0.0277777777777778	36	8044	26357	Abcg2
mmu00520	Amino sugar and nucleotide sugar metabolism	0.197839004828104	-1.62030168596711	49	1	0.0277777777777778	36	8044	81600	Chia1
mmu00510	N-Glycan biosynthesis	0.197839004828104	-1.62030168596711	49	1	0.0277777777777778	36	8044	66789	Alg14
ko00520	Amino sugar and nucleotide sugar metabolism	0.197839004828104	-1.62030168596711	49	1	0.0277777777777778	36	8044	81600	Chia1
ko00510	N-Glycan biosynthesis	0.197839004828104	-1.62030168596711	49	1	0.0277777777777778	36	8044	66789	Alg14
mmu00983	Drug metabolism - other enzymes	0.205047154482206	-1.58451530443028	51	1	0.0277777777777778	36	8044	394436	Ugt1a1
ko00983	Drug metabolism - other enzymes	0.205047154482206	-1.58451530443028	51	1	0.0277777777777778	36	8044	394436	Ugt1a1
ko04961	Endocrine and other factor-regulated calcium reabsorption	0.215741443148547	-1.53367461076202	54	1	0.0277777777777778	36	8044	18751	Prkcb
mmu04961	Endocrine and other factor-regulated calcium reabsorption	0.215741443148547	-1.53367461076202	54	1	0.0277777777777778	36	8044	18751	Prkcb
mmu05134	Legionellosis	0.229783144168922	-1.47061926626242	58	1	0.0277777777777778	36	8044	193740	Hspa1a
