TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY-6558	heparan sulfate biosynthesis (late stages)	0.00783555859092983	-4.84908311140407	19	19	0.023543990086741	807	1039	83398,15531,319415,14042,54710,72077,227327,54616,328779,15478,14043,56219,14538,17423,14537,15476,64580,195646,58193	Ndst3,Ndst1,Hs3st5,Ext1,Hs3st3b1,Gcnt3,B3gnt7,Extl3,Hs3st6,Hs3st3a1,Ext2,Extl1,Gcnt2,Ndst2,Gcnt1,Hs3st1,Ndst4,Hs3st2,Extl2
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.0132898838555742	-4.32075214552962	58	52	0.0644361833952912	807	1039	101489,67299,70314,14685,380711,212508,271639,109934,110279,73910,270192,99326,224129,114713,56533,11515,11891,66687,117600,11512,14672,76088,210293,53869,69632,13430,69993,233204,105445,216439,319899,104110,66922,210044,104111,14687,11513,11514,216363,216991,11848,66691,54153,20028,11516,208869,14676,23881,432530,11517,224092,14697	Ric8a,Dock7,Rabep2,Gnat1,Rap1gap2,Mtg1,Adcy10,Abr,Bcr,Arhgap18,Rab6b,Garnl3,Adcy5,Rasa2,Rgs17,Adcy9,Rab27a,Tbc1d15,Srgap1,Adcy6,Gna11,Dock8,Dock10,Rab11a,Arhgef12,Dnm2,Chn2,Tbc1d17,Dock9,Agap2,Dock6,Adcy4,Rras2,Adcy2,Adcy3,Gnaz,Adcy7,Adcy8,Rab3ip,Adap2,Rhoa,Gapvd1,Rasa4,Pdc,Adcyap1,Dock3,Gna15,G3bp2,Adcy1,Adcyap1r1,Lsg1,Gnb5
MOUSE_LIPASYN-PWY	phospholipases	0.0348034974655336	-3.35803739536853	34	31	0.0384138785625774	807	1039	665270,53357,329502,18784,18807,114875,18783,78390,18781,269615,104759,69836,18805,18795,26971,66350,18802,18796,18806,72469,194908,18799,74055,18778,18803,18780,18782,234779,271844,269437,26970	Plb1,Pla2g6,Pla2g4e,Pla2g5,Pld3,Plcz1,Pla2g4a,Pla2g4d,Pla2g2c,Plch2,Pld4,Pla2g12b,Pld1,Plcb1,Pla2g2f,Pla2g12a,Plcd4,Plcb2,Pld2,Plcd3,Pld6,Plcd1,Plce1,Pla2g1b,Plcg1,Pla2g2a,Pla2g2d,Plcg2,Pla2g4f,Plch1,Pla2g2e
MOUSE_PWY-6564	heparan sulfate biosynthesis	0.0475305138955038	-3.0463833763906	26	24	0.0297397769516729	807	1039	14538,56219,14043,218271,195646,64580,15476,72077,319415,15531,83398,328779,227327,17423,58193,14537,72727,54710,233781,14042,280645,15478,76898,54616	Gcnt2,Extl1,Ext2,B4galt7,Hs3st2,Ndst4,Hs3st1,Gcnt3,Hs3st5,Ndst1,Ndst3,Hs3st6,B3gnt7,Ndst2,Extl2,Gcnt1,B3gat3,Hs3st3b1,Xylt1,Ext1,B3gat2,Hs3st3a1,B3gat1,Extl3
MOUSE_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.0516114043056174	-2.96401261723979	19	18	0.0223048327137546	807	1039	269615,108083,18803,74302,18718,74055,114875,219024,18799,72469,72519,18802,18796,269437,117150,18795,97287,234779	Plch2,Pip4k2b,Plcg1,Mtmr3,Pip4k2a,Plce1,Plcz1,Pip4p1,Plcd1,Plcd3,Pip4p2,Plcd4,Plcb2,Plch1,Pip4k2c,Plcb1,Mtmr14,Plcg2
MOUSE_PWY-5328	superpathway of methionine degradation	0.0516114043056174	-2.96401261723979	19	18	0.0223048327137546	807	1039	110821,64918,74340,17850,14718,11720,269378,108645,12411,73724,211389,238505,229709,66904,107869,12583,12116,232087	Pcca,Bhmt2,Ahcyl2,Mmut,Got1,Mat1a,Ahcy,Mat2b,Cbs,Mcee,Suox,Mtr,Ahcyl1,Pccb,Cth,Cdo1,Bhmt,Mat2a
MOUSE_PWY3DJ-219	PIP metabolism	0.0703522955376341	-2.65423986571054	47	41	0.0508054522924411	807	1039	74769,20975,83493,18796,18802,64436,75669,234515,117150,18795,18708,114875,219024,225326,108083,104709,269615,18710,18717,74302,97287,234779,18706,72519,269437,18718,74055,18799,30955,269180,103199,72469,67073,19211,107650,18803,18719,18707,320207,104015,18711	Pik3cb,Synj2,Sacm1l,Plcb2,Plcd4,Inpp5e,Pik3r4,Inpp4b,Pip4k2c,Plcb1,Pik3r1,Plcz1,Pip4p1,Pik3c3,Pip4k2b,Pik3r6,Plch2,Pik3r3,Pip5k1c,Mtmr3,Mtmr14,Plcg2,Pik3ca,Pip4p2,Plch1,Pip4k2a,Plce1,Plcd1,Pik3cg,Inpp4a,Fig4,Plcd3,Pi4k2b,Pten,Pi4kb,Plcg1,Pip5k1b,Pik3cd,Pik3r5,Synj1,Pikfyve
MOUSE_PWY-6355	phosphate acquisition II	0.0785210332236798	-2.5443887509279	17	16	0.0198265179677819	807	1039	69675,101744,13861,229791,235534,17523,11433,12359,27403,56318,16578,18477,11758,66659,22018,11432	Pxdn,Acp7,Epx,Plppr4,Pxylp1,Mpo,Acp5,Cat,Abca7,Acp3,Kif9,Prdx1,Prdx6,Acp6,Tpo,Acp2
MOUSE_PWY3DJ-12	ceramide biosynthesis	0.0789104250535246	-2.53944192990275	10	10	0.0123915737298637	807	1039	93898,71949,67260,70059,20773,268656,241447,228677,70750,76893	Cers1,Cers5,Cers4,Degs2,Sptlc2,Sptlc1,Cers6,Sptlc3,Kdsr,Cers2
MOUSE_PWY-3561	choline biosynthesis III	0.101851801760669	-2.28423644613031	9	9	0.0111524163568773	807	1039	99712,18805,18806,13026,194908,236899,212862,104759,18807	Cept1,Pld1,Pld2,Pcyt1a,Pld6,Pcyt1b,Chpt1,Pld4,Pld3
