TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF07679	I-set	2.14027186751572e-09	-19.9623329750865	130	124	0.00846012144367879	14657	19276	18595,223435,14184,268902,107449,17968,15530,19268,80749,20320,330908,235402,116904,20612,57810,84004,272381,116701,18488,235472,237979,210801,22138,67703,68810,18198,69675,226438,54631,238205,380698,19266,320398,19876,237403,330222,68753,242702,26563,12805,29817,70530,74762,72333,71461,241568,53870,19649,109272,19272,16980,11790,211323,170643,53311,233067,16206,278507,16177,19289,101434,19280,26564,17930,75426,268890,14182,107448,269116,225638,18212,16981,56741,114873,242384,71306,545156,100042150,77739,22174,269959,269473,60367,114872,192198,16542,20348,269784,74144,21367,14186,107589,242050,22329,229715,58916,14257,12661,233199,117606,18007,18213,244682,17929,66601,170721,98733,13176,107250,22253,14183,14254,319504,17967,320772,13723,320747,545428,233186,68802,16979,545370,13508,235106	Pdgfra,Trio,Fgfr3,Robo2,Unc5b,Ncam2,Hspg2,Ptprf,Lrfn1,Nptn,Opcml,Lingo1,Alpk3,Siglec1,Cdon,Mcam,Lrrc4b,Fgfrl1,Cntn3,Prtg,Sdk2,Unc5d,Ttn,Kirrel3,Nexn,Musk,Pxdn,Igfn1,Nphs1,Lrfn5,Obscn,Ptprd,Lrig3,Robo1,Lingo3,Sdk1,Mybphl,Myom3,Ror1,Cntn1,Igfbp7,Lrfn2,Mdga1,Palld,Ptk7,Lrrc4c,Cntn6,Robo3,Mybpc1,Ptprk,Lrrn2,Speg,Nrg1,Kirrel1,Mybph,Lrfn3,Lrig1,Wfikkn2,Il1r1,Igdcc3,Ceacam15,Ptprs,Ror2,Myom2,Igfbpl1,Lsamp,Fgfr1,Unc5a,Nfasc,Alpk2,Ntrk2,Lrrn3,Igdcc4,Dscaml1,Lingo2,Mfap3l,Kalrn,Nrg2,Adamtsl1,Tyro3,Adamtsl3,Lrig2,Il1rapl2,Psg29,Lrrc4,Kdr,Sema3c,Cntn4,Robo4,Cntn2,Fgfr4,Mylk,Igsf10,Vcam1,Amigo1,Myot,Flt4,Chl1,Mybpc2,Boc,Neo1,Ntrk3,Cntn5,Myom1,Tmigd1,Papln,Obsl1,Dcc,Kazald1,Unc5c,Fgfr2,Flt1,Nrcam,Ncam1,Mdga2,Emb,Lingo4,Ccdc141,Siglecf,Mypn,Lrrn1,Hmcn1,Dscam,Ntm
PF00169	PH	4.15659717642543e-09	-19.2985690838429	185	171	0.0116667803779764	14657	19276	263406,54126,26377,54153,11652,20649,20399,72993,216445,231532,68018,69239,219140,109135,241075,19157,226970,17207,22324,11651,213783,106326,223254,73341,226971,83435,78670,57257,18805,23921,70292,56349,241639,19415,21844,230837,12169,78255,114713,106952,76303,103967,78473,13448,233765,53972,210710,26936,110355,72318,54324,75974,100273,71544,13998,77980,76117,320405,30938,544817,18802,101476,54519,27062,19159,224014,545156,14388,114255,24001,12229,226250,19418,83436,71435,78514,623279,217682,74486,18803,71801,19417,218397,24055,380921,18760,98432,27276,19414,211914,67016,237542,13430,16428,210293,102595,106877,102693,320129,105445,22325,79196,101540,56792,13429,16367,94190,50915,78618,14786,232970,216190,232237,75292,77300,74309,380698,54353,23853,320495,231999,14783,223435,245684,13449,75415,208177,212285,241308,16561,67220,213649,20947,239027,331374,227333,23797,20662,216991,622434,56193,230972,71302,109294,218952,27280,101497,71704,232201,16560,72789,20663,194231,69710,381605,27260,216859,12704,17909,14389,20650,240753,319934,26382,384783,21682,231717,110253,13196,213556,231821	Plekhg3,Arhgef7,Dapp1,Rasa4,Akt2,Sntb1,Sh2b1,Appl1,Arhgap9,Arhgap24,Cert1,Pdzph1,Spata13,Plekha5,Plekhm3,Cyth1,Arhgef4,Mcf2l,Vav1,Akt1,Plekhg1,Osbpl11,Farp1,Arhgef6,Plekhb2,Plekha3,Plekhj1,Vav3,Pld1,Sh2b2,Afap1,Net1,Fermt1,Rasal1,Tiam1,Asap3,Bmx,Ralgps2,Rasa2,Arap3,Osbp,Dnm3,Skap1,Dok1,Plekha7,Ngef,Gab3,Mprip,Grk2,Cyth4,Arhgef5,Dock11,Osbpl9,Arhgap42,Fgd6,Sbf1,Arhgap15,Cadps2,Fgd3,Arhgap27,Plcd4,Plekha1,Apbb1ip,Cadps,Cyth3,Fgd4,Kalrn,Gab1,Dok4,Tiam2,Btk,Afap1l2,Rasgrf2,Plekha2,Arhgap21,Arhgap10,Dok6,Plekhd1,Osbpl10,Plcg1,Plekhf2,Rasgrf1,Rasa1,Sh3bp2,Dgkh,Prkd1,Phlpp1,Plekhb1,Rasa3,Asap2,Tbc1d2b,Osbpl8,Dnm2,Itk,Dock10,Plekho2,Afap1l1,Phldb1,Grk3,Dock9,Vav2,Osbpl5,Prkd2,Stap1,Dnm1,Irs1,Ophn1,Grb14,Acap2,Grb7,Phldb3,Appl2,Fgd5,Prkd3,Raph1,Osbp2,Obscn,Skap2,Def6,Ipcef1,Plekha8,Grb10,Trio,Cnksr2,Dok2,Arhgap12,Phldb2,Arap2,Ralgps1,Kif1b,Plekho1,Arhgef19,Swap70,Arhgap22,Dgkk,Dgkd,Akt3,Sos1,Adap2,Arhgef26,Plek,Arhgef16,Arhgap26,Prex2,Fermt2,Phlda3,Plekhg2,Arhgef3,Arhgap25,Kif1a,Veph1,Sos2,Cnksr1,Arap1,Tbc1d2,Plek2,Acap1,Cit,Myo10,Gab2,Sntb2,Plekha6,Sbf2,Fgd2,Irs2,Tec,Pheta1,Triobp,Asap1,Plekhh2,Adap1
PF00002	7tm_2	4.35738484772192e-06	-12.343638486127	45	45	0.00307020536262537	14657	19276	215798,14527,110789,12921,12311,213527,54672,170757,237175,11517,435529,22354,14602,78249,269604,381628,52389,239853,243277,107831,224792,330814,14652,14766,13733,53883,12922,22355,319229,19228,319387,99633,107934,77596,12614,26364,381853,54598,230775,52614,210933,78560,382045,93896,70693	Adgrg6,Gcgr,Adgrv1,Crhr1,Calcr,Pth2r,Adgrg3,Adgrl4,Adgrg2,Adcyap1r1,Adgrf2,Vipr1,Ghrhr,Adgrf4,Gpr157,Adgrf3,Adgra1,Adgrg7,Adgrd1,Adgrb1,Adgrf5,Adgrl1,Glp1r,Adgrg1,Adgre1,Celsr2,Crhr2,Vipr2,Sctr,Pth1r,Adgrl3,Adgrl2,Celsr3,Adgrf1,Celsr1,Adgre5,Gipr,Calcrl,Adgrb2,Adgre4,Adgrb3,Adgra2,Adgrg5,Glp2r,Adgra3
PF00010	HLH	1.3592990320802e-05	-11.2059563156837	104	96	0.00654977144026745	14657	19276	11865,21349,13345,15903,19213,83383,100039596,67341,56198,17681,17122,15206,17859,15901,18109,17928,11922,29808,11624,21412,71093,20788,207806,17341,17187,18072,17870,20465,21406,209446,18142,17877,21426,20464,15213,15902,17121,69852,21423,18014,234219,17119,50913,17428,320522,227631,84653,18071,53404,21413,17342,18143,11864,22160,11921,272322,59058,140489,18013,50914,17095,17173,94222,15214,15205,20893,208104,11863,20289,11924,11622,55927,17293,12753,15207,79362,11925,17869,18012,21350,20787,17878,16918,17172,56184,114712,15904,15110,58805,21407,21425,22278,17292,22282,17927,277353	Bmal1,Tal1,Twist2,Id3,Ptf1a,Tfap4,Tcf24,Ascl4,Heyl,Msc,Mxd4,Hes2,Mxi1,Id1,Mycn,Myog,Neurod6,Mga,Ahrr,Tcf21,Atoh8,Srebf2,Usf3,Bhlha15,Max,Nhlh2,Mycs,Sim2,Tcf12,Tfe3,Npas1,Myf5,Tfec,Sim1,Hey1,Id2,Mxd3,Tcf23,Tcf3,Neurog1,Helt,Mxd1,Olig2,Mnt,Bhlha9,Sohlh1,Hes7,Nhlh1,Atoh7,Tcf4,Mitf,Npas2,Arnt2,Twist1,Atoh1,Bmal2,Bhlhe22,Bhlhe23,Neurod2,Olig1,Lyl1,Ascl2,Olig3,Hey2,Hes1,Bhlhe40,Mlxip,Arnt,Scx,Neurog2,Ahr,Hes6,Mesp2,Clock,Hes3,Bhlhe41,Neurog3,Myc,Neurod1,Tal2,Srebf1,Myf6,Mycl,Ascl1,Msgn1,Ferd3l,Id4,Hand1,Mlxipl,Tcf15,Tfeb,Usf1,Mesp1,Usf2,Myod1,Tcfl5
PF07714	PK_Tyr_Ser-Thr	2.22965654397687e-05	-10.7110779075138	127	115	0.00784608037115372	14657	19276	19882,18595,11836,13837,14184,12988,18214,21687,13842,14918,16885,73707,12169,14302,14919,22612,18198,14360,11482,20963,14083,22637,333050,16452,16337,16428,15162,230661,14158,269275,13841,26563,14159,19886,11350,26403,13846,19713,71461,16451,12978,234878,12305,13835,13867,192656,270190,13848,26409,74568,16453,83813,109880,17179,71751,17289,13840,26404,54721,83560,65964,26564,20779,18160,21682,14182,435766,16590,13869,13844,18212,16886,51789,18596,13866,22174,17005,12229,230735,16542,11302,11477,11682,18211,22165,14186,17295,231876,12143,243659,14257,192292,21813,18213,13836,11352,19229,381983,14254,14183,23920,13838,110542,13649,13845,26362,14917,244859,14191,12167,17096,16001,13839,16706,20187	Mst1r,Pdgfra,Araf,Epha3,Fgfr3,Csk,Ddr2,Tek,Epha8,Gucy2d,Limk1,Gucy2g,Bmx,Frk,Gucy2e,Yes1,Musk,Fyn,Acvrl1,Syk,Ptk2,Zap70,Ksr2,Jak2,Insr,Itk,Hck,Tesk2,Fer,Acvr1c,Epha7,Ror1,Fes,Ros1,Abl1,Map3k11,Ephb4,Ret,Ptk7,Jak1,Csf1r,Map3k21,Ddr1,Epha1,Erbb3,Ripk2,Ephb1,Ephb6,Map3k7,Mlkl,Jak3,Tnk1,Braf,Matk,Map3k13,Mertk,Epha6,Map3k12,Tyk2,Tex14,Map3k20,Ror2,Src,Npr1,Tec,Fgfr1,Tnni3k,Kit,Erbb4,Ephb2,Ntrk2,Limk2,Tnk2,Pdgfrb,Erbb2,Tyro3,Ltk,Btk,Epha10,Kdr,Aatk,Acvr1,Alk,Ntrk1,Txk,Fgfr4,Met,Lmtk2,Blk,Styk1,Flt4,Nrbp1,Tgfbr2,Ntrk3,Epha2,Abl2,Ptk2b,Lmtk3,Flt1,Fgfr2,Insrr,Epha4,Amhr2,Egfr,Ephb3,Axl,Gucy2c,Ankk1,Fgr,Bmpr1b,Lyn,Igf1r,Epha5,Ksr1,Ryk
PF00069	Pkinase	4.76164333233991e-05	-9.95233261842125	356	301	0.0205362625366719	14657	19276	12795,13143,11651,26419,223775,216965,234854,329421,52163,59125,26448,217866,13666,19094,140780,53416,381836,270672,271697,213435,17347,264064,69181,546071,226751,56480,66725,230809,70415,109333,18712,12325,73086,140810,13175,12361,75770,20815,18479,15257,77976,108737,18749,11481,11652,667663,16589,53859,244418,245269,26918,12567,70584,22114,18759,27373,381113,215303,328329,13000,399510,74137,53608,227154,13548,18754,11480,12326,52033,110157,226419,545156,56542,20111,12323,23939,228012,433486,17776,27103,22390,117229,21812,209012,12235,93687,237300,67071,101568,15259,279561,17451,105787,18647,26407,59126,69562,20874,12747,26420,19877,19106,17165,235344,20112,674895,56637,110355,104175,213084,26396,269019,20877,106763,18557,228785,22367,18715,12322,18004,71099,26398,22137,73914,27206,238323,108079,26414,13728,107589,75607,15467,244631,211770,18099,17152,635895,74178,55984,26397,18481,269774,22138,70425,104318,75292,107951,20871,380698,18752,78891,231580,12534,12166,11479,232533,24014,108058,20873,69847,56532,217410,381835,12748,56274,263803,223435,68961,226778,26416,69131,19878,20817,12168,26413,56527,17279,50883,320119,266632,20868,228775,18817,14772,236574,71742,232341,24086,108960,244895,18760,110651,225028,27263,18751,20623,101320,20872,26408,12675,11790,29857,17169,72388,50523,18753,26406,67333,320129,26921,26401,20393,69635,58231,59041,72508,101540,50932,269209,213452,26412,29869,16150,19092,64293,23938,27219,233328,330721,12704,207565,20620,12995,50772,245038,26559,18005,56613,70661,13549,72149,241656,26415,18761,227541,382253,18750,73542,75669,106504,57740,78943,223255,15258,12566,69922,17164,224105,268930,12571,26400,237459,23797,71091,17691,23954,330177,18762,78334,381393,17346,105278,338372,225724,56489,26405,217718,381979,102414,68943,98267,19134,13144,70762,19091,58864,214230,665113,12545,18607,192292,208583,77485,320795,26410,170755,18755,240505,102626,53886,26399	Plk3,Dapk2,Akt1,Mapk8,Pim3,Taok1,Cdk10,Myo3b,Camk1,Nek7,Mok,Cdc42bpb,Eif2ak3,Mapk11,Bmp2k,Stk39,Sbk2,Map3k15,Cdk15,Mylk3,Mknk2,Cdk8,Dyrk2,Mast3,Cdc42bpa,Tbk1,Lrrk2,Pdik1l,Stk26,Pkn2,Pim1,Camk2g,Rps6ka5,Ttbk2,Dclk1,Cask,Brsk2,Srpk1,Pak1,Hipk1,Nuak1,Oxsr1,Prkacb,Acvr2b,Akt2,Myo3a,Uhmk1,Map3k14,Prag1,Nim1k,Ern2,Cdk4,Pak4,Tssk1,Prkci,Csnk1e,Cdkl4,Camk1g,Mast4,Csnk2a2,Map4k5,Nuak2,Map3k6,Stradb,Dyrk1a,Prkce,Acvr2a,Camk4,Pbk,Raf1,Dyrk3,Kalrn,Cilk1,Rps6ka1,Camk2b,Mapk7,Tlk1,Gm14151,Mast2,Eif2ak4,Wee1,Stk33,Tgfbr1,Ulk4,Bub1,Csnk1a1,Gm4922,Rps6ka6,Vrk3,Hipk3,Wnk3,Mos,Prkaa1,Cdk14,Map3k4,Nek6,Cdk13,Slk,Clk1,Mapk9,Rock1,Eif2ak2,Mapkapk5,Sik2,Rps6ka2,Nek10,Gsk3b,Grk2,Sbk1,Cdkl3,Map2k2,Stk32a,Aurkb,Ttbk1,Cdk18,Mylk2,Vrk1,Pim2,Camk2a,Nek1,Tssk4,Map2k4,Ttk,Irak3,Nrk,Rps6kl1,Prkaa2,Mapk10,Mark2,Mylk,Wnk2,Eif2ak1,Pskh1,Trib1,Nlk,Mak,Gm7168,Stk40,Camkk1,Map2k3,Pak3,Aak1,Ttn,Csnk1g3,Csnk1d,Prkd3,Cdk9,Aurkc,Obscn,Prkcg,Scyl1,Gak,Cdk1,Bmpr1a,Acvr1b,Stk38l,Rnasel,Camk2d,Plk4,Wnk4,Ripk3,Trib2,Sbk3,Clk2,Stk3,Pkn3,Trio,Phkg2,Mark1,Mapk14,Cdk12,Rock2,Srpk2,Bmpr2,Mapk1,Mast1,Melk,Chek2,Rps6kc1,Irak4,Stk10,Trib3,Plk1,Grk4,Smok2b,Ulk3,Wnk1,Tlk2,Irak2,Peak1,Prkd1,Rps6ka3,Map4k3,Smok2a,Prkcb,Snrk,Dyrk4,Stk16,Map3k5,Chuk,Speg,Mapk12,Mark3,Ripk4,Lats2,Prkcd,Map3k3,Stk35,Grk3,Map4k4,Map3k1,Sgk1,Dapk1,Stk4,Stk25,Rps6kb1,Prkd2,Mink1,Stk36,Dstyk,Map4k2,Ulk2,Ikbkb,Prkg2,Stk32b,Map2k5,Sgk2,Lrrk1,Nek5,Cit,Camkk2,Plk2,Csnk2a1,Mapk6,Dclk3,Hunk,Nek2,Rps6ka4,Sik3,Dyrk1b,Strada,Pak5,Mapk13,Prkcq,Camk1d,Cdkl5,Prkca,Tssk5,Pik3r4,Stk38,Stk32c,Ern1,Stk24,Hipk2,Cdk2,Vrk2,Mapkapk2,Pak2,Pkmyt1,Cdk6,Map2k7,Cdk17,Akt3,Cdkl1,Sik1,Nek3,Taok3,Prkcz,Cdk19,4921509C19Rik,Mknk1,Cdk20,Map3k9,Mapk4,Ikbke,Map3k2,Nek9,Brsk1,Clk3,Pink1,Stk17b,Prpf4b,Dapk3,Dclk2,Prkg1,Tssk3,Pak6,Tnik,Cdc7,Pdpk1,Nrbp1,Nek11,Stk31,Pkn1,Map3k8,Sgk3,Prkch,Cdc42bpg,Mapkapk3,Cdkl2,Map2k6
PF00028	Cadherin	5.30827691380236e-05	-9.84365818071967	116	105	0.00716381251279252	14657	19276	13506,93702,192163,93713,14107,53883,241201,93881,12562,107934,93711,93883,116731,13512,93716,93891,104010,219228,93889,12942,22295,11994,192161,93893,93872,93723,12614,93888,12555,73173,268663,12563,353236,93879,12554,93703,12550,93878,23836,75599,93706,53601,12561,12557,227485,320865,93701,320873,93708,64085,329628,93876,12943,353235,192164,12941,93722,93892,93873,225256,233651,68764,12560,18530,93700,381409,219257,93704,19713,13510,211712,93699,12564,170677,93874,93715,16769,353237,13505,93877,245827,12558,93885,93710,93717,93884,65945,245578,12939,13507,93875,353234,93880,93714,12552,270120,211924,215654,93705,12565,93724,93890,54216,18526,12936	Dsc2,Pcdhgb5,Pcdha3,Pcdhga5,Fat1,Celsr2,Cdh7,Pcdhb10,Cdh5,Celsr3,Pcdhga3,Pcdhb12,Pcdha1,Dsg3,Pcdhga8,Pcdhb20,Cdh22,Pcdh17,Pcdhb18,Pcdha11,Cdh23,Pcdh15,Pcdha9,Pcdhb22,Pcdhb1,Pcdhga11,Celsr1,Pcdhb17,Cdh15,Pcdh18,Cdhr2,Cdh6,Pcdhac1,Pcdhb8,Cdh13,Pcdhgb6,Cdh1,Pcdhb7,Cdh20,Pcdh1,Pcdhgc3,Pcdh12,Cdh4,Cdh17,Cdh19,Cdh18,Pcdhgb4,Cdh10,Pcdhgc5,Clstn2,Fat4,Pcdhb5,Pcdha10,Pcdha8,Pcdha12,Pcdha5,Pcdhga10,Pcdhb21,Pcdhb2,Dsg1b,Dchs1,Cdhr3,Cdh3,Pcdh8,Pcdhgb2,Cdh26,Pcdh20,Pcdhgb7,Ret,Dsg1a,Pcdh9,Pcdhgb1,Cdh8,Cdhr1,Pcdhb3,Pcdhga7,Dsg4,Pcdhac2,Dsc1,Pcdhb6,Fat2,Cdh2,Pcdhb14,Pcdhga2,Pcdhga9,Pcdhb13,Clstn1,Pcdh11x,Pcdha7,Dsc3,Pcdhb4,Pcdha2,Pcdhb9,Pcdhga6,Cdh11,Fat3,Dsg1c,Cdh12,Pcdhgb8,Cdh9,Pcdhga12,Pcdhb19,Pcdh7,Pcdh10,Pcdha4
PF00018	SH3_1	8.83077627060686e-05	-9.33468254135246	107	97	0.00661799822610357	14657	19276	330662,11352,269016,11308,20408,20409,12143,22165,214459,71520,20403,13383,54324,56324,17096,17974,230972,99662,14191,68813,207278,52906,17970,622434,53972,14269,14784,18803,209456,234779,259302,66616,20740,329165,20779,21682,12229,98402,12929,94176,545156,12928,20411,231147,237353,53310,226970,71602,219140,11350,13385,19200,20405,225608,16443,319262,237611,12927,171207,16428,21981,216445,15162,71972,12488,20410,17179,117600,71893,13860,17972,218397,17444,78473,17969,14270,14302,20491,12988,20844,105835,15163,27059,223435,14218,23859,15468,234214,54353,14360,17973,59009,22612,241275,22324,20404,268396	Dock1,Abl2,Sh3rf2,Abi1,Sh3gl3,Ostf1,Blk,Txk,Fnbp1l,Grap,Itsn2,Dlg1,Arhgef5,Stam2,Lyn,Nck2,Arhgef16,Eps8l3,Fgr,Dock5,Fchsd2,Ahi1,Ncf2,Arhgef26,Ngef,Fnbp1,Grb2,Plcg1,Trp53bp2,Plcg2,Srgap3,Snx9,Sptan1,Abi2,Src,Tec,Btk,Sh3bp4,Crkl,Dock2,Kalrn,Crk,Sorbs1,Sh3tc1,Sh3rf3,Dlg3,Arhgef4,Myo1e,Spata13,Abl1,Dlg4,Pstpip1,Sh3gl1,Sh3tc2,Itsn1,Fchsd1,Stac3,Bcar1,Arhgap4,Itk,Ppp1r13b,Arhgap9,Hck,Dnmbp,Cd2ap,Sorbs3,Matk,Srgap1,Noxo1,Eps8,Ncf4,Rasa1,Grap2,Skap1,Ncf1,Srgap2,Frk,Sla,Csk,Stam,Sgsm3,Hcls1,Sh3d19,Trio,Sh3pxd2a,Dlg2,Prmt2,Sorbs2,Skap2,Fyn,Nck1,Sh3rf1,Yes1,Noxa1,Vav1,Sh3gl2,Sh3pxd2b
PF00168	C2	9.1769781636861e-05	-9.29622749059722	125	112	0.00764140001364536	14657	19276	94253,74020,52635,12891,74413,114713,74562,212139,55925,54524,20979,19415,83671,319965,110279,26875,18752,208898,237397,77945,100534273,66313,13446,102278,266692,382018,69601,26903,269615,83672,20983,70450,17999,240058,50780,109934,16443,20981,244049,224860,72469,18646,80976,83762,269437,241770,19414,54525,114875,227120,54153,74055,18751,218397,277939,75767,18803,234779,20980,226101,242662,116837,234577,234515,211232,272636,18750,16396,18705,52055,110058,19894,329502,382077,83814,269589,54473,229521,18754,240752,78390,116838,171180,238266,70568,18802,226525,12337,18799,22249,18755,244585,78610,319508,18798,545192,18704,271844,54526,18783,18796,20403,66871,78771,13447,74998,329152,74741,211652,75788,329324,271944	Hecw1,Cpne4,Esyt2,Cpne6,Tc2n,Rasa2,Fer1l4,Cc2d1a,Syt8,Syt6,Syt1,Rasal1,Sytl2,Cc2d1b,Bcr,Pclo,Prkcg,Unc13c,C2cd4c,Rpgrip1,Fer1l5,Smurf2,Doc2a,Cpne7,Cpne1,Unc13a,Dab2ip,Dysf,Plch2,Sytl3,Syt4,Unc13d,Nedd4,Cpne5,Rgs3,Abr,Itsn1,Syt3,Mctp2,Plcl2,Plcd3,Prf1,Syt13,Otof,Plch1,Rims4,Rasa3,Syt7,Plcz1,Plcl1,Rasa4,Plce1,Prkcb,Rasa1,C2cd3,Rab11fip1,Plcg1,Plcg2,Syt2,Myof,Rims3,Rims1,Cpne2,Inpp4b,Cpne9,Esyt3,Prkca,Itch,Pik3c2g,Rab11fip5,Syt17,Rph3a,Pla2g4e,Ccdc33,Nedd4l,Sytl1,Tollip,Syt11,Prkce,Pik3c2b,Pla2g4d,Rims2,Syt12,Syt16,Cpne3,Plcd4,Rasal2,Capn5,Plcd1,Unc13b,Prkch,Rpgrip1l,Uvrag,Syt15,Plcb4,Baiap3,Pik3c2a,Pla2g4f,Syt10,Pla2g4a,Plcb2,Itsn2,Cpne8,Mctp1,Doc2b,Rab11fip2,Hecw2,C2cd5,Wwc1,Smurf1,Syt14,C2cd4d
PF01391	Collagen	9.78212219602101e-05	-9.232369011005	74	69	0.00470764822269223	14657	19276	12839,69183,12818,12826,56745,665033,329941,71145,140703,23829,12821,11450,12260,72709,17167,237759,229389,14134,12823,20390,68553,12835,12819,12831,77018,107581,12813,12829,227580,12841,12836,12828,17195,12816,12259,12833,12825,81799,12843,94216,17194,140709,14133,12824,219151,239447,382864,109323,12822,235379,245026,320924,12827,12817,140792,71355,73368,12834,20288,12814,12842,12830,53867,12832,12840,12837,71693,373864,69700	Col9a1,C1qtnf2,Col14a1,Col4a1,C1qtnf1,Col6a5,Col8a2,Scara5,Emid1,C1ql1,Col17a1,Adipoq,C1qb,C1qtnf6,Marco,Col23a1,Otol1,Fcnb,Col19a1,Sftpd,Col6a4,Col6a3,Col15a1,Col5a1,Col25a1,Col16a1,Col10a1,Col4a4,C1ql3,Col9a3,Col7a1,Col4a3,Mbl2,Col12a1,C1qa,Col6a1,Col3a1,C1qtnf3,Col1a2,Col4a6,Mbl1,Col26a1,Fcna,Col2a1,Scara3,Colec10,Colq,C1qtnf7,Col18a1,Gldn,Col6a6,Ccbe1,Col4a2,Col13a1,Colec12,Col24a1,Col20a1,Col6a2,Msr1,Col11a1,Col1a1,Col4a5,Col5a3,Col5a2,Col9a2,Col8a1,Colec11,Col27a1,Col22a1
