TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	1.03228614948352e-06	-13.7837346527076	252	229	0.0290572262403248	7881	9882	110355,215632,110279,101476,72993,13998,14388,106326,245666,69632,13449,385263,14783,226971,75974,102595,231999,19417,227120,263406,19878,380921,17207,347722,223435,78473,231821,20947,57257,71240,216439,27276,381605,213522,74486,20741,21682,27062,16369,76829,71544,213783,20663,71704,54353,73728,74002,54519,23797,20650,105445,20649,78514,22325,269608,106952,30938,94190,13429,232201,16800,16560,227333,106877,76117,19418,18803,19877,240753,211914,216991,56792,67220,72789,18799,244867,210710,212285,102098,12229,320129,71096,234353,231134,208177,26377,241308,233765,19414,232970,20742,114255,110253,56193,20166,384783,226245,71801,77980,216859,69710,19157,100273,237542,67016,102693,230837,226525,320495,241639,109934,26936,74309,226751,22113,240505,16561,331374,16367,109294,12169,544817,226250,231717,269437,18802,101497,26382,69601,11652,241075,101540,230972,54126,23853,64291,70292,23921,20399,69239,20743,75547,83436,622434,213649,21844,102075,18805,68018,320405,24001,72318,234779,56349,71720,623279,217682,21664,216190,319934,224860,75292,54153,213556,14786,13196,78618,217866,231532,80297,27260,71302,76303,226970,380698,232237,223254,110596,99031,20403,545156,17909,109135,77300,16428,18760,24055,79196,13430,19415,245684,19159,216445,218397,353047,11651,50915,27280,269615,18806,114713,106766,224014,78670,54324,83435,100037278,12704,219140,71435,277360,75415,78255,16370,14389,20662,213990,13448,239027,103967,194231,53972,73341,58996,72469,210293,22324,218952,16443	Grk2,Psd4,Bcr,Plekha1,Appl1,Fgd6,Gab1,Osbpl11,Iqsec2,Arhgef12,Dok2,Gm1527,Grb10,Plekhb2,Dock11,Plekho2,Plekha8,Rasgrf1,Plcl1,Plekhg3,Rock2,Dgkh,Mcf2l,Agap1,Trio,Skap1,Adap1,Swap70,Vav3,Osbpl7,Agap2,Plekhb1,Tbc1d2,Plekhg6,Osbpl10,Sptb,Tec,Cadps,Irs3,Dok5,Arhgap42,Plekhg1,Sos2,Arhgef3,Skap2,Psd,Psd2,Apbb1ip,Akt3,Sntb2,Dock9,Sntb1,Arhgap10,Vav2,Plekhg5,Arap3,Fgd3,Ophn1,Dnm1,Arhgap25,Arhgef2,Kif1a,Dgkd,Afap1l1,Arhgap15,Rasgrf2,Plcg1,Rock1,Plekha6,Asap2,Adap2,Stap1,Plekho1,Veph1,Plcd1,Arhgap20,Gab3,Arap2,Arhgef18,Btk,Grk3,Sntg1,Psd3,Dok7,Phldb2,Dapp1,Ralgps1,Plekha7,Rasa3,Phldb3,Sptbn1,Dok4,Triobp,Plek,Rtkn,Irs2,Plekhs1,Plekhf2,Sbf1,Acap1,Arap1,Cyth1,Osbpl9,Osbpl8,Tbc1d2b,Phldb1,Asap3,Rasal2,Ipcef1,Fermt1,Abr,Mprip,Osbp2,Cdc42bpa,Phlda2,Cdc42bpg,Kif1b,Dgkk,Irs1,Prex2,Bmx,Arhgap27,Afap1l2,Pheta1,Plch1,Plcd4,Plekhg2,Fgd2,Dab2ip,Akt2,Plekhm3,Prkd2,Arhgef16,Arhgef7,Def6,Osbpl1a,Afap1,Sh2b2,Sh2b1,Pdzph1,Sptbn2,Akap13,Plekha2,Arhgef26,Arhgef19,Tiam1,Plekhg4,Pld1,Cert1,Cadps2,Tiam2,Cyth4,Plcg2,Net1,Osbpl3,Dok6,Plekhd1,Phlda1,Appl2,Sbf2,Plcl2,Prkd3,Rasa4,Plekhh2,Grb7,Asap1,Acap2,Cdc42bpb,Arhgap24,Sptbn4,Plek2,Arhgap26,Osbp,Arhgef4,Obscn,Fgd5,Farp1,Arhgef28,Osbpl6,Itsn2,Kalrn,Myo10,Plekha5,Raph1,Itk,Prkd1,Sh3bp2,Osbpl5,Dnm2,Rasal1,Cnksr2,Cyth3,Arhgap9,Rasa1,Plekhm1,Akt1,Grb14,Phlda3,Plch2,Pld2,Rasa2,Stap2,Fgd4,Plekhj1,Arhgef5,Plekha3,Niban3,Cit,Spata13,Arhgap21,Prex1,Arhgap12,Ralgps2,Irs4,Gab2,Sos1,Agap3,Dok1,Arhgap22,Dnm3,Cnksr1,Ngef,Arhgef6,Arhgap23,Plcd3,Dock10,Vav1,Fermt2,Itsn1
SM00181	EGF	4.76858733848522e-06	-12.2534604523805	177	163	0.0206826544854714	7881	9882	108075,170788,228357,58859,16779,54485,18791,226243,20339,230971,12614,545370,18552,65969,634731,14456,64706,80883,24087,245827,18074,24117,71768,23963,171508,21687,170757,16773,226255,114249,214058,11603,171171,230316,11899,16971,54426,12153,14114,19123,241324,13645,106565,13389,21825,54003,17064,21828,16973,329278,16998,23928,17183,23966,16777,16449,268977,23876,17181,13003,16776,20563,21824,64817,329628,636808,18131,14118,216616,268780,17304,246154,14115,52020,18189,14068,270120,18302,15245,21892,353156,13386,22635,15530,18190,70945,70417,107934,211323,14107,26364,18553,14119,66797,50909,16772,23964,13612,14071,338352,16774,320924,94217,170571,268935,75740,102635496,16782,21826,12845,22018,20344,17063,11990,16974,21827,16780,17175,238680,620292,17180,16997,16775,53883,192188,269878,227325,12032,17182,19699,13004,16835,23965,56788,20564,83961,73182,16975,19128,14725,240675,13733,224024,20562,77446,81877,241175,223272,18129,192187,140474,226519,22359,70445,231470,21923,208777,380713,18191,22242,13388,21960,667277	Ltbp4,Crb1,Lrp4,Efemp2,Lamb2,Dll4,Plat,Habp2,Sele,Megf6,Celsr1,Hmcn1,Pcsk5,Cubn,Susd1,Gas6,Scube1,Ntng1,Tll2,Fat2,Nid2,Wif1,Vwce,Tenm1,Creld1,Tek,Adgrl4,Lama2,Atrnl1,Npnt,Megf11,Agrn,Ntng2,Megf9,Astn1,Lrp1,Hgfac,Bmp1,Fbln1,Proc,Crb2,Egf,Dlk2,Dll3,Thbs1,Nell2,Cd93,Thbs4,Lrp5,Tnn,Ltbp3,Lamc3,Matn4,Tenm4,Lamb1,Jag1,Ltbp1,Fbln5,Matn2,Vcan,Lama5,Slit2,Thbd,Svep1,Fat4,Cntnap5a,Notch3,Fbn1,Efemp1,Egflam,Mfge8,Vasn,Fbln2,Umodl1,Nrxn1,F7,Fat3,Oit3,Hhip,Tll1,Egfl7,Dlk1,Zan,Hspg2,Nrxn2,Mmrn1,Megf10,Celsr3,Nrg1,Fat1,Adgre5,Pcsk6,Fbn2,Cntnap2,C1ra,Lama1,Tenm2,Edil3,F9,Nell1,Lama3,Ccbe1,Lrp1b,Cntnap4,Scube3,Egfem1,Malrd1,Lamc2,Thbs2,Comp,Tpo,Selp,Muc13,Atrn,Lrp6,Thbs3,Lamb3,Masp2,Cntnap3,Cntnap5c,Matn1,Ltbp2,Lama4,Celsr2,Stab2,Megf8,Dner,Bcan,Matn3,Reln,Ncan,Ldlr,Tenm3,Scube2,Slit3,Nrg4,Pear1,Lrp8,Pros1,Lrp2,Vwa2,Adgre1,Scarf2,Slit1,Heg1,Tnxb,Cntnap5b,Itgbl1,Notch2,Stab1,Muc4,Lamc1,Vldlr,Cd248,Fras1,Tnc,Sned1,Scarf1,Nrxn3,Umod,Dll1,Tnr,C1rb
SM00408	IGc2	5.58060023154574e-05	-9.7936291259847	228	204	0.025885039969547	7881	9882	330790,26563,114871,19649,14254,13176,15530,14183,229715,319504,547431,74762,68709,18595,70530,216760,12501,331461,83964,330222,18726,18613,107527,214425,330483,382097,71740,117606,20320,100042150,58916,19876,16206,269116,18212,57276,16981,18729,213262,545370,16979,29817,75690,384557,73940,380698,17082,17930,12805,545156,329693,56741,269473,26968,71306,26564,98752,26365,14184,77739,233186,320027,26436,14129,21367,66601,18596,231668,114872,22253,12502,18725,233199,20348,13052,69675,19266,98733,72927,545925,238205,170721,22174,320772,260299,19289,243816,107589,170643,207683,20612,242122,101202,116904,239857,26439,94332,16456,109272,83382,240354,14257,12215,268902,211323,268890,12661,320747,67703,16160,242702,102657,26367,107449,17968,320840,330908,269959,26438,225638,12804,72242,18007,68753,434540,53870,233067,105827,242384,19268,72431,235402,12483,210801,17929,269784,237979,16178,278507,237403,114873,270152,71566,246256,18198,107250,20354,14186,20350,19280,13508,18488,241568,80749,17136,192198,16542,68802,226438,14182,116701,78789,26368,17967,242235,240916,60367,630146,235106,210094,54725,53311,22329,11596,16194,243911,72333,101434,320398,545428,57810,235086,16590,574429,84004,223435,54631,12978,75426,244682,272381,16980,235472,80891,57278,242050,11790,58235,71461,74144,59290,22138,67374,224792	Hapln4,Ror1,Psg28,Robo3,Flt1,Dcc,Hspg2,Fgfr2,Amigo1,Nrcam,Btnl2,Mdga1,Cilp2,Pdgfra,Lrfn2,Mfap3,Cd3e,Il1rapl1,Jam3,Sdk1,Lilra6,Pecam1,Il1rl2,Cilp,Ceacam16,Gm1123,Nectin4,Boc,Nptn,Nrg2,Myot,Robo1,Lrig1,Nfasc,Ntrk2,Vsig2,Lrrn3,Pira6,Fstl5,Hmcn1,Lrrn1,Igfbp7,Vsig10l,Ceacam3,Hapln2,Obscn,Il1rl1,Myom2,Cntn1,Kalrn,Fcrl5,Igdcc4,Lrig2,Islr,Mfap3l,Ror2,Fcrla,Ceacam1,Fgfr3,Adamtsl1,Siglecf,Fstl4,Psg16,Fcgr1,Cntn2,Tmigd1,Pdgfrb,Vsig10,Psg29,Unc5c,Cd3g,Pira2,Mybpc2,Sema3c,Cxadr,Pxdn,Ptprd,Obsl1,Hepacam,Psg27,Lrfn5,Papln,Tyro3,Mdga2,Cadm4,Igdcc3,Gp6,Mylk,Kirrel1,Igsf11,Siglec1,Vtcn1,Hepacam2,Alpk3,Cadm2,Psg19,Cadm3,F11r,Mybpc1,Siglece,Malt1,Flt4,Bsg,Robo2,Nrg1,Lsamp,Chl1,Lingo4,Kirrel3,Il12b,Myom3,Cd276,Ceacam2,Unc5b,Ncam2,Negr1,Opcml,Adamtsl3,Psg18,Alpk2,Cntfr,Psg21,Neo1,Mybphl,Psg20,Cntn6,Lrfn3,Amigo2,Lingo2,Ptprf,Ceacam18,Lingo1,Cd22,Unc5d,Myom1,Cntn4,Sdk2,Il1r2,Wfikkn2,Lingo3,Dscaml1,Jaml,Clmp,Fcgr4,Musk,Kazald1,Sema4d,Fgfr4,Sema3f,Ptprs,Dscam,Cntn3,Lrrc4c,Lrfn1,Mag,Lrrc4,Kdr,Mypn,Igfn1,Fgfr1,Fgfrl1,Vsig1,Ceacam9,Ncam1,Lrit3,Vsig8,Il1rapl2,Cd101,Ntm,Iglon5,Cadm1,Mybph,Vcam1,Ager,Il6ra,Kirrel2,Palld,Ceacam15,Lrig3,Ccdc141,Cdon,Igsf9b,Kit,Psg26,Mcam,Trio,Nphs1,Csf1r,Igfbpl1,Cntn5,Lrrc4b,Lrrn2,Prtg,Fcrl2,Bcam,Igsf10,Speg,Nectin1,Ptk7,Robo4,Gpa33,Ttn,Jam2,Adgrf5
SM00239	C2	0.000254718087042026	-8.27535316537875	121	111	0.0140845070422535	7881	9882	211232,16443,18796,226525,114875,229521,20980,74413,83672,269589,80976,72469,319965,382018,66894,83762,19894,237397,54525,231214,114713,26903,66871,22249,66313,75767,240058,19414,102278,18799,226101,271844,269615,329324,16396,18803,78390,171180,19415,70450,54524,218397,319508,17999,26875,20403,52055,70568,277939,18751,55925,18798,116837,54153,74562,18795,75788,18705,12891,74741,329502,20983,83671,12337,18755,224860,20981,54473,240752,329152,13447,234577,20979,13446,238266,244049,116838,78771,234779,18646,74020,100534273,54526,244585,69601,241770,212139,271944,109333,74998,242662,266692,227120,272636,18802,269437,18704,208898,52635,110058,83814,18783,18750,18754,94253,109934,74055,50780,18752,110279,545192	Cpne9,Itsn1,Plcb2,Rasal2,Plcz1,Syt11,Syt2,Tc2n,Sytl3,Sytl1,Syt13,Plcd3,Cc2d1b,Unc13a,Wwp2,Otof,Rph3a,C2cd4c,Syt7,Cc2d2a,Rasa2,Dysf,Cpne8,Unc13b,Smurf2,Rab11fip1,Cpne5,Rasa3,Cpne7,Plcd1,Myof,Pla2g4f,Plch2,Syt14,Itch,Plcg1,Pla2g4d,Syt12,Rasal1,Unc13d,Syt6,Rasa1,Syt15,Nedd4,Pclo,Itsn2,Rab11fip5,Cpne3,C2cd3,Prkcb,Syt8,Plcb4,Rims1,Rasa4,Fer1l4,Plcb1,Smurf1,Pik3c2g,Cpne6,C2cd5,Pla2g4e,Syt4,Sytl2,Capn5,Prkch,Plcl2,Syt3,Tollip,Pik3c2b,Hecw2,Doc2b,Cpne2,Syt1,Doc2a,Syt16,Mctp2,Rims2,Mctp1,Plcg2,Prf1,Cpne4,Fer1l5,Syt10,Rpgrip1l,Dab2ip,Rims4,Cc2d1a,C2cd4d,Pkn2,Rab11fip2,Rims3,Cpne1,Plcl1,Esyt3,Plcd4,Plch1,Pik3c2a,Unc13c,Esyt2,Syt17,Nedd4l,Pla2g4a,Prkca,Prkce,Hecw1,Abr,Plce1,Rgs3,Prkcg,Bcr,Baiap3
SM00180	EGF_Lam	0.000358195366536975	-7.93443200382899	35	35	0.00444106077908895	7881	9882	269878,16777,70417,18209,16779,18208,23928,16775,22283,53883,192188,57764,230971,12614,16776,107934,73182,224024,80883,16772,243967,214058,192187,16773,16774,226255,16782,15530,380713,226519,11603,171171,230316,16780,11990	Megf8,Lamb1,Megf10,Ntn3,Lamb2,Ntn1,Lamc3,Lama4,Ush2a,Celsr2,Stab2,Ntn4,Megf6,Celsr1,Lama5,Celsr3,Pear1,Scarf2,Ntng1,Lama1,Ntn5,Megf11,Stab1,Lama2,Lama3,Atrnl1,Lamc2,Hspg2,Scarf1,Lamc1,Agrn,Ntng2,Megf9,Lamb3,Atrn
SM00219	TyrKc	0.000374870846586877	-7.88892900041796	81	76	0.00964344626316457	7881	9882	13867,14257,26362,14186,13846,15162,13845,13866,18198,12143,16337,16428,13835,14158,83813,16542,13838,13837,22165,51789,19229,13836,16001,14083,11682,12978,19713,16590,17295,12169,54721,18213,18214,12988,19886,12229,21687,18212,23920,18211,13869,11350,20779,12305,14360,11352,16453,14159,13839,20963,270190,22174,16452,19882,16451,21682,13844,20187,13840,14184,22637,14183,22612,13842,17179,14191,13649,13841,14182,14254,17289,14302,18596,17005,17096,18595	Erbb3,Flt4,Axl,Fgfr4,Ephb4,Hck,Ephb3,Erbb2,Musk,Blk,Insr,Itk,Epha1,Fer,Tnk1,Kdr,Epha4,Epha3,Txk,Tnk2,Ptk2b,Epha2,Igf1r,Ptk2,Alk,Csf1r,Ret,Kit,Met,Bmx,Tyk2,Ntrk3,Ddr2,Csk,Ros1,Btk,Tek,Ntrk2,Insrr,Ntrk1,Erbb4,Abl1,Src,Ddr1,Fyn,Abl2,Jak3,Fes,Epha5,Syk,Ephb1,Tyro3,Jak2,Mst1r,Jak1,Tec,Ephb2,Ryk,Epha6,Fgfr3,Zap70,Fgfr2,Yes1,Epha8,Matk,Fgr,Egfr,Epha7,Fgfr1,Flt1,Mertk,Frk,Pdgfrb,Ltk,Lyn,Pdgfra
SM00353	HLH	0.000444932065634576	-7.71758894894732	110	101	0.0128156325339424	7881	9882	22282,18142,13345,15901,27386,15903,50913,12753,29808,21406,17977,15205,17172,58805,320522,18109,21407,17293,17095,15110,17342,22160,21426,11925,17877,17121,15214,17928,18012,21413,18014,11924,17428,11624,208104,11922,20787,11622,21423,53404,17979,100039596,17869,55927,21350,18071,114712,17119,17681,21349,56198,11863,22278,140489,15902,56184,11865,18143,15904,207806,50914,71093,20893,15207,17292,20465,17978,19213,15206,17173,17341,21425,209446,17878,21412,79362,15213,17927,17122,18013,272322,84653,20788,234219,277353,16918,11921,69852,83383,17870,18072,15251,13819,17187,67341,20289,11864,94222,59058,17859,20464	Usf2,Npas1,Twist2,Id1,Npas3,Id3,Olig2,Clock,Mga,Tcf12,Ncoa1,Hes1,Ascl1,Mlxipl,Bhlha9,Mycn,Tcf15,Mesp2,Lyl1,Hand1,Mitf,Twist1,Tfec,Neurog3,Myf5,Mxd3,Hey2,Myog,Neurod1,Tcf4,Neurog1,Neurog2,Mnt,Ahrr,Mlxip,Neurod6,Srebf1,Ahr,Tcf3,Atoh7,Ncoa3,Tcf24,Myc,Hes6,Tal2,Nhlh1,Ferd3l,Mxd1,Msc,Tal1,Heyl,Arnt,Usf1,Bhlhe23,Id2,Msgn1,Bmal1,Npas2,Id4,Usf3,Olig1,Atoh8,Bhlhe40,Hes3,Mesp1,Sim2,Ncoa2,Ptf1a,Hes2,Ascl2,Bhlha15,Tfeb,Tfe3,Myf6,Tcf21,Bhlhe41,Hey1,Myod1,Mxd4,Neurod2,Bmal2,Hes7,Srebf2,Helt,Tcfl5,Mycl,Atoh1,Tcf23,Tfap4,Mycs,Nhlh2,Hif1a,Epas1,Max,Ascl4,Scx,Arnt2,Olig3,Bhlhe22,Mxi1,Sim1
SM00209	TSP1	0.000496131842052009	-7.608668855972	63	60	0.00761324704986677	7881	9882	223838,228770,233332,21825,210801,319909,217738,230558,21826,12274,192199,66548,11504,100689,110382,279028,235130,216725,30806,327743,545370,237360,330267,108154,240322,14219,23794,101401,330119,210417,108153,72780,230775,224697,12279,20357,109828,107449,20356,208936,207596,77739,77794,210933,68709,239405,269959,16007,233744,239337,22253,18133,107448,240913,107831,214425,229595,170721,56229,22402	Adamts20,Rspo4,Adamts17,Thbs1,Unc5d,Ism1,Ism2,C8a,Thbs2,C6,Rspo1,Adamtsl5,Adamts1,Spon2,C8b,Adamts13,Adamts15,Adamts2,Adamts8,Ccn6,Hmcn1,Adamts14,Thsd7a,Adamts6,Adamts19,Ccn2,Adamts5,Adamts9,Adamts3,Thsd7b,Adamts7,Rspo3,Adgrb2,Adamts10,C9,Sema5b,C7,Unc5b,Sema5a,Adamts18,Thsd4,Adamtsl1,Adamtsl2,Adgrb3,Cilp2,Rspo2,Adamtsl3,Ccn1,Spon1,Adamts12,Unc5c,Ccn3,Unc5a,Adamts4,Adgrb1,Cilp,Adamtsl4,Papln,Thsd1,Ccn4
SM00282	LamG	0.00128884997485309	-6.65400495058615	40	39	0.0049486105824134	7881	9882	170571,12814,53321,16774,16773,338352,16772,241175,245827,270120,20415,238680,54003,18191,241324,18190,15530,121021,11603,12614,16776,107934,170788,53883,22283,12819,16775,620292,66797,14456,18189,20562,268780,19128,636808,329628,20564,20563,14107	Cntnap4,Col11a1,Cntnap1,Lama3,Lama2,Nell1,Lama1,Cntnap5b,Fat2,Fat3,Shbg,Cntnap3,Nell2,Nrxn3,Crb2,Nrxn2,Hspg2,Cspg4,Agrn,Celsr1,Lama5,Celsr3,Crb1,Celsr2,Ush2a,Col15a1,Lama4,Cntnap5c,Cntnap2,Gas6,Nrxn1,Slit1,Egflam,Pros1,Cntnap5a,Fat4,Slit3,Slit2,Fat1
SM00303	GPS	0.00139899987439136	-6.57199767308339	29	29	0.00367973607410227	7881	9882	107934,54672,77596,107831,244646,12614,52614,53883,224792,230775,330814,13733,70693,26364,14766,215798,243277,381628,99633,76645,170757,210933,78249,237175,239853,319387,382045,435529,18763	Celsr3,Adgrg3,Adgrf1,Adgrb1,Pkd1l3,Celsr1,Adgre4,Celsr2,Adgrf5,Adgrb2,Adgrl1,Adgre1,Adgra3,Adgre5,Adgrg1,Adgrg6,Adgrd1,Adgrf3,Adgrl2,Pkd1l2,Adgrl4,Adgrb3,Adgrf4,Adgrg2,Adgrg7,Adgrl3,Adgrg5,Adgrf2,Pkd1
