TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	2.70680079317597e-20	-45.0559344414742	415	260	0.0403163281128857	6449	15921	106952,623279,53972,11651,21961,234779,226245,26382,11804,18760,19249,75292,13822,13860,78514,19159,20418,23921,223435,11652,75415,67220,30938,235627,20947,226250,71810,19877,13821,54324,11820,14783,71544,244867,231717,71704,67826,232201,224093,110596,58996,140580,227737,13131,67457,228564,223752,544817,240505,243621,546134,22325,77531,319710,216991,13132,19157,98432,71720,102098,73341,226751,215632,269587,227120,71801,22350,210376,16452,26556,210789,333605,24001,50915,64291,319939,54153,18223,99031,545156,16561,24055,102693,80877,26377,327826,54126,219140,114713,26422,17698,106877,70549,208177,13824,213783,268534,110279,59035,226352,100045792,224860,78618,218397,69632,19878,18806,240753,11784,23853,11787,54610,16443,100273,226970,78670,18015,21682,277360,75547,207212,17207,230972,107022,71302,319618,16367,83436,20741,23797,17772,70160,50780,223254,215280,19417,218203,105445,71096,19414,114716,100017,13605,103967,109135,74002,268783,19250,347722,72569,18803,20742,226971,17101,21844,20649,241308,224014,12169,211914,26557,14083,319924,57915,102595,384783,231532,13448,72754,74309,76117,19229,70729,54519,20399,209630,16369,77300,232237,241639,70381,67016,380921,20663,69601,18201,80297,320129,76829,218952,232288,71310,14026,57257,76303,319934,320495,24000,234353,17921,22113,245666,269615,269198,109294,52857,13430,237542,16800,16560,545030,207798,77116,70292,622434,56349,20662,217866,232227,53332,114715,66696,74486,17922,72145,72789,18607,216527,140579,109934,27280,27062,233765,14389,13449,98496,13196,56193,54353,210293,217169,69710,73178,235283,14786,245511,71729,213522,27260,56792,19418,78473,231999,20743,381605,71435,545622,54357,213556,19415	Arap3,Dok6,Ngef,Akt1,Tns1,Plcg2,Plekhs1,Fgd2,Aplp2,Prkd1,Ptpn13,Prkd3,Epb41l2,Eps8,Arhgap10,Cyth3,Shc3,Sh2b2,Trio,Akt2,Arhgap12,Plekho1,Fgd3,Nbeal2,Swap70,Afap1l2,Ranbp3,Rock1,Epb41l1,Arhgef5,App,Grb10,Arhgap42,Arhgap20,Pheta1,Arhgef3,Snap47,Arhgap25,Fam43a,Arhgef28,Arhgap23,Elmo1,Niban2,Dab1,Frmd8,Frmd5,Gramd4,Arhgap27,Cdc42bpg,Iqsec3,Gramd2a,Vav2,Anks1b,Frmd6,Adap2,Dab2,Cyth1,Phlpp1,Osbpl3,Arhgef18,Arhgef6,Cdc42bpa,Psd4,Epb41,Plcl1,Plekhf2,Ezr,Mtmr9,Jak2,Homer1,Tbc1d4,Frmpd4,Tiam2,Grb14,Osbpl1a,Tns3,Rasa4,Numbl,Osbpl6,Kalrn,Kif1b,Sh3bp2,Phldb1,Lrba,Dapp1,Frs2,Arhgef7,Spata13,Rasa2,Nbea,Msn,Afap1l1,Tln2,Phldb2,Epb41l4a,Plekhg1,Sntg2,Bcr,Carm1,Epb41l5,Ect2l,Plcl2,Acap2,Rasa1,Arhgef12,Rock2,Pld2,Plekha6,Apba2,Def6,Apbb2,Tbc1d8,Itsn1,Osbpl9,Arhgef4,Plekhj1,Nf1,Tec,Prex1,Akap13,Arhgef17,Mcf2l,Arhgef16,Gramd2b,Arhgap26,Dcp1b,Irs1,Plekha2,Sptb,Akt3,Mtm1,Vps36,Rgs3,Farp1,Wipf1,Rasgrf1,Mylip,Dock9,Sntg1,Rasa3,Spred2,Ldlrap1,Ect2,Dnm3,Plekha5,Psd2,Mtmr12,Ptpn14,Agap1,Bbs5,Plcg1,Sptbn1,Plekhb2,Lyst,Tiam1,Sntb1,Ralgps1,Fgd4,Bmx,Asap2,Homer2,Ptk2,Apba1,Tbc1d1,Plekho2,Irs2,Arhgap24,Dok1,Arhgef10l,Osbp2,Arhgap15,Ptk2b,Nos1ap,Apbb1ip,Sh2b1,Frmd4a,Irs3,Raph1,Fgd5,Fermt1,Tecpr1,Tbc1d2b,Dgkh,Sos2,Dab2ip,Nsmaf,Sptbn4,Grk3,Dok5,Fermt2,Frmd4b,Tbc1d9,Evl,Vav3,Osbp,Sbf2,Ipcef1,Ptpn21,Psd3,Myo7a,Phlda2,Iqsec2,Plch2,Nbeal1,Prex2,Gramd1a,Dnm2,Osbpl8,Arhgef2,Kif1a,Wdfy4,Gramd1c,Mtmr2,Afap1,Arhgef26,Net1,Sos1,Cdc42bpb,Iqsec1,Mtmr1,Spred1,Snx31,Osbpl10,Myo7b,Wdfy3,Veph1,Pdpk1,Ccm2,Elmo2,Abr,Phlda3,Cadps,Plekha7,Gab2,Dok2,Pid1,Asap1,Plek,Skap2,Dock10,Tns4,Arap1,Wasl,Gramd1b,Grb7,Ppp4r3c1,Rgs12,Plekhg6,Plek2,Stap1,Rasgrf2,Skap1,Plekha8,Sptbn2,Tbc1d2,Arhgap21,Ptpn3,Epb41l4b,Plekhh2,Rasal1
1.10.510.10	Transferase(Phosphotransferase) domain 1	2.65773920844836e-08	-17.4432049041829	497	261	0.0404713909133199	6449	15921	213435,674895,18753,74137,20393,18761,21682,244631,23954,23797,18754,104318,18762,50523,73914,12167,381406,214230,77485,23920,73086,27206,270190,65964,19134,17169,225724,26918,66878,213452,20868,12169,215303,228012,98267,69562,69181,17164,244418,14083,13841,12323,26401,19229,72508,15257,244859,12748,17152,67045,69922,26405,236574,72149,22637,72587,224105,18647,240880,11302,11352,18759,207565,117229,26408,26921,269774,238323,22367,17165,70415,234854,320129,223255,170755,13869,12322,13175,13548,102626,26420,108960,12325,19886,12571,13000,52033,14302,12675,16706,333050,17289,13844,320119,110651,26404,53608,56532,26563,26407,231876,17451,78334,26564,15258,26403,12545,26399,12747,20620,22138,217866,77976,19106,52163,18755,26416,12995,106522,24014,26409,18557,20874,18749,18607,21687,53859,93687,59125,70425,18751,12168,102414,16001,68166,56527,29869,56480,26410,18760,75292,17776,19249,11651,26414,11482,70661,11790,78943,192292,26413,71091,27263,105787,22165,26396,16589,51789,13839,56274,13728,235344,14182,223435,11481,26362,11652,226419,83813,328329,227541,19877,110157,74178,56542,64293,27103,13837,58231,232533,12305,26400,13840,50772,21813,230661,240505,546071,14360,108058,18712,26419,71461,18004,244895,20963,50932,83560,269275,23938,217410,19882,12534,55984,11836,14841,14254,241656,226751,16590,21812,13838,17691,13835,16452,12978,667663,381836,18005,545156,211770,140810,11477,16337,226778,329421,381113,57740,16451,108079,16542,50883,18213,266632,20111,12988,104175,69131,18198,26415,18214,20817,26412,225028,216965,69635,14158,14919,14183,18750,19878,12235,12166,70762,11682,19091,14184,140780,233328,381983,76484	Mylk3,Nek10,Prkcd,Nuak2,Sgk1,Prkcq,Tec,Pskh1,Nek3,Akt3,Prkce,Csnk1d,Prkcz,Lats2,Irak3,Bmpr1b,Trp53rka,Pak6,Stk31,Insrr,Rps6ka5,Nrk,Ephb1,Map3k20,Prpf4b,Mark3,Mapk4,Ern2,Riok3,Dstyk,Stk10,Bmx,Camk1g,Tlk1,Stk17b,Cdk13,Dyrk2,Mapkapk2,Prag1,Ptk2,Epha7,Camk2b,Map3k1,Ptk2b,Rps6kb1,Hipk1,Ankk1,Clk2,Mak,Riok2,Vrk2,Map3k2,Smok2b,Strada,Zap70,Pan3,Pak2,Cdk14,Scyl3,Aatk,Abl2,Prkci,Camkk2,Stk33,Map3k5,Map4k4,Aak1,Rps6kl1,Vrk1,Mapkapk5,Stk26,Cdk10,Grk3,Stk24,Sgk3,Erbb4,Camk2a,Dclk1,Dyrk1a,Mapkapk3,Mapk9,Irak2,Camk2g,Ros1,Cdk6,Csnk2a2,Pbk,Frk,Chuk,Ksr1,Ksr2,Mertk,Ephb2,Rps6kc1,Rps6ka3,Map3k12,Map3k6,Ripk3,Ror1,Map3k4,Lmtk2,Mos,Cdk19,Ror2,Hipk2,Map3k11,Cdc7,Map2k6,Clk1,Plk2,Ttn,Cdc42bpb,Nuak1,Eif2ak2,Camk1,Prkch,Mapk14,Csnk2a1,Pkdcc,Rnasel,Map3k7,Cdk18,Slk,Prkacb,Pdpk1,Tek,Map3k14,Csnk1a1,Nek7,Csnk1g3,Prkcb,Bmpr2,Clk3,Igf1r,Spire1,Mast1,Ulk2,Tbk1,Map3k8,Prkd1,Prkd3,Mast2,Ptpn13,Akt1,Mapk10,Acvrl1,Sik3,Speg,Ern1,Nrbp1,Mapk1,Cdkl1,Smok2a,Prkaa1,Txk,Map2k2,Uhmk1,Tnk2,Epha5,Stk3,Mark2,Sik2,Fgfr1,Trio,Acvr2b,Axl,Akt2,Dyrk3,Tnk1,Mast4,Camk1d,Rock1,Raf1,Stk40,Cilk1,Stk32b,Eif2ak4,Epha3,Stk4,Stk38l,Ddr1,Map2k7,Epha6,Mapk6,Tgfbr2,Tesk2,Cdc42bpg,Mast3,Fyn,Camk2d,Pim1,Mapk8,Ptk7,Nek1,Peak1,Syk,Mink1,Tex14,Acvr1c,Map2k5,Trib2,Mst1r,Cdk1,Camkk1,Araf,Haspin,Flt1,Pak5,Cdc42bpa,Kit,Tgfbr1,Epha4,Sik1,Epha1,Jak2,Csf1r,Myo3a,Sbk2,Nek2,Kalrn,Trib1,Ttbk2,Acvr1,Insr,Mark1,Myo3b,Cdkl4,Stk32c,Jak1,Prkaa2,Kdr,Chek2,Ntrk3,Irak4,Rps6ka1,Csk,Sbk1,Cdk12,Musk,Mapk13,Ddr2,Srpk2,Map4k2,Map4k3,Taok1,Dapk1,Fer,Gucy2e,Fgfr2,Prkca,Rock2,Bub1,Bmpr1a,Dclk2,Alk,Prkg1,Fgfr3,Bmp2k,Lrrk1,Lmtk3,Kndc1
2.60.40.150	C2 domain	5.16872939120553e-08	-16.7780538513616	153	95	0.0147309660412467	6449	15921	54524,244049,272636,13446,382018,75788,76088,240752,30955,19894,231214,20983,238130,212139,55925,20979,74998,211652,94253,116837,78771,70568,18803,52055,102278,114875,105445,83814,208869,19414,74055,140740,83671,18796,50780,74769,18754,66871,77987,18707,70450,74413,18761,18795,18753,18798,83672,116838,234779,52357,17999,208898,271844,271944,19415,78610,234515,329324,16396,16443,234577,18750,210293,18751,218397,18706,109934,224860,225326,330662,74741,18705,18755,110279,18783,52635,12337,13447,114713,67299,20980,18646,214804,269615,226101,54153,75767,227120,66894,80976,69601,83762,94176,68813,238266	Syt6,Mctp2,Esyt3,Doc2a,Unc13a,Smurf1,Dock8,Pik3c2b,Pik3cg,Rph3a,Cc2d2a,Syt4,Dock4,Cc2d1a,Syt8,Syt1,Rab11fip2,Wwc1,Hecw1,Rims1,Mctp1,Cpne3,Plcg1,Rab11fip5,Cpne7,Plcz1,Dock9,Nedd4l,Dock3,Rasa3,Plce1,Sec63,Sytl2,Plcb2,Rgs3,Pik3cb,Prkce,Cpne8,Ascc3,Pik3cd,Unc13d,Tc2n,Prkcq,Plcb1,Prkcd,Plcb4,Sytl3,Rims2,Plcg2,Wwc2,Nedd4,Unc13c,Pla2g4f,C2cd4d,Rasal1,Uvrag,Inpp4b,Syt14,Itch,Itsn1,Cpne2,Prkca,Dock10,Prkcb,Rasa1,Pik3ca,Abr,Plcl2,Pik3c3,Dock1,C2cd5,Pik3c2g,Prkch,Bcr,Pla2g4a,Esyt2,Capn5,Doc2b,Rasa2,Dock7,Syt2,Prf1,Syde2,Plch2,Myof,Rasa4,Rab11fip1,Plcl1,Wwp2,Syt13,Dab2ip,Otof,Dock2,Dock5,Syt16
2.10.25.10	Laminin	7.70134566038157e-08	-16.3792856692732	220	128	0.0198480384555745	6449	15921	170757,70945,108075,230316,216616,19128,18129,13733,268977,18189,64817,211323,20563,83961,240675,20564,16782,18131,74180,16421,634731,12614,20344,24117,22283,13003,56079,14118,228357,102635496,170788,16780,18302,77446,353156,54485,65969,100042150,241324,75740,16416,11839,23965,319482,16412,22371,23966,21802,14107,338352,21960,16776,57764,226243,18792,16974,22359,214058,380713,13389,17833,14456,54003,12627,15245,11496,17174,329628,16973,16772,17288,12032,22018,17064,21826,11603,21828,545370,14725,628870,56788,23964,26364,636808,18191,94217,14119,21825,16835,23792,268780,208777,16777,11990,170571,52020,21923,17287,16774,238680,18074,320924,245827,223272,171171,16975,13386,66864,22635,18208,20562,24087,11899,12279,66797,620292,16998,114249,16419,243967,56363,16449,241175,226519,270120,73230,320910,14114	Adgrl4,Mmrn1,Ltbp4,Megf9,Efemp1,Pros1,Notch2,Adgre1,Ltbp1,Nrxn1,Svep1,Nrg1,Slit2,Nrg4,Vwa2,Slit3,Lamc2,Notch3,Muc5b,Itgb7,Susd1,Celsr1,Selp,Wif1,Ush2a,Vcan,Astn2,Fbn1,Lrp4,Malrd1,Crb1,Lamb3,Oit3,Heg1,Egfl7,Dll4,Cubn,Nrg2,Crb2,Egfem1,Itgb3,Areg,Tenm3,Fcgbpl1,Itgb1,Vwf,Tenm4,Tgfa,Fat1,Nell1,Tnr,Lama5,Ntn4,Habp2,Plau,Lrp6,Vldlr,Megf11,Scarf1,Dll3,Muc5ac,Gas6,Nell2,Cfc1,Hhip,Adam22,Masp1,Fat4,Lrp5,Lama1,Mep1b,Bcan,Tpo,Cd93,Thbs2,Agrn,Thbs4,Hmcn1,Lrp2,Otogl,Scube2,Tenm2,Adgre5,Cntnap5a,Nrxn3,Lrp1b,Fbn2,Thbs1,Ldlr,Adam23,Egflam,Sned1,Lamb1,Atrn,Cntnap4,Umodl1,Tnc,Mep1a,Lama3,Cntnap3,Nid2,Ccbe1,Fat2,Itgbl1,Ntng2,Lrp8,Dlk1,Clec14a,Zan,Ntn1,Slit1,Tll2,Astn1,C9,Cntnap2,Cntnap5c,Ltbp3,Npnt,Itgb5,Ntn5,Tmeff2,Jag1,Cntnap5b,Lamc1,Fat3,Bmper,Itgb8,Fbln1
2.60.120.200	-	1.38079362835156e-06	-13.4928521310894	119	74	0.011474647232129	6449	15921	114249,64085,16776,18491,12814,71355,216551,18187,14456,241175,16858,12831,270120,54003,23850,16772,19146,17288,329628,214895,269198,20562,65945,22635,241324,12317,74762,80877,12330,107581,66797,19272,620292,14107,338352,26422,12822,69700,243277,268780,77998,22283,17287,16774,170571,71738,170788,12818,102635496,238680,19288,245827,16854,19128,53324,11682,215798,12819,19274,11603,18189,64817,20563,21826,320772,20564,56048,56072,21828,232370,12614,21825,636808,18191	Npnt,Clstn2,Lama5,Pappa,Col11a1,Col24a1,Lgalsl,Nrp2,Gas6,Cntnap5b,Lgals7,Col5a1,Fat3,Nell2,Pappa2,Lama1,Tmprss15,Mep1b,Fat4,Lman2l,Nbeal1,Slit1,Clstn1,Zan,Crb2,Calr,Mdga1,Lrba,Canx,Col16a1,Cntnap2,Ptprk,Cntnap5c,Fat1,Nell1,Nbea,Col18a1,Col22a1,Adgrd1,Egflam,Grifin,Ush2a,Mep1a,Lama3,Cntnap4,Mamdc2,Crb1,Col14a1,Malrd1,Cntnap3,Ptx3,Fat2,Lgals3,Pros1,Nptx2,Alk,Adgrg6,Col15a1,Ptprm,Agrn,Nrxn1,Svep1,Slit2,Thbs2,Mdga2,Slit3,Lgals8,Lgals12,Thbs4,Clstn3,Celsr1,Thbs1,Cntnap5a,Nrxn3
2.30.30.40	SH3 Domains	4.70196524547926e-06	-12.2675299993073	220	122	0.0189176616529695	6449	15921	54324,338366,18803,329416,98402,71544,20411,83813,223435,14784,15163,75415,208869,17969,12488,117600,59009,225164,66938,22165,78514,54673,13860,11426,17973,225608,108723,234779,237611,53972,67742,21682,53618,17974,230972,100213,17207,71302,20409,14269,70097,22325,12296,13383,11308,18810,11352,18003,27375,14360,544817,15204,20404,12298,319262,105835,238130,74103,211914,71602,21873,140580,20491,109620,23970,338320,72828,622434,20405,58234,219140,54126,26403,77799,17922,237353,545156,227700,234214,17996,207278,14302,23969,227157,329165,207304,13518,52906,17921,73341,68813,94176,23859,57257,78473,71972,16443,268396,14218,226970,56524,17970,17444,241275,259302,13196,54353,330662,269016,105844,218397,17972,218038,23880,57329,330914,214459,108100,217154,12988,18708,170625	Arhgef5,Mia3,Plcg1,Nostrin,Sh3bp4,Arhgap42,Sorbs1,Tnk1,Trio,Grb2,Hcls1,Arhgap12,Dock3,Ncf1,Cd2ap,Srgap1,Sh3rf1,Mib1,Sh3d21,Txk,Arhgap10,Sh3glb1,Eps8,Macf1,Nck1,Sh3tc2,Card11,Plcg2,Stac3,Ngef,Samsn1,Tec,Fut8,Nck2,Arhgef16,Rusc2,Mcf2l,Arhgap26,Ostf1,Fnbp1,Sash1,Vav2,Cacnb2,Dlg1,Abi1,Plec,Abl2,Nedd9,Tjp3,Fyn,Arhgap27,Herc2,Sh3gl2,Cacnb4,Fchsd1,Sgsm3,Dock4,Nebl,Asap2,Myo1e,Tjp2,Elmo1,Sla,Dsp,Pacsin2,Mia2,Ubash3b,Arhgef26,Sh3gl1,Shank3,Spata13,Arhgef7,Map3k11,Sla2,Myo7b,Sh3rf3,Kalrn,Sh3glb2,Sorbs2,Neb,Fchsd2,Frk,Pacsin1,Mpp4,Abi2,Hectd1,Dst,Ahi1,Myo7a,Arhgef6,Dock5,Dock2,Dlg2,Vav3,Skap1,Dnmbp,Itsn1,Sh3pxd2b,Sh3pxd2a,Arhgef4,Pals2,Ncf2,Grap2,Noxa1,Srgap3,Asap1,Skap2,Dock1,Sh3rf2,Card10,Rasa1,Ncf4,Amph,Fyb1,Otor,Arhgap32,Fnbp1l,Baiap2,Stac2,Csk,Pik3r1,Snx18
1.10.418.10	Calponin-like domain	1.3077811329804e-05	-11.2445935554621	79	51	0.00790820282214297	6449	15921	380928,74392,319565,212307,11426,13518,20741,194401,22288,237436,94040,57257,78286,29875,12798,210297,73341,100732,80297,64099,68678,54126,544963,20742,27008,70144,260315,21346,18826,56370,231830,432572,71994,102502,13405,320878,108686,77569,114601,380916,18810,20743,64009,330938,286940,109711,22325,60595,320277,12316,231798	Lmo7,Specc1l,Syne2,Mapre2,Macf1,Dst,Sptb,Mical3,Utrn,Gas2l3,Clmn,Vav3,Nav2,Iqgap1,Cnn2,Lrch2,Arhgef6,Mapre3,Sptbn4,Parvg,Smtnl1,Arhgef7,Iqgap2,Sptbn1,Micall1,Lrch3,Nav3,Tagln2,Lcp1,Tagln3,Micall2,Specc1,Cnn3,Pls1,Dmd,Mical2,Ccdc88a,Limch1,Ehbp1l1,Lrch1,Plec,Sptbn2,Syne1,Dixdc1,Flnb,Actn1,Vav2,Actn4,Spef2,Aspm,Lrch4
3.30.60.20	-	1.41034274271085e-05	-11.1690927101825	64	43	0.00666770041866956	6449	15921	75547,226751,237611,21961,11836,18753,57257,75292,18761,18760,26934,110197,18754,319939,69993,16706,333050,240168,18762,16800,217866,17925,110157,19877,19419,108699,217154,320127,18755,110596,214137,18751,19878,18750,240505,23854,22325,382018,18759,54354,380921,208898,270163	Akap13,Cdc42bpa,Stac3,Tns1,Araf,Prkcd,Vav3,Prkd3,Prkcq,Prkd1,Racgap1,Dgkg,Prkce,Tns3,Chn2,Ksr1,Ksr2,Rasgrp3,Prkcz,Arhgef2,Cdc42bpb,Myo9b,Raf1,Rock1,Rasgrp1,Chn1,Stac2,Dgki,Prkch,Arhgef28,Arhgap29,Prkcb,Rock2,Prkca,Cdc42bpg,Def8,Vav2,Unc13a,Prkci,Rassf5,Dgkh,Unc13c,Myo9a
1.20.900.10	Dbl homology (DH) domain	4.65885428086564e-05	-9.97415590953699	68	44	0.00682276321910374	6449	15921	226970,20663,234094,71972,19418,232237,22325,16443,72754,213522,69632,110596,109934,100045792,110279,71704,21844,213783,224014,219140,54126,622434,54324,56349,20662,16800,30938,13605,223435,109294,19417,545156,223254,24001,230972,26382,17207,57257,53972,73341,102098,75547,277360,207212	Arhgef4,Sos2,Arhgef10,Dnmbp,Rasgrf2,Fgd5,Vav2,Itsn1,Arhgef10l,Plekhg6,Arhgef12,Arhgef28,Abr,Ect2l,Bcr,Arhgef3,Tiam1,Plekhg1,Fgd4,Spata13,Arhgef7,Arhgef26,Arhgef5,Net1,Sos1,Arhgef2,Fgd3,Ect2,Trio,Prex2,Rasgrf1,Kalrn,Farp1,Tiam2,Arhgef16,Fgd2,Mcf2l,Vav3,Ngef,Arhgef6,Arhgef18,Akap13,Prex1,Arhgef17
3.30.505.10	SH2 domain	6.07305727090486e-05	-9.70906331768515	110	65	0.0100790820282214	6449	15921	12402,14786,12700,14158,217169,14360,17444,214547,56468,11352,22637,217835,20963,22325,20399,56792,12169,12702,12988,16822,108699,18710,18708,208650,20491,218397,20847,14302,192157,71130,230126,319939,54607,69993,14784,23921,328381,20849,77799,14783,72281,26377,18803,216233,16451,24055,57257,17974,20848,15170,12703,29815,20851,20850,234779,21961,21682,50915,20418,16452,17973,27278,20846,22165,67296	Cbl,Grb7,Cish,Fer,Tns4,Fyn,Grap2,She,Socs5,Abl2,Zap70,Rin3,Syk,Vav2,Sh2b1,Stap1,Bmx,Socs3,Csk,Lcp2,Chn1,Pik3r3,Pik3r1,Cblb,Sla,Rasa1,Stat2,Frk,Socs7,Sh2d6,Shb,Tns3,Socs6,Chn2,Grb2,Sh2b2,Sh2d4b,Stat4,Sla2,Grb10,Sh2d4a,Dapp1,Plcg1,Socs2,Jak1,Sh3bp2,Vav3,Nck2,Stat3,Ptpn6,Socs1,Bcar3,Stat5b,Stat5a,Plcg2,Tns1,Tec,Grb14,Shc3,Jak2,Nck1,Clnk,Stat1,Txk,Socs4
