TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00169	PH	9.36878469749773e-13	-27.6962228225252	185	122	0.0157765420923316	7733	19276	18760,102693,26377,75292,226250,231999,13448,11651,623279,20663,320129,381605,57257,216991,100273,22325,74309,23797,106952,54126,53972,56193,24001,67220,76303,75415,71302,56792,545156,30938,20662,13430,320495,16367,27062,13196,19417,105445,78618,241639,72789,109294,67016,231717,69710,23921,71704,14783,232237,71435,70292,13449,232201,622434,226971,14389,114713,19414,54519,23853,77300,241308,213783,19415,103967,98432,16560,106877,14786,16561,71544,223254,74486,54324,20947,210293,54153,233765,219140,213556,231532,20399,12169,240753,224014,78514,19159,11652,380921,83436,24055,230972,223435,19157,319934,218397,20649,71801,211914,218952,76117,21682,109135,27260,21844,208177,50915,17207,18803,78670,26382,78473,102595,73341,56349,27280,384783,544817,19418,237542,226970,54353	Prkd1,Phldb1,Dapp1,Prkd3,Afap1l2,Plekha8,Dok1,Akt1,Dok6,Sos2,Grk3,Tbc1d2,Vav3,Adap2,Osbpl9,Vav2,Osbp2,Akt3,Arap3,Arhgef7,Ngef,Plek,Tiam2,Plekho1,Osbp,Arhgap12,Arhgap26,Stap1,Kalrn,Fgd3,Sos1,Dnm2,Ipcef1,Irs1,Cadps,Asap1,Rasgrf1,Dock9,Acap2,Fermt1,Veph1,Prex2,Tbc1d2b,Pheta1,Arap1,Sh2b2,Arhgef3,Grb10,Fgd5,Arhgap21,Afap1,Dok2,Arhgap25,Arhgef26,Plekhb2,Gab2,Rasa2,Rasa3,Apbb1ip,Def6,Raph1,Ralgps1,Plekhg1,Rasal1,Dnm3,Phlpp1,Kif1a,Afap1l1,Grb7,Kif1b,Arhgap42,Farp1,Osbpl10,Arhgef5,Swap70,Dock10,Rasa4,Plekha7,Spata13,Plekhh2,Arhgap24,Sh2b1,Bmx,Plekha6,Fgd4,Arhgap10,Cyth3,Akt2,Dgkh,Plekha2,Sh3bp2,Arhgef16,Trio,Cyth1,Sbf2,Rasa1,Sntb1,Plekhf2,Asap2,Fermt2,Arhgap15,Tec,Plekha5,Plek2,Tiam1,Phldb2,Grb14,Mcf2l,Plcg1,Plekhj1,Fgd2,Skap1,Plekho2,Arhgef6,Net1,Phlda3,Irs2,Arhgap27,Rasgrf2,Osbpl8,Arhgef4,Skap2
PF07679	I-set	9.74930470914673e-08	-16.1434847733678	130	82	0.0106039053407474	7733	19276	18198,235402,210801,18213,100042150,53870,19876,71461,242384,235106,22138,13176,223435,19649,84004,278507,238205,19266,16206,320772,74762,67703,16542,13723,237979,19289,192198,20612,69675,22329,17968,269116,14182,16177,545370,241568,14254,12805,72333,235472,26564,68802,68810,66601,19280,117606,268890,20320,98733,26563,330222,319504,13508,244682,242050,70530,21367,170721,14183,12661,107449,19272,18007,17930,211323,77739,20348,330908,14184,16981,17929,269959,269784,11790,22253,16980,16979,71306,545156,545428,268902,109272	Musk,Lingo1,Unc5d,Ntrk3,Nrg2,Cntn6,Robo1,Ptk7,Lingo2,Ntm,Ttn,Dcc,Trio,Robo3,Mcam,Wfikkn2,Lrfn5,Ptprd,Lrig1,Mdga2,Mdga1,Kirrel3,Kdr,Emb,Sdk2,Igdcc3,Lrrc4,Siglec1,Pxdn,Vcam1,Ncam2,Nfasc,Fgfr1,Il1r1,Hmcn1,Lrrc4c,Flt1,Cntn1,Palld,Prtg,Ror2,Mypn,Nexn,Tmigd1,Ptprs,Boc,Lsamp,Nptn,Obsl1,Ror1,Sdk1,Nrcam,Dscam,Cntn5,Igsf10,Lrfn2,Cntn2,Papln,Fgfr2,Chl1,Unc5b,Ptprk,Neo1,Myom2,Nrg1,Adamtsl1,Sema3c,Opcml,Fgfr3,Lrrn3,Myom1,Adamtsl3,Cntn4,Speg,Unc5c,Lrrn2,Lrrn1,Mfap3l,Kalrn,Ccdc141,Robo2,Mybpc1
PF00307	CH	1.40364398858171e-07	-15.7790239468951	65	47	0.00607784818311134	7733	19276	260315,231830,11426,12316,74392,210297,20742,18826,109711,60595,194401,27008,13405,330938,54126,21346,77569,18810,29875,114601,22288,13518,71994,64009,20743,320878,380928,286940,20741,237436,94040,64099,432572,319565,212307,12798,68678,78286,100732,70144,380916,231798,73341,80297,56370,102502,544963	Nav3,Micall2,Macf1,Aspm,Specc1l,Lrch2,Sptbn1,Lcp1,Actn1,Actn4,Mical3,Micall1,Dmd,Dixdc1,Arhgef7,Tagln2,Limch1,Plec,Iqgap1,Ehbp1l1,Utrn,Dst,Cnn3,Syne1,Sptbn2,Mical2,Lmo7,Flnb,Sptb,Gas2l3,Clmn,Parvg,Specc1,Syne2,Mapre2,Cnn2,Smtnl1,Nav2,Mapre3,Lrch3,Lrch1,Lrch4,Arhgef6,Sptbn4,Tagln3,Pls1,Iqgap2
PF02210	Laminin_G_2	4.67493869409888e-06	-12.2732945088713	36	28	0.00362084572610888	7733	19276	170788,12831,14107,241324,12614,620292,66797,54003,12814,170571,238680,16772,16776,268780,245827,16774,636808,21825,20564,18189,329628,270120,338352,14456,20562,241175,22283,18191	Crb1,Col5a1,Fat1,Crb2,Celsr1,Cntnap5c,Cntnap2,Nell2,Col11a1,Cntnap4,Cntnap3,Lama1,Lama5,Egflam,Fat2,Lama3,Cntnap5a,Thbs1,Slit3,Nrxn1,Fat4,Fat3,Nell1,Gas6,Slit1,Cntnap5b,Ush2a,Nrxn3
PF00069	Pkinase	5.52946113732995e-06	-12.1054201906988	356	184	0.023794129057287	7733	19276	26407,381113,226419,16589,18762,27206,20620,53859,52033,22138,26410,11652,58231,240505,26918,170755,13000,228012,17451,329421,50883,74178,234854,18712,77976,78334,26416,98267,18754,108960,216965,74137,26401,13728,102626,18755,117229,213452,26420,674895,29869,224105,57740,12747,26419,20817,108058,20111,12675,56480,26414,241656,211770,64293,26415,70415,19878,53608,23938,70661,18607,78943,12322,18004,73914,225724,18759,217866,71091,27263,110651,18005,26412,215303,72508,320129,26396,19091,18750,18760,93687,17776,50523,18647,17691,69562,12235,545156,70425,217410,214230,12995,546071,15257,12325,20393,26399,23797,110157,50772,19877,223435,12545,320119,233328,104175,18557,17165,69922,70762,12166,24014,59125,56542,17164,244895,108079,15258,26400,22367,269774,19106,11481,13175,105787,21812,18753,56274,266632,667663,19134,223255,55984,236574,77485,23954,244418,69131,27103,52163,244631,140780,102414,17152,26921,192292,226751,12168,26413,381836,56532,18749,26408,227541,225028,12534,13548,213435,17169,69181,26405,11651,232533,72149,18761,328329,238323,226778,12748,18751,207565,75292,20868,104318,69635,235344,11790,12571,20874,73086,140810,12323,56527,50932	Map3k4,Cdkl4,Dyrk3,Uhmk1,Prkcz,Nrk,Plk2,Map3k14,Pbk,Ttn,Map3k8,Akt2,Stk4,Cdc42bpg,Ern2,Sgk3,Csnk2a2,Tlk1,Mos,Myo3b,Chek2,Stk40,Cdk10,Pim1,Nuak1,Cdk19,Mapk14,Stk17b,Prkce,Irak2,Taok1,Nuak2,Map3k1,Mark2,Mapkapk3,Prkch,Stk33,Dstyk,Mapk9,Nek10,Ulk2,Pak2,Stk32c,Clk1,Mapk8,Srpk2,Camk2d,Rps6ka1,Chuk,Tbk1,Mapk10,Pak5,Trib1,Stk32b,Mapk13,Stk26,Rock2,Map3k6,Map2k5,Sik3,Pdpk1,Ern1,Camk2a,Nek1,Irak3,Mapk4,Prkci,Cdc42bpb,Cdkl1,Smok2a,Rps6ka3,Nek2,Map4k2,Camk1g,Rps6kb1,Grk3,Map2k2,Prkg1,Prkca,Prkd1,Csnk1a1,Mast2,Lats2,Cdk14,Sik1,Cdk13,Bub1,Kalrn,Csnk1g3,Trib2,Pak6,Csnk2a1,Mast3,Hipk1,Camk2g,Sgk1,Map2k6,Akt3,Raf1,Mapk6,Rock1,Trio,Cdc7,Rps6kc1,Lrrk1,Sbk1,Cdk18,Mapkapk5,Vrk2,Dclk2,Bmpr1a,Rnasel,Nek7,Cilk1,Mapkapk2,Peak1,Prkaa2,Hipk2,Map2k7,Vrk1,Aak1,Eif2ak2,Acvr2b,Dclk1,Prkaa1,Tgfbr1,Prkcd,Stk3,Irak4,Myo3a,Prpf4b,Stk24,Camkk1,Smok2b,Stk31,Nek3,Prag1,Cdk12,Eif2ak4,Camk1,Pskh1,Bmp2k,Clk3,Mak,Map4k4,Nrbp1,Cdc42bpa,Bmpr2,Mapk1,Sbk2,Ripk3,Prkacb,Map3k5,Camk1d,Map4k3,Cdk1,Dyrk1a,Mylk3,Mark3,Dyrk2,Map3k2,Akt1,Stk38l,Strada,Prkcq,Mast4,Rps6kl1,Mark1,Clk2,Prkcb,Camkk2,Prkd3,Stk10,Csnk1d,Dapk1,Sik2,Speg,Cdk6,Slk,Rps6ka5,Ttbk2,Camk2b,Mast1,Mink1
PF00017	SH2	1.22176903274981e-05	-11.3126256296547	99	61	0.00788827104616578	7733	19276	214547,14784,192157,20491,77799,218397,17973,29815,22637,23921,21682,50915,18803,14783,17444,71130,27278,17974,20963,14360,20399,12169,20418,14302,217169,72281,328381,21961,12702,20851,14158,24055,67296,108699,20850,15170,20848,234779,14786,20849,56468,230126,12988,56792,18710,26377,18708,319939,216233,20847,11352,54607,12703,57257,12700,20846,22165,16452,16822,69993,22325	She,Grb2,Socs7,Sla,Sla2,Rasa1,Nck1,Bcar3,Zap70,Sh2b2,Tec,Grb14,Plcg1,Grb10,Grap2,Sh2d6,Clnk,Nck2,Syk,Fyn,Sh2b1,Bmx,Shc3,Frk,Tns4,Sh2d4a,Sh2d4b,Tns1,Socs3,Stat5b,Fer,Sh3bp2,Socs4,Chn1,Stat5a,Ptpn6,Stat3,Plcg2,Grb7,Stat4,Socs5,Shb,Csk,Stap1,Pik3r3,Dapp1,Pik3r1,Tns3,Socs2,Stat2,Abl2,Socs6,Socs1,Vav3,Cish,Stat1,Txk,Jak2,Lcp2,Chn2,Vav2
PF00621	RhoGEF	2.04630736711034e-05	-10.7968885804198	67	44	0.00568990042674253	7733	19276	277360,223254,54324,102098,54126,75547,72754,219140,53972,24001,100045792,545156,109934,622434,71972,13605,213783,57257,110279,20663,22325,69632,21844,71704,16800,56349,73341,207212,17207,232237,26382,234094,110596,19418,226970,30938,224014,20662,213522,223435,230972,16443,19417,109294	Prex1,Farp1,Arhgef5,Arhgef18,Arhgef7,Akap13,Arhgef10l,Spata13,Ngef,Tiam2,Ect2l,Kalrn,Abr,Arhgef26,Dnmbp,Ect2,Plekhg1,Vav3,Bcr,Sos2,Vav2,Arhgef12,Tiam1,Arhgef3,Arhgef2,Net1,Arhgef6,Arhgef17,Mcf2l,Fgd5,Fgd2,Arhgef10,Arhgef28,Rasgrf2,Arhgef4,Fgd3,Fgd4,Sos1,Plekhg6,Trio,Arhgef16,Itsn1,Rasgrf1,Prex2
PF00018	SH3_1	2.91915632100738e-05	-10.4416308216005	107	64	0.00827621880253459	7733	19276	622434,68813,71972,11352,117600,241275,20409,22165,234779,20411,13383,269016,54324,12988,237611,219140,53972,94176,17972,268396,209456,234214,13860,545156,14218,237353,14302,98402,259302,319262,105835,11308,15163,12488,230972,330662,223435,16443,225608,21981,218397,17970,23859,20491,20404,14784,21682,214459,207278,17973,329165,14269,59009,18803,78473,20405,14360,52906,71602,17969,17974,54353,226970,17444	Arhgef26,Dock5,Dnmbp,Abl2,Srgap1,Noxa1,Ostf1,Txk,Plcg2,Sorbs1,Dlg1,Sh3rf2,Arhgef5,Csk,Stac3,Spata13,Ngef,Dock2,Ncf4,Sh3pxd2b,Trp53bp2,Sorbs2,Eps8,Kalrn,Sh3pxd2a,Sh3rf3,Frk,Sh3bp4,Srgap3,Fchsd1,Sgsm3,Abi1,Hcls1,Cd2ap,Arhgef16,Dock1,Trio,Itsn1,Sh3tc2,Ppp1r13b,Rasa1,Ncf2,Dlg2,Sla,Sh3gl2,Grb2,Tec,Fnbp1l,Fchsd2,Nck1,Abi2,Fnbp1,Sh3rf1,Plcg1,Skap1,Sh3gl1,Fyn,Ahi1,Myo1e,Ncf1,Nck2,Skap2,Arhgef4,Grap2
PF00130	C1_1	3.86095380430415e-05	-10.1620112124569	53	36	0.00465537307642571	7733	19276	110157,217866,18759,54354,382018,19419,237611,110596,26934,11836,217154,18751,75292,319939,18753,240505,18760,214137,18755,18750,208898,226751,18761,110197,57257,18762,108699,18754,270163,380921,320127,69993,22325,17925,23854,240168	Raf1,Cdc42bpb,Prkci,Rassf5,Unc13a,Rasgrp1,Stac3,Arhgef28,Racgap1,Araf,Stac2,Prkcb,Prkd3,Tns3,Prkcd,Cdc42bpg,Prkd1,Arhgap29,Prkch,Prkca,Unc13c,Cdc42bpa,Prkcq,Dgkg,Vav3,Prkcz,Chn1,Prkce,Myo9a,Dgkh,Dgki,Chn2,Vav2,Myo9b,Def8,Rasgrp3
PF00041	fn3	5.01298749489643e-05	-9.9008934212269	135	77	0.00995732574679943	7733	19276	268780,21687,16337,16197,19271,269116,68655,17968,16001,18414,13857,19289,237979,19270,319636,26362,19274,13839,13838,19266,545902,330863,19649,78911,13176,22138,13837,16161,21960,19876,53870,13844,109272,268902,545156,19277,269784,16195,208777,17929,16981,12818,399558,320712,13841,18007,17930,19272,320974,17289,19886,22283,13840,12661,70530,21367,16880,19283,244682,13508,319504,330222,270190,16162,117606,19280,72007,21923,218624,12986,19263,235472,28105,13835,319448,12805,333564	Egflam,Tek,Insr,Il7r,Ptprj,Nfasc,Fndc1,Ncam2,Igf1r,Osmr,Epor,Igdcc3,Sdk2,Ptprg,Fsd1l,Axl,Ptprm,Epha5,Epha4,Ptprd,Ptprh,Trim67,Robo3,Trim42,Dcc,Ttn,Epha3,Il12rb1,Tnr,Robo1,Cntn6,Ephb2,Mybpc1,Robo2,Kalrn,Ptpro,Cntn4,Il6st,Sned1,Myom1,Lrrn3,Col14a1,Flrt2,Abi3bp,Epha7,Neo1,Myom2,Ptprk,Lrrn4,Mertk,Ros1,Ush2a,Epha6,Chl1,Lrfn2,Cntn2,Lifr,Ptprz1,Cntn5,Dscam,Nrcam,Sdk1,Ephb1,Il12rb2,Boc,Ptprs,Fndc3b,Tnc,Il31ra,Csf3r,Ptprb,Prtg,Trim36,Epha1,Fndc3a,Cntn1,Fndc3c1
PF00168	C2	5.61452059793995e-05	-9.78756925924226	125	72	0.00931074615285142	7733	19276	272636,94253,83762,54153,78610,13446,74055,18796,75788,102278,234779,13447,116838,80976,74741,16396,244049,78771,19415,271944,75767,12337,18783,83672,52635,18646,18754,18798,110279,74998,18750,19894,208898,19414,114713,18751,109934,54524,224860,18755,269615,17999,226101,271844,70568,55925,70450,52055,18803,227120,50780,212139,20980,382018,20979,69601,20983,218397,18705,114875,116837,234577,66871,83814,240752,211652,16443,74413,234515,238266,329324,83671	Esyt3,Hecw1,Otof,Rasa4,Uvrag,Doc2a,Plce1,Plcb2,Smurf1,Cpne7,Plcg2,Doc2b,Rims2,Syt13,C2cd5,Itch,Mctp2,Mctp1,Rasal1,C2cd4d,Rab11fip1,Capn5,Pla2g4a,Sytl3,Esyt2,Prf1,Prkce,Plcb4,Bcr,Rab11fip2,Prkca,Rph3a,Unc13c,Rasa3,Rasa2,Prkcb,Abr,Syt6,Plcl2,Prkch,Plch2,Nedd4,Myof,Pla2g4f,Cpne3,Syt8,Unc13d,Rab11fip5,Plcg1,Plcl1,Rgs3,Cc2d1a,Syt2,Unc13a,Syt1,Dab2ip,Syt4,Rasa1,Pik3c2g,Plcz1,Rims1,Cpne2,Cpne8,Nedd4l,Pik3c2b,Wwc1,Itsn1,Tc2n,Inpp4b,Syt16,Syt14,Sytl2
PF00233	PDEase_I	0.00016077550818305	-8.73550152511457	21	17	0.00219837061942325	7733	19276	225600,54611,207728,18587,18577,23984,110855,18578,18575,18585,218461,18583,18573,29863,238871,18584,18574	Pde6a,Pde3a,Pde2a,Pde6b,Pde4a,Pde10a,Pde6c,Pde4b,Pde1c,Pde9a,Pde8b,Pde7a,Pde1a,Pde7b,Pde4d,Pde8a,Pde1b
PF01392	Fz	0.000223882634671172	-8.40438859578108	23	18	0.00232768653821285	7733	19276	54612,14368,14365,14369,26563,14367,12822,20379,18198,242939,14370,20319,53419,20377,26564,319757,20378,14362	Sfrp5,Fzd6,Fzd3,Fzd7,Ror1,Fzd5,Col18a1,Sfrp4,Musk,Cpz,Fzd8,Sfrp2,Corin,Sfrp1,Ror2,Smo,Frzb,Fzd1
PF00102	Y_phosphatase	0.000243034831704317	-8.32230578454899	41	28	0.00362084572610888	7733	19276	19245,19266,19283,545902,19264,19279,19280,19267,19244,19255,19260,19253,19263,19250,19246,19248,24000,19211,19271,19277,545622,19249,19270,19274,19272,19276,15170,19259	Ptp4a3,Ptprd,Ptprz1,Ptprh,Ptprc,Ptprr,Ptprs,Ptpre,Ptp4a2,Ptpn2,Ptpn22,Ptpn18,Ptprb,Ptpn14,Ptpn1,Ptpn12,Ptpn21,Pten,Ptprj,Ptpro,Ptpn3,Ptpn13,Ptprg,Ptprm,Ptprk,Ptprn2,Ptpn6,Ptpn5
PF03165	MH1	0.000327402786913534	-8.02431938080466	12	11	0.00142247510668563	7733	19276	55994,17125,17128,17127,17130,18029,18027,17131,18032,18028,17126	Smad9,Smad1,Smad4,Smad3,Smad6,Nfic,Nfia,Smad7,Nfix,Nfib,Smad2
PF00435	Spectrin	0.000441879702818353	-7.72447287849968	22	17	0.00219837061942325	7733	19276	80297,20741,223435,109711,20743,17207,60595,545156,13405,22288,11426,238161,212073,319565,13518,20742,64009	Sptbn4,Sptb,Trio,Actn1,Sptbn2,Mcf2l,Actn4,Kalrn,Dmd,Utrn,Macf1,Akap6,Syne3,Syne2,Dst,Sptbn1,Syne1
PF12661	hEGF	0.000494717224967973	-7.61152422131925	31	22	0.00284495021337127	7733	19276	170788,108075,241324,70417,13389,240675,24117,20563,16449,18129,65969,208777,16998,14119,20564,18131,64817,270120,329628,214058,20562,54485	Crb1,Ltbp4,Crb2,Megf10,Dll3,Vwa2,Wif1,Slit2,Jag1,Notch2,Cubn,Sned1,Ltbp3,Fbn2,Slit3,Notch3,Svep1,Fat3,Fat4,Megf11,Slit1,Dll4
PF13927	Ig_3	0.000669375281308369	-7.30916569650708	120	66	0.0085348506401138	7733	19276	94332,14184,12215,269784,268902,231668,17289,21367,54725,14183,170721,12661,77739,330908,18007,98733,117606,19280,268890,20320,246256,13508,244682,242050,330222,68797,319504,16456,235472,14254,12805,213262,67374,22329,17968,235086,19289,237979,11658,320840,545370,269116,71566,74762,239857,320772,26362,16542,67703,102657,216760,229499,240354,16206,19266,19649,84004,16180,210094,53870,19876,71461,83964,58235,235106,320027	Cadm3,Fgfr3,Bsg,Cntn4,Robo2,Vsig10,Mertk,Cntn2,Cadm1,Fgfr2,Papln,Chl1,Adamtsl1,Opcml,Neo1,Obsl1,Boc,Ptprs,Lsamp,Nptn,Fcgr4,Dscam,Cntn5,Igsf10,Sdk1,Pdgfrl,Nrcam,F11r,Prtg,Flt1,Cntn1,Fstl5,Jam2,Vcam1,Ncam2,Igsf9b,Igdcc3,Sdk2,Alcam,Negr1,Hmcn1,Nfasc,Clmp,Mdga1,Cadm2,Mdga2,Axl,Kdr,Kirrel3,Cd276,Mfap3,Fcrl1,Malt1,Lrig1,Ptprd,Robo3,Mcam,Il1rap,Iglon5,Cntn6,Robo1,Ptk7,Jam3,Nectin1,Ntm,Fstl4
PF03151	TPT	0.000669432278592682	-7.30908055016334	8	8	0.00103452735031682	7733	19276	242585,270066,320541,70484,215436,228368,103710,228875	Slc35d1,Slc35e1,Slc35e2,Slc35d2,Slc35e3,Slc35c1,Slc35e4,Slc35c2
PF00178	Ets	0.000674195245982359	-7.30199080653542	26	19	0.00245700245700246	7733	19276	23871,13711,13661,13713,13876,13710,14011,20375,30051,14247,13714,104156,14009,27049,13709,20728,69257,23872,56501	Ets1,Elf5,Ehf,Elk3,Erg,Elf3,Etv6,Spi1,Spdef,Fli1,Elk4,Etv5,Etv1,Etv3,Elf1,Spic,Elf2,Ets2,Elf4
PF09379	FERM_N	0.000674195245982359	-7.30199080653542	26	19	0.00245700245700246	7733	19276	13821,228564,24000,22350,19249,226352,54357,545622,223254,269587,70549,13824,232288,319710,209630,13822,218203,19250,17698	Epb41l1,Frmd5,Ptpn21,Ezr,Ptpn13,Epb41l5,Epb41l4b,Ptpn3,Farp1,Epb41,Tln2,Epb41l4a,Frmd4b,Frmd6,Frmd4a,Epb41l2,Mylip,Ptpn14,Msn
