TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	3.59791376633795e-14	-30.9558371337856	237	154	0.028	5500	13465	16443,223435,213522,73341,54153,223254,50915,71704,74486,216991,347722,226245,67220,384783,30938,75292,226971,232237,78473,11652,70292,98432,102595,226250,54126,20947,319934,19418,110279,230972,75547,53972,24001,21844,217866,241308,13449,54519,380921,78618,234779,74309,114713,102693,226751,23797,110596,18803,56792,20742,69632,19414,20649,545156,268534,233765,78514,54353,19877,16369,109294,22325,75415,19415,71720,71435,71096,105445,100273,76117,76303,218397,240505,224014,19159,109135,71302,103967,16561,20743,74002,213783,56193,27062,17207,210293,12169,20662,14783,99031,269615,13196,58996,71801,67016,69601,11651,26377,26382,234353,237542,72789,231532,218952,83436,18760,20663,215632,277360,544817,241639,13430,24055,227120,19878,231717,20741,381605,78670,208177,320495,71544,106952,69710,21682,109934,19417,16800,231999,106877,57257,19157,23853,213556,102098,64291,227737,23921,211914,232201,224860,226970,77300,16560,14389,14786,320129,622434,16367,240753,27260,56349,80297,219140	Itsn1,Trio,Plekhg6,Arhgef6,Rasa4,Farp1,Grb14,Arhgef3,Osbpl10,Adap2,Agap1,Plekhs1,Plekho1,Irs2,Fgd3,Prkd3,Plekhb2,Fgd5,Skap1,Akt2,Afap1,Phlpp1,Plekho2,Afap1l2,Arhgef7,Swap70,Sbf2,Rasgrf2,Bcr,Arhgef16,Akap13,Ngef,Tiam2,Tiam1,Cdc42bpb,Ralgps1,Dok2,Apbb1ip,Dgkh,Acap2,Plcg2,Osbp2,Rasa2,Phldb1,Cdc42bpa,Akt3,Arhgef28,Plcg1,Stap1,Sptbn1,Arhgef12,Rasa3,Sntb1,Kalrn,Sntg2,Plekha7,Arhgap10,Skap2,Rock1,Irs3,Prex2,Vav2,Arhgap12,Rasal1,Osbpl3,Arhgap21,Sntg1,Dock9,Osbpl9,Arhgap15,Osbp,Rasa1,Cdc42bpg,Fgd4,Cyth3,Plekha5,Arhgap26,Dnm3,Kif1b,Sptbn2,Psd2,Plekhg1,Plek,Cadps,Mcf2l,Dock10,Bmx,Sos1,Grb10,Osbpl6,Plch2,Asap1,Arhgap23,Plekhf2,Tbc1d2b,Dab2ip,Akt1,Dapp1,Fgd2,Psd3,Osbpl8,Veph1,Arhgap24,Fermt2,Plekha2,Prkd1,Sos2,Psd4,Prex1,Arhgap27,Fermt1,Dnm2,Sh3bp2,Plcl1,Rock2,Pheta1,Sptb,Tbc1d2,Plekhj1,Phldb2,Ipcef1,Arhgap42,Arap3,Arap1,Tec,Abr,Rasgrf1,Arhgef2,Plekha8,Afap1l1,Vav3,Cyth1,Def6,Plekhh2,Arhgef18,Osbpl1a,Niban2,Sh2b2,Asap2,Arhgap25,Plcl2,Arhgef4,Raph1,Kif1a,Gab2,Grb7,Grk3,Arhgef26,Irs1,Plekha6,Plek2,Net1,Sptbn4,Spata13
PS50011	PROTEIN_KINASE_DOM	1.40438243632368e-07	-15.7784979919023	490	256	0.0465454545454545	5500	13465	12748,55984,11482,26403,69562,106522,17691,20874,26410,170755,20620,18607,23938,226751,53608,16590,18214,213452,14360,104175,16589,217866,110651,12988,244418,18198,56532,12167,14302,70415,83560,215303,381983,22637,22367,72149,56542,19877,226778,15258,14182,24014,69922,77976,71461,23797,234854,117229,269774,320119,18005,12978,14183,18004,546071,102626,98267,18750,227541,51789,244895,11302,13548,17165,381836,69635,224105,11481,17776,17152,17164,12571,381113,13841,13839,266632,244859,217410,26408,50523,14184,238323,16337,232533,26420,29869,18760,50772,17169,13835,50932,26401,19229,77485,104318,381406,56480,70661,26409,52163,13838,102414,19134,21682,27263,18213,269275,13844,20817,12675,13869,69131,241656,667663,320129,26405,23954,11682,12305,236574,17451,207565,65964,72587,70425,26404,57740,240880,231876,26396,108079,11652,233328,75292,26921,11477,26412,140810,50883,14158,13840,26564,17289,20868,19106,223435,19886,226419,18761,674895,26413,12166,20111,72508,20393,108960,13837,18647,333050,26400,328329,27103,230661,16451,64293,223255,11352,18753,244631,56274,74178,19882,545156,16706,26416,18749,14919,140780,225028,73086,270190,20963,26407,216965,12325,240505,78334,12235,108058,225724,105787,83813,23920,78943,52033,11651,26362,22165,18759,228012,21687,214230,58231,71091,59125,53859,14083,12169,16001,12323,93687,74137,26918,12545,18712,19878,69181,56527,18762,15257,12322,213435,18755,22138,13175,12995,26399,27206,18754,70762,16452,110157,18557,21813,26415,12168,73914,16542,26414,13728,329421,192292,13000,26419,26563,211770,11790,21812,12747,18751,14254,11836,19091,14841,235344,12534	Clk2,Camkk1,Acvrl1,Map3k11,Cdk13,Pkdcc,Sik1,Slk,Map3k8,Sgk3,Plk2,Pdpk1,Map2k5,Cdc42bpa,Map3k6,Kit,Ddr2,Dstyk,Fyn,Sbk1,Uhmk1,Cdc42bpb,Rps6ka3,Csk,Prag1,Musk,Ripk3,Bmpr1b,Frk,Stk26,Tex14,Camk1g,Lmtk3,Zap70,Vrk1,Strada,Cilk1,Rock1,Mark1,Hipk2,Fgfr1,Rnasel,Vrk2,Nuak1,Ptk7,Akt3,Cdk10,Stk33,Aak1,Rps6kc1,Nek2,Csf1r,Fgfr2,Nek1,Mast3,Mapkapk3,Stk17b,Prkca,Camk1d,Tnk2,Peak1,Aatk,Dyrk1a,Mapkapk5,Sbk2,Dapk1,Pak2,Acvr2b,Mast2,Mak,Mapkapk2,Cdk6,Cdkl4,Epha7,Epha5,Irak4,Ankk1,Trib2,Map3k5,Lats2,Fgfr3,Rps6kl1,Insr,Stk38l,Mapk9,Ulk2,Prkd1,Mapk6,Mark3,Epha1,Mink1,Map3k1,Ptk2b,Stk31,Csnk1d,Trp53rka,Tbk1,Sik3,Map3k7,Camk1,Epha4,Clk3,Prpf4b,Tec,Smok2a,Ntrk3,Acvr1c,Ephb2,Srpk2,Chuk,Erbb4,Cdk12,Pak5,Myo3a,Grk3,Map3k2,Nek3,Alk,Ddr1,Smok2b,Mos,Camkk2,Map3k20,Pan3,Csnk1g3,Map3k12,Stk32c,Scyl3,Lmtk2,Map2k2,Prkaa2,Akt2,Lrrk1,Prkd3,Map4k4,Acvr1,Map4k2,Ttbk2,Chek2,Fer,Epha6,Ror2,Mertk,Stk10,Eif2ak2,Trio,Ros1,Dyrk3,Prkcq,Nek10,Mapk1,Bmpr1a,Rps6ka1,Rps6kb1,Sgk1,Irak2,Epha3,Cdk14,Ksr2,Map2k7,Mast4,Eif2ak4,Tesk2,Jak1,Stk32b,Stk24,Abl2,Prkcd,Pskh1,Stk3,Stk40,Mst1r,Kalrn,Ksr1,Mapk14,Prkacb,Gucy2e,Bmp2k,Map4k3,Rps6ka5,Ephb1,Syk,Map3k4,Taok1,Camk2g,Cdc42bpg,Cdk19,Bub1,Camk2d,Mapk4,Prkaa1,Tnk1,Insrr,Ern1,Pbk,Akt1,Axl,Txk,Prkci,Tlk1,Tek,Pak6,Stk4,Cdkl1,Nek7,Map3k14,Ptk2,Bmx,Igf1r,Camk2b,Csnk1a1,Nuak2,Ern2,Cdc7,Pim1,Rock2,Dyrk2,Mast1,Prkcz,Hipk1,Camk2a,Mylk3,Prkch,Ttn,Dclk1,Csnk2a1,Map2k6,Nrk,Prkce,Dclk2,Jak2,Raf1,Cdk18,Tgfbr2,Mapk13,Bmpr2,Irak3,Kdr,Mapk10,Mark2,Myo3b,Nrbp1,Csnk2a2,Mapk8,Ror1,Trib1,Speg,Tgfbr1,Clk1,Prkcb,Flt1,Araf,Prkg1,Haspin,Sik2,Cdk1
PS00107	PROTEIN_KINASE_ATP	2.22161912491059e-06	-13.0172742923707	379	199	0.0361818181818182	5500	13465	320129,667663,17451,11682,23954,26405,207565,70425,102414,13838,70661,52163,26409,13844,20817,18213,269275,21682,241656,13869,69131,12675,29869,16337,232533,18760,50772,17169,19229,26401,50932,13835,56480,104318,69635,381836,13548,11302,17152,224105,12571,17164,14184,26408,50523,13841,381113,13839,117229,234854,14183,12978,98267,102626,18004,51789,227541,18750,381983,22637,215303,70415,56542,22367,15258,14182,226778,19877,23797,77976,213452,226751,53608,16590,14360,12988,110651,217866,56532,12167,14302,18198,12748,11482,69562,26403,55984,17691,23938,20620,170755,18607,20874,13000,11790,18751,21812,12747,12534,235344,19091,14841,11836,14254,18557,110157,16452,12168,26415,21813,16542,329421,13728,15257,69181,18762,19878,18755,213435,12322,13175,12995,70762,18754,26399,27206,26362,18759,22165,11651,71091,59125,58231,214230,228012,21687,16001,12323,93687,53859,12169,14083,18712,74137,12545,225028,18749,216965,26407,20963,73086,270190,12235,240505,78334,12325,23920,83813,108058,105787,225724,16451,64293,230661,27103,56274,244631,223255,11352,18753,545156,19882,26416,18761,674895,226419,20393,72508,26413,12166,20111,18647,13837,11652,108079,26396,57740,231876,26921,11477,75292,13840,14158,140810,26412,19886,17289,20868,19106	Grk3,Myo3a,Mos,Alk,Nek3,Map3k2,Camkk2,Csnk1g3,Clk3,Epha4,Sik3,Camk1,Map3k7,Ephb2,Srpk2,Ntrk3,Acvr1c,Tec,Pak5,Erbb4,Cdk12,Chuk,Ulk2,Insr,Stk38l,Prkd1,Mapk6,Mark3,Ptk2b,Map3k1,Mink1,Epha1,Tbk1,Csnk1d,Dapk1,Sbk2,Dyrk1a,Aatk,Mak,Pak2,Cdk6,Mapkapk2,Fgfr3,Map3k5,Lats2,Epha7,Cdkl4,Epha5,Stk33,Cdk10,Fgfr2,Csf1r,Stk17b,Mapkapk3,Nek1,Tnk2,Camk1d,Prkca,Lmtk3,Zap70,Camk1g,Stk26,Cilk1,Vrk1,Hipk2,Fgfr1,Mark1,Rock1,Akt3,Nuak1,Dstyk,Cdc42bpa,Map3k6,Kit,Fyn,Csk,Rps6ka3,Cdc42bpb,Ripk3,Bmpr1b,Frk,Musk,Clk2,Acvrl1,Cdk13,Map3k11,Camkk1,Sik1,Map2k5,Plk2,Sgk3,Pdpk1,Slk,Csnk2a2,Speg,Prkcb,Tgfbr1,Clk1,Cdk1,Sik2,Prkg1,Haspin,Araf,Flt1,Cdk18,Raf1,Jak2,Bmpr2,Mapk13,Tgfbr2,Kdr,Myo3b,Mark2,Hipk1,Dyrk2,Prkcz,Rock2,Prkch,Mylk3,Camk2a,Dclk1,Csnk2a1,Dclk2,Prkce,Map2k6,Nrk,Axl,Prkci,Txk,Akt1,Cdkl1,Nek7,Stk4,Pak6,Tlk1,Tek,Igf1r,Camk2b,Csnk1a1,Map3k14,Bmx,Ptk2,Pim1,Nuak2,Cdc7,Map4k3,Prkacb,Taok1,Map3k4,Syk,Rps6ka5,Ephb1,Bub1,Cdc42bpg,Cdk19,Camk2g,Insrr,Tnk1,Camk2d,Prkaa1,Mapk4,Jak1,Stk32b,Tesk2,Eif2ak4,Stk3,Pskh1,Stk24,Abl2,Prkcd,Kalrn,Mst1r,Mapk14,Prkcq,Nek10,Dyrk3,Sgk1,Rps6kb1,Mapk1,Bmpr1a,Rps6ka1,Cdk14,Epha3,Akt2,Prkaa2,Map2k2,Stk32c,Lmtk2,Map4k4,Acvr1,Prkd3,Epha6,Fer,Ttbk2,Map4k2,Ros1,Mertk,Stk10,Eif2ak2
PS00741	DH_1	3.08892077278289e-06	-12.6876887925332	24	21	0.00381818181818182	5500	13465	54126,73341,69632,110279,16443,71972,21844,24001,17207,226970,71704,54324,13605,277360,109934,19417,109294,22325,219140,56349,57257	Arhgef7,Arhgef6,Arhgef12,Bcr,Itsn1,Dnmbp,Tiam1,Tiam2,Mcf2l,Arhgef4,Arhgef3,Arhgef5,Ect2,Prex1,Abr,Rasgrf1,Prex2,Vav2,Spata13,Net1,Vav3
PS50853	FN3	5.48631349721857e-06	-12.1132540221274	190	108	0.0196363636363636	5500	13465	70530,213208,17289,19886,268780,319504,13840,19264,19289,68655,333564,16192,399558,60504,16190,72007,13837,237310,17968,19271,235472,21960,13176,98733,319448,15980,545156,545902,209590,18414,320772,268902,19876,14600,74762,23920,16157,244682,117606,16161,215494,270190,19274,16197,13839,13841,320712,12982,218624,269784,21923,16001,237979,330222,21687,242700,16981,52020,19649,19266,12805,208777,26362,54394,22138,13835,54343,67933,13508,19270,13857,16337,28105,19272,16979,12835,15975,109272,53870,320974,12986,22283,71436,12818,17930,13844,78911,16199,235086,13838,19283,19263,237313,21367,16155,19277,330863,319636,16162,57914,19280,17929,11790,269116,18007,16880,12661,16195	Lrfn2,Il20rb,Mertk,Ros1,Egflam,Nrcam,Epha6,Ptprc,Igdcc3,Fndc1,Fndc3c1,Il5ra,Flrt2,Il21r,Il4ra,Fndc3b,Epha3,Il22ra2,Ncam2,Ptprj,Prtg,Tnr,Dcc,Obsl1,Fndc3a,Ifngr2,Kalrn,Ptprh,Il23r,Osmr,Mdga2,Robo2,Robo1,Ghr,Mdga1,Insrr,Il11ra1,Cntn5,Boc,Il12rb1,Pomgnt2,Ephb1,Ptprm,Il7r,Epha5,Epha7,Abi3bp,Csf2ra,Il31ra,Cntn4,Tnc,Igf1r,Sdk2,Sdk1,Tek,Ifnlr1,Lrrn3,Umodl1,Robo3,Ptprd,Cntn1,Sned1,Axl,Crlf3,Ttn,Epha1,Atf7ip,Hcfc2,Dscam,Ptprg,Epor,Insr,Trim36,Ptprk,Lrrn1,Col6a3,Ifnar1,Mybpc1,Cntn6,Lrrn4,Csf3r,Ush2a,Flrt3,Col14a1,Myom2,Ephb2,Trim42,Il9r,Igsf9b,Epha4,Ptprz1,Ptprb,Il20ra,Cntn2,Il10rb,Ptpro,Trim67,Fsd1l,Il12rb2,Crlf2,Ptprs,Myom1,Speg,Nfasc,Neo1,Lifr,Chl1,Il6st
PS50021	CH	1.05860749369796e-05	-11.4559711056777	80	52	0.00945454545454546	5500	13465	212307,27008,64009,13405,18826,380916,330938,54126,70144,74392,319565,13518,231830,237436,102502,231798,73341,544963,100732,20743,80297,210297,29875,108686,260315,60595,11426,114601,71994,64099,12798,57257,68678,320277,320878,22288,22325,78286,18810,56370,227634,109711,194401,77569,94040,380928,432572,21346,286940,20741,20742,12316	Mapre2,Micall1,Syne1,Dmd,Lcp1,Lrch1,Dixdc1,Arhgef7,Lrch3,Specc1l,Syne2,Dst,Micall2,Gas2l3,Pls1,Lrch4,Arhgef6,Iqgap2,Mapre3,Sptbn2,Sptbn4,Lrch2,Iqgap1,Ccdc88a,Nav3,Actn4,Macf1,Ehbp1l1,Cnn3,Parvg,Cnn2,Vav3,Smtnl1,Spef2,Mical2,Utrn,Vav2,Nav2,Plec,Tagln3,Camsap1,Actn1,Mical3,Limch1,Clmn,Lmo7,Specc1,Tagln2,Flnb,Sptb,Sptbn1,Aspm
PS00479	ZF_DAG_PE_1	2.53179604802885e-05	-10.5839965136842	59	40	0.00727272727272727	5500	13465	18761,54354,226751,319939,380921,217154,18762,19419,110197,21961,69993,18755,240168,18760,240505,382018,217866,75547,333050,108699,18751,18754,11836,18750,17925,110157,26934,214137,18759,16800,57257,75292,18753,208898,237611,22325,23854,110596,16706,270163	Prkcq,Rassf5,Cdc42bpa,Tns3,Dgkh,Stac2,Prkcz,Rasgrp1,Dgkg,Tns1,Chn2,Prkch,Rasgrp3,Prkd1,Cdc42bpg,Unc13a,Cdc42bpb,Akap13,Ksr2,Chn1,Prkcb,Prkce,Araf,Prkca,Myo9b,Raf1,Racgap1,Arhgap29,Prkci,Arhgef2,Vav3,Prkd3,Prkcd,Unc13c,Stac3,Vav2,Def8,Arhgef28,Ksr1,Myo9a
PS50002	SH3	2.54115355880095e-05	-10.5803073300296	218	119	0.0216363636363636	5500	13465	94176,105835,20405,54673,544817,217154,20404,74103,170625,100213,237353,15163,71972,23970,20409,17921,27375,21981,21873,17207,13518,66938,237611,13196,241275,12298,22165,72828,234214,108100,207278,18003,11426,17972,338366,57329,54324,227700,17970,211914,226970,209456,622434,219140,218038,338320,71544,21682,20411,329416,269016,57257,59009,67742,58234,17973,14302,20491,319262,54126,230972,12988,56524,53972,17974,23859,70097,238130,11308,68813,214459,14360,13860,23880,71602,234779,17922,117600,223435,16443,17996,73341,12488,14269,18708,26403,268396,208869,78473,53618,23969,259302,51789,83813,14218,225608,218397,77799,12296,52906,17969,71302,330914,14784,18803,329165,98402,330662,545156,78514,54353,109620,75415,22325,227157,11352,18810,17444,13383	Dock2,Sgsm3,Sh3gl1,Sh3glb1,Arhgap27,Stac2,Sh3gl2,Nebl,Snx18,Rusc2,Sh3rf3,Hcls1,Dnmbp,Pacsin2,Ostf1,Myo7a,Tjp3,Ppp1r13b,Tjp2,Mcf2l,Dst,Sh3d21,Stac3,Asap1,Noxa1,Cacnb4,Txk,Ubash3b,Sorbs2,Baiap2,Fchsd2,Nedd9,Macf1,Ncf4,Mia3,Otor,Arhgef5,Sh3glb2,Ncf2,Asap2,Arhgef4,Trp53bp2,Arhgef26,Spata13,Amph,Mia2,Arhgap42,Tec,Sorbs1,Nostrin,Sh3rf2,Vav3,Sh3rf1,Samsn1,Shank3,Nck1,Frk,Sla,Fchsd1,Arhgef7,Arhgef16,Csk,Pals2,Ngef,Nck2,Dlg2,Sash1,Dock4,Abi1,Dock5,Fnbp1l,Fyn,Eps8,Fyb1,Myo1e,Plcg2,Myo7b,Srgap1,Trio,Itsn1,Neb,Arhgef6,Cd2ap,Fnbp1,Pik3r1,Map3k11,Sh3pxd2b,Dock3,Skap1,Fut8,Pacsin1,Srgap3,Tnk2,Tnk1,Sh3pxd2a,Sh3tc2,Rasa1,Sla2,Cacnb2,Ahi1,Ncf1,Arhgap26,Arhgap32,Grb2,Plcg1,Abi2,Sh3bp4,Dock1,Kalrn,Arhgap10,Skap2,Dsp,Arhgap12,Vav2,Mpp4,Abl2,Plec,Grap2,Dlg1
PS00108	PROTEIN_KINASE_ST	2.99007353007432e-05	-10.4176274858719	317	165	0.03	5500	13465	26414,12675,13728,329421,69131,269275,20817,27263,21813,102414,18557,19134,70661,52163,26409,110157,19091,26404,235344,12534,65964,11836,70425,18751,207565,21812,12747,17451,236574,11790,23954,13000,320129,26419,26408,50523,18712,74137,26918,381113,12545,244859,12323,93687,12571,17164,53859,17776,71091,17152,59125,224105,228012,11481,13548,17165,69635,381836,18759,11651,70762,104318,26399,27206,18754,13175,12995,26401,50932,18760,50772,12322,17169,213435,18755,29869,69181,56527,18762,15257,19878,232533,26420,77976,16706,23797,69922,545156,15258,19877,226778,56542,244631,74178,22367,18753,64293,328329,215303,27103,78943,227541,52033,108058,225724,105787,18750,12235,98267,546071,12325,18004,102626,78334,240505,26407,216965,73086,140780,18005,18749,234854,269774,117229,20868,19106,23938,223435,26410,20874,20620,170755,18607,50883,17691,26921,11477,11482,26403,69562,55984,75292,108079,11652,12748,57740,26396,26400,56532,12167,18647,333050,217866,110651,20393,20111,12166,26413,104175,72508,213452,226419,226751,53608,18761	Mapk10,Chuk,Mark2,Myo3b,Cdk12,Acvr1c,Srpk2,Smok2a,Tgfbr2,Clk3,Cdk18,Prpf4b,Sik3,Camk1,Map3k7,Raf1,Prkg1,Map3k12,Sik2,Cdk1,Map3k20,Araf,Csnk1g3,Prkcb,Camkk2,Tgfbr1,Clk1,Mos,Smok2b,Speg,Nek3,Csnk2a2,Grk3,Mapk8,Map3k5,Lats2,Pim1,Nuak2,Ern2,Cdkl4,Cdc7,Ankk1,Camk2b,Csnk1a1,Cdk6,Mapkapk2,Map3k14,Mast2,Cdkl1,Mak,Nek7,Pak2,Tlk1,Acvr2b,Dyrk1a,Mapkapk5,Dapk1,Sbk2,Prkci,Akt1,Dclk2,Csnk1d,Map2k6,Nrk,Prkce,Dclk1,Csnk2a1,Map3k1,Mink1,Prkd1,Mapk6,Camk2a,Mark3,Mylk3,Prkch,Ulk2,Dyrk2,Mast1,Prkcz,Hipk1,Rock2,Stk38l,Mapk9,Nuak1,Ksr1,Akt3,Vrk2,Kalrn,Hipk2,Rock1,Mark1,Cilk1,Pskh1,Stk40,Vrk1,Prkcd,Stk32b,Mast4,Camk1g,Eif2ak4,Ern1,Camk1d,Pbk,Camk2d,Mapk4,Prkaa1,Prkca,Bub1,Stk17b,Mast3,Camk2g,Nek1,Mapkapk3,Cdk19,Cdc42bpg,Map3k4,Taok1,Rps6ka5,Bmp2k,Nek2,Prkacb,Cdk10,Aak1,Stk33,Stk10,Eif2ak2,Map2k5,Trio,Map3k8,Slk,Plk2,Sgk3,Pdpk1,Chek2,Sik1,Map4k4,Acvr1,Acvrl1,Map3k11,Cdk13,Camkk1,Prkd3,Prkaa2,Akt2,Clk2,Stk32c,Map2k2,Map2k7,Ripk3,Bmpr1b,Cdk14,Ksr2,Cdc42bpb,Rps6ka3,Sgk1,Rps6ka1,Bmpr1a,Mapk1,Sbk1,Rps6kb1,Dstyk,Dyrk3,Cdc42bpa,Map3k6,Prkcq
PS50004	C2	3.3792719873945e-05	-10.2952651670195	138	80	0.0145454545454545	5500	13465	114713,234779,18646,18761,17999,55925,18796,18783,227120,74998,83762,75788,71709,226101,54524,18755,212139,78771,244049,18795,271944,12337,18754,83672,110279,329324,16396,83671,52357,234515,66894,13447,69601,272636,78610,238266,83814,269615,52055,80976,13446,54153,27062,16443,66871,231214,52635,18705,74413,116838,20980,75767,19894,382018,218397,94253,224860,74055,18751,18750,70568,70450,240752,50780,20979,18798,271844,74741,18753,109934,102278,208898,19415,114875,20983,234577,116837,19414,18803,211652	Rasa2,Plcg2,Prf1,Prkcq,Nedd4,Syt8,Plcb2,Pla2g4a,Plcl1,Rab11fip2,Otof,Smurf1,Syde1,Myof,Syt6,Prkch,Cc2d1a,Mctp1,Mctp2,Plcb1,C2cd4d,Capn5,Prkce,Sytl3,Bcr,Syt14,Itch,Sytl2,Wwc2,Inpp4b,Wwp2,Doc2b,Dab2ip,Esyt3,Uvrag,Syt16,Nedd4l,Plch2,Rab11fip5,Syt13,Doc2a,Rasa4,Cadps,Itsn1,Cpne8,Cc2d2a,Esyt2,Pik3c2g,Tc2n,Rims2,Syt2,Rab11fip1,Rph3a,Unc13a,Rasa1,Hecw1,Plcl2,Plce1,Prkcb,Prkca,Cpne3,Unc13d,Pik3c2b,Rgs3,Syt1,Plcb4,Pla2g4f,C2cd5,Prkcd,Abr,Cpne7,Unc13c,Rasal1,Plcz1,Syt4,Cpne2,Rims1,Rasa3,Plcg1,Wwc1
