TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2309	XPodNet - protein-protein interactions in the podocyte expanded by STRING	1.8752417096371e-12	-27.0022835530081	838	470	0.212285456187895	2214	4906	12125,19894,11610,238871,241226,26380,27278,12571,74203,78808,16772,54126,320799,12450,54004,11603,27401,12606,18021,22059,26992,12828,226519,64652,16531,12402,11489,18049,68151,60595,19052,57330,330914,70549,21809,83672,56177,16443,14254,11482,83964,16398,12322,20411,17463,19876,19277,14219,242274,11865,226182,244431,213556,20737,432530,17125,327826,268859,30955,12561,73178,77579,76055,30924,13840,26921,241308,17886,54380,20404,24136,83814,16412,13992,70737,16337,15194,11607,15170,18741,11608,55982,59006,240725,19664,22629,171531,13386,64176,18763,21416,71233,112407,15519,11461,78593,12166,19264,19229,216033,16842,15182,57259,104010,16591,72145,16419,12385,109689,18124,74053,74769,110829,26408,18750,12477,12428,16924,19353,11651,17184,22223,11848,17258,13717,16777,26934,13557,20350,11981,58235,72333,14783,13505,20692,12822,17126,23882,17199,16452,11819,12737,16001,192662,56013,20613,16400,14804,15896,12829,21912,12753,328572,18762,18710,12988,80976,50791,56349,18109,11487,72433,231532,210789,18131,72281,15481,53378,238130,68318,22337,16392,18129,20742,14784,20218,20315,16000,13367,12575,12345,235442,22325,20346,20649,13617,24052,21415,192119,12386,69908,14200,16569,13869,22627,19211,13430,22628,72058,54485,56715,224105,21367,17984,170770,54377,20538,13642,239036,23962,26396,16691,384783,108058,12323,118449,54519,21687,18707,22371,18708,12445,17248,19122,17532,71775,12978,218397,19303,18754,20715,56378,16490,17207,226352,69993,59035,12977,17762,16197,18003,74440,16402,66999,11845,20663,12343,94217,20979,319924,21834,93960,21844,23880,12122,17131,19165,21414,234779,19248,16456,11519,231830,14401,15163,12443,20399,14083,56194,21833,22187,13805,12695,12325,13857,17977,93742,18753,14812,12305,20181,11554,13844,224796,19055,12628,19219,56699,14406,71602,18771,17974,13838,67903,17130,15376,12540,23938,21812,12370,18007,12389,16594,14042,15902,12168,252870,12167,11600,12577,13819,228357,18187,14924,13449,21848,16593,14107,68292,12447,13860,26413,22770,67087,56213,54401,26420,27205,17973,13052,64929,26400,12043,16367,29875,18260,16009,246179,16998,75788,54607,104027,23959,21813,320207,50766,241201,13047,54611,227937,22041,12631,11517,75613,73086,14360,12740,18125,214444,12452,16822,19249,26419,22288,50754,57750,18571,67393,103967,30957,23797,268977,17127,74055,20405,16658,241066,66713,18613,387609,110157,68404,74117,16782,76089,17128,58998,11891,15945,13082,21357,109700,21814,18213,27218,14389,18749,16776,64209,330222,16423,18706,18759,17246,54353,18519,18570,74244,18810,16008,18074,16410,16007,140723,18193,22350,14281,215280,12741,67703,14066,16542,75477,21412,20662,20419,18803,11864,22431,74126,12488,16403,218772,12487,24117,15251,231470,268902,20963,12162,13448,17475,93840,18451,12995,110310,66993,18792,11789,14800,14102,241324,15110,17756,18189,108100,19341,83408,268903,210757,58220,50798,83671,14786,211652,16416,22068,50913,11481,12503	Bcl2l11,Rph3a,Agtrap,Pde4d,Itga8,Esrrb,Clnk,Cdk6,Eif4enif1,Stxbp5,Lama1,Arhgef7,Zhx3,Ccng1,Diaph2,Agrn,Skp2,Cebpa,Nfatc3,Trp53,Brd7,Col4a3,Lamc1,Nisch,Kcnma1,Cbl,Adam12,Ngf,Wls,Actn4,Ppp2ca,Gigyf1,Arhgap32,Tln2,Tgfb3,Sytl3,Olfm1,Itsn1,Flt1,Acvrl1,Jam3,Itga2,Camk2a,Sorbs1,Psmd7,Robo1,Ptpro,Ccn2,Lrrc7,Bmal1,Taf5,Sgcz,Plekhh2,Spn,Adcy1,Smad1,Frs2,Rbfox1,Pik3cg,Cdh4,Wasl,Myh10,Oga,Angptl3,Epha6,Map4k4,Ralgps1,Myh9,Smarcal1,Sh3gl2,Zeb2,Nedd4l,Itgb1,Khdrbs3,Cgn,Insr,Htt,Agtr1a,Ptpn6,Pitx2,Agtr1b,Paxip1,Myoz2,Sulf1,Rbpj,Ywhah,Mlph,Dlk1,Sv2b,Pkd1,Tcf7l2,Enkur,Egln3,Hsp90aa1,Actb,Nrip3,Bmpr1a,Ptprc,Ptk2b,Ctnna3,Lef1,Hdac2,Tob2,Cdh22,Kl,Wdfy3,Itgb5,Ctnna1,Arrb1,Nr4a3,Grip1,Pik3cb,Lims1,Map3k5,Prkca,Ctla4,Ccna2,Lnx1,Rac1,Akt1,Matr3,Uchl1,Rhoa,Mef2a,Eln,Lamb1,Racgap1,E2f3,Sema3f,Atp9a,Nectin1,Palld,Grb10,Dsc1,Sparc,Col18a1,Smad2,Gadd45g,Mc1r,Jak2,Nr2f2,Cldn1,Igf1r,Arhgdia,Srcin1,Snai1,Itga3,Grid2,Icam2,Col4a4,Tspan7,Clock,Ep300,Prkcz,Pik3r3,Csk,Syt13,Magi2,Net1,Mycn,Adam10,Rab38,Arhgap24,Tbc1d4,Notch3,Sh2d4a,Hspa8,Sdcbp,Dock4,Aph1c,Vdr,Isl1,Notch2,Sptbn1,Grb2,Khdrbs1,Cxcl12,Igf1,Diaph1,Cdkn1a,Capzb,Rab8b,Vav2,Sema3a,Sntb1,Ednra,Sgcd,Tcf7l1,Dicer1,Ctnna2,Rab3b,Fhl2,Kif3b,Erbb4,Ywhae,Pten,Dnm2,Ywhag,Igsf5,Dll4,Rabgef1,Pak2,Cntn2,Ndn,Bbc3,Cacng4,Slc6a2,Efnb2,4930596D02Rik,Oasl2,Map2k2,Krt8,Irs2,Camk2d,Camk2b,Synpo2,Apbb1ip,Tek,Pik3cd,Vwf,Pik3r1,Ccnd3,Mdm4,Prnp,Mras,Inhca,Csf1r,Rasa1,Pxn,Prkce,Serpina3g,Arpc3,Kcna2,Mcf2l,Epb41l5,Chn2,Carm1,Csf1,Mapt,Il7r,Nedd9,Cmip,Itga5,Med28,Arf6,Sos2,Capza2,Lrp1b,Syt1,Apba1,Thrb,Nkd1,Tiam1,Fyb1,Bid,Smad7,Psen2,Tcf7,Plcg2,Ptpn12,F11r,Add2,Micall2,Gabrb2,Hcls1,Ccnd1,Sh2b1,Ptk2,Prpf40a,Thra,Ubb,Eng,Patj,Camk2g,Epor,Ncoa1,Pard3,Prkcd,Grin2b,Ddr1,Rxra,Adrb1,Ephb2,Clic5,Ppp3ca,Cfh,Ptger4,Cdc42ep4,Gabrg2,Myo1e,Pknox1,Nck2,Epha4,Gipc1,Smad6,Foxa2,Cdc42,Map2k5,Tgfbr1,Casp8,Neo1,Cav1,Klc2,Ext1,Id2,Bmpr2,Usp7,Bmpr1b,Angpt1,Cdkn1c,Epas1,Lrp4,Nrp2,Magi1,Dok2,Trim24,Klc1,Fat1,Stt3b,Ccne1,Eps8,Mapk1,Zhx1,Ctnnbip1,Htra1,Ywhab,Mapk9,Podxl,Nck1,Cxadr,Scel,Map2k7,Bcl2,Irs1,Iqgap1,Ocln,Igfbp3,Fktn,Ltbp3,Smurf1,Socs6,Synpo,Nt5e,Tgfbr2,Pik3r5,Crim1,Cdh7,Cux1,Pde3a,Pkp4,Trf,Cfl1,Adcyap1r1,Med25,Rps6ka5,Fyn,Cldn4,Nos1,Cdk5rap2,Ccng2,Lcp2,Ptpn13,Mapk8,Utrn,Fbxw7,Wdr12,Pdcd6ip,Cxxc5,Dnm3,Mapk8ip3,Akt3,Ltbp1,Smad3,Plce1,Sh3gl1,Mafb,Carf,Actr2,Pecam1,Zhx2,Raf1,Nrn1,Actr3,Lamc2,Rapgef2,Smad4,Nectin3,Rab27a,Cxcl10,Cyp26a1,Tarbp2,Itga1,Tgfbr3,Ntrk3,Slamf1,Gab2,Prkacb,Lama5,Herpud1,Sdk1,Cd47,Pik3ca,Prkci,Mdm2,Skap2,Kat2b,Pdcd6,Atg7,Plec,Igfbp2,Nid2,Itgav,Ccn1,Cacng5,Nsd1,Ezr,Fos,Wipf1,Cldn5,Kirrel3,F3,Kdr,Pfn3,Tcf21,Sos1,Shcbp1,Plcg1,Arnt2,Wt1,Syvn1,Cd2ap,Itga6,Rarb,Cd28,Wif1,Hif1a,Fras1,Robo2,Syk,Bmp7,Dok1,Mpdz,Vangl2,P4ha1,Csnk2a1,Krt7,Smarcd3,Plau,Apc,Gria2,Fas,Crb2,Hand1,Map2,Nrxn1,Baiap2,Rab4a,Gimap3,Nrip1,Themis,Pard6b,Gne,Sytl2,Grb7,Wwc1,Itgb3,Trpc6,Olig2,Acvr2b,Cd247
WP2310	PodNet: protein-protein interactions in the podocyte	5.91753882079897e-08	-16.6427601212301	315	188	0.0849141824751581	2214	4906	22770,112407,11461,54401,12166,14924,240725,19664,64176,14107,12385,16419,12043,110829,74769,18260,29875,246179,16009,18750,27205,216033,17973,13052,64929,12540,54380,21812,17886,70737,13992,16412,71602,77579,17974,73178,30924,17130,241308,11600,12577,55982,11608,13819,16337,11607,14042,56177,14083,12695,12325,70549,19165,60595,16456,21809,12443,12305,20181,432530,213556,12628,19055,224796,19219,16398,12322,93742,242274,14219,19277,19876,56378,226352,19303,19894,18754,16531,12828,226519,12343,12402,17131,320799,74440,11603,18021,18189,19341,108100,108058,110310,56715,241324,224105,211652,18708,16416,22068,12323,18707,50798,16007,22325,22350,20346,14066,16542,67703,20315,18759,18706,330222,16000,12575,16410,18074,12345,16008,15251,24117,13430,218772,12162,72058,231470,268902,93840,18451,12386,192119,21412,12488,16403,22431,18803,387609,50791,76089,68404,74117,11487,30957,17127,12829,74055,66713,12988,16658,22337,18213,18749,18129,16776,14784,20742,231532,18131,72281,68318,13082,15945,50766,21813,13047,20350,72333,12631,75788,11651,104027,19353,22223,11848,11819,192662,16001,16400,22288,20613,103967,18571,67393,20692,14360,17126,12822,17199	Zhx1,Egln3,Actb,Ywhab,Bmpr1a,Magi1,Sulf1,Rbpj,Sv2b,Fat1,Ctnna1,Itgb5,Bcl2,Lims1,Pik3cb,Ocln,Iqgap1,Fktn,Igfbp3,Prkca,Podxl,Ctnna3,Nck1,Cxadr,Scel,Cdc42,Smarcal1,Tgfbr1,Myh9,Cgn,Khdrbs3,Itgb1,Myo1e,Myh10,Nck2,Wasl,Angptl3,Smad6,Ralgps1,Angpt1,Cdkn1c,Paxip1,Agtr1b,Epas1,Insr,Agtr1a,Ext1,Olfm1,Ptk2,Patj,Camk2g,Tln2,Psen2,Actn4,F11r,Tgfb3,Ccnd1,Ddr1,Rxra,Adcy1,Plekhh2,Cfh,Ppp3ca,Clic5,Ptger4,Itga2,Camk2a,Pard3,Lrrc7,Ccn2,Ptpro,Robo1,Arpc3,Epb41l5,Pxn,Rph3a,Prkce,Kcnma1,Col4a3,Lamc1,Capza2,Cbl,Smad7,Zhx3,Cmip,Agrn,Nfatc3,Nrxn1,Rab4a,Baiap2,Camk2d,Krt7,Rabgef1,Crb2,Pak2,Wwc1,Pik3r1,Itgb3,Trpc6,Camk2b,Pik3cd,Gne,Ccn1,Vav2,Ezr,Sema3a,F3,Kdr,Kirrel3,Cxcl12,Prkci,Pik3ca,Sdk1,Igf1,Cdkn1a,Itgav,Nid2,Capzb,Igfbp2,Hif1a,Wif1,Dnm2,Rarb,Bmp7,Igsf5,Fras1,Robo2,Vangl2,P4ha1,Ctnna2,Dicer1,Tcf21,Cd2ap,Itga6,Wt1,Plcg1,Zhx2,Magi2,Rapgef2,Nrn1,Actr3,Adam10,Mapk8ip3,Smad3,Col4a4,Plce1,Actr2,Csk,Mafb,Vdr,Ntrk3,Prkacb,Notch2,Lama5,Grb2,Sptbn1,Arhgap24,Notch3,Sh2d4a,Aph1c,Cyp26a1,Cxcl10,Crim1,Tgfbr2,Cux1,Sema3f,Palld,Cfl1,Smurf1,Akt1,Synpo,Rac1,Uchl1,Rhoa,Nr2f2,Arhgdia,Igf1r,Itga3,Utrn,Snai1,Dnm3,Pdcd6ip,Cxxc5,Sparc,Fyn,Smad2,Col18a1,Mc1r
WP572	EGFR1 Signaling Pathway	2.81119075410908e-07	-15.0844875014611	179	114	0.0514905149051491	2214	4906	13860,26413,20846,110651,74155,26405,26396,54401,24064,16691,110310,13449,433759,12702,19259,194655,26400,14786,18708,13714,74769,18750,19229,17973,26407,20851,56392,23980,19730,18707,12540,23938,19765,11843,22325,14281,20404,53859,18706,18759,57257,73178,17974,18810,16451,16476,17869,15170,20847,20617,11308,245688,19252,15194,56458,12389,20848,22038,20662,67184,18803,21815,382523,20850,12608,51789,110157,18760,19248,18806,12703,234779,26401,20111,50915,17127,18762,18710,12988,18751,11836,215114,12390,14389,14784,30955,12912,12322,98910,16396,64143,14783,19734,218397,19303,19353,19279,13710,11651,19707,240752,12402,13196,26419,26416,19084,11908,73086,12606,17126,57783,16452,208650,20663	Eps8,Mapk1,Stat1,Rps6ka3,Errfi1,Map3k2,Map2k2,Ywhab,Spry2,Krt8,Krt7,Dok2,Hdac1,Socs3,Ptpn5,Klf11,Map2k7,Grb7,Pik3r1,Elk4,Pik3cb,Prkca,Ptk2b,Nck1,Map3k4,Stat5b,Shoc2,Pebp1,Ralgds,Pik3cd,Cdc42,Map2k5,Ralbp1,Arf4,Vav2,Fos,Sh3gl2,Map3k14,Pik3ca,Prkci,Vav3,Wasl,Nck2,Plec,Jak1,Jun,Myc,Ptpn6,Stat2,Snca,Abi1,Rbbp7,Dusp1,Htt,Foxo1,Cav1,Stat3,Plscr1,Sos1,Ndufa13,Plcg1,Tgif1,H3f4,Stat5a,Cebpb,Tnk2,Raf1,Prkd1,Ptpn12,Pld2,Socs1,Plcg2,Map3k1,Rps6ka1,Grb14,Smad3,Prkcz,Pik3r3,Csk,Prkcb,Araf,Hip1,Cav2,Gab2,Grb2,Pik3cg,Creb1,Camk2a,Usp6nl,Itch,Ralb,Grb10,Rgs16,Rasa1,Pxn,Rac1,Ptprr,Elf3,Akt1,Reps1,Pik3c2b,Cbl,Asap1,Mapk8,Mapk14,Prkar1a,Atf1,Rps6ka5,Cebpa,Smad2,Tnip1,Jak2,Cblb,Sos2
WP65	Insulin Signaling	7.54187677864845e-06	-11.7950394972822	159	99	0.0447154471544715	2214	4906	12702,26413,20619,18705,18755,110651,26405,19341,225028,16568,26396,26399,56484,20418,26420,26407,18761,18707,26400,18708,16367,23921,74769,26408,27357,18750,20909,18706,18759,22433,26921,26409,16476,13685,23938,14281,170755,53859,16369,105787,108079,16337,53608,20913,56458,104215,11652,20393,20662,13653,19211,19159,26414,14252,225724,26401,12703,72508,20111,50915,107746,26410,18762,18710,18751,13684,26412,110157,18605,20614,225326,26403,20411,18607,210789,18753,26415,259300,14784,30955,26404,11840,19353,11651,19744,50772,14783,73086,20912,16573,11845,20663,208650,19246,16001,12402,26419,50932,26416	Socs3,Mapk1,Snap23,Pik3c2g,Prkch,Rps6ka3,Map3k2,Rab4a,Map4k3,Kif3a,Map2k2,Map2k6,Foxo3,Shc3,Mapk9,Map3k4,Prkcq,Pik3cd,Map2k7,Pik3r1,Irs1,Sh2b2,Pik3cb,Map3k5,Gyg1,Prkca,Stx4a,Pik3ca,Prkci,Xbp1,Map4k4,Map3k7,Jun,Eif4ebp1,Map2k5,Fos,Sgk3,Map3k14,Irs3,Prkaa1,Prkaa2,Insr,Map3k6,Stxbp4,Foxo1,Rhoq,Akt2,Sgk1,Sos1,Egr1,Pten,Cyth3,Mapk10,Flot2,Mapk4,Map3k1,Socs1,Rps6kb1,Rps6ka1,Grb14,Rapgef1,Map3k8,Prkcz,Pik3r3,Prkcb,Eif4e,Map4k2,Raf1,Enpp1,Snap25,Pik3c3,Map3k11,Sorbs1,Pdpk1,Tbc1d4,Prkcd,Mapk13,Ehd2,Grb2,Pik3cg,Map3k12,Arf1,Rac1,Akt1,Rheb,Mapk6,Grb10,Rps6ka5,Stxbp3,Kif5b,Arf6,Sos2,Cblb,Ptpn1,Igf1r,Cbl,Mapk8,Mink1,Mapk14
WP493	MAPK signaling pathway	7.54187677864845e-06	-11.7950394972822	159	99	0.0447154471544715	2214	4906	23938,12540,63953,12370,14281,21812,53859,16476,26409,26921,17869,26414,19042,269275,216965,114713,17260,22030,19252,53608,11652,16176,319520,18033,26413,110651,18755,225028,26396,14673,26420,16178,26399,16177,68652,14102,224105,12064,19259,56274,109689,12368,26400,17532,17165,109905,19060,235584,26408,26407,15370,17451,17187,12362,14828,21813,67603,50772,17762,218397,15507,11651,19353,19279,26404,170706,18049,50932,26419,26416,19043,19419,18015,22059,17164,20663,11911,215449,19418,11909,110157,19058,23797,26401,225724,30957,26410,65964,18762,18751,21809,14103,19055,14784,240672,26403,18753,15481,26415	Map2k5,Cdc42,Dusp10,Casp8,Fos,Tgfbr1,Map3k14,Jun,Map3k7,Map4k4,Myc,Mapk10,Ppm1a,Acvr1c,Taok1,Rasa2,Mef2c,Traf2,Dusp1,Map3k6,Akt2,Il1b,Dusp4,Nfkb1,Mapk1,Rps6ka3,Prkch,Map4k3,Map2k2,Gna12,Mapk9,Il1r2,Map2k6,Il1r1,Tab2,Fas,Pak2,Bdnf,Ptpn5,Stk3,Arrb1,Casp6,Map2k7,Mras,Mapkapk5,Rap1a,Ppp5c,Dusp7,Map3k5,Map3k4,Nr4a1,Mos,Max,Casp1,Hspa5,Tgfbr2,Dusp6,Mapk6,Mapt,Rasa1,Hspb1,Akt1,Rac1,Ptprr,Map3k12,Tmem37,Ngf,Mink1,Mapk8,Mapk14,Ppm1b,Rasgrp1,Nf1,Trp53,Mapkapk2,Sos2,Atf4,Rap1b,Rasgrf2,Atf2,Raf1,Ppp3r1,Akt3,Map3k1,Mapk4,Mapk8ip3,Map3k8,Map3k20,Prkcz,Prkcb,Tgfb3,Fasl,Ppp3ca,Grb2,Dusp5,Map3k11,Prkcd,Hspa8,Mapk13
WP450	IL-2 Signaling Pathway	1.09644901097159e-05	-11.4208486787976	76	53	0.0239385727190605	2214	4906	18708,16367,12043,74769,14389,30955,18795,14784,12912,12508,20851,23872,19229,16184,18707,18033,26413,20846,110157,14815,20850,12700,16432,26396,15519,26420,56484,384783,12703,12702,72508,23871,18762,13684,15894,12402,230126,15170,20963,26419,12675,26416,14360,20848,17164,20662,19697,16452,22608,18706,11651,64685,16451	Pik3r1,Irs1,Bcl2,Pik3cb,Gab2,Pik3cg,Plcb1,Grb2,Creb1,Cd53,Stat5b,Ets2,Ptk2b,Il2ra,Pik3cd,Nfkb1,Mapk1,Stat1,Raf1,Nr3c1,Stat5a,Cish,Itm2b,Map2k2,Hsp90aa1,Mapk9,Foxo3,Irs2,Socs1,Socs3,Rps6kb1,Ets1,Prkcz,Eif4e,Icam1,Cbl,Shb,Ptpn6,Syk,Mapk8,Chuk,Mapk14,Fyn,Stat3,Mapkapk2,Sos1,Rela,Jak2,Ybx1,Pik3ca,Akt1,Nmi,Jak1
WP539	Wnt Signaling Pathway NetPath	2.46145867176268e-05	-10.6121713347538	108	70	0.031616982836495	2214	4906	14367,93960,14362,93840,26419,212398,21413,14200,13383,26992,14368,21402,99470,13728,93687,26965,58198,208846,17755,13132,16973,11651,104318,19353,15258,11848,26409,16476,77578,109689,22421,12234,13000,18750,12006,16974,12323,12393,12322,16842,140577,12534,26564,67087,22418,26413,110157,12961,20319,17863,17128,14369,26420,108058,13017,12325,12995,19052,23859,17127,11789,328572,20377,56505,14370,18751,12443,20664,22413,22417	Fzd5,Nkd1,Fzd1,Vangl2,Mapk8,Frat2,Tcf4,Fhl2,Dlg1,Brd7,Fzd6,Skp1,Magi3,Mark2,Csnk1a1,Cul1,Sall1,Daam1,Map1b,Dab2,Lrp5,Akt1,Csnk1d,Rac1,Hipk2,Rhoa,Map3k7,Jun,Bcl9,Arrb1,Wnt7a,Btrc,Csnk2a2,Prkca,Axin2,Lrp6,Camk2b,Runx2,Camk2a,Lef1,Ankrd6,Cdk1,Ror2,Ctnnbip1,Wnt5a,Mapk1,Raf1,Crybb2,Sfrp2,Myb,Smad4,Fzd7,Mapk9,Camk2d,Ctbp2,Camk2g,Csnk2a1,Ppp2ca,Dlg2,Smad3,Apc,Ep300,Sfrp1,Ruvbl1,Fzd8,Prkcb,Ccnd1,Sox1,Wnt2,Wnt4
WP385	Myometrial Relaxation and Contraction Pathways	3.02592694226125e-05	-10.4057079932328	157	96	0.043360433604336	2214	4906	18753,12322,20541,23872,12912,20192,50779,12313,12918,18749,432530,210044,18751,18767,50780,18762,234779,64214,12325,12915,18760,224129,12921,11535,11909,18125,11911,24012,11512,18769,11908,100043507,19084,14693,51791,50778,18754,11536,14688,238871,14708,19734,11515,14702,53419,14391,60596,18127,14682,12778,18761,12323,19737,18750,19085,18430,16009,66066,12798,109689,22629,64337,19735,11514,16438,19088,108058,14745,54401,51801,11461,14696,18755,22631,18033,11938,14919,22627,16176,18803,140498,16193,14701,16439,22628,53313,16476,16008,14915,18578,56533,18759,11910,14281,19739,14683	Prkcd,Camk2a,Slc8a1,Ets2,Creb1,Ryr3,Rgs6,Calm1,Crh,Prkacb,Adcy1,Adcy2,Prkcb,Pkia,Rgs3,Prkcz,Plcg2,Rgs18,Camk2g,Atf6b,Prkd1,Adcy5,Crhr1,Adm,Atf2,Nos1,Atf4,Rgs7,Adcy6,Pkig,Atf1,Gng5-ps,Prkar1a,Gnb2,Rgs14,Rgs1,Prkce,Gpr182,Gnb1,Pde4d,Gng7,Rgs16,Adcy9,Gng2,Corin,Gabpb1,Gucy1a1,Nos3,Gnaq,Ackr3,Prkcq,Camk2b,Rgs5,Prkca,Prkar1b,Oxtr,Igfbp3,Gng11,Cnn2,Arrb1,Ywhah,Gng13,Rgs2,Adcy8,Itpr1,Prkar2b,Camk2d,Lpar1,Ywhab,Ramp1,Actb,Gnb4,Prkch,Ywhaz,Nfkb1,Atp2a2,Gucy2e,Ywhae,Il1b,Plcg1,Rxfp2,Il6,Gng12,Itpr2,Ywhag,Atp2a3,Jun,Igfbp2,Guca2a,Pde4b,Rgs17,Prkci,Atf3,Fos,Rgs9,Gnas
WP1253	Type II interferon signaling (IFNG)	0.000192639981662848	-8.55468749103253	34	26	0.011743450767841	2214	4906	20375,15980,15900,20847,18126,15978,16912,17329,19106,15894,16363,15958,16362,100038882,18753,16452,15945,16176,15977,16364,20846,15979,16451,21354,12703,12702	Spi1,Ifngr2,Irf8,Stat2,Nos2,Ifng,Psmb9,Cxcl9,Eif2ak2,Icam1,Irf2,Ifit2,Irf1,Isg15,Prkcd,Jak2,Cxcl10,Il1b,Ifnb1,Irf4,Stat1,Ifngr1,Jak1,Tap1,Socs1,Socs3
WP1560	MicroRNAs in Cardiomyocyte Hypertrophy	0.000412370585360982	-7.79358813387209	83	53	0.0239385727190605	2214	4906	230899,26396,17876,26399,108058,26413,22418,18033,12700,110157,211323,11606,19091,14183,18710,18751,225724,13614,19055,12313,18780,30955,18708,26400,74769,18707,16974,18607,53859,16195,19878,56233,23938,79221,11848,16973,18706,19877,19353,16000,213435,11651,26419,12675,26416,208727,14362,16001,54720,13019,18796,20848,11652	Nppa,Map2k2,Myef2,Map2k6,Camk2d,Mapk1,Wnt5a,Nfkb1,Cish,Raf1,Nrg1,Agt,Prkg1,Fgfr2,Pik3r3,Prkcb,Mapk4,Edn1,Ppp3ca,Calm1,Pla2g2a,Pik3cg,Pik3r1,Map2k7,Pik3cb,Pik3cd,Lrp6,Pdpk1,Map3k14,Il6st,Rock2,Hdac7,Map2k5,Hdac9,Rhoa,Lrp5,Pik3ca,Rock1,Rac1,Igf1,Mylk3,Akt1,Mapk8,Chuk,Mapk14,Hdac4,Fzd1,Igf1r,Rcan1,Ctf1,Plcb2,Stat3,Akt2
