TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0043226	organelle	1.15062010362025e-09	-20.5829648193591	13428	67	0.788235294117647	85	28799	15953,69053,216033,18049,14400,110157,271209,15376,20344,67052,20602,68632,214162,16534,18163,21391,207181,242570,329251,241128,14348,20271,68703,17930,67471,78748,53859,19211,14804,70772,68598,70508,233781,360220,192678,22190,212391,50785,72685,65964,26965,69219,18242,56327,22229,227929,54132,63873,50913,13034,26931,574403,216892,319478,20668,192950,67488,19654,240880,19725,14302,18578,76505,56305,212032,433091,19933	Ifi47,Hapstr1,Ctnna3,Ngf,Gabrb1,Raf1,Rp1l1,Foxa2,Selp,Ndc80,Ncor2,Myct1,Kmt2a,Kcnn4,Ctnnd2,Tbxas1,Rbms3,Raver2,Ppp1r12b,Fam124b,Fut9,Scn5a,Rere,Myom2,Gpatch1,Rassf10,Map3k14,Pten,Grid2,Ggnbp1,Dnajc8,Bbx,Xylt1,Speer4d,Rassf3,Ubc,Lcor,Hs6st1,Dnajc6,Map3k20,Cul1,Ddah1,Oat,Arl2,Ucp3,Cytip,Pdlim1,Trpv4,Olig2,Ctse,Ppp2r5c,Insyn2b,Spns2,Cxxc4,Sox13,Nacad,Calcoco1,Rbm6,Scyl3,Rfx2,Frk,Pde4b,Smim45,Pitpnb,Hk3,Pnpla1,Rpl21
GO:0043229	intracellular organelle	1.93706846282169e-08	-17.759505015381	13077	64	0.752941176470588	85	28799	26965,69219,18242,56327,22229,227929,54132,63873,50913,13034,26931,216892,20668,319478,192950,67488,19654,240880,14302,19725,18578,76505,56305,212032,433091,19933,15953,69053,216033,18049,14400,110157,271209,15376,20344,67052,20602,68632,214162,18163,21391,207181,242570,329251,241128,14348,20271,67471,68703,78748,17930,53859,19211,70772,68598,70508,233781,192678,360220,22190,212391,50785,72685,65964	Cul1,Ddah1,Oat,Arl2,Ucp3,Cytip,Pdlim1,Trpv4,Olig2,Ctse,Ppp2r5c,Spns2,Sox13,Cxxc4,Nacad,Calcoco1,Rbm6,Scyl3,Frk,Rfx2,Pde4b,Smim45,Pitpnb,Hk3,Pnpla1,Rpl21,Ifi47,Hapstr1,Ctnna3,Ngf,Gabrb1,Raf1,Rp1l1,Foxa2,Selp,Ndc80,Ncor2,Myct1,Kmt2a,Ctnnd2,Tbxas1,Rbms3,Raver2,Ppp1r12b,Fam124b,Fut9,Scn5a,Gpatch1,Rere,Rassf10,Myom2,Map3k14,Pten,Ggnbp1,Dnajc8,Bbx,Xylt1,Rassf3,Speer4d,Ubc,Lcor,Hs6st1,Dnajc6,Map3k20
GO:0005622	intracellular anatomical structure	1.16661538349974e-07	-15.9639889290974	14712	67	0.788235294117647	85	28799	16534,18163,21391,329251,207181,242570,67052,20602,68632,214162,18049,14400,110157,271209,20344,15376,66892,15953,69053,216033,212391,50785,72685,65964,70508,233781,360220,192678,22190,17930,68703,78748,67471,53859,70772,19211,227449,68598,241128,14348,20271,63873,50913,13034,227929,54132,69219,18242,56327,22229,26965,76505,56305,212032,433091,19933,18578,216892,319478,20668,192950,67488,19654,240880,19725,14302,26931	Kcnn4,Ctnnd2,Tbxas1,Ppp1r12b,Rbms3,Raver2,Ndc80,Ncor2,Myct1,Kmt2a,Ngf,Gabrb1,Raf1,Rp1l1,Selp,Foxa2,Eif4e3,Ifi47,Hapstr1,Ctnna3,Lcor,Hs6st1,Dnajc6,Map3k20,Bbx,Xylt1,Speer4d,Rassf3,Ubc,Myom2,Rere,Rassf10,Gpatch1,Map3k14,Ggnbp1,Pten,Zcchc2,Dnajc8,Fam124b,Fut9,Scn5a,Trpv4,Olig2,Ctse,Cytip,Pdlim1,Ddah1,Oat,Arl2,Ucp3,Cul1,Smim45,Pitpnb,Hk3,Pnpla1,Rpl21,Pde4b,Spns2,Cxxc4,Sox13,Nacad,Calcoco1,Rbm6,Scyl3,Rfx2,Frk,Ppp2r5c
GO:0110165	cellular anatomical entity	1.2960097984968e-07	-15.8588054924883	19495	78	0.917647058823529	85	28799	212391,50785,72685,16522,65964,70508,233781,192678,360220,21859,22190,67471,78748,68703,17930,53859,19211,14804,70772,227449,68598,258396,16177,241128,14348,383563,20271,16534,18163,21391,207181,242570,329251,67052,20602,214162,68632,18049,14400,110157,269784,271209,20344,15376,66892,15953,69053,216033,258469,76505,56305,212032,433091,19933,18578,11732,216892,20668,319478,192950,19654,67488,240880,14302,19725,665033,26931,574403,63873,50913,13034,227929,54132,18242,69219,56327,22229,26965	Lcor,Hs6st1,Dnajc6,Kcnj6,Map3k20,Bbx,Xylt1,Rassf3,Speer4d,Timp3,Ubc,Gpatch1,Rassf10,Rere,Myom2,Map3k14,Pten,Grid2,Ggnbp1,Zcchc2,Dnajc8,Or4f56,Il1r1,Fam124b,Fut9,Gpr25,Scn5a,Kcnn4,Ctnnd2,Tbxas1,Rbms3,Raver2,Ppp1r12b,Ndc80,Ncor2,Kmt2a,Myct1,Ngf,Gabrb1,Raf1,Cntn4,Rp1l1,Selp,Foxa2,Eif4e3,Ifi47,Hapstr1,Ctnna3,Or2h2,Smim45,Pitpnb,Hk3,Pnpla1,Rpl21,Pde4b,Ank,Spns2,Sox13,Cxxc4,Nacad,Rbm6,Calcoco1,Scyl3,Frk,Rfx2,Col6a5,Ppp2r5c,Insyn2b,Trpv4,Olig2,Ctse,Cytip,Pdlim1,Oat,Ddah1,Arl2,Ucp3,Cul1
GO:0005737	cytoplasm	1.2914952144362e-06	-13.5597099298481	11867	57	0.670588235294118	85	28799	227929,54132,13034,50913,63873,22229,56327,69219,18242,18578,212032,56305,19933,433091,76505,26931,67488,14302,19725,240880,20668,319478,216892,192950,214162,67052,242570,207181,329251,16534,18163,21391,69053,216033,15953,20344,15376,271209,66892,18049,110157,192678,233781,22190,65964,72685,50785,20271,14348,241128,53859,78748,17930,68598,227449,70772,19211	Cytip,Pdlim1,Ctse,Olig2,Trpv4,Ucp3,Arl2,Ddah1,Oat,Pde4b,Hk3,Pitpnb,Rpl21,Pnpla1,Smim45,Ppp2r5c,Calcoco1,Frk,Rfx2,Scyl3,Sox13,Cxxc4,Spns2,Nacad,Kmt2a,Ndc80,Raver2,Rbms3,Ppp1r12b,Kcnn4,Ctnnd2,Tbxas1,Hapstr1,Ctnna3,Ifi47,Selp,Foxa2,Rp1l1,Eif4e3,Ngf,Raf1,Rassf3,Xylt1,Ubc,Map3k20,Dnajc6,Hs6st1,Scn5a,Fut9,Fam124b,Map3k14,Rassf10,Myom2,Dnajc8,Zcchc2,Ggnbp1,Pten
GO:0043227	membrane-bounded organelle	2.6510439882688e-06	-12.8405570377099	12434	58	0.682352941176471	85	28799	271209,15376,20344,110157,18049,14400,69053,15953,207181,242570,21391,16534,18163,214162,68632,20602,67052,19211,70772,68598,67471,68703,53859,20271,241128,14348,65964,212391,50785,72685,22190,233781,360220,70508,56327,22229,18242,69219,26965,13034,63873,50913,227929,240880,19725,14302,19654,67488,192950,216892,319478,20668,26931,19933,56305,212032,76505,18578	Rp1l1,Foxa2,Selp,Raf1,Ngf,Gabrb1,Hapstr1,Ifi47,Rbms3,Raver2,Tbxas1,Kcnn4,Ctnnd2,Kmt2a,Myct1,Ncor2,Ndc80,Pten,Ggnbp1,Dnajc8,Gpatch1,Rere,Map3k14,Scn5a,Fam124b,Fut9,Map3k20,Lcor,Hs6st1,Dnajc6,Ubc,Xylt1,Speer4d,Bbx,Arl2,Ucp3,Oat,Ddah1,Cul1,Ctse,Trpv4,Olig2,Cytip,Scyl3,Rfx2,Frk,Rbm6,Calcoco1,Nacad,Spns2,Cxxc4,Sox13,Ppp2r5c,Rpl21,Pitpnb,Hk3,Smim45,Pde4b
GO:0043231	intracellular membrane-bounded organelle	1.21424876897685e-05	-11.3187998765406	11925	55	0.647058823529412	85	28799	67052,214162,68632,20602,21391,18163,242570,207181,15953,69053,110157,18049,14400,15376,20344,70508,22190,233781,360220,212391,50785,72685,65964,241128,14348,20271,70772,19211,68598,67471,68703,53859,227929,50913,13034,26965,69219,18242,56327,22229,18578,76505,19933,56305,212032,26931,192950,216892,319478,20668,240880,19725,14302,19654,67488	Ndc80,Kmt2a,Myct1,Ncor2,Tbxas1,Ctnnd2,Raver2,Rbms3,Ifi47,Hapstr1,Raf1,Ngf,Gabrb1,Foxa2,Selp,Bbx,Ubc,Xylt1,Speer4d,Lcor,Hs6st1,Dnajc6,Map3k20,Fam124b,Fut9,Scn5a,Ggnbp1,Pten,Dnajc8,Gpatch1,Rere,Map3k14,Cytip,Olig2,Ctse,Cul1,Ddah1,Oat,Arl2,Ucp3,Pde4b,Smim45,Rpl21,Pitpnb,Hk3,Ppp2r5c,Nacad,Spns2,Cxxc4,Sox13,Scyl3,Rfx2,Frk,Rbm6,Calcoco1
GO:0005634	nucleus	0.000118141944419439	-9.04362373761695	7420	38	0.447058823529412	85	28799	70508,22190,18578,360220,76505,212391,65964,26931,241128,20271,19211,192950,68598,68703,67471,20668,319478,53859,14302,19725,19654,67488,67052,227929,214162,68632,20602,18163,50913,207181,242570,26965,69053,18242,110157,14400,56327,15376	Bbx,Ubc,Pde4b,Speer4d,Smim45,Lcor,Map3k20,Ppp2r5c,Fam124b,Scn5a,Pten,Nacad,Dnajc8,Rere,Gpatch1,Sox13,Cxxc4,Map3k14,Frk,Rfx2,Rbm6,Calcoco1,Ndc80,Cytip,Kmt2a,Myct1,Ncor2,Ctnnd2,Olig2,Rbms3,Raver2,Cul1,Hapstr1,Oat,Raf1,Gabrb1,Arl2,Foxa2
GO:0030017	sarcomere	0.000359777834916269	-7.93002384224686	205	5	0.0588235294117647	85	28799	17930,54132,329251,18578,20271	Myom2,Pdlim1,Ppp1r12b,Pde4b,Scn5a
GO:0030016	myofibril	0.000631337372183488	-7.36767017557289	232	5	0.0588235294117647	85	28799	54132,17930,20271,18578,329251	Pdlim1,Myom2,Scn5a,Pde4b,Ppp1r12b
