TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko05213	Endometrial cancer	0.00163581613064517	-6.41561343669896	50	3	0.0789473684210526	38	8044	19211,216033,110157	Pten,Ctnna3,Raf1
mmu05213	Endometrial cancer	0.00163581613064517	-6.41561343669896	50	3	0.0789473684210526	38	8044	19211,216033,110157	Pten,Ctnna3,Raf1
ko05230	Central carbon metabolism in cancer	0.00332270658587923	-5.70697559146808	64	3	0.0789473684210526	38	8044	110157,212032,19211	Raf1,Hk3,Pten
mmu05230	Central carbon metabolism in cancer	0.00332270658587923	-5.70697559146808	64	3	0.0789473684210526	38	8044	110157,212032,19211	Raf1,Hk3,Pten
mmu00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.00561737005863607	-5.18189168570129	24	2	0.0526315789473684	38	8044	233781,50785	Xylt1,Hs6st1
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.00561737005863607	-5.18189168570129	24	2	0.0526315789473684	38	8044	233781,50785	Xylt1,Hs6st1
ko04010	MAPK signaling pathway	0.00625067949398062	-5.07506510210641	252	5	0.131578947368421	38	8044	53859,18049,65964,110157,16177	Map3k14,Ngf,Map3k20,Raf1,Il1r1
mmu04010	MAPK signaling pathway	0.00625067949398062	-5.07506510210641	252	5	0.131578947368421	38	8044	110157,16177,65964,18049,53859	Raf1,Il1r1,Map3k20,Ngf,Map3k14
mmu05032	Morphine addiction	0.00914681487817224	-4.69434956104204	92	3	0.0789473684210526	38	8044	16522,14400,18578	Kcnj6,Gabrb1,Pde4b
ko05032	Morphine addiction	0.00914681487817224	-4.69434956104204	92	3	0.0789473684210526	38	8044	18578,14400,16522	Pde4b,Gabrb1,Kcnj6
ko04510	Focal adhesion	0.0139053391918737	-4.2754823980753	199	4	0.105263157894737	38	8044	329251,19211,665033,110157	Ppp1r12b,Pten,Col6a5,Raf1
mmu04510	Focal adhesion	0.0139053391918737	-4.2754823980753	199	4	0.105263157894737	38	8044	329251,665033,19211,110157	Ppp1r12b,Col6a5,Pten,Raf1
mmu04071	Sphingolipid signaling pathway	0.0195211393428326	-3.93625733172755	122	3	0.0789473684210526	38	8044	110157,26931,19211	Raf1,Ppp2r5c,Pten
