TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY-6558	heparan sulfate biosynthesis (late stages)	0.000175461753638975	-8.64808946679116	19	17	0.0340681362725451	499	1039	14042,328779,15476,14043,83398,54616,64580,15478,54710,227327,14538,72077,15531,14537,56219,319415,195646	Ext1,Hs3st6,Hs3st1,Ext2,Ndst3,Extl3,Ndst4,Hs3st3a1,Hs3st3b1,B3gnt7,Gcnt2,Gcnt3,Ndst1,Gcnt1,Extl1,Hs3st5,Hs3st2
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.000755650785411081	-7.18793121256394	58	40	0.0801603206412826	499	1039	380711,117600,54153,270192,210044,11512,66691,11513,11516,105445,99326,101489,224129,110279,66922,14697,216363,14685,109934,53869,11515,14687,432530,14672,11517,224092,69993,14676,210293,114713,216991,56533,11514,208869,13430,23881,233204,66687,69632,20028	Rap1gap2,Srgap1,Rasa4,Rab6b,Adcy2,Adcy6,Gapvd1,Adcy7,Adcyap1,Dock9,Garnl3,Ric8a,Adcy5,Bcr,Rras2,Gnb5,Rab3ip,Gnat1,Abr,Rab11a,Adcy9,Gnaz,Adcy1,Gna11,Adcyap1r1,Lsg1,Chn2,Gna15,Dock10,Rasa2,Adap2,Rgs17,Adcy8,Dock3,Dnm2,G3bp2,Tbc1d17,Tbc1d15,Arhgef12,Pdc
MOUSE_PWY-6564	heparan sulfate biosynthesis	0.0023083307001116	-6.07123065632337	26	20	0.0400801603206413	499	1039	280645,233781,195646,319415,56219,14538,72077,76898,15531,14537,64580,54710,15478,227327,328779,15476,14043,83398,54616,14042	B3gat2,Xylt1,Hs3st2,Hs3st5,Extl1,Gcnt2,Gcnt3,B3gat1,Ndst1,Gcnt1,Ndst4,Hs3st3b1,Hs3st3a1,B3gnt7,Hs3st6,Hs3st1,Ext2,Ndst3,Extl3,Ext1
MOUSE_PWY-922	mevalonate pathway I	0.023662016924852	-3.74388417787529	11	9	0.0180360721442886	499	1039	208715,67993,110446,17855,110460,102635781,15357,15360,68603	Hmgcs1,Nudt12,Acat1,Mvk,Acat2,Idi1-ps1,Hmgcr,Hmgcs2,Pmvk
MOUSE_PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation	0.0252860731445776	-3.67750150340589	5	5	0.0100200400801603	499	1039	19062,16329,16331,101490,170835	Inpp5k,Inpp1,Inpp5d,Inpp5f,Inpp5j
MOUSE_PWY66-5	superpathway of cholesterol biosynthesis	0.0330621847287257	-3.40936510502418	13	10	0.0200400801603206	499	1039	208715,67993,110446,17855,102635781,110460,15357,15360,14593,68603	Hmgcs1,Nudt12,Acat1,Mvk,Idi1-ps1,Acat2,Hmgcr,Hmgcs2,Ggps1,Pmvk
MOUSE_TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)	0.041387000972241	-3.1847884336326	10	8	0.0160320641282565	499	1039	71562,70789,98256,18293,107766,110446,110460,15930	Afmid,Kynu,Kmo,Ogdh,Haao,Acat1,Acat2,Ido1
MOUSE_PWY3DJ-12	ceramide biosynthesis	0.041387000972241	-3.1847884336326	10	8	0.0160320641282565	499	1039	20773,76893,70059,67260,241447,71949,268656,228677	Sptlc2,Cers2,Degs2,Cers4,Cers6,Cers5,Sptlc1,Sptlc3
MOUSE_PWY3DJ-5	biosynthesis of serotonin and melatonin	0.0528708802113857	-2.93990256027519	4	4	0.00801603206412826	499	1039	13195,11298,216343,21990	Ddc,Aanat,Tph2,Tph1
MOUSE_GLUTOXA-PWY	glutamate degradation VII	0.0528708802113857	-2.93990256027519	4	4	0.00801603206412826	499	1039	56451,14719,14194,20916	Suclg1,Got2,Fh1,Sucla2
MOUSE_PWY-6030	serotonin and melatonin biosynthesis	0.0528708802113857	-2.93990256027519	4	4	0.00801603206412826	499	1039	13195,11298,216343,21990	Ddc,Aanat,Tph2,Tph1
MOUSE_PWY-5328	superpathway of methionine degradation	0.0583048751486161	-2.84206956736166	19	13	0.0260521042084168	499	1039	17850,110821,107869,238505,232087,74340,12116,12583,11720,14718,229709,66904,108645	Mmut,Pcca,Cth,Mtr,Mat2a,Ahcyl2,Bhmt,Cdo1,Mat1a,Got1,Ahcyl1,Pccb,Mat2b
MOUSE_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.0583048751486161	-2.84206956736166	19	13	0.0260521042084168	499	1039	18799,234779,72469,117150,74055,269615,269437,219024,18802,108083,18803,114875,18795	Plcd1,Plcg2,Plcd3,Pip4k2c,Plce1,Plch2,Plch1,Pip4p1,Plcd4,Pip4k2b,Plcg1,Plcz1,Plcb1
MOUSE_LIPASYN-PWY	phospholipases	0.0725636933244234	-2.62329057418916	34	21	0.0420841683366733	499	1039	269437,53357,18780,269615,18805,665270,74055,194908,72469,18784,234779,18799,18795,329502,18783,18803,114875,78390,18778,18782,18802	Plch1,Pla2g6,Pla2g2a,Plch2,Pld1,Plb1,Plce1,Pld6,Plcd3,Pla2g5,Plcg2,Plcd1,Plcb1,Pla2g4e,Pla2g4a,Plcg1,Plcz1,Pla2g4d,Pla2g1b,Pla2g2d,Plcd4
MOUSE_METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)	0.09131353686831	-2.39345623437281	6	5	0.0100200400801603	499	1039	108645,11720,232087,229709,74340	Mat2b,Mat1a,Mat2a,Ahcyl1,Ahcyl2
MOUSE_PWY-5041	S-adenosyl-L-methionine cycle II	0.09131353686831	-2.39345623437281	6	5	0.0100200400801603	499	1039	108645,11720,232087,229709,74340	Mat2b,Mat1a,Mat2a,Ahcyl1,Ahcyl2
MOUSE_PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0.09131353686831	-2.39345623437281	6	5	0.0100200400801603	499	1039	107766,15930,98256,70789,71562	Haao,Ido1,Kmo,Kynu,Afmid
MOUSE_PWY-3982	uracil degradation II (reductive)	0.110431919151143	-2.20335606418121	3	3	0.00601202404809619	499	1039	64705,103149,99586	Dpys,Upb1,Dpyd
META_PWY-6145	superpathway of CMP-sialic acids biosynthesis	0.110431919151143	-2.20335606418121	3	3	0.00601202404809619	499	1039	109754,12763,12764	Cyb5r3,Cmah,Cmas
MOUSE_ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	0.110431919151143	-2.20335606418121	3	3	0.00601202404809619	499	1039	110460,67041,110446	Acat2,Oxct1,Acat1
MOUSE_SAM-PWY	S-adenosyl-L-methionine biosynthesis	0.110431919151143	-2.20335606418121	3	3	0.00601202404809619	499	1039	108645,11720,232087	Mat2b,Mat1a,Mat2a
MOUSE_GLUTATHIONESYN-PWY	glutathione biosynthesis	0.110431919151143	-2.20335606418121	3	3	0.00601202404809619	499	1039	14854,14629,14630	Gss,Gclc,Gclm
MOUSE_PWY3FA-941	ketogenesis	0.119235592357416	-2.1266539753186	8	6	0.0120240480961924	499	1039	69772,15360,208982,110460,208715,110446	Bdh2,Hmgcs2,Hmgcll1,Acat2,Hmgcs1,Acat1
MOUSE_PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	0.119235592357416	-2.1266539753186	8	6	0.0120240480961924	499	1039	101490,16331,19062,16329,170835,228550	Inpp5f,Inpp5d,Inpp5k,Inpp1,Inpp5j,Itpka
MOUSE_PWY-6292	cysteine biosynthesis III (mammalia)	0.119235592357416	-2.1266539753186	8	6	0.0120240480961924	499	1039	11720,232087,74340,108645,229709,107869	Mat1a,Mat2a,Ahcyl2,Mat2b,Ahcyl1,Cth
MOUSE_PWY66-367	ketogenesis	0.119235592357416	-2.1266539753186	8	6	0.0120240480961924	499	1039	208982,69772,110460,208715,15360,110446	Hmgcll1,Bdh2,Acat2,Hmgcs1,Hmgcs2,Acat1
MOUSE_NADSYN-PWY	NAD biosynthesis II (from tryptophan)	0.140243416066178	-1.96437567995092	10	7	0.0140280561122244	499	1039	98256,70789,71562,107766,67375,226518,15930	Kmo,Kynu,Afmid,Haao,Qprt,Nmnat2,Ido1
MOUSE_PWY-3861	mannitol degradation II	0.163210108478484	-1.81271689916389	5	4	0.00801603206412826	499	1039	15277,110119,212032,216019	Hk2,Mpi,Hk3,Hkdc1
MOUSE_PWY3DJ-219	PIP metabolism	0.19086078474095	-1.65621099239638	47	26	0.0521042084168337	499	1039	117150,234779,72469,269437,30955,225326,74769,269615,104709,18708,108083,18802,104015,114875,18803,75669,269180,74055,20975,18799,219024,18707,234515,18795,19211,67073	Pip4k2c,Plcg2,Plcd3,Plch1,Pik3cg,Pik3c3,Pik3cb,Plch2,Pik3r6,Pik3r1,Pip4k2b,Plcd4,Synj1,Plcz1,Plcg1,Pik3r4,Inpp4a,Plce1,Synj2,Plcd1,Pip4p1,Pik3cd,Inpp4b,Plcb1,Pten,Pi4k2b
MOUSE_PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis	0.202148563645822	-1.59875238830857	22	13	0.0260521042084168	499	1039	18799,234779,72469,117150,74055,269615,269437,18802,108083,114875,18803,67073,18795	Plcd1,Plcg2,Plcd3,Pip4k2c,Plce1,Plch2,Plch1,Plcd4,Pip4k2b,Plcz1,Plcg1,Pi4k2b,Plcb1
MOUSE_MANGDPMET-PWY	GDP-mannose metabolism	0.215618926073201	-1.53424266052914	9	6	0.0120240480961924	499	1039	69080,331026,216019,212032,15277,110119	Gmppa,Gmppb,Hkdc1,Hk3,Hk2,Mpi
MOUSE_PWY-2201	folate transformations I	0.215618926073201	-1.53424266052914	9	6	0.0120240480961924	499	1039	20425,238505,107885,17768,104174,270685	Shmt1,Mtr,Mthfs,Mthfd2,Gldc,Mthfd1l
MOUSE_PWY-5686	uridine-5'-phosphate biosynthesis	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	227231,22247	Cps1,Umps
META_PWY-6030	serotonin and melatonin biosynthesis	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	11298,13195	Aanat,Ddc
META_PWY3DJ-11281	sphingomyelin metabolism	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	74442,208449	Sgms2,Sgms1
MOUSE_PWY-6181	histamine degradation	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	140483,76507	Hnmt,Aoc1
MOUSE_ASPARAGINE-DEG1-PWY	asparagine degradation I	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	66514,104816	Asrgl1,Aspg
META_PWY-7277	sphingolipid biosynthesis (mammals)	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	74442,208449	Sgms2,Sgms1
MOUSE_PWY-5177	glutaryl-CoA degradation	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	110446,110460	Acat1,Acat2
MOUSE_PWY-2161B	glutamate removal from folates	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	14590,53320	Ggh,Folh1
MOUSE_PWY-5340	sulfate activation for sulfonation	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	23972,23971	Papss2,Papss1
MOUSE_PWY-6608	guanosine nucleotides degradation III	0.230418310180427	-1.46785888204886	2	2	0.00400801603206413	499	1039	22436,14544	Xdh,Gda
