TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
13385	Dlg4 (discs large MAGUK scaffold protein 4)	3.67417798280253e-11	-24.0271065934384	356	242	0.0406381192275399	5955	11667	230775,16508,100039795,16572,237979,11928,74007,26422,14401,268373,14814,13361,234267,14400,14544,16554,235044,18212,67916,14803,53382,70729,14394,207393,56298,19878,64337,54403,20112,19088,272381,225791,18125,11735,53310,20742,210933,544963,14677,23964,108069,226251,71902,57320,13823,53332,242667,243961,16494,109934,18039,18951,11941,228071,14569,58194,12322,16520,99470,64009,18451,70530,83814,319565,245684,228836,72555,14645,381290,104015,19055,13489,74012,26556,67295,246782,15560,333605,108100,16492,21838,50997,14395,217692,12704,54401,215748,14800,17967,27402,18477,11487,16485,243548,234023,216856,16971,70620,108058,106042,15558,245446,238130,246317,20779,26413,14812,20430,208869,245643,217219,18749,12759,13800,19229,622434,20511,234214,16432,19159,14086,13176,54357,74256,14799,71069,380684,242274,72993,71833,18189,67951,14805,237353,70546,14406,66860,69601,80749,52389,13508,54712,241568,319504,109676,14811,545156,23984,23859,64930,20411,68842,66871,16490,13869,19035,12300,16491,244310,665113,19415,11418,22031,14802,11496,72828,14083,14688,77531,17246,16522,22631,20720,17974,18751,67300,26557,12805,52398,217124,16975,68365,140580,19046,229791,19259,56379,22628,232227,16497,224650,21366,380702,11845,53623,13860,380785,330914,70350,108073,19053,319387,58234,239667,330814,14405,331461,107831,56431,56505,56371,14806,72416,16561,81910,19325,20979,77097,243312,20352,50932,19045,12934,76884,54376,56839,11842,71770,16517,102193,13383,58807,16498,81905,76886,210274,75409,12323,223666,53321,209743,224997	Adgrb2,Kcnd2,Ildr2,Kif5a,Sdk2,Atp1a1,Abtb3,Nbea,Gabrb2,Ppia,Grin2d,Dhfr,Gpm6a,Gabrb1,Gda,Kif13b,Plppr2,Ntrk2,Plpp3,Grid1,Txnl1,Nos1ap,Gabra1,Elfn2,Atl2,Rock2,Gng13,Slc4a4,Rps6ka2,Prkar2b,Lrrc4b,Ptgr3,Nos1,Ank3,Dlg3,Sptbn1,Adgrb3,Iqgap2,Gnai1,Tenm2,Grm3,Ablim1,Cand1,Park7,Epb41l3,Mtmr1,Dlgap3,Shank1,Kcna6,Abr,Nefl,Septin5,Atp2b2,Sestd1,Gdi2,Sh3kbp1,Camk2a,Kcnj4,Magi3,Syne1,P4ha1,Lrfn2,Nedd4l,Syne2,Cnksr2,Dlgap4,Shisa9,Glul,Atp2b4,Synj1,Ppp3ca,Drd2,Rap2b,Homer1,Rab3c,Atpaf2,Htr2c,Frmpd4,Baiap2,Kcna4,Thy1,Mpp2,Gabra2,Sipa1l1,Cit,Ywhab,Cnksr3,Gria2,Ncam1,Pdhx,Prdx1,Adam10,Kcna1,Prickle2,Arglu1,Nlgn2,Lrp1,Ube2v2,Camk2d,Prickle1,Htr2a,Slitrk4,Dock4,Neto1,Src,Mapk1,Grin2b,Cyfip1,Dock3,Frmpd3,Fam171a2,Prkacb,Clu,Enah,Ptk2b,Arhgef26,Slc1a2,Sorbs2,Itm2b,Cyth3,Fscn1,Dcc,Epb41l4b,Cyld,Gria1,Stox2,Nefh,Lrrc7,Appl1,Dcaf7,Nrxn1,Tubb6,Grik1,Sh3rf3,Zdhhc2,Gabrg2,Tanc1,Dab2ip,Lrfn1,Adgra1,Dscam,Plxnc1,Lrrc4c,Nrcam,Ank2,Grin2a,Kalrn,Pde10a,Dlg2,Tsc1,Sorbs1,Tulp4,Cpne8,Kcna2,Erbb4,Ppib,Cacng2,Kcna3,Dlgap2,Tnik,Rasal1,Asic2,Traf3,Gria4,Adam22,Ubash3b,Ptk2,Gnb1,Anks1b,Mdm2,Kcnj6,Ywhaz,Serpine2,Nck2,Prkcb,Cltc,Homer2,Cntn1,Septin11,Ppp1r9b,Lrp8,Rab14,Elmo1,Ppp1cb,Plppr4,Ptpn5,Kcnj1,Ywhag,Iqsec1,Kcnab1,Anks1,Slc6a6,Shisa6,Arf6,Gria3,Eps8,Begain,Arhgap32,Basp1,Grm7,Ppp2cb,Adgrl3,Shank3,Dip2b,Adgrl1,Gabrg1,Il1rapl1,Adgrb1,Dstn,Ruvbl1,Fzr1,Grik2,Lrpprc,Kif1b,Rrbp1,Rab10,Syt1,Tanc2,Elfn1,Sema4b,Mink1,Ppp1ca,Dpysl2,Cyfip2,Cacng3,Lgi1,Arf3,Ap2b1,Kcnj16,Zdhhc7,Dlg1,Slco1c1,Kcnab2,Cacng8,Fam81a,Shank2,Slitrk5,Camk2b,Arhgap39,Cntnap1,Minar1,Dlgap1
240057	Syngap1 (synaptic Ras GTPase activating protein 1 homolog (rat))	4.00827208715288e-09	-19.3349055894518	264	181	0.0303946263643997	5955	11667	56505,224671,319387,74143,67834,58234,66514,70350,22352,380785,29875,330914,19058,71302,380702,73094,53623,67680,22628,18148,232227,22629,223666,12323,53321,224997,105689,228550,76886,210274,268860,545481,16498,77629,76117,13383,76884,11842,50932,330662,233871,12934,16536,77097,74901,243312,16800,74006,81910,229615,19325,104418,19679,677884,22365,23859,72567,20411,64930,14811,545156,218038,13822,320609,109676,17758,108686,13169,69601,330369,17955,14799,14687,244668,20512,230904,242274,241134,217124,22631,17974,67300,17760,117600,14688,77531,320292,76089,19415,18213,11496,244310,14683,347722,665113,13424,71544,12300,19324,224020,14800,17967,107321,11487,56637,217692,17756,108071,67295,26556,108100,16492,104015,98741,71435,17754,242939,69993,12211,269774,74776,17762,319565,26554,245684,228836,14645,12322,104082,276770,227634,19299,19229,234214,13800,224014,208869,243362,26413,14812,227120,20430,13821,106042,14026,230861,243548,75547,320129,211914,29819,12296,14270,70729,17918,11767,26913,17755,14544,23980,268373,14814,26422,230775,58194,235380,14569,268980,242667,243961,16765,16709,19087,71902,13199,20742,210933,544963,226251,19765,53310	Ruvbl1,Btbd9,Adgrl3,Opa1,Idh3a,Shank3,Asrgl1,Basp1,Vim,Begain,Iqgap1,Arhgap32,Ppp3r1,Arhgap26,Shisa6,Sgip1,Gria3,Sdhb,Ywhag,Npm1,Iqsec1,Ywhah,Arhgap39,Camk2b,Cntnap1,Dlgap1,Mycbp2,Itpka,Fam81a,Shank2,Abat,Arhgap40,Kcnab2,Sphkap,Arhgap15,Dlg1,Cyfip2,Arf3,Mink1,Dock1,Atxn2l,Dpysl2,Kcnq2,Tanc2,Kbtbd11,Elfn1,Arhgef2,Dnm1l,Rrbp1,Pias3,Rab10,Dgkz,Pitpnm2,Pakap,Vps45,Dlg2,Bclaf1,Sorbs1,Tsc1,Grin2a,Kalrn,Amph,Epb41l2,Strip2,Ank2,Map4,Ccdc88a,Dbnl,Dab2ip,Fbxo41,Nap1l4,Gria1,Gnaz,Sipa1l2,Slc1a3,Fbxo2,Lrrc7,Nyap2,Ppp1r9b,Ywhaz,Nck2,Cltc,Map6,Srgap1,Gnb1,Anks1b,Rasgef1b,Rapgef2,Rasal1,Ntrk3,Adam22,Dlgap2,Gnas,Agap1,Tnik,Dync1h1,Arhgap42,Cacng2,Rab1a,Pi4ka,Gria2,Ncam1,Lpxn,Adam10,Gsk3b,Sipa1l1,Map2,Grm5,Rab3c,Homer1,Baiap2,Kcna4,Synj1,Kcnb2,Arhgap21,Map1a,Cpz,Chn2,Birc6,Aak1,Ppa2,Mapt,Syne2,Cul3,Cnksr2,Dlgap4,Glul,Camk2a,Wdr7,Eif5a,Camsap1,Abcd3,Ptk2b,Sorbs2,Enah,Fgd4,Dock3,Stard13,Mapk1,Grin2b,Plcl1,Cyfip1,Epb41l1,Prickle1,Evl,Eif4g3,Prickle2,Akap13,Grk3,Asap2,Stau2,Cacnb2,Srgap2,Nos1ap,Myo5a,Ap1m1,Gprin1,Map1b,Gda,Pebp1,Ppia,Grin2d,Nbea,Adgrb2,Sh3kbp1,Dmxl2,Gdi2,Strn,Dlgap3,Shank1,Stmn1,Ktn1,Prkar2a,Cand1,Ddn,Sptbn1,Adgrb3,Iqgap2,Ablim1,Ralbp1,Dlg3
20607	Sstr3 (somatostatin receptor 3)	7.08063766541087e-09	-18.7659018675605	388	253	0.0424853064651553	5955	11667	97130,17449,497097,71966,14680,70155,56839,16423,11842,19414,20614,432530,16536,320405,81905,13052,235402,12388,269587,53321,19057,58998,93885,232975,20503,16519,223666,94185,18222,70948,20496,110891,20533,14432,71302,19876,22151,11515,108099,20541,73094,11845,71947,56079,16524,99010,13845,17357,64933,57440,18483,17988,70350,20274,70757,56710,100434,330814,100503659,243274,12300,208846,13869,54338,16490,18795,18213,11496,76740,217517,269109,110886,192167,23945,108116,14167,347722,12540,19271,12168,19384,268902,16522,110911,57138,14688,227059,229791,68203,52398,382620,71803,20362,16412,170731,20512,14687,74342,22329,14406,13723,27360,18189,110197,58235,13844,13728,12290,14697,12215,230085,216028,94229,54393,66482,67703,53857,68666,24012,83674,242384,23984,12801,59033,50779,260315,67974,17992,16485,17968,20779,245446,269615,15558,231801,22141,22782,13483,67815,14718,68732,74020,18749,66447,20510,54525,319655,13176,74340,11517,50769,56418,94218,109154,217480,56533,20511,234353,19299,67561,94219,319468,75209,18530,56737,16520,229709,16590,15166,11981,71435,11852,22253,20907,192198,13642,26419,29873,108071,69551,241263,11302,22154,74012,232333,17470,224020,17967,268345,70425,110862,14677,20981,20742,242425,83921,224860,243499,53332,72729,109905,22671,13401,11898,14360,228850,71729,224617,16494,27276,23966,56543,19349,106529,73442,58994,20409,11941,69017,14807,67972,14401,18738,80718,170738,11732,11928,12286,17254,16508,230775,14763,14400,20536,19179,18007,14394,11829,56216,12939,66368,18163,213056,94282,13838,110265,14816,16905,54403,13116,15165,71436,381813	Nhsl3,Mdh1,Xkr4,Nkiras2,Gnal,Ogfrl1,Lgi1,Cd47,Arf3,Rasa3,Snap25,Adcy1,Kcnq2,Cadps2,Cacng8,Cxadr,Lingo1,Ctnnd1,Epb41,Cntnap1,Ppp3cc,Nectin3,Pcdhb14,Atp1a3,Slc16a7,Kcnj3,Arhgap39,Tnfrsf21,Numb,Wdr20rt,Slc12a2,Slc8a2,Slc4a1,Gap43,Arhgap26,Robo1,Tubb2a,Adcy9,Prkag2,Slc8a1,Sgip1,Arf6,Tmem94,Astn2,Kcnj9,Lpcat4,Ephb3,Marcksl1,Ap3m2,Ehd3,Palm,Ndrg1,Basp1,Scn9a,Hacd2,Brinp1,Slc44a1,Adgrl1,Cbarp,Tmem132d,Cacng2,Daam1,Erbb4,Slc23a2,Kcna2,Plcb1,Ntrk3,Adam22,Efr3a,Stxbp6,Dpp10,Gabra5,Nlgn1,Mgll,Slco3a1,Fgf12,Agap1,Cdc42,Ptprj,Bmpr2,Ran,Robo2,Kcnj6,Cds2,Slc12a5,Gnb1,Slc39a10,Plppr4,Diras2,Septin11,Tmed8,Slc25a18,Septin8,Itgb1,Mfn2,Slc1a3,Gnaz,Lrrtm1,Vcam1,Gabrg2,Emb,Add3,Nrxn1,Dgkg,Nectin1,Ephb2,Mark2,Cacna1e,Gnb5,Bsg,Phf24,Lrrtm3,Slc4a10,Gabbr1,Exoc2,Kirrel3,Tuba8,Svop,Rgs7,Cnnm1,Lingo2,Pde10a,Cnr1,Slc4a8,Rgs6,Nav3,Ccny,Ndufa4,Kcna1,Ncam2,Src,Slitrk4,Plch2,Htr2a,Agfg2,Tub,Slc30a1,Dpp6,Sec14l2,Got1,Carmil1,Cpne4,Prkacb,Mgst3,Slc1a1,Syt7,Podxl2,Dcc,Ahcyl2,Adcyap1r1,Atp8a2,Ykt6,Cnnm3,Mlec,Dgkb,Rgs17,Slc1a2,Psd3,Abcd3,Wdr48,Cnnm2,Ppm1h,Sv2c,Pcdh8,Alg2,Kcnj4,Ahcyl1,Kit,Hcn2,Atp9a,Arhgap21,Rhob,Unc5c,Stx1a,Lrrc4,Efnb2,Mapk8,Cspg5,Grm5,2310022B05Rik,Gpr158,Aatk,Tubb5,Rap2b,Slc6a1,Cd200,Pi4ka,Ncam1,Kcnc2,Csnk1g3,Kcnq3,Gnai1,Syt3,Sptbn1,Gabbr2,Cemip2,Plcl2,Lrrtm4,Mtmr1,Cdc42se2,Rap1a,Rnf112,Dmwd,Ass1,Fyn,Ralgapb,Rgs12,Tbc1d24,Kcna6,Plekhb1,Tenm4,Kcnd3,Rab7,Tecr,Hspa12a,Smpd3,Ostf1,Atp2b2,Prrt2,Grik3,Atp2b1,Gabrb2,Pitpna,Rab27b,Kcnh7,Ank,Atp1a1,Cacna1a,Slc3a2,Kcnd2,Adgrb2,Gpr37,Gabrb1,Slc4a3,Psmc1,Neo1,Gabra1,Aqp4,Stx1b,Pcdha7,Rtca,Ctnnd2,Hycc2,Sfxn5,Epha4,Msra,Grm1,Lmna,Slc4a4,Cyp46a1,Hcn1,Flrt3,Prmt8
216439	Agap2 (ArfGAP with GTPase domain, ankyrin repeat and PH domain 2)	7.43370742157498e-09	-18.7172411226423	194	138	0.0231738035264484	5955	11667	223435,227753,259302,75599,69601,14687,218194,14799,242274,19116,72993,26422,23859,381813,20411,18040,19088,14816,13822,17918,319504,109676,14811,545156,56013,12290,18538,14682,244310,14683,12540,13175,665113,13823,192167,19415,21960,54216,11735,53310,20742,13424,544963,14677,108069,66395,18039,18951,18772,217124,14569,50720,19046,18750,242667,14083,14672,14688,77531,12933,13426,243961,109711,76089,102098,268980,26414,18751,26557,67300,17760,104015,19055,17754,29875,13196,140887,244418,12322,26875,327814,64009,232227,22284,70661,245684,228836,213109,14645,56637,217882,14800,320472,56508,26556,268566,20850,243725,108071,58234,19045,50932,12934,243621,13821,83767,109333,20779,76884,17968,26413,14812,20430,11764,66797,12325,83679,108058,70549,229949,19229,116838,17999,210274,18015,234214,12323,223666,224997,233977,71770,11931,12297,13383,18749,56491,116837,13800	Trio,Gsn,Srgap3,Pcdh1,Dab2ip,Gnaz,Phactr1,Gria1,Lrrc7,Prlr,Appl1,Nbea,Dlg2,Prmt8,Sorbs1,Nefm,Prkar2b,Grm1,Epb41l2,Myo5a,Nrcam,Ank2,Grin2a,Kalrn,Srcin1,Cacna1e,Pcna,Gnaq,Dlgap2,Gnas,Cdc42,Dclk1,Tnik,Epb41l3,Nlgn1,Rasal1,Tnr,Pcdh7,Ank3,Dlg3,Sptbn1,Dync1h1,Iqgap2,Gnai1,Grm3,Ahnak,Nefl,Septin5,Pkp1,Ppp1r9b,Gdi2,Sacs,Ppp1cb,Prkca,Dlgap3,Ptk2,Gna11,Gnb1,Anks1b,Crmp1,Dync1i1,Shank1,Actn1,Rapgef2,Arhgef18,Strn,Mapk10,Prkcb,Homer2,Cltc,Map6,Synj1,Ppp3ca,Map1a,Iqgap1,Asap1,Lnx2,Prag1,Camk2a,Pclo,Ppfia2,Syne1,Iqsec1,Usp9x,Sik3,Cnksr2,Dlgap4,Phf3,Glul,Gsk3b,Cep170b,Gria2,Ppm1e,Rapgef4,Homer1,Gphn,Stat5a,Ppp1r9a,Grm5,Shank3,Ppp1ca,Mink1,Dpysl2,Iqsec3,Epb41l1,Wasf1,Pkn2,Src,Cyfip2,Ncam2,Mapk1,Grin2b,Cyfip1,Ap1b1,Cntnap2,Camk2g,Pde4dip,Camk2d,Tln2,Ak5,Ptk2b,Rims2,Nedd4,Shank2,Nf1,Sorbs2,Camk2b,Arhgap39,Dlgap1,Ppfia1,Ap2b1,Atp1b1,Cacnb3,Dlg1,Prkacb,Vapb,Rims1,Enah
241568	Lrrc4c (leucine rich repeat containing 4C)	1.73875330624264e-07	-15.5649272851991	60	50	0.00839630562552477	5955	11667	100503659,23859,59079,55963,677884,72125,54403,14800,107831,241568,26913,235044,207393,11829,53860,14697,56216,108071,319387,20907,14406,18530,242274,14799,20512,241520,14401,26422,228836,20511,75409,234353,80883,229791,14402,217219,242667,12388,13052,13821,57320,14812,18795,13823,110886,53310,242425,59033,210933,243312	Cbarp,Dlg2,Erbin,Slc1a4,Pakap,Amer2,Slc4a4,Gria2,Adgrb1,Lrrc4c,Gprin1,Plppr2,Elfn2,Aqp4,Septin9,Gnb5,Stx1b,Grm5,Adgrl3,Stx1a,Gabrg2,Pcdh8,Lrrc7,Gria1,Slc1a3,Fam171b,Gabrb2,Nbea,Dlgap4,Slc1a2,Slitrk5,Psd3,Ntng1,Plppr4,Gabrb3,Fam171a2,Dlgap3,Ctnnd1,Cxadr,Epb41l1,Park7,Grin2b,Plcb1,Epb41l3,Gabra5,Dlg3,Gabbr2,Slc4a8,Adgrb3,Elfn1
66797	Cntnap2 (contactin associated protein-like 2)	1.11628481259301e-06	-13.7055045181486	146	103	0.017296389588581	5955	11667	13822,53382,12361,66475,56216,29819,14811,18481,11829,58235,216565,68052,15165,54403,68666,72125,80906,11785,677884,75607,15182,19255,16508,12286,20405,27204,170738,268373,68337,27360,17758,17755,14763,235574,56543,23966,243961,268980,12805,52398,73442,70769,242425,56372,226778,23964,78908,13823,109905,74370,11496,70350,213988,241263,17988,18483,16492,319387,116873,50997,66054,330814,110862,17756,27373,108030,18148,241520,18530,16497,105445,216197,67115,94217,77579,26914,22151,17754,11652,269587,217219,16498,13052,234353,12757,75409,18015,24050,56418,73884,53321,23963,12936,16485,81910,66797,270192,330953,59033,13821,16536,67074,20614	Epb41l2,Txnl1,Cask,Rps23,Stx1b,Stau2,Grin2a,Pak3,Aqp4,Nectin1,Ehbp1,Rps13,Hcn1,Slc4a4,Svop,Amer2,Kcnip2,Apbb1,Pakap,Wnk2,Hdac2,Ptpn2,Kcnd2,Cacna1a,Sh3gl1,Syn3,Kcnh7,Ppia,Crip2,Add3,Map4,Map1b,Gpr37,Atp2c1,Kcnd3,Tenm4,Shank1,Strn,Cntn1,Septin11,Hspa12a,Nolc1,Gabbr2,1110004F10Rik,Mark1,Tenm2,Igsf3,Epb41l3,Rap1a,Rptor,Adam22,Basp1,Tnrc6b,Gpr158,Ndrg1,Palm,Kcna4,Adgrl3,Stim2,Mpp2,Cndp2,Adgrl1,Kcnq3,Map2,Csnk1e,Lin7a,Npm1,Fam171b,Pcdh8,Kcnab1,Dock9,Ckap4,Rpl14,Lrp1b,Myh10,Macroh2a1,Tubb2a,Map1a,Akt2,Epb41,Fam171a2,Kcnab2,Cxadr,Psd3,Clta,Slitrk5,Nf1,Septin3,Ykt6,Zdbf2,Cntnap1,Tenm1,Pcdha4,Kcna1,Rrbp1,Cntnap2,Rab6b,Hcn4,Slc4a8,Epb41l1,Kcnq2,Mon2,Snap25
224997	Dlgap1 (DLG associated protein 1)	1.64582521413382e-06	-13.3172686496018	165	114	0.0191435768261965	5955	11667	11496,13823,109905,665113,244310,544963,210933,217342,226251,12386,223254,13199,20742,19324,53310,16490,56379,58194,52398,14569,217124,18039,18951,18751,22631,243961,242667,14083,14688,69601,66860,18578,74342,16443,330369,14814,227753,223435,18189,26422,74007,16572,242274,14799,26921,230775,230904,380684,72685,104027,20411,23859,545156,14811,12361,18163,11842,14812,26413,56839,20430,76884,83767,13821,12934,243621,50932,19045,108058,13367,12325,16485,53321,74256,19159,12323,223666,22629,269941,24050,234214,20616,210274,208151,13383,12388,330914,19055,380785,53623,67857,228836,14645,16497,83814,245684,232227,22284,12322,16520,22628,64009,56431,14800,56508,54401,215748,59079,12704,58234,108100,16492,26556,208618	Adam22,Epb41l3,Rap1a,Tnik,Dlgap2,Iqgap2,Adgrb3,Ube2o,Ablim1,Ctnna2,Farp1,Ddn,Sptbn1,Rab1a,Dlg3,Kcna2,Kcnj1,Sh3kbp1,Septin11,Gdi2,Ppp1r9b,Nefl,Septin5,Prkcb,Ywhaz,Shank1,Dlgap3,Ptk2,Gnb1,Dab2ip,Tanc1,Pde4b,Lrrtm1,Itsn1,Fbxo41,Grin2d,Gsn,Trio,Nrxn1,Nbea,Abtb3,Kif5a,Lrrc7,Gria1,Map4k4,Adgrb2,Fbxo2,Nefh,Dnajc6,Synpo,Sorbs1,Dlg2,Kalrn,Grin2a,Cask,Ctnnd2,Arf3,Grin2b,Mapk1,Lgi1,Cyfip1,Cyfip2,Wasf1,Epb41l1,Dpysl2,Iqsec3,Mink1,Ppp1ca,Camk2d,Diaph1,Camk2g,Kcna1,Cntnap1,Cyld,Cyth3,Camk2b,Arhgap39,Ywhah,Chsy1,Septin3,Sorbs2,Snap91,Shank2,Tmem132b,Dlg1,Ctnnd1,Arhgap32,Ppp3ca,Begain,Gria3,Ppp6c,Dlgap4,Glul,Kcnab1,Nedd4l,Cnksr2,Iqsec1,Usp9x,Camk2a,Kcnj4,Ywhag,Syne1,Dstn,Gria2,Rapgef4,Ywhab,Cnksr3,Erbin,Cit,Shank3,Baiap2,Kcna4,Homer1,Etl4
232906	Arhgap35 (Rho GTPase activating protein 35)	2.13311593524761e-06	-13.0579267668121	32	29	0.00486985726280437	5955	11667	76117,13405,320609,117600,224014,545481,14270,20662,56371,107321,19765,218397,243548,71085,71544,319565,214895,14680,14683,106042,19744,330662,69993,71302,76857,21856,71972,71435,243362	Arhgap15,Dmd,Strip2,Srgap1,Fgd4,Arhgap40,Srgap2,Sos1,Fzr1,Lpxn,Ralbp1,Rasa1,Prickle2,Arhgap19,Arhgap42,Syne2,Lman2l,Gnal,Gnas,Prickle1,Rheb,Dock1,Chn2,Arhgap26,Spopl,Timm44,Dnmbp,Arhgap21,Stard13
56376	Pdlim5 (PDZ and LIM domain 5)	8.26248788009477e-06	-11.7037848196445	83	62	0.0104114189756507	5955	11667	231148,22234,234214,20336,224014,20662,76089,109711,320292,13405,76117,72512,117600,76709,21856,208890,76884,243362,216831,14683,106042,14784,330662,226251,277360,71544,16800,14680,28185,229615,19765,75547,52323,243548,20844,235416,107321,56508,20411,14270,14633,22003,53972,11988,320609,74486,71302,69601,76857,71972,18810,71435,18575,16871,216810,69993,319565,20405,214895,22793,22333,71085	Ablim2,Ugcg,Sorbs2,Exoc4,Fgd4,Sos1,Rapgef2,Actn1,Rasgef1b,Dmd,Arhgap15,Sting1,Srgap1,Arpc2,Timm44,Slc26a7,Cyfip2,Stard13,Arhgap44,Gnas,Prickle1,Grb2,Dock1,Ablim1,Prex1,Arhgap42,Arhgef2,Gnal,Tomm70a,Pias3,Ralbp1,Akap13,Klhl7,Prickle2,Stam,Lman1l,Lpxn,Rapgef4,Sorbs1,Srgap2,Gli2,Tpm1,Ngef,Slc7a2,Strip2,Osbpl10,Arhgap26,Dab2ip,Spopl,Dnmbp,Plec,Arhgap21,Pde1c,Lhx3,Tom1l2,Chn2,Syne2,Sh3gl1,Lman2l,Zyx,Vdac1,Arhgap19
15567	Slc6a4 (solute carrier family 6 (neurotransmitter transporter, serotonin), member 4)	8.26872309162945e-06	-11.7030304633131	420	258	0.0433249370277078	5955	11667	16536,216190,51799,67959,19045,11842,20280,12894,11764,74006,16439,71820,243312,16880,20616,224997,53321,74053,223666,12323,51789,21825,13383,14924,12388,16498,270685,93687,140780,53623,110789,73094,18164,239528,68097,320271,18557,71302,330914,380785,216343,232227,59069,22628,319880,18222,57874,217882,59079,330814,19704,23950,27373,18483,22352,269713,18645,58234,59010,30960,21873,19053,665113,12540,347722,244310,22393,11496,74370,14802,22031,21960,74998,19035,668880,11789,68126,67041,56462,226778,259279,19063,207375,68203,217124,15572,52398,54473,319807,360013,208194,234309,12638,76707,76089,109711,77531,17931,14688,67453,321003,76709,72722,108760,13527,16400,50791,243043,330369,27360,320840,69601,71751,13169,67863,242274,56378,380684,20512,244668,14799,14687,20362,217935,71833,12039,230935,20411,23859,13003,229534,104418,83945,54393,12950,226823,53375,12290,13728,23790,14811,19894,13821,216131,53420,78506,17992,216856,243548,234023,14658,269116,11966,234214,18015,320951,80907,217480,19299,66682,22217,11519,12305,21923,74117,57340,12876,14545,11981,15166,71435,231580,22284,76686,60597,226026,56737,73158,99470,228836,54401,12558,56637,217692,69807,14800,16492,380916,21916,108100,215114,26556,66371,22166,216033,70556,23881,27494,19087,74195,217866,19707,242425,99031,53310,19276,244654,223254,15114,56297,18417,75723,53416,28080,15569,67938,18039,106529,12933,242667,54524,68553,99512,259302,107684,17913,268373,18641,93742,67452,100732,76108,14933,230775,217337,78808,12345,74007,67972,212307,18040,19249,11595,18458,319713,77980,104027,12359,19330,66713,432572,12361,381760,207393,51786,72572,232910,14768	Kcnq2,Appl2,Rundc3a,Puf60,Ppp1ca,Arf3,Scp2,Cpt1a,Ap1b1,Dnm1l,Itpr2,Dync2i2,Elfn1,Lifr,Snap91,Dlgap1,Cntnap1,Grip1,Arhgap39,Camk2b,Tnk2,Thbs1,Dlg1,Magi1,Ctnnd1,Kcnab2,Mthfd1l,Csnk1a1,Bmp2k,Gria3,Adgrv1,Sgip1,Nptx1,Ago2,Dynll2,Scai,Cdk18,Arhgap26,Arhgap32,Begain,Tph2,Iqsec1,Tpm3,Ywhag,Tmcc3,Numb,Hacd3,Cep170b,Erbin,Adgrl1,Upf1,Dnajb6,Csnk1e,Palm,Vim,Clip2,Pfn2,Shank3,Sqor,Vapa,Tjp2,Ppp2cb,Tnik,Cdc42,Agap1,Dlgap2,Wfs1,Adam22,Rptor,Gria4,Traf3,Tnr,Rab11fip2,Ppib,Stard9,Apc,Fahd2a,Oxct1,Mtch1,Mark1,Tubgcp3,Ppt1,Fam120c,Diras2,Ppp1r9b,Elavl4,Septin11,Tollip,Nwd2,Myo18a,Exog,Cbr4,Cftr,Clasp1,Rapgef2,Actn1,Anks1b,Ppp1r12a,Gnb1,Slc25a46,Xpnpep3,Arpc2,Fam98a,Galnt16,Dtna,Itga3,Magi2,Kctd8,Fbxo41,Add3,Negr1,Dab2ip,Map3k13,Dbnl,Slc25a11,Lrrc7,Arpc3,Nefh,Slc1a3,Sipa1l2,Gria1,Gnaz,Septin8,Dync2i1,Dcaf7,Bckdha,Dnajc11,Sorbs1,Dlg2,Vcan,Pbxip1,Dgkz,Dnaja3,Gabbr1,Hapln1,Kctd3,Mtx2,Cacna1e,Mark2,Coro1c,Grin2a,Rph3a,Epb41l1,Trappc10,Syt5,Micu3,Ndufa4,Nlgn2,Prickle2,Arglu1,Glrb,Nfasc,Atp6v1b2,Sorbs2,Nf1,Pisd,Lactb,Dgkb,Abcd3,Trappc5,Usp12,Add2,Ddr1,Tnc,Actr3,Jph3,Cpe,Gdap1,Atp9a,Hcn2,Arhgap21,Gak,Usp9x,Clip3,Mapk8ip2,Smc5,Alg2,Larp1,Magi3,Dlgap4,Ywhab,Cdh2,Gsk3b,Sipa1l1,Trim32,Gria2,Kcna4,Lrch1,Tmod1,Baiap2,Hip1,Homer1,Chmp4c,Txn1,Ctnna3,Slc25a33,G3bp2,Amot,Prkar2a,Elp3,Cdc42bpb,Reps1,Gabbr2,Osbpl6,Dlg3,Ptprn2,Mtss2,Farp1,Hap1,Arl6,Cldn11,Amotl1,Stk39,Atp5po,Elavl2,Myl12b,Nefl,Tecr,Crmp1,Dlgap3,Syt6,Col6a4,Wdr47,Srgap3,Coro2a,Myo1c,Ppia,Pfkl,Pard3,Pnpla8,Mapre3,Rap2a,Gk,Adgrb2,Srp68,Stxbp5,Capzb,Abtb3,Atp2b1,Mapre2,Nefm,Ptpn13,Acan,Pabpc1,Ablim3,Sbf1,Synpo,Cat,Rab18,Actr2,Specc1,Cask,Ssbp1,Elfn2,Cpsf2,Spats2,Ap2s1,Lancl1
