TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-112316	Neuronal System	5.86699262387896e-14	-30.4668491291956	311	220	0.0505166475315729	4355	8672	14708,16491,18607,225030,14688,20111,228836,16500,11440,140493,12314,57249,26413,14401,14811,110157,192775,223604,100986,16531,14706,16525,67111,16535,241794,13169,16515,14800,53623,20510,108030,16511,12297,71770,18191,26557,110862,13821,233067,16508,14806,140492,224997,13383,243499,238271,20928,54393,14700,18795,17246,14680,242425,11515,53310,210274,18039,240444,56379,238276,20513,20518,108015,380728,231252,67498,243961,60613,20907,12325,240595,16494,233977,110651,16517,216028,216856,14702,70530,18749,14610,192167,14814,15168,67760,11669,16524,56543,14407,110637,16497,72413,20168,217826,12300,16514,15166,330953,16502,109880,268345,110886,74053,232333,12287,18750,224129,14802,20512,14412,16485,327814,11514,100502876,14677,268860,105727,242667,14645,319924,243616,74342,54376,14615,13822,72258,232910,16504,26556,12290,14417,432530,14807,108058,65106,20927,55991,11512,80749,14395,16519,18751,20112,12323,16492,12298,242851,99738,12912,14812,332396,14402,15165,52589,15481,14799,19266,12313,16522,63993,12326,12296,211468,16512,17920,66733,19268,14400,98741,13823,20130,11441,12286,16490,23859,20614,16510,22249,14415,11438,14805,18190,11513,108071,14411,20511,269587,382571,81905,16520,14394,14701,238076,13002,16498,16493,16536,12322,16526,20979,226922,16516,14408,170738,20508,18189,100043507,16538,328699,16533,12361,14710,14660,210044,19417,244310,14406,107065,16518,14816	Gng7,Kcna3,Pdpk1,Kcng3,Gnb1,Rps6ka1,Dlgap4,Kcnb1,Chrna6,Kcnn3,Calm2,Gabrq,Mapk1,Gabrb2,Grin2a,Raf1,Kcnh6,Kcnk9,Akap9,Kcnma1,Gng4,Kcnk1,Naaa,Kcnq1,Kcng1,Dbnl,Kcnj12,Gria2,Gria3,Slc1a1,Lin7a,Kcnh2,Cacnb3,Ap2b1,Nrxn3,Homer2,Kcnq3,Epb41l1,Lrfn3,Kcnd2,Grik2,Kcnn2,Dlgap1,Dlg1,Lrrtm4,Kcnh5,Abcc9,Gabbr1,Gng10,Plcb1,Mdm2,Gnal,Gabbr2,Adcy9,Dlg3,Shank2,Nefl,Kcng2,Kcnj1,Akap5,Slc1a6,Slc22a2,Chrnb4,Kcnh4,Chrna9,Kcnv1,Shank1,Kcnq4,Stx1a,Camk2g,Kcnv2,Kcna6,Ppfia1,Rps6ka3,Kcnj16,Lrrtm3,Nlgn2,Gng2,Lrfn2,Prkacb,Gja10,Nlgn1,Grin2d,Hcn3,Slc38a2,Aldh2,Kcnj9,Kcnd3,Gabrg3,Grik4,Kcnab1,Kcnmb2,Rtn3,Kcnk13,Cacng2,Kcnj11,Hcn2,Hcn4,Kcnc1,Braf,Kcnc2,Gabra5,Grip1,Slc6a1,Cacna1b,Prkca,Adcy5,Gria4,Slc1a3,Slc6a13,Kcna1,Ppfia2,Adcy8,Kcnmb3,Gnai1,Abat,Slc38a1,Dlgap3,Glul,Apba1,Slc6a11,Lrrtm1,Cacng3,Gjc1,Epb41l2,Kcnk10,Ap2s1,Kcnc3,Homer1,Cacna1e,Gad2,Adcy1,Grik3,Camk2d,Arl6ip5,Abcc8,Panx1,Adcy6,Lrfn1,Gabra2,Kcnj3,Prkcb,Rps6ka2,Camk2b,Kcna4,Cacnb4,Gnat3,Kcnc4,Creb1,Grin2b,Kcnk18,Gabrb3,Hcn1,Ncald,Hspa8,Gria1,Ptprd,Calm1,Kcnj6,Slc5a7,Camk4,Cacnb2,Kcnh8,Kcnh3,Myo6,Kcng4,Ptprf,Gabrb1,Kcnb2,Epb41l3,Rras,Chrna7,Cacna1a,Kcna2,Dlg2,Snap25,Kcnh1,Unc13b,Gad1,Chrna4,Grik1,Nrxn2,Adcy7,Grm5,Slc6a12,Slc1a2,Epb41,Kcnf1,Cacng8,Kcnj4,Gabra1,Gng12,Kcns3,Dnajc5,Kcnab2,Kcna5,Kcnq2,Camk2a,Kcnk2,Syt1,Kcnq5,Kcnj15,Gabrr1,Kcnh7,Slc18a3,Nrxn1,Gng5-ps,Kcns1,Gabrr3,Kcnmb1,Cask,Gngt2,Gls,Adcy2,Rasgrf1,Dlgap2,Gabrg2,Lrrtm2,Kcnj2,Grm1
R-MMU-1296071	Potassium Channels	4.59633196604008e-08	-16.8954221572357	99	76	0.017451205510907	4355	8672	16524,56543,16535,241794,16531,14706,16510,20927,16525,16511,16519,16514,15166,16497,72413,382571,16515,217826,16520,16517,72258,14702,16504,14708,16491,98741,225030,16494,240595,14688,16490,15168,192775,223604,16500,140493,14710,16485,100502876,100043507,16538,16522,240444,16533,56379,16518,66733,60613,211468,16512,380728,67498,16508,16492,99738,268345,140492,16526,14701,238076,16498,110862,16493,16536,330953,16502,14700,226922,54393,16516,170738,242425,238271,332396,15165,20928	Kcnj9,Kcnd3,Kcnq1,Kcng1,Kcnma1,Gng4,Kcnh1,Abcc8,Kcnk1,Kcnh2,Kcnj3,Kcnj11,Hcn2,Kcnab1,Kcnmb2,Kcnf1,Kcnj12,Kcnk13,Kcnj4,Kcnj16,Kcnk10,Gng2,Kcnc3,Gng7,Kcna3,Kcnb2,Kcng3,Kcna6,Kcnv2,Gnb1,Kcna2,Hcn3,Kcnh6,Kcnk9,Kcnb1,Kcnn3,Gngt2,Kcna1,Kcnmb3,Gng5-ps,Kcns1,Kcnj6,Kcng2,Kcnmb1,Kcnj1,Kcnj2,Kcng4,Kcnq4,Kcnh8,Kcnh3,Kcnh4,Kcnv1,Kcnd2,Kcna4,Kcnc4,Kcnc2,Kcnn2,Kcnk2,Gng12,Kcns3,Kcnab2,Kcnq3,Kcna5,Kcnq2,Hcn4,Kcnc1,Gng10,Kcnq5,Gabbr1,Kcnj15,Kcnh7,Gabbr2,Kcnh5,Kcnk18,Hcn1,Abcc9
R-MMU-1296072	Voltage gated Potassium channels	1.35981992601636e-07	-15.8107433673179	43	38	0.0087256027554535	4355	8672	66733,60613,16511,67498,16512,380728,211468,382571,16497,241794,16535,56543,16485,16510,240444,16538,192775,170738,16490,226922,238271,16500,16504,16492,99738,268345,16508,16502,225030,16494,240595,110862,16536,16493,98741,16491,16498,238076	Kcng4,Kcnq4,Kcnh2,Kcnv1,Kcnh3,Kcnh4,Kcnh8,Kcnf1,Kcnab1,Kcng1,Kcnq1,Kcnd3,Kcna1,Kcnh1,Kcng2,Kcns1,Kcnh6,Kcnh7,Kcna2,Kcnq5,Kcnh5,Kcnb1,Kcnc3,Kcna4,Kcnc4,Kcnc2,Kcnd2,Kcnc1,Kcng3,Kcna6,Kcnv2,Kcnq3,Kcnq2,Kcna5,Kcnb2,Kcna3,Kcnab2,Kcns3
R-MMU-8948216	Collagen chain trimerization	4.25998347145892e-07	-14.6688303706238	41	36	0.00826636050516647	4355	8672	237759,12814,12830,12818,12825,12834,12833,12822,12839,12831,12823,373864,12828,12832,12821,12835,77018,12824,94216,140709,53867,12840,107581,12837,12827,12816,73368,329941,12836,12842,71355,69700,12826,213945,12843,12817	Col23a1,Col11a1,Col4a5,Col14a1,Col3a1,Col6a2,Col6a1,Col18a1,Col9a1,Col5a1,Col19a1,Col27a1,Col4a3,Col5a2,Col17a1,Col6a3,Col25a1,Col2a1,Col4a6,Col26a1,Col5a3,Col9a2,Col16a1,Col8a1,Col4a2,Col12a1,Col20a1,Col8a2,Col7a1,Col1a1,Col24a1,Col22a1,Col4a1,Col28a1,Col1a2,Col13a1
R-MMU-1474290	Collagen formation	8.31810817860551e-07	-13.9996608043596	73	57	0.0130884041331803	4355	8672	16949,69700,12826,269132,12153,12836,12816,12406,16782,24087,140709,12840,94216,12828,12832,12823,12822,12833,234407,18452,12818,237759,16403,21892,16948,16780,12817,213945,12843,71355,16774,12842,329941,73368,12827,330119,12837,107581,53867,320452,77018,12824,12835,12821,373864,12839,19035,12831,12834,216725,12825,18810,12830,12814,76477,18451,210530	Loxl1,Col22a1,Col4a1,Colgalt2,Bmp1,Col7a1,Col12a1,Serpinh1,Lamc2,Tll2,Col26a1,Col9a2,Col4a6,Col4a3,Col5a2,Col19a1,Col18a1,Col6a1,Colgalt1,P4ha2,Col14a1,Col23a1,Itga6,Tll1,Lox,Lamb3,Col13a1,Col28a1,Col1a2,Col24a1,Lama3,Col1a1,Col8a2,Col20a1,Col4a2,Adamts3,Col8a1,Col16a1,Col5a3,P4ha3,Col25a1,Col2a1,Col6a3,Col17a1,Col27a1,Col9a1,Ppib,Col5a1,Col6a2,Adamts2,Col3a1,Plec,Col4a5,Col11a1,Pcolce2,P4ha1,P3h2
R-MMU-1500931	Cell-Cell communication	2.00597267489677e-06	-13.1193814902039	98	72	0.0165327210103329	4355	8672	58220,29857,18810,503844,93742,12554,12563,668101,22177,630952,12562,68794,74202,12555,12821,13508,243911,73178,12550,58235,12388,17356,12488,16774,320865,17974,12695,16780,12557,14784,26416,54631,241201,20163,67703,19094,12558,54353,54725,12561,94332,12552,12565,29875,239857,16403,320873,26419,12385,12737,219033,12560,218952,19229,26415,58998,110829,170736,17973,16412,13176,170643,16423,215654,100038947,16782,18479,23880,16456,320832,109711,14360	Pard6b,Mapk12,Plec,Ang5,Pard3,Cdh13,Cdh6,Sirpb1b,Tyrobp,Ang6,Cdh5,Flnc,Fblim1,Cdh15,Col17a1,Dscam,Kirrel2,Wasl,Cdh1,Nectin1,Ctnnd1,Afdn,Cd2ap,Lama3,Cdh18,Nck2,Patj,Lamb3,Cdh17,Grb2,Mapk14,Nphs1,Cdh7,Rsu1,Kirrel3,Mapk11,Cdh2,Skap2,Cadm1,Cdh4,Cadm3,Cdh11,Cdh9,Iqgap1,Cadm2,Itga6,Cdh10,Mapk8,Ctnna1,Cldn1,Ang4,Cdh3,Fermt2,Ptk2b,Mapk13,Nectin3,Lims1,Parvb,Nck1,Itgb1,Dcc,Kirrel1,Cd47,Cdh12,Sirpb1c,Lamc2,Pak1,Fyb1,F11r,Sirpb1a,Actn1,Fyn
R-MMU-1650814	Collagen biosynthesis and modifying enzymes	2.62675356551642e-06	-12.8497618599914	62	49	0.0112514351320321	4355	8672	12828,12832,12823,94216,234407,12822,12833,237759,12818,18452,21892,69700,12826,269132,12836,12153,12406,12816,12840,140709,12821,373864,320452,12824,77018,12835,12834,12825,216725,12839,12831,19035,12814,12830,18451,76477,210530,12843,213945,71355,12817,329941,12842,12827,330119,73368,53867,12837,107581	Col4a3,Col5a2,Col19a1,Col4a6,Colgalt1,Col18a1,Col6a1,Col23a1,Col14a1,P4ha2,Tll1,Col22a1,Col4a1,Colgalt2,Col7a1,Bmp1,Serpinh1,Col12a1,Col9a2,Col26a1,Col17a1,Col27a1,P4ha3,Col2a1,Col25a1,Col6a3,Col6a2,Col3a1,Adamts2,Col9a1,Col5a1,Ppib,Col11a1,Col4a5,P4ha1,Pcolce2,P3h2,Col1a2,Col28a1,Col24a1,Col13a1,Col8a2,Col1a1,Col4a2,Adamts3,Col20a1,Col5a3,Col8a1,Col16a1
R-MMU-422475	Axon guidance	2.85189391549487e-06	-12.7675272526346	437	266	0.0610792192881745	4355	8672	14177,74117,13642,110596,65254,12661,12840,20358,26931,20349,18479,14360,19417,16772,26443,53321,13637,19052,18845,110351,14164,64654,69632,20356,66997,17096,77579,76829,22190,16913,16184,22350,16416,20452,12322,12933,19414,11852,107448,16410,26440,13649,13845,12288,14733,22253,13836,19122,16706,19171,13841,18738,14182,54712,20741,73178,218397,16590,15234,13838,103967,20130,22177,13874,12835,14783,23980,11876,226849,14585,18707,22325,12223,237880,18015,235584,12296,12289,53378,18481,14165,16797,67112,19053,57257,66713,223435,16412,26442,53972,74769,14786,16885,12313,16185,21687,12912,14812,56438,76400,270190,12298,21844,14180,13839,19415,12323,67603,73086,100042150,73699,18186,319504,17967,22240,15200,223881,14186,12827,23939,20662,623279,14573,13640,17974,13844,20450,59287,108058,214968,114715,19649,14183,20563,16451,12983,12834,109700,232910,67300,69601,18761,14432,16192,18645,171463,211323,13837,11600,83961,384783,13842,230126,13176,18750,70247,20742,109676,14170,16453,16402,13866,109880,208117,54401,104099,114713,20354,13645,23997,14588,14176,56378,19179,243743,14814,16183,16188,14178,20404,14173,12839,240672,14026,269116,19247,56637,12934,12325,16542,14083,11733,18222,20361,13800,20418,18596,18007,545156,17463,58226,26554,17311,12757,22339,17295,76089,12484,18187,12826,70727,13430,18803,21762,53310,18039,11350,17973,19878,12540,114255,16452,103554,13383,17395,12833,12828,19876,19354,13835,19419,54153,12297,80857,71770,19170,13840,20351,19181,14784,53870,240168,19185,20779,12805,13869,26445,330662,14811,110157,14388,100986,80297,12314,211255,16443,26413,16591,12830,16777,268902,76709,226519,18708,11487,14172	Fgf6,Actr3,Efnb2,Arhgef28,Dpysl5,Chl1,Col9a2,Sema6a,Ppp2r5c,Sema3e,Pak1,Fyn,Rasgrf1,Lama1,Psma6,Cntnap1,Efna2,Ppp2ca,Plxna2,Rap1gap,Fgf1,Fgf23,Arhgef12,Sema5a,Psmd12,Lyn,Myh10,Dok5,Ubc,Psmb8,Il2ra,Ezr,Itgb3,St8sia4,Camk2a,Crmp1,Rasa3,Rhob,Unc5a,Itgav,Psma1,Egfr,Ephb3,Cacna1c,Gpc1,Unc5c,Epha2,Prnp,Ksr1,Psmb10,Epha7,Pitpna,Fgfr1,Plxnc1,Sptb,Wasl,Rasa1,Kit,Hgf,Epha4,Dnm3,Rras,Tyrobp,Ereg,Col6a3,Grb10,Pebp1,Artn,Ppp2r5a,Gfra1,Pik3cd,Vav2,Btc,1700071K01Rik,Nf1,Dusp7,Cacnb2,Cacna1d,Sdcbp,Pak3,Fgf10,Lat,Fgf22,Ppp2cb,Vav3,Actr2,Trio,Itgb1,Psma5,Ngef,Pik3cb,Grb7,Limk1,Calm1,Il2rb,Tek,Creb1,Grin2b,Rbx1,Pbp2,Ephb1,Cacnb4,Tiam1,Fgf9,Epha5,Rasal1,Camk2b,Dusp6,Rps6ka5,Nrg2,Ppp2r1b,Nrp1,Nrcam,Ncam1,Dpysl3,Hbegf,Rnd1,Fgfr4,Col4a2,Mapk7,Sos1,Dok6,Gdnf,Efna5,Nck2,Ephb2,St8sia2,Ncstn,Camk2d,Sema6d,Spred1,Robo3,Fgfr2,Slit2,Jak1,Csf2rb,Col6a2,Itga1,Ap2s1,Cltc,Dab2ip,Prkcq,Gap43,Il5ra,Pfn2,Il17rd,Nrg1,Epha3,Angpt1,Nrg4,Irs2,Epha8,Shb,Dcc,Prkca,Psmd1,Sptbn1,Ank2,Fgf15,Jak3,Itga5,Erbb2,Braf,Aph1b,Ywhab,Itga9,Rasa2,Sema4d,Egf,Psmd13,Gfra4,Fgf5,Arpc3,Psmc1,Plxna4,Grin2d,Il2,Il3ra,Fgf7,Sh3gl2,Fgf2,Col9a1,Dusp5,Evl,Nfasc,Ptpn11,Gsk3b,Dpysl2,Camk2g,Kdr,Ptk2,Ank1,Numb,Sema7a,Enah,Shc3,Pdgfrb,Neo1,Kalrn,Psmd7,Cacna1h,Cul3,Kitl,Clta,Vegfa,Met,Rapgef2,Cd24a,Nrp2,Col4a1,Rasgef1a,Dnm2,Plcg1,Psmd2,Dlg3,Nefl,Abl1,Nck1,Rock2,Cdc42,Dok4,Jak2,Psme4,Dlg1,Mmp9,Col6a1,Col4a3,Robo1,Rac2,Epha1,Rasgrp1,Rasa4,Cacnb3,Fgf20,Ap2b1,Psmb1,Epha6,Sema4a,Psmc2,Grb2,Cntn6,Rasgrp3,Psmd4,Src,Cntn1,Erbb4,Psmb2,Dock1,Grin2a,Raf1,Gab1,Akap9,Sptbn4,Calm2,Kbtbd7,Itsn1,Mapk1,Kl,Col4a5,Lamb1,Robo2,Arpc2,Lamc1,Pik3r1,Adam10,Fgf18
R-MMU-375170	CDO in myogenesis	5.62677078255522e-06	-12.0879748536271	26	24	0.00551090700344432	4355	8672	12558,29857,26399,12175,12555,57810,17877,12540,224617,12385,18209,17927,17878,17260,117606,17928,11350,12583,26416,18007,17258,70834,12386,19094	Cdh2,Mapk12,Map2k6,Bnip2,Cdh15,Cdon,Myf5,Cdc42,Tbc1d24,Ctnna1,Ntn3,Myod1,Myf6,Mef2c,Boc,Myog,Abl1,Cdo1,Mapk14,Neo1,Mef2a,Spag9,Ctnna2,Mapk11
R-MMU-525793	Myogenesis	5.62677078255522e-06	-12.0879748536271	26	24	0.00551090700344432	4355	8672	17878,17260,11350,117606,17928,12583,18007,26416,17258,19094,12386,70834,29857,26399,12558,12175,12555,57810,12540,17877,12385,224617,18209,17927	Myf6,Mef2c,Abl1,Boc,Myog,Cdo1,Neo1,Mapk14,Mef2a,Mapk11,Ctnna2,Spag9,Mapk12,Map2k6,Cdh2,Bnip2,Cdh15,Cdon,Cdc42,Myf5,Ctnna1,Tbc1d24,Ntn3,Myod1
R-MMU-6794362	Protein-protein interactions at synapses	8.26723641436302e-06	-11.7032102747441	48	39	0.00895522388059702	4355	8672	224997,228836,70530,13822,233067,216028,216856,13823,26557,14811,14799,18189,19266,14814,23859,192167,243499,14812,26556,13383,269587,13169,80749,108071,18190,12361,53310,210274,14802,18191,74342,19268,14816,243961,107065,53623,244310,20168,242667	Dlgap1,Dlgap4,Lrfn2,Epb41l2,Lrfn3,Lrrtm3,Nlgn2,Epb41l3,Homer2,Grin2a,Gria1,Nrxn1,Ptprd,Grin2d,Dlg2,Nlgn1,Lrrtm4,Grin2b,Homer1,Dlg1,Epb41,Dbnl,Lrfn1,Grm5,Nrxn2,Cask,Dlg3,Shank2,Gria4,Nrxn3,Lrrtm1,Ptprf,Grm1,Shank1,Lrrtm2,Gria3,Dlgap2,Rtn3,Dlgap3
R-MMU-5576891	Cardiac conduction	8.44707369215969e-06	-11.681690485194	102	73	0.0167623421354765	4355	8672	381290,110893,140723,16518,108017,56461,18160,11937,65973,12296,80906,12289,20271,20192,27222,229709,14169,11931,12313,20541,14226,20928,14167,12298,56808,16508,12323,12322,53419,16440,20190,16514,12297,53313,16511,67972,81904,110891,232975,12300,81905,16520,16439,11941,16515,22063,70357,76757,12288,18159,56543,246133,16535,20191,16525,14168,54378,80334,11933,100986,108058,12314,20866,11928,319734,18125,12299,109552,12294,66402,54376,18821,12325	Atp2b4,Slc8a3,Cacng5,Kcnj2,Fxyd4,Kcnip3,Npr1,Atp2a1,Asph,Cacnb2,Kcnip2,Cacna1d,Scn5a,Ryr3,Atp1a4,Ahcyl1,Fgf14,Atp1b1,Calm1,Slc8a1,Fkbp1b,Abcc9,Fgf12,Cacnb4,Cacna2d2,Kcnd2,Camk2b,Camk2a,Corin,Itpr3,Ryr1,Kcnj11,Cacnb3,Atp2a3,Kcnh2,Atp2b1,Cacng7,Slc8a2,Atp1a3,Cacng2,Cacng8,Kcnj4,Itpr2,Atp2b2,Kcnj12,Trpc1,Kcnip1,Trdn,Cacna1c,Nppc,Kcnd3,Kcne2,Kcnq1,Ryr2,Kcnk1,Fgf13,Cacng6,Kcnip4,Atp1b3,Akap9,Camk2d,Calm2,Stim1,Atp1a1,Cacna2d4,Nos1,Cacng1,Sri,Cacna2d3,Sln,Cacng3,Pln,Camk2g
