TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu05205	Proteoglycans in cancer	0.00734809156213781	-4.91331465088248	206	5	0.104166666666667	48	8044	18569,22411,18750,387140,14103	Pdcd4,Wnt11,Prkca,Mir21a,Fasl
ko05205	Proteoglycans in cancer	0.00734809156213781	-4.91331465088248	206	5	0.104166666666667	48	8044	18750,18569,22411,14103,387140	Prkca,Pdcd4,Wnt11,Fasl,Mir21a
ko00515	Mannose type O-glycan biosynthesis	0.00814442949951971	-4.81042108241137	23	2	0.0416666666666667	48	8044	76898,246179	B3gat1,Fktn
mmu00515	Mannose type O-glycan biosynthesis	0.00814442949951971	-4.81042108241137	23	2	0.0416666666666667	48	8044	246179,76898	Fktn,B3gat1
ko01524	Platinum drug resistance	0.010336384647721	-4.57208511826504	76	3	0.0625	48	8044	14103,211666,14872	Fasl,Mgst2,Gstt2
mmu01524	Platinum drug resistance	0.010336384647721	-4.57208511826504	76	3	0.0625	48	8044	14103,211666,14872	Fasl,Mgst2,Gstt2
mmu00300	Lysine biosynthesis	0.0118994912535268	-4.43125963158301	2	1	0.0208333333333333	48	8044	23923	Aadat
ko00300	Lysine biosynthesis	0.0118994912535268	-4.43125963158301	2	1	0.0208333333333333	48	8044	23923	Aadat
mmu04150	mTOR signaling pathway	0.0127983302577488	-4.3584405651791	153	4	0.0833333333333333	48	8044	18750,22411,73834,216742	Prkca,Wnt11,Atp6v1d,Fnip1
ko04150	mTOR signaling pathway	0.0127983302577488	-4.3584405651791	153	4	0.0833333333333333	48	8044	18750,22411,73834,216742	Prkca,Wnt11,Atp6v1d,Fnip1
ko04136	Autophagy - other	0.0154324583318194	-4.17128230372777	32	2	0.0416666666666667	48	8044	11793,75669	Atg5,Pik3r4
mmu04136	Autophagy - other	0.0154324583318194	-4.17128230372777	32	2	0.0416666666666667	48	8044	11793,75669	Atg5,Pik3r4
ko05143	African trypanosomiasis	0.0193080951437577	-3.94723083351022	36	2	0.0416666666666667	48	8044	18750,14103	Prkca,Fasl
mmu05143	African trypanosomiasis	0.0193080951437577	-3.94723083351022	36	2	0.0416666666666667	48	8044	14103,18750	Fasl,Prkca
mmu04916	Melanogenesis	0.0215287221561994	-3.83836732114619	100	3	0.0625	48	8044	13614,22411,18750	Edn1,Wnt11,Prkca
ko04916	Melanogenesis	0.0215287221561994	-3.83836732114619	100	3	0.0625	48	8044	13614,22411,18750	Edn1,Wnt11,Prkca
ko04216	Ferroptosis	0.0235477635632964	-3.74872442849434	40	2	0.0416666666666667	48	8044	11793,26570	Atg5,Slc7a11
mmu04216	Ferroptosis	0.0235477635632964	-3.74872442849434	40	2	0.0416666666666667	48	8044	11793,26570	Atg5,Slc7a11
mmu04919	Thyroid hormone signaling pathway	0.0309039725160573	-3.47687054295141	115	3	0.0625	48	8044	68975,18750,18129	Med27,Prkca,Notch2
mmu04140	Autophagy - animal	0.0421061291926989	-3.16756196236558	130	3	0.0625	48	8044	11793,75669,78610	Atg5,Pik3r4,Uvrag
ko04140	Autophagy - animal	0.0421061291926989	-3.16756196236558	130	3	0.0625	48	8044	11793,75669,78610	Atg5,Pik3r4,Uvrag
mmu00480	Glutathione metabolism	0.0481028034686495	-3.03441481939737	59	2	0.0416666666666667	48	8044	14872,211666	Gstt2,Mgst2
ko00480	Glutathione metabolism	0.0481028034686495	-3.03441481939737	59	2	0.0416666666666667	48	8044	211666,14872	Mgst2,Gstt2
mmu05418	Fluid shear stress and atherosclerosis	0.0550850034673807	-2.89887776924411	145	3	0.0625	48	8044	13614,14872,211666	Edn1,Gstt2,Mgst2
ko05418	Fluid shear stress and atherosclerosis	0.0550850034673807	-2.89887776924411	145	3	0.0625	48	8044	211666,13614,14872	Mgst2,Edn1,Gstt2
ko00980	Metabolism of xenobiotics by cytochrome P450	0.0571829394314661	-2.8614996867729	65	2	0.0416666666666667	48	8044	211666,14872	Mgst2,Gstt2
mmu00980	Metabolism of xenobiotics by cytochrome P450	0.0571829394314661	-2.8614996867729	65	2	0.0416666666666667	48	8044	14872,211666	Gstt2,Mgst2
mmu_M00413	FA core complex	0.058126367457212	-2.84513588920577	10	1	0.0208333333333333	48	8044	14088	Fancc
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0.058126367457212	-2.84513588920577	10	1	0.0208333333333333	48	8044	66234	Msmo1
mmu_M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0.058126367457212	-2.84513588920577	10	1	0.0208333333333333	48	8044	66234	Msmo1
M00413	FA core complex	0.058126367457212	-2.84513588920577	10	1	0.0208333333333333	48	8044	14088	Fancc
mmu00982	Drug metabolism - cytochrome P450	0.0603334798034967	-2.8078681087051	67	2	0.0416666666666667	48	8044	211666,14872	Mgst2,Gstt2
ko00982	Drug metabolism - cytochrome P450	0.0603334798034967	-2.8078681087051	67	2	0.0416666666666667	48	8044	14872,211666	Gstt2,Mgst2
ko04622	RIG-I-like receptor signaling pathway	0.0619309362290477	-2.78173544660974	68	2	0.0416666666666667	48	8044	11793,21353	Atg5,Tank
mmu04622	RIG-I-like receptor signaling pathway	0.0619309362290477	-2.78173544660974	68	2	0.0416666666666667	48	8044	21353,11793	Tank,Atg5
mmu04010	MAPK signaling pathway	0.0625324699145118	-2.77206933851068	252	4	0.0833333333333333	48	8044	240168,18750,26407,14103	Rasgrp3,Prkca,Map3k4,Fasl
ko04010	MAPK signaling pathway	0.0625324699145118	-2.77206933851068	252	4	0.0833333333333333	48	8044	14103,26407,240168,18750	Fasl,Map3k4,Rasgrp3,Prkca
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	0.0637536931177493	-2.75272816536274	11	1	0.0208333333333333	48	8044	23923	Aadat
mmu_M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	0.0637536931177493	-2.75272816536274	11	1	0.0208333333333333	48	8044	23923	Aadat
mmu01230	Biosynthesis of amino acids	0.0786666849471255	-2.54253553024595	78	2	0.0416666666666667	48	8044	14645,23923	Glul,Aadat
ko01230	Biosynthesis of amino acids	0.0786666849471255	-2.54253553024595	78	2	0.0416666666666667	48	8044	14645,23923	Glul,Aadat
M00389	APC/C complex	0.0804388749526848	-2.52025770034301	14	1	0.0208333333333333	48	8044	69010	Anapc13
mmu_M00389	APC/C complex	0.0804388749526848	-2.52025770034301	14	1	0.0208333333333333	48	8044	69010	Anapc13
mmu05206	MicroRNAs in cancer	0.0848077998677022	-2.46736776084218	280	4	0.0833333333333333	48	8044	387140,18129,18750,18569	Mir21a,Notch2,Prkca,Pdcd4
ko05206	MicroRNAs in cancer	0.0848077998677022	-2.46736776084218	280	4	0.0833333333333333	48	8044	18750,18569,18129,387140	Prkca,Pdcd4,Notch2,Mir21a
mmu00730	Thiamine metabolism	0.0859356288754139	-2.45415676444438	15	1	0.0208333333333333	48	8044	11637	Ak2
ko00730	Thiamine metabolism	0.0859356288754139	-2.45415676444438	15	1	0.0208333333333333	48	8044	11637	Ak2
mmu_M00089	Triacylglycerol biosynthesis	0.0914002060108995	-2.392507546576	16	1	0.0208333333333333	48	8044	67216	Mboat2
M00089	Triacylglycerol biosynthesis	0.0914002060108995	-2.392507546576	16	1	0.0208333333333333	48	8044	67216	Mboat2
mmu04727	GABAergic synapse	0.0966406710030589	-2.33675560149338	88	2	0.0416666666666667	48	8044	18750,14645	Prkca,Glul
ko04727	GABAergic synapse	0.0966406710030589	-2.33675560149338	88	2	0.0416666666666667	48	8044	14645,18750	Glul,Prkca
M00682	Notch signaling	0.0968327907288314	-2.33476959486281	17	1	0.0208333333333333	48	8044	18129	Notch2
mmu00910	Nitrogen metabolism	0.0968327907288314	-2.33476959486281	17	1	0.0208333333333333	48	8044	14645	Glul
mmu_M00682	Notch signaling	0.0968327907288314	-2.33476959486281	17	1	0.0208333333333333	48	8044	18129	Notch2
ko00910	Nitrogen metabolism	0.0968327907288314	-2.33476959486281	17	1	0.0208333333333333	48	8044	14645	Glul
ko04912	GnRH signaling pathway	0.0984985581456432	-2.31771336902653	89	2	0.0416666666666667	48	8044	26407,18750	Map3k4,Prkca
mmu04912	GnRH signaling pathway	0.0984985581456432	-2.31771336902653	89	2	0.0416666666666667	48	8044	26407,18750	Map3k4,Prkca
ko05204	Chemical carcinogenesis	0.106030765178712	-2.24402598944581	93	2	0.0416666666666667	48	8044	211666,14872	Mgst2,Gstt2
mmu05204	Chemical carcinogenesis	0.106030765178712	-2.24402598944581	93	2	0.0416666666666667	48	8044	211666,14872	Mgst2,Gstt2
M00341	Proteasome, 19S regulatory particle (PA700)	0.107602715234099	-2.22930939705519	19	1	0.0208333333333333	48	8044	17463	Psmd7
ko00100	Steroid biosynthesis	0.107602715234099	-2.22930939705519	19	1	0.0208333333333333	48	8044	66234	Msmo1
mmu01210	2-Oxocarboxylic acid metabolism	0.107602715234099	-2.22930939705519	19	1	0.0208333333333333	48	8044	23923	Aadat
