TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0071944	cell periphery	0.000561500058024722	-7.48489868044701	6578	28	0.411764705882353	68	28799	353156,108083,14622,72925,50791,243043,12808,12475,14729,114713,11861,333050,268890,17196,78286,22415,56175,258526,17064,14339,14805,244958,12075,77531,109246,14160,20741,667742	Egfl7,Pip4k2b,Gjb5,Marchf1,Magi2,Kctd8,Cobl,Cd14,Gp5,Rasa2,Arl4a,Ksr2,Lsamp,Mbp,Nav2,Wnt3,Bace2,Or2b28,Cd93,Aktip,Grik1,Mrap2,Bfsp1,Anks1b,Tspan9,Lgr5,Sptb,Piezo2
GO:0098794	postsynapse	0.00176072163619311	-6.34203153340327	951	8	0.117647058823529	68	28799	30785,50791,66860,77531,243043,20741,14805,223435	Cttnbp2,Magi2,Tanc1,Anks1b,Kctd8,Sptb,Grik1,Trio
GO:0005886	plasma membrane	0.00219587853646608	-6.12117306812775	6079	25	0.367647058823529	68	28799	14160,20741,667742,14339,244958,14805,12075,109246,77531,12808,243043,12475,114713,14729,11861,333050,268890,17196,258526,17064,56175,14622,108083,72925,50791	Lgr5,Sptb,Piezo2,Aktip,Mrap2,Grik1,Bfsp1,Tspan9,Anks1b,Cobl,Kctd8,Cd14,Rasa2,Gp5,Arl4a,Ksr2,Lsamp,Mbp,Or2b28,Cd93,Bace2,Gjb5,Pip4k2b,Marchf1,Magi2
GO:0098978	glutamatergic synapse	0.00287028175081097	-5.85334508301479	805	7	0.102941176470588	68	28799	14805,20741,223435,66860,77531,50791,30785	Grik1,Sptb,Trio,Tanc1,Anks1b,Magi2,Cttnbp2
GO:0005802	trans-Golgi network	0.00331611624163399	-5.70896098754847	259	4	0.0588235294117647	68	28799	72925,14160,56175,74438	Marchf1,Lgr5,Bace2,Clvs1
GO:0016020	membrane	0.00424722771450355	-5.46148881135738	9743	34	0.5	68	28799	14160,383592,319655,20741,57748,667742,327766,14339,244958,223435,14805,12075,260315,109246,11490,77531,56030,12808,243043,74438,268890,333050,11861,12475,114713,14729,17196,258526,17064,56175,14622,108083,72925,50791	Lgr5,Kif28,Podxl2,Sptb,Jmy,Piezo2,Tmem26,Aktip,Mrap2,Trio,Grik1,Bfsp1,Nav3,Tspan9,Adam15,Anks1b,Tmem131,Cobl,Kctd8,Clvs1,Lsamp,Ksr2,Arl4a,Cd14,Rasa2,Gp5,Mbp,Or2b28,Cd93,Bace2,Gjb5,Pip4k2b,Marchf1,Magi2
GO:0110165	cellular anatomical entity	0.00515898947661018	-5.26701455653365	19495	56	0.823529411764706	68	28799	353156,72925,327987,12808,22415,258526,17064,11992,14339,15962,11490,56030,77531,17301,260315,228598,17191,14160,14489,20741,71338,319655,100043108,30785,327766,668225,108013,21990,108083,14622,74103,22722,50791,243043,268890,333050,14729,114713,12475,11861,74438,26386,17196,78286,56175,22696,14805,244958,223435,12075,109246,383592,664799,667742,57748,66860	Egfl7,Marchf1,Med13,Cobl,Wnt3,Or2b28,Cd93,Auh,Aktip,Ifna1,Adam15,Tmem131,Anks1b,Foxd2,Nav3,Ebf4,Mbd2,Lgr5,Mtpn,Sptb,Tprg1,Podxl2,Cyp2c69,Cttnbp2,Tmem26,Fignl2,Celf4,Tph1,Pip4k2b,Gjb5,Nebl,Zfp64,Magi2,Kctd8,Lsamp,Ksr2,Gp5,Rasa2,Cd14,Arl4a,Clvs1,Hsf4,Mbp,Nav2,Bace2,Zfp37,Grik1,Mrap2,Trio,Bfsp1,Tspan9,Kif28,Ctcfl,Piezo2,Jmy,Tanc1
GO:0099092	postsynaptic density, intracellular component	0.00625502349043823	-5.07437037960457	50	2	0.0294117647058824	68	28799	77531,66860	Anks1b,Tanc1
GO:0098791	Golgi apparatus subcompartment	0.00751530642375756	-4.89081348165737	327	4	0.0588235294117647	68	28799	14160,72925,74438,56175	Lgr5,Marchf1,Clvs1,Bace2
GO:0032588	trans-Golgi network membrane	0.00752534968003681	-4.88947800031897	55	2	0.0294117647058824	68	28799	14160,72925	Lgr5,Marchf1
GO:0015629	actin cytoskeleton	0.00790330704217169	-4.84047399416998	523	5	0.0735294117647059	68	28799	74103,30785,12808,14489,20741	Nebl,Cttnbp2,Cobl,Mtpn,Sptb
GO:0099091	postsynaptic specialization, intracellular component	0.00806337497183931	-4.82042307910953	57	2	0.0294117647058824	68	28799	77531,66860	Anks1b,Tanc1
GO:1990508	CKM complex	0.00941186211240276	-4.66578445841529	4	1	0.0147058823529412	68	28799	327987	Med13
GO:0033269	internode region of axon	0.00941186211240276	-4.66578445841529	4	1	0.0147058823529412	68	28799	17196	Mbp
GO:1990357	terminal web	0.00941186211240276	-4.66578445841529	4	1	0.0147058823529412	68	28799	12808	Cobl
GO:0042995	cell projection	0.00997835863600257	-4.60733666751507	2707	13	0.191176470588235	68	28799	21990,243043,14489,12808,14805,20741,223435,17196,30785,77531,66860,11490,50791	Tph1,Kctd8,Mtpn,Cobl,Grik1,Sptb,Trio,Mbp,Cttnbp2,Anks1b,Tanc1,Adam15,Magi2
GO:0098793	presynapse	0.0117424410013997	-4.44454556444026	804	6	0.0882352941176471	68	28799	243043,14805,223435,30785,66860,77531	Kctd8,Grik1,Trio,Cttnbp2,Tanc1,Anks1b
GO:0070695	FHF complex	0.0117511568981234	-4.44380358382402	5	1	0.0147058823529412	68	28799	14339	Aktip
GO:1990779	glycoprotein Ib-IX-V complex	0.0117511568981234	-4.44380358382402	5	1	0.0147058823529412	68	28799	14729	Gp5
GO:0032983	kainate selective glutamate receptor complex	0.0140850084410707	-4.26264427835893	6	1	0.0147058823529412	68	28799	14805	Grik1
GO:0008091	spectrin	0.0140850084410707	-4.26264427835893	6	1	0.0147058823529412	68	28799	20741	Sptb
GO:0046696	lipopolysaccharide receptor complex	0.0140850084410707	-4.26264427835893	6	1	0.0147058823529412	68	28799	12475	Cd14
GO:0009986	cell surface	0.0153276511443138	-4.17809681738673	1106	7	0.102941176470588	68	28799	353156,12475,14729,20741,17196,17064,11490	Egfl7,Cd14,Gp5,Sptb,Mbp,Cd93,Adam15
GO:0005622	intracellular anatomical structure	0.0161484889464489	-4.1259287973782	14712	44	0.647058823529412	68	28799	12075,77531,11490,17301,109246,260315,22696,14339,14805,223435,244958,100043108,30785,57748,66860,108013,383592,228598,14489,664799,17191,14160,71338,20741,74103,72925,327987,22722,50791,108083,21990,17196,78286,26386,22415,56175,11992,17064,12808,11861,12475,333050,268890,74438	Bfsp1,Anks1b,Adam15,Foxd2,Tspan9,Nav3,Zfp37,Aktip,Grik1,Trio,Mrap2,Cyp2c69,Cttnbp2,Jmy,Tanc1,Celf4,Kif28,Ebf4,Mtpn,Ctcfl,Mbd2,Lgr5,Tprg1,Sptb,Nebl,Marchf1,Med13,Zfp64,Magi2,Pip4k2b,Tph1,Mbp,Nav2,Hsf4,Wnt3,Bace2,Auh,Cd93,Cobl,Arl4a,Cd14,Ksr2,Lsamp,Clvs1
GO:0014731	spectrin-associated cytoskeleton	0.0164134292164973	-4.10965542456609	7	1	0.0147058823529412	68	28799	20741	Sptb
GO:0014069	postsynaptic density	0.0170535419335057	-4.07139735879164	417	4	0.0588235294117647	68	28799	14805,77531,66860,50791	Grik1,Anks1b,Tanc1,Magi2
GO:0043235	receptor complex	0.0173238681588301	-4.05567006597792	419	4	0.0588235294117647	68	28799	14729,14805,12475,243043	Gp5,Grik1,Cd14,Kctd8
GO:0043229	intracellular organelle	0.0179202624417817	-4.02182322635388	13077	40	0.588235294117647	68	28799	22722,50791,327987,74103,72925,108083,56175,11992,17064,26386,78286,17196,22415,11861,12475,74438,12808,11490,77531,260315,109246,17301,12075,14805,244958,223435,22696,14339,66860,108013,100043108,57748,30785,20741,228598,383592,17191,664799,14160,14489	Zfp64,Magi2,Med13,Nebl,Marchf1,Pip4k2b,Bace2,Auh,Cd93,Hsf4,Nav2,Mbp,Wnt3,Arl4a,Cd14,Clvs1,Cobl,Adam15,Anks1b,Nav3,Tspan9,Foxd2,Bfsp1,Grik1,Mrap2,Trio,Zfp37,Aktip,Tanc1,Celf4,Cyp2c69,Jmy,Cttnbp2,Sptb,Ebf4,Kif28,Mbd2,Ctcfl,Lgr5,Mtpn
GO:0030864	cortical actin cytoskeleton	0.0184549021894961	-3.99242524246025	88	2	0.0294117647058824	68	28799	12808,20741	Cobl,Sptb
GO:0140494	migrasome	0.0187364316769732	-3.9772854324171	8	1	0.0147058823529412	68	28799	109246	Tspan9
GO:0005776	autophagosome	0.0192501257036431	-3.95023768821028	90	2	0.0294117647058824	68	28799	57748,108083	Jmy,Pip4k2b
GO:0032279	asymmetric synapse	0.020475774045621	-3.88851284553164	441	4	0.0588235294117647	68	28799	14805,66860,77531,50791	Grik1,Tanc1,Anks1b,Magi2
GO:0008290	F-actin capping protein complex	0.0210540282417912	-3.86066337175601	9	1	0.0147058823529412	68	28799	14489	Mtpn
GO:0005856	cytoskeleton	0.0221997920720133	-3.80767235627329	2367	11	0.161764705882353	68	28799	383592,12808,14489,20741,12075,74103,57748,30785,50791,77531,260315	Kif28,Cobl,Mtpn,Sptb,Bfsp1,Nebl,Jmy,Cttnbp2,Magi2,Anks1b,Nav3
GO:0036057	slit diaphragm	0.0233662312985062	-3.75646340580156	10	1	0.0147058823529412	68	28799	50791	Magi2
GO:0036056	filtration diaphragm	0.0233662312985062	-3.75646340580156	10	1	0.0147058823529412	68	28799	50791	Magi2
GO:0097197	tetraspanin-enriched microdomain	0.0233662312985062	-3.75646340580156	10	1	0.0147058823529412	68	28799	109246	Tspan9
GO:0099572	postsynaptic specialization	0.025484289028307	-3.66969313323252	472	4	0.0588235294117647	68	28799	66860,14805,77531,50791	Tanc1,Grik1,Anks1b,Magi2
GO:0030897	HOPS complex	0.0279745063393753	-3.57646167143224	12	1	0.0147058823529412	68	28799	14339	Aktip
GO:0044294	dendritic growth cone	0.0279745063393753	-3.57646167143224	12	1	0.0147058823529412	68	28799	12808	Cobl
GO:0098984	neuron to neuron synapse	0.0283348990817689	-3.56366105097731	488	4	0.0588235294117647	68	28799	14805,66860,77531,50791	Grik1,Tanc1,Anks1b,Magi2
