TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-166020	Transfer of LPS from LBP carrier to CD14	0.00460749259191238	-5.38007147625395	2	1	0.05	20	8672	12475	Cd14
R-MMU-451307	Activation of Na-permeable Kainate Receptors	0.00460749259191238	-5.38007147625395	2	1	0.05	20	8672	14805	Grik1
R-MMU-8847453	Synthesis of PIPs in the nucleus	0.0069036690796847	-4.97570225802927	3	1	0.05	20	8672	108083	Pip4k2b
R-MMU-209931	Serotonin and melatonin biosynthesis	0.0114809347940507	-4.4670674633526	5	1	0.05	20	8672	21990	Tph1
R-MMU-166520	Signalling by NGF	0.0128381770498305	-4.3553319651119	408	4	0.2	20	8672	20741,114713,223435,108083	Sptb,Rasa2,Trio,Pip4k2b
R-MMU-445095	Interaction between L1 and Ankyrins	0.0205754090819256	-3.88365865014154	9	1	0.05	20	8672	20741	Sptb
R-MMU-75892	Platelet Adhesion to exposed collagen	0.0205754090819256	-3.88365865014154	9	1	0.05	20	8672	14729	Gp5
R-MMU-6811555	PI5P Regulates TP53 Acetylation	0.0205754090819256	-3.88365865014154	9	1	0.05	20	8672	108083	Pip4k2b
R-MMU-430116	GP1b-IX-V activation signalling	0.0228365763243749	-3.77939180366246	10	1	0.05	20	8672	14729	Gp5
R-MMU-418885	DCC mediated attractive signaling	0.0250927837208041	-3.68517497534396	11	1	0.05	20	8672	223435	Trio
R-MMU-451306	Ionotropic activity of Kainate Receptors	0.0273440415812964	-3.59925663193655	12	1	0.05	20	8672	14805	Grik1
R-MMU-451308	Activation of Ca-permeable Kainate Receptor	0.0273440415812964	-3.59925663193655	12	1	0.05	20	8672	14805	Grik1
R-MMU-1433557	Signaling by SCF-KIT	0.0276849742200421	-3.58686545989629	290	3	0.15	20	8672	20741,114713,108083	Sptb,Rasa2,Pip4k2b
R-MMU-186763	Downstream signal transduction	0.0307336506921299	-3.48239711093288	302	3	0.15	20	8672	108083,114713,20741	Pip4k2b,Rasa2,Sptb
R-MMU-2424491	DAP12 signaling	0.0323230761743021	-3.43197387119811	308	3	0.15	20	8672	108083,114713,20741	Pip4k2b,Rasa2,Sptb
R-MMU-177929	Signaling by EGFR	0.0336806814196266	-3.39083085763849	313	3	0.15	20	8672	20741,114713,108083	Sptb,Rasa2,Pip4k2b
R-MMU-2172127	DAP12 interactions	0.0347883840653211	-3.3584717391488	317	3	0.15	20	8672	114713,20741,108083	Rasa2,Sptb,Pip4k2b
R-MMU-2454202	Fc epsilon receptor (FCERI) signaling	0.035068308375513	-3.35045745165031	318	3	0.15	20	8672	114713,20741,108083	Rasa2,Sptb,Pip4k2b
R-MMU-187037	NGF signalling via TRKA from the plasma membrane	0.0361999844937518	-3.3186965884999	322	3	0.15	20	8672	114713,20741,108083	Rasa2,Sptb,Pip4k2b
R-MMU-4641263	Regulation of FZD by ubiquitination	0.0362997831013006	-3.31594351289997	16	1	0.05	20	8672	14160	Lgr5
R-MMU-186797	Signaling by PDGF	0.0364858954315382	-3.31082951960886	323	3	0.15	20	8672	114713,20741,108083	Rasa2,Sptb,Pip4k2b
R-MMU-5686938	Regulation of TLR by endogenous ligand	0.0385264471906006	-3.25641033350809	17	1	0.05	20	8672	12475	Cd14
R-MMU-451326	Activation of Kainate Receptors upon glutamate binding	0.0385264471906006	-3.25641033350809	17	1	0.05	20	8672	14805	Grik1
R-MMU-6804760	Regulation of TP53 Activity through Methylation	0.0385264471906006	-3.25641033350809	17	1	0.05	20	8672	57748	Jmy
R-MMU-209776	Amine-derived hormones	0.0407482231635967	-3.20034304359324	18	1	0.05	20	8672	21990	Tph1
R-MMU-168249	Innate Immune System	0.0449144002571959	-3.10299681723002	1181	6	0.3	20	8672	108083,15962,12475,17064,20741,114713	Pip4k2b,Ifna1,Cd14,Cd93,Sptb,Rasa2
R-MMU-5633007	Regulation of TP53 Activity	0.0466248699717552	-3.06562118983159	151	2	0.1	20	8672	108083,57748	Pip4k2b,Jmy
R-MMU-2142670	Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	0.0517841364895164	-2.96067142199552	23	1	0.05	20	8672	100043108	Cyp2c69
R-MMU-70895	Branched-chain amino acid catabolism	0.0517841364895164	-2.96067142199552	23	1	0.05	20	8672	11992	Auh
R-MMU-140837	Intrinsic Pathway of Fibrin Clot Formation	0.0517841364895164	-2.96067142199552	23	1	0.05	20	8672	14729	Gp5
R-MMU-373752	Netrin-1 signaling	0.0517841364895164	-2.96067142199552	23	1	0.05	20	8672	223435	Trio
R-MMU-933541	TRAF6 mediated IRF7 activation	0.0517841364895164	-2.96067142199552	23	1	0.05	20	8672	15962	Ifna1
R-MMU-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	0.0539767965966573	-2.9192010174167	24	1	0.05	20	8672	114713	Rasa2
R-MMU-3238698	WNT ligand biogenesis and trafficking	0.0583476747554378	-2.84133577099325	26	1	0.05	20	8672	22415	Wnt3
R-MMU-6804758	Regulation of TP53 Activity through Acetylation	0.0583476747554378	-2.84133577099325	26	1	0.05	20	8672	108083	Pip4k2b
R-MMU-912694	Regulation of IFNA signaling	0.0583476747554378	-2.84133577099325	26	1	0.05	20	8672	15962	Ifna1
R-MMU-881907	Gastrin-CREB signalling pathway via PKC and MAPK	0.0590547714825664	-2.82928993549543	392	3	0.15	20	8672	114713,20741,223435	Rasa2,Sptb,Trio
R-MMU-2142816	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	0.0605259128428337	-2.80468369419271	27	1	0.05	20	8672	100043108	Cyp2c69
R-MMU-212436	Generic Transcription Pathway	0.062025083940706	-2.78021639606853	400	3	0.15	20	8672	108083,57748,327987	Pip4k2b,Jmy,Med13
R-MMU-909733	Interferon alpha/beta signaling	0.0626993635948744	-2.76940398139678	28	1	0.05	20	8672	15962	Ifna1
R-MMU-73728	RNA Polymerase I Promoter Opening	0.0734951555333002	-2.61053578604714	33	1	0.05	20	8672	17191	Mbd2
R-MMU-76009	Platelet Aggregation (Plug Formation)	0.075640090928001	-2.58176883307731	34	1	0.05	20	8672	14729	Gp5
R-MMU-422475	Axon guidance	0.0766741918182864	-2.56819010939229	437	3	0.15	20	8672	20741,114713,223435	Sptb,Rasa2,Trio
R-MMU-432720	Lysosome Vesicle Biogenesis	0.0777803083620976	-2.55386698572013	35	1	0.05	20	8672	74438	Clvs1
R-MMU-112412	SOS-mediated signalling	0.0861201588292387	-2.45201176220947	214	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-5673001	RAF/MAP kinase cascade	0.0861201588292387	-2.45201176220947	214	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-187706	Signalling to p38 via RIT and RIN	0.0861201588292387	-2.45201176220947	214	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-179812	GRB2 events in EGFR signaling	0.0861201588292387	-2.45201176220947	214	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-180336	SHC1 events in EGFR signaling	0.0861201588292387	-2.45201176220947	214	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-140877	Formation of Fibrin Clot (Clotting Cascade)	0.0862941948095189	-2.44999295071593	39	1	0.05	20	8672	14729	Gp5
R-MMU-167044	Signalling to RAS	0.0895916678485294	-2.4124929560873	219	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-5684996	MAPK1/MAPK3 signaling	0.0895916678485294	-2.4124929560873	219	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-170984	ARMS-mediated activation	0.0895916678485294	-2.4124929560873	219	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-170968	Frs2-mediated activation	0.0895916678485294	-2.4124929560873	219	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-211981	Xenobiotics	0.0905230849810072	-2.40215037814125	41	1	0.05	20	8672	100043108	Cyp2c69
R-MMU-912526	Interleukin receptor SHC signaling	0.0916951561028542	-2.38928572442076	222	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-169893	Prolonged ERK activation events	0.0916951561028542	-2.38928572442076	222	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-2586552	Signaling by Leptin	0.0916951561028542	-2.38928572442076	222	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-5218921	VEGFR2 mediated cell proliferation	0.0923996856324427	-2.38163170258658	223	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-187687	Signalling to ERKs	0.0952343576371009	-2.35141450274402	227	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-451927	Interleukin-2 signaling	0.0966614801811135	-2.33654029940794	229	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-8853659	RET signaling	0.0995348856391595	-2.30724708682793	233	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-512988	Interleukin-3, 5 and GM-CSF signaling	0.0995348856391595	-2.30724708682793	233	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-2871796	FCERI mediated MAPK activation	0.100257169113583	-2.3000167029974	234	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-71291	Metabolism of amino acids and derivatives	0.100257169113583	-2.3000167029974	234	2	0.1	20	8672	21990,11992	Tph1,Auh
R-MMU-1660499	Synthesis of PIPs at the plasma membrane	0.101014112800161	-2.29249504120763	46	1	0.05	20	8672	108083	Pip4k2b
R-MMU-375165	NCAM signaling for neurite out-growth	0.103161727604246	-2.27145735126698	238	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-195721	Signaling by Wnt	0.103161727604246	-2.27145735126698	238	2	0.1	20	8672	14160,22415	Lgr5,Wnt3
R-MMU-5683057	MAPK family signaling cascades	0.10756373896584	-2.22967168650993	244	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-1280215	Cytokine Signaling in Immune system	0.110173789740176	-2.2056962532005	511	3	0.15	20	8672	20741,114713,15962	Sptb,Rasa2,Ifna1
R-MMU-193648	NRAGE signals death through JNK	0.113451609319826	-2.17637888257857	52	1	0.05	20	8672	223435	Trio
R-MMU-168928	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	0.117560988542753	-2.14079802863084	54	1	0.05	20	8672	15962	Ifna1
R-MMU-112399	IRS-mediated signalling	0.122603283413126	-2.09880147432864	264	2	0.1	20	8672	20741,114713	Sptb,Rasa2
