TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY3DJ-219	PIP metabolism	0.00482362419866603	-5.33422972502422	47	33	0.0623818525519849	529	1039	83493,74055,234515,72519,18719,234779,74769,104015,18706,18708,74302,225326,30955,103199,18795,269180,269615,18711,18799,97287,18796,20975,18717,19211,75669,108083,18803,18718,320207,107650,72469,64436,18710	Sacm1l,Plce1,Inpp4b,Pip4p2,Pip5k1b,Plcg2,Pik3cb,Synj1,Pik3ca,Pik3r1,Mtmr3,Pik3c3,Pik3cg,Fig4,Plcb1,Inpp4a,Plch2,Pikfyve,Plcd1,Mtmr14,Plcb2,Synj2,Pip5k1c,Pten,Pik3r4,Pip4k2b,Plcg1,Pip4k2a,Pik3r5,Pi4kb,Plcd3,Inpp5e,Pik3r3
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.00726197166918729	-4.92510390723868	58	39	0.0737240075614367	529	1039	114713,104111,73910,105445,224092,216363,109934,216439,70314,67299,11517,380711,13430,66922,11513,23881,270192,76088,432530,11516,56533,11891,210044,11512,210293,11515,66687,11514,319899,224129,117600,69993,99326,110279,66691,208869,14687,104110,69632	Rasa2,Adcy3,Arhgap18,Dock9,Lsg1,Rab3ip,Abr,Agap2,Rabep2,Dock7,Adcyap1r1,Rap1gap2,Dnm2,Rras2,Adcy7,G3bp2,Rab6b,Dock8,Adcy1,Adcyap1,Rgs17,Rab27a,Adcy2,Adcy6,Dock10,Adcy9,Tbc1d15,Adcy8,Dock6,Adcy5,Srgap1,Chn2,Garnl3,Bcr,Gapvd1,Dock3,Gnaz,Adcy4,Arhgef12
MOUSE_GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.0171776695114041	-4.06414502288453	6	6	0.0113421550094518	529	1039	74091,26384,67432,245847,67980,50798	Npl,Gnpda1,Hoga1,Amdhd2,Gnpda2,Gne
MOUSE_PWY66-241	bupropion degradation	0.0172906764676809	-4.05758785525872	36	25	0.0472589792060491	529	1039	13095,56388,13075,13099,72082,226105,13094,13114,13088,100041375,13106,71519,13109,13105,13097,13085,107141,13113,74134,13101,13096,13090,13076,53973,13098	Cyp2c29,Cyp3a25,Cyp19a1,Cyp2c40,Cyp2c55,Cyp2c70,Cyp2b9,Cyp3a16,Cyp2b10,Cyp3a41b,Cyp2e1,Cyp2u1,Cyp2j5,Cyp2d9,Cyp2c38,Cyp2a12,Cyp2c50,Cyp3a13,Cyp2s1,Cyp2d10,Cyp2c37,Cyp2b19,Cyp1a1,Cyp3a41a,Cyp2c39
MOUSE_PWY-4081	glutathione redox reactions I	0.0218073870441923	-3.82550651134739	9	8	0.0151228733459357	529	1039	625249,14776,14782,14778,67305,75512,69590,14780	Gpx4,Gpx2,Gsr,Gpx3,Gpx7,Gpx6,Gpx8,Gpx5
MOUSE_PWY66-221	nicotine degradation III	0.0293962173964796	-3.52688927289859	44	29	0.054820415879017	529	1039	13101,74134,13113,13098,53973,13076,13090,13096,13105,13109,71519,107141,94284,13085,13097,13088,13106,223337,100041375,22238,13099,56388,13075,394436,13095,13114,13094,226105,72082	Cyp2d10,Cyp2s1,Cyp3a13,Cyp2c39,Cyp3a41a,Cyp1a1,Cyp2b19,Cyp2c37,Cyp2d9,Cyp2j5,Cyp2u1,Cyp2c50,Ugt1a6a,Cyp2a12,Cyp2c38,Cyp2b10,Cyp2e1,Ugt3a2,Cyp3a41b,Ugt2b5,Cyp2c40,Cyp3a25,Cyp19a1,Ugt1a1,Cyp2c29,Cyp3a16,Cyp2b9,Cyp2c70,Cyp2c55
MOUSE_PWY-5148	acyl-CoA hydrolysis	0.0366302410878337	-3.30688112050863	11	9	0.0170132325141777	529	1039	26897,99035,64833,171282,70025,217698,171210,217700,170789	Acot1,Olah,Acot10,Acot4,Acot7,Acot5,Acot2,Acot6,Acot8
MOUSE_PWY6666-2	dopamine degradation	0.0387822076446408	-3.24979370338616	8	7	0.0132325141776938	529	1039	12846,791260,20887,17161,26358,11669,69156	Comt,Tomt,Sult1a1,Maoa,Aldh1a7,Aldh2,Comtd1
MOUSE_PWY66-201	nicotine degradation II	0.039256304638859	-3.23764321991134	50	32	0.0604914933837429	529	1039	13095,22238,13099,56388,394436,13075,72082,13114,13094,226105,13088,223337,100041375,14263,13106,13109,71519,13105,13085,14262,13097,107141,94284,13113,13101,74134,13090,226564,13096,13098,53973,13076	Cyp2c29,Ugt2b5,Cyp2c40,Cyp3a25,Ugt1a1,Cyp19a1,Cyp2c55,Cyp3a16,Cyp2b9,Cyp2c70,Cyp2b10,Ugt3a2,Cyp3a41b,Fmo5,Cyp2e1,Cyp2j5,Cyp2u1,Cyp2d9,Cyp2a12,Fmo3,Cyp2c38,Cyp2c50,Ugt1a6a,Cyp3a13,Cyp2d10,Cyp2s1,Cyp2b19,Fmo4,Cyp2c37,Cyp2c39,Cyp3a41a,Cyp1a1
MOUSE_LYSINE-DEG1-PWY	lysine degradation II	0.0668243189182579	-2.70568820902918	4	4	0.00756143667296786	529	1039	109232,23923,18293,30956	Sccpdh,Aadat,Ogdh,Aass
