TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR001452	SH3_domain	1.98588901305505e-16	-36.1552948085085	218	165	0.0169196062346185	9752	20062	17972,17207,24057,17921,17973,622434,54673,21682,22324,77669,23859,210274,71893,99662,78473,75415,27059,12988,14191,75739,17996,21873,21872,226970,14302,338372,17974,11352,13860,170625,20409,56524,14784,13043,13518,18003,329416,108100,213649,237353,11308,13169,16443,12143,78514,14360,14218,72828,53972,319262,330662,94176,51789,227700,15163,117600,52906,16796,22325,12929,223435,18708,19200,268932,380698,545156,70097,66616,67742,26403,105835,71972,53618,268396,56324,71520,12297,20404,333654,20403,57329,230972,218397,71302,13644,214459,207278,225608,329165,59009,12295,11350,218038,237611,20844,231760,234214,17910,217154,328967,109620,20408,320664,238455,227157,12296,50997,17969,216445,238130,27375,234878,11426,77799,17970,20411,18803,71602,13383,19041,54126,23970,21981,68813,15468,100213,14027,208869,12488,54324,235406,23969,219140,20740,98402,207777,58234,211914,53310,330914,234779,20405,18810,269016,12928,259302,22165,12298,17444,74103,544817,242594,57257,22612,23880,71544,13196,20410,13385,54353,14269,338366,20779,20491,171207	Ncf4,Mcf2l,Sh3yl1,Myo7a,Nck1,Arhgef26,Sh3glb1,Tec,Vav1,Arhgef38,Dlg2,Shank2,Noxo1,Eps8l3,Skap1,Arhgap12,Sh3d19,Csk,Fgr,Mpp7,Neb,Tjp2,Tjp1,Arhgef4,Frk,Map3k9,Nck2,Abl2,Eps8,Snx18,Ostf1,Pals2,Grb2,Cttn,Dst,Nedd9,Nostrin,Baiap2,Arhgef19,Sh3rf3,Abi1,Dbnl,Itsn1,Blk,Arhgap10,Fyn,Sh3pxd2a,Ubash3b,Ngef,Fchsd1,Dock1,Dock2,Tnk2,Sh3glb2,Hcls1,Srgap1,Ahi1,Lasp1,Vav2,Crkl,Trio,Pik3r1,Pstpip1,Caskin1,Obscn,Kalrn,Sash1,Snx9,Samsn1,Map3k11,Sgsm3,Dnmbp,Fut8,Sh3pxd2b,Stam2,Grap,Cacnb3,Sh3gl2,Ppp1r13l,Itsn2,Otor,Arhgef16,Rasa1,Arhgap26,Efs,Fnbp1l,Fchsd2,Sh3tc2,Abi2,Sh3rf1,Cacnb1,Abl1,Amph,Stac3,Stam,Rimbp2,Sorbs2,Myo15a,Stac2,Arhgef37,Dsp,Sh3gl3,Cass4,Macc1,Mpp4,Cacnb2,Mpp2,Ncf1,Arhgap9,Dock4,Tjp3,Map3k21,Macf1,Sla2,Ncf2,Sorbs1,Plcg1,Myo1e,Dlg1,Ppl,Arhgef7,Pacsin2,Ppp1r13b,Dock5,Prmt2,Rusc2,Evpl,Dock3,Cd2ap,Arhgef5,Snx33,Pacsin1,Spata13,Sptan1,Sh3bp4,Tspoap1,Shank3,Asap2,Dlg3,Arhgap32,Plcg2,Sh3gl1,Plec,Sh3rf2,Crk,Srgap3,Txk,Cacnb4,Grap2,Nebl,Arhgap27,Fyb2,Vav3,Yes1,Fyb1,Arhgap42,Asap1,Sorbs3,Dlg4,Skap2,Fnbp1,Mia3,Src,Sla,Arhgap4
IPR011993	PH-like_dom_sf	6.90120602646376e-16	-34.9096653051309	415	282	0.0289171452009844	9752	20062	57915,268534,16560,216445,18015,225372,54357,11820,23797,210376,233765,16452,99031,319710,24001,213522,22350,210789,52666,83435,210710,13821,20741,17910,103967,442801,218397,71302,20663,268747,231532,13131,232237,69632,16800,14388,14026,20650,30938,21961,243621,16367,78255,333605,56349,71544,13196,72789,71310,72469,71810,18201,384783,19877,69239,54324,76303,54126,140579,71729,27280,227737,13800,19258,114713,98432,234779,211914,210293,101476,216527,76117,77531,21844,213783,109294,73728,67826,98496,213649,217866,226971,13429,237542,99662,70292,18223,232970,17207,622434,385354,107022,71435,224014,13132,226970,13605,26377,234353,16370,11804,545156,100273,140580,80877,17698,114715,20742,216859,224093,67016,241075,75292,13824,232288,27062,59035,223435,223254,380698,26557,71801,353047,269587,18799,101497,277360,26382,76829,13822,226751,26556,114716,17909,239027,19250,245666,240505,244867,19418,73178,78514,69710,242506,22325,223332,241639,14083,19878,228788,100037278,269198,245684,18803,75974,19249,80297,72754,58996,224860,70676,226245,217169,215280,224650,106766,271849,110596,72569,230972,19159,72145,226250,54610,20403,20662,223752,544817,232227,57257,27260,70549,50780,56792,102075,231999,18141,71096,74486,18805,50915,110279,68732,320129,54353,227120,71720,320495,77300,233315,20947,240753,319934,102098,212285,24000,106877,13998,100045792,545622,109135,26936,219140,319939,623279,213990,327826,380921,13860,57267,19417,216439,11784,29809,347722,14783,66696,74309,18222,18760,74002,21682,101540,22324,106952,11652,13430,109934,235283,17921,54384,100017,70381,208177,269615,227743,20649,54519,78473,69601,546134,230837,75415,232201,67602,227800,56193,64291,19229,625638,75547,71704,209039,26422,268783,70729,23921,79196,218952,228564,11787,105445,19157,13823,16923,209630,666060,67220,16443,218203,53972,381605	Tbc1d1,Sntg2,Kif1a,Arhgap9,Nf1,Apbb3,Epb41l4b,App,Akt3,Mtmr9,Plekha7,Jak2,Osbpl6,Frmd6,Tiam2,Plekhg6,Ezr,Tbc1d4,Arhgef25,Plekha3,Gab3,Epb41l1,Sptb,Myo15a,Dnm3,Arhgef15,Rasa1,Arhgap26,Sos2,Carmil3,Arhgap24,Dab1,Fgd5,Arhgef12,Arhgef2,Gab1,Evl,Sntb2,Fgd3,Tns1,Iqsec3,Irs1,Ralgps2,Frmpd4,Net1,Arhgap42,Asap1,Veph1,Tbc1d9,Plcd3,Ranbp3,Nsmaf,Irs2,Rock1,Pdzph1,Arhgef5,Osbp,Arhgef7,Elmo2,Rgs12,Phlda3,Niban2,Enah,Ptpn4,Rasa2,Phlpp1,Plcg2,Asap2,Dock10,Plekha1,Ccm2,Arhgap15,Anks1b,Tiam1,Plekhg1,Prex2,Psd,Snap47,Pid1,Arhgef19,Cdc42bpb,Plekhb2,Dnm1,Osbpl8,Eps8l3,Afap1,Numbl,Phldb3,Mcf2l,Arhgef26,Frmd7,Gramd2b,Arhgap21,Fgd4,Dab2,Arhgef4,Ect2,Dapp1,Psd3,Irs4,Aplp2,Kalrn,Osbpl9,Elmo1,Lrba,Msn,Spred1,Sptbn1,Acap1,Fam43a,Tbc1d2b,Plekhm3,Prkd3,Epb41l4a,Frmd4b,Cadps,Carm1,Trio,Farp1,Obscn,Homer2,Plekhf2,Plekhm1,Epb41,Plcd1,Plekhg2,Prex1,Fgd2,Dok5,Epb41l2,Cdc42bpa,Homer1,Spred2,Myo10,Arhgap22,Ptpn14,Iqsec2,Cdc42bpg,Arhgap20,Rasgrf2,Wasl,Arhgap10,Arap1,Frmd3,Vav2,Ranbp3l,Fermt1,Ptk2,Rock2,Ccm2l,Niban3,Nbeal1,Cnksr2,Plcg1,Dock11,Ptpn13,Sptbn4,Arhgef10l,Arhgap23,Plcl2,Gulp1,Plekhs1,Tns4,Wipf1,Anks1,Stap2,Shc4,Arhgef28,Bbs5,Arhgef16,Cyth3,Wdfy3,Afap1l2,Tbc1d8,Itsn2,Sos1,Gramd4,Arhgap27,Iqsec1,Vav3,Plek2,Tln2,Rgs3,Stap1,Plekhg4,Plekha8,Nup50,Sntg1,Osbpl10,Pld1,Grb14,Bcr,Carmil1,Grk3,Skap2,Plcl1,Osbpl3,Ipcef1,Raph1,Mtmr10,Swap70,Plekha6,Sbf2,Arhgef18,Arap2,Ptpn21,Afap1l1,Fgd6,Ect2l,Ptpn3,Plekha5,Mprip,Spata13,Tns3,Dok6,Agap3,Frs2,Dgkh,Eps8,Apba3,Rasgrf1,Agap2,Apba2,Rabgap1l,Agap1,Grb10,Snx31,Osbp2,Numb,Prkd1,Psd2,Tec,Prkd2,Vav1,Arap3,Akt2,Dnm2,Abr,Gramd1b,Myo7a,Mtmr7,Ldlrap1,Tecpr1,Phldb2,Plch2,Mapkap1,Sntb1,Apbb1ip,Skap1,Dab2ip,Gramd2a,Asap3,Arhgap12,Arhgap25,Necap1,Rabgap1,Plek,Osbpl1a,Ptk2b,Fam43b,Akap13,Arhgef3,Tns2,Nbea,Mtmr12,Nos1ap,Sh2b2,Osbpl5,Fermt2,Frmd5,Apbb2,Dock9,Cyth1,Epb41l3,Sh2b3,Frmd4a,Frmpd1,Plekho1,Itsn1,Mylip,Ngef,Tbc1d2
IPR036028	SH3-like_dom_sf	2.18549609908323e-15	-33.7569335444992	210	158	0.0162018047579984	9752	20062	56324,268396,12297,71520,20404,13644,230972,57329,71302,218397,20403,333654,214459,207278,218038,12295,11350,329165,59009,225608,231760,234214,17910,20844,237611,328967,217154,320664,20408,17969,50997,12296,227157,238130,216445,27375,77799,234878,17970,71602,13383,18803,20411,23970,54126,21981,100213,15468,68813,54324,12488,208869,219140,20740,23969,235406,58234,207777,98402,234779,53310,330914,211914,22165,259302,12928,20405,269016,12298,17444,242594,544817,74103,23880,57257,22612,13385,20410,13196,71544,14269,338366,54353,20491,20779,171207,24057,17207,17972,622434,17973,17921,77669,21682,54673,22324,99662,71893,23859,210274,78473,12988,27059,75415,17996,21873,75739,14191,17974,338372,226970,14302,21872,170625,13860,11352,56524,20409,13043,14784,108100,18003,329416,237353,213649,11308,16443,13169,14360,78514,12143,14218,330662,53972,72828,319262,227700,51789,94176,16796,52906,117600,15163,12929,22325,19200,18708,223435,380698,268932,545156,70097,66616,105835,26403,67742,53618,71972	Stam2,Sh3pxd2b,Cacnb3,Grap,Sh3gl2,Efs,Arhgef16,Otor,Arhgap26,Rasa1,Itsn2,Ppp1r13l,Fnbp1l,Fchsd2,Amph,Cacnb1,Abl1,Abi2,Sh3rf1,Sh3tc2,Rimbp2,Sorbs2,Myo15a,Stam,Stac3,Arhgef37,Stac2,Cass4,Sh3gl3,Ncf1,Mpp2,Cacnb2,Mpp4,Dock4,Arhgap9,Tjp3,Sla2,Map3k21,Ncf2,Myo1e,Dlg1,Plcg1,Sorbs1,Pacsin2,Arhgef7,Ppp1r13b,Rusc2,Prmt2,Dock5,Arhgef5,Cd2ap,Dock3,Spata13,Sptan1,Pacsin1,Snx33,Shank3,Tspoap1,Sh3bp4,Plcg2,Dlg3,Arhgap32,Asap2,Txk,Srgap3,Crk,Sh3gl1,Sh3rf2,Cacnb4,Grap2,Fyb2,Arhgap27,Nebl,Fyb1,Vav3,Yes1,Dlg4,Sorbs3,Asap1,Arhgap42,Fnbp1,Mia3,Skap2,Sla,Src,Arhgap4,Sh3yl1,Mcf2l,Ncf4,Arhgef26,Nck1,Myo7a,Arhgef38,Tec,Sh3glb1,Vav1,Eps8l3,Noxo1,Dlg2,Shank2,Skap1,Csk,Sh3d19,Arhgap12,Neb,Tjp2,Mpp7,Fgr,Nck2,Map3k9,Arhgef4,Frk,Tjp1,Snx18,Eps8,Abl2,Pals2,Ostf1,Cttn,Grb2,Baiap2,Nedd9,Nostrin,Sh3rf3,Arhgef19,Abi1,Itsn1,Dbnl,Fyn,Arhgap10,Blk,Sh3pxd2a,Dock1,Ngef,Ubash3b,Fchsd1,Sh3glb2,Tnk2,Dock2,Lasp1,Ahi1,Srgap1,Hcls1,Crkl,Vav2,Pstpip1,Pik3r1,Trio,Obscn,Caskin1,Kalrn,Sash1,Snx9,Sgsm3,Map3k11,Samsn1,Fut8,Dnmbp
IPR013098	Ig_I-set	5.69539727150565e-13	-28.1939478565099	130	103	0.0105619360131255	9752	20062	19876,242050,107448,210801,26564,20320,71306,13508,320772,75426,235472,98733,233186,107250,26563,84004,53870,330222,320398,545370,15530,12661,14186,18595,192198,319504,235106,68753,330908,268902,18213,18212,19280,229715,22329,67703,60367,14184,244682,19289,100042150,14183,20348,241568,14182,107449,12805,18488,238205,22253,74762,211323,16206,13176,170643,14254,16177,237979,13723,223435,18007,72333,380698,545156,170721,272381,16981,68810,18198,19266,17929,80749,22138,17967,242384,242702,57810,17930,56741,269959,69675,269784,66601,77739,19272,233067,19649,225638,17968,320747,269473,74144,268890,16542,117606,70530,16980,269116,29817,19268,16979,68802,235402	Robo1,Igsf10,Unc5a,Unc5d,Ror2,Nptn,Mfap3l,Dscam,Mdga2,Igfbpl1,Prtg,Obsl1,Siglecf,Kazald1,Ror1,Mcam,Cntn6,Sdk1,Lrig3,Hmcn1,Hspg2,Chl1,Fgfr4,Pdgfra,Lrrc4,Nrcam,Ntm,Mybphl,Opcml,Robo2,Ntrk3,Ntrk2,Ptprs,Amigo1,Vcam1,Kirrel3,Il1rapl2,Fgfr3,Cntn5,Igdcc3,Nrg2,Fgfr2,Sema3c,Lrrc4c,Fgfr1,Unc5b,Cntn1,Cntn3,Lrfn5,Unc5c,Mdga1,Nrg1,Lrig1,Dcc,Kirrel1,Flt1,Il1r1,Sdk2,Emb,Trio,Neo1,Palld,Obscn,Kalrn,Papln,Lrrc4b,Lrrn3,Nexn,Musk,Ptprd,Myom1,Lrfn1,Ttn,Ncam1,Lingo2,Myom3,Cdon,Myom2,Igdcc4,Adamtsl3,Pxdn,Cntn4,Tmigd1,Adamtsl1,Ptprk,Lrfn3,Robo3,Alpk2,Ncam2,Lingo4,Lrig2,Robo4,Lsamp,Kdr,Boc,Lrfn2,Lrrn2,Nfasc,Igfbp7,Ptprf,Lrrn1,Mypn,Lingo1
IPR001849	PH_domain	1.47284512117829e-11	-24.9412400361428	259	179	0.0183552091878589	9752	20062	76829,226751,18799,353047,26382,277360,101497,223435,71801,380698,223254,20742,140580,100273,545156,27062,75292,241075,216859,67016,241639,22325,19418,69710,78514,239027,17909,244867,240505,245666,73728,217866,21664,213649,109294,213783,21844,76117,26377,16370,234353,71435,226970,224014,232970,17207,622434,226971,70292,237542,13429,13196,72789,71544,72469,78255,56349,16367,30938,20650,69632,232237,16800,14388,101476,211914,234779,98432,210293,227737,27280,54126,140579,114713,384783,76303,69239,54324,19877,23797,99031,233765,268534,216445,16560,20663,71302,218397,231532,103967,20741,83435,52666,210710,213522,24001,218952,79196,19157,105445,23921,64291,56193,71704,75547,232201,53972,381605,16443,67220,14783,347722,74309,216439,380921,19417,623279,213990,69601,78473,54519,75415,230837,208177,20649,269615,13430,109934,21682,22324,101540,74002,18760,11652,106952,50915,74486,18805,54353,320129,110279,231999,102075,71096,27260,56792,544817,57257,219140,109135,26936,319934,20947,240753,13998,106877,212285,102098,71720,227120,77300,320495,80297,100037278,226525,75974,18803,245684,19878,20403,226250,19159,230972,20662,106766,110596,226245,224860,58996	Dok5,Cdc42bpa,Plcd1,Plekhm1,Fgd2,Prex1,Plekhg2,Trio,Plekhf2,Obscn,Farp1,Sptbn1,Elmo1,Osbpl9,Kalrn,Cadps,Prkd3,Plekhm3,Acap1,Tbc1d2b,Fermt1,Vav2,Rasgrf2,Arap1,Arhgap10,Arhgap22,Myo10,Arhgap20,Cdc42bpg,Iqsec2,Psd,Cdc42bpb,Phlda1,Arhgef19,Prex2,Plekhg1,Tiam1,Arhgap15,Dapp1,Irs4,Psd3,Arhgap21,Arhgef4,Fgd4,Phldb3,Mcf2l,Arhgef26,Plekhb2,Afap1,Osbpl8,Dnm1,Asap1,Veph1,Arhgap42,Plcd3,Ralgps2,Net1,Irs1,Fgd3,Sntb2,Arhgef12,Fgd5,Arhgef2,Gab1,Plekha1,Asap2,Plcg2,Phlpp1,Dock10,Niban2,Phlda3,Arhgef7,Elmo2,Rasa2,Irs2,Osbp,Pdzph1,Arhgef5,Rock1,Akt3,Osbpl6,Plekha7,Sntg2,Arhgap9,Kif1a,Sos2,Arhgap26,Rasa1,Arhgap24,Dnm3,Sptb,Plekha3,Arhgef25,Gab3,Plekhg6,Tiam2,Fermt2,Osbpl5,Cyth1,Dock9,Sh2b2,Osbpl1a,Plek,Arhgef3,Akap13,Arhgap25,Ngef,Tbc1d2,Itsn1,Plekho1,Grb10,Agap1,Osbp2,Agap2,Dgkh,Rasgrf1,Dok6,Agap3,Dab2ip,Skap1,Apbb1ip,Arhgap12,Asap3,Phldb2,Sntb1,Plch2,Dnm2,Abr,Tec,Vav1,Prkd2,Psd2,Prkd1,Akt2,Arap3,Grb14,Osbpl10,Pld1,Skap2,Grk3,Bcr,Plekha8,Plekhg4,Sntg1,Plek2,Stap1,Arhgap27,Vav3,Spata13,Plekha5,Mprip,Sbf2,Swap70,Plekha6,Fgd6,Afap1l1,Arap2,Arhgef18,Osbpl3,Plcl1,Raph1,Ipcef1,Sptbn4,Niban3,Rasal2,Dock11,Plcg1,Cnksr2,Rock2,Itsn2,Afap1l2,Cyth3,Arhgef16,Sos1,Stap2,Arhgef28,Plekhs1,Plcl2,Arhgap23
IPR000884	TSP1_rpt	3.67218209356306e-11	-24.0276499616555	65	57	0.00584495488105004	9752	20062	110382,210933,72780,23794,210801,107448,107831,170721,279028,319909,237360,22403,269959,22402,228770,214425,18133,100689,545370,208936,239405,239337,68709,101401,233744,14219,107449,240322,330267,30806,229595,11504,20357,21825,223838,77739,108153,12274,207596,21826,230775,216725,240913,192199,109828,108154,77794,12279,210417,16007,330119,235130,20356,22253,217738,226866,327743	C8b,Adgrb3,Rspo3,Adamts5,Unc5d,Unc5a,Adgrb1,Papln,Adamts13,Ism1,Adamts14,Ccn5,Adamtsl3,Ccn4,Rspo4,Cilp,Ccn3,Spon2,Hmcn1,Adamts18,Rspo2,Adamts12,Cilp2,Adamts9,Spon1,Ccn2,Unc5b,Adamts19,Thsd7a,Adamts8,Adamtsl4,Adamts1,Sema5b,Thbs1,Adamts20,Adamtsl1,Adamts7,C6,Thsd4,Thbs2,Adgrb2,Adamts2,Adamts4,Rspo1,C7,Adamts6,Adamtsl2,C9,Thsd7b,Ccn1,Adamts3,Adamts15,Sema5a,Unc5c,Ism2,Sbspon,Ccn6
IPR036383	TSP1_rpt_sf	6.65841418606283e-11	-23.4325546769357	64	56	0.00574241181296144	9752	20062	108153,12274,207596,20357,21825,223838,77739,107449,240322,30806,330267,229595,11504,210417,16007,330119,235130,20356,22253,327743,217738,226866,12279,240913,109828,192199,108154,77794,21826,230775,216725,107831,170721,279028,319909,237360,210801,107448,110382,210933,72780,23794,68709,101401,14219,233744,545370,100689,208936,239337,239405,18133,22403,269959,22402,214425	Adamts7,C6,Thsd4,Sema5b,Thbs1,Adamts20,Adamtsl1,Unc5b,Adamts19,Adamts8,Thsd7a,Adamtsl4,Adamts1,Thsd7b,Ccn1,Adamts3,Adamts15,Sema5a,Unc5c,Ccn6,Ism2,Sbspon,C9,Adamts4,C7,Rspo1,Adamts6,Adamtsl2,Thbs2,Adgrb2,Adamts2,Adgrb1,Papln,Adamts13,Ism1,Adamts14,Unc5d,Unc5a,C8b,Adgrb3,Rspo3,Adamts5,Cilp2,Adamts9,Ccn2,Spon1,Hmcn1,Spon2,Adamts18,Adamts12,Rspo2,Ccn3,Ccn5,Adamtsl3,Ccn4,Cilp
IPR003961	FN3_dom	2.53506398419625e-09	-19.7930469599077	201	139	0.014253486464315	9752	20062	19277,28105,14268,246154,16981,380698,22283,18007,16160,333564,545156,12816,13841,56741,56079,68655,21687,237523,16155,269784,16157,80749,13838,19266,17929,15976,17967,320712,242702,57810,17930,22138,23920,73368,19274,70530,218624,19263,16980,117606,330863,19649,233067,12982,19264,17289,12983,13837,19272,20660,213208,16161,71436,17968,68169,16880,16001,74144,399558,94090,16199,215494,70911,78911,19283,12818,545902,16190,13840,54343,13857,66873,269116,270190,319636,13836,16979,23947,14066,19268,52020,16337,16197,320974,21923,57914,53870,98733,235472,242235,19876,396184,19281,13508,320772,242700,13845,16195,81877,207777,68753,19271,19886,268902,13846,16162,319448,13839,16164,330222,319504,12661,18414,12835,72007,16194,13844,15980,12805,329278,60504,13842,16192,19280,19116,246228,21960,244682,19289,13176,13848,237979,231760,19270,18488,235086,74762,237313,14600	Ptpro,Trim36,Fn1,Vasn,Lrrn3,Obscn,Ush2a,Neo1,Il12b,Fndc3c1,Kalrn,Col12a1,Epha7,Igdcc4,Astn2,Fndc1,Tek,Ptprq,Il10rb,Cntn4,Il11ra1,Lrfn1,Epha4,Ptprd,Myom1,Ifnar2,Ncam1,Abi3bp,Myom3,Cdon,Myom2,Ttn,Insrr,Col20a1,Ptprm,Lrfn2,Il31ra,Ptprb,Lrrn2,Boc,Trim67,Robo3,Lrfn3,Csf2ra,Ptprc,Mertk,Csf2rb,Epha3,Ptprk,Sorl1,Il20rb,Il12rb1,Flrt3,Ncam2,Ndnf,Lifr,Igf1r,Robo4,Flrt2,Trim9,Il9r,Pomgnt2,Phyhipl,Trim42,Ptprz1,Col14a1,Ptprh,Il4ra,Epha6,Atf7ip,Epor,Tril,Nfasc,Ephb1,Fsd1l,Epha2,Lrrn1,Mid2,F3,Ptprf,Umodl1,Insr,Il7r,Lrrn4,Tnc,Crlf2,Cntn6,Obsl1,Prtg,Lrit3,Robo1,Flrt1,Ptprt,Dscam,Mdga2,Ifnlr1,Ephb3,Il6st,Tnxb,Tspoap1,Mybphl,Ptprj,Ros1,Robo2,Ephb4,Il12rb2,Fndc3a,Epha5,Il13ra1,Sdk1,Nrcam,Chl1,Osmr,Col6a3,Fndc3b,Il6ra,Ephb2,Ifngr2,Cntn1,Tnn,Il21r,Epha8,Il5ra,Ptprs,Prlr,Vwa1,Tnr,Cntn5,Igdcc3,Dcc,Ephb6,Sdk2,Rimbp2,Ptprg,Cntn3,Igsf9b,Mdga1,Il20ra,Ghr
IPR009030	Growth_fac_rcpt_cys_sf	6.11074991371391e-09	-18.9132163358256	121	90	0.00922887612797375	9752	20062	70445,330723,22242,215378,18129,16009,228770,54003,13841,216616,108075,239405,17183,16773,73182,16971,19128,18553,231014,23920,18552,16679,13649,13837,14107,64706,13869,16001,18131,634731,23876,20563,13840,14119,12614,12279,20564,50766,270190,338352,29817,329628,16337,13836,75426,16011,16449,56213,72780,107250,114249,58859,16008,16998,18074,170788,22402,22403,18133,13846,545370,13645,13839,75740,14219,13867,17181,14725,14114,229722,268977,13844,16006,241324,228357,231470,192199,14118,13733,78558,17064,54485,268935,17063,22359,16007,327743,18550,56788,94217	Cd248,Htra4,Umod,Brinp3,Notch2,Igfbp3,Rspo4,Nell2,Epha7,Efemp1,Ltbp4,Rspo2,Matn4,Lama2,Pear1,Lrp1,Pros1,Pcsk6,Elapor2,Insrr,Pcsk5,Krt86,Egfr,Epha3,Fat1,Scube1,Erbb4,Igf1r,Notch3,Susd1,Fbln5,Slit2,Epha6,Fbn2,Celsr1,C9,Slit3,Crim1,Ephb1,Nell1,Igfbp7,Fat4,Insr,Epha2,Igfbpl1,Igfbp5,Jag1,Htra1,Rspo3,Kazald1,Npnt,Efemp2,Igfbp2,Ltbp3,Nid2,Crb1,Ccn4,Ccn5,Ccn3,Ephb4,Hmcn1,Egf,Epha5,Egfem1,Ccn2,Erbb3,Matn2,Lrp2,Fbln1,Elapor1,Ltbp1,Ephb2,Igfbp1,Crb2,Lrp4,Fras1,Rspo1,Fbn1,Adgre1,Htra3,Cd93,Dll4,Scube3,Muc13,Vldlr,Ccn1,Ccn6,Furin,Scube2,Lrp1b
IPR036116	FN3_sf	1.86336574320876e-08	-17.7982963521117	205	139	0.014253486464315	9752	20062	320712,242702,17930,57810,17967,22138,80749,13838,16157,17929,15976,19266,21687,68655,237523,16155,269784,13841,12816,56741,56079,545156,333564,380698,16160,22283,18007,19277,14268,28105,246154,16981,23947,13836,16979,14066,16337,19268,52020,66873,13857,23850,54343,270190,269116,319636,12818,78911,19283,13840,16190,545902,399558,70911,16199,94090,215494,213208,16161,20660,68169,74144,16880,16001,17968,19264,17289,233067,19649,12982,12983,13837,19272,19263,70530,19274,218624,117606,330863,73368,23920,319504,12661,16164,13839,330222,319448,19886,268902,16162,13846,81877,207777,19271,68753,13508,320772,19281,16195,13845,242700,242235,396184,19876,57914,53870,21923,98733,235472,16197,320974,74762,237313,14600,238205,18488,235086,231760,237979,19270,13848,13176,246228,19116,244682,19289,21960,60504,13842,16192,19280,13844,16194,15980,12805,329278,12835,18414,72007	Abi3bp,Myom3,Myom2,Cdon,Ncam1,Ttn,Lrfn1,Epha4,Il11ra1,Myom1,Ifnar2,Ptprd,Tek,Fndc1,Ptprq,Il10rb,Cntn4,Epha7,Col12a1,Igdcc4,Astn2,Kalrn,Fndc3c1,Obscn,Il12b,Ush2a,Neo1,Ptpro,Fn1,Trim36,Vasn,Lrrn3,Mid2,Epha2,Lrrn1,F3,Insr,Ptprf,Umodl1,Tril,Epor,Pappa2,Atf7ip,Ephb1,Nfasc,Fsd1l,Col14a1,Trim42,Ptprz1,Epha6,Il4ra,Ptprh,Flrt2,Phyhipl,Il9r,Trim9,Pomgnt2,Il20rb,Il12rb1,Sorl1,Ndnf,Robo4,Lifr,Igf1r,Ncam2,Ptprc,Mertk,Lrfn3,Robo3,Csf2ra,Csf2rb,Epha3,Ptprk,Ptprb,Lrfn2,Ptprm,Il31ra,Boc,Trim67,Col20a1,Insrr,Nrcam,Chl1,Il13ra1,Epha5,Sdk1,Fndc3a,Ros1,Robo2,Il12rb2,Ephb4,Tnxb,Tspoap1,Ptprj,Mybphl,Dscam,Mdga2,Ptprt,Il6st,Ephb3,Ifnlr1,Lrit3,Flrt1,Robo1,Crlf2,Cntn6,Tnc,Obsl1,Prtg,Il7r,Lrrn4,Mdga1,Il20ra,Ghr,Lrfn5,Cntn3,Igsf9b,Rimbp2,Sdk2,Ptprg,Ephb6,Dcc,Vwa1,Prlr,Cntn5,Igdcc3,Tnr,Il21r,Epha8,Il5ra,Ptprs,Ephb2,Il6ra,Ifngr2,Cntn1,Tnn,Col6a3,Osmr,Fndc3b
