TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50002	SH3	2.95702260591515e-15	-33.4545935091879	218	165	0.0245938291846773	6709	13465	17972,21682,74103,211914,218397,67742,207278,622434,19041,338366,14027,68813,13043,59009,20844,78473,268396,23969,17969,13385,12295,23859,544817,54324,14191,545156,14218,217154,105835,20410,17970,23970,12488,223435,12296,71302,21981,227157,99662,226970,12298,20403,237611,12988,94176,210274,27059,17974,27375,19200,75739,54673,117600,13196,57329,24057,18003,23880,108100,52906,75415,330914,12297,20779,21873,12143,171207,235406,17921,333654,98402,15468,330662,72828,259302,54353,208869,77669,329165,71602,320664,14360,14784,71972,13383,380698,20404,20408,238455,13518,14269,237353,328967,20409,338372,269016,234779,71520,22165,234214,13169,22612,227700,70097,20405,54126,329416,18803,57257,21872,66616,53972,20740,13644,16796,18810,213649,77799,231760,20491,50997,214459,216445,219140,14302,71544,78514,22324,11308,218038,16443,234878,18708,11352,170625,17444,58234,53618,100213,225608,51789,26403,242594,238130,268932,17910,15163,56524,53310,12928,17207,11426,230972,22325,71893,12929,109620,20411,319262,56324,11350,17973,17996,13860,207777	Ncf4,Tec,Nebl,Asap2,Rasa1,Samsn1,Fchsd2,Arhgef26,Ppl,Mia3,Evpl,Dock5,Cttn,Sh3rf1,Stam,Skap1,Sh3pxd2b,Pacsin1,Ncf1,Dlg4,Cacnb1,Dlg2,Arhgap27,Arhgef5,Fgr,Kalrn,Sh3pxd2a,Stac2,Sgsm3,Sorbs3,Ncf2,Pacsin2,Cd2ap,Trio,Cacnb2,Arhgap26,Ppp1r13b,Mpp4,Eps8l3,Arhgef4,Cacnb4,Itsn2,Stac3,Csk,Dock2,Shank2,Sh3d19,Nck2,Tjp3,Pstpip1,Mpp7,Sh3glb1,Srgap1,Asap1,Otor,Sh3yl1,Nedd9,Fyb1,Baiap2,Ahi1,Arhgap12,Arhgap32,Cacnb3,Src,Tjp2,Blk,Arhgap4,Snx33,Myo7a,Ppp1r13l,Sh3bp4,Prmt2,Dock1,Ubash3b,Srgap3,Skap2,Dock3,Arhgef38,Abi2,Myo1e,Cass4,Fyn,Grb2,Dnmbp,Dlg1,Obscn,Sh3gl2,Sh3gl3,Macc1,Dst,Fnbp1,Sh3rf3,Arhgef37,Ostf1,Map3k9,Sh3rf2,Plcg2,Grap,Txk,Sorbs2,Dbnl,Yes1,Sh3glb2,Sash1,Sh3gl1,Arhgef7,Nostrin,Plcg1,Vav3,Tjp1,Snx9,Ngef,Sptan1,Efs,Lasp1,Plec,Arhgef19,Sla2,Rimbp2,Sla,Mpp2,Fnbp1l,Arhgap9,Spata13,Frk,Arhgap42,Arhgap10,Vav1,Abi1,Amph,Itsn1,Map3k21,Pik3r1,Abl2,Snx18,Grap2,Shank3,Fut8,Rusc2,Sh3tc2,Tnk2,Map3k11,Fyb2,Dock4,Caskin1,Myo15a,Hcls1,Pals2,Dlg3,Crk,Mcf2l,Macf1,Arhgef16,Vav2,Noxo1,Crkl,Dsp,Sorbs1,Fchsd1,Stam2,Abl1,Nck1,Neb,Eps8,Tspoap1
PS50003	PH_DOMAIN	6.26716421444195e-11	-23.4931120489968	237	167	0.0248919362050976	6709	13465	56193,353047,103967,380921,239027,52666,69710,79196,212285,110279,56792,75547,56349,14388,102075,17207,106952,230972,20649,22325,19157,269615,114713,381605,18760,74486,24001,71720,241639,71435,50915,19878,213522,16443,109934,218952,277360,208177,320495,22324,216859,76117,71544,69601,226245,78514,216445,26382,219140,230837,213649,26377,101476,58996,19877,210293,99031,57257,53972,13430,54126,18803,83435,70292,226971,71096,64291,110596,30938,233765,16800,245684,75974,234779,101540,241075,20742,232970,384783,75292,19159,347722,216439,20663,380698,224014,11652,213783,268534,20741,26936,227120,54353,20662,17909,23797,72789,13429,234353,226525,23921,98432,102098,21844,237542,224860,71801,80297,20650,19417,101497,13998,226250,227737,16367,75415,240753,20947,76303,18799,13196,226751,232237,109294,231999,105445,69239,210710,54519,16560,27062,18805,223254,27260,14783,20403,226970,69632,77300,71302,74002,231532,74309,223435,73728,67220,232201,106877,217866,545156,544817,240505,78473,100273,622434,67016,213990,218397,211914,320129,319934,16370,19418,71704,109135,78255,21682	Plek,Plekhm1,Dnm3,Dgkh,Arhgap22,Arhgef25,Arap1,Osbpl5,Arap2,Bcr,Stap1,Akap13,Net1,Gab1,Plekhg4,Mcf2l,Arap3,Arhgef16,Sntb1,Vav2,Cyth1,Plch2,Rasa2,Tbc1d2,Prkd1,Osbpl10,Tiam2,Osbpl3,Fermt1,Arhgap21,Grb14,Rock2,Plekhg6,Itsn1,Abr,Fermt2,Prex1,Phldb2,Ipcef1,Vav1,Acap1,Arhgap15,Arhgap42,Dab2ip,Plekhs1,Arhgap10,Arhgap9,Fgd2,Spata13,Asap3,Arhgef19,Dapp1,Plekha1,Arhgap23,Rock1,Dock10,Osbpl6,Vav3,Ngef,Dnm2,Arhgef7,Plcg1,Plekha3,Afap1,Plekhb2,Sntg1,Osbpl1a,Arhgef28,Fgd3,Plekha7,Arhgef2,Cnksr2,Dock11,Plcg2,Prkd2,Plekhm3,Sptbn1,Phldb3,Irs2,Prkd3,Cyth3,Agap1,Agap2,Sos2,Obscn,Fgd4,Akt2,Plekhg1,Sntg2,Sptb,Mprip,Plcl1,Skap2,Sos1,Myo10,Akt3,Veph1,Dnm1,Psd3,Rasal2,Sh2b2,Phlpp1,Arhgef18,Tiam1,Osbpl8,Plcl2,Plekhf2,Sptbn4,Sntb2,Rasgrf1,Plekhg2,Fgd6,Afap1l2,Niban2,Irs1,Arhgap12,Plekha6,Swap70,Osbp,Plcd1,Asap1,Cdc42bpa,Fgd5,Prex2,Plekha8,Dock9,Pdzph1,Gab3,Apbb1ip,Kif1a,Cadps,Pld1,Farp1,Plek2,Grb10,Itsn2,Arhgef4,Arhgef12,Raph1,Arhgap26,Psd2,Arhgap24,Osbp2,Trio,Psd,Plekho1,Arhgap25,Afap1l1,Cdc42bpb,Kalrn,Arhgap27,Cdc42bpg,Skap1,Osbpl9,Arhgef26,Tbc1d2b,Agap3,Rasa1,Asap2,Grk3,Sbf2,Irs4,Rasgrf2,Arhgef3,Plekha5,Ralgps2,Tec
PS50092	TSP1	1.21754898321503e-10	-22.829011122155	65	57	0.00849605008197943	6709	13465	233744,327743,72780,101401,216725,18133,12279,223838,23794,226866,240322,239337,12274,545370,230775,319909,217738,30806,110382,210933,68709,14219,108154,170721,109828,279028,20357,77794,100689,22402,77739,21825,22403,108153,208936,192199,107449,20356,210801,11504,107448,330267,214425,229595,235130,237360,210417,228770,269959,330119,21826,107831,22253,207596,16007,239405,240913	Spon1,Ccn6,Rspo3,Adamts9,Adamts2,Ccn3,C9,Adamts20,Adamts5,Sbspon,Adamts19,Adamts12,C6,Hmcn1,Adgrb2,Ism1,Ism2,Adamts8,C8b,Adgrb3,Cilp2,Ccn2,Adamts6,Papln,C7,Adamts13,Sema5b,Adamtsl2,Spon2,Ccn4,Adamtsl1,Thbs1,Ccn5,Adamts7,Adamts18,Rspo1,Unc5b,Sema5a,Unc5d,Adamts1,Unc5a,Thsd7a,Cilp,Adamtsl4,Adamts15,Adamts14,Thsd7b,Rspo4,Adamtsl3,Adamts3,Thbs2,Adgrb1,Unc5c,Thsd4,Ccn1,Rspo2,Adamts4
PS50853	FN3	5.91892610637431e-08	-16.6425257124619	190	131	0.0195260098375317	6709	13465	70530,16195,17967,98733,81877,12982,19270,19277,13845,319636,244682,333564,74762,18488,20660,19266,12835,16199,246154,16194,12661,269116,19272,13846,13508,12805,52020,13844,13848,68753,19264,19268,72007,19289,233067,16197,56741,16190,270190,94090,545156,19280,13840,21687,16337,80749,218624,246228,17968,16192,319504,19274,213208,13842,19116,16981,15980,320974,237313,74144,16161,215494,268902,320712,17930,18414,22138,330863,16157,19283,319448,13836,207777,16880,16979,57810,330222,19263,242700,13838,68655,78911,13176,16162,13839,71436,17289,21923,117606,21960,13841,70911,19281,237979,60504,320772,545902,19876,22283,17929,13857,16001,19271,399558,12816,53870,242702,231760,28105,16155,14600,235086,19649,396184,16164,23920,57914,12818,23947,237523,235472,19886,269784,329278,54343,73368,18007,380698,13837,14268,12983	Lrfn2,Il6st,Ncam1,Obsl1,Tnxb,Csf2ra,Ptprg,Ptpro,Ephb3,Fsd1l,Cntn5,Fndc3c1,Mdga1,Cntn3,Sorl1,Ptprd,Col6a3,Il9r,Vasn,Il6ra,Chl1,Nfasc,Ptprk,Ephb4,Dscam,Cntn1,Umodl1,Ephb2,Ephb6,Mybphl,Ptprc,Ptprf,Fndc3b,Igdcc3,Lrfn3,Il7r,Igdcc4,Il4ra,Ephb1,Trim9,Kalrn,Ptprs,Epha6,Tek,Insr,Lrfn1,Il31ra,Vwa1,Ncam2,Il5ra,Nrcam,Ptprm,Il20rb,Epha8,Prlr,Lrrn3,Ifngr2,Lrrn4,Il20ra,Robo4,Il12rb1,Pomgnt2,Robo2,Abi3bp,Myom2,Osmr,Ttn,Trim67,Il11ra1,Ptprz1,Fndc3a,Epha2,Tspoap1,Lifr,Lrrn1,Cdon,Sdk1,Ptprb,Ifnlr1,Epha4,Fndc1,Trim42,Dcc,Il12rb2,Epha5,Flrt3,Mertk,Tnc,Boc,Tnr,Epha7,Phyhipl,Ptprt,Sdk2,Il21r,Mdga2,Ptprh,Robo1,Ush2a,Myom1,Epor,Igf1r,Ptprj,Flrt2,Col12a1,Cntn6,Myom3,Rimbp2,Trim36,Il10rb,Ghr,Igsf9b,Robo3,Flrt1,Il13ra1,Insrr,Crlf2,Col14a1,Mid2,Ptprq,Prtg,Ros1,Cntn4,Tnn,Atf7ip,Col20a1,Neo1,Obscn,Epha3,Fn1,Csf2rb
PS00109	PROTEIN_KINASE_TYR	3.74510004020692e-07	-14.7976473213401	96	72	0.0107318527351319	6709	13465	13837,14360,17005,21682,380698,13842,244895,11302,19229,19886,18595,244418,13869,18214,14083,26564,20187,674895,21687,23920,22165,381983,13840,14191,18213,22612,16451,18596,26563,16337,16001,14182,11682,14254,270190,13649,16542,12988,18198,17295,231876,16590,14158,20963,13844,14302,16452,14183,19882,14159,22637,243659,11352,19713,18212,20779,13846,51789,54721,12305,14186,13838,12978,13841,17289,13845,13839,11350,22138,14184,13867,13836	Epha3,Fyn,Ltk,Tec,Obscn,Epha8,Peak1,Aatk,Ptk2b,Ros1,Pdgfra,Prag1,Erbb4,Ddr2,Ptk2,Ror2,Ryk,Nek10,Tek,Insrr,Txk,Lmtk3,Epha6,Fgr,Ntrk3,Yes1,Jak1,Pdgfrb,Ror1,Insr,Igf1r,Fgfr1,Alk,Flt1,Ephb1,Egfr,Kdr,Csk,Musk,Met,Lmtk2,Kit,Fer,Syk,Ephb2,Frk,Jak2,Fgfr2,Mst1r,Fes,Zap70,Styk1,Abl2,Ret,Ntrk2,Src,Ephb4,Tnk2,Tyk2,Ddr1,Fgfr4,Epha4,Csf1r,Epha7,Mertk,Ephb3,Epha5,Abl1,Ttn,Fgfr3,Erbb3,Epha2
PS50010	DH_2	4.53339839758172e-07	-14.6066237945797	68	54	0.00804888955134893	6709	13465	52666,77669,213783,56349,75547,110279,20662,102075,442801,19417,22325,230972,21844,102098,17207,101497,72754,24001,109934,277360,16443,213522,381112,13998,232237,22324,219140,26382,109294,234094,213649,226970,69632,20403,223254,54126,53972,57257,13605,545156,54324,223435,16800,30938,110596,328967,622434,380698,224014,100045792,71972,20663,71704,19418	Arhgef25,Arhgef38,Plekhg1,Net1,Akap13,Bcr,Sos1,Plekhg4,Arhgef15,Rasgrf1,Vav2,Arhgef16,Tiam1,Arhgef18,Mcf2l,Plekhg2,Arhgef10l,Tiam2,Abr,Prex1,Itsn1,Plekhg6,Arhgef33,Fgd6,Fgd5,Vav1,Spata13,Fgd2,Prex2,Arhgef10,Arhgef19,Arhgef4,Arhgef12,Itsn2,Farp1,Arhgef7,Ngef,Vav3,Ect2,Kalrn,Arhgef5,Trio,Arhgef2,Fgd3,Arhgef28,Arhgef37,Arhgef26,Obscn,Fgd4,Ect2l,Dnmbp,Sos2,Arhgef3,Rasgrf2
PS50106	PDZ	1.05649854914723e-06	-13.7605503731546	147	102	0.0152034580414369	6709	13465	16170,19249,57267,99470,64704,245684,16886,231858,13383,74053,116837,666060,71729,16885,58996,18125,71096,14924,73750,228765,333605,21872,17356,58234,277360,54120,76089,208431,170935,24001,71435,68070,55983,72823,50997,59020,11784,217692,50780,93742,18693,170761,330723,50791,94221,116838,20649,53310,14787,20469,56524,20913,207792,215748,97998,23859,24131,545622,13385,243725,58220,239618,328329,380928,69632,227157,210274,12695,360013,59079,56513,56213,26875,78558,242274,54132,21873,74206,209047,192786,69239,75739,109294,380614,27375,108030,93737,16924,17475,268534,244668,53378,19258,118449,21844,27428,76742,107368,20650,140887,56376,227929	Il16,Ptpn13,Apba3,Magi3,Htra2,Cnksr2,Limk2,Radil,Dlg1,Grip1,Rims1,Frmpd1,Rgs12,Limk1,Arhgap23,Nos1,Sntg1,Magi1,Whrn,Sdcbp2,Frmpd4,Tjp1,Afdn,Shank3,Prex1,Gipc2,Rapgef2,Shroom4,Grid2ip,Tiam2,Arhgap21,Pdzd2,Pdzrn3,Pard3b,Mpp2,Pdzk1,Apba2,Sipa1l1,Rgs3,Pard3,Pick1,Nherf4,Htra4,Magi2,Gopc,Rims2,Sntb1,Dlg3,Rhpn1,Sipa1,Pals2,Stxbp4,BC034090,Cnksr3,Deptor,Dlg2,Ldb3,Ptpn3,Dlg4,Ppp1r9a,Pard6b,Pdzrn4,Mast4,Lmo7,Arhgef12,Mpp4,Shank2,Patj,Myo18a,Erbin,Pard6a,Htra1,Pclo,Htra3,Lrrc7,Pdlim1,Tjp2,Sipa1l3,Gipc3,Rapgef6,Pdzph1,Mpp7,Prex2,Intu,Tjp3,Lin7a,Pard6g,Lnx1,Mpdz,Sntg2,Sipa1l2,Sdcbp,Ptpn4,Synpo2,Tiam1,Shroom3,Snx27,Pdzd8,Sntb2,Lnx2,Pdlim5,Cytip
PS00107	PROTEIN_KINASE_ATP	1.48146240034047e-06	-13.4224808497078	379	234	0.0348785213891787	6709	13465	240505,56274,11477,18595,214230,17164,26397,53608,18761,53416,72388,56532,106504,24086,224105,26407,18479,75770,13842,320129,635895,14182,270190,227541,231876,17295,235344,18715,29869,67333,20393,21687,674895,217866,14191,20873,245038,245269,18596,59125,108737,12143,69635,12325,232533,20623,18212,13844,20963,14158,26405,17346,14184,329421,207565,12747,13144,13000,26408,665113,12326,69181,56613,59126,26921,70584,271697,18099,101320,19886,52163,108058,12675,75292,13837,70661,380698,20620,22390,14254,50523,11682,16542,16590,18817,110651,102626,19877,16001,223255,22165,23920,21813,270672,18755,110157,213084,51789,26403,27373,234878,19878,11352,13175,14302,74137,226778,56480,12323,19106,18762,77976,13836,269275,20877,13548,20111,13841,18750,54721,13838,26413,14083,667663,20817,78334,70425,69562,230809,21682,59041,381835,12988,18647,14841,19091,12322,12168,12166,16337,27206,545156,215303,381983,13840,16451,18751,213435,13846,105787,22637,68943,12167,19713,18712,20779,70762,435766,21812,226751,12571,14159,67071,12545,57740,223775,269019,26399,11479,70415,23797,23938,18749,13845,11482,26409,12978,58864,14186,101540,226419,225028,20874,19229,18557,338372,13869,11302,18754,17691,17005,14360,11652,16886,26415,18759,13728,18198,13649,53859,16885,56489,26559,264064,18213,109880,22612,15258,26448,382253,330177,98267,18760,66725,19092,108079,433486,16452,225724,18752,19882,14183,12534,15257,26401,13143,228012,216965,13549,11350,106763,17289,13839,12995	Cdc42bpg,Stk3,Acvr1,Pdgfra,Pak6,Mapkapk2,Map2k3,Map3k6,Prkcq,Stk39,Ripk4,Ripk3,Stk38,Tlk2,Pak2,Map3k4,Pak1,Brsk2,Epha8,Grk3,Gm7168,Fgfr1,Ephb1,Camk1d,Lmtk2,Met,Sik2,Pim2,Ulk2,Stk35,Sgk1,Tek,Nek10,Cdc42bpb,Fgr,Plk4,Dclk3,Nim1k,Pdgfrb,Nek7,Oxsr1,Blk,Dapk1,Camk2g,Stk38l,Snrk,Ntrk2,Ephb2,Syk,Fer,Map3k2,Mknk1,Fgfr3,Myo3b,Camkk2,Clk1,Dapk3,Csnk2a2,Map3k5,Tnik,Camk4,Dyrk2,Rps6ka4,Nek6,Map4k4,Pak4,Cdk15,Nlk,Dyrk4,Ros1,Camk1,Camk2d,Chuk,Prkd3,Epha3,Sik3,Obscn,Plk2,Wee1,Flt1,Lats2,Alk,Kdr,Kit,Plk1,Rps6ka3,Mapkapk3,Rock1,Igf1r,Stk24,Txk,Insrr,Tgfbr2,Map3k15,Prkch,Raf1,Cdkl3,Tnk2,Map3k11,Csnk1e,Map3k21,Rock2,Abl2,Dclk1,Frk,Nuak2,Mark1,Tbk1,Camk2b,Eif2ak2,Prkcz,Nuak1,Epha2,Acvr1c,Aurkb,Dyrk1a,Rps6ka1,Epha7,Prkca,Tyk2,Epha4,Mapk1,Ptk2,Myo3a,Srpk2,Cdk19,Csnk1g3,Cdk13,Pdik1l,Tec,Stk25,Sbk3,Csk,Cdk14,Haspin,Prkg1,Camk2a,Bmpr2,Bmpr1a,Insr,Nrk,Kalrn,Camk1g,Lmtk3,Epha6,Jak1,Prkcb,Mylk3,Ephb4,Prkaa1,Zap70,Pink1,Bmpr1b,Ret,Pim1,Src,Dclk2,Tnni3k,Tgfbr1,Cdc42bpa,Cdk6,Fes,Rps6ka6,Cdc7,Stk32c,Pim3,Stk32a,Map2k6,Acvr1b,Stk26,Akt3,Map2k5,Prkacb,Ephb3,Acvrl1,Map3k7,Csf1r,Tssk3,Fgfr4,Prkd2,Dyrk3,Map4k3,Slk,Ptk2b,Cdk18,Map3k9,Erbb4,Aatk,Prkce,Sik1,Ltk,Fyn,Akt2,Limk2,Mapk13,Prkci,Mark2,Musk,Egfr,Map3k14,Limk1,Ikbke,Hunk,Cdk8,Ntrk3,Braf,Yes1,Hipk2,Mok,Cdkl5,Taok3,Stk17b,Prkd1,Lrrk2,Prkg2,Prkaa2,Gm14151,Jak2,Mapk4,Prkcg,Mst1r,Fgfr2,Cdk1,Hipk1,Map3k1,Dapk2,Tlk1,Taok1,Dyrk1b,Abl1,Ttbk1,Mertk,Epha5,Csnk2a1
PS50888	BHLH	1.73999958828748e-06	-13.2616256813543	113	81	0.0120733343270234	6709	13465	17977,15110,17293,18109,22278,207806,11922,17927,27386,18143,11865,17869,15901,17119,11863,15903,227631,22282,13819,15214,320522,11864,18072,20788,17172,20289,15213,21413,15251,16918,18013,20893,71093,17877,17342,17859,94222,11622,21406,20787,11924,21425,18071,17121,114712,22160,20464,17173,50914,17341,21423,17681,18012,17187,84653,21412,15902,17928,79362,59058,20465,17978,50913,83383,13345,53404,11921,56198,12753,21349,17979,234219,17292,15205,272322,140489,225872,21426,17428,18142,208104	Ncoa1,Hand1,Mesp2,Mycn,Usf1,Usf3,Neurod6,Myod1,Npas3,Npas2,Bmal1,Myc,Id1,Mxd1,Arnt,Id3,Sohlh1,Usf2,Epas1,Hey2,Bhlha9,Arnt2,Nhlh2,Srebf2,Ascl1,Scx,Hey1,Tcf4,Hif1a,Mycl,Neurod2,Bhlhe40,Atoh8,Myf5,Mitf,Mxi1,Olig3,Ahr,Tcf12,Srebf1,Neurog2,Tfeb,Nhlh1,Mxd3,Ferd3l,Twist1,Sim1,Ascl2,Olig1,Bhlha15,Tcf3,Msc,Neurod1,Max,Hes7,Tcf21,Id2,Myog,Bhlhe41,Bhlhe22,Sim2,Ncoa2,Olig2,Tfap4,Twist2,Atoh7,Atoh1,Heyl,Clock,Tal1,Ncoa3,Helt,Mesp1,Hes1,Bmal2,Bhlhe23,Npas4,Tfec,Mnt,Npas1,Mlxip
PS00027	HOMEOBOX_1	2.98743145348599e-06	-12.7210965854097	185	123	0.0183335817558503	6709	13465	14029,14472,15407,103889,16873,252830,14028,18096,18516,18514,18094,16917,16871,15437,15413,22255,239102,21410,15402,18986,11878,12020,110648,18095,244813,11906,18423,16814,11859,20429,17703,15395,194588,12590,18987,246791,16372,228731,18742,223843,11695,15408,15373,27140,15423,18935,15242,15421,18740,15398,20472,74561,18992,17286,15209,15415,15372,13395,16875,18420,50916,54422,15422,18609,21908,12591,18997,16876,18736,140477,14842,22326,21405,16373,18741,16371,216285,13047,64379,71950,18091,16874,17702,15410,18994,18998,13172,13796,15285,15401,107751,18506,18999,21869,13798,15429,18508,13799,16870,13048,13390,18509,13984,14912,15284,668814,27217,15412,209448,672284,18089,104382,16392,80892,71597,18933,71468,12023,114889,18505,13392,54352,16872	Evx2,Gbx2,Hoxb1,Hoxb2,Lhx5,Obox6,Evx1,Nkx6-1,Pbx3,Pbx1,Nkx2-9,Lmx1b,Lhx3,Hoxd8,Hoxb5,Uncx,Zfhx2,Hnf1b,Hoxa5,Pou2f1,Arx,Nkx3-2,Lmx1a,Nkx3-1,Bsx,Zfhx3,Otx1,Lbx1,Phox2a,Shox2,Msx3,Hoxa10,Obox7,Cdx1,Pou2f2,Obox3,Irx2,Nkx2-4,Pitx3,Dbx2,Alx4,Hoxb13,Hmx3,Tlx3,Hoxc4,Phox2b,Hhex,Hoxc12,Pitx1,Hoxa13,Six2,Nkx6-3,Pou3f2,Meox2,Hesx1,Hoxb7,Hmx2,Dlx5,Lhx8,Otp,Irx4,Barhl1,Hoxc13,Pdx1,Tlx1,Cdx2,Pou4f2,Lhx9,Pou1f1,Dmbx1,Gsx1,Vax1,Hnf1a,Irx3,Pitx2,Irx1,Alx1,Cux1,Irx6,Nanog,Nkx2-5,Lhx6,Msx2,Hoxb3,Pou3f4,Pou4f3,Dbx1,Emx1,Mnx1,Hoxa4,Drgx,Pax4,Pou5f1,Nkx2-1,En1,Hoxd1,Pax6,En2,Lhx2,Cux2,Dlx1,Pax7,Esx1,Nkx6-2,Hlx,Gm9376,Mixl1,Hoxb4,Hoxc10,Nkx1-1,Nkx2-3,Barhl2,Isl1,Zfhx4,Isx,Prrx1,Obox1,Barx2,Vsx1,Pax3,Dlx2,Irx5,Lhx4
