TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-422475	Axon guidance	2.04005723662775e-12	-26.9180432512956	437	287	0.0668374476013041	4294	8672	19177,12835,19353,12297,12839,14174,13383,13649,19182,13430,13840,13846,13645,11350,13004,11733,20439,73699,232910,237880,240168,12289,54401,18479,54712,235584,11352,12484,53321,12982,14587,14026,13842,13837,13429,19877,22350,13000,13800,109880,13844,17390,14165,12826,14178,18645,226519,14170,226525,110596,12828,12841,72399,13867,22190,70727,16706,14388,26446,66713,17295,26440,66997,18222,223435,230126,16797,56378,20563,20779,14172,77579,214968,67300,21844,19417,12983,12840,57257,16416,18803,20404,20356,67784,19192,18708,13839,20358,12540,16542,13636,18706,16410,330662,19713,76400,64654,26403,19175,56705,16398,22339,18750,18595,384783,104099,76829,12295,13176,19179,57764,12934,107448,17463,12325,20437,16412,12661,26757,20354,17311,53378,13841,18208,208117,69632,11600,14432,211323,16885,14173,18717,20452,18187,80857,232906,18039,20130,22177,12912,218397,14360,16772,114715,18015,22186,103967,26443,53972,20346,13869,19060,20450,240672,67603,14182,19878,69601,19876,20349,17967,22325,14177,171463,12827,18761,22253,14186,20361,114713,14159,23980,26554,14180,14813,13641,226849,16184,17973,269116,15234,109700,12757,20662,12805,16191,11852,56692,19170,20742,18590,12296,18007,18596,12298,19122,16399,54126,16443,19165,231474,14811,53310,19172,110351,14783,20740,16591,327826,14184,13836,80297,13385,14586,110157,12995,14588,13639,12322,12833,83961,13838,16451,11773,16452,26445,74117,14733,16777,56438,11853,68318,319504,19171,18188,14812,73178,83379,23996,74769,26413,623279,22187,14784,17395,109676,26931,18738,16402,14183,12829,14175,20741,16590,18845,22612,19052,14179,16192,224105,11461,12323,53870,545156,270190,13637,13642,108058,19185,100042150,18673,22240,15529,16367,59029,14164,21687,17974,19649,16183,14083,13845,268902,243743,13640,76089,100986	Psmb7,Col6a3,Rac1,Cacnb3,Col9a1,Fgf3,Dlg1,Egfr,Psmc3,Dnm2,Epha6,Ephb4,Egf,Abl1,Ncan,Ank1,Siah2,Ppp2r1b,Ap2s1,1700071K01Rik,Rasgrp3,Cacna1d,Ywhab,Pak1,Plxnc1,Dusp7,Abl2,Cd24a,Cntnap1,Csf2ra,Gfra3,Evl,Epha8,Epha3,Dnm1,Rock1,Ezr,Csnk2a2,Enah,Braf,Ephb2,Mmp2,Fgf10,Col4a1,Fgf7,Pfn2,Lamc1,Fgf15,Rasal2,Arhgef28,Col4a3,Col9a3,Brap,Erbb3,Ubc,Rasgef1a,Ksr1,Gab1,Psmb3,Actr2,Met,Psma1,Psmd12,Numb,Trio,Shb,Lat,Arpc3,Slit2,Src,Fgf18,Myh10,Sema6d,Cltc,Tiam1,Rasgrf1,Csf2rb,Col9a2,Vav3,Itgb3,Plcg1,Sh3gl2,Sema5a,Plxnd1,Psme3,Pik3r1,Epha5,Sema6a,Cdc42,Kdr,Efna1,Pik3ca,Itgav,Dock1,Ret,Pbp2,Fgf23,Map3k11,Psmb6,Ranbp9,Itga2,Vegfa,Prkca,Pdgfra,Irs2,Itga9,Dok5,Cacnb1,Dcc,Psmc1,Ntn4,Dpysl2,Unc5a,Psmd7,Camk2g,Siah1a,Itgb1,Chl1,Dpysl4,Sema4d,Kitl,Sdcbp,Epha7,Ntn1,Aph1b,Arhgef12,Angpt1,Gap43,Nrg1,Limk1,Fgf2,Pip5k1c,St8sia4,Nrp2,Fgf20,Arhgap35,Nefl,Rras,Tyrobp,Creb1,Rasa1,Fyn,Lama1,Spred1,Nf1,Uba52,Dnm3,Psma6,Ngef,Sema3a,Erbb4,Ppp5c,St8sia2,Dusp5,Dusp6,Fgfr1,Rock2,Dab2ip,Robo1,Sema3e,Ncam1,Vav2,Fgf6,Il17rd,Col4a2,Prkcq,Unc5c,Fgfr4,Sema7a,Rasa2,Fes,Pebp1,Cul3,Fgf9,Grin2c,Efnb1,Ppp2r5a,Il2ra,Nck1,Nfasc,Hgf,Itga1,Clta,Sos1,Cntn1,Il5,Rhob,Lamtor3,Psmb1,Sptbn1,Pdgfa,Cacnb2,Neo1,Pdgfrb,Cacnb4,Prnp,Itga2b,Arhgef7,Itsn1,Psen2,Paqr3,Grin2a,Dlg3,Psmb4,Rap1gap,Grb10,Sptan1,Kl,Frs2,Fgfr3,Epha2,Sptbn4,Dlg4,Gfra2,Raf1,Csnk2a1,Gfra4,Efna4,Camk2a,Col6a1,Nrg4,Epha4,Jak1,Ap2m1,Jak2,Psmb2,Actr3,Gpc1,Lamb1,Rbx1,Rhoc,Aph1c,Nrcam,Psmb10,Nrtn,Grin2b,Wasl,Klb,Psmc4,Pik3cb,Mapk1,Dok6,Ubb,Grb2,Mmp9,Ank2,Ppp2r5c,Pitpna,Itga5,Fgfr2,Col4a4,Fgf4,Sptb,Kit,Plxna2,Yes1,Ppp2ca,Fgf8,Il5ra,Pak2,Actb,Camk2b,Cntn6,Kalrn,Ephb1,Efna2,Efnb2,Camk2d,Psmd4,Nrg2,Phb1,Dpysl3,Sdc2,Irs1,Psmd14,Fgf1,Tek,Nck2,Robo3,Il2,Ptk2,Ephb3,Robo2,Plxna4,Efna5,Rapgef2,Akap9
R-MMU-112316	Neuronal System	9.77336826046928e-12	-25.3513599538667	311	212	0.0493712156497438	4294	8672	140492,15481,14701,74342,240444,18195,14645,13822,16492,14396,268345,16508,12912,16500,18039,327814,20130,192167,16502,16490,223604,269587,16498,14394,14806,16504,214579,21912,12325,20510,14800,19280,16521,13169,238271,110835,11513,12295,210274,211468,16517,18750,228836,14799,20512,14693,14407,16494,11435,432530,17246,19417,18752,12287,14680,238276,80749,14688,100043507,12846,18189,11669,18751,207777,16526,11514,20511,14252,15165,110886,13823,16493,14610,66733,11423,110637,233067,109880,16522,67760,107065,233977,54376,104110,19266,23859,16535,242667,242607,19268,20111,26557,20928,328699,16539,14708,18795,105727,14700,104111,232910,14706,18693,84036,170738,11512,11448,108030,14679,226922,13821,224997,70530,16491,140493,13383,14411,12297,16519,14660,16515,214084,14702,20979,100986,67071,11449,241794,14807,14402,16516,16518,16510,108058,16538,14408,14400,14406,108071,11515,52589,12300,17161,12323,18191,12286,18796,14709,14816,67498,406218,242151,26413,98741,16485,330953,14417,14812,232333,15166,17920,110834,16534,243499,11773,16525,16497,12322,216028,72961,26556,225030,13385,242425,11438,54377,13162,110157,14811,53310,382571,12326,54393,14805,12290,12298,12296,108043,14415,231252,16511,243616,210044,18749,16499,14710,14813,74053,72258,224129,244310,72413,18190,20614,110651,16531,14401,14399,63993,56543,110862,14395	Kcnn2,Hspa8,Gng12,Lrrtm1,Kcng2,Nsf,Glul,Epb41l2,Kcna4,Gabra3,Kcnc2,Kcnd2,Creb1,Kcnb1,Nefl,Ppfia2,Rras,Nlgn1,Kcnc1,Kcna2,Kcnk9,Epb41,Kcnab2,Gabra1,Grik2,Kcnc3,Aldh5a1,Tspan7,Camk2g,Slc1a1,Gria2,Ptprs,Kcnj5,Dbnl,Kcnh5,Chrna5,Adcy7,Cacnb1,Shank2,Kcnh8,Kcnj16,Prkca,Dlgap4,Gria1,Slc1a3,Gnb2,Gabrg3,Kcna6,Chrna1,Adcy1,Mdm2,Rasgrf1,Prkcg,Cacna1b,Gnal,Akap5,Lrfn1,Gnb1,Gng5-ps,Comt,Nrxn1,Aldh2,Prkcb,Tspoap1,Kcnk2,Adcy8,Slc1a2,Flot2,Hcn1,Gabra5,Epb41l3,Kcna5,Gja10,Kcng4,Ache,Grik4,Lrfn3,Braf,Kcnj6,Slc38a2,Lrrtm2,Ppfia1,Cacng3,Adcy4,Ptprd,Dlg2,Kcnq1,Dlgap3,Slc1a7,Ptprf,Rps6ka1,Homer2,Abcc9,Gabrr3,Kcns2,Gng7,Plcb1,Slc38a1,Gng10,Adcy3,Ap2s1,Gng4,Pick1,Kcnn1,Kcnh7,Adcy6,Chrne,Lin7a,Gnai3,Kcnq5,Epb41l1,Dlgap1,Lrfn2,Kcna3,Kcnn3,Dlg1,Slc6a12,Cacnb3,Kcnj3,Gls,Kcnj12,Slc18a2,Gng2,Syt1,Akap9,Rps6ka6,Chrng,Kcng1,Grik3,Gabrb3,Kcnj15,Kcnj2,Kcnh1,Camk2d,Kcns1,Gabrr1,Gabrb1,Gabrg2,Grm5,Adcy9,Ncald,Cacng2,Maoa,Camk2b,Nrxn3,Cacna1a,Plcb2,Gng8,Grm1,Kcnv1,Panx2,Kcna10,Mapk1,Kcnb2,Kcna1,Hcn4,Gad2,Grin2b,Slc6a1,Hcn2,Myo6,Chrna3,Kcnn4,Lrrtm4,Ap2m1,Kcnk1,Kcnab1,Camk2a,Lrrtm3,Slc17a7,Homer1,Kcng3,Dlg4,Gabbr2,Chrna4,Cacng4,Slc6a3,Raf1,Grin2a,Dlg3,Kcnf1,Camk4,Gabbr1,Grik1,Cacna1e,Cacnb4,Cacnb2,Chrnb3,Gad1,Chrna9,Kcnh2,Slc6a11,Adcy2,Prkacb,Kcnab3,Gngt2,Grin2c,Grip1,Kcnk10,Adcy5,Dlgap2,Kcnmb2,Nrxn2,Snap25,Rps6ka3,Kcnma1,Gabrb2,Gabra6,Slc5a7,Kcnd3,Kcnq3,Gabra2
R-MMU-112314	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	6.01576578832903e-08	-16.6262970895239	136	98	0.0228225430833721	4294	8672	12323,18796,14709,108058,18039,14408,14400,20130,14406,11515,12300,52589,16516,14396,16518,12912,14701,100986,67071,11449,14807,18195,14402,17246,19417,17920,18752,110834,14680,11773,238276,14688,100043507,14799,14693,14407,14812,11435,432530,11513,26413,16517,18750,14394,14806,21912,12325,14800,16521,110835,109880,16522,108043,110886,12326,54393,110637,14805,11514,14811,53310,12322,13385,242425,18751,11438,54377,110157,110651,13383,14401,14399,16519,14395,16515,14702,11512,224129,11448,14679,13821,18749,14708,18795,14710,14813,14700,104111,232910,14706,18693,74053,104110,54376,231252,20111,328699,210044	Camk2b,Plcb2,Gng8,Camk2d,Nefl,Gabrr1,Gabrb1,Rras,Gabrg2,Adcy9,Cacng2,Ncald,Kcnj15,Gabra3,Kcnj2,Creb1,Gng12,Akap9,Rps6ka6,Chrng,Grik3,Nsf,Gabrb3,Mdm2,Rasgrf1,Myo6,Prkcg,Chrna3,Gnal,Ap2m1,Akap5,Gnb1,Gng5-ps,Gria1,Gnb2,Gabrg3,Grin2b,Chrna1,Adcy1,Adcy7,Mapk1,Kcnj16,Prkca,Gabra1,Grik2,Tspan7,Camk2g,Gria2,Kcnj5,Chrna5,Braf,Kcnj6,Chrnb3,Gabra5,Camk4,Gabbr1,Grik4,Grik1,Adcy8,Grin2a,Dlg3,Camk2a,Dlg4,Gabbr2,Prkcb,Chrna4,Cacng4,Raf1,Rps6ka3,Dlg1,Gabrb2,Gabra6,Kcnj3,Gabra2,Kcnj12,Gng2,Adcy6,Adcy5,Chrne,Gnai3,Epb41l1,Prkacb,Gng7,Plcb1,Gngt2,Grin2c,Gng10,Adcy3,Ap2s1,Gng4,Pick1,Grip1,Adcy4,Cacng3,Chrna9,Rps6ka1,Gabrr3,Adcy2
R-MMU-112315	Transmission across Chemical Synapses	8.31749366890034e-08	-16.3023197762204	197	134	0.0312063344201211	4294	8672	12298,16522,109880,67760,12290,12296,233977,108043,12326,110886,110637,14805,11423,54393,11514,207777,53310,20511,14811,11669,12322,72961,11438,54377,110157,13162,13385,18751,242425,16519,14399,14411,13383,110651,12297,14401,214084,16515,14395,14702,14660,63993,11448,108030,224129,11512,13821,20614,14679,14710,18795,14700,104111,105727,14813,18749,14708,74053,14706,232910,18693,14415,54376,104110,210044,328699,243616,242607,20111,231252,12323,14709,12286,18796,14400,20130,18039,327814,108058,14408,52589,12300,17161,14406,11515,14645,14396,16516,16518,12912,67071,100986,20979,14701,15481,18195,14807,14402,11449,17920,110834,18752,12287,17246,19417,100043507,14688,12846,14680,238276,11773,20512,14417,14693,14407,14812,14799,232333,432530,11435,12295,11513,16517,18750,26413,21912,214579,14394,14806,14800,20510,110835,16521,12325	Cacnb4,Kcnj6,Braf,Slc38a2,Cacna1e,Cacnb2,Ppfia1,Chrnb3,Camk4,Gabra5,Grik4,Grik1,Ache,Gabbr1,Adcy8,Tspoap1,Dlg3,Slc1a2,Grin2a,Aldh2,Camk2a,Slc17a7,Chrna4,Cacng4,Raf1,Slc6a3,Dlg4,Prkcb,Gabbr2,Kcnj3,Gabra6,Slc6a12,Dlg1,Rps6ka3,Cacnb3,Gabrb2,Slc18a2,Kcnj12,Gabra2,Gng2,Gls,Slc5a7,Chrne,Lin7a,Adcy5,Adcy6,Epb41l1,Snap25,Gnai3,Gngt2,Plcb1,Gng10,Adcy3,Slc38a1,Grin2c,Prkacb,Gng7,Grip1,Gng4,Ap2s1,Pick1,Gad1,Cacng3,Adcy4,Adcy2,Gabrr3,Slc6a11,Slc1a7,Rps6ka1,Chrna9,Camk2b,Gng8,Cacna1a,Plcb2,Gabrb1,Rras,Nefl,Ppfia2,Camk2d,Gabrr1,Ncald,Cacng2,Maoa,Gabrg2,Adcy9,Glul,Gabra3,Kcnj15,Kcnj2,Creb1,Rps6ka6,Akap9,Syt1,Gng12,Hspa8,Nsf,Grik3,Gabrb3,Chrng,Myo6,Chrna3,Prkcg,Cacna1b,Mdm2,Rasgrf1,Gng5-ps,Gnb1,Comt,Gnal,Akap5,Ap2m1,Slc1a3,Gad2,Gnb2,Gabrg3,Grin2b,Gria1,Slc6a1,Adcy1,Chrna1,Cacnb1,Adcy7,Kcnj16,Prkca,Mapk1,Tspan7,Aldh5a1,Gabra1,Grik2,Gria2,Slc1a1,Chrna5,Kcnj5,Camk2g
R-MMU-1500931	Cell-Cell communication	1.10243154891096e-07	-16.0205774117025	98	74	0.0172333488588728	4294	8672	16780,16412,17973,58235,12557,12562,23880,54353,20163,16456,320873,320865,12554,17356,18479,14784,13176,320832,93737,93742,219033,12560,16774,16782,12555,73178,94332,170643,16403,170736,19229,19353,67703,12563,12695,12388,192176,12821,18810,17974,110829,668101,109711,12565,239857,15170,11727,12558,54725,14360,74202,12488,58220,12385,19294,58998,100038947,11731,12552,56513,13508,13518,26419,22177,26415,12561,241201,29875,215654,18208,12564,18759,12387,218952	Lamb3,Itgb1,Nck1,Nectin1,Cdh17,Cdh5,Fyb1,Skap2,Rsu1,F11r,Cdh10,Cdh18,Cdh13,Afdn,Pak1,Grb2,Dcc,Sirpb1a,Pard6g,Pard3,Ang4,Cdh3,Lama3,Lamc2,Cdh15,Wasl,Cadm3,Kirrel1,Itga6,Parvb,Ptk2b,Rac1,Kirrel3,Cdh6,Patj,Ctnnd1,Flna,Col17a1,Plec,Nck2,Lims1,Sirpb1b,Actn1,Cdh9,Cadm2,Ptpn6,Ang,Cdh2,Cadm1,Fyn,Fblim1,Cd2ap,Pard6b,Ctnna1,Nectin2,Nectin3,Sirpb1c,Ang2,Cdh11,Pard6a,Dscam,Dst,Mapk8,Tyrobp,Mapk13,Cdh4,Cdh7,Iqgap1,Cdh12,Ntn1,Cdh8,Prkci,Ctnnb1,Fermt2
R-MMU-373760	L1CAM interactions	5.49840693120109e-07	-14.4136372495488	67	53	0.012342803912436	4294	8672	18187,226519,53870,16399,14432,53378,13429,13000,22350,20742,13385,80297,20779,12995,18222,103967,20740,53310,16772,11733,13004,16410,319504,13649,17967,16416,20404,22325,13430,13383,16777,19353,11773,67300,14182,12661,12805,20741,269116,16412,12757,109700,53321,16402,12484,18479,12934,109676,56705,16398,26413,232910,104099	Nrp2,Lamc1,Cntn6,Itga2b,Gap43,Sdcbp,Dnm1,Csnk2a2,Ezr,Sptbn1,Dlg4,Sptbn4,Src,Csnk2a1,Numb,Dnm3,Sptan1,Dlg3,Lama1,Ank1,Ncan,Itgav,Nrcam,Egfr,Ncam1,Itgb3,Sh3gl2,Vav2,Dnm2,Dlg1,Lamb1,Rac1,Ap2m1,Cltc,Fgfr1,Chl1,Cntn1,Sptb,Nfasc,Itgb1,Clta,Itga1,Cntnap1,Itga5,Cd24a,Pak1,Dpysl2,Ank2,Ranbp9,Itga2,Mapk1,Ap2s1,Itga9
R-MMU-8875878	MET promotes cell motility	6.13422959265505e-07	-14.3042111564501	29	27	0.00628784350256171	4294	8672	16782,16400,109905,16773,226519,16774,16777,12928,107746,19353,215449,15234,16780,217169,14083,16412,20779,67299,23928,16775,14784,17295,319939,16772,14388,12929,16398	Lamc2,Itga3,Rap1a,Lama2,Lamc1,Lama3,Lamb1,Crk,Rapgef1,Rac1,Rap1b,Hgf,Lamb3,Tns4,Ptk2,Itgb1,Src,Dock7,Lamc3,Lama4,Grb2,Met,Tns3,Lama1,Gab1,Crkl,Itga2
R-MMU-881907	Gastrin-CREB signalling pathway via PKC and MAPK	7.38578516702193e-07	-14.118538421463	392	241	0.0561248253376805	4294	8672	11607,56438,233079,26445,54140,16452,14745,14812,225642,19171,380921,18188,26931,14784,68338,22187,11820,83379,23996,26413,19052,78826,14179,20741,16590,381810,237362,14816,14183,14175,216749,14064,545156,18216,18798,12323,14062,22065,16192,18796,100042150,18673,108058,19185,14829,15560,104418,108071,26361,13617,19220,50501,18441,433292,16367,19735,59029,100986,16952,76089,16183,14083,21337,14164,21687,217369,69601,233571,110651,14182,11550,67405,171463,18761,18442,16644,14177,17967,238377,14813,14180,12374,23980,26554,227717,114713,14186,16191,320127,20662,110312,15234,226849,16184,19204,16439,15465,52666,18596,13615,18755,20742,18590,19170,56692,12671,23945,231474,16995,16591,20740,327826,19172,12424,56696,11548,14811,14527,110197,16451,14588,83961,12322,110157,14184,80297,22044,13385,14586,19417,12983,11549,14688,24111,18706,18101,100043254,208188,67168,58182,18708,19192,13618,19179,14682,18750,384783,18595,13616,16438,64654,76400,19713,26403,19175,56705,15558,21338,64214,230777,17463,12325,11600,217480,211323,14173,22045,14715,11608,269060,114229,17311,11606,65086,18039,56183,80857,12425,114715,70086,18015,22186,12912,218397,14360,240672,67603,19060,18754,243407,13614,13869,26443,14065,14174,14702,19177,14459,26946,14675,13645,13649,19182,14526,235584,18795,21333,240168,207911,54401,14744,73699,22068,237880,14587,12982,20111,14165,109880,13867,72399,226525,18430,14170,14178,233080,50780,223435,17295,26440,66997,26446,22190,70727,16706,19216,385643,14172,20779,16797,319239	Agtr1a,Rbx1,Ffar2,Psmb2,Avpr1a,Jak2,Lpar1,Grin2b,Grp,Psmb10,Dgkh,Nrtn,Ppp2r5c,Grb2,Golt1a,Ubb,App,Klb,Psmc4,Mapk1,Ppp2ca,P2ry10,Fgf8,Sptb,Kit,Lpar5,Npffr1,Grm1,Fgfr2,Fgf4,Nmur2,F2rl2,Kalrn,Ntsr1,Plcb4,Camk2b,F2r,Trpc3,Il5ra,Plcb2,Nrg2,Phb1,Camk2d,Psmd4,Grpr,Htr2c,Dgkz,Grm5,Avpr1b,Ednra,Ptgfr,Prok2,P2ry1,Nms,Irs1,Rgs2,Psmd14,Akap9,Anxa1,Rapgef2,Il2,Ptk2,Tacr2,Fgf1,Tek,Uts2r,Dab2ip,P2ry6,Rps6ka3,Fgfr1,Adra1d,Nts,Il17rd,Prkcq,P2ry2,Kng1,Fgf6,Ncam1,Gpr68,Grin2c,Fgf9,Casr,Pebp1,Cul3,Qrfp,Rasa2,Fgfr4,Il5,Dgki,Sos1,Pmch,Hgf,Ppp2r5a,Il2ra,Ptafr,Itpr2,Hrh1,Arhgef25,Pdgfrb,Edn2,Prkch,Sptbn1,Pdgfa,Psmb1,Lamtor3,Chrm3,Mgll,Paqr3,Ltb4r1,Kl,Sptan1,Frs2,Psmb4,Cck,Gpr132,Adra1b,Grin2a,Gcgr,Dgkg,Jak1,Gfra4,Nrg4,Camk2a,Raf1,Fgfr3,Sptbn4,Trh,Dlg4,Gfra2,Rasgrf1,Csf2rb,Adra1a,Gnb1,Uts2,Pik3ca,Nmbr,Nps,Ghsr,Lpar6,Prokr1,Pik3r1,Psme3,Ednrb,Psmc1,Gnaq,Prkca,Irs2,Pdgfra,Edn3,Itpr1,Fgf23,Pbp2,Ret,Map3k11,Psmb6,Ranbp9,Htr2a,Tacr3,Rgs18,Hcrtr1,Psmd7,Camk2g,Angpt1,Dgkb,Nrg1,Fgf2,Trhr,Gnrhr,Agtr1b,Dagla,Kiss1r,Kitl,Agt,Lpar3,Nefl,Nmu,Fgf20,Cckar,Spred1,Cysltr2,Nf1,Uba52,Creb1,Rasa1,Fyn,Dusp5,Dusp6,Ppp5c,Prkce,Qrfprl,Edn1,Erbb4,Psma6,F2rl3,Fgf3,Gng2,Psmb7,Gast,Trpc7,Gna14,Egf,Egfr,Psmc3,Gcg,Dusp7,Plcb1,Tac1,Rasgrp3,Mchr1,Ywhab,Gpr65,Ppp2r1b,Trpc6,1700071K01Rik,Gfra3,Csf2ra,Rps6ka1,Fgf10,Braf,Erbb3,Brap,Rasal2,Oxtr,Fgf15,Fgf7,Ffar3,Rgs3,Trio,Met,Psma1,Psmd12,Psmb3,Ubc,Rasgef1a,Ksr1,Ptger1,Kng2,Fgf18,Src,Lat,Npsr1
R-MMU-166520	Signalling by NGF	1.85129030358057e-06	-13.1996277005923	408	248	0.0577550069864928	4294	8672	19211,18553,12325,17463,22324,213649,19179,11513,18053,12929,18595,384783,18750,56705,26403,19175,75547,19713,76400,622434,64654,16334,18706,109905,432530,18708,19192,277360,20404,18803,18752,57257,17246,12983,19417,21844,67300,12366,56458,67603,240672,380698,18754,19060,16800,100102,13869,53972,26443,22186,18015,114715,14360,218397,12912,71704,18039,80857,26419,18035,319520,18717,14173,211323,11600,69632,208117,107746,17311,14587,12982,104110,11908,20111,235584,18550,104111,54401,240168,19084,232910,237880,73699,18573,13645,11512,19182,13649,14174,226970,230972,18552,19353,19730,19177,227743,14172,19088,18719,20779,12675,16797,223435,11514,66997,17295,26440,26446,14388,16706,70727,22190,72399,13867,16333,226525,30938,235402,14170,14178,109270,56716,18548,14165,54324,13605,228775,18412,109880,14179,19052,20741,16590,14175,14183,68585,18049,26931,26382,14784,18033,22187,26413,18549,74769,23996,83379,14812,18188,19171,77480,17207,18718,68318,56438,12575,20663,26445,16337,16452,11773,100986,12125,76089,14083,13712,16183,21687,14164,59029,16367,18673,12064,100042150,77647,19185,108058,83490,11515,12367,545156,12323,24001,54152,54167,98432,16192,16191,109934,20662,56484,12757,15234,210044,15370,16184,226849,224014,14180,14813,18749,26554,23980,12487,18205,114713,14186,102098,171463,108083,102626,224129,22325,14177,17967,110651,69601,14182,16451,83961,12322,14588,110157,14586,13385,80297,14184,327826,16591,20740,56349,19172,14811,17164,12326,231474,19165,18575,16443,54126,101497,18759,12928,18596,18590,20742,19170,56692	Pten,Pcsk6,Camk2g,Psmd7,Vav1,Arhgef19,Psmc1,Adcy7,Ngfr,Crkl,Pdgfra,Irs2,Prkca,Ranbp9,Map3k11,Psmb6,Akap13,Ret,Pbp2,Arhgef26,Fgf23,Ins2,Pik3ca,Rap1a,Adcy1,Pik3r1,Psme3,Prex1,Sh3gl2,Plcg1,Prkcg,Vav3,Mdm2,Csf2rb,Rasgrf1,Tiam1,Cltc,Casp2,Foxo1,Dusp6,Dusp5,Obscn,Prkce,Ppp5c,Arhgef2,Pcsk9,Erbb4,Ngef,Psma6,Uba52,Nf1,Spred1,Fyn,Rasa1,Creb1,Arhgef3,Nefl,Fgf20,Mapk8,Nfkbia,Dusp4,Pip5k1c,Fgf2,Nrg1,Angpt1,Arhgef12,Aph1b,Rapgef1,Kitl,Gfra3,Csf2ra,Adcy4,Atf1,Rps6ka1,Dusp7,Furin,Adcy3,Ywhab,Rasgrp3,Prkar1a,Ap2s1,1700071K01Rik,Ppp2r1b,Pde1a,Egf,Adcy6,Psmc3,Egfr,Fgf3,Arhgef4,Arhgef16,Pcsk5,Rac1,Ralgds,Psmb7,Mapkap1,Fgf18,Prkar2b,Pip5k1b,Src,Chuk,Lat,Trio,Adcy8,Psmd12,Met,Psma1,Psmb3,Gab1,Ksr1,Rasgef1a,Ubc,Brap,Erbb3,Ins1,Rasal2,Fgd3,Lingo1,Fgf15,Fgf7,Prr5,Mlst8,Pcsk1,Fgf10,Arhgef5,Ect2,Trib3,Sqstm1,Braf,Fgf8,Ppp2ca,Sptb,Kit,Fgf4,Fgfr2,Rtn4,Ngf,Ppp2r5c,Fgd2,Grb2,Nfkb1,Ubb,Mapk1,Pcsk2,Pik3cb,Psmc4,Klb,Grin2b,Nrtn,Psmb10,Kidins220,Mcf2l,Pip4k2a,Aph1c,Rbx1,Cdkn1a,Sos2,Psmb2,Insr,Jak2,Ap2m1,Akap9,Bcl2l11,Rapgef2,Ptk2,Elk1,Il2,Tek,Fgf1,Psmd14,Irs1,Phb1,Bdnf,Nrg2,Trat1,Psmd4,Camk2d,Pik3ap1,Adcy9,Casp3,Kalrn,Camk2b,Tiam2,Dnal4,Icos,Phlpp1,Il5ra,Il5,Abr,Sos1,Foxo3,Clta,Hgf,Adcy2,Nr4a1,Il2ra,Ppp2r5a,Fgd4,Fgf9,Grin2c,Prkacb,Cul3,Pebp1,Cd28,Ntf3,Rasa2,Fgfr4,Arhgef18,Il17rd,Pip4k2b,Mapkapk3,Adcy5,Vav2,Fgf6,Ncam1,Rps6ka3,Dab2ip,Fgfr1,Jak1,Nrg4,Camk2a,Gfra4,Raf1,Gfra2,Dlg4,Sptbn4,Fgfr3,Frs2,Kl,Sptan1,Net1,Psmb4,Grin2a,Mapkapk2,Camk4,Paqr3,Psen2,Pde1c,Itsn1,Arhgef7,Plekhg2,Prkci,Crk,Pdgfrb,Pdgfa,Sptbn1,Psmb1,Lamtor3
R-MMU-6806834	Signaling by MET	3.64767982070463e-06	-12.5214192580513	63	49	0.0114112715416861	4294	8672	12928,107746,226519,16773,22186,17295,14388,16772,224116,84092,74334,22190,20779,14083,23928,20848,67299,16777,56324,19353,16782,16400,18706,109905,19271,18708,15451,16774,20404,11845,16775,20732,319939,20844,19341,14784,12929,22187,56705,16398,215449,20662,19255,16412,16206,217169,16780,15234,19246	Crk,Rapgef1,Lamc1,Lama2,Uba52,Met,Gab1,Lama1,Muc20,Usp8,Ranbp10,Ubc,Src,Ptk2,Lamc3,Stat3,Dock7,Lamb1,Stam2,Rac1,Lamc2,Itga3,Pik3ca,Rap1a,Ptprj,Pik3r1,Hpn,Lama3,Sh3gl2,Arf6,Lama4,Spint1,Tns3,Stam,Rab4a,Grb2,Crkl,Ubb,Ranbp9,Itga2,Rap1b,Sos1,Ptpn2,Itgb1,Lrig1,Tns4,Lamb3,Hgf,Ptpn1
