TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0007275	multicellular organism development	7.96023031248555e-10	-20.9513929967734	4476	96	0.283185840707965	339	29090	20496,12817,18285,13842,110886,14009,69121,12737,21887,30953,21416,21844,11838,17765,19035,68235,17132,319998,69743,14343,16399,76441,75469,320772,110596,108013,380698,16777,19363,16842,109934,13135,16911,545156,13508,12224,74297,12814,71713,14051,56079,208727,14026,73191,13813,53421,233552,52679,109901,13393,13655,320027,22329,16774,18027,330267,22160,241226,218454,20728,15223,21412,23967,105278,19876,22627,243897,13618,74199,69940,19290,12829,218476,546726,319974,18815,11647,103149,50524,67888,22631,242509,17425,14804,13176,18509,11981,12562,23837,70989,76527,330177,243931,22771,230793,226778	Slc12a2,Col13a1,Odf1,Epha8,Gabra5,Etv1,Chrdl2,Cldn1,Tle3,Schip1,Tcf7l2,Tiam1,Arc,Mtf2,Ppib,Mturn,Maf,Tmem198,Casz1,Fut1,Itga2b,Daam2,Spata19,Mdga2,Arhgef28,Celf4,Obscn,Lamb1,Rad51b,Lef1,Abr,Dad1,Lmo4,Kalrn,Dscam,Klf5,Ccdc182,Col11a1,Cdc40,Eya4,Astn2,Hdac4,Evl,Fezf1,Eomes,Sec61a1,Gdpd5,E2f7,Cela1,Dlx3,Egr3,Fstl4,Vcam1,Lama3,Nfia,Thsd7a,Twist1,Itga8,Lhfpl2,Spic,Foxj1,Tcf21,Osr1,Cdk20,Robo1,Ywhae,Ggn,Ednrb,Vit,Exoc1,Pura,Col4a4,Gcnt4,Cyp26c1,Auts2,Plg,Alpl,Upb1,Sall2,Tmem100,Ywhaz,Bnc2,Foxk1,Grid2,Dcc,Pax7,Atp9a,Cdh5,Cfdp1,Jhy,Il34,Taok3,Tshz3,Zic1,Ahdc1,Mark1
GO:0048518	positive regulation of biological process	4.02154411472585e-09	-19.3315998999254	6741	126	0.371681415929204	339	29090	330177,76527,13822,58869,381644,226778,243931,22771,67888,50524,17425,14804,13176,18509,268379,13831,140577,19704,15277,223255,218832,12562,74199,319710,116873,11906,13371,19290,13618,68732,319974,14654,11647,18815,18003,17314,23967,105244208,11933,20728,15223,21412,67609,18646,22627,14245,74326,19876,233552,22178,109901,52679,13393,13655,19294,14247,23871,64143,16803,17870,110558,22045,17079,218454,18160,22329,18027,22160,83379,241226,14051,11739,232430,73274,78832,16911,545156,13508,723830,18101,207181,12224,208727,228355,208677,14026,13813,73191,244701,244723,545291,16399,76441,320472,19035,68235,17132,319998,69743,14343,16777,319239,16842,19363,18812,28078,22217,109934,231991,108013,14009,12737,12335,240873,218461,20496,244579,13842,98376,69573,20480,30953,319594,21416,21844,11838	Taok3,Il34,Epb41l2,Pex5l,Cep135,Mark1,Tshz3,Zic1,Tmem100,Sall2,Foxk1,Grid2,Dcc,Pax7,Abca13,Epc1,Ankrd6,Upf1,Hk2,Stk24,Polr3a,Cdh5,Vit,Frmd6,Stim2,Zfhx3,Dio2,Pura,Ednrb,Carmil1,Auts2,Glra1,Alpl,Plg,Nedd9,Mgmt,Osr1,Rps6-ps4,Atp1b3,Spic,Foxj1,Tcf21,4930453N24Rik,Prf1,Ywhae,Lpin1,Hnrnpr,Robo1,Gdpd5,Tyrp1,Cela1,E2f7,Dlx3,Egr3,Nectin2,Fli1,Ets1,Ralb,Lbp,Mycs,H2-Q9,Trhr,Cd180,Lhfpl2,Npr1,Vcam1,Nfia,Twist1,Klb,Itga8,Eya4,Slc25a4,Crebl2,Gpbp1,Cacul1,Lmo4,Kalrn,Dscam,Mir28a,Nmbr,Rbms3,Klf5,Hdac4,Madd,Creb3l3,Evl,Eomes,Fezf1,Mtnr1b,Olfm2,Hpse2,Itga2b,Daam2,Ppm1e,Ppib,Mturn,Maf,Tmem198,Casz1,Fut1,Lamb1,Npsr1,Lef1,Rad51b,Prl2c3,Prl5a1,Usp12,Abr,Creb5,Celf4,Etv1,Cldn1,Capn3,Tnfsf18,Pde8b,Slc12a2,Tox3,Epha8,Gorab,Hilpda,Clpb,Schip1,Hif1an,Tcf7l2,Tiam1,Arc
GO:0048856	anatomical structure development	7.31981664005752e-09	-18.7326805584594	5717	111	0.327433628318584	339	29090	76527,70989,330177,230793,22771,243931,226778,13831,103149,13176,18509,50524,22631,67888,242509,17425,14804,12562,20861,11981,23837,13618,69940,13007,19290,74199,319710,11906,218476,12829,319974,11647,18815,546726,20728,15223,21412,226356,23967,105278,19876,22627,243897,53421,14236,14247,13655,19294,233552,52679,109901,13393,22160,330267,241226,320027,22329,16774,18027,218454,13508,12224,16911,545156,12814,74297,71713,14051,56079,14026,73191,13813,208727,319998,69743,14343,19035,68235,17132,75469,320772,16399,76441,110596,231991,108013,380698,28078,13135,109934,16777,19363,16842,18812,13842,18285,12335,12817,20496,14009,69121,21887,12737,110886,11838,30953,21416,21844,17765,98376,20480	Il34,Jhy,Taok3,Ahdc1,Zic1,Tshz3,Mark1,Epc1,Upb1,Dcc,Pax7,Sall2,Ywhaz,Tmem100,Bnc2,Foxk1,Grid2,Cdh5,Stfa1,Atp9a,Cfdp1,Ednrb,Exoc1,Csrp1,Pura,Vit,Frmd6,Zfhx3,Gcnt4,Col4a4,Auts2,Alpl,Plg,Cyp26c1,Spic,Foxj1,Tcf21,Cfap221,Osr1,Cdk20,Robo1,Ywhae,Ggn,Sec61a1,Foxn2,Fli1,Egr3,Nectin2,Gdpd5,E2f7,Cela1,Dlx3,Twist1,Thsd7a,Itga8,Fstl4,Vcam1,Lama3,Nfia,Lhfpl2,Dscam,Klf5,Lmo4,Kalrn,Col11a1,Ccdc182,Cdc40,Eya4,Astn2,Evl,Fezf1,Eomes,Hdac4,Tmem198,Casz1,Fut1,Ppib,Mturn,Maf,Spata19,Mdga2,Itga2b,Daam2,Arhgef28,Creb5,Celf4,Obscn,Prl5a1,Dad1,Abr,Lamb1,Rad51b,Lef1,Prl2c3,Epha8,Odf1,Capn3,Col13a1,Slc12a2,Etv1,Chrdl2,Tle3,Cldn1,Gabra5,Arc,Schip1,Tcf7l2,Tiam1,Mtf2,Gorab,Clpb
GO:0048522	positive regulation of cellular process	7.86758235821493e-09	-18.6605150188891	6155	117	0.345132743362832	339	29090	69573,98376,21416,21844,319594,30953,11838,12737,14009,20496,218461,12335,240873,13842,244579,18812,16777,319239,16842,19363,22217,109934,28078,108013,231991,76441,16399,320472,17132,68235,14343,319998,69743,228355,208727,73191,13813,208677,14026,244701,545291,244723,14051,73274,11739,232430,16911,545156,78832,12224,13508,207181,18101,723830,18027,22329,18160,83379,241226,22160,109901,52679,13393,233552,13655,23871,19294,14247,64143,16803,17870,22045,17079,110558,18646,22627,14245,19876,23967,105244208,15223,21412,67609,11933,20728,18003,18815,319974,17314,319710,11906,116873,74199,19290,13618,68732,218832,223255,19704,12562,17425,14804,67888,50524,18509,13176,268379,13831,140577,58869,381644,226778,243931,22771,330177,13822,76527	Hilpda,Gorab,Tcf7l2,Tiam1,Hif1an,Schip1,Arc,Cldn1,Etv1,Slc12a2,Pde8b,Capn3,Tnfsf18,Epha8,Tox3,Prl2c3,Lamb1,Npsr1,Lef1,Rad51b,Usp12,Abr,Prl5a1,Celf4,Creb5,Daam2,Itga2b,Ppm1e,Maf,Mturn,Fut1,Tmem198,Casz1,Madd,Hdac4,Fezf1,Eomes,Creb3l3,Evl,Mtnr1b,Hpse2,Olfm2,Eya4,Gpbp1,Slc25a4,Crebl2,Lmo4,Kalrn,Cacul1,Klf5,Dscam,Rbms3,Nmbr,Mir28a,Nfia,Vcam1,Npr1,Klb,Itga8,Twist1,Cela1,E2f7,Dlx3,Gdpd5,Egr3,Ets1,Nectin2,Fli1,Ralb,Lbp,Mycs,Trhr,Cd180,H2-Q9,Prf1,Ywhae,Lpin1,Robo1,Osr1,Rps6-ps4,Foxj1,Tcf21,4930453N24Rik,Atp1b3,Spic,Nedd9,Plg,Auts2,Mgmt,Frmd6,Zfhx3,Stim2,Vit,Pura,Ednrb,Carmil1,Polr3a,Stk24,Upf1,Cdh5,Foxk1,Grid2,Tmem100,Sall2,Pax7,Dcc,Abca13,Epc1,Ankrd6,Pex5l,Cep135,Mark1,Tshz3,Zic1,Taok3,Epb41l2,Il34
GO:0032502	developmental process	9.9451371625299e-09	-18.426182132626	6107	116	0.342182890855457	339	29090	75469,320772,16399,76441,69743,319998,14343,68235,19035,17132,28078,109934,13135,16842,19363,16777,18812,231991,110596,380698,108013,69121,14009,12737,21887,110886,18285,13842,12335,12817,20496,17765,98376,20480,11838,30953,21844,21416,14236,19294,14247,13655,23871,22178,233552,13393,52679,109901,53421,218454,330267,22160,241226,22329,320027,18027,16774,232430,74297,12814,14051,71713,13508,12224,545156,16911,14026,73191,13813,208727,56079,13371,69940,19290,13007,74199,11906,319710,13618,319974,18815,11647,546726,218476,12829,23967,20728,15223,21412,226356,243897,14245,22627,19876,105278,330177,76527,70989,226778,230793,22771,243931,13176,18509,67888,50524,22631,14804,17425,242509,13831,103149,23837,12562,11981,20861	Spata19,Mdga2,Itga2b,Daam2,Casz1,Tmem198,Fut1,Mturn,Ppib,Maf,Prl5a1,Abr,Dad1,Lef1,Rad51b,Lamb1,Prl2c3,Creb5,Arhgef28,Obscn,Celf4,Chrdl2,Etv1,Cldn1,Tle3,Gabra5,Odf1,Epha8,Capn3,Col13a1,Slc12a2,Mtf2,Gorab,Clpb,Arc,Schip1,Tiam1,Tcf7l2,Foxn2,Nectin2,Fli1,Egr3,Ets1,Tyrp1,Gdpd5,Dlx3,E2f7,Cela1,Sec61a1,Lhfpl2,Thsd7a,Twist1,Itga8,Vcam1,Fstl4,Nfia,Lama3,Crebl2,Ccdc182,Col11a1,Eya4,Cdc40,Dscam,Klf5,Kalrn,Lmo4,Evl,Fezf1,Eomes,Hdac4,Astn2,Dio2,Exoc1,Pura,Csrp1,Vit,Zfhx3,Frmd6,Ednrb,Auts2,Plg,Alpl,Cyp26c1,Gcnt4,Col4a4,Osr1,Spic,Foxj1,Tcf21,Cfap221,Ggn,Lpin1,Ywhae,Robo1,Cdk20,Taok3,Il34,Jhy,Mark1,Ahdc1,Zic1,Tshz3,Dcc,Pax7,Tmem100,Sall2,Ywhaz,Grid2,Foxk1,Bnc2,Epc1,Upb1,Cfdp1,Cdh5,Atp9a,Stfa1
GO:0003700	DNA-binding transcription factor activity	1.9243633161491e-08	-17.7660855757784	614	26	0.0766961651917404	339	29090	22771,231991,18027,22160,230793,16842,17870,17132,52679,14236,14247,23871,19290,21416,208677,13813,73191,20728,71066,15223,12224,17425,14009,232430,73274,18509	Zic1,Creb5,Nfia,Twist1,Ahdc1,Lef1,Mycs,Maf,E2f7,Foxn2,Fli1,Ets1,Pura,Tcf7l2,Creb3l3,Eomes,Fezf1,Spic,Hsfy2,Foxj1,Klf5,Foxk1,Etv1,Crebl2,Gpbp1,Pax7
GO:0030154	cell differentiation	6.0100806533199e-08	-16.6272425756417	3979	83	0.244837758112094	339	29090	18812,546726,16842,16777,18815,319974,380698,231991,110596,319710,320772,13007,75469,13371,17132,68235,13618,69743,20480,14245,243897,22627,17765,21844,21416,19876,23967,110886,21887,12737,69121,14009,12817,226356,12335,21412,18285,13842,15223,20728,226778,16774,18027,22329,243931,320027,22771,241226,230793,22160,330267,13393,52679,22178,233552,14247,330177,23871,19294,14236,70989,76527,208727,73191,13813,14026,11981,20861,56079,14051,14804,17425,12814,22631,67888,18509,232430,13176,545156,16911,12224,13831,13508	Prl2c3,Cyp26c1,Lef1,Lamb1,Plg,Auts2,Obscn,Creb5,Arhgef28,Frmd6,Mdga2,Csrp1,Spata19,Dio2,Maf,Mturn,Ednrb,Casz1,Clpb,Lpin1,Ggn,Ywhae,Mtf2,Tiam1,Tcf7l2,Robo1,Osr1,Gabra5,Tle3,Cldn1,Chrdl2,Etv1,Col13a1,Cfap221,Capn3,Tcf21,Odf1,Epha8,Foxj1,Spic,Mark1,Lama3,Nfia,Vcam1,Tshz3,Fstl4,Zic1,Itga8,Ahdc1,Twist1,Thsd7a,Dlx3,E2f7,Tyrp1,Gdpd5,Fli1,Taok3,Ets1,Nectin2,Foxn2,Jhy,Il34,Hdac4,Fezf1,Eomes,Evl,Atp9a,Stfa1,Astn2,Eya4,Grid2,Foxk1,Col11a1,Ywhaz,Tmem100,Pax7,Crebl2,Dcc,Kalrn,Lmo4,Klf5,Epc1,Dscam
GO:0048869	cellular developmental process	6.07707914737683e-08	-16.6161565667969	3980	83	0.244837758112094	339	29090	69743,17132,68235,13618,13007,320772,13371,75469,319710,380698,231991,110596,18815,319974,18812,546726,16842,16777,15223,18285,21412,13842,20728,12817,226356,12335,12737,21887,69121,14009,23967,110886,19876,21844,21416,243897,14245,17765,22627,20480,76527,70989,330177,23871,14247,19294,14236,13393,52679,22178,233552,241226,230793,22160,330267,16774,18027,22329,320027,243931,22771,226778,12224,13508,13831,545156,16911,18509,232430,13176,14051,14804,17425,12814,22631,67888,56079,11981,20861,13813,73191,14026,208727	Casz1,Maf,Mturn,Ednrb,Csrp1,Mdga2,Dio2,Spata19,Frmd6,Obscn,Creb5,Arhgef28,Plg,Auts2,Prl2c3,Cyp26c1,Lef1,Lamb1,Foxj1,Odf1,Tcf21,Epha8,Spic,Col13a1,Cfap221,Capn3,Cldn1,Tle3,Chrdl2,Etv1,Osr1,Gabra5,Robo1,Tiam1,Tcf7l2,Ggn,Lpin1,Mtf2,Ywhae,Clpb,Il34,Jhy,Taok3,Ets1,Fli1,Nectin2,Foxn2,Dlx3,E2f7,Tyrp1,Gdpd5,Itga8,Ahdc1,Twist1,Thsd7a,Lama3,Nfia,Vcam1,Fstl4,Tshz3,Zic1,Mark1,Klf5,Dscam,Epc1,Kalrn,Lmo4,Pax7,Crebl2,Dcc,Eya4,Grid2,Foxk1,Col11a1,Ywhaz,Tmem100,Astn2,Atp9a,Stfa1,Eomes,Fezf1,Evl,Hdac4
GO:0048513	animal organ development	3.15497399647546e-07	-14.9691153970037	3068	67	0.1976401179941	339	29090	22771,243931,22329,18027,16774,22160,230793,241226,70989,53421,233552,52679,109901,13393,14236,14247,20861,13813,73191,103149,16911,545156,13508,12224,50524,22631,67888,74297,12814,17425,71713,242509,14804,14051,18509,231991,12829,218476,16777,546726,16842,18812,28078,11647,18815,109934,19035,13618,17132,69743,14343,11906,30953,21416,105278,19876,98376,22627,20496,12817,21412,15223,110886,23967,14009,69121,12737	Zic1,Tshz3,Vcam1,Nfia,Lama3,Twist1,Ahdc1,Itga8,Jhy,Sec61a1,Gdpd5,E2f7,Cela1,Dlx3,Foxn2,Fli1,Stfa1,Eomes,Fezf1,Upb1,Lmo4,Kalrn,Dscam,Klf5,Sall2,Ywhaz,Tmem100,Ccdc182,Col11a1,Foxk1,Cdc40,Bnc2,Grid2,Eya4,Pax7,Creb5,Col4a4,Gcnt4,Lamb1,Cyp26c1,Lef1,Prl2c3,Prl5a1,Alpl,Plg,Abr,Ppib,Ednrb,Maf,Casz1,Fut1,Zfhx3,Schip1,Tcf7l2,Cdk20,Robo1,Gorab,Ywhae,Slc12a2,Col13a1,Tcf21,Foxj1,Gabra5,Osr1,Etv1,Chrdl2,Cldn1
GO:0009653	anatomical structure morphogenesis	4.46754381483391e-07	-14.6212568754935	2398	56	0.165191740412979	339	29090	98376,30953,21844,21416,19876,105278,23967,14009,12335,20496,12817,13842,21412,16842,16777,319974,109934,11647,110596,218476,16399,319710,13007,69743,14026,73191,13813,11981,56079,12562,12814,22631,67888,14051,14804,13176,18509,545156,16911,13508,12224,22329,243931,16774,18027,230793,330267,22160,241226,13393,52679,109901,19294,13655,330177,14247	Gorab,Schip1,Tiam1,Tcf7l2,Robo1,Cdk20,Osr1,Etv1,Capn3,Slc12a2,Col13a1,Epha8,Tcf21,Lef1,Lamb1,Auts2,Abr,Alpl,Arhgef28,Gcnt4,Itga2b,Frmd6,Csrp1,Casz1,Evl,Fezf1,Eomes,Atp9a,Astn2,Cdh5,Col11a1,Ywhaz,Tmem100,Eya4,Grid2,Dcc,Pax7,Kalrn,Lmo4,Dscam,Klf5,Vcam1,Tshz3,Lama3,Nfia,Ahdc1,Thsd7a,Twist1,Itga8,Dlx3,E2f7,Cela1,Nectin2,Egr3,Taok3,Fli1
