TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0110165	cellular anatomical entity	1.826712711872e-06	-13.212992538761	19495	266	0.791666666666667	336	28799	214425,72301,20500,12228,69121,69259,20657,12224,218461,232680,233552,69573,17425,231991,16774,16777,329274,110596,330267,73191,69743,71713,17870,68533,11838,66953,72672,104443,16842,17476,55983,330401,319974,20088,208727,258741,140577,19704,381644,13135,66112,327900,73046,22160,53421,259057,16911,13393,208677,13176,13371,18285,114230,320027,244701,94191,13831,12817,27411,67180,228355,116873,244723,13842,20480,319594,50524,16399,218832,14236,64143,18968,112407,12814,13508,18509,13618,64381,19363,22146,330177,58869,14007,73523,22631,108075,68235,18197,59083,433926,28078,12467,72826,14245,14051,19290,20496,67993,74326,76199,243897,14198,319909,105278,16615,12829,20861,14654,56079,56551,268379,67080,14247,20728,226778,110886,53618,19157,30953,14026,18646,12562,67328,235493,21416,319888,12335,244923,320825,78754,74007,66857,319710,71760,67888,207792,226243,98376,19035,99326,11933,17314,74563,23971,230145,11739,20019,22214,546726,243659,216760,21844,216151,75469,17765,18101,13655,243931,22217,11906,226356,67889,74080,71898,232430,217882,212070,18003,74199,19023,101994,19799,19876,74337,241226,13007,22329,13822,207181,72661,24000,109901,18027,545156,21412,103149,19294,14804,76527,210356,22771,16803,68732,231003,109934,23837,242509,17132,380698,242083,212632,14009,320472,223255,108013,18812,240055,258806,12819,67769,218454,257985,15223,23871,70750,23967,89867,18160,110173,12737,268354,320981,69089,545291,71066,72265,244579,319998,74189,22627,319239,11981,244071,12722,320772,244562,320292,73274,17079,83379,66405,21888,230793,76251,52679,21887,13813,67609,70536,18815,14343,269181,259039,15277,11647,110558,22178,77805,240873,69940,67059,218476,22045,17884,105244208,20338	Cilp,Shisal1,Slc13a2,Btg3,Chrdl2,Kctd5,Sod3,Klf5,Pde8b,Cpa2,Gdpd5,Hilpda,Foxk1,Creb5,Lama3,Lamb1,Fam163a,Arhgef28,Thsd7a,Fezf1,Casz1,Cdc40,Mycs,Mphosph6,Arc,Cdca7,Zfp518a,Npffr2,Lef1,Mpeg1,Pdzrn3,Tmcc1,Auts2,Rps24,Hdac4,Or8g21,Ankrd6,Upf1,Cep135,Dad1,Mtarc1,Ubtd2,Glrx5,Twist1,Sec61a1,Or52h2,Lmo4,Dlx3,Creb3l3,Dcc,Dio2,Odf1,Aipl1,Fstl4,Mtnr1b,Adarb2,Epc1,Col13a1,Slc14a2,Yipf5,Madd,Stim2,Olfm2,Epha8,Clpb,Hif1an,Sall2,Itga2b,Polr3a,Foxn2,Ralb,Pola1,Egln3,Col11a1,Dscam,Pax7,Ednrb,Ms4a8a,Rad51b,Tuba1c,Taok3,Pex5l,Celf2,Pebp4,Ywhaz,Ltbp4,Mturn,Nsg2,Fetub,Lrrc8b,Prl5a1,Cct6b,Fam76b,Lpin1,Eya4,Pura,Slc12a2,Nudt12,Hnrnpr,Med13l,Ggn,Fhit,Ism1,Cdk20,Klk1b16,Col4a4,Stfa1,Glra1,Astn2,Txn2,Abca13,1700019D03Rik,Fli1,Spic,Mark1,Gabra5,Fut8,Cyth1,Schip1,Evl,Prf1,Cdh5,Lyzl1,Atosa,Tcf7l2,Oacyl,Capn3,Klhl31,Samd5,Galnt15,Abtb3,Plbd1,Frmd6,Etnppl,Tmem100,BC034090,Habp2,Gorab,Ppib,Garnl3,Atp1b3,Mgmt,Rasgef1c,Papss1,Galnt12,Slc25a4,Polr1a,Ube2h,Cyp26c1,Styk1,Mfap3,Tiam1,Polrmt,Spata19,Mtf2,Nmbr,Egr3,Tshz3,Usp12,Zfhx3,Cfap221,Rbm18,Nmnat3,Apol9b,Crebl2,Cep170b,Clrn3,Nedd9,Vit,Ppef2,Champ1,Rn4.5s,Robo1,Palm3,Itga8,Csrp1,Vcam1,Epb41l2,Rbms3,Serp2,Ptpn21,Cela1,Nfia,Kalrn,Tcf21,Upb1,Nectin2,Grid2,Il34,Nckap5,Zic1,Lbp,Carmil1,Klhl17,Abr,Cfdp1,Bnc2,Maf,Obscn,Ppm1l,Iffo2,Etv1,Ppm1e,Stk24,Celf4,Prl2c3,Neurl1b,Or8b48,Col15a1,Gpatch2,Lhfpl2,Or6c6,Foxj1,Ets1,Kdsr,Osr1,Sec16b,Npr1,Manba,Cldn1,Tafa2,Enpp6,Oxa1l,Hpse2,Hsfy2,Tram1,Tox3,Tmem198,Phactr3,Ywhae,Npsr1,Atp9a,Agbl1,Clca3a1,Mdga2,Abcc12,Rasgef1b,Gpbp1,Cd180,Klb,Mcts2,Tle4,Ahdc1,Ercc6l2,E2f7,Tle3,Eomes,4930453N24Rik,Qpct,Plg,Fut1,Mgat4a,Or9s23,Hk2,Alpl,H2-Q9,Tyrp1,Esco1,Tnfsf18,Exoc1,Ola1,Gcnt4,Trhr,Myh4,Rps6-ps4,Sel1l
GO:1990907	beta-catenin-TCF complex	1.1975515482358e-05	-11.3326463690503	13	4	0.0119047619047619	336	28799	21416,16842,21888,21887	Tcf7l2,Lef1,Tle4,Tle3
GO:0005622	intracellular anatomical structure	6.04117345562908e-05	-9.71432719116027	14712	207	0.616071428571429	336	28799	330401,55983,17476,16842,208727,20088,319974,68533,11838,104443,72672,66953,110596,16777,17870,71713,69743,73191,69259,12228,218461,20657,12224,233552,16774,231991,17425,69573,218832,14236,112407,18968,67180,244723,116873,228355,13842,50524,319594,20480,208677,114230,18285,320027,13831,94191,381644,19704,140577,327900,73046,66112,13135,16911,53421,22160,13393,14654,20861,56551,56079,268379,19290,14245,14051,76199,67993,74326,20496,243897,14198,16615,105278,330177,22631,14007,58869,18197,68235,72826,12467,433926,13618,18509,22146,19363,98376,99326,19035,17314,11933,230145,23971,78754,244923,320825,66857,207792,67888,71760,319710,12562,21416,235493,12335,226778,20728,14247,110886,19157,53618,14026,18646,30953,19799,101994,19876,241226,74337,217882,18003,19023,18101,17765,21844,75469,216151,226356,11906,243931,22217,13655,232430,74080,67889,11739,22214,20019,380698,17132,212632,320472,14009,231003,109934,23837,242509,18027,103149,21412,545156,22771,68732,210356,207181,22329,13822,13007,72661,24000,72265,71066,69089,319239,22627,319998,244579,74189,244071,11981,73274,244562,23871,89867,70750,23967,110173,268354,257985,15223,223255,240055,18812,108013,67769,20338,105244208,17884,11647,15277,22178,110558,77805,218476,67059,69940,13813,21887,67609,14343,269181,17079,66405,76251,230793,21888,52679	Tmcc1,Pdzrn3,Mpeg1,Lef1,Hdac4,Rps24,Auts2,Mphosph6,Arc,Npffr2,Zfp518a,Cdca7,Arhgef28,Lamb1,Mycs,Cdc40,Casz1,Fezf1,Kctd5,Btg3,Pde8b,Sod3,Klf5,Gdpd5,Lama3,Creb5,Foxk1,Hilpda,Polr3a,Foxn2,Egln3,Pola1,Yipf5,Olfm2,Stim2,Madd,Epha8,Sall2,Hif1an,Clpb,Creb3l3,Aipl1,Odf1,Fstl4,Epc1,Adarb2,Cep135,Upf1,Ankrd6,Ubtd2,Glrx5,Mtarc1,Dad1,Lmo4,Sec61a1,Twist1,Dlx3,Glra1,Stfa1,Txn2,Astn2,Abca13,Pura,Lpin1,Eya4,Med13l,Nudt12,Hnrnpr,Slc12a2,Ggn,Fhit,Klk1b16,Cdk20,Taok3,Ywhaz,Celf2,Pex5l,Nsg2,Mturn,Fam76b,Cct6b,Lrrc8b,Ednrb,Pax7,Tuba1c,Rad51b,Gorab,Garnl3,Ppib,Mgmt,Atp1b3,Galnt12,Papss1,Galnt15,Klhl31,Samd5,Plbd1,BC034090,Tmem100,Etnppl,Frmd6,Cdh5,Tcf7l2,Atosa,Capn3,Mark1,Spic,Fli1,Gabra5,Cyth1,Fut8,Evl,Prf1,Schip1,Rn4.5s,Champ1,Robo1,Itga8,Palm3,Cep170b,Nedd9,Ppef2,Nmbr,Mtf2,Tiam1,Spata19,Polrmt,Cfap221,Zfhx3,Tshz3,Usp12,Egr3,Crebl2,Nmnat3,Rbm18,Slc25a4,Ube2h,Polr1a,Obscn,Maf,Iffo2,Ppm1e,Etv1,Klhl17,Abr,Cfdp1,Bnc2,Nfia,Upb1,Tcf21,Kalrn,Zic1,Carmil1,Nckap5,Rbms3,Vcam1,Epb41l2,Csrp1,Serp2,Ptpn21,Tram1,Hsfy2,Oxa1l,Npsr1,Ywhae,Tmem198,Tox3,Phactr3,Agbl1,Atp9a,Gpbp1,Abcc12,Ets1,Sec16b,Kdsr,Osr1,Manba,Tafa2,Or6c6,Foxj1,Stk24,Neurl1b,Prl2c3,Celf4,Gpatch2,Sel1l,Rps6-ps4,Myh4,Alpl,Hk2,Tyrp1,H2-Q9,Esco1,Gcnt4,Ola1,Exoc1,Eomes,Tle3,4930453N24Rik,Fut1,Mgat4a,Cd180,Mcts2,Ercc6l2,Ahdc1,Tle4,E2f7
GO:0043229	intracellular organelle	0.000147240497050324	-8.82344327367591	13077	186	0.553571428571429	336	28799	12562,235493,21416,12335,20728,14247,226778,110886,53618,18646,14026,98376,19035,17314,230145,244923,78754,66857,71760,319710,67888,207792,14007,58869,22631,18197,433926,72826,18509,13618,19363,22146,20861,14654,56551,56079,268379,14245,14051,19290,20496,76199,67993,74326,14198,243897,105278,16615,208677,18285,114230,320027,94191,13831,381644,140577,19704,13135,73046,66112,22160,53421,16911,13393,218832,14236,112407,18968,67180,116873,228355,244723,13842,20480,319594,50524,16777,71713,69743,73191,17870,69259,12228,218461,20657,12224,233552,17425,69573,16774,231991,16842,330401,17476,20088,319974,208727,68533,11838,66953,104443,72672,13813,21887,67609,269181,14343,17079,76251,21888,230793,52679,17884,20338,105244208,15277,11647,110558,22178,77805,67059,218476,257985,15223,223255,108013,18812,240055,67769,69089,72265,71066,319998,74189,244579,22627,11981,244562,73274,23871,89867,23967,70750,110173,268354,18027,21412,545156,22771,210356,68732,13007,207181,13822,22329,72661,24000,17132,380698,212632,320472,14009,231003,109934,23837,242509,21844,75469,216151,17765,13655,226356,11906,22217,243931,67889,232430,74080,11739,22214,20019,101994,241226,217882,18003,19023	Cdh5,Atosa,Tcf7l2,Capn3,Spic,Fli1,Mark1,Gabra5,Fut8,Prf1,Evl,Gorab,Ppib,Mgmt,Galnt12,Klhl31,Galnt15,Plbd1,Etnppl,Frmd6,Tmem100,BC034090,Celf2,Pex5l,Ywhaz,Nsg2,Lrrc8b,Fam76b,Pax7,Ednrb,Rad51b,Tuba1c,Stfa1,Glra1,Txn2,Astn2,Abca13,Lpin1,Eya4,Pura,Slc12a2,Med13l,Nudt12,Hnrnpr,Fhit,Ggn,Cdk20,Klk1b16,Creb3l3,Odf1,Aipl1,Fstl4,Adarb2,Epc1,Cep135,Ankrd6,Upf1,Dad1,Glrx5,Mtarc1,Twist1,Sec61a1,Lmo4,Dlx3,Polr3a,Foxn2,Egln3,Pola1,Yipf5,Stim2,Madd,Olfm2,Epha8,Clpb,Hif1an,Sall2,Lamb1,Cdc40,Casz1,Fezf1,Mycs,Kctd5,Btg3,Pde8b,Sod3,Klf5,Gdpd5,Foxk1,Hilpda,Lama3,Creb5,Lef1,Tmcc1,Mpeg1,Rps24,Auts2,Hdac4,Mphosph6,Arc,Cdca7,Npffr2,Zfp518a,Eomes,Tle3,4930453N24Rik,Mgat4a,Fut1,Cd180,Ercc6l2,Tle4,Ahdc1,E2f7,Myh4,Sel1l,Rps6-ps4,Hk2,Alpl,H2-Q9,Tyrp1,Esco1,Ola1,Gcnt4,Or6c6,Foxj1,Stk24,Celf4,Prl2c3,Neurl1b,Gpatch2,Oxa1l,Tram1,Hsfy2,Tmem198,Phactr3,Tox3,Ywhae,Atp9a,Abcc12,Gpbp1,Ets1,Sec16b,Osr1,Kdsr,Manba,Tafa2,Nfia,Tcf21,Kalrn,Zic1,Nckap5,Carmil1,Csrp1,Rbms3,Epb41l2,Vcam1,Serp2,Ptpn21,Maf,Obscn,Iffo2,Ppm1e,Etv1,Klhl17,Abr,Cfdp1,Bnc2,Tiam1,Spata19,Polrmt,Mtf2,Egr3,Cfap221,Zfhx3,Usp12,Tshz3,Rbm18,Crebl2,Nmnat3,Slc25a4,Ube2h,Polr1a,Champ1,Itga8,Cep170b,Nedd9,Ppef2
GO:0043226	organelle	0.000154365705768308	-8.77618605794388	13428	190	0.56547619047619	336	28799	17884,20338,105244208,15277,11647,110558,22178,77805,218476,67059,13813,21887,67609,14343,269181,17079,76251,230793,21888,52679,69089,72265,71066,74189,244579,319998,22627,11981,244562,73274,23871,89867,23967,70750,110173,268354,257985,15223,223255,108013,240055,18812,67769,17132,380698,212632,320472,14009,231003,109934,23837,242509,18027,21412,545156,14804,210356,22771,68732,13007,207181,22329,13822,72661,24000,101994,241226,217882,18003,19023,75469,21844,216151,17765,13655,226356,11906,243931,22217,67889,232430,74080,11739,20019,22214,98376,19035,11933,17314,230145,244923,78754,66857,71760,319710,207792,67888,12562,235493,21416,12335,20728,14247,226778,110886,53618,14026,18646,20861,14654,56551,56079,268379,14051,14245,19290,20496,76199,74326,67993,243897,14198,105278,16615,14007,58869,22631,18197,433926,72826,18509,13618,19363,22146,218832,14236,112407,18968,67180,116873,228355,244723,13842,20480,319594,50524,16399,208677,13176,18285,114230,320027,94191,13831,381644,19704,140577,13135,73046,66112,53421,22160,16911,13393,16842,330401,17476,20088,319974,208727,68533,11838,66953,104443,72672,16777,71713,69743,73191,17870,69259,12228,218461,20657,12224,233552,17425,69573,16774,231991	Myh4,Sel1l,Rps6-ps4,Hk2,Alpl,H2-Q9,Tyrp1,Esco1,Gcnt4,Ola1,Eomes,Tle3,4930453N24Rik,Fut1,Mgat4a,Cd180,Ercc6l2,Ahdc1,Tle4,E2f7,Oxa1l,Tram1,Hsfy2,Phactr3,Tox3,Tmem198,Ywhae,Atp9a,Abcc12,Gpbp1,Ets1,Sec16b,Osr1,Kdsr,Manba,Tafa2,Or6c6,Foxj1,Stk24,Celf4,Neurl1b,Prl2c3,Gpatch2,Maf,Obscn,Iffo2,Ppm1e,Etv1,Klhl17,Abr,Cfdp1,Bnc2,Nfia,Tcf21,Kalrn,Grid2,Nckap5,Zic1,Carmil1,Csrp1,Rbms3,Vcam1,Epb41l2,Serp2,Ptpn21,Champ1,Itga8,Cep170b,Nedd9,Ppef2,Spata19,Tiam1,Polrmt,Mtf2,Egr3,Cfap221,Zfhx3,Tshz3,Usp12,Rbm18,Crebl2,Nmnat3,Slc25a4,Polr1a,Ube2h,Gorab,Ppib,Atp1b3,Mgmt,Galnt12,Klhl31,Galnt15,Plbd1,Etnppl,Frmd6,BC034090,Tmem100,Cdh5,Atosa,Tcf7l2,Capn3,Spic,Fli1,Mark1,Gabra5,Fut8,Evl,Prf1,Stfa1,Glra1,Txn2,Astn2,Abca13,Eya4,Lpin1,Pura,Slc12a2,Med13l,Hnrnpr,Nudt12,Ggn,Fhit,Cdk20,Klk1b16,Celf2,Pex5l,Ywhaz,Nsg2,Lrrc8b,Fam76b,Pax7,Ednrb,Rad51b,Tuba1c,Polr3a,Foxn2,Egln3,Pola1,Yipf5,Stim2,Madd,Olfm2,Epha8,Clpb,Hif1an,Sall2,Itga2b,Creb3l3,Dcc,Odf1,Aipl1,Fstl4,Adarb2,Epc1,Cep135,Upf1,Ankrd6,Dad1,Glrx5,Mtarc1,Sec61a1,Twist1,Lmo4,Dlx3,Lef1,Tmcc1,Mpeg1,Rps24,Auts2,Hdac4,Mphosph6,Arc,Cdca7,Npffr2,Zfp518a,Lamb1,Cdc40,Casz1,Fezf1,Mycs,Kctd5,Btg3,Pde8b,Sod3,Klf5,Gdpd5,Foxk1,Hilpda,Lama3,Creb5
GO:0005634	nucleus	0.000208934415020899	-8.47349015897391	7420	116	0.345238095238095	336	28799	101994,16842,208727,20088,319974,68533,18003,72672,19023,66953,17765,16777,11906,243931,22217,13655,232430,17870,71713,67889,73191,69743,69259,12228,218461,20019,12224,22214,231991,17425,69573,380698,218832,17132,14236,112407,18968,320472,14009,67180,244723,23837,242509,50524,319594,208677,18027,114230,21412,545156,68732,22771,13831,94191,207181,13822,13007,19704,140577,16911,22160,13393,71066,20861,56551,22627,74189,244579,73274,19290,23871,14245,14051,76199,67993,74326,23967,243897,14198,16615,268354,105278,22631,14007,72826,15223,223255,108013,13618,18509,22146,19363,67769,98376,19035,17314,105244208,244923,77805,67059,207792,12562,13813,21887,21416,67609,235493,12335,17079,20728,14247,110886,76251,21888,230793,52679	Champ1,Lef1,Hdac4,Rps24,Auts2,Mphosph6,Nedd9,Zfp518a,Ppef2,Cdca7,Mtf2,Lamb1,Zfhx3,Tshz3,Usp12,Egr3,Crebl2,Mycs,Cdc40,Rbm18,Fezf1,Casz1,Kctd5,Btg3,Pde8b,Polr1a,Klf5,Ube2h,Creb5,Foxk1,Hilpda,Obscn,Polr3a,Maf,Foxn2,Egln3,Pola1,Ppm1e,Etv1,Yipf5,Olfm2,Cfdp1,Bnc2,Sall2,Hif1an,Creb3l3,Nfia,Aipl1,Tcf21,Kalrn,Carmil1,Zic1,Epc1,Adarb2,Rbms3,Epb41l2,Csrp1,Upf1,Ankrd6,Lmo4,Twist1,Dlx3,Hsfy2,Stfa1,Txn2,Ywhae,Phactr3,Tox3,Gpbp1,Pura,Ets1,Lpin1,Eya4,Med13l,Nudt12,Hnrnpr,Osr1,Ggn,Fhit,Klk1b16,Tafa2,Cdk20,Ywhaz,Celf2,Fam76b,Foxj1,Stk24,Celf4,Ednrb,Pax7,Tuba1c,Rad51b,Gpatch2,Gorab,Ppib,Mgmt,Rps6-ps4,Klhl31,Esco1,Ola1,BC034090,Cdh5,Eomes,Tle3,Tcf7l2,4930453N24Rik,Atosa,Capn3,Cd180,Spic,Fli1,Gabra5,Ercc6l2,Tle4,Ahdc1,E2f7
GO:0043231	intracellular membrane-bounded organelle	0.000260323656563177	-8.25358486817557	11925	171	0.508928571428571	336	28799	66953,72672,11838,68533,319974,20088,208727,16842,17476,330401,69573,17425,231991,16774,233552,12224,20657,218461,12228,69259,69743,73191,71713,17870,16777,319594,20480,50524,13842,228355,116873,244723,67180,18968,112407,14236,218832,13393,53421,22160,16911,13135,66112,73046,140577,19704,94191,13831,320027,114230,208677,105278,16615,14198,243897,20496,67993,74326,76199,14051,14245,19290,268379,56079,56551,20861,14654,19363,22146,18509,13618,433926,72826,18197,58869,14007,22631,71760,207792,67888,66857,244923,78754,230145,17314,19035,98376,18646,14026,53618,110886,14247,20728,12335,235493,21416,12562,19023,18003,241226,101994,20019,22214,11739,67889,74080,232430,13655,22217,243931,11906,75469,216151,17765,242509,23837,14009,320472,17132,380698,72661,13007,13822,22329,207181,22771,68732,545156,21412,18027,268354,110173,23967,70750,89867,23871,244562,73274,11981,319998,74189,244579,22627,69089,71066,72265,67769,108013,18812,240055,223255,15223,218476,67059,77805,110558,22178,15277,11647,105244208,20338,52679,21888,230793,76251,17079,269181,14343,67609,21887,13813	Cdca7,Zfp518a,Arc,Mphosph6,Auts2,Rps24,Hdac4,Lef1,Mpeg1,Tmcc1,Hilpda,Foxk1,Creb5,Lama3,Gdpd5,Klf5,Sod3,Pde8b,Btg3,Kctd5,Casz1,Fezf1,Cdc40,Mycs,Lamb1,Hif1an,Clpb,Sall2,Epha8,Madd,Stim2,Olfm2,Yipf5,Pola1,Egln3,Foxn2,Polr3a,Dlx3,Sec61a1,Twist1,Lmo4,Dad1,Mtarc1,Glrx5,Ankrd6,Upf1,Adarb2,Epc1,Fstl4,Aipl1,Creb3l3,Cdk20,Klk1b16,Fhit,Ggn,Slc12a2,Nudt12,Hnrnpr,Med13l,Eya4,Lpin1,Pura,Abca13,Astn2,Txn2,Stfa1,Glra1,Rad51b,Tuba1c,Pax7,Ednrb,Lrrc8b,Fam76b,Nsg2,Pex5l,Celf2,Ywhaz,Etnppl,BC034090,Tmem100,Plbd1,Klhl31,Galnt15,Galnt12,Mgmt,Ppib,Gorab,Prf1,Evl,Fut8,Gabra5,Fli1,Spic,Capn3,Atosa,Tcf7l2,Cdh5,Ppef2,Nedd9,Itga8,Champ1,Polr1a,Ube2h,Slc25a4,Rbm18,Nmnat3,Crebl2,Egr3,Usp12,Tshz3,Zfhx3,Spata19,Polrmt,Mtf2,Bnc2,Cfdp1,Etv1,Ppm1e,Maf,Obscn,Serp2,Csrp1,Epb41l2,Vcam1,Rbms3,Zic1,Carmil1,Kalrn,Tcf21,Nfia,Tafa2,Manba,Osr1,Kdsr,Sec16b,Ets1,Abcc12,Gpbp1,Atp9a,Tmem198,Phactr3,Tox3,Ywhae,Oxa1l,Hsfy2,Tram1,Gpatch2,Celf4,Prl2c3,Neurl1b,Stk24,Foxj1,Gcnt4,Ola1,Esco1,H2-Q9,Tyrp1,Hk2,Alpl,Rps6-ps4,Sel1l,E2f7,Tle4,Ahdc1,Ercc6l2,Cd180,Mgat4a,Fut1,4930453N24Rik,Tle3,Eomes
GO:0099634	postsynaptic specialization membrane	0.000343272516011874	-7.97698591892895	185	9	0.0267857142857143	336	28799	110886,244723,21844,13176,14654,14804,18197,241226,11838	Gabra5,Olfm2,Tiam1,Dcc,Glra1,Grid2,Nsg2,Itga8,Arc
GO:0043227	membrane-bounded organelle	0.000397376714516013	-7.83062582413799	12434	176	0.523809523809524	336	28799	320472,14009,380698,17132,242509,23837,68732,22771,21412,545156,18027,72661,207181,13822,22329,13007,241226,101994,19023,18003,232430,74080,67889,11906,226356,243931,22217,13655,17765,21844,75469,216151,22214,20019,11739,20338,105244208,218476,67059,77805,22178,110558,11647,15277,14343,269181,67609,13813,21887,52679,76251,230793,21888,17079,73274,244562,11981,22627,74189,244579,319998,72265,71066,69089,268354,110173,89867,70750,23967,23871,15223,67769,18812,240055,108013,223255,112407,18968,14236,218832,50524,16399,319594,20480,13842,244723,116873,228355,67180,13831,94191,320027,114230,18285,208677,13393,16911,53421,22160,73046,66112,13135,140577,19704,208727,20088,319974,330401,17476,16842,72672,66953,11838,68533,17870,71713,69743,73191,16777,16774,231991,17425,69573,233552,218461,12224,20657,69259,12228,230145,17314,11933,19035,98376,207792,67888,71760,66857,78754,244923,12335,21416,235493,12562,18646,14026,53618,110886,20728,14247,268379,56551,56079,14654,20861,16615,105278,14198,243897,76199,74326,67993,20496,19290,14051,14245,72826,433926,18197,22631,14007,58869,19363,22146,13618,18509	Ppm1e,Etv1,Obscn,Maf,Bnc2,Cfdp1,Carmil1,Zic1,Tcf21,Kalrn,Nfia,Serp2,Rbms3,Epb41l2,Vcam1,Csrp1,Itga8,Champ1,Ppef2,Nedd9,Crebl2,Nmnat3,Rbm18,Zfhx3,Cfap221,Tshz3,Usp12,Egr3,Mtf2,Tiam1,Spata19,Polrmt,Ube2h,Polr1a,Slc25a4,Sel1l,Rps6-ps4,Gcnt4,Ola1,Esco1,Tyrp1,H2-Q9,Alpl,Hk2,Fut1,Mgat4a,4930453N24Rik,Eomes,Tle3,E2f7,Ercc6l2,Ahdc1,Tle4,Cd180,Gpbp1,Abcc12,Atp9a,Ywhae,Phactr3,Tox3,Tmem198,Tram1,Hsfy2,Oxa1l,Tafa2,Manba,Sec16b,Kdsr,Osr1,Ets1,Foxj1,Gpatch2,Prl2c3,Neurl1b,Celf4,Stk24,Egln3,Pola1,Foxn2,Polr3a,Sall2,Itga2b,Hif1an,Clpb,Epha8,Olfm2,Stim2,Madd,Yipf5,Epc1,Adarb2,Fstl4,Aipl1,Odf1,Creb3l3,Dlx3,Lmo4,Sec61a1,Twist1,Glrx5,Mtarc1,Dad1,Ankrd6,Upf1,Hdac4,Rps24,Auts2,Tmcc1,Mpeg1,Lef1,Zfp518a,Cdca7,Arc,Mphosph6,Mycs,Cdc40,Casz1,Fezf1,Lamb1,Lama3,Creb5,Foxk1,Hilpda,Gdpd5,Pde8b,Klf5,Sod3,Kctd5,Btg3,Galnt12,Mgmt,Atp1b3,Ppib,Gorab,BC034090,Tmem100,Etnppl,Plbd1,Galnt15,Klhl31,Capn3,Tcf7l2,Atosa,Cdh5,Prf1,Evl,Fut8,Gabra5,Spic,Fli1,Abca13,Txn2,Astn2,Glra1,Stfa1,Klk1b16,Cdk20,Fhit,Ggn,Med13l,Hnrnpr,Nudt12,Slc12a2,Pura,Eya4,Lpin1,Fam76b,Lrrc8b,Nsg2,Ywhaz,Celf2,Pex5l,Rad51b,Tuba1c,Ednrb,Pax7
GO:0070013	intracellular organelle lumen	0.000459080730846714	-7.68628447917191	4725	79	0.235119047619048	336	28799	110886,73046,13007,19704,14247,17079,13822,52679,22160,21888,114230,21416,18027,12562,208677,13813,21887,68732,22771,12335,94191,13831,21412,545156,244723,67180,11647,20480,319594,242509,23837,14236,19035,218832,17132,380698,98376,320472,105244208,18968,17314,20019,12224,108013,20657,223255,69573,67769,14007,216151,17765,71713,67889,69743,73191,72826,17870,18197,13655,11906,243931,23967,68533,76199,74326,23871,66953,105278,110173,14198,18003,16842,244579,74189,56551,20861,101994,71066,208727	Gabra5,Glrx5,Csrp1,Upf1,Fli1,Cd180,Epb41l2,E2f7,Twist1,Tle4,Aipl1,Tcf7l2,Nfia,Cdh5,Creb3l3,Eomes,Tle3,Carmil1,Zic1,Capn3,Adarb2,Epc1,Tcf21,Kalrn,Olfm2,Yipf5,Alpl,Clpb,Hif1an,Bnc2,Cfdp1,Foxn2,Ppib,Polr3a,Maf,Obscn,Gorab,Ppm1e,Rps6-ps4,Pola1,Mgmt,Polr1a,Klf5,Celf4,Sod3,Stk24,Hilpda,Gpatch2,Celf2,Polrmt,Mtf2,Cdc40,Rbm18,Casz1,Fezf1,Fam76b,Mycs,Nsg2,Egr3,Zfhx3,Tshz3,Osr1,Mphosph6,Med13l,Hnrnpr,Ets1,Cdca7,Cdk20,Manba,Fhit,Nedd9,Lef1,Tox3,Phactr3,Txn2,Stfa1,Champ1,Hsfy2,Hdac4
