TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu04974	Protein digestion and absorption	0.00153535316968568	-6.47899484643573	90	6	0.0535714285714286	112	8044	232680,11933,12814,12829,12817,12819	Cpa2,Atp1b3,Col11a1,Col4a4,Col13a1,Col15a1
ko04974	Protein digestion and absorption	0.00153535316968568	-6.47899484643573	90	6	0.0535714285714286	112	8044	12829,12819,11933,12814,12817,232680	Col4a4,Col15a1,Atp1b3,Col11a1,Col13a1,Cpa2
M00056	O-glycan biosynthesis, mucin type core	0.00429787158983837	-5.44963535793257	24	3	0.0267857142857143	112	8044	78754,218476,230145	Galnt15,Gcnt4,Galnt12
mmu_M00056	O-glycan biosynthesis, mucin type core	0.00429787158983837	-5.44963535793257	24	3	0.0267857142857143	112	8044	230145,218476,78754	Galnt12,Gcnt4,Galnt15
ko05222	Small cell lung cancer	0.00586832237531924	-5.1381864823578	83	5	0.0446428571428571	112	8044	16399,12829,16774,16777,14198	Itga2b,Col4a4,Lama3,Lamb1,Fhit
mmu04512	ECM-receptor interaction	0.00586832237531924	-5.1381864823578	83	5	0.0446428571428571	112	8044	12829,241226,16774,16777,16399	Col4a4,Itga8,Lama3,Lamb1,Itga2b
mmu05222	Small cell lung cancer	0.00586832237531924	-5.1381864823578	83	5	0.0446428571428571	112	8044	16399,12829,14198,16777,16774	Itga2b,Col4a4,Fhit,Lamb1,Lama3
ko04512	ECM-receptor interaction	0.00586832237531924	-5.1381864823578	83	5	0.0446428571428571	112	8044	12829,241226,16774,16777,16399	Col4a4,Itga8,Lama3,Lamb1,Itga2b
ko00512	Mucin type O-glycan biosynthesis	0.00668156787327948	-5.00840260740525	28	3	0.0267857142857143	112	8044	78754,218476,230145	Galnt15,Gcnt4,Galnt12
mmu00512	Mucin type O-glycan biosynthesis	0.00668156787327948	-5.00840260740525	28	3	0.0267857142857143	112	8044	78754,230145,218476	Galnt15,Galnt12,Gcnt4
ko00230	Purine metabolism	0.0112549062812579	-4.48695113151214	176	7	0.0625	112	8044	218461,23971,18160,218832,14198,20019,18968	Pde8b,Papss1,Npr1,Polr3a,Fhit,Polr1a,Pola1
mmu00230	Purine metabolism	0.0112549062812579	-4.48695113151214	176	7	0.0625	112	8044	18968,20019,218832,18160,14198,218461,23971	Pola1,Polr1a,Polr3a,Npr1,Fhit,Pde8b,Papss1
mmu04916	Melanogenesis	0.0126410774203465	-4.37080365494459	100	5	0.0446428571428571	112	8044	16842,13618,21416,22178,208677	Lef1,Ednrb,Tcf7l2,Tyrp1,Creb3l3
ko04916	Melanogenesis	0.0126410774203465	-4.37080365494459	100	5	0.0446428571428571	112	8044	16842,13618,21416,22178,208677	Lef1,Ednrb,Tcf7l2,Tyrp1,Creb3l3
ko04080	Neuroactive ligand-receptor interaction	0.0176273397077086	-4.03830418972068	285	9	0.0803571428571429	112	8044	18101,18815,13618,104443,22045,244701,14804,110886,14654	Nmbr,Plg,Ednrb,Npffr2,Trhr,Mtnr1b,Grid2,Gabra5,Glra1
mmu04080	Neuroactive ligand-receptor interaction	0.0176273397077086	-4.03830418972068	285	9	0.0803571428571429	112	8044	14804,110886,14654,104443,22045,244701,18815,13618,18101	Grid2,Gabra5,Glra1,Npffr2,Trhr,Mtnr1b,Plg,Ednrb,Nmbr
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.0177463356956666	-4.03157622405307	72	4	0.0357142857142857	112	8044	16842,21416,16399,241226	Lef1,Tcf7l2,Itga2b,Itga8
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.0177463356956666	-4.03157622405307	72	4	0.0357142857142857	112	8044	241226,16842,21416,16399	Itga8,Lef1,Tcf7l2,Itga2b
mmu_M00075	N-glycan biosynthesis, complex type	0.0203012480257173	-3.89707291572479	16	2	0.0178571428571429	112	8044	53618,269181	Fut8,Mgat4a
M00075	N-glycan biosynthesis, complex type	0.0203012480257173	-3.89707291572479	16	2	0.0178571428571429	112	8044	269181,53618	Mgat4a,Fut8
ko04151	PI3K-Akt signaling pathway	0.0220401254639416	-3.81489060215729	346	10	0.0892857142857143	112	8044	208677,16777,22627,241226,105244208,16774,12829,231991,16399,22631	Creb3l3,Lamb1,Ywhae,Itga8,Rps6-ps4,Lama3,Col4a4,Creb5,Itga2b,Ywhaz
mmu04151	PI3K-Akt signaling pathway	0.0220401254639416	-3.81489060215729	346	10	0.0892857142857143	112	8044	12829,16774,22631,231991,16399,241226,16777,208677,22627,105244208	Col4a4,Lama3,Ywhaz,Creb5,Itga2b,Itga8,Lamb1,Creb3l3,Ywhae,Rps6-ps4
