TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005488	binding	5.90014520181477e-08	-16.6457037828664	14372	216	0.650602409638554	332	28418	13655,240873,208677,20088,21412,68533,66917,18160,19023,19290,208727,15223,232430,18812,226356,53421,259039,230145,17765,58869,230793,68732,11906,69089,244562,22329,13393,14007,71066,20480,52679,83379,73046,15277,77805,16803,22771,69743,19704,11981,17079,18509,74326,19799,74007,12224,56551,76251,76441,16774,71898,110558,23871,20496,109901,103149,16911,16399,104443,21416,19363,18646,30953,21888,108075,76527,22146,13822,116873,11647,223255,12817,20657,14236,268379,18197,17884,74199,12722,98376,18815,12335,19294,50524,21887,13842,74189,110596,244723,64143,22214,101994,242509,53618,545291,218832,78832,319974,12562,105244208,258741,20861,22627,11739,56079,67888,110173,17870,14245,12467,11838,12228,73191,73274,67993,114230,243897,16777,27411,11933,13176,20728,258806,18003,243931,69121,12819,74337,22631,14051,14654,72672,67059,13508,18285,320472,269181,19035,17314,241226,18027,67889,381644,14026,19876,78767,74080,330401,380698,320027,226778,268354,71713,13007,14198,320981,319634,28078,71760,23971,13371,21844,20338,69573,23967,22160,108013,240055,18968,110886,112407,68283,22217,67769,12737,19157,16842,14009,242083,14804,12814,13813,545156,244579,546726,319594,78754,330177,94191,216151,20019,13618,17132,69259,66405,70536,69940,14247,207181,231991,218461,226243,232680,22178,55983,320772,244071,140577,105278,17425,67080,231003,22045,66112,243659,319710	Egr3,Tnfsf18,Creb3l3,Rps24,Tcf21,Mphosph6,Chordc1,Npr1,Ppef2,Pura,Hdac4,Foxj1,Crebl2,Prl2c3,Cfap221,Sec61a1,Or9s23,Galnt12,Mtf2,Pex5l,Ahdc1,Carmil1,Zfhx3,Oxa1l,Abcc12,Vcam1,Dlx3,Celf2,Hsfy2,Clpb,E2f7,Klb,Glrx5,Hk2,Esco1,Lbp,Zic1,Casz1,Upf1,Atp9a,Cd180,Pax7,Hnrnpr,Rn4.5s,Abtb3,Klf5,Txn2,Ercc6l2,Daam2,Lama3,Apol9b,H2-Q9,Ets1,Slc12a2,Cela1,Upb1,Lmo4,Itga2b,Npffr2,Tcf7l2,Rad51b,Prf1,Schip1,Tle4,Ltbp4,Il34,Tuba1c,Epb41l2,Stim2,Alpl,Stk24,Col13a1,Sod3,Foxn2,Abca13,Nsg2,Myh4,Vit,Clca3a1,Gorab,Plg,Capn3,Nectin2,Sall2,Tle3,Epha8,Phactr3,Arhgef28,Olfm2,Ralb,Ube2h,Champ1,Bnc2,Fut8,Hpse2,Polr3a,Cacul1,Auts2,Cdh5,Rps6-ps4,Or8g21,Stfa1,Ywhae,Slc25a4,Astn2,Tmem100,Manba,Mycs,Lpin1,Cct6b,Arc,Btg3,Fezf1,Gpbp1,Nudt12,Aipl1,Ggn,Lamb1,Slc14a2,Atp1b3,Dcc,Spic,Or8b48,Nedd9,Tshz3,Chrdl2,Col15a1,Palm3,Ywhaz,Eya4,Glra1,Zfp518a,Ola1,Dscam,Odf1,Ppm1e,Mgat4a,Ppib,Mgmt,Itga8,Nfia,Rbm18,Cep135,Evl,Robo1,Efcab11,Nmnat3,Tmcc1,Obscn,Fstl4,Mark1,Tafa2,Cdc40,Csrp1,Fhit,Enpp6,Efcab5,Prl5a1,Etnppl,Papss1,Dio2,Tiam1,Sel1l,Hilpda,Osr1,Twist1,Celf4,Neurl1b,Pola1,Gabra5,Egln3,Matcap2,Usp12,Gpatch2,Cldn1,Cyth1,Lef1,Etv1,Ppm1l,Grid2,Col11a1,Eomes,Kalrn,Tox3,Cyp26c1,Hif1an,Galnt15,Taok3,Adarb2,Polrmt,Polr1a,Ednrb,Maf,Kctd5,Mcts2,Qpct,Exoc1,Fli1,Rbms3,Creb5,Pde8b,Habp2,Cpa2,Tyrp1,Pdzrn3,Mdga2,Agbl1,Ankrd6,Cdk20,Foxk1,1700019D03Rik,Klhl17,Trhr,Mtarc1,Styk1,Frmd6
GO:0046872	metal ion binding	8.59084704643659e-07	-13.967398311391	3683	75	0.225903614457831	332	28418	17314,218832,241226,320472,242509,269181,546726,73046,77805,78754,12562,319594,12814,101994,545156,78767,20019,12224,70536,69743,94191,19704,22771,11981,55983,244071,380698,22178,320027,226778,56079,232680,218461,226243,319634,109901,13007,103149,66112,16399,320981,14198,16911,240055,18968,67993,22146,13655,18646,23967,108075,73191,19023,11647,223255,243931,112407,68283,116873,208727,66917,230145,17765,22217,20657,50524,72672,12335,110596,67059,242083,12722,14051,14654,11906	Mgmt,Polr3a,Itga8,Ppm1e,Bnc2,Mgat4a,Cyp26c1,Glrx5,Esco1,Galnt15,Cdh5,Hif1an,Col11a1,Champ1,Kalrn,Efcab11,Polr1a,Klf5,Qpct,Casz1,Adarb2,Upf1,Zic1,Atp9a,Pdzrn3,Agbl1,Obscn,Tyrp1,Fstl4,Mark1,Astn2,Cpa2,Pde8b,Habp2,Efcab5,Cela1,Csrp1,Upb1,Mtarc1,Itga2b,Enpp6,Fhit,Lmo4,Neurl1b,Pola1,Nudt12,Tuba1c,Egr3,Prf1,Osr1,Ltbp4,Fezf1,Ppef2,Alpl,Stk24,Tshz3,Egln3,Matcap2,Stim2,Hdac4,Chordc1,Galnt12,Mtf2,Usp12,Sod3,Sall2,Zfp518a,Capn3,Arhgef28,Ola1,Ppm1l,Clca3a1,Eya4,Glra1,Zfhx3
GO:0043169	cation binding	2.61014539530023e-06	-12.8561046311697	3793	75	0.225903614457831	332	28418	19023,223255,11647,243931,112407,68283,208727,116873,66917,240055,18968,67993,22146,13655,18646,23967,108075,73191,50524,72672,12335,110596,67059,242083,12722,14051,14654,11906,230145,17765,22217,20657,78767,20019,12224,70536,69743,94191,19704,22771,11981,17314,241226,218832,242509,320472,269181,546726,73046,77805,78754,12562,319594,12814,101994,545156,319634,13007,109901,103149,66112,16399,320981,16911,14198,55983,244071,380698,22178,320027,226778,56079,232680,218461,226243	Ppef2,Stk24,Alpl,Tshz3,Egln3,Matcap2,Hdac4,Stim2,Chordc1,Neurl1b,Pola1,Nudt12,Tuba1c,Egr3,Prf1,Osr1,Ltbp4,Fezf1,Sall2,Zfp518a,Capn3,Arhgef28,Ola1,Ppm1l,Clca3a1,Eya4,Glra1,Zfhx3,Galnt12,Mtf2,Usp12,Sod3,Efcab11,Polr1a,Klf5,Qpct,Casz1,Adarb2,Upf1,Zic1,Atp9a,Mgmt,Itga8,Polr3a,Bnc2,Ppm1e,Mgat4a,Cyp26c1,Glrx5,Esco1,Galnt15,Cdh5,Hif1an,Col11a1,Champ1,Kalrn,Efcab5,Csrp1,Cela1,Upb1,Mtarc1,Itga2b,Enpp6,Lmo4,Fhit,Pdzrn3,Agbl1,Obscn,Tyrp1,Fstl4,Mark1,Astn2,Cpa2,Pde8b,Habp2
GO:0140110	transcription regulator activity	3.4647046204068e-06	-12.572883175592	1811	44	0.132530120481928	332	28418	230793,13393,11906,50524,16842,21887,14009,72672,71066,232430,14236,13176,20728,15223,243931,19290,208727,13655,23967,21888,73191,73274,208677,22160,21412,17870,16911,14245,21416,76199,231991,14247,17425,23871,69743,22771,18509,17132,12224,13813,244579,52679,319594,18027	Ahdc1,Dlx3,Zfhx3,Sall2,Lef1,Tle3,Etv1,Zfp518a,Hsfy2,Crebl2,Foxn2,Dcc,Spic,Foxj1,Tshz3,Pura,Hdac4,Egr3,Osr1,Tle4,Fezf1,Gpbp1,Creb3l3,Twist1,Tcf21,Mycs,Lmo4,Lpin1,Tcf7l2,Med13l,Creb5,Fli1,Foxk1,Ets1,Casz1,Zic1,Pax7,Maf,Klf5,Eomes,Tox3,E2f7,Hif1an,Nfia
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5.26605145073573e-06	-12.1542297265741	531	20	0.0602409638554217	332	28418	231991,13655,14247,208677,22160,21412,23871,18027,69743,22771,13393,17870,14009,50524,16842,17132,20728,15223,12224,21416	Creb5,Egr3,Fli1,Creb3l3,Twist1,Tcf21,Ets1,Nfia,Casz1,Zic1,Dlx3,Mycs,Etv1,Sall2,Lef1,Maf,Spic,Foxj1,Klf5,Tcf7l2
GO:0001216	DNA-binding transcription activator activity	6.3871369432458e-06	-11.9612244426806	538	20	0.0602409638554217	332	28418	14247,13655,231991,21412,18027,23871,208677,22160,17870,13393,22771,69743,21416,12224,15223,20728,17132,50524,16842,14009	Fli1,Egr3,Creb5,Tcf21,Nfia,Ets1,Creb3l3,Twist1,Mycs,Dlx3,Zic1,Casz1,Tcf7l2,Klf5,Foxj1,Spic,Maf,Sall2,Lef1,Etv1
GO:0003700	DNA-binding transcription factor activity	7.80671166583948e-06	-11.7605267242814	1336	35	0.105421686746988	332	28418	23967,73191,52679,13655,13813,21412,18027,73274,208677,22160,18509,69743,22771,12224,243931,15223,19290,17132,20728,14236,231991,232430,14247,23871,17425,17870,13393,11906,230793,71066,21416,16842,50524,14009,72672	Osr1,Fezf1,E2f7,Egr3,Eomes,Tcf21,Nfia,Gpbp1,Creb3l3,Twist1,Pax7,Casz1,Zic1,Klf5,Tshz3,Foxj1,Pura,Maf,Spic,Foxn2,Creb5,Crebl2,Fli1,Ets1,Foxk1,Mycs,Dlx3,Zfhx3,Ahdc1,Hsfy2,Tcf7l2,Lef1,Sall2,Etv1,Zfp518a
GO:0043167	ion binding	1.7523190599332e-05	-10.9519853772024	5440	95	0.286144578313253	332	28418	74337,17765,230145,67059,72672,14654,244562,11906,14051,67993,73191,13655,243931,208727,18160,19023,66917,320027,226778,380698,74080,76251,19363,71760,23971,319634,320981,16399,14198,16911,109901,13007,103149,77805,17314,241226,15277,269181,320472,73046,20480,12224,78767,11981,69743,19704,22771,17884,268379,20657,22217,110596,13842,242083,50524,12335,12722,22146,18968,240055,23967,18646,108075,11647,223255,112407,68283,116873,105278,55983,244071,22178,232680,218461,226243,56079,12467,66112,243659,12562,78754,319594,218832,242509,546726,22214,101994,545156,64143,12814,69940,70536,20019,94191,330177	Palm3,Mtf2,Galnt12,Ola1,Zfp518a,Glra1,Abcc12,Zfhx3,Eya4,Nudt12,Fezf1,Egr3,Tshz3,Hdac4,Npr1,Ppef2,Chordc1,Fstl4,Mark1,Obscn,Nmnat3,Ercc6l2,Rad51b,Etnppl,Papss1,Efcab5,Enpp6,Itga2b,Fhit,Lmo4,Cela1,Csrp1,Upb1,Esco1,Mgmt,Itga8,Hk2,Mgat4a,Ppm1e,Glrx5,Clpb,Klf5,Efcab11,Atp9a,Casz1,Upf1,Zic1,Myh4,Abca13,Sod3,Usp12,Arhgef28,Epha8,Ppm1l,Sall2,Capn3,Clca3a1,Tuba1c,Pola1,Neurl1b,Osr1,Prf1,Ltbp4,Alpl,Stk24,Egln3,Matcap2,Stim2,Cdk20,Pdzrn3,Agbl1,Tyrp1,Cpa2,Pde8b,Habp2,Astn2,Cct6b,Mtarc1,Styk1,Cdh5,Galnt15,Hif1an,Polr3a,Bnc2,Cyp26c1,Ube2h,Champ1,Kalrn,Ralb,Col11a1,Exoc1,Qpct,Polr1a,Adarb2,Taok3
GO:0003690	double-stranded DNA binding	2.69121082356826e-05	-10.5229342523446	1597	38	0.114457831325301	332	28418	14009,50524,16842,72672,71066,19363,21416,230793,13393,17870,11906,17765,17425,23871,231991,14247,14236,17132,20728,15223,12224,208727,19290,69743,22771,18509,216151,18968,242509,22160,208677,21412,18027,13813,13655,23967,73191,52679	Etv1,Sall2,Lef1,Zfp518a,Hsfy2,Rad51b,Tcf7l2,Ahdc1,Dlx3,Mycs,Zfhx3,Mtf2,Foxk1,Ets1,Creb5,Fli1,Foxn2,Maf,Spic,Foxj1,Klf5,Hdac4,Pura,Casz1,Zic1,Pax7,Polrmt,Pola1,Bnc2,Twist1,Creb3l3,Tcf21,Nfia,Eomes,Egr3,Osr1,Fezf1,E2f7
GO:1990837	sequence-specific double-stranded DNA binding	3.47426870119837e-05	-10.2675414537986	1495	36	0.108433734939759	332	28418	13655,13813,52679,73191,23967,208677,22160,242509,18968,18027,21412,22771,69743,216151,18509,20728,17132,19290,208727,12224,15223,14247,231991,14236,23871,17425,17765,11906,17870,13393,72672,16842,50524,14009,21416,71066	Egr3,Eomes,E2f7,Fezf1,Osr1,Creb3l3,Twist1,Bnc2,Pola1,Nfia,Tcf21,Zic1,Casz1,Polrmt,Pax7,Spic,Maf,Pura,Hdac4,Klf5,Foxj1,Fli1,Creb5,Foxn2,Ets1,Foxk1,Mtf2,Zfhx3,Mycs,Dlx3,Zfp518a,Lef1,Sall2,Etv1,Tcf7l2,Hsfy2
