TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00178	Ets	0.000460232268164383	-7.68377926512365	26	4	0.0146520146520147	273	19276	23871,20728,14247,14009	Ets1,Spic,Fli1,Etv1
PF01823	MACPF	0.000562298003407274	-7.48347859343309	12	3	0.010989010989011	273	19276	56079,18646,17476	Astn2,Prf1,Mpeg1
PF04997	RNA_pol_Rpb1_1	0.000593952071518335	-7.42871192953663	3	2	0.00732600732600733	273	19276	20019,218832	Polr1a,Polr3a
PF04998	RNA_pol_Rpb1_5	0.000593952071518335	-7.42871192953663	3	2	0.00732600732600733	273	19276	218832,20019	Polr3a,Polr1a
PF04983	RNA_pol_Rpb1_3	0.000593952071518335	-7.42871192953663	3	2	0.00732600732600733	273	19276	218832,20019	Polr3a,Polr1a
PF05000	RNA_pol_Rpb1_4	0.000593952071518335	-7.42871192953663	3	2	0.00732600732600733	273	19276	218832,20019	Polr3a,Polr1a
PF00623	RNA_pol_Rpb1_2	0.000593952071518335	-7.42871192953663	3	2	0.00732600732600733	273	19276	218832,20019	Polr3a,Polr1a
PF08347	CTNNB1_binding	0.00117678194992467	-6.74497172706399	4	2	0.00732600732600733	273	19276	16842,21416	Lef1,Tcf7l2
PF13927	Ig_3	0.00161594653325809	-6.42783440528573	120	7	0.0256410256410256	273	19276	19876,320027,320772,13508,216760,214425,22329	Robo1,Fstl4,Mdga2,Dscam,Mfap3,Cilp,Vcam1
PF03920	TLE_N	0.00194296089827	-6.24354223320004	5	2	0.00732600732600733	273	19276	21888,21887	Tle4,Tle3
PF07679	I-set	0.00254767852852728	-5.97257271542993	130	7	0.0256410256410256	273	19276	19876,380698,320772,13508,545156,13176,22329	Robo1,Obscn,Mdga2,Dscam,Kalrn,Dcc,Vcam1
