TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00346	ETS_DOMAIN_2	0.000390077152581077	-7.84916601127482	24	4	0.0201005025125628	199	13465	14009,14247,20728,23871	Etv1,Fli1,Spic,Ets1
PS50061	ETS_DOMAIN_3	0.00053627670128864	-7.53086029634881	26	4	0.0201005025125628	199	13465	20728,23871,14009,14247	Spic,Ets1,Etv1,Fli1
PS50010	DH_2	0.00328945459571025	-5.71703350432714	68	5	0.0251256281407035	199	13465	110596,109934,21844,380698,545156	Arhgef28,Abr,Tiam1,Obscn,Kalrn
PS00345	ETS_DOMAIN_1	0.00347525507197226	-5.66208740065277	21	3	0.0150753768844221	199	13465	14009,14247,23871	Etv1,Fli1,Ets1
PS00797	1433_2	0.00434630831626621	-5.43842845712711	7	2	0.0100502512562814	199	13465	22631,22627	Ywhaz,Ywhae
PS00796	1433_1	0.00434630831626621	-5.43842845712711	7	2	0.0100502512562814	199	13465	22631,22627	Ywhaz,Ywhae
PS51412	MACPF_2	0.005738879940406	-5.1604912200249	8	2	0.0100502512562814	199	13465	17476,18646	Mpeg1,Prf1
PS51433	PNT	0.00904550134736112	-4.70548773354922	10	2	0.0100502512562814	199	13465	23871,14247	Ets1,Fli1
PS00657	FORK_HEAD_1	0.00962516460283373	-4.6433742973614	30	3	0.0150753768844221	199	13465	14236,17425,15223	Foxn2,Foxk1,Foxj1
PS01032	PPM_1	0.0109487865791392	-4.51452664355051	11	2	0.0100502512562814	199	13465	320472,242083	Ppm1e,Ppm1l
PS00529	RIBOSOMAL_S24E	0.0147790568138343	-4.21454418052986	1	1	0.0050251256281407	199	13465	20088	Rps24
PS51997	UPF1_CH_RICH	0.0147790568138343	-4.21454418052986	1	1	0.0050251256281407	199	13465	19704	Upf1
PS00900	RNA_POL_PHAGE_1	0.0147790568138343	-4.21454418052986	1	1	0.0050251256281407	199	13465	216151	Polrmt
PS51659	GT23	0.0147790568138343	-4.21454418052986	1	1	0.0050251256281407	199	13465	53618	Fut8
PS00489	RNA_POL_PHAGE_2	0.0147790568138343	-4.21454418052986	1	1	0.0050251256281407	199	13465	216151	Polrmt
