TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-4641265	Repression of WNT target genes	1.39271363615545e-06	-13.4842564577703	7	4	0.032	125	8672	16842,21888,21416,21887	Lef1,Tle4,Tcf7l2,Tle3
R-MMU-1474244	Extracellular matrix organization	3.18400856802353e-05	-10.3547845060295	270	14	0.112	125	8672	12819,19035,18815,16615,22329,16399,12829,216760,16774,108075,12817,241226,12814,16777	Col15a1,Ppib,Plg,Klk1b16,Vcam1,Itga2b,Col4a4,Mfap3,Lama3,Ltbp4,Col13a1,Itga8,Col11a1,Lamb1
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex	0.000223285926481828	-8.40705742626408	39	5	0.04	125	8672	22631,16842,21887,21416,21888	Ywhaz,Lef1,Tle3,Tcf7l2,Tle4
R-MMU-1474290	Collagen formation	0.000615143181438795	-7.39365550190741	73	6	0.048	125	8672	12819,16774,19035,12814,12817,12829	Col15a1,Lama3,Ppib,Col11a1,Col13a1,Col4a4
R-MMU-1650814	Collagen biosynthesis and modifying enzymes	0.00192760860711489	-6.25147510801047	62	5	0.04	125	8672	12817,12829,12819,19035,12814	Col13a1,Col4a4,Col15a1,Ppib,Col11a1
R-MMU-216083	Integrin cell surface interactions	0.00206998454038647	-6.18021414014508	63	5	0.04	125	8672	241226,22329,12817,16399,12829	Itga8,Vcam1,Col13a1,Itga2b,Col4a4
R-MMU-201722	Formation of the beta-catenin:TCF transactivating complex	0.00207878004825615	-6.17597407259774	38	4	0.032	125	8672	16842,21416,21888,21887	Lef1,Tcf7l2,Tle4,Tle3
R-MMU-8948216	Collagen chain trimerization	0.00275878545365849	-5.89296474912711	41	4	0.032	125	8672	12819,12814,12817,12829	Col15a1,Col11a1,Col13a1,Col4a4
R-MMU-1500931	Cell-Cell communication	0.00284085104059293	-5.86365160951816	98	6	0.048	125	8672	13176,12562,13508,19294,12737,16774	Dcc,Cdh5,Dscam,Nectin2,Cldn1,Lama3
R-MMU-204998	Cell death signalling via NRAGE, NRIF and NADE	0.00309056028625758	-5.77940288209595	69	5	0.04	125	8672	109934,21844,380698,545156,22627	Abr,Tiam1,Obscn,Kalrn,Ywhae
R-MMU-6814848	Glycerophospholipid catabolism	0.00412831914225939	-5.48988494219742	7	2	0.016	125	8672	233552,320981	Gdpd5,Enpp6
R-MMU-1474228	Degradation of the extracellular matrix	0.00439265552031636	-5.42782133265242	107	6	0.048	125	8672	12817,18815,12819,16774,16777,16615	Col13a1,Plg,Col15a1,Lama3,Lamb1,Klk1b16
