TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00027	HOMEOBOX_1	6.0874857425219e-16	-35.0351263415896	185	127	0.0239036325992848	5313	13465	18933,140477,15242,20204,15402,18089,14029,18997,22255,13172,18091,18999,18741,11695,13796,104382,80892,16871,20231,15410,18935,18609,209448,15426,11694,668814,15395,11878,14836,15430,244813,14843,18424,17286,18423,228731,18514,17703,252830,14472,15413,15414,54352,223843,27217,16392,13047,13799,13392,15401,672284,54422,18092,15371,27140,18986,195333,15407,194588,12022,18742,231044,18096,15415,18509,16872,16373,21909,20472,18095,15285,109663,17702,14028,16917,21869,71468,13395,15416,71597,18988,20475,16875,18516,18998,64379,11859,15284,18094,13394,22326,13393,15436,12590,15399,18994,16874,15432,17285,18736,12023,71950,15396,15425,19434,110648,14912,16371,12677,21410,216285,11906,15417,17701,15408,15423,13798,20429,13390,21908,14842,16870,18508,13048,12020,18740,18505	Prrx1,Dmbx1,Hhex,Prrx2,Hoxa5,Nkx2-3,Evx2,Pou4f2,Uncx,Dbx1,Nkx2-5,Pou5f1,Pitx2,Alx4,Emx1,Barhl2,Zfhx4,Lhx3,Nkx1-2,Hoxb3,Phox2b,Pdx1,Hoxc10,Hoxc8,Alx3,Gm9376,Hoxa10,Arx,Gsc,Hoxd10,Bsx,Gsx2,Otx2,Meox2,Otx1,Nkx2-4,Pbx1,Msx3,Obox6,Gbx2,Hoxb5,Hoxb6,Irx5,Dbx2,Mixl1,Isl1,Cux1,En2,Dlx2,Hoxa4,Nkx1-1,Barhl1,Nkx2-6,Hmx1,Tlx3,Pou2f1,Gsc2,Hoxb1,Obox7,Barx1,Pitx3,Gbx1,Nkx6-1,Hoxb7,Pax7,Lhx4,Irx3,Tlx2,Six2,Nkx3-1,Mnx1,Hoxc11,Msx2,Evx1,Lmx1b,Nkx2-1,Obox1,Dlx5,Hoxb8,Isx,Pou2f3,Six5,Lhx8,Pbx3,Pou4f3,Irx6,Phox2a,Hlx,Nkx2-9,Dlx4,Vax1,Dlx3,Hoxd4,Cdx1,Hoxa2,Pou3f4,Lhx6,Hoxd12,Meox1,Pou1f1,Barx2,Nanog,Hoxa11,Hoxc6,Rax,Lmx1a,Nkx6-2,Irx1,Vsx2,Hnf1b,Alx1,Zfhx3,Hoxb9,Msx1,Hoxb13,Hoxc4,En1,Shox2,Dlx1,Tlx1,Gsx1,Lhx2,Pax6,Cux2,Nkx3-2,Pitx1,Pax3
PS50071	HOMEOBOX_2	3.20220072036926e-13	-28.7697679103761	248	154	0.0289855072463768	5313	13465	15395,668814,11694,15426,209448,244813,14843,14836,15430,11878,246086,212712,245596,18935,18609,17536,80892,104382,13796,546024,18741,11695,18999,15410,19009,20231,16871,225631,15402,20204,15242,140477,18933,13172,18091,22255,18997,14029,18089,18096,231044,18742,12022,194588,195333,15407,20472,21909,16373,16872,18509,15415,15401,74318,13392,13799,13047,384452,20476,16392,27217,18986,27140,15371,54422,18092,672284,219150,100039913,14472,54352,223843,15414,15413,18423,17537,243931,17286,18424,252830,17703,18514,228731,20473,17285,15432,16874,18994,15399,12023,18736,18094,208076,15284,11859,18771,64379,18291,21815,12590,13393,15436,22326,22770,13394,16875,20475,18988,71597,18998,228839,18516,16917,14028,17702,109663,18095,15285,75507,15416,13395,71468,21869,13048,20230,18508,14842,16870,21908,18505,18740,12020,15423,15408,15417,17701,13390,20429,13798,16815,21410,12677,16371,239099,216285,11906,387609,19434,15425,71950,15396,14912,110648,664783	Hoxa10,Gm9376,Alx3,Hoxc8,Hoxc10,Bsx,Gsx2,Gsc,Hoxd10,Arx,Onecut3,Satb2,Hdx,Phox2b,Pdx1,Meis2,Zfhx4,Barhl2,Emx1,Crxos,Pitx2,Alx4,Pou5f1,Hoxb3,Pou6f1,Nkx1-2,Lhx3,Onecut2,Hoxa5,Prrx2,Hhex,Dmbx1,Prrx1,Dbx1,Nkx2-5,Uncx,Pou4f2,Evx2,Nkx2-3,Nkx6-1,Gbx1,Pitx3,Barx1,Obox7,Gsc2,Hoxb1,Six2,Tlx2,Irx3,Lhx4,Pax7,Hoxb7,Hoxa4,Hopx,Dlx2,En2,Cux1,Noto,Six6,Isl1,Mixl1,Pou2f1,Tlx3,Hmx1,Barhl1,Nkx2-6,Nkx1-1,Hmbox1,Rhox2b,Gbx2,Irx5,Dbx2,Hoxb6,Hoxb5,Otx1,Meis3,Tshz3,Meox2,Otx2,Obox6,Msx3,Pbx1,Nkx2-4,Six3,Meox1,Hoxd12,Lhx6,Pou3f4,Hoxa2,Barx2,Pou1f1,Nkx2-9,Pknox2,Hlx,Phox2a,Pknox1,Irx6,Nobox,Tgif1,Cdx1,Dlx3,Hoxd4,Vax1,Zhx1,Dlx4,Lhx8,Six5,Pou2f3,Isx,Pou4f3,Tgif2,Pbx3,Lmx1b,Evx1,Msx2,Hoxc11,Nkx3-1,Mnx1,Pou5f2,Hoxb8,Dlx5,Obox1,Nkx2-1,Cux2,Satb1,Pax6,Gsx1,Lhx2,Tlx1,Pax3,Pitx1,Nkx3-2,Hoxc4,Hoxb13,Hoxb9,Msx1,Dlx1,Shox2,En1,Lbx2,Hnf1b,Vsx2,Irx1,Homez,Alx1,Zfhx3,Zhx2,Rax,Hoxc6,Nanog,Hoxa11,Nkx6-2,Lmx1a,Dux
PS50003	PH_DOMAIN	8.05393772893883e-12	-25.5448599852229	237	145	0.0272915490306795	5313	13465	80297,26377,27062,54126,110596,20741,50915,320495,26936,380921,208177,78514,74002,218952,71435,19877,223435,27260,16369,263406,234353,67016,75415,231532,230837,353047,94190,381605,71801,213783,21682,57257,17207,54153,71704,16367,101540,77300,69710,16561,213556,70292,102075,109294,68018,226525,227120,212285,105445,194231,18805,22325,19417,20649,69239,216991,233765,210293,232970,106326,71720,27276,72318,21844,19159,76117,219140,16428,53972,544817,18799,241075,74309,20742,211914,69601,20947,224860,19157,231999,54353,83435,226751,102098,110279,17909,13998,71096,102595,227333,79196,216439,245684,71302,14388,232237,227737,320129,24055,215632,216445,26382,16560,106877,240753,18760,78255,69632,347722,622434,114713,226971,269615,109934,331374,74486,13196,277360,109135,268534,19415,319934,241639,19418,78473,14783,24001,13429,76303,103967,19414,545156,231717,384783,231134,75547,240505,213649,216190,223254,226970,230972,213522,239027,269608	Sptbn4,Dapp1,Cadps,Arhgef7,Arhgef28,Sptb,Grb14,Ipcef1,Mprip,Dgkh,Phldb2,Arhgap10,Psd2,Fermt2,Arhgap21,Rock1,Trio,Plek2,Irs3,Plekhg3,Psd3,Tbc1d2b,Arhgap12,Arhgap24,Asap3,Plekhm1,Ophn1,Tbc1d2,Plekhf2,Plekhg1,Tec,Vav3,Mcf2l,Rasa4,Arhgef3,Irs1,Prkd2,Raph1,Arap1,Kif1b,Plekhh2,Afap1,Plekhg4,Prex2,Cert1,Rasal2,Plcl1,Arap2,Dock9,Cnksr1,Pld1,Vav2,Rasgrf1,Sntb1,Pdzph1,Adap2,Plekha7,Dock10,Phldb3,Osbpl11,Osbpl3,Plekhb1,Cyth4,Tiam1,Cyth3,Arhgap15,Spata13,Itk,Ngef,Arhgap27,Plcd1,Plekhm3,Osbp2,Sptbn1,Asap2,Dab2ip,Swap70,Plcl2,Cyth1,Plekha8,Skap2,Plekha3,Cdc42bpa,Arhgef18,Bcr,Myo10,Fgd6,Sntg1,Plekho2,Dgkd,Osbpl5,Agap2,Cnksr2,Arhgap26,Gab1,Fgd5,Niban2,Grk3,Sh3bp2,Psd4,Arhgap9,Fgd2,Kif1a,Afap1l1,Plekha6,Prkd1,Ralgps2,Arhgef12,Agap1,Arhgef26,Rasa2,Plekhb2,Plch2,Abr,Dgkk,Osbpl10,Asap1,Prex1,Plekha5,Sntg2,Rasal1,Sbf2,Fermt1,Rasgrf2,Skap1,Grb10,Tiam2,Dnm1,Osbp,Dnm3,Rasa3,Kalrn,Pheta1,Irs2,Dok7,Akap13,Cdc42bpg,Arhgef19,Appl2,Farp1,Arhgef4,Arhgef16,Plekhg6,Arhgap22,Plekhg5
PS00022	EGF_1	3.96608250102416e-10	-21.6480720979855	164	104	0.0195746282702804	5313	13465	226255,268977,56363,94217,228357,192188,16419,54003,23964,208777,226243,23928,268780,320910,18791,21667,70945,23965,230316,16420,211323,14119,18131,16773,18792,16997,12223,19128,16774,75740,16782,11496,77446,13389,16416,16775,19699,241324,16412,12614,71920,18208,170788,20562,17304,16772,23792,21802,20344,20343,24117,80883,16971,11839,81877,70417,230971,13645,65969,214058,13612,224024,192187,16421,114249,14725,171508,21923,102635496,240675,20564,15245,140474,20563,329628,16414,22283,192897,14107,23966,14118,14068,13388,16780,15530,329278,270120,16998,353156,100042150,338352,110382,13003,245827,16449,171171,107934,13874,57764,16777,53883,18209,21960,54485	Atrnl1,Ltbp1,Tmeff2,Lrp1b,Lrp4,Stab2,Itgb5,Nell2,Tenm2,Sned1,Habp2,Lamc3,Egflam,Itgb8,Plat,Cripto,Mmrn1,Tenm3,Megf9,Itgb6,Nrg1,Fbn2,Notch3,Lama2,Plau,Ltbp2,Btc,Pros1,Lama3,Egfem1,Lamc2,Adam22,Heg1,Dll3,Itgb3,Lama4,Reln,Crb2,Itgb1,Celsr1,Epgn,Ntn1,Crb1,Slit1,Mfge8,Lama1,Adam23,Tgfa,Selp,Sell,Wif1,Ntng1,Lrp1,Areg,Tnxb,Megf10,Megf6,Egf,Cubn,Megf11,Edil3,Scarf2,Stab1,Itgb7,Npnt,Lrp2,Creld1,Tnc,Malrd1,Vwa2,Slit3,Hhip,Muc4,Slit2,Fat4,Itgb2,Ush2a,Itgb4,Fat1,Tenm4,Fbn1,F7,Dll1,Lamb3,Hspg2,Tnn,Fat3,Ltbp3,Egfl7,Nrg2,Nell1,C8b,Vcan,Fat2,Jag1,Ntng2,Celsr3,Ereg,Ntn4,Lamb1,Celsr2,Ntn3,Tnr,Dll4
PS50025	LAM_G_DOMAIN	4.28626189379402e-10	-21.5704359302776	37	33	0.0062111801242236	5313	13465	270120,15530,18190,170571,20415,16774,19128,16773,14107,16772,238680,18191,170788,53867,22283,20562,620292,18189,329628,20563,12614,53883,20564,53321,241324,636808,121021,268780,107934,16775,245827,338352,66797	Fat3,Hspg2,Nrxn2,Cntnap4,Shbg,Lama3,Pros1,Lama2,Fat1,Lama1,Cntnap3,Nrxn3,Crb1,Col5a3,Ush2a,Slit1,Cntnap5c,Nrxn1,Fat4,Slit2,Celsr1,Celsr2,Slit3,Cntnap1,Crb2,Cntnap5a,Cspg4,Egflam,Celsr3,Lama4,Fat2,Nell1,Cntnap2
PS50026	EGF_3	4.75370081170936e-10	-21.4669274969944	200	122	0.0229625447016751	5313	13465	56788,13522,20562,170788,17304,17287,12614,71920,22359,19699,241324,19224,52020,66797,11496,77446,13389,545370,17064,18131,19128,12223,18792,16997,75740,21828,211323,14119,11492,216616,21667,620292,382007,23965,70945,64706,18074,11499,268780,13733,636808,18791,11489,192188,54003,23964,226243,26364,208777,170571,18190,268977,56363,94217,226255,18419,18189,54485,18191,53883,238405,71078,171171,245827,16449,107934,13874,23876,17288,100042150,14114,353156,13003,384813,338352,270120,16998,21827,13388,268935,15530,23966,14107,14118,11490,14068,238680,14115,320924,24087,634731,240675,53321,20564,15245,21826,20563,140474,329628,224024,192187,114249,11495,171508,14725,102635496,21923,238406,65969,214058,13612,80883,24117,16971,11839,13645,70417,230971,23792,21802,20344,20343	Scube2,Adam28,Slit1,Crb1,Mfge8,Mep1a,Celsr1,Epgn,Vldlr,Reln,Crb2,Ptgs1,Umodl1,Cntnap2,Adam22,Heg1,Dll3,Hmcn1,Cd93,Notch3,Pros1,Btc,Plau,Ltbp2,Egfem1,Thbs4,Nrg1,Fbn2,Adam19,Efemp1,Cripto,Cntnap5c,Adam26b,Tenm3,Mmrn1,Scube1,Nid2,Adam5,Egflam,Adgre1,Cntnap5a,Plat,Adam12,Stab2,Nell2,Tenm2,Habp2,Adgre5,Sned1,Cntnap4,Nrxn2,Ltbp1,Tmeff2,Lrp1b,Atrnl1,Otog,Nrxn1,Dll4,Nrxn3,Celsr2,Adam6b,Adam30,Ntng2,Fat2,Jag1,Celsr3,Ereg,Fbln5,Mep1b,Nrg2,Fbln1,Egfl7,Vcan,Adam34l,Nell1,Fat3,Ltbp3,Thbs3,Dll1,Scube3,Hspg2,Tenm4,Fat1,Fbn1,Adam15,F7,Cntnap3,Fbln2,Ccbe1,Tll2,Susd1,Vwa2,Cntnap1,Slit3,Hhip,Thbs2,Slit2,Muc4,Fat4,Scarf2,Stab1,Npnt,Adam2,Creld1,Lrp2,Malrd1,Tnc,Adam6a,Cubn,Megf11,Edil3,Ntng1,Wif1,Lrp1,Areg,Egf,Megf10,Megf6,Adam23,Tgfa,Selp,Sell
PS01186	EGF_2	3.86359736562685e-09	-19.3716671274678	213	126	0.0237154150197628	5313	13465	16416,22359,19699,241324,56788,13522,20562,170788,17304,12614,71920,16773,18131,19128,16997,12223,21828,75740,16774,16420,230316,211323,14119,66864,216616,11492,77446,13836,13389,545370,17064,18074,11499,320910,268780,13733,13839,18791,16974,23928,70945,23965,64706,268977,56363,94217,228357,226255,192188,23964,54003,16419,226243,208777,17174,667277,171171,245827,16449,107934,13874,23876,14114,100042150,353156,70445,110382,13003,338352,54485,21960,53883,16777,238405,13841,71078,23966,14107,14118,17183,11490,14115,320924,16998,270120,230735,21827,13388,16780,268935,329278,15530,224024,192187,171508,14725,16421,114249,102635496,21923,238406,20660,24087,16414,192897,634731,240675,20564,15245,21826,20563,329628,24117,16971,81877,13645,230971,70417,16772,20344,21802,20343,65969,13842,214058,13612	Itgb3,Vldlr,Reln,Crb2,Scube2,Adam28,Slit1,Crb1,Mfge8,Celsr1,Epgn,Lama2,Notch3,Pros1,Ltbp2,Btc,Thbs4,Egfem1,Lama3,Itgb6,Megf9,Nrg1,Fbn2,Clec14a,Efemp1,Adam19,Heg1,Epha2,Dll3,Hmcn1,Cd93,Nid2,Adam5,Itgb8,Egflam,Adgre1,Epha5,Plat,Lrp6,Lamc3,Mmrn1,Tenm3,Scube1,Ltbp1,Tmeff2,Lrp1b,Lrp4,Atrnl1,Stab2,Tenm2,Nell2,Itgb5,Habp2,Sned1,Masp1,C1rb,Ntng2,Fat2,Jag1,Celsr3,Ereg,Fbln5,Fbln1,Nrg2,Egfl7,Cd248,C8b,Vcan,Nell1,Dll4,Tnr,Celsr2,Lamb1,Adam6b,Epha7,Adam30,Tenm4,Fat1,Fbn1,Matn4,Adam15,Fbln2,Ccbe1,Ltbp3,Fat3,Epha10,Thbs3,Dll1,Lamb3,Scube3,Tnn,Hspg2,Scarf2,Stab1,Creld1,Lrp2,Itgb7,Npnt,Malrd1,Tnc,Adam6a,Sorl1,Tll2,Itgb2,Itgb4,Susd1,Vwa2,Slit3,Hhip,Thbs2,Slit2,Fat4,Wif1,Lrp1,Tnxb,Egf,Megf6,Megf10,Lama1,Selp,Tgfa,Sell,Cubn,Epha8,Megf11,Edil3
PS50853	FN3	1.60005972276021e-08	-17.9506397886781	190	113	0.0212685864859778	5313	13465	16979,12835,16192,17930,81877,399558,13842,268902,56741,109272,19273,215494,78911,19274,13838,19266,71436,20660,231760,28105,18414,319448,233067,235472,12818,21923,14600,13508,396184,226438,207777,15975,545156,107589,22283,192897,329278,19270,230735,16161,80749,70530,244682,16199,320772,19281,16197,13841,17967,21960,16337,237979,15980,320181,19280,68753,213208,21367,242700,19649,53311,242702,16190,12804,319504,18488,13840,545902,12982,60504,208777,117606,268780,57914,13839,13837,72007,19876,114873,105653,237523,70911,19283,13857,18007,13176,16194,330863,330222,16001,23920,19272,12816,237313,13844,19268,13836,52020,22174,53870,269784,16195,54343,17968,13848,19264,319636,12661,269116,16880,68655,19263,11790	Lrrn1,Col6a3,Il5ra,Myom2,Tnxb,Flrt2,Epha8,Robo2,Igdcc4,Mybpc1,Ptpru,Pomgnt2,Trim42,Ptprm,Epha4,Ptprd,Flrt3,Sorl1,Rimbp2,Trim36,Osmr,Fndc3a,Lrfn3,Prtg,Col14a1,Tnc,Ghr,Dscam,Flrt1,Igfn1,Tspoap1,Ifnar1,Kalrn,Mylk,Ush2a,Itgb4,Tnn,Ptprg,Epha10,Il12rb1,Lrfn1,Lrfn2,Cntn5,Il9r,Mdga2,Ptprt,Il7r,Epha7,Ncam1,Tnr,Insr,Sdk2,Ifngr2,Fndc7,Ptprs,Mybphl,Il20rb,Cntn2,Ifnlr1,Robo3,Mybph,Myom3,Il4ra,Cntfr,Nrcam,Cntn3,Epha6,Ptprh,Csf2ra,Il21r,Sned1,Boc,Egflam,Crlf2,Epha5,Epha3,Fndc3b,Robo1,Dscaml1,Phyhip,Ptprq,Phyhipl,Ptprz1,Epor,Neo1,Dcc,Il6ra,Trim67,Sdk1,Igf1r,Insrr,Ptprk,Col12a1,Il20ra,Ephb2,Ptprf,Epha2,Umodl1,Tyro3,Cntn6,Cntn4,Il6st,Atf7ip,Ncam2,Ephb6,Ptprc,Fsd1l,Chl1,Nfasc,Lifr,Fndc1,Ptprb,Speg
PS50835	IG_LIKE	3.20992651028643e-08	-17.2544327010643	457	237	0.0446075663466968	5313	13465	14129,17967,237979,171285,60367,14963,235106,244682,26456,13052,320772,19281,13003,15018,210801,16590,68481,15530,240916,102657,319742,71306,18213,105827,229499,84544,74603,27028,226438,545156,238205,16980,107589,16178,14182,14254,83964,668101,235472,17136,98365,230613,84004,26367,207683,16206,116904,19274,240095,56741,192198,71687,242384,331461,78908,15006,320840,16979,210094,14183,75690,11790,12231,12661,12479,22253,26563,72058,107250,14999,12477,54725,68709,78789,26438,22174,12506,630146,12950,241568,19268,239857,20346,72431,71461,170643,235402,67703,71740,328830,19294,13176,330222,224756,235281,75345,18007,70693,16456,276891,114871,114873,195564,107449,16160,208154,117606,271375,224753,75426,20349,66601,20353,15000,12501,12804,18488,319504,18212,12518,14257,53311,242702,269959,114872,230868,58235,19280,54215,21367,547431,269473,230622,57278,110557,12516,80749,70530,211739,14985,100042150,106347,26561,98752,330483,381484,21838,14972,107448,224761,751864,19221,29817,230623,117586,13723,68810,242235,225638,50723,13508,27218,68802,14186,233067,320563,17082,74748,19266,18595,26436,109272,620235,224792,228592,277432,71566,231668,16174,268902,224754,17930,20320,407814,12519,74761,69675,14125,268890,14184,269116,26564,243864,53870,269784,18566,17968,101434,19272,223435,545370,12522,16194,77739,83382,110558,213262,320398,211323,246256,17085,18613,632126,26365,19876,667977,330908,16542,52855,238555,22364,80891,320027,16177,20354,72333,11595,217303,80719,19649,107527,242627,329919,233274,16423,68753,58998	Fcgr1,Ncam1,Sdk2,Havcr2,Il1rapl2,H2-Bl,Ntm,Cntn5,Sema4g,Cxadr,Mdga2,Ptprt,Vcan,H2-Q7,Unc5d,Kit,Mpzl1,Hspg2,Vsig8,Cd276,Mpzl3,Mfap3l,Ntrk3,Amigo2,Fcrl1,Cd96,Cd200r3,Ermap,Igfn1,Kalrn,Lrfn5,Lrrn2,Mylk,Il1r2,Fgfr1,Flt1,Jam3,Sirpb1b,Prtg,Mag,Slamf9,Skint10,Mcam,Ceacam2,Igsf11,Lrig1,Alpk3,Ptprm,H2-M5,Igdcc4,Lrrc4,Tmem25,Lingo2,Il1rapl1,Igsf3,H2-Q1,Negr1,Lrrn1,Iglon5,Fgfr2,Vsig10l,Speg,Btn1a1,Chl1,Cd1d1,Unc5c,Ror1,Igsf5,Kazald1,H2-DMb1,Ctla4,Cadm1,Cilp2,Vsig1,Psg18,Tyro3,Cd48,Cd101,Hapln1,Lrrc4c,Ptprf,Cadm2,Sema3a,Ceacam18,Ptk7,Kirrel1,Lingo1,Kirrel3,Nectin4,A530064D06Rik,Nectin2,Dcc,Sdk1,H2-M1,Scn3b,Slamf7,Neo1,Adgra3,F11r,Timd4,Psg28,Dscaml1,Skint3,Unc5b,Il12b,Btla,Boc,Cd200r2,H2-M10.4,Igfbpl1,Sema3e,Tmigd1,Sema4c,H2-DMb2,Cd3e,Cntfr,Cntn3,Nrcam,Ntrk2,Cd79a,Flt4,Mybph,Myom3,Adamtsl3,Psg29,Igsf21,Nectin1,Ptprs,Cd160,Cntn2,Btnl2,Lrig2,Skint6,Bcam,H2-Q6,Cd7,Lrfn1,Lrfn2,Vstm2a,H2-M10.1,Nrg2,Ildr1,Mmp23,Fcrla,Ceacam16,Gm5150,Thy1,H2-K1,Unc5a,H2-M10.5,Sirpd,Ptgfrn,Igfbp7,Skint11,A1bg,Emb,Nexn,Lrit3,Alpk2,Icosl,Dscam,Slamf1,Mypn,Fgfr4,Lrfn3,Islr2,Il1rl1,Slamf8,Ptprd,Pdgfra,Psg16,Mybpc1,Siglec15,Adgrf5,F830045P16Rik,Vstm2l,Clmp,Vsig10,Il18rap,Robo2,H2-M11,Myom2,Nptn,Timd6,Cd80,Mxra8,Pxdn,Fcer1a,Lsamp,Fgfr3,Nfasc,Ror2,Mill2,Cntn6,Cntn4,Pdcd1,Ncam2,Ceacam15,Ptprk,Trio,Hmcn1,Cd83,Il6ra,Adamtsl1,Siglece,H2-Q9,Fstl5,Lrig3,Nrg1,Fcgr4,Ly9,Pecam1,Btnl4,Ceacam1,Robo1,H2-T26,Opcml,Kdr,Lair1,Btn2a2,Vpreb3,Fcrl2,Fstl4,Il1r1,Sema4d,Palld,Acan,Cd300a,Igsf6,Robo3,Il1rl2,Skint5,Skint2,Siglech,Cd47,Mybphl,Nectin3
PS50106	PDZ	6.90963209513485e-08	-16.487764349973	147	90	0.0169395821569735	5313	13465	78558,58234,213019,68070,21844,11784,50791,56376,116837,360013,243725,67903,76089,194231,97998,109294,16885,328329,14787,26875,69239,56213,20649,666060,93742,17356,27428,56524,72823,217692,50997,170720,59020,73750,59079,17475,74053,21872,71435,319924,239618,18125,27375,24001,71228,227929,140887,545622,380928,380614,210274,242274,55983,19249,116838,330723,23859,227157,277360,268534,21873,14924,16886,110380,99470,74206,26941,69632,118449,58220,71729,13384,244668,12695,333605,207792,93737,56527,54132,56513,245469,50780,18693,215748,245684,54120,71096,16170,13385,192786	Htra3,Shank3,Pdlim2,Pdzd2,Tiam1,Apba2,Magi2,Pdlim5,Rims1,Myo18a,Ppp1r9a,Gipc1,Rapgef2,Cnksr1,Deptor,Prex2,Limk1,Mast4,Rhpn1,Pclo,Pdzph1,Htra1,Sntb1,Frmpd1,Pard3,Afdn,Shroom3,Pals2,Pard3b,Sipa1l1,Mpp2,Card14,Pdzk1,Whrn,Erbin,Mpdz,Grip1,Tjp1,Arhgap21,Apba1,Pdzrn4,Nos1,Tjp3,Tiam2,Dlg5,Cytip,Lnx2,Ptpn3,Lmo7,Intu,Shank2,Lrrc7,Pdzrn3,Ptpn13,Rims2,Htra4,Dlg2,Mpp4,Prex1,Sntg2,Tjp2,Magi1,Limk2,Shroom2,Magi3,Sipa1l3,Nherf1,Arhgef12,Synpo2,Pard6b,Rgs12,Mpp3,Sipa1l2,Patj,Frmpd4,BC034090,Pard6g,Mast1,Pdlim1,Pard6a,Pdzd4,Rgs3,Pick1,Cnksr3,Cnksr2,Gipc2,Sntg1,Il16,Dlg4,Rapgef6
