TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-112316	Neuronal System	2.40902063269949e-13	-29.0543859204866	311	181	0.0547323858482008	3307	8672	16524,211468,18795,74571,13385,13821,72413,16536,11438,11514,14406,20510,67111,16516,71770,12290,223604,55991,14812,18693,20112,14680,332396,14706,12298,217826,15165,72258,14800,12286,110651,18190,11513,18751,108071,19417,60613,16526,16518,14700,14806,20979,14811,14610,53623,233067,16490,14799,98741,100043507,16493,192167,110157,14395,19339,110862,16538,244310,16514,14399,57249,14660,140493,12912,16494,13822,16533,240444,63993,99738,242425,54377,242851,268860,26557,207777,11773,12296,14417,327814,16510,14708,66733,231252,16498,238271,18039,12314,14400,67760,192775,243499,18191,11472,16515,18750,382571,18189,56379,12287,13162,330953,210274,12300,241794,14394,26558,16535,214579,268345,14816,16492,16539,224129,16508,16517,16512,19266,243616,21912,14402,14407,20511,16500,19280,80749,110637,13823,11772,216028,14709,52589,14615,224997,228836,20614,14401,11444,20907,20512,232333,12297,109880,18195,105727,26556,14805,14814,12322,23859,16531,54376,16525,18749,70530,20130,140492,54393,14677,15168,74342,81905,15481,100986,380728,210044,22318,56543,14813,17920,110834,14701,242667,16522,16527,19268,16485,14807,319924,406218,74053	Kcnj9,Kcnh8,Plcb1,Kcnk16,Dlg4,Epb41l1,Kcnmb2,Kcnq2,Chrna4,Adcy8,Gabrg2,Slc1a1,Naaa,Kcnj15,Ap2b1,Cacna1e,Kcnk9,Panx1,Grin2b,Pick1,Rps6ka2,Gnal,Kcnk18,Gng4,Cacnb4,Kcnk13,Hcn1,Kcnk10,Gria2,Cacna1a,Rps6ka3,Nrxn2,Adcy7,Prkcb,Grm5,Rasgrf1,Kcnq4,Kcnk2,Kcnj2,Gng10,Grik2,Syt1,Grin2a,Gja10,Gria3,Lrfn3,Kcna2,Gria1,Kcnb2,Gng5-ps,Kcna5,Nlgn1,Raf1,Gabra2,Rab3a,Kcnq3,Kcns1,Dlgap2,Kcnj11,Gabra6,Gabrq,Gls,Kcnn3,Creb1,Kcna6,Epb41l2,Kcnmb1,Kcng2,Slc5a7,Kcnc4,Gabbr2,Cacng4,Gnat3,Abat,Homer2,Tspoap1,Ap2m1,Cacnb2,Gad2,Ppfia2,Kcnh1,Gng7,Kcng4,Chrna9,Kcnab2,Kcnh5,Nefl,Calm2,Gabrb1,Slc38a2,Kcnh6,Lrrtm4,Nrxn3,Actn2,Kcnj12,Prkca,Kcnf1,Nrxn1,Kcnj1,Cacna1b,Slc6a3,Hcn4,Shank2,Cacng2,Kcng1,Gabra1,Homer3,Kcnq1,Aldh5a1,Kcnc2,Grm1,Kcna4,Kcns2,Adcy5,Kcnd2,Kcnj16,Kcnh3,Ptprd,Slc6a11,Tspan7,Gabrb3,Gabrg3,Slc1a2,Kcnb1,Ptprs,Lrfn1,Grik4,Epb41l3,Ap2a2,Lrrtm3,Gng8,Ncald,Gjc1,Dlgap1,Dlgap4,Snap25,Gabrb2,Chrnb2,Stx1a,Slc1a3,Slc6a1,Cacnb3,Braf,Nsf,Slc38a1,Homer1,Grik1,Grin2d,Camk2a,Dlg2,Kcnma1,Cacng3,Kcnk1,Prkacb,Lrfn2,Rras,Kcnn2,Gabbr1,Gnai1,Hcn3,Lrrtm1,Cacng8,Hspa8,Akap9,Kcnh4,Adcy2,Vamp2,Kcnd3,Grin2c,Myo6,Chrna3,Gng12,Dlgap3,Kcnj6,Kcnk3,Ptprf,Kcna1,Grik3,Apba1,Panx2,Grip1
R-MMU-422475	Axon guidance	1.95833792613602e-10	-22.3537548133201	437	230	0.0695494405805866	3307	8672	22339,57764,18595,14170,12298,67784,13840,13636,14173,20742,13837,59287,54126,14812,18222,69601,57296,12830,14183,12661,211323,65254,14180,12833,22190,56705,26443,384783,53321,56692,18708,26440,13385,73902,16416,54712,12982,223435,76709,14174,103967,13869,13839,231474,74769,80297,16191,21844,20563,13844,59029,11733,64654,19170,14178,71770,12826,13429,214968,545156,223881,20349,13000,104099,14184,13649,12288,19419,18706,16192,19877,11773,12223,22325,16410,13645,12912,12981,18591,14432,67603,18479,17967,16542,19415,22240,18015,12314,18039,17463,12296,73178,67112,17169,18673,18761,18188,14811,54153,13448,19417,14176,19649,26757,623279,13642,20741,18208,20358,16590,319504,18844,11350,20450,13176,232906,114713,20354,110157,12841,70727,14186,18187,16913,12540,19713,16885,12933,107448,12827,12289,80903,11772,19414,14083,20779,12517,13874,19053,16412,14165,114255,240672,16367,12934,100042150,77579,15529,268902,54401,18750,237880,69632,11472,11461,16451,20346,171463,226525,14360,17395,235584,18007,230126,53972,19192,330662,26931,13643,13637,269116,13836,13841,13640,57257,16706,100986,14588,110596,16452,109700,14182,16591,226849,114715,19179,14026,76829,20130,56443,14172,22253,243743,17311,19185,17295,13842,14783,20404,76089,16772,16777,72399,74117,73699,14813,11852,12297,19247,19177,109880,240168,13838,12757,20351,16188,12835,26445,20437,12839,12322,14814,58226,18590,14784,53870,16184,18707,19876,14388	Vegfa,Ntn4,Pdgfra,Fgf15,Cacnb4,Plxnd1,Epha6,Efna1,Fgf2,Sptbn1,Epha3,Ncstn,Arhgef7,Grin2b,Numb,Dab2ip,Psmd8,Col4a5,Fgfr2,Chl1,Nrg1,Dpysl5,Fgf9,Col6a1,Ubc,Ranbp9,Psma6,Irs2,Cntnap1,Lamtor3,Pik3r1,Psma1,Dlg4,Psmb11,Itgb3,Plxnc1,Csf2ra,Trio,Arpc2,Fgf3,Dnm3,Erbb4,Epha5,Paqr3,Pik3cb,Sptbn4,Il5,Tiam1,Slit2,Ephb2,Psmd14,Ank1,Fgf23,Psmb1,Fgf7,Ap2b1,Col4a1,Dnm1,Sema6d,Kalrn,Rnd1,Sema3e,Csnk2a2,Itga9,Fgfr3,Egfr,Cacna1c,Rasgrp1,Pik3ca,Il5ra,Rock1,Ap2m1,Btc,Vav2,Itgav,Egf,Creb1,Csf2,Pdgfb,Gap43,Dusp6,Pak1,Ncam1,Kdr,Rasal1,Dpysl3,Nf1,Calm2,Nefl,Psmd7,Cacnb2,Wasl,Fgf22,Mark3,Phb1,Prkcq,Nrtn,Grin2a,Rasa4,Dok1,Rasgrf1,Fgf5,Robo3,Dpysl4,Dok6,Efnb2,Sptb,Ntn1,Sema6a,Kit,Nrcam,Plxna1,Abl1,St8sia2,Dcc,Arhgap35,Rasa2,Sema4d,Raf1,Col9a3,Rasgef1a,Fgfr4,Nrp2,Psmb8,Cdc42,Ret,Limk1,Crmp1,Unc5a,Col4a2,Cacna1d,Fgf16,Ap2a2,Rasa3,Ptk2,Src,Cd72,Ereg,Ppp2cb,Itgb1,Fgf10,Dok4,Dusp5,Irs1,Dpysl2,Nrg2,Myh10,Sdc2,Robo2,Ywhab,Prkca,1700071K01Rik,Arhgef12,Actn2,Actb,Jak1,Sema3a,Il17rd,Rasal2,Fyn,Mmp9,Dusp7,Neo1,Shb,Ngef,Psme3,Dock1,Ppp2r5c,Efnb3,Efna2,Nfasc,Epha2,Epha7,Efna5,Vav3,Ksr1,Akap9,Gfra4,Arhgef28,Jak2,Itga1,Fgfr1,Kl,Ppp2r5a,Spred1,Psmc1,Evl,Dok5,Rras,Arpc1a,Fgf18,Unc5c,Plxna4,Kitl,Psmd4,Met,Epha8,Grb10,Sh3gl2,Rapgef2,Lama1,Lamb1,Brap,Actr3,Ppp2r1b,Grin2c,Rhob,Cacnb3,Ptpn11,Psmb7,Braf,Rasgrp3,Epha4,Clta,Sema4a,Il3ra,Col6a3,Psmb2,Siah1a,Col9a1,Camk2a,Grin2d,Cacna1h,Pdgfa,Grb2,Cntn6,Il2ra,Pik3cd,Robo1,Gab1
R-MMU-881907	Gastrin-CREB signalling pathway via PKC and MAPK	2.15504396766049e-09	-19.9554547109722	392	206	0.0622921076504385	3307	8672	14813,73699,78826,72399,76089,18430,18442,14682,64214,17295,19185,17311,110312,14172,19179,114715,16591,226849,14182,16452,14588,14064,21336,16706,100986,23945,16184,54140,14784,18590,15465,14814,12322,246313,14675,26445,18216,11607,16188,12062,11548,109880,240168,380921,225642,19177,14165,21338,21390,19053,433292,16963,13874,56183,14083,20779,17392,19414,80903,13139,50501,12061,16440,13615,216749,14745,19713,22045,16913,21334,387285,26931,26946,19192,235584,14360,14816,18441,50780,226525,171463,16451,11472,237880,19220,21333,18750,208188,54401,13617,100042150,56696,16367,240672,16439,22044,18761,18101,18673,65086,17169,227333,18755,14744,26361,67112,17463,18039,12314,22065,14061,13614,11550,18015,19415,17967,67603,18591,12981,13618,237362,12912,13645,12223,16192,18706,19419,13649,331374,224065,14186,70727,12671,110157,114713,100043254,110197,16590,20741,238377,16438,15558,269060,18429,14176,19417,108071,19735,54153,14811,18188,14065,110651,26440,18708,56692,319239,26443,384783,56705,22190,213788,14180,211323,14183,57296,69601,243407,16952,20112,381810,14812,207911,11820,20742,14173,11608,14170,18595,19204,14184,545156,76192,14178,110524,19170,64654,18795,59029,12374,16191,80297,114229,14459,231474,11549,233571,13869,14174,104418,12424,223435,12982,320127,73902,13385	Grin2c,Ppp2r1b,P2ry10,Brap,Rapgef2,Oxtr,P2ry2,Gnaq,Rgs18,Met,Psmd4,Kitl,Pmch,Fgf18,Psmc1,Spred1,Kl,Ppp2r5a,Fgfr1,Jak2,Gfra4,F2rl2,Tacr1,Ksr1,Akap9,Mgll,Il2ra,Avpr1a,Grb2,Pdgfa,Hrh1,Grin2d,Camk2a,Prokr2,Gna14,Psmb2,Ntsr1,Agtr1a,Il3ra,Bdkrb2,Adra1b,Braf,Rasgrp3,Dgkh,Grp,Psmb7,Fgf10,Tacr3,Tbxa2r,Ppp2cb,Nms,Xcl1,Ereg,Nmu,Ptk2,Src,Mmp3,Rasa3,Fgf16,Dgka,Prok2,Bdkrb1,Itpr3,Edn2,Nmur2,Lpar1,Ret,Trhr,Psmb8,Tac2,Hcrtr2,Ppp2r5c,Trpc7,Psme3,Dusp7,Fyn,Grm1,P2ry1,Rgs3,Rasal2,Il17rd,Jak1,Actn2,1700071K01Rik,Ptgfr,Tac1,Prkca,Ghsr,Ywhab,Ednra,Nrg2,Gpr132,Irs1,Dusp5,Itpr2,Trh,Prkcq,Nmbr,Phb1,Lpar3,Mark3,Dgkd,Prkch,Gpr65,Avpr1b,Fgf22,Psmd7,Nefl,Calm2,Trpc3,F2,Edn1,Adra1d,Nf1,Rasal1,Ncam1,Dusp6,Pdgfb,Csf2,Ednrb,Npffr1,Creb1,Egf,Btc,Il5ra,Pik3ca,Rasgrp1,Egfr,Dgkk,Uts2b,Fgfr4,Rasgef1a,Chrm3,Raf1,Rasa2,Nps,Dgkg,Kit,Sptb,Gpr68,Itpr1,Htr2a,Dagla,Oxt,Fgf5,Rasgrf1,Grm5,Rgs2,Rasa4,Grin2a,Nrtn,F2rl3,Rps6ka3,Psma1,Pik3r1,Lamtor3,Npsr1,Psma6,Irs2,Ranbp9,Ubc,Chrm5,Fgf9,Nrg1,Fgfr2,Psmd8,Dab2ip,Qrfprl,Anxa1,Rps6ka2,Lpar5,Grin2b,Mchr1,App,Sptbn1,Fgf2,Agtr1b,Fgf15,Pdgfra,Ptafr,Fgfr3,Kalrn,Abhd12,Fgf7,Dgkq,Psmb1,Fgf23,Plcb1,Psmd14,Casr,Il5,Sptbn4,Kiss1r,Gast,Paqr3,Adra1a,P2ry6,Erbb4,Fgf3,Dgkz,Cck,Trio,Csf2ra,Dgki,Psmb11,Dlg4
R-MMU-1500931	Cell-Cell communication	4.0142078878537e-08	-17.0308407042233	98	64	0.0193528878137285	3307	8672	12695,16774,12565,12385,12821,58235,12558,12561,215654,668101,239857,110829,13508,18208,12555,26416,13176,14360,12554,13518,219033,14784,19294,11727,74202,12564,54353,16456,170643,241201,109711,12562,320873,93737,320865,20163,68794,12557,12552,71740,114873,16782,19094,18479,12488,12560,19229,93742,16423,12563,218952,12550,56513,73178,192897,170736,67703,16412,17356,58998,54725,16780,18810,58220	Patj,Lama3,Cdh9,Ctnna1,Col17a1,Nectin1,Cdh2,Cdh4,Cdh12,Sirpb1b,Cadm2,Lims1,Dscam,Ntn1,Cdh15,Mapk14,Dcc,Fyn,Cdh13,Dst,Ang4,Grb2,Nectin2,Ang,Fblim1,Cdh8,Skap2,F11r,Kirrel1,Cdh7,Actn1,Cdh5,Cdh10,Pard6g,Cdh18,Rsu1,Flnc,Cdh17,Cdh11,Nectin4,Dscaml1,Lamc2,Mapk11,Pak1,Cd2ap,Cdh3,Ptk2b,Pard3,Cd47,Cdh6,Fermt2,Cdh1,Pard6a,Wasl,Itgb4,Parvb,Kirrel3,Itgb1,Afdn,Nectin3,Cadm1,Lamb3,Plec,Pard6b
R-MMU-446728	Cell junction organization	4.63080309736064e-08	-16.8879504357423	66	47	0.0142122769882068	3307	8672	58235,12821,12385,12565,12695,16774,12555,239857,110829,215654,12561,12558,11727,19294,219033,13518,12554,109711,241201,16456,74202,12564,320865,93737,320873,12562,16782,12557,12552,71740,68794,20163,218952,12563,93742,12560,58220,16780,18810,54725,17356,58998,16412,170736,192897,56513,12550	Nectin1,Col17a1,Ctnna1,Cdh9,Patj,Lama3,Cdh15,Cadm2,Lims1,Cdh12,Cdh4,Cdh2,Ang,Nectin2,Ang4,Dst,Cdh13,Actn1,Cdh7,F11r,Fblim1,Cdh8,Cdh18,Pard6g,Cdh10,Cdh5,Lamc2,Cdh17,Cdh11,Nectin4,Flnc,Rsu1,Fermt2,Cdh6,Pard3,Cdh3,Pard6b,Lamb3,Plec,Cadm1,Afdn,Nectin3,Itgb1,Parvb,Itgb4,Pard6a,Cdh1
R-MMU-500792	GPCR ligand binding	6.92684219125636e-07	-14.182691613864	399	199	0.0601753855458119	3307	8672	19227,224065,23796,15566,11516,66066,12640,13610,19156,12921,56838,12671,14825,14419,100043254,70839,51801,20606,238377,223780,17201,268934,11541,93896,14602,15558,22095,14700,18429,108071,20301,387616,17199,100043507,11554,12801,23925,12273,22044,65086,15550,18101,14708,252837,64337,13609,14744,26361,14061,108073,13614,11550,242425,83771,237362,14308,13618,11553,321019,226278,381489,381853,12458,212108,57254,23919,15199,387515,12374,114229,387340,233571,11549,20608,18610,12778,19217,11556,12424,140498,212541,14696,387347,14065,319239,76854,75805,16336,13136,94226,18976,239283,213788,57349,230857,15563,14683,15139,381810,243407,16952,11820,207911,17202,11608,13489,229791,14427,13491,14706,19204,108069,19773,54140,11539,20315,387346,11551,114640,15465,387342,14652,246313,20605,244701,18216,243764,11607,11548,12062,12775,18386,14428,225642,15565,78826,16867,19214,18430,18442,11540,17200,14701,110312,54393,17329,20607,18390,26364,19226,19218,12777,54598,11517,12311,14064,21336,387285,13490,171469,11555,18441,14816,12767,12057,21333,623503,19220,381073,12918,109648,13617,56696,217674,74191,19228,21338,14697,16963,433292,21390,56183,14709,12145,18155,15557,13615,50501,12061,216749,84112,14764,66102,14309,14745,14823,12769,21334,22045	Pthlh,Uts2b,Aplnr,Htr7,Adcyap1,Gng11,Cga,S1pr3,Psap,Crhr1,Ccl28,Chrm3,Cxcl1,Gal,Nps,P2ry12,Ramp1,Sstr2,Gpr68,Adm2,Mc3r,Grm4,Adora2b,Glp2r,Ghrhr,Htr2a,Tshr,Gng10,Oxt,Grm5,Ccl27a,Tas2r140,Mc1r,Gng5-ps,Adrb1,Cnr1,Kel,C5ar1,Trh,Lpar3,Htr1a,Nmbr,Gng7,Ackr4,Gng13,S1pr1,Gpr65,Avpr1b,F2,Grm7,Edn1,Adra1d,Gabbr2,Tas1r3,Npffr1,Fshb,Ednrb,Adra2c,Gpr183,Prlhr,Rxfp1,Gipr,Ccr6,Rln3,Tas2r119,Insl5,Hebp1,Tas2r144,Casr,Kiss1r,Tas2r104,P2ry6,Adra1a,Sstr4,Pdyn,Ackr3,Ptger2,Adrb3,Cck,Rxfp2,Rho,Gnb4,Tas2r118,F2rl3,Npsr1,Gper1,Nln,Insl3,Cd55,S1pr5,Pomc,Oxgr1,Chrm5,Ppbp,Ece1,Htr5a,Gnas,Hc,Lpar5,Qrfprl,Anxa1,App,Mchr1,Mc4r,Agtr1b,Drd2,Plppr4,Galr1,Drd4,Gng4,Ptafr,Grm3,Rln1,Avpr1a,Adora1,Cxcl12,Tas2r114,Adra2a,Pth2,Hrh1,Tas2r107,Glp1r,Prokr2,Sstr1,Mtnr1b,Ntsr1,Chrm2,Agtr1a,Adra1b,Bdkrb2,Ccr7,Oprd1,Galr2,Grp,Htr6,P2ry10,Lhcgr,Ptgdr,Oxtr,P2ry2,Adora2a,Mc2r,Gng12,Pmch,Gabbr1,Cxcl9,Sstr3,Oprm1,Adgre5,Pth,Ptger3,Ccr10,Calcrl,Adcyap1r1,Calcr,F2rl2,Tacr1,Hcrtr2,Drd3,Gpr37l1,Adrb2,P2ry1,Grm1,Cxcr4,Opn1sw,Tac1,Prlh,Ptgfr,Npw,Crh,Npy,Ednra,Gpr132,Gphb5,P2ry13,Pth1r,Tacr3,Gnb5,Xcl1,Nms,Tbxa2r,Nmu,Gng8,Cxcr5,Pnoc,Htr1f,Edn2,Prok2,Bdkrb1,Nmur2,Sucnr1,Ptgdr2,Cxcl16,Fshr,Lpar1,Grm8,Ccr9,Tac2,Trhr
R-MMU-373076	Class A/1 (Rhodopsin-like receptors)	9.9091394716432e-07	-13.8246381407315	296	153	0.0462654974296946	3307	8672	50501,12061,13615,15139,15557,14764,66102,207911,11820,84112,243407,16952,381810,216749,13489,14745,11608,14309,17202,19204,13491,14427,22045,12769,229791,21334,76854,319239,14065,74191,94226,21338,16336,75805,57349,56183,433292,21390,213788,16963,239283,18976,15563,18155,12145,230857,381073,19220,21333,623503,114229,12057,12767,13617,109648,20608,11549,233571,12424,11556,56696,19217,12778,18610,140498,212541,217674,387285,11555,171469,13490,12458,212108,15199,18441,23919,17329,11550,18390,20607,321019,11553,13618,237362,14308,12777,19218,381489,226278,14064,21336,18101,15550,19214,65086,16867,22044,78826,26361,14744,13609,18442,252837,18430,17200,11540,110312,13614,14061,244701,20605,246313,22095,15558,11541,17201,238377,243764,18216,18429,11554,12062,17199,11548,20301,11607,12273,225642,15565,23925,14428,12801,12775,18386,15566,54140,23796,19773,224065,12671,56838,19156,13610,12640,11539,70839,11551,100043254,14419,20315,14825,20606,15465	Prok2,Bdkrb1,Edn2,Hc,Htr1f,Ptgdr2,Cxcl16,Mchr1,App,Sucnr1,Qrfprl,Anxa1,Lpar5,Nmur2,Drd2,Lpar1,Agtr1b,Fshr,Mc4r,Ptafr,Drd4,Galr1,Trhr,Ccr9,Plppr4,Tac2,Gper1,Npsr1,F2rl3,P2ry13,S1pr5,Tacr3,Insl3,Nln,Ppbp,Nmu,Nms,Tbxa2r,Chrm5,Xcl1,Oxgr1,Pomc,Htr5a,Pnoc,Cxcr5,Ece1,Npw,Ptgfr,Tac1,Prlh,Kiss1r,Opn1sw,Cxcr4,Ednra,Npy,Sstr4,Adra1a,P2ry6,Cck,Adrb3,Gpr132,Ptger2,Ackr3,Pdyn,Rxfp2,Rho,Gphb5,Hcrtr2,Adrb2,Gpr37l1,Drd3,Ccr6,Rln3,Hebp1,P2ry1,Insl5,Cxcl9,Adra1d,Oprm1,Sstr3,Gpr183,Adra2c,Ednrb,Npffr1,Fshb,Ccr10,Ptger3,Rxfp1,Prlhr,F2rl2,Tacr1,Nmbr,Htr1a,Ptgdr,Lpar3,Lhcgr,Trh,P2ry10,Avpr1b,Gpr65,S1pr1,P2ry2,Ackr4,Oxtr,Mc2r,Adora2a,Pmch,Edn1,F2,Mtnr1b,Sstr1,Prokr2,Tshr,Htr2a,Adora2b,Mc3r,Gpr68,Chrm2,Ntsr1,Oxt,Adrb1,Bdkrb2,Mc1r,Adra1b,Ccl27a,Agtr1a,C5ar1,Grp,Htr6,Kel,Galr2,Cnr1,Ccr7,Oprd1,Htr7,Avpr1a,Aplnr,Rln1,Uts2b,Chrm3,Ccl28,Psap,S1pr3,Cga,Adora1,P2ry12,Adra2a,Nps,Gal,Cxcl12,Cxcl1,Sstr2,Hrh1
R-MMU-416476	G alpha (q) signalling events	2.31664189989155e-06	-12.9753918778071	171	95	0.0287269428485032	3307	8672	14459,208188,11549,233571,13617,18795,50780,12374,19220,21333,114229,320127,16439,104418,12424,56696,223435,26946,545156,387285,110524,14816,18441,76192,16952,243407,381810,216749,207911,11820,13139,50501,12061,16440,13615,22045,21334,19204,14745,11608,21338,14065,18708,319239,21390,433292,213788,16963,56183,14675,269060,18429,18216,108071,238377,246313,15558,16438,380921,225642,11607,12062,19735,11548,12671,23945,224065,54140,15465,110197,100043254,13618,237362,11550,21336,14064,331374,18706,227333,18755,18430,14744,26361,14682,18442,22044,78826,18761,18101,65086,22065,14061,13614,110312,64214	Gast,Ghsr,Adra1a,P2ry6,Ednra,Plcb1,Rgs3,Casr,Ptgfr,Tac1,Kiss1r,Dgki,Itpr2,Dgkz,Cck,Gpr132,Trio,Trpc7,Kalrn,Hcrtr2,Dgkq,Grm1,P2ry1,Abhd12,Anxa1,Qrfprl,Lpar5,Nmur2,Mchr1,App,Dgka,Prok2,Bdkrb1,Itpr3,Edn2,Trhr,Tac2,Ptafr,Lpar1,Agtr1b,Tacr3,F2rl3,Pik3r1,Npsr1,Tbxa2r,Nms,Chrm5,Xcl1,Nmu,Gna14,Dagla,Oxt,Ntsr1,Grm5,Gpr68,Prokr2,Htr2a,Itpr1,Dgkh,Grp,Agtr1a,Bdkrb2,Rgs2,Adra1b,Chrm3,Mgll,Uts2b,Avpr1a,Hrh1,Dgkg,Nps,Ednrb,Npffr1,Adra1d,Tacr1,F2rl2,Dgkk,Pik3ca,Dgkd,Prkch,Oxtr,Gpr65,Avpr1b,Gnaq,P2ry2,Trh,P2ry10,Prkcq,Nmbr,Lpar3,Trpc3,F2,Edn1,Pmch,Rgs18
R-MMU-1296071	Potassium Channels	4.39904885783358e-06	-12.3341222090821	99	60	0.0181433323253704	3307	8672	332396,54393,99738,140492,242425,16533,240444,16517,16512,16494,15165,72258,16500,217826,15168,14706,66733,56543,16510,14708,380728,192775,16485,14709,16522,238271,16498,16527,14701,382571,74571,211468,16515,60613,16524,16518,16526,14700,16493,16536,100043507,241794,330953,16490,98741,56379,72413,110862,16538,268345,16535,140493,16525,16508,16531,223604,16516,16539,16492,16514	Kcnk18,Gabbr1,Kcnc4,Kcnn2,Gabbr2,Kcnmb1,Kcng2,Kcnj16,Kcnh3,Kcna6,Hcn1,Kcnk10,Kcnb1,Kcnk13,Hcn3,Gng4,Kcng4,Kcnd3,Kcnh1,Gng7,Kcnh4,Kcnh6,Kcna1,Gng8,Kcnj6,Kcnh5,Kcnab2,Kcnk3,Gng12,Kcnf1,Kcnk16,Kcnh8,Kcnj12,Kcnq4,Kcnj9,Kcnj2,Kcnk2,Gng10,Kcna5,Kcnq2,Gng5-ps,Kcng1,Hcn4,Kcna2,Kcnb2,Kcnj1,Kcnmb2,Kcnq3,Kcns1,Kcnc2,Kcnq1,Kcnn3,Kcnk1,Kcnd2,Kcnma1,Kcnk9,Kcnj15,Kcns2,Kcna4,Kcnj11
R-MMU-418555	G alpha (s) signalling events	5.44358551509422e-06	-12.1210726121694	116	68	0.0205624433020865	3307	8672	218461,19217,17199,11554,18573,11556,238871,15565,217674,140498,11541,93896,17201,223780,14602,22095,14652,12918,29863,100043254,114640,224129,18583,18577,51801,22353,19227,19773,320129,241489,381853,15566,11514,212108,11516,12921,12640,11555,17202,19226,54598,14309,12311,22355,11517,381489,383563,14683,23984,14308,80910,18976,17200,11513,11540,18578,16867,110385,22354,19228,54611,19214,18584,319239,210044,16336,14761,207728	Pde8b,Ptger2,Mc1r,Adrb1,Pde1a,Adrb3,Pde4d,Htr6,Gphb5,Rxfp2,Adora2b,Glp2r,Mc3r,Adm2,Ghrhr,Tshr,Glp1r,Crh,Pde7b,Nps,Pth2,Adcy5,Pde7a,Pde4a,Ramp1,Vip,Pthlh,Rln1,Grk3,Pde11a,Gipr,Htr7,Adcy8,Rln3,Adcyap1,Crhr1,Cga,Adrb2,Mc4r,Pth,Calcrl,Fshr,Calcr,Vipr2,Adcyap1r1,Rxfp1,Gpr25,Gnas,Pde10a,Fshb,Gpr84,Pomc,Mc2r,Adcy7,Adora2a,Pde4b,Lhcgr,Pde4c,Vipr1,Pth1r,Pde3a,Ptgdr,Pde8a,Npsr1,Adcy2,Insl3,Gpr27,Pde2a
