TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY-6558	heparan sulfate biosynthesis (late stages)	0.00802424758108325	-4.82528737372832	19	19	0.0235148514851485	808	1039	227327,15476,83398,15531,15478,72077,14042,17423,54616,64580,328779,319415,14537,195646,56219,54710,14043,58193,14538	B3gnt7,Hs3st1,Ndst3,Ndst1,Hs3st3a1,Gcnt3,Ext1,Ndst2,Extl3,Ndst4,Hs3st6,Hs3st5,Gcnt1,Hs3st2,Extl1,Hs3st3b1,Ext2,Extl2,Gcnt2
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.0138738786023385	-4.27774744406895	58	52	0.0643564356435644	808	1039	110279,11848,216439,11516,69993,69632,114713,11515,11512,380711,14697,13430,319899,208869,104111,432530,210293,270192,11513,66691,53869,54153,14687,233204,67299,66922,210044,101489,105445,109934,56533,76088,117600,73910,11517,66687,99326,212508,11891,104110,14672,224129,271639,23881,20028,216991,224092,70314,14685,11514,216363,14676	Bcr,Rhoa,Agap2,Adcyap1,Chn2,Arhgef12,Rasa2,Adcy9,Adcy6,Rap1gap2,Gnb5,Dnm2,Dock6,Dock3,Adcy3,Adcy1,Dock10,Rab6b,Adcy7,Gapvd1,Rab11a,Rasa4,Gnaz,Tbc1d17,Dock7,Rras2,Adcy2,Ric8a,Dock9,Abr,Rgs17,Dock8,Srgap1,Arhgap18,Adcyap1r1,Tbc1d15,Garnl3,Mtg1,Rab27a,Adcy4,Gna11,Adcy5,Adcy10,G3bp2,Pdc,Adap2,Lsg1,Rabep2,Gnat1,Adcy8,Rab3ip,Gna15
MOUSE_LIPASYN-PWY	phospholipases	0.0357917240489889	-3.33003858411576	34	31	0.0383663366336634	808	1039	269437,18778,18782,18803,329502,53357,18781,26970,194908,104759,665270,78390,269615,18807,18795,18784,66350,74055,26971,18780,18805,18802,234779,18806,18783,69836,72469,271844,18796,114875,18799	Plch1,Pla2g1b,Pla2g2d,Plcg1,Pla2g4e,Pla2g6,Pla2g2c,Pla2g2e,Pld6,Pld4,Plb1,Pla2g4d,Plch2,Pld3,Plcb1,Pla2g5,Pla2g12a,Plce1,Pla2g2f,Pla2g2a,Pld1,Plcd4,Plcg2,Pld2,Pla2g4a,Pla2g12b,Plcd3,Pla2g4f,Plcb2,Plcz1,Plcd1
MOUSE_PWY-6564	heparan sulfate biosynthesis	0.0486347367757569	-3.02341725491436	26	24	0.0297029702970297	808	1039	328779,54616,195646,280645,14537,227327,14538,58193,14043,76898,64580,218271,319415,15476,233781,83398,17423,14042,15531,15478,72077,56219,72727,54710	Hs3st6,Extl3,Hs3st2,B3gat2,Gcnt1,B3gnt7,Gcnt2,Extl2,Ext2,B3gat1,Ndst4,B4galt7,Hs3st5,Hs3st1,Xylt1,Ndst3,Ndst2,Ext1,Ndst1,Hs3st3a1,Gcnt3,Extl1,B3gat3,Hs3st3b1
MOUSE_PWY-5328	superpathway of methionine degradation	0.0526045293955563	-2.94495305276406	19	18	0.0222772277227723	808	1039	232087,108645,64918,269378,73724,110821,74340,238505,17850,12583,211389,229709,12116,11720,66904,107869,14718,12411	Mat2a,Mat2b,Bhmt2,Ahcy,Mcee,Pcca,Ahcyl2,Mtr,Mmut,Cdo1,Suox,Ahcyl1,Bhmt,Mat1a,Pccb,Cth,Got1,Cbs
MOUSE_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.0526045293955563	-2.94495305276406	19	18	0.0222772277227723	808	1039	97287,74055,219024,269437,18795,269615,117150,18802,234779,18803,18718,74302,72519,108083,18799,114875,18796,72469	Mtmr14,Plce1,Pip4p1,Plch1,Plcb1,Plch2,Pip4k2c,Plcd4,Plcg2,Plcg1,Pip4k2a,Mtmr3,Pip4p2,Pip4k2b,Plcd1,Plcz1,Plcb2,Plcd3
MOUSE_PWY3DJ-219	PIP metabolism	0.0724556162433851	-2.62478109433258	47	41	0.0507425742574257	808	1039	67073,74302,74769,107650,103199,320207,18803,108083,72519,18707,269437,234515,104709,269180,104015,18708,18710,18706,117150,18719,18718,30955,234779,18799,114875,18796,72469,18711,83493,18795,75669,97287,18717,219024,74055,269615,225326,18802,20975,64436,19211	Pi4k2b,Mtmr3,Pik3cb,Pi4kb,Fig4,Pik3r5,Plcg1,Pip4k2b,Pip4p2,Pik3cd,Plch1,Inpp4b,Pik3r6,Inpp4a,Synj1,Pik3r1,Pik3r3,Pik3ca,Pip4k2c,Pip5k1b,Pip4k2a,Pik3cg,Plcg2,Plcd1,Plcz1,Plcb2,Plcd3,Pikfyve,Sacm1l,Plcb1,Pik3r4,Mtmr14,Pip5k1c,Pip4p1,Plce1,Plch2,Pik3c3,Plcd4,Synj2,Inpp5e,Pten
MOUSE_PWY-6355	phosphate acquisition II	0.0798366267405592	-2.52777289811499	17	16	0.0198019801980198	808	1039	13861,27403,235534,11433,12359,18477,11758,17523,16578,229791,101744,56318,69675,11432,22018,66659	Epx,Abca7,Pxylp1,Acp5,Cat,Prdx1,Prdx6,Mpo,Kif9,Plppr4,Acp7,Acp3,Pxdn,Acp2,Tpo,Acp6
MOUSE_PWY3DJ-12	ceramide biosynthesis	0.079899277497809	-2.52698846883141	10	10	0.0123762376237624	808	1039	70750,70059,241447,228677,71949,93898,268656,67260,76893,20773	Kdsr,Degs2,Cers6,Sptlc3,Cers5,Cers1,Sptlc1,Cers4,Cers2,Sptlc2
MOUSE_PWY-3561	choline biosynthesis III	0.102999068614048	-2.27303533337545	9	9	0.0111386138613861	808	1039	212862,104759,18807,18806,99712,13026,18805,194908,236899	Chpt1,Pld4,Pld3,Pld2,Cept1,Pcyt1a,Pld1,Pld6,Pcyt1b
MOUSE_PWY-6292	cysteine biosynthesis III (mammalia)	0.132740049676384	-2.01936257702619	8	8	0.0099009900990099	808	1039	232087,108645,269378,229709,11720,107869,74340,12411	Mat2a,Mat2b,Ahcy,Ahcyl1,Mat1a,Cth,Ahcyl2,Cbs
MOUSE_PWY66-367	ketogenesis	0.132740049676384	-2.01936257702619	8	8	0.0099009900990099	808	1039	15360,110460,71911,15356,69772,208715,110446,208982	Hmgcs2,Acat2,Bdh1,Hmgcl,Bdh2,Hmgcs1,Acat1,Hmgcll1
MOUSE_PWY3FA-941	ketogenesis	0.132740049676384	-2.01936257702619	8	8	0.0099009900990099	808	1039	15360,69772,15356,110460,71911,208982,208715,110446	Hmgcs2,Bdh2,Hmgcl,Acat2,Bdh1,Hmgcll1,Hmgcs1,Acat1
MOUSE_PWY66-201	nicotine degradation II	0.182099599903111	-1.70320148937833	50	42	0.051980198019802	808	1039	13078,394436,545123,13085,13094,226564,13076,277753,13090,394432,105887,13112,223337,107141,100041375,13088,13075,14263,72082,14262,13097,11761,55990,74134,13105,13113,13095,22238,94284,13109,13106,14261,13098,13096,13099,13120,56388,13114,13101,53973,71519,226105	Cyp1b1,Ugt1a1,Cyp2d11,Cyp2a12,Cyp2b9,Fmo4,Cyp1a1,Cyp4a12a,Cyp2b19,Ugt1a7c,Ugt3a1,Cyp3a11,Ugt3a2,Cyp2c50,Cyp3a41b,Cyp2b10,Cyp19a1,Fmo5,Cyp2c55,Fmo3,Cyp2c38,Aox1,Fmo2,Cyp2s1,Cyp2d9,Cyp3a13,Cyp2c29,Ugt2b5,Ugt1a6a,Cyp2j5,Cyp2e1,Fmo1,Cyp2c39,Cyp2c37,Cyp2c40,Cyp4b1,Cyp3a25,Cyp3a16,Cyp2d10,Cyp3a41a,Cyp2u1,Cyp2c70
MOUSE_PWY66-221	nicotine degradation III	0.201484682013183	-1.60204192027074	44	37	0.0457920792079208	808	1039	105887,394432,13112,223337,107141,72082,13075,100041375,13088,13094,13085,545123,13078,394436,13076,13090,277753,13098,13106,13109,13120,56388,13099,13096,13101,13114,226105,71519,53973,11761,13097,13113,13105,74134,94284,13095,22238	Ugt3a1,Ugt1a7c,Cyp3a11,Ugt3a2,Cyp2c50,Cyp2c55,Cyp19a1,Cyp3a41b,Cyp2b10,Cyp2b9,Cyp2a12,Cyp2d11,Cyp1b1,Ugt1a1,Cyp1a1,Cyp2b19,Cyp4a12a,Cyp2c39,Cyp2e1,Cyp2j5,Cyp4b1,Cyp3a25,Cyp2c40,Cyp2c37,Cyp2d10,Cyp3a16,Cyp2c70,Cyp2u1,Cyp3a41a,Aox1,Cyp2c38,Cyp3a13,Cyp2d9,Cyp2s1,Ugt1a6a,Cyp2c29,Ugt2b5
MOUSE_PWY-5041	S-adenosyl-L-methionine cycle II	0.220280021540909	-1.51285571679909	6	6	0.00742574257425743	808	1039	269378,232087,108645,74340,11720,229709	Ahcy,Mat2a,Mat2b,Ahcyl2,Mat1a,Ahcyl1
MOUSE_METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)	0.220280021540909	-1.51285571679909	6	6	0.00742574257425743	808	1039	74340,269378,108645,11720,232087,229709	Ahcyl2,Ahcy,Mat2b,Mat1a,Mat2a,Ahcyl1
MOUSE_GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.220280021540909	-1.51285571679909	6	6	0.00742574257425743	808	1039	50798,74091,26384,67980,245847,67432	Gne,Npl,Gnpda1,Gnpda2,Amdhd2,Hoga1
MOUSE_PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0.220280021540909	-1.51285571679909	6	6	0.00742574257425743	808	1039	70789,107766,71562,98256,15930,56720	Kynu,Haao,Afmid,Kmo,Ido1,Tdo2
MOUSE_PWY-6061	bile acid biosynthesis, neutral pathway	0.220280021540909	-1.51285571679909	6	6	0.00742574257425743	808	1039	244209,104086,13122,13124,12012,20280	Cyp2r1,Cyp27a1,Cyp7a1,Cyp8b1,Baat,Scp2
MOUSE_PWY-5996	oleate biosynthesis II (animals)	0.220280021540909	-1.51285571679909	6	6	0.00742574257425743	808	1039	60527,56473,20250,20249,109672,76267	Fads3,Fads2,Scd2,Scd1,Cyb5a,Fads1
MOUSE_PWY-5148	acyl-CoA hydrolysis	0.259265002492508	-1.34990456472328	11	10	0.0123762376237624	808	1039	64833,217698,70025,171210,170789,56360,171282,26897,217700,99035	Acot10,Acot5,Acot7,Acot2,Acot8,Acot9,Acot4,Acot1,Acot6,Olah
MOUSE_PWY3DJ-35583	biosynthesis of prostaglandins	0.259265002492508	-1.34990456472328	11	10	0.0123762376237624	808	1039	21391,19224,64292,54486,83702,19223,15446,19225,56351,96979	Tbxas1,Ptgs1,Ptges,Hpgds,Akr1c6,Ptgis,Hpgd,Ptgs2,Ptges3,Ptges2
MOUSE_PWY66-21	ethanol degradation II (cytosol)	0.259265002492508	-1.34990456472328	11	10	0.0123762376237624	808	1039	11522,110695,60525,72535,11532,380660,11529,26876,11669,26358	Adh1,Aldh7a1,Acss2,Aldh1b1,Adh5,Acss3,Adh7,Adh4,Aldh2,Aldh1a7
MOUSE_PWY66-241	bupropion degradation	0.277678225238962	-1.28129229883854	36	30	0.0371287128712871	808	1039	13113,13105,74134,13095,13097,13101,13114,71519,226105,53973,13098,13106,13109,56388,13120,13099,13096,13090,277753,13085,13094,13078,545123,13076,107141,13075,72082,13088,100041375,13112	Cyp3a13,Cyp2d9,Cyp2s1,Cyp2c29,Cyp2c38,Cyp2d10,Cyp3a16,Cyp2u1,Cyp2c70,Cyp3a41a,Cyp2c39,Cyp2e1,Cyp2j5,Cyp3a25,Cyp4b1,Cyp2c40,Cyp2c37,Cyp2b19,Cyp4a12a,Cyp2a12,Cyp2b9,Cyp1b1,Cyp2d11,Cyp1a1,Cyp2c50,Cyp19a1,Cyp2c55,Cyp2b10,Cyp3a41b,Cyp3a11
MOUSE_PWY-4261	glycerol degradation IV	0.283648246915453	-1.26002037567832	5	5	0.00618811881188119	808	1039	14571,14555,14626,14933,235533	Gpd2,Gpd1,Gk2,Gk,Gk5
MOUSE_PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation	0.283648246915453	-1.26002037567832	5	5	0.00618811881188119	808	1039	19062,16329,16331,170835,101490	Inpp5k,Inpp1,Inpp5d,Inpp5j,Inpp5f
MOUSE_PWY-5079	phenylalanine degradation III	0.283648246915453	-1.26002037567832	5	5	0.00618811881188119	808	1039	11522,11529,26876,234724,11532	Adh1,Adh7,Adh4,Tat,Adh5
MOUSE_PWY3DJ-35471	L-ascorbate biosynthesis VI	0.283648246915453	-1.26002037567832	5	5	0.00618811881188119	808	1039	22235,268756,216558,19733,58810	Ugdh,Gulo,Ugp2,Rgn,Akr1a1
MOUSE_PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	0.283648246915453	-1.26002037567832	5	5	0.00618811881188119	808	1039	216558,14936,74185,27357,232493	Ugp2,Gys1,Gbe1,Gyg1,Gys2
MOUSE_TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)	0.310897188661822	-1.16829300453849	10	9	0.0111386138613861	808	1039	70789,110446,18293,71562,107766,110460,15930,56720,98256	Kynu,Acat1,Ogdh,Afmid,Haao,Acat2,Ido1,Tdo2,Kmo
MOUSE_DETOX1-PWY	superoxide radicals degradation	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	12359,20655,20656,20657	Cat,Sod1,Sod2,Sod3
MOUSE_PWY-6000	gamma-linolenate biosynthesis II (animals)	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	76267,74205,26458,328845	Fads1,Acsl3,Slc27a2,Acsbg2
MOUSE_PWY3DJ-5	biosynthesis of serotonin and melatonin	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	216343,11298,21990,13195	Tph2,Aanat,Tph1,Ddc
MOUSE_PWY-6030	serotonin and melatonin biosynthesis	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	13195,21990,11298,216343	Ddc,Tph1,Aanat,Tph2
MOUSE_TRPCAT-PWY	tryptophan degradation I (via anthranilate)	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	56720,71562,15930,70789	Tdo2,Afmid,Ido1,Kynu
MOUSE_PWY-5084	2-ketoglutarate dehydrogenase complex	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	209692,18293,78920,13382	Dhtkd1,Ogdh,Dlst,Dld
MOUSE_ARGASEDEG-PWY	arginine degradation I (arginase pathway)	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	18242,11846,11847,212647	Oat,Arg1,Arg2,Aldh4a1
MOUSE_PWY3DJ-35778	Serine degradation II	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	434437,20425,104174,13382	Amt,Shmt1,Gldc,Dld
MOUSE_PWY-2301	myo-inositol biosynthesis	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	242291,114663,71780,55980	Bpnt2,Impa2,Isyna1,Impa1
MOUSE_PROPIONMET-PWY	methylmalonyl pathway	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	73724,66904,110821,17850	Mcee,Pccb,Pcca,Mmut
MOUSE_PWY-5874	heme degradation	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	109778,15368,15369,233016	Blvra,Hmox1,Hmox2,Blvrb
MOUSE_PWY-5046	branched-chain alpha-keto acid dehydrogenase complex	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	13382,13171,12039,12040	Dld,Dbt,Bckdha,Bckdhb
MOUSE_GLUTOXA-PWY	glutamate degradation VII	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	56451,14194,14719,20916	Suclg1,Fh1,Got2,Sucla2
MOUSE_LYSINE-DEG1-PWY	lysine degradation II	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	30956,23923,18293,109232	Aass,Aadat,Ogdh,Sccpdh
MOUSE_PWY-4321	glutamate degradation IV	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	214579,14417,14415,268860	Aldh5a1,Gad2,Gad1,Abat
MOUSE_GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)	0.365144198455062	-1.00746293915654	4	4	0.00495049504950495	808	1039	268860,14417,14415,214579	Abat,Gad2,Gad1,Aldh5a1
MOUSE_PWY-4081	glutathione redox reactions I	0.370667898174944	-0.992448770430821	9	8	0.0099009900990099	808	1039	69590,625249,67305,14776,75512,14780,14782,14778	Gpx8,Gpx4,Gpx7,Gpx2,Gpx6,Gpx5,Gsr,Gpx3
MOUSE_PWY-2201	folate transformations I	0.370667898174944	-0.992448770430821	9	8	0.0099009900990099	808	1039	238505,270685,17768,17769,104174,20425,234814,107885	Mtr,Mthfd1l,Mthfd2,Mthfr,Gldc,Shmt1,Mthfsd,Mthfs
MOUSE_PWY3DJ-7	cyclic GMP biosynthesis	0.420923952483607	-0.865303097047163	13	11	0.0136138613861386	808	1039	18585,54195,73707,110855,18587,242202,14919,60596,14917,225600,18160	Pde9a,Gucy1b1,Gucy2g,Pde6c,Pde6b,Pde5a,Gucy2e,Gucy1a1,Gucy2c,Pde6a,Npr1
MOUSE_PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis	0.437999503329988	-0.825537502556134	22	18	0.0222772277227723	808	1039	67073,18719,18718,107650,18803,234779,72469,18799,18796,114875,108083,269615,18795,269437,74055,18717,18802,117150	Pi4k2b,Pip5k1b,Pip4k2a,Pi4kb,Plcg1,Plcg2,Plcd3,Plcd1,Plcb2,Plcz1,Pip4k2b,Plch2,Plcb1,Plch1,Plce1,Pip5k1c,Plcd4,Pip4k2c
MOUSE_NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	0.438986756045854	-0.823286034822513	8	7	0.00866336633663366	808	1039	101744,56318,11432,192185,66659,11433,235534	Acp7,Acp3,Acp2,Nadk,Acp6,Acp5,Pxylp1
HUMAN_PWY-7511	protein ubiquitylation	0.438986756045854	-0.823286034822513	8	7	0.00866336633663366	808	1039	56550,22195,22214,67128,22192,53323,22210	Ube2d2a,Ube2l3,Ube2h,Ube2g1,Ube2m,Ube2k,Ube2b
MOUSE_PWY-6567	chondroitin sulfate biosynthesis (late stages)	0.438986756045854	-0.823286034822513	8	7	0.00866336633663366	808	1039	53374,59031,77590,269941,60322,58250,78923	Chst3,Chst12,Chst15,Chsy1,Chst7,Chst11,Chsy3
MOUSE_PWY-3981	beta-alanine biosynthesis I	0.438986756045854	-0.823286034822513	8	7	0.00866336633663366	808	1039	11754,110695,237940,56752,26358,76507,11669	Aoc3,Aldh7a1,Aoc2,Aldh9a1,Aldh1a7,Aoc1,Aldh2
MOUSE_PWY6666-2	dopamine degradation	0.438986756045854	-0.823286034822513	8	7	0.00866336633663366	808	1039	12846,20887,791260,17161,69156,26358,11669	Comt,Sult1a1,Tomt,Maoa,Comtd1,Aldh1a7,Aldh2
MOUSE_PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	0.438986756045854	-0.823286034822513	8	7	0.00866336633663366	808	1039	170835,17330,16329,101490,228550,16331,19062	Inpp5j,Minpp1,Inpp1,Inpp5f,Itpka,Inpp5d,Inpp5k
MOUSE_PWY-6569	chondroitin sulfate biosynthesis	0.45629333905741	-0.784619388881803	17	14	0.0173267326732673	808	1039	76898,78923,58250,60322,72727,234356,269941,77590,280645,218271,78752,233781,59031,53374	B3gat1,Chsy3,Chst11,Chst7,B3gat3,Csgalnact1,Chsy1,Chst15,B3gat2,B4galt7,Csgalnact2,Xylt1,Chst12,Chst3
