TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF07679	I-set	2.09425530866116e-09	-19.9840678080232	130	124	0.00846185341886174	14654	19276	75426,19289,242384,269959,210801,101434,170643,16981,15530,57810,244682,14184,107589,229715,20320,68810,56741,72333,53311,16542,233199,18595,237403,19876,26564,116904,74762,233067,241568,74144,235472,16980,109272,319504,242050,22174,60367,330908,235106,107449,17968,68753,11790,380698,22329,58916,17967,17930,223435,67703,14254,19272,54631,70530,237979,545428,66601,117606,18198,19649,26563,269473,192198,545370,68802,100042150,98733,14257,16177,268902,269784,12661,226438,16206,14183,20612,71306,269116,12805,77739,29817,170721,114873,107250,53870,18213,116701,235402,18007,545156,320747,20348,22138,320398,268890,233186,18488,114872,16979,14186,13176,80749,225638,272381,19268,330222,19266,22253,19280,21367,84004,13508,211323,18212,13723,69675,17929,71461,14182,242702,107448,320772,238205,278507	Igfbpl1,Igdcc3,Lingo2,Adamtsl3,Unc5d,Ceacam15,Kirrel1,Lrrn3,Hspg2,Cdon,Cntn5,Fgfr3,Mylk,Amigo1,Nptn,Nexn,Igdcc4,Palld,Mybph,Kdr,Mybpc2,Pdgfra,Lingo3,Robo1,Ror2,Alpk3,Mdga1,Lrfn3,Lrrc4c,Robo4,Prtg,Lrrn2,Mybpc1,Nrcam,Igsf10,Tyro3,Il1rapl2,Opcml,Ntm,Unc5b,Ncam2,Mybphl,Speg,Obscn,Vcam1,Myot,Ncam1,Myom2,Trio,Kirrel3,Flt1,Ptprk,Nphs1,Lrfn2,Sdk2,Ccdc141,Tmigd1,Boc,Musk,Robo3,Ror1,Lrig2,Lrrc4,Hmcn1,Mypn,Nrg2,Obsl1,Flt4,Il1r1,Robo2,Cntn4,Chl1,Igfn1,Lrig1,Fgfr2,Siglec1,Mfap3l,Nfasc,Cntn1,Adamtsl1,Igfbp7,Papln,Dscaml1,Kazald1,Cntn6,Ntrk3,Fgfrl1,Lingo1,Neo1,Kalrn,Lingo4,Sema3c,Ttn,Lrig3,Lsamp,Siglecf,Cntn3,Psg29,Lrrn1,Fgfr4,Dcc,Lrfn1,Alpk2,Lrrc4b,Ptprf,Sdk1,Ptprd,Unc5c,Ptprs,Cntn2,Mcam,Dscam,Nrg1,Ntrk2,Emb,Pxdn,Myom1,Ptk7,Fgfr1,Myom3,Unc5a,Mdga2,Lrfn5,Wfikkn2
PF00169	PH	1.50685869705019e-08	-18.0106535931035	185	170	0.0116009280742459	14654	19276	56792,75292,544817,232970,71544,231717,18803,56193,218397,224014,208177,241639,75974,50915,22324,17207,71302,24055,71435,54519,21682,21844,14786,101540,13998,76303,27062,213649,20663,98432,213556,114255,216190,67220,78255,23853,100273,73341,18760,16428,11651,263406,54353,70292,75415,106877,16367,74486,53972,23797,79196,57257,109135,30938,54126,69710,623279,67016,71704,18802,13429,239027,545156,230837,320129,72993,19414,245684,54324,14783,68018,101497,78473,26936,232237,227333,72318,13449,72789,27280,320495,12704,74309,18805,237542,20662,20399,13196,231821,71801,94190,226971,77300,78618,232201,11652,24001,241075,384783,216859,320405,217682,19417,216991,211914,231532,20650,14389,233765,110355,110253,16561,381605,231999,19418,218952,230972,101476,19415,26377,56349,109294,102595,54153,14388,380921,103967,27260,331374,240753,106326,78514,78670,319934,12169,20649,102693,26382,27276,23921,20947,106952,226250,219140,223254,76117,622434,22325,226970,210293,13430,241308,69239,212285,19159,83435,77980,17909,213783,12229,83436,223435,210710,380698,216445,105445,19157,16560,194231,114713	Stap1,Prkd3,Arhgap27,Phldb3,Arhgap42,Pheta1,Plcg1,Plek,Rasa1,Fgd4,Phldb2,Fermt1,Dock11,Grb14,Vav1,Mcf2l,Arhgap26,Sh3bp2,Arhgap21,Apbb1ip,Tec,Tiam1,Grb7,Prkd2,Fgd6,Osbp,Cadps,Arhgef19,Sos2,Phlpp1,Plekhh2,Dok4,Appl2,Plekho1,Ralgps2,Def6,Osbpl9,Arhgef6,Prkd1,Itk,Akt1,Plekhg3,Skap2,Afap1,Arhgap12,Afap1l1,Irs1,Osbpl10,Ngef,Akt3,Osbpl5,Vav3,Plekha5,Fgd3,Arhgef7,Arap1,Dok6,Tbc1d2b,Arhgef3,Plcd4,Dnm1,Arhgap22,Kalrn,Asap3,Grk3,Appl1,Rasa3,Cnksr2,Arhgef5,Grb10,Cert1,Plekhg2,Skap1,Mprip,Fgd5,Dgkd,Cyth4,Dok2,Veph1,Phlda3,Ipcef1,Cit,Osbp2,Pld1,Osbpl8,Sos1,Sh2b1,Asap1,Adap1,Plekhf2,Ophn1,Plekhb2,Raph1,Acap2,Arhgap25,Akt2,Tiam2,Plekhm3,Irs2,Acap1,Cadps2,Plekhd1,Rasgrf1,Adap2,Asap2,Arhgap24,Sntb2,Gab2,Plekha7,Grk2,Triobp,Kif1b,Tbc1d2,Plekha8,Rasgrf2,Fermt2,Arhgef16,Plekha1,Rasal1,Dapp1,Net1,Prex2,Plekho2,Rasa4,Gab1,Dgkh,Dnm3,Plek2,Dgkk,Plekha6,Osbpl11,Arhgap10,Plekhj1,Sbf2,Bmx,Sntb1,Phldb1,Fgd2,Plekhb1,Sh2b2,Swap70,Arap3,Afap1l2,Spata13,Farp1,Arhgap15,Arhgef26,Vav2,Arhgef4,Dock10,Dnm2,Ralgps1,Pdzph1,Arap2,Cyth3,Plekha3,Sbf1,Myo10,Plekhg1,Btk,Plekha2,Trio,Gab3,Obscn,Arhgap9,Dock9,Cyth1,Kif1a,Cnksr1,Rasa2
PF00002	7tm_2	4.31737102115959e-06	-12.3528639008728	45	45	0.00307083390200628	14654	19276	22354,12922,54672,319229,215798,13733,239853,14527,382045,11517,12614,78249,210933,230775,12921,381628,110789,77596,52389,243277,319387,54598,269604,381853,12311,22355,237175,170757,93896,14766,107831,107934,213527,14652,14602,19228,70693,26364,53883,330814,52614,435529,78560,224792,99633	Vipr1,Crhr2,Adgrg3,Sctr,Adgrg6,Adgre1,Adgrg7,Gcgr,Adgrg5,Adcyap1r1,Celsr1,Adgrf4,Adgrb3,Adgrb2,Crhr1,Adgrf3,Adgrv1,Adgrf1,Adgra1,Adgrd1,Adgrl3,Calcrl,Gpr157,Gipr,Calcr,Vipr2,Adgrg2,Adgrl4,Glp2r,Adgrg1,Adgrb1,Celsr3,Pth2r,Glp1r,Ghrhr,Pth1r,Adgra3,Adgre5,Celsr2,Adgrl1,Adgre4,Adgrf2,Adgra2,Adgrf5,Adgrl2
PF00010	HLH	1.33934725440118e-05	-11.2207430932719	104	96	0.00655111232428006	14654	19276	11924,17293,100039596,18014,17095,22282,11864,17119,11624,94222,20464,18072,17342,21412,17878,56184,71093,15901,320522,12753,17877,50914,21349,272322,21407,21413,17292,55927,15205,20787,22278,15206,11921,15110,15213,21350,17681,20788,15207,18109,13345,17121,21406,16918,15904,114712,53404,17927,17859,50913,17869,17187,18143,227631,83383,15902,277353,69852,56198,22160,21423,84653,29808,20289,59058,208104,11863,19213,17341,18071,17928,209446,18013,17173,140489,15903,17122,11925,17428,207806,15214,58805,17870,11865,79362,18142,20465,18012,67341,21426,11922,20893,21425,17172,234219,11622	Neurog2,Mesp2,Tcf24,Neurog1,Lyl1,Usf2,Arnt2,Mxd1,Ahrr,Olig3,Sim1,Nhlh2,Mitf,Tcf21,Myf6,Msgn1,Atoh8,Id1,Bhlha9,Clock,Myf5,Olig1,Tal1,Bmal2,Tcf15,Tcf4,Mesp1,Hes6,Hes1,Srebf1,Usf1,Hes2,Atoh1,Hand1,Hey1,Tal2,Msc,Srebf2,Hes3,Mycn,Twist2,Mxd3,Tcf12,Mycl,Id4,Ferd3l,Atoh7,Myod1,Mxi1,Olig2,Myc,Max,Npas2,Sohlh1,Tfap4,Id2,Tcfl5,Tcf23,Heyl,Twist1,Tcf3,Hes7,Mga,Scx,Bhlhe22,Mlxip,Arnt,Ptf1a,Bhlha15,Nhlh1,Myog,Tfe3,Neurod2,Ascl2,Bhlhe23,Id3,Mxd4,Neurog3,Mnt,Usf3,Hey2,Mlxipl,Mycs,Bmal1,Bhlhe41,Npas1,Sim2,Neurod1,Ascl4,Tfec,Neurod6,Bhlhe40,Tfeb,Ascl1,Helt,Ahr
PF07714	PK_Tyr_Ser-Thr	2.19382086020504e-05	-10.7272807563117	127	115	0.00784768663846049	14654	19276	13836,13838,20187,13835,230735,17096,12229,19882,14254,14083,12169,11836,19229,17289,18211,13839,22174,270190,65964,20779,26409,13837,83813,19886,16001,16453,16706,11350,12167,18595,19713,13846,14191,14159,13848,26564,13845,16542,230661,18596,14917,435766,192292,16337,14919,381983,14360,22165,26403,14184,13842,14158,243659,16452,73707,54721,16886,23920,22612,18214,17295,16885,14918,244859,110542,13844,13840,18160,14182,18212,109880,12988,71461,16590,83560,11682,14186,234878,11477,17005,14302,21813,269275,18213,333050,12143,11482,13867,15162,13869,22637,11352,11302,16451,26404,14183,13841,20963,16428,21687,14257,71751,17179,12978,231876,26362,51789,192656,13866,12305,18198,13649,74568,26563,21682	Epha2,Epha4,Ryk,Epha1,Epha10,Lyn,Btk,Mst1r,Flt1,Ptk2,Bmx,Araf,Ptk2b,Mertk,Ntrk1,Epha5,Tyro3,Ephb1,Map3k20,Src,Map3k7,Epha3,Tnk1,Ros1,Igf1r,Jak3,Ksr1,Abl1,Bmpr1b,Pdgfra,Ret,Ephb4,Fgr,Fes,Ephb6,Ror2,Ephb3,Kdr,Tesk2,Pdgfrb,Gucy2c,Tnni3k,Nrbp1,Insr,Gucy2e,Lmtk3,Fyn,Txk,Map3k11,Fgfr3,Epha8,Fer,Styk1,Jak2,Gucy2g,Tyk2,Limk2,Insrr,Yes1,Ddr2,Met,Limk1,Gucy2d,Ankk1,Amhr2,Ephb2,Epha6,Npr1,Fgfr1,Ntrk2,Braf,Csk,Ptk7,Kit,Tex14,Alk,Fgfr4,Map3k21,Acvr1,Ltk,Frk,Tgfbr2,Acvr1c,Ntrk3,Ksr2,Blk,Acvrl1,Erbb3,Hck,Erbb4,Zap70,Abl2,Aatk,Jak1,Map3k12,Fgfr2,Epha7,Syk,Itk,Tek,Flt4,Map3k13,Matk,Csf1r,Lmtk2,Axl,Tnk2,Ripk2,Erbb2,Ddr1,Musk,Egfr,Mlkl,Ror1,Tec
PF00069	Pkinase	4.63309065689693e-05	-9.97970129108267	356	301	0.0205404667667531	14654	19276	235344,245038,27219,399510,59126,15467,74178,338372,12675,75770,56274,27263,269774,23954,104318,20620,13143,12795,93687,12747,58231,18760,11651,207565,216965,26400,18754,69635,18750,73914,71091,18557,20393,19091,101540,225028,271697,75607,105278,140780,20872,17164,237300,26448,75669,56637,20877,546071,27206,19094,320795,12571,12704,226778,244631,68943,18749,69922,217410,12567,18751,59041,244895,26401,329421,268930,18647,18761,50883,108058,15259,225724,26398,17165,71099,211770,11481,19092,266632,170755,12326,50932,238323,228012,11652,13666,667663,26921,15257,20874,223775,17169,26416,665113,102626,241656,17152,26399,192292,15258,56532,223255,26397,26420,12235,18752,244418,214230,110651,18759,237459,17346,24086,70584,18481,110157,208583,18762,18607,69181,16589,70425,106504,26413,73542,26407,19106,13000,50772,11480,11790,20868,217718,58864,18755,19134,26408,328329,17691,27373,105943584,12323,230809,57740,26405,105787,12545,12168,69131,232341,53416,20871,70762,59125,55984,69562,23939,78943,18479,13728,108079,18817,21812,66725,20873,71742,12995,75292,56489,70415,22390,231580,67071,23938,263803,101320,381979,22114,68961,382253,215303,17451,545156,50523,320129,12566,107951,77976,245269,72149,98267,77485,11479,23797,213084,101568,22138,270672,232533,14772,16150,26559,217866,78334,53859,72508,330177,234854,22137,29857,17776,26410,26414,226419,269209,22367,20112,78891,13175,29869,279561,224105,104175,18005,74137,12534,674895,24014,26419,53886,26412,26396,228775,18712,19877,108960,20815,18753,213452,12361,12325,109333,13144,20623,27103,17279,226751,26415,70661,233328,107589,56613,18715,269019,140810,20817,64293,67333,18004,117229,227154,106763,240505,12322,228785,110355,209012,635895,19878,381835,56527,69847,381393,330721,52163,102414,227541,381113,381836,13548,26918,20111,53608,213435,380698,26406,18099,264064,223435,72388,52033,56542,17347,12166,320119,56480,433486,73086,108737,13549,236574	Sik2,Dclk3,Sgk2,Map4k5,Nek6,Eif2ak1,Stk40,Map3k9,Chuk,Brsk2,Stk3,Smok2a,Aak1,Nek3,Csnk1d,Plk2,Dapk2,Plk3,Csnk1a1,Clk1,Stk4,Prkd1,Akt1,Camkk2,Taok1,Map2k7,Prkce,Dapk1,Prkca,Irak3,Cdkl1,Cdk18,Sgk1,Prkg1,Prkd2,Map4k3,Cdk15,Wnk2,Cdk20,Bmp2k,Stk16,Mapkapk2,Gm4922,Mok,Pik3r4,Gsk3b,Aurkb,Mast3,Nrk,Mapk11,Pkn1,Cdk6,Cit,Mark1,Pskh1,Pink1,Prkacb,Vrk2,Trib2,Cdk4,Prkcb,Stk25,Peak1,Map3k1,Myo3b,Pkmyt1,Cdk14,Prkcq,Chek2,Camk2d,Hipk3,Mapk4,Map2k4,Mapkapk5,Tssk4,Trib1,Acvr2b,Prkg2,Irak4,Sgk3,Camk4,Mink1,Rps6kl1,Tlk1,Akt2,Eif2ak3,Myo3a,Map4k4,Hipk1,Slk,Pim3,Mark3,Mapk14,Tnik,Mapkapk3,Pak5,Mak,Map2k6,Nrbp1,Hipk2,Ripk3,Stk24,Map2k3,Mapk9,Bub1,Prkcg,Prag1,Pak6,Rps6ka3,Prkci,Cdk17,Mknk1,Tlk2,Pak4,Pak3,Raf1,Nek11,Prkcz,Pdpk1,Dyrk2,Uhmk1,Csnk1g3,Stk38,Mapk1,Tssk5,Map3k4,Eif2ak2,Csnk2a2,Mapk6,Acvr2a,Speg,Stk10,Nek9,Tssk3,Prkch,Prpf4b,Map3k5,Mast4,Sik1,Csnk1e,Gm45927,Camk2b,Pdik1l,Stk32c,Map3k2,Prkaa1,Cdc7,Bmpr2,Cdk12,Wnk1,Stk39,Aurkc,Dclk2,Nek7,Camkk1,Cdk13,Mapk7,Ern1,Pak1,Mark2,Prkaa2,Plk1,Tgfbr1,Lrrk2,Plk4,Ulk3,Csnk2a1,Prkd3,Ikbke,Stk26,Wee1,Gak,Rps6ka6,Map2k5,Pkn3,Dyrk4,Brsk1,Tssk1,Phkg2,Cdkl5,Camk1g,Mos,Kalrn,Lats2,Grk3,Cdk2,Cdk9,Nuak1,Nim1k,Strada,Stk17b,Stk31,Acvr1b,Akt3,Cdkl3,Vrk3,Ttn,Map3k15,Stk38l,Grk4,Ikbkb,Hunk,Cdc42bpb,Cdk19,Map3k14,Rps6kb1,Taok3,Cdk10,Ttk,Mapk12,Mast2,Map3k8,Mapk10,Dyrk3,Stk36,Vrk1,Rps6ka2,Scyl1,Dclk1,Ulk2,Wnk3,Pak2,Sbk1,Nek2,Nuak2,Cdk1,Nek10,Rnasel,Mapk8,Cdkl2,Map4k2,Map2k2,Trib3,Pim1,Rock1,Irak2,Srpk1,Prkcd,Dstyk,Cask,Camk2g,Pkn2,Dapk3,Snrk,Eif2ak4,Melk,Cdc42bpa,Mapk13,Sik3,Lrrk1,Mylk,Rps6ka4,Pim2,Stk32a,Ttbk2,Srpk2,Stk32b,Stk35,Nek1,Stk33,Stradb,Ttbk1,Cdc42bpg,Camk2a,Mylk2,Grk2,Ulk4,Gm7168,Rock2,Sbk3,Mast1,Wnk4,4921509C19Rik,Nek5,Camk1,Clk3,Camk1d,Cdkl4,Sbk2,Dyrk1a,Ern2,Rps6ka1,Map3k6,Mylk3,Obscn,Map3k3,Nlk,Cdk8,Trio,Ripk4,Pbk,Cilk1,Mknk2,Bmpr1a,Rps6kc1,Tbk1,Gm14151,Rps6ka5,Oxsr1,Dyrk1b,Smok2b
PF00028	Cadherin	5.23034739046517e-05	-9.8584477664482	116	105	0.00716527910468132	14654	19276	12552,241201,13506,93701,12562,12943,320873,68764,13505,93699,93710,93714,93884,93880,12557,12939,12555,93722,219228,104010,53601,12565,12558,245578,13507,12936,93891,54216,93881,245827,93711,192164,329628,73173,320865,18530,93704,93700,227485,12563,211924,192163,12614,12942,13512,93890,93874,268663,353237,215654,93723,75599,16769,225256,13510,93892,93872,93879,93877,93708,93706,211712,53883,93705,93883,93878,93713,353235,170677,93876,93875,107934,353236,270120,192161,11994,381409,219257,93702,64085,12561,22295,23836,14107,93724,93715,93885,93893,353234,93716,19713,65945,93888,93873,12560,12564,116731,12550,12941,12554,93717,93703,233651,93889,18526	Cdh11,Cdh7,Dsc2,Pcdhgb4,Cdh5,Pcdha10,Cdh10,Cdhr3,Dsc1,Pcdhgb1,Pcdhga2,Pcdhga6,Pcdhb13,Pcdhb9,Cdh17,Pcdha7,Cdh15,Pcdhga10,Pcdh17,Cdh22,Pcdh12,Cdh9,Cdh2,Pcdh11x,Dsc3,Pcdha4,Pcdhb20,Pcdh7,Pcdhb10,Fat2,Pcdhga3,Pcdha12,Fat4,Pcdh18,Cdh18,Pcdh8,Pcdhgb7,Pcdhgb2,Cdh19,Cdh6,Dsg1c,Pcdha3,Celsr1,Pcdha11,Dsg3,Pcdhb19,Pcdhb3,Cdhr2,Pcdhac2,Cdh12,Pcdhga11,Pcdh1,Dsg4,Dsg1b,Dsg1a,Pcdhb21,Pcdhb1,Pcdhb8,Pcdhb6,Pcdhgc5,Pcdhgc3,Pcdh9,Celsr2,Pcdhgb8,Pcdhb12,Pcdhb7,Pcdhga5,Pcdha8,Cdhr1,Pcdhb5,Pcdhb4,Celsr3,Pcdhac1,Fat3,Pcdha9,Pcdh15,Cdh26,Pcdh20,Pcdhgb5,Clstn2,Cdh4,Cdh23,Cdh20,Fat1,Pcdhga12,Pcdhga7,Pcdhb14,Pcdhb22,Pcdha2,Pcdhga8,Ret,Clstn1,Pcdhb17,Pcdhb2,Cdh3,Cdh8,Pcdha1,Cdh1,Pcdha5,Cdh13,Pcdhga9,Pcdhgb6,Dchs1,Pcdhb18,Pcdh10
PF00018	SH3_1	8.70992317138389e-05	-9.34846249488136	107	97	0.00661935307765798	14654	19276	241275,12488,12929,17973,218397,68813,18803,17179,71972,21682,20409,11308,20491,14269,22324,12927,15162,27059,12143,237353,71520,15468,12928,20405,16428,20740,105835,329165,11352,20408,53972,20403,259302,94176,14270,54353,17972,545156,14302,16443,78473,56324,54324,23859,59009,14218,15163,269016,171207,12988,13383,214459,234779,22612,209456,237611,230972,71602,14191,231147,21981,22165,268396,20410,234214,20844,14360,17974,17970,19200,219140,66616,17444,330662,225608,226970,99662,14784,11350,98402,13860,117600,71893,622434,20779,12229,319262,17096,207278,20411,17969,52906,13385,216445,53310,20404,223435	Noxa1,Cd2ap,Crkl,Nck1,Rasa1,Dock5,Plcg1,Matk,Dnmbp,Tec,Ostf1,Abi1,Sla,Fnbp1,Vav1,Bcar1,Hck,Sh3d19,Blk,Sh3rf3,Grap,Prmt2,Crk,Sh3gl1,Itk,Sptan1,Sgsm3,Abi2,Abl2,Sh3gl3,Ngef,Itsn2,Srgap3,Dock2,Srgap2,Skap2,Ncf4,Kalrn,Frk,Itsn1,Skap1,Stam2,Arhgef5,Dlg2,Sh3rf1,Sh3pxd2a,Hcls1,Sh3rf2,Arhgap4,Csk,Dlg1,Fnbp1l,Plcg2,Yes1,Trp53bp2,Stac3,Arhgef16,Myo1e,Fgr,Sh3tc1,Ppp1r13b,Txk,Sh3pxd2b,Sorbs3,Sorbs2,Stam,Fyn,Nck2,Ncf2,Pstpip1,Spata13,Snx9,Grap2,Dock1,Sh3tc2,Arhgef4,Eps8l3,Grb2,Abl1,Sh3bp4,Eps8,Srgap1,Noxo1,Arhgef26,Src,Btk,Fchsd1,Lyn,Fchsd2,Sorbs1,Ncf1,Ahi1,Dlg4,Arhgap9,Dlg3,Sh3gl2,Trio
PF01391	Collagen	9.67387705946388e-05	-9.24349629899587	74	69	0.00470861198307629	14654	19276	71355,14134,72709,229389,77018,12821,69183,12814,12833,245026,12825,68553,12826,140792,17195,140703,56745,12842,17167,12828,69700,665033,73368,373864,12260,12841,20390,140709,12827,12829,12813,12822,12830,12834,329941,11450,239447,320924,14133,94216,12837,71145,23829,12259,12816,12818,12843,53867,17194,20288,382864,12824,12832,12839,107581,12819,237759,12823,81799,219151,109323,12831,227580,235379,12840,12836,12835,12817,71693	Col24a1,Fcnb,C1qtnf6,Otol1,Col25a1,Col17a1,C1qtnf2,Col11a1,Col6a1,Col6a6,Col3a1,Col6a4,Col4a1,Colec12,Mbl2,Emid1,C1qtnf1,Col1a1,Marco,Col4a3,Col22a1,Col6a5,Col20a1,Col27a1,C1qb,Col9a3,Sftpd,Col26a1,Col4a2,Col4a4,Col10a1,Col18a1,Col4a5,Col6a2,Col8a2,Adipoq,Colec10,Ccbe1,Fcna,Col4a6,Col8a1,Scara5,C1ql1,C1qa,Col12a1,Col14a1,Col1a2,Col5a3,Mbl1,Msr1,Colq,Col2a1,Col5a2,Col9a1,Col16a1,Col15a1,Col23a1,Col19a1,C1qtnf3,Scara3,C1qtnf7,Col5a1,C1ql3,Gldn,Col9a2,Col7a1,Col6a3,Col13a1,Colec11
PF00041	fn3	0.000121328397022236	-9.01700966370592	135	120	0.00818889040535008	14654	19276	13837,74144,235472,246154,233067,19886,16001,19283,68753,17289,17968,12836,320712,13839,22174,270190,109272,319504,19277,208777,17930,17967,12804,28105,380698,237523,13838,237979,13836,70530,70911,19272,230735,54631,13835,19289,20660,333564,57810,244682,16981,13842,22283,56741,16337,107589,19273,68655,16162,329278,19876,13848,13846,233199,53311,13845,16880,19271,545156,18007,218624,18488,94090,81877,23947,22138,12818,17929,319448,12816,12986,545902,13508,330222,19266,21367,19280,80749,19268,13176,13844,13840,242702,330863,319636,16161,268780,73368,19649,320974,117606,268902,19263,21687,19274,19270,18414,16197,21923,78911,26362,12805,269116,16195,13841,226438,14268,269784,72007,12661,13857,21960,19281,53870,17318,320181,246228,114873,399558,192897	Epha3,Robo4,Prtg,Vasn,Lrfn3,Ros1,Igf1r,Ptprz1,Mybphl,Mertk,Ncam2,Col7a1,Abi3bp,Epha5,Tyro3,Ephb1,Mybpc1,Nrcam,Ptpro,Sned1,Myom2,Ncam1,Cntfr,Trim36,Obscn,Ptprq,Epha4,Sdk2,Epha2,Lrfn2,Phyhipl,Ptprk,Epha10,Nphs1,Epha1,Igdcc3,Sorl1,Fndc3c1,Cdon,Cntn5,Lrrn3,Epha8,Ush2a,Igdcc4,Insr,Mylk,Ptpru,Fndc1,Il12rb2,Tnn,Robo1,Ephb6,Ephb4,Mybpc2,Mybph,Ephb3,Lifr,Ptprj,Kalrn,Neo1,Il31ra,Cntn3,Trim9,Tnxb,Mid2,Ttn,Col14a1,Myom1,Fndc3a,Col12a1,Csf3r,Ptprh,Dscam,Sdk1,Ptprd,Cntn2,Ptprs,Lrfn1,Ptprf,Dcc,Ephb2,Epha6,Myom3,Trim67,Fsd1l,Il12rb1,Egflam,Col20a1,Robo3,Lrrn4,Boc,Robo2,Ptprb,Tek,Ptprm,Ptprg,Osmr,Il7r,Tnc,Trim42,Axl,Cntn1,Nfasc,Il6st,Epha7,Igfn1,Fn1,Cntn4,Fndc3b,Chl1,Epor,Tnr,Ptprt,Cntn6,Mid1,Fndc7,Vwa1,Dscaml1,Flrt2,Itgb4
