TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0006030	chitin metabolic process	2.56971698527792e-05	-10.569129694587	9	3	0.0150753768844221	199	29090	104183,81600,12655	Chil4,Chia1,Chil3
GO:0006032	chitin catabolic process	2.56971698527792e-05	-10.569129694587	9	3	0.0150753768844221	199	29090	104183,81600,12655	Chil4,Chia1,Chil3
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	3.81594395713778e-05	-10.1737373977767	1050	20	0.100502512562814	199	29090	100043034,620078,246792,16969,381287,115489950,58180,20684,71468,433791,112422,100041677,100041379,21416,109032,666532,626316,195531,18096,100041433	Rex2,Sp140l2,Obox2,Zbtb7a,Sp140l1,Zfp988,Hic2,Sp100,Obox1,Zfp992,Zfp979,Zfp984,Zfp980,Tcf7l2,Sp110,Zfp991,Zfp987,Zfp982,Nkx6-1,Zfp981
GO:1901072	glucosamine-containing compound catabolic process	6.62890740896786e-05	-9.62148546938012	12	3	0.0150753768844221	199	29090	12655,104183,81600	Chil3,Chil4,Chia1
GO:0002532	production of molecular mediator involved in inflammatory response	0.000144886964424247	-8.83955667525009	39	4	0.0201005025125628	199	29090	104183,81600,12655,22631	Chil4,Chia1,Chil3,Ywhaz
GO:0046348	amino sugar catabolic process	0.000281837208760205	-8.17418092761287	19	3	0.0150753768844221	199	29090	104183,81600,12655	Chil4,Chia1,Chil3
GO:1901071	glucosamine-containing compound metabolic process	0.000817157275829316	-7.10967897755575	27	3	0.0150753768844221	199	29090	104183,81600,12655	Chil4,Chia1,Chil3
GO:1903489	positive regulation of lactation	0.000817157275829316	-7.10967897755575	27	3	0.0150753768844221	199	29090	107849,18812,18811	Prl2c5,Prl2c3,Prl2c2
GO:1903487	regulation of lactation	0.000910625913689235	-7.00137837765033	28	3	0.0150753768844221	199	29090	107849,18812,18811	Prl2c5,Prl2c3,Prl2c2
GO:0006357	regulation of transcription by RNA polymerase II	0.000944056244777752	-6.96532481226131	2510	31	0.155778894472362	199	29090	433801,18096,21416,100041379,100041677,231507,69228,115489950,100041352,620078,246792,18811,22631,100041433,26554,666532,109032,195531,626316,433791,112422,17684,18751,71468,667666,20684,52915,58180,100043034,381287,16969	Zfp268,Nkx6-1,Tcf7l2,Zfp980,Zfp984,Plac8,Zfp746,Zfp988,Tcp10c,Sp140l2,Obox2,Prl2c2,Ywhaz,Zfp981,Cul3,Zfp991,Sp110,Zfp982,Zfp987,Zfp992,Zfp979,Cited2,Prkcb,Obox1,Zfp600,Sp100,Zmiz2,Hic2,Rex2,Sp140l1,Zbtb7a
GO:0031667	response to nutrient levels	0.00195570196470823	-6.23700608876003	404	9	0.0452261306532663	199	29090	18812,78757,21416,107849,22631,18811,54673,233833,71270	Prl2c3,Rictor,Tcf7l2,Prl2c5,Ywhaz,Prl2c2,Sh3glb1,Tnrc6a,4933438K21Rik
GO:0060136	embryonic process involved in female pregnancy	0.00202099771634169	-6.20416397052582	10	2	0.0100502512562814	199	29090	17684,26357	Cited2,Abcg2
GO:0006805	xenobiotic metabolic process	0.00204391192676188	-6.19288969623738	130	5	0.0251256281407035	199	29090	394436,13082,53973,107141,380997	Ugt1a1,Cyp26a1,Cyp3a41a,Cyp2c50,Cyp2d12
GO:0008210	estrogen metabolic process	0.00206441080738477	-6.18291041658193	37	3	0.0150753768844221	199	29090	394436,53973,381598	Ugt1a1,Cyp3a41a,2610005L07Rik
GO:0044703	multi-organism reproductive process	0.00224897288405355	-6.09728166296802	194	6	0.0301507537688442	199	29090	26357,100037282,17684,18811,107849,18812	Abcg2,Rsph3b,Cited2,Prl2c2,Prl2c5,Prl2c3
GO:0005976	polysaccharide metabolic process	0.00234420806954686	-6.05580764433539	81	4	0.0201005025125628	199	29090	12655,66849,21416,81600	Chil3,Ppp1r2,Tcf7l2,Chia1
GO:0006026	aminoglycan catabolic process	0.00258585754792095	-5.95769808602719	40	3	0.0150753768844221	199	29090	81600,104183,12655	Chia1,Chil4,Chil3
GO:2000018	regulation of male gonad development	0.0029375471810482	-5.83018033800742	12	2	0.0100502512562814	199	29090	17684,107626	Cited2,Asmt
GO:0006040	amino sugar metabolic process	0.00385552916878461	-5.55824701322004	46	3	0.0150753768844221	199	29090	12655,104183,81600	Chil3,Chil4,Chia1
GO:0031669	cellular response to nutrient levels	0.0039063059443039	-5.54516312284032	217	6	0.0301507537688442	199	29090	71270,233833,54673,22631,21416,78757	4933438K21Rik,Tnrc6a,Sh3glb1,Ywhaz,Tcf7l2,Rictor
GO:0007565	female pregnancy	0.00565494126457509	-5.17522555592686	165	5	0.0251256281407035	199	29090	26357,17684,107849,18811,18812	Abcg2,Cited2,Prl2c5,Prl2c2,Prl2c3
GO:0034332	adherens junction organization	0.00574560029507253	-5.1593208831362	53	3	0.0150753768844221	199	29090	241201,104010,224105	Cdh7,Cdh22,Pak2
GO:0009267	cellular response to starvation	0.00579891501295535	-5.15008444566076	166	5	0.0251256281407035	199	29090	22631,71270,233833,21416,54673	Ywhaz,4933438K21Rik,Tnrc6a,Tcf7l2,Sh3glb1
GO:1905939	regulation of gonad development	0.00662858806409901	-5.01636345913828	18	2	0.0100502512562814	199	29090	107626,17684	Asmt,Cited2
GO:0015782	CMP-N-acetylneuraminate transmembrane transport	0.00684083877627274	-4.98484492675584	1	1	0.0050251256281407	199	29090	24060	Slc35a1
GO:2000526	positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation	0.00684083877627274	-4.98484492675584	1	1	0.0050251256281407	199	29090	12775	Ccr7
GO:0005456	CMP-N-acetylneuraminate transmembrane transporter activity	0.00684083877627274	-4.98484492675584	1	1	0.0050251256281407	199	29090	24060	Slc35a1
GO:0038117	C-C motif chemokine 19 receptor activity	0.00684083877627274	-4.98484492675584	1	1	0.0050251256281407	199	29090	12775	Ccr7
GO:0038121	C-C motif chemokine 21 receptor activity	0.00684083877627274	-4.98484492675584	1	1	0.0050251256281407	199	29090	12775	Ccr7
GO:0052696	flavonoid glucuronidation	0.00684083877627274	-4.98484492675584	1	1	0.0050251256281407	199	29090	394436	Ugt1a1
GO:2001030	negative regulation of cellular glucuronidation	0.00684083877627274	-4.98484492675584	1	1	0.0050251256281407	199	29090	394436	Ugt1a1
GO:0038115	chemokine (C-C motif) ligand 19 signaling pathway	0.00684083877627274	-4.98484492675584	1	1	0.0050251256281407	199	29090	12775	Ccr7
GO:0031145	anaphase-promoting complex-dependent catabolic process	0.00737526463569535	-4.90962349459388	19	2	0.0100502512562814	199	29090	78896,26554	Ecrg4,Cul3
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	0.00886953694202377	-4.72513268898124	62	3	0.0150753768844221	199	29090	18812,18811,107849	Prl2c3,Prl2c2,Prl2c5
GO:1900006	positive regulation of dendrite development	0.00983004895259314	-4.62231136491754	22	2	0.0100502512562814	199	29090	12808,71900	Cobl,Tmem106b
GO:0009410	response to xenobiotic stimulus	0.0102000701074269	-4.58536068543838	347	7	0.0351758793969849	199	29090	380997,13082,18751,22631,107141,394436,53973	Cyp2d12,Cyp26a1,Prkcb,Ywhaz,Cyp2c50,Ugt1a1,Cyp3a41a
GO:0071466	cellular response to xenobiotic stimulus	0.0102919846966916	-4.57638987147673	191	5	0.0251256281407035	199	29090	13082,394436,53973,107141,380997	Cyp26a1,Ugt1a1,Cyp3a41a,Cyp2c50,Cyp2d12
GO:0042594	response to starvation	0.0109557100048311	-4.51389449700508	194	5	0.0251256281407035	199	29090	54673,233833,21416,22631,71270	Sh3glb1,Tnrc6a,Tcf7l2,Ywhaz,4933438K21Rik
GO:1904894	positive regulation of receptor signaling pathway via STAT	0.0109591343436077	-4.51358198382908	67	3	0.0150753768844221	199	29090	107849,18811,18812	Prl2c5,Prl2c2,Prl2c3
GO:0051047	positive regulation of secretion	0.0110376006057655	-4.50644759818846	439	8	0.0402010050251256	199	29090	21416,107849,94245,18812,78896,18751,18096,18811	Tcf7l2,Prl2c5,Dtnbp1,Prl2c3,Ecrg4,Prkcb,Nkx6-1,Prl2c2
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	0.0111832963849425	-4.49333400811797	195	5	0.0251256281407035	199	29090	241201,104010,244682,210801,241568	Cdh7,Cdh22,Cntn5,Unc5d,Lrrc4c
GO:0010560	positive regulation of glycoprotein biosynthetic process	0.0116403584332803	-4.45327704391581	24	2	0.0100502512562814	199	29090	21416,12775	Tcf7l2,Ccr7
GO:0044706	multi-multicellular organism process	0.0121259042178609	-4.4124112702702	199	5	0.0251256281407035	199	29090	17684,107849,18812,18811,26357	Cited2,Prl2c5,Prl2c3,Prl2c2,Abcg2
GO:0001829	trophectodermal cell differentiation	0.0125961245245721	-4.37436608975125	25	2	0.0100502512562814	199	29090	17684,26554	Cited2,Cul3
GO:0035024	negative regulation of Rho protein signal transduction	0.0125961245245721	-4.37436608975125	25	2	0.0100502512562814	199	29090	26554,76041	Cul3,Ccdc125
GO:0006355	regulation of DNA-templated transcription	0.0133833748281058	-4.31374202678115	3250	33	0.165829145728643	199	29090	17684,433791,112422,109032,26554,666532,193740,195531,626316,22631,66505,100041433,100043034,16969,381287,52915,58180,667666,20684,71468,18751,100041677,21416,100041379,18096,433801,620078,246792,18811,69228,100041352,115489950,231507	Cited2,Zfp992,Zfp979,Sp110,Cul3,Zfp991,Hspa1a,Zfp982,Zfp987,Ywhaz,Zmynd11,Zfp981,Rex2,Zbtb7a,Sp140l1,Zmiz2,Hic2,Zfp600,Sp100,Obox1,Prkcb,Zfp984,Tcf7l2,Zfp980,Nkx6-1,Zfp268,Sp140l2,Obox2,Prl2c2,Zfp746,Tcp10c,Zfp988,Plac8
GO:1903020	positive regulation of glycoprotein metabolic process	0.0135849661831175	-4.29879152538793	26	2	0.0100502512562814	199	29090	21416,12775	Tcf7l2,Ccr7
GO:0061646	positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	94245	Dtnbp1
GO:0016316	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	234515	Inpp4b
GO:0046478	lactosylceramide metabolic process	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	56386	B4galt6
GO:0070980	biphenyl catabolic process	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	394436	Ugt1a1
GO:0002649	regulation of tolerance induction to self antigen	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	12775	Ccr7
GO:0001572	lactosylceramide biosynthetic process	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	56386	B4galt6
GO:0030186	melatonin metabolic process	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	107626	Asmt
GO:0016598	protein arginylation	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	11907	Ate1
GO:2001029	regulation of cellular glucuronidation	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	394436	Ugt1a1
GO:0002518	lymphocyte chemotaxis across high endothelial venule	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	12775	Ccr7
GO:2000019	negative regulation of male gonad development	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	107626	Asmt
GO:0051552	flavone metabolic process	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	394436	Ugt1a1
GO:1903778	protein localization to vacuolar membrane	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	54673	Sh3glb1
GO:0035802	adrenal cortex formation	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	17684	Cited2
GO:0030187	melatonin biosynthetic process	0.0136351140378447	-4.29510689910792	2	1	0.0050251256281407	199	29090	107626	Asmt
