TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-1170546	Prolactin receptor signaling	0.00094336207140194	-6.96606039207545	32	3	0.0566037735849057	53	8672	18812,107849,18811	Prl2c3,Prl2c5,Prl2c2
R-MMU-982772	Growth hormone receptor signaling	0.00195039978290068	-6.23972091054743	41	3	0.0566037735849057	53	8672	18811,107849,18812	Prl2c2,Prl2c5,Prl2c3
R-MMU-211981	Xenobiotics	0.00195039978290068	-6.23972091054743	41	3	0.0566037735849057	53	8672	380997,53973,107141	Cyp2d12,Cyp3a41a,Cyp2c50
R-MMU-211897	Cytochrome P450 - arranged by substrate type	0.00304945606020929	-5.79279204518244	99	4	0.0754716981132075	53	8672	53973,107141,13082,380997	Cyp3a41a,Cyp2c50,Cyp26a1,Cyp2d12
R-MMU-388841	Costimulation by the CD28 family	0.00524812854230793	-5.24988373406029	58	3	0.0566037735849057	53	8672	208154,224105,78757	Btla,Pak2,Rictor
R-MMU-5218920	VEGFR2 mediated vascular permeability	0.0108445730672598	-4.52409050225921	26	2	0.0377358490566038	53	8672	78757,224105	Rictor,Pak2
R-MMU-211859	Biological oxidations	0.0130398499624679	-4.33974522849554	231	5	0.0943396226415094	53	8672	380997,13082,394436,107141,53973	Cyp2d12,Cyp26a1,Ugt1a1,Cyp2c50,Cyp3a41a
R-MMU-211945	Phase 1 - Functionalization of compounds	0.0133606772737727	-4.31543941801388	151	4	0.0754716981132075	53	8672	53973,107141,13082,380997	Cyp3a41a,Cyp2c50,Cyp26a1,Cyp2d12
R-MMU-389356	CD28 co-stimulation	0.0133902491019141	-4.31322851587375	29	2	0.0377358490566038	53	8672	224105,78757	Pak2,Rictor
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex	0.0235092876084751	-3.75035971852792	39	2	0.0377358490566038	53	8672	21416,22631	Tcf7l2,Ywhaz
R-MMU-774815	Nucleosome assembly	0.0258152036530549	-3.65679167173898	41	2	0.0377358490566038	53	8672	212427,381280	A730008H23Rik,Hjurp
R-MMU-606279	Deposition of new CENPA-containing nucleosomes at the centromere	0.0258152036530549	-3.65679167173898	41	2	0.0377358490566038	53	8672	212427,381280	A730008H23Rik,Hjurp
R-MMU-209931	Serotonin and melatonin biosynthesis	0.0301937536764276	-3.50012020790035	5	1	0.0188679245283019	53	8672	107626	Asmt
R-MMU-2161517	Abacavir transmembrane transport	0.0301937536764276	-3.50012020790035	5	1	0.0188679245283019	53	8672	26357	Abcg2
R-MMU-114516	Disinhibition of SNARE formation	0.0301937536764276	-3.50012020790035	5	1	0.0188679245283019	53	8672	18751	Prkcb
R-MMU-380108	Chemokine receptors bind chemokines	0.0319606763578177	-3.44324899567289	46	2	0.0377358490566038	53	8672	56838,12775	Ccl28,Ccr7
R-MMU-211916	Vitamins	0.0361242637781071	-3.320790512602	6	1	0.0188679245283019	53	8672	13082	Cyp26a1
R-MMU-5626978	TNFR1-mediated ceramide production	0.0361242637781071	-3.320790512602	6	1	0.0188679245283019	53	8672	18201	Nsmaf
R-MMU-5676934	Protein repair	0.0361242637781071	-3.320790512602	6	1	0.0188679245283019	53	8672	110265	Msra
R-MMU-947581	Molybdenum cofactor biosynthesis	0.0361242637781071	-3.320790512602	6	1	0.0188679245283019	53	8672	56738	Mocs1
R-MMU-189483	Heme degradation	0.0420191880830948	-3.16962890590582	7	1	0.0188679245283019	53	8672	394436	Ugt1a1
R-MMU-426496	Post-transcriptional silencing by small RNAs	0.0420191880830948	-3.16962890590582	7	1	0.0188679245283019	53	8672	233833	Tnrc6a
R-MMU-1234158	Regulation of gene expression by Hypoxia-inducible Factor	0.0420191880830948	-3.16962890590582	7	1	0.0188679245283019	53	8672	17684	Cited2
