TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0140110	transcription regulator activity	1.03496415440968e-05	-11.4785586722732	1811	25	0.165562913907285	151	28418	52915,626316,109032,193740,18096,620078,433801,20684,71468,100041352,112422,100041379,100041433,666532,433791,17684,246792,18751,100041677,115489950,100043034,66505,667666,195531,381287	Zmiz2,Zfp987,Sp110,Hspa1a,Nkx6-1,Sp140l2,Zfp268,Sp100,Obox1,Tcp10c,Zfp979,Zfp980,Zfp981,Zfp991,Zfp992,Cited2,Obox2,Prkcb,Zfp984,Zfp988,Rex2,Zmynd11,Zfp600,Zfp982,Sp140l1
GO:0008061	chitin binding	2.35188526597501e-05	-10.6577082175969	11	3	0.0198675496688742	151	28418	12655,81600,104183	Chil3,Chia1,Chil4
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	5.03475862316669e-05	-9.896559879737	1278	19	0.125827814569536	151	28418	620078,20684,433801,109032,246792,626316,18096,100041677,100041433,666532,195531,433791,381287,115489950,71468,667666,112422,100041379,100043034	Sp140l2,Sp100,Zfp268,Sp110,Obox2,Zfp987,Nkx6-1,Zfp984,Zfp981,Zfp991,Zfp982,Zfp992,Sp140l1,Zfp988,Obox1,Zfp600,Zfp979,Zfp980,Rex2
GO:0003700	DNA-binding transcription factor activity	9.05011433729328e-05	-9.31014807338314	1336	19	0.125827814569536	151	28418	195531,100041433,666532,381287,433791,71468,115489950,112422,100041379,100043034,667666,620078,433801,20684,246792,626316,109032,100041677,18096	Zfp982,Zfp981,Zfp991,Sp140l1,Zfp992,Obox1,Zfp988,Zfp979,Zfp980,Rex2,Zfp600,Sp140l2,Zfp268,Sp100,Obox2,Zfp987,Sp110,Zfp984,Nkx6-1
GO:0101020	estrogen 16-alpha-hydroxylase activity	0.000113175966087261	-9.08656672845372	18	3	0.0198675496688742	151	28418	100041375,107141,53973	Cyp3a41b,Cyp2c50,Cyp3a41a
GO:0008401	retinoic acid 4-hydroxylase activity	0.000156885076356603	-8.75999701838576	20	3	0.0198675496688742	151	28418	107141,100041375,53973	Cyp2c50,Cyp3a41b,Cyp3a41a
GO:0005148	prolactin receptor binding	0.000437006418154361	-7.73556267612445	28	3	0.0198675496688742	151	28418	18811,18812,107849	Prl2c2,Prl2c3,Prl2c5
GO:0004568	chitinase activity	0.000769022481692257	-7.17039035391554	8	2	0.0132450331125828	151	28418	12655,81600	Chil3,Chia1
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	0.000885518312806204	-7.02933742020288	80	4	0.0264900662251656	151	28418	380997,53973,100041375,107141	Cyp2d12,Cyp3a41a,Cyp3a41b,Cyp2c50
GO:0050649	testosterone 6-beta-hydroxylase activity	0.000985295423486007	-6.92256903943907	9	2	0.0132450331125828	151	28418	100041375,53973	Cyp3a41b,Cyp3a41a
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.00104106348249561	-6.86751250898424	1130	15	0.0993377483443709	151	28418	100041379,100043034,112422,667666,71468,115489950,433791,195531,666532,100041433,100041677,18096,626316,246792,433801	Zfp980,Rex2,Zfp979,Zfp600,Obox1,Zfp988,Zfp992,Zfp982,Zfp991,Zfp981,Zfp984,Nkx6-1,Zfp987,Obox2,Zfp268
GO:0070330	aromatase activity	0.00108243338769654	-6.82854363559623	38	3	0.0198675496688742	151	28418	53973,107141,100041375	Cyp3a41a,Cyp2c50,Cyp3a41b
GO:0000987	cis-regulatory region sequence-specific DNA binding	0.0013041591134165	-6.64219680343027	1156	15	0.0993377483443709	151	28418	667666,112422,100043034,100041379,115489950,71468,433791,100041433,666532,195531,18096,100041677,246792,626316,433801	Zfp600,Zfp979,Rex2,Zfp980,Zfp988,Obox1,Zfp992,Zfp981,Zfp991,Zfp982,Nkx6-1,Zfp984,Obox2,Zfp987,Zfp268
GO:0008395	steroid hydroxylase activity	0.00155306899812353	-6.46752230687559	43	3	0.0198675496688742	151	28418	107141,100041375,53973	Cyp2c50,Cyp3a41b,Cyp3a41a
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.00511384139646977	-5.27580441619013	1336	15	0.0993377483443709	151	28418	71468,115489950,100043034,100041379,112422,667666,195531,666532,100041433,433791,626316,246792,100041677,18096,433801	Obox1,Zfp988,Rex2,Zfp980,Zfp979,Zfp600,Zfp982,Zfp991,Zfp981,Zfp992,Zfp987,Obox2,Zfp984,Nkx6-1,Zfp268
GO:0038117	C-C motif chemokine 19 receptor activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	12775	Ccr7
GO:0061799	cyclic pyranopterin monophosphate synthase activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	56738	Mocs1
GO:0019150	D-ribulokinase activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	75578	Fggy
GO:0061798	GTP 3',8'-cyclase activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	56738	Mocs1
GO:0017096	acetylserotonin O-methyltransferase activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	107626	Asmt
GO:0035757	chemokine (C-C motif) ligand 19 binding	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	12775	Ccr7
GO:0035758	chemokine (C-C motif) ligand 21 binding	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	12775	Ccr7
GO:0036456	L-methionine-(S)-S-oxide reductase activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	110265	Msra
GO:0033744	L-methionine:thioredoxin-disulfide S-oxidoreductase activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	110265	Msra
GO:0005456	CMP-N-acetylneuraminate transmembrane transporter activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	24060	Slc35a1
GO:0038121	C-C motif chemokine 21 receptor activity	0.00531353367554488	-5.2374981894385	1	1	0.00662251655629139	151	28418	12775	Ccr7
GO:0005179	hormone activity	0.00671926889637307	-5.00277592554828	140	4	0.0264900662251656	151	28418	18812,107849,78896,18811	Prl2c3,Prl2c5,Ecrg4,Prl2c2
