TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0031462	Cul2-RING ubiquitin ligase complex	0.00210225223973614	-6.16474601385231	63	2	0.0645161290322581	31	28799	108169097,622894	Pramel44,Pramel59
GO:1990357	terminal web	0.00429898144391954	-5.44937715784866	4	1	0.032258064516129	31	28799	12808	Cobl
GO:0098685	Schaffer collateral - CA1 synapse	0.0114950908527091	-4.46583521712627	151	2	0.0645161290322581	31	28799	94245,241568	Dtnbp1,Lrrc4c
GO:0044294	dendritic growth cone	0.0128433536278533	-4.35492882885355	12	1	0.032258064516129	31	28799	12808	Cobl
GO:0042824	MHC class I peptide loading complex	0.0160291639903553	-4.13334546653695	15	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0031083	BLOC-1 complex	0.0160291639903553	-4.13334546653695	15	1	0.032258064516129	31	28799	94245	Dtnbp1
GO:0044292	dendrite terminus	0.0213167498537873	-3.84826213718795	20	1	0.032258064516129	31	28799	12808	Cobl
GO:0031082	BLOC complex	0.0213167498537873	-3.84826213718795	20	1	0.032258064516129	31	28799	94245	Dtnbp1
GO:0030426	growth cone	0.0216088961700938	-3.83465018935639	211	2	0.0645161290322581	31	28799	94245,12808	Dtnbp1,Cobl
GO:0030427	site of polarized growth	0.0231594316710221	-3.76535316582619	219	2	0.0645161290322581	31	28799	12808,94245	Cobl,Dtnbp1
GO:0031430	M band	0.0234240758226595	-3.75399090424384	22	1	0.032258064516129	31	28799	17930	Myom2
GO:0031461	cullin-RING ubiquitin ligase complex	0.0243517923390085	-3.71514982481095	225	2	0.0645161290322581	31	28799	622894,108169097	Pramel59,Pramel44
GO:0002177	manchette	0.0255270103102569	-3.66801815955054	24	1	0.032258064516129	31	28799	320277	Spef2
GO:0005797	Golgi medial cisterna	0.0255270103102569	-3.66801815955054	24	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0042612	MHC class I protein complex	0.0276255621616506	-3.58901376960826	26	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0033106	cis-Golgi network membrane	0.0276255621616506	-3.58901376960826	26	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0032398	MHC class Ib protein complex	0.0276255621616506	-3.58901376960826	26	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0070971	endoplasmic reticulum exit site	0.0349361077297467	-3.35423437917223	33	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0042611	MHC protein complex	0.0421934509235339	-3.16549026136905	40	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0031672	A band	0.0421934509235339	-3.16549026136905	40	1	0.032258064516129	31	28799	17930	Myom2
GO:0044295	axonal growth cone	0.050422891786667	-2.98731000490696	48	1	0.032258064516129	31	28799	12808	Cobl
GO:0000151	ubiquitin ligase complex	0.0540710319643712	-2.91745669005977	349	2	0.0645161290322581	31	28799	108169097,622894	Pramel44,Pramel59
GO:0097225	sperm midpiece	0.0636499972007004	-2.75435599795829	61	1	0.032258064516129	31	28799	320277	Spef2
GO:0045211	postsynaptic membrane	0.0669302593618381	-2.70410410675625	394	2	0.0645161290322581	31	28799	241568,94245	Lrrc4c,Dtnbp1
GO:0150034	distal axon	0.0675237978195055	-2.69527518294946	396	2	0.0645161290322581	31	28799	12808,94245	Cobl,Dtnbp1
GO:0005801	cis-Golgi network	0.0686897191805189	-2.6781557389796	66	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0098686	hippocampal mossy fiber to CA3 synapse	0.0696945087515139	-2.66363374837217	67	1	0.032258064516129	31	28799	94245	Dtnbp1
GO:0031985	Golgi cisterna	0.0706982491898304	-2.64933447032075	68	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0014069	postsynaptic density	0.0738622401878244	-2.60555353982779	417	2	0.0645161290322581	31	28799	241568,94245	Lrrc4c,Dtnbp1
GO:0140535	intracellular protein-containing complex	0.0765615747393932	-2.56965996335261	926	3	0.0967741935483871	31	28799	108169097,622894,94245	Pramel44,Pramel59,Dtnbp1
GO:0032279	asymmetric synapse	0.0813336474746579	-2.50919547997117	441	2	0.0645161290322581	31	28799	241568,94245	Lrrc4c,Dtnbp1
GO:0030864	cortical actin cytoskeleton	0.0905543632751575	-2.40180490945077	88	1	0.032258064516129	31	28799	12808	Cobl
GO:0099572	postsynaptic specialization	0.091318120097435	-2.39340604341247	472	2	0.0645161290322581	31	28799	241568,94245	Lrrc4c,Dtnbp1
GO:0005795	Golgi stack	0.0964307029874656	-2.33893063235404	94	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0098984	neuron to neuron synapse	0.0966086626265265	-2.33708686656141	488	2	0.0645161290322581	31	28799	241568,94245	Lrrc4c,Dtnbp1
GO:0005856	cytoskeleton	0.106451909083523	-2.24006195371682	2367	5	0.161290322580645	31	28799	17930,320277,12808,94245,100041352	Myom2,Spef2,Cobl,Dtnbp1,Tcp10c
GO:0016528	sarcoplasm	0.108073347079263	-2.22494514274606	106	1	0.032258064516129	31	28799	94245	Dtnbp1
GO:0031901	early endosome membrane	0.109036987211208	-2.21606812210023	107	1	0.032258064516129	31	28799	110557	H2-Q6
GO:0097060	synaptic membrane	0.12250691480267	-2.09958780322172	563	2	0.0645161290322581	31	28799	94245,241568	Dtnbp1,Lrrc4c
