rid	cluster1	cluster2	cluster3	cluster4	cluster5
CENP-A_containing_chromatin_assembly	0	0	1	0	0
DNA-binding_transcription_factor_activity,	17	0	0	4	6
alkaloid_catabolic_process_	2	0	0	0	0
alkaloid_metabolic_process_	2	0	0	0	0
amino_sugar_catabolic_process	3	0	0	0	0
amino_sugar_metabolic_process	3	0	0	0	0
aminoglycan_catabolic_process_	3	0	0	0	0
anterograde_synaptic_vesicle_transport	0	0	0	1	0
autophagic_cell_death_	0	0	0	1	0
cell_morphogenesis_involved_in	0	0	0	0	4
cell_projection_morphogenesis_	0	0	0	0	4
cellular_response_to_xenobiotic	5	0	0	0	0
chitin_catabolic_process_	3	0	0	0	0
chitin_metabolic_process_	3	0	0	0	0
chromatin_remodeling_at_centromere	0	0	1	0	0
collateral_sprouting_in_absence	0	0	0	0	1
cytolysis___	1	0	1	0	0
cytolysis_in_another_organism	1	0	1	1	0
dolichyl-phosphate-mannose-protein_mannosyltransferase_activity_	0	0	0	1	0
embryonic_process_involved_in	2	0	0	0	0
estrogen_metabolic_process_	4	0	0	0	0
female_pregnancy__	5	0	0	0	0
glucosamine-containing_compound_catabolic_process	3	0	0	0	0
glucosamine-containing_compound_metabolic_process	3	0	0	0	0
lactosylceramide_biosynthetic_process_	0	0	0	0	1
lactosylceramide_metabolic_process_	0	0	0	0	1
ligand-gated_calcium_channel_activity	1	1	0	1	0
lipid_droplet_formation_	0	0	1	0	0
lipid_hydroxylation__	2	0	0	0	0
macromolecule_catabolic_process_	0	6	0	0	0
mannosylation___	0	0	0	1	0
melatonin_biosynthetic_process_	0	0	0	0	1
melatonin_metabolic_process_	0	0	0	0	1
mitochondrial_protein_catabolic_process	1	0	1	0	0
multi-multicellular_organism_process_	5	0	0	0	0
multi-organism_reproductive_process_	5	0	0	0	0
n.reg.of_cellular_extravasation_	0	0	1	0	0
n.reg.of_cysteine-type_endopeptidase_activity	0	1	0	0	0
n.reg.of_dendritic_spine_development	0	0	0	1	0
n.reg.of_dendritic_spine_morphogenesis	0	0	0	1	0
n.reg.of_leukocyte_adhesion_to	0	0	1	0	0
n.reg.of_leukocyte_tethering_or	1	0	1	0	0
n.reg.of_male_gonad_development	0	0	0	0	1
neuron_projection_morphogenesis_	0	0	0	0	4
nuclear_protein_quality_control	0	1	0	0	0
oxidative_demethylation__	2	0	0	0	0
p.reg.of_glutamate_neurotransmitter_secretion	0	0	0	1	1
p.reg.of_glutamate_secretion,_neurotransmission	0	0	0	1	1
p.reg.of_glutamate_secretion_	0	0	0	1	0
p.reg.of_heparan_sulfate_proteoglycan	0	1	0	0	0
p.reg.of_lactation__	3	0	0	0	0
p.reg.of_membrane_tubulation_	0	0	0	1	0
p.reg.of_neurotransmitter_secretion_	0	0	0	1	0
p.reg.of_receptor_signaling_pathway	3	0	0	0	0
phosphatidylethanolamine_biosynthetic_process_	0	0	1	0	0
plasma_membrane_bounded_cell	0	0	0	0	4
platelet_dense_granule_organization	0	0	0	1	0
production_of_molecular_mediator	4	0	0	0	0
proteasomal_protein_catabolic_process	0	4	0	0	0
protein_O-linked_mannosylation_	0	0	0	1	0
protein_arginylation__	0	1	0	0	0
protein_localization_to_vacuolar	0	0	0	1	0
protein_mannosylation__	0	0	0	1	0
reg.of_DNA_binding_	0	3	0	0	0
reg.of_binding__	0	4	0	0	0
reg.of_dopamine_receptor_signaling	0	0	0	1	0
reg.of_extrinsic_apoptotic_signaling	0	3	0	0	0
reg.of_glutamate_secretion,_neurotransmission	0	0	0	1	0
reg.of_glutamate_secretion_	0	0	0	1	0
reg.of_gonad_development_	2	0	0	0	0
reg.of_lactation__	3	0	0	0	0
reg.of_male_gonad_development	2	0	0	0	0
reg.of_membrane_tubulation_	0	0	0	1	0
reg.of_transcription_by_RNA	26	0	0	0	8
response_to_xenobiotic_stimulus	7	0	0	0	0
somite_specification__	0	0	0	0	1
synaptic_vesicle_cytoskeletal_transport	0	0	0	1	0
synaptic_vesicle_transport_along	0	0	0	1	0
thermoception___	0	1	0	0	0
trophectodermal_cellular_morphogenesis_	0	1	0	0	0
xenobiotic_catabolic_process_	3	0	0	0	0
xenobiotic_metabolic_process_	5	0	0	0	0
