#1.2
16987	6
Name	Description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
H19	H19	16299.2425215	-6.81438488749941	0.222041670089	-30.6896668754183	7.81864675775577e-207	1.22510376047275e-202
Igf2bp1	Igf2bp1	3391.13987339	-8.79227940744262	0.344555229926	-25.5177650600121	1.2520789882631e-143	9.80941283354728e-140
Cnn3	Cnn3	2281.16801872	-5.38059659766678	0.247840681328	-21.7099007670763	1.65414404858581e-104	8.63959436576366e-101
H2-Q7	H2-Q7	4012.16463734	6.20037994642	0.294576568549	21.0484492265	2.36285091385114e-98	7.40470219382669e-95
H2-Q9	H2-Q9	4012.16463734	6.20037994642	0.294576568549	21.0484492265	2.36285091385114e-98	7.40470219382669e-95
Nwd1	Nwd1	4017.14331414	4.33580556358	0.212231537675	20.4296006667	9.12450775694032e-93	2.38286520072496e-89
Ltbp3	Ltbp3	2908.96315811	4.6339012615	0.23322608944	19.8687088251	7.59308728080388e-88	1.69965835147023e-84
Dlk1	Dlk1	2500.12217852	-4.89386273859732	0.247198282974	-19.7973168733903	3.13977848117193e-87	6.14964862768537e-84
Cpne2	Cpne2	3303.02404027	4.48929495675	0.230292767091	19.4938599829	1.23782274296534e-84	2.15504939550267e-81
Hmga2	Hmga2	7006.60426587	-4.02218453654838	0.21031119614	-19.1249187412662	1.56617296927606e-81	2.45403642555866e-78
Sdsl	Sdsl	1377.03691814	6.39700433496	0.335363272241	19.0748506603	4.08587875271541e-81	5.82014856148162e-78
Igf2	Igf2	5432.40456115	-5.38617835869085	0.289133674438	-18.6286788253139	1.88110620267348e-77	2.4562544241409e-74
H2-Q4	H2-Q4	6460.87461053	3.73491454562	0.204426073255	18.2702455032	1.42806826878658e-74	1.72126166950899e-71
Col18a1	Col18a1	3704.16387502	-3.97501656845862	0.220910135354	-17.993817088026	2.17823603599421e-72	2.43791288914238e-69
Rgs1	Rgs1	1627.87608819	8.54259934522	0.481404593837	17.745155436	1.8787957406782e-70	1.96259003071245e-67
Lgals1	Lgals1	6865.13646081	-4.53800291899929	0.268437156657	-16.9052711461774	4.11428004185554e-64	4.02916587348966e-61
Col16a1	Col16a1	1695.05688895	4.76467223585	0.283937569944	16.7807037187	3.37809172643564e-63	3.11360701538353e-60
Ndrg1	Ndrg1	3923.29276806	4.19217273406	0.2524663395	16.6048778715	6.42507831223197e-62	5.59303067079793e-59
Sox6	Sox6	2866.17356824	3.73612832375	0.225054429897	16.6009988138	6.85408309005001e-62	5.65245410199966e-59
Igf2bp3	Igf2bp3	1849.56984682	-4.67711051824736	0.282786399404	-16.5393757553663	1.90991240479567e-61	1.49632087353717e-58
Pklr	Pklr	4746.06509738	-4.85593716286859	0.297905347937	-16.3002685131466	9.82595110225061e-60	7.33156322957928e-57
Myl10	Myl10	1320.02903451	5.80643551353	0.359499683853	16.1514342691	1.10951549251942e-58	7.90227193285763e-56
H2-Q5	H2-Q5	723.640321422	6.47787381038	0.407128253854	15.9111379499	5.3040592114027e-57	3.6134479905856e-54
Mpo	Mpo	9403.05535098	-4.45770760828087	0.285837948401	-15.5952267122585	7.84444429385693e-55	5.12144156835184e-52
Hspa1b	Hspa1b	1115.95875955	4.87798279067	0.312942374347	15.587479327	8.85595986296113e-55	5.55056140370952e-52
Sdpr	Sdpr	2845.00433278	3.61481280214	0.233724624969	15.4661187396	5.87437529892189e-54	3.54021486764643e-51
Galnt6	Galnt6	2538.11583133	3.70227904119	0.250125889788	14.8016626521	1.42905966590675e-49	8.29330959447885e-47
Ank1	Ank1	3089.34589281	-3.8287419655859	0.264451585202	-14.478045055619	1.66773306560347e-47	9.33275335890744e-45
Nlrc5	Nlrc5	1659.52761106	3.83963023018	0.267704887539	14.3427722425	1.18236373551145e-46	6.38843357645826e-44
Npdc1	Npdc1	544.640276494	6.26225353217	0.437143142628	14.3254072214	1.51835468746254e-46	7.93036653261685e-44
Dnajc6	Dnajc6	927.801562253	4.25579037985	0.300968963208	14.1402965093	2.14379207611977e-45	1.08358316260389e-42
Cited4	Cited4	1519.21001604	-4.24404527306154	0.305177357333	-13.9068157288739	5.75866899704671e-44	2.81976826608516e-41
Gda	Gda	1346.12232109	4.46202671259	0.321425419788	13.8819969981	8.14428210382442e-44	3.86705322075227e-41
Mt2	Mt2	1174.28683405	-4.98164542251551	0.367885831402	-13.5412810097446	8.92193499422428e-42	4.11169998307354e-39
H2-K1	H2-K1	33276.8061168	2.57973184417	0.196311156557	13.1410353309	1.91587299463985e-39	8.57708970086052e-37
Slc6a15	Slc6a15	898.862075481	3.98805603239	0.303856427305	13.1248039337	2.37396374562579e-39	1.03326772028362e-36
Hbb-bt	Hbb-bt	658.621730921	-4.72955713387559	0.361326649973	-13.0894223667833	3.78475099119669e-39	1.56061219160687e-36
Hbb-b2	Hbb-b2	658.621730921	-4.72955713387559	0.361326649973	-13.0894223667833	3.78475099119669e-39	1.56061219160687e-36
Robo3	Robo3	623.167096817	5.93460738283	0.461533649844	12.8584500498	7.71072975379902e-38	3.09793396185325e-35
Csgalnact1	Csgalnact1	1987.27515026	2.96769384835	0.234117178548	12.6761046189	8.02205648706402e-37	3.14244007739516e-34
Hif3a	Hif3a	3368.79321188	-2.65914870377001	0.213874898599	-12.4331967948883	1.72591620465009e-35	6.5959465879664e-33
Cecr2	Cecr2	436.900585831	-5.86564015975487	0.473803387598	-12.3799033803802	3.35746749523188e-35	1.25257519482829e-32
Cpox	Cpox	7884.11530294	-2.64167837642512	0.215654681703	-12.2495758291208	1.68876872486731e-34	6.15379468603392e-32
Muc13	Muc13	7415.38627124	2.79316859015	0.232960662008	11.9898723075	4.01523652006298e-33	1.4298804780197e-30
Igf2bp2	Igf2bp2	3484.8940867	-2.76079144271961	0.231255162396	-11.9382910812408	7.474306719922e-33	2.60255359987684e-30
Abcb1b	Abcb1b	846.528772539	3.65384729238	0.30631658526	11.9283364604	8.42400901791557e-33	2.8694738543852e-30
Aff3	Aff3	3961.40644844	2.73226104712	0.231337545121	11.810711684	3.43640141647394e-32	1.14563774031341e-29
B2m	B2m	25332.9325516	2.25427300795	0.192950804022	11.6831490772	1.55428579672234e-31	5.07377169767548e-29
Hmga1-rs1	Hmga1-rs1	19324.3126462	-2.29733916666372	0.197135615861	-11.6535977359226	2.19971746405191e-31	7.0341577437203e-29
Hmga1	Hmga1	19434.8672184	-2.28259039800733	0.196614663004	-11.6094616908467	3.68930849868375e-31	1.15615549731751e-28
Slc16a3	Slc16a3	1846.24214524	-3.25173456914907	0.282327007659	-11.5176178011351	1.0754319686293e-30	3.30410657185344e-28
Pdcd4	Pdcd4	15255.5861217	2.13578358383	0.186055907081	11.4792570541	1.67715444905929e-30	5.05371789659807e-28
Ermap	Ermap	4326.03154176	-3.82425688787568	0.33362242989	-11.4628290703725	2.02780885683044e-30	5.99504471276909e-28
Sptb	Sptb	1905.2628707	-3.10252159199827	0.271350990917	-11.4336106955734	2.84046817929659e-30	8.24209183359226e-28
Cplx2	Cplx2	774.352179276	3.52910604985	0.308820272096	11.4277020284	3.04048828505614e-30	8.66207471609902e-28
Epb4.1l4b	Epb4.1l4b	2914.86294707	2.92944855481	0.257162379223	11.3914351067	4.61328247404911e-30	1.29081291224778e-27
Slc26a1	Slc26a1	741.607385337	-3.76494113393209	0.335224295085	-11.2311106000805	2.86850073211792e-29	7.88535753886941e-27
Sult1a1	Sult1a1	316.619479353	5.67820387333	0.508024431554	11.1770291361	5.28289872931223e-29	1.42720241706196e-26
Rgs18	Rgs18	4158.33897594	2.21654085505	0.203650371203	10.8840501589	1.37322701526164e-27	3.64696510205671e-25
Tenc1	Tenc1	790.127333287	3.55452729511	0.328453033302	10.8220260881	2.70725395792709e-27	7.0699937111266e-25
H2-D1	H2-D1	22535.9341856	2.17503198673	0.201266842683	10.8067079393	3.19946663555598e-27	8.21843323156175e-25
Mt1	Mt1	2111.52552295	-3.19648849058698	0.297388524371	-10.7485266869294	6.02157324118076e-27	1.52169096379631e-24
H2-L	H2-L	19839.7355606	2.17766663932	0.202629103264	10.7470575758	6.11822903306961e-27	1.52169096379631e-24
Lin28b	Lin28b	1053.07875518	-4.35315923951463	0.408701973779	-10.651182325501	1.72164349075429e-26	4.21506747759826e-24
Ifi44	Ifi44	735.302497585	3.34223792974	0.316800017767	10.5499928734	5.08009479294361e-26	1.22461546631744e-23
St3gal5	St3gal5	1374.37403098	-2.7441963748452	0.261258540312	-10.5037575865147	8.30086088307459e-26	1.97069983601357e-23
Myo7a	Myo7a	2162.40310516	-2.62490622617178	0.251634139555	-10.4314391950713	1.78168957842626e-25	4.16676029915837e-23
Tgtp2	Tgtp2	1274.24210755	2.88007857201	0.27624168328	10.425937671	1.88787913916596e-25	4.35017326935169e-23
Atp7b	Atp7b	1118.55167864	-2.82082479518996	0.272023247786	-10.369793089937	3.40260707948598e-25	7.72687685919795e-23
Klf1	Klf1	2583.95716258	-3.41770103220554	0.329669221161	-10.3670613233793	3.50126674535708e-25	7.83733551900002e-23
Slc40a1	Slc40a1	2033.63800003	-3.90455622933372	0.37856090982	-10.3142086994375	6.07799139520054e-25	1.34135277706193e-22
Pbx1	Pbx1	13179.6793999	1.91526085377	0.185806550181	10.3078220434	6.49566771543911e-25	1.41361968657244e-22
Ddx4	Ddx4	342.519935178	-5.40597914211189	0.529729837147	-10.2051626376745	1.88005910603025e-24	4.03543097703945e-22
