TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PI3K	PI3K/Akt/mTOR signaling pathway	0.233569365373316	-1.4542761780092	92	76	0.23030303030303	330	416	54446,22390,16331,16337,74769,18034,19211,18708,16001,12575,18707,16002,23797,19052,14936,18035,13681,320207,19744,19053,17246,18607,22339,13682,16176,15251,18706,12443,16333,16150,217715,224045,56458,29869,11652,13685,209354,18018,11835,56637,16000,109880,18033,18019,72508,71742,11651,108067,22341,18036,13684,26408,12387,218268,232493,12576,73181,30955,19696,17932,75669,16004,18710,56716,22059,64930,19697,12675,73699,18021,16193,18569,19698,18037,16175,16334	Nfat5,Wee1,Inpp5d,Insr,Pik3cb,Nfkb2,Pten,Pik3r1,Igf1r,Cdkn1a,Pik3cd,Igf2,Akt3,Ppp2ca,Gys1,Nfkbia,Eif4a1,Pik3r5,Rheb,Ppp2cb,Mdm2,Pdpk1,Vegfa,Eif4a2,Il1b,Hif1a,Pik3ca,Ccnd1,Ins1,Ikbkb,Eif2b2,Eif2b5,Foxo1,Ulk2,Akt2,Eif4ebp1,Eif2b1,Nfatc1,Ar,Gsk3b,Igf1,Braf,Nfkb1,Nfatc2,Rps6kb1,Ulk3,Akt1,Eif2b3,Vegfc,Nfkbib,Eif4e,Map3k5,Ctnnb1,Eif4e1b,Gys2,Cdkn1b,Nfatc4,Pik3cg,Rel,Myt1,Pik3r4,Igf2r,Pik3r3,Mlst8,Trp53,Tsc1,Rela,Chuk,Ppp2r1b,Nfatc3,Il6,Pdcd4,Relb,Nfkbie,Il1a,Ins2
PPAR	PPAR (Peroxisome proliferator-activated receptor) signaling pathway	0.246217699720684	-1.40153917618027	45	38	0.115151515151515	330	416	20280,66113,11832,18534,20181,104086,57875,22190,14077,14626,17436,20249,11807,15360,13122,14081,13124,22227,11363,74147,12894,56473,11364,11450,19013,20411,19016,11806,26457,11770,228026,12491,18830,19015,26569,16956,11430,12896	Scp2,Apoa5,Aqp7,Pck1,Rxra,Cyp27a1,Angptl4,Ubc,Fabp3,Gk2,Me1,Scd1,Apoa2,Hmgcs2,Cyp7a1,Acsl1,Cyp8b1,Ucp1,Acadl,Ehhadh,Cpt1a,Fads2,Acadm,Adipoq,Ppara,Sorbs1,Pparg,Apoa1,Slc27a1,Fabp4,Pdk1,Cd36,Pltp,Ppard,Slc27a4,Lpl,Acox1,Cpt2
SP	Sphingolipids metabolism pathway	0.422863233319142	-0.860706477703476	24	20	0.0606060606060606	330	416	22239,11886,223753,67916,545975,74442,208449,56632,241447,93898,67260,20597,20773,76893,22234,19012,268656,71949,70059,70750	Ugt8a,Asah1,Cerk,Plpp3,Cers3,Sgms2,Sgms1,Sphk2,Cers6,Cers1,Cers4,Smpd1,Sptlc2,Cers2,Ugcg,Plpp1,Sptlc1,Cers5,Degs2,Kdsr
TLR4	TLR4 (Toll-like receptor 4) signaling pathway	0.462717506264608	-0.770638548763065	67	54	0.163636363636364	330	416	266632,19696,20304,54123,26409,26416,18036,15962,15977,18033,19225,26413,19094,20750,18037,16175,14082,15894,225471,19698,26419,16193,19697,12675,68652,73914,16159,21929,56480,18126,26415,18035,14281,26420,16476,12370,18034,26400,21898,26396,66513,29857,16150,16176,56489,17087,26410,26399,26397,27056,12475,22329,22031,26398	Irak4,Rel,Ccl5,Irf7,Map3k7,Mapk14,Nfkbib,Ifna1,Ifnb1,Nfkb1,Ptgs2,Mapk1,Mapk11,Spp1,Nfkbie,Il1a,Fadd,Icam1,Ticam2,Relb,Mapk8,Il6,Rela,Chuk,Tab2,Irak3,Il12a,Tnfaip3,Tbk1,Nos2,Mapk13,Nfkbia,Fos,Mapk9,Jun,Casp8,Nfkb2,Map2k7,Tlr4,Map2k2,Tab1,Mapk12,Ikbkb,Il1b,Ikbke,Ly96,Map3k8,Map2k6,Map2k3,Irf5,Cd14,Vcam1,Traf3,Map2k4
FAOmega3And6Unsaturated	Omega-3 and omega-6 unsaturated fatty acids biosynthesis pathway	0.62332762068682	-0.472683022517161	15	12	0.0363636363636364	330	416	171210,26897,50790,18783,53357,11430,18784,54326,14081,56473,76267,68801	Acot2,Acot1,Acsl4,Pla2g4a,Pla2g6,Acox1,Pla2g5,Elovl2,Acsl1,Fads2,Fads1,Elovl5
Apoptosis	Apoptosis signaling pathway	0.65442383101141	-0.424000077774439	74	58	0.175757575757576	330	416	11783,18706,16150,12364,320207,12043,18211,108960,18708,16187,18707,12048,26926,18035,16177,18049,23797,19084,12983,12633,74769,18034,12370,19085,12675,19697,22059,19055,22030,11796,19698,16175,18037,14102,14082,53859,21937,19088,18749,18710,73914,19087,12367,18036,12369,21933,13063,12368,30955,266632,19696,11652,22035,14103,12122,12333,18033,11651	Apaf1,Pik3ca,Ikbkb,Casp12,Pik3r5,Bcl2,Ntrk1,Irak2,Pik3r1,Il3,Pik3cd,Bcl2l1,Aifm1,Nfkbia,Il1r1,Ngf,Akt3,Prkar1a,Csf2rb,Cflar,Pik3cb,Nfkb2,Casp8,Prkar1b,Chuk,Rela,Trp53,Ppp3ca,Traf2,Birc3,Relb,Il1a,Nfkbie,Fas,Fadd,Map3k14,Tnfrsf1a,Prkar2b,Prkacb,Pik3r3,Irak3,Prkar2a,Casp3,Nfkbib,Casp7,Tnfrsf10b,Cycs,Casp6,Pik3cg,Irak4,Rel,Akt2,Tnfsf10,Fasl,Bid,Capn1,Nfkb1,Akt1
CellCycle	Cell cycle signaling pathway	0.707896451463567	-0.345457450979684	95	74	0.224242424242424	330	416	12544,26428,56637,56452,12545,27401,12914,12566,18538,17218,12531,19651,12576,21781,17219,13555,21803,17869,11350,17120,12427,242705,12579,12571,12577,12567,13006,22059,12235,68999,66671,12578,12447,22642,22390,18392,21402,13197,268930,50883,19645,19650,218294,140557,12442,107995,104394,15182,22137,17126,12575,19357,23834,12237,52206,56371,12534,17246,20842,12580,56150,17128,17220,56317,12443,18817,13557,69010,17127,211586,18393,17215,13559,50878	Cdc45,Orc4,Gsk3b,Orc6,Cdc7,Skp2,Crebbp,Cdk2,Pcna,Mcm5,Cdc25b,Rbl2,Cdkn1b,Tfdp1,Mcm6,E2f1,Tgfb1,Myc,Abl1,Mad1l1,Ccna1,E2f2,Cdkn2b,Cdk6,Cdkn1c,Cdk4,Smc3,Trp53,Bub1,Anapc10,Ccnh,Cdkn2a,Ccne1,Zbtb17,Wee1,Orc1,Skp1,Gadd45a,Pkmyt1,Chek2,Rb1,Rbl1,Cdc14b,Smc1b,Ccnb2,Cdc20,E2f4,Hdac2,Ttk,Smad2,Cdkn1a,Rad21,Cdc6,Bub3,Anapc4,Fzr1,Cdk1,Mdm2,Stag1,Cdkn2c,Mad2l1,Smad4,Mcm7,Anapc7,Ccnd1,Plk1,E2f3,Anapc13,Smad3,Tfdp2,Orc2,Mcm3,E2f5,Stag3
FAEicosanoids	Arachidonic acid metabolism pathway	0.721410766487546	-0.326546586188876	9	7	0.0212121212121212	330	416	18783,11689,53357,64292,18784,19224,19225	Pla2g4a,Alox5,Pla2g6,Ptges,Pla2g5,Ptgs1,Ptgs2
ST	Sterols biosynthesis pathway	0.721410766487546	-0.326546586188876	9	7	0.0212121212121212	330	416	74754,12642,235293,223920,15357,20775,20652	Dhcr24,Ch25h,Sc5d,Soat2,Hmgcr,Sqle,Soat1
FAEicosanoidsCYP	Arachidonic acid metabolism via CYP (Cytochromoe P450) pathway	0.821668439038671	-0.196418324130747	15	11	0.0333333333333333	330	416	13109,277753,226143,13850,13096,13098,72082,13099,72054,13095,13097	Cyp2j5,Cyp4a12a,Cyp2c23,Ephx2,Cyp2c37,Cyp2c39,Cyp2c55,Cyp2c40,Cyp4f18,Cyp2c29,Cyp2c38
GP	Glycerolipids/Glycerophospholipids metabolism pathway	0.821915925040671	-0.196117170129432	19	14	0.0424242424242424	330	416	18618,14732,18778,74596,12651,13026,68262,320951,18805,75320,19012,212862,27388,104418	Pemt,Gpam,Pla2g1b,Cds1,Chkb,Pcyt1a,Agpat4,Pisd,Pld1,Etnk1,Plpp1,Chpt1,Ptdss2,Dgkz
FAOmega9AndOthersUnsaturated	Omega-9 and other unsaturated fatty acids biosynthesis pathway	0.858939984485587	-0.152056226160925	14	10	0.0303030303030303	330	416	68801,12686,76267,50790,14081,20250,54326,171210,26897,56473	Elovl5,Elovl3,Fads1,Acsl4,Acsl1,Scd2,Elovl2,Acot2,Acot1,Fads2
FAEicosanoidsLOX	Arachidonic acid metabolism via LOX (Lipooxygenase) pathway	0.905185501537246	-0.0996153822122215	20	14	0.0424242424242424	330	416	67103,16993,23887,74147,277753,11684,72054,319446,11430,11687,15446,93732,13479,11689	Ptgr1,Lta4h,Ggt5,Ehhadh,Cyp4a12a,Alox12,Cyp4f18,Dpep2,Acox1,Alox15,Hpgd,Acox2,Dpep1,Alox5
FAEicosanoidsCOX	Arachidonic acid metabolism via COX (Cyclooxygenase) pathway	0.926199905698845	-0.076665186750601	19	13	0.0393939393939394	330	416	277753,74147,19225,67103,93732,15446,18783,21391,64292,11430,19223,72054,19224	Cyp4a12a,Ehhadh,Ptgs2,Ptgr1,Acox2,Hpgd,Pla2g4a,Tbxas1,Ptges,Acox1,Ptgis,Cyp4f18,Ptgs1
