TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY-6558	heparan sulfate biosynthesis (late stages)	0.000243892783951903	-8.31878183927313	19	16	0.0358744394618834	446	1039	54710,195646,14042,54616,227327,64580,15531,72077,17423,15476,14537,14538,14043,15478,319415,58193	Hs3st3b1,Hs3st2,Ext1,Extl3,B3gnt7,Ndst4,Ndst1,Gcnt3,Ndst2,Hs3st1,Gcnt1,Gcnt2,Ext2,Hs3st3a1,Hs3st5,Extl2
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.000808140013166257	-7.12077523083345	58	37	0.0829596412556054	446	1039	69993,54153,66691,208869,13430,56533,23881,105445,117600,11514,73910,212508,109934,99326,224129,11517,11516,67299,11512,76088,216991,270192,210044,11848,53869,66922,271639,66687,432530,69632,14687,114713,11515,11891,110279,210293,380711	Chn2,Rasa4,Gapvd1,Dock3,Dnm2,Rgs17,G3bp2,Dock9,Srgap1,Adcy8,Arhgap18,Mtg1,Abr,Garnl3,Adcy5,Adcyap1r1,Adcyap1,Dock7,Adcy6,Dock8,Adap2,Rab6b,Adcy2,Rhoa,Rab11a,Rras2,Adcy10,Tbc1d15,Adcy1,Arhgef12,Gnaz,Rasa2,Adcy9,Rab27a,Bcr,Dock10,Rap1gap2
MOUSE_PWY-6564	heparan sulfate biosynthesis	0.00161114830518216	-6.43080812118317	26	19	0.0426008968609865	446	1039	14042,15531,64580,227327,54616,195646,76898,54710,15478,14538,233781,14043,72727,58193,319415,14537,17423,15476,72077	Ext1,Ndst1,Ndst4,B3gnt7,Extl3,Hs3st2,B3gat1,Hs3st3b1,Hs3st3a1,Gcnt2,Xylt1,Ext2,B3gat3,Extl2,Hs3st5,Gcnt1,Ndst2,Hs3st1,Gcnt3
MOUSE_PWY3DJ-219	PIP metabolism	0.0288008596624248	-3.54735004289597	47	27	0.0605381165919283	446	1039	225326,234779,19211,74302,18796,67073,269615,72519,18803,74769,18706,18707,103199,234515,30955,83493,18708,18718,320207,74055,18795,114875,18710,20975,219024,18711,104015	Pik3c3,Plcg2,Pten,Mtmr3,Plcb2,Pi4k2b,Plch2,Pip4p2,Plcg1,Pik3cb,Pik3ca,Pik3cd,Fig4,Inpp4b,Pik3cg,Sacm1l,Pik3r1,Pip4k2a,Pik3r5,Plce1,Plcb1,Plcz1,Pik3r3,Synj2,Pip4p1,Pikfyve,Synj1
MOUSE_PWY-5996	oleate biosynthesis II (animals)	0.0556471514722543	-2.88872438905306	6	5	0.0112107623318386	446	1039	60527,109672,20249,76267,20250	Fads3,Cyb5a,Scd1,Fads1,Scd2
MOUSE_PWY6666-2	dopamine degradation	0.0697103725387154	-2.66340615537653	8	6	0.0134529147982063	446	1039	20887,12846,69156,26358,11669,791260	Sult1a1,Comt,Comtd1,Aldh1a7,Aldh2,Tomt
MOUSE_PWY-6118	glycerol-3-phosphate shuttle	0.0787927362106596	-2.54093446643492	3	3	0.00672645739910314	446	1039	14571,333433,14555	Gpd2,Gpd1l,Gpd1
MOUSE_PWY-6566	chondroitin and dermatan biosynthesis	0.110907760762679	-2.19905640724851	5	4	0.00896860986547085	446	1039	269941,78752,234356,78923	Chsy1,Csgalnact2,Csgalnact1,Chsy3
MOUSE_PWY3DJ-11281	sphingomyelin metabolism	0.126581873563923	-2.0668659583231	7	5	0.0112107623318386	446	1039	208449,224794,20597,58994,74442	Sgms1,Enpp4,Smpd1,Smpd3,Sgms2
MOUSE_AERESPDON-PWY	aerobic respiration -- electron donors reaction list	0.126581873563923	-2.0668659583231	7	5	0.0112107623318386	446	1039	14555,67680,66052,14571,52815	Gpd1,Sdhb,Sdhc,Gpd2,Ldhd
