TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
216439	Agap2 (ArfGAP with GTPase domain, ankyrin repeat and PH domain 2)	7.03077657602209e-09	-18.7729686712188	194	127	0.0241261398176292	5264	11667	69601,26413,18040,26422,12325,14687,20742,244310,218194,21960,544963,13196,18951,13426,14682,50932,14816,14083,50720,11426,18223,234214,64009,18039,14688,15567,109711,26414,243621,116837,19055,269593,14799,207565,77531,104015,12323,18751,13822,18015,26557,14800,223435,320472,12322,217882,192167,244418,320706,227753,545156,109676,232227,11352,14683,14569,242667,19229,67824,11931,108069,259302,235072,66395,12290,20743,83679,23859,213109,243725,76089,18772,228836,327814,209456,54216,108071,18750,13383,14681,108058,11735,268980,17999,268566,12540,217124,13821,14812,20320,242274,56013,70661,18749,20411,60595,116838,19088,319504,56508,224997,76884,14693,17968,71770,29875,11764,140887,13000,70549,17760,18754,51791,19046,66797,13424,20850,19415,63958,102098,58234,14645,17918,13175,245666,26556,12934	Dab2ip,Mapk1,Nefm,Nbea,Camk2g,Gnaz,Sptbn1,Dlgap2,Phactr1,Tnr,Iqgap2,Asap1,Septin5,Dync1i1,Gnaq,Mink1,Grm1,Ptk2,Sacs,Macf1,Numbl,Sorbs2,Syne1,Nefl,Gnb1,Slc6a4,Actn1,Mapk10,Iqsec3,Rims1,Ppp3ca,Luzp1,Gria1,Camkk2,Anks1b,Synj1,Camk2b,Prkcb,Epb41l2,Nf1,Homer2,Gria2,Trio,Ppm1e,Camk2a,Cep170b,Nlgn1,Prag1,Mtcl2,Gsn,Kalrn,Ank2,Iqsec1,Abl2,Gnas,Gdi2,Dlgap3,Ptk2b,Nmral1,Atp1b1,Grm3,Srgap3,Septin7,Ahnak,Cacna1e,Sptbn2,Pde4dip,Dlg2,Phf3,Ppp1r9a,Rapgef2,Pkp1,Dlgap4,Ppfia2,Trp53bp2,Pcdh7,Grm5,Prkca,Dlg1,Gnao1,Camk2d,Ank3,Strn,Nedd4,Gphn,Cdc42,Ppp1r9b,Epb41l1,Grin2b,Nptn,Lrrc7,Srcin1,Sik3,Prkacb,Sorbs1,Actn4,Rims2,Prkar2b,Nrcam,Rapgef4,Dlgap1,Cyfip2,Gnb2,Ncam2,Ap2b1,Iqgap1,Ap1b1,Lnx2,Csnk2a2,Tln2,Map6,Prkce,Rgs14,Ppp1cb,Cntnap2,Dync1h1,Stat5a,Rasal1,Ube4b,Arhgef18,Shank3,Glul,Myo5a,Dclk1,Iqsec2,Homer1,Dpysl2
13385	Dlg4 (discs large MAGUK scaffold protein 4)	1.07765394150121e-08	-18.3458943420188	356	213	0.0404635258358663	5264	11667	242274,14020,16513,208869,64337,14405,19159,54712,72555,66871,54401,16432,21838,13383,20353,226251,217219,12805,11308,16494,319387,217692,140580,74012,23859,622434,238130,12934,245666,14394,14645,58234,17246,19415,11418,20352,93840,53332,19046,51791,22628,16568,16975,71770,56379,76884,224997,16517,108073,19088,14400,70530,14086,234023,23984,22627,244895,18749,13361,19878,18751,13869,71902,104015,234267,14799,76886,14805,19055,19325,16485,209743,15567,15558,18039,234214,108100,11426,13489,69035,77097,19053,241568,14803,14396,244310,99470,74513,243548,214230,26413,71069,13508,54357,21366,58807,20979,14401,83814,19229,14569,14802,23964,319565,16561,54403,11487,109934,432763,11496,107831,228071,54377,14800,225791,237353,246317,26557,59026,215748,380785,65111,14812,56839,16522,217124,216011,56505,17974,18125,11735,108058,16554,14681,19309,228836,26556,70729,16490,69597,170707,54376,56298,14395,20511,18195,18754,75409,330914,16492,319504,14806,11928,12300,20411,12631,27801,14661,12323,70350,77531,13806,72828,106042,67916,11845,333605,11941,14688,16508,239667,64009,52389,14083,230775,13176,50932,19259,18951,15194,544963,74256,20742,228136,26422,69601,68585,100039795,20720,108069,19353,14544,242667,214459,12343,81905,232227,18451,69908,109676,545156,66589,22631,72416,207728,12322,13860,14406,237979,74007,207393,70620,18189	Lrrc7,Evi5,Kcnj10,Dock3,Gng13,Gabrg1,Cyth3,Plxnc1,Shisa9,Cpne8,Ywhab,Itm2b,Thy1,Dlg1,Sema4c,Ablim1,Fam171a2,Cntn1,Abi1,Kcna6,Adgrl3,Sipa1l1,Elmo1,Rap2b,Dlg2,Arhgef26,Dock4,Dpysl2,Iqsec2,Gabra1,Glul,Shank3,Mdm2,Rasal1,Asic2,Sema4b,Vangl2,Mtmr1,Ppp1cb,Rgs14,Ywhag,Kif3a,Lrp8,Ap2b1,Kcnj1,Cyfip2,Dlgap1,Kcnj16,Grm7,Prkar2b,Gabrb1,Lrfn2,Fscn1,Arglu1,Pde10a,Ywhae,Peak1,Prkacb,Dhfr,Rock2,Prkcb,Erbb4,Cand1,Synj1,Gpm6a,Gria1,Fam81a,Grik1,Ppp3ca,Rab10,Kcna1,Minar1,Slc6a4,Htr2a,Nefl,Sorbs2,Baiap2,Macf1,Drd2,Zdhhc3,Tanc2,Ppp2cb,Lrrc4c,Grid1,Gabra3,Dlgap2,Magi3,Neto2,Prickle2,Pak6,Mapk1,Stox2,Dscam,Epb41l4b,Slc6a6,Slco1c1,Syt1,Gabrb2,Nedd4l,Ptk2b,Gdi2,Gria4,Tenm2,Syne2,Kif1b,Slc4a4,Adam10,Abr,Prr7,Adam22,Adgrb1,Sestd1,Cacng4,Gria2,Ptgr3,Sh3rf3,Neto1,Homer2,Huwe1,Cnksr3,Begain,Dap3,Grin2b,Lgi1,Kcnj6,Ppp1r9b,Lrrc20,Ruvbl1,Nck2,Nos1,Ank3,Camk2d,Kif13b,Gnao1,Pygm,Dlgap4,Homer1,Nos1ap,Kcna2,Afg3l2,Usp48,Cacng3,Atl2,Gabra2,Slc1a2,Nsf,Prkce,Slitrk5,Arhgap32,Kcna4,Nrcam,Grik2,Atp1a1,Cacng2,Sorbs1,Cfl1,Zdhhc8,Glud1,Camk2b,Basp1,Anks1b,Eno1,Ubash3b,Prickle1,Plpp3,Arf6,Frmpd4,Atp2b2,Gnb1,Kcnd2,Dip2b,Syne1,Adgra1,Ptk2,Adgrb2,Dcc,Mink1,Ptpn5,Septin5,Htt,Iqgap2,Cyld,Sptbn1,Zdhhc5,Nbea,Dab2ip,Rtn4,Ildr2,Serpine2,Grm3,Rac1,Gda,Dlgap3,Fnbp1l,Capza2,Cacng8,Iqsec1,P4ha1,Rab3b,Ank2,Kalrn,Ube2v1,Ywhaz,Lrpprc,Pde2a,Camk2a,Eps8,Gabrg2,Sdk2,Abtb3,Elfn2,Ube2v2,Nrxn1
240057	Syngap1 (synaptic Ras GTPase activating protein 1 homolog (rat))	4.3949721166999e-07	-14.6376344641644	264	159	0.0302051671732523	5264	11667	232227,20512,59021,319565,14683,18587,242667,14544,19229,14569,30957,68585,20743,244668,74901,242939,17756,59026,380785,14800,12322,75547,11496,320292,19058,18213,19290,22631,11487,109676,545156,347722,234214,108100,14688,19299,218038,56376,19325,211914,76886,14799,224671,11363,106042,19324,104015,227120,77531,70350,12323,66870,71902,11502,14026,13822,14661,69601,16709,26422,26413,26554,14687,20742,243548,244310,544963,243362,12812,77097,241134,50932,230775,230904,380686,214579,22628,72567,18754,17760,12211,51791,13424,320129,19415,19933,69597,58234,69993,14645,17918,12296,71544,70729,117600,26556,29819,245666,104082,12934,70790,244895,107321,22627,67680,12300,20411,22365,17762,16492,76117,330914,224997,14693,76884,224014,29875,71302,17758,18221,83997,50708,268980,17755,330662,230861,74776,218629,17974,56505,217124,208869,108686,16513,13821,14812,23980,242274,227634,19765,98741,23859,217692,319387,224020,76089,22629,17955,228836,15511,16800,108071,269774,226251,14681,13383,71435,677884,11767	Iqsec1,Slc1a3,Rab2a,Syne2,Gnas,Pde6b,Dlgap3,Gda,Ptk2b,Gdi2,Mapk8ip3,Rtn4,Sptbn2,Sipa1l2,Kbtbd11,Cpz,Map2,Huwe1,Begain,Gria2,Camk2a,Akap13,Adam22,Rasgef1b,Ppp3r1,Ntrk3,Pura,Ywhaz,Adam10,Ank2,Kalrn,Agap1,Sorbs2,Baiap2,Gnb1,Abcd3,Amph,Pdlim5,Rab10,Asap2,Fam81a,Gria1,Btbd9,Acadl,Prickle1,Rab1a,Synj1,Plcl1,Anks1b,Basp1,Camk2b,Serbp1,Cand1,Adam9,Evl,Epb41l2,Glud1,Dab2ip,Ktn1,Nbea,Mapk1,Cul3,Gnaz,Sptbn1,Prickle2,Dlgap2,Iqgap2,Stard13,Coil,Tanc2,Nyap2,Mink1,Adgrb2,Fbxo2,Cnrip1,Aldh5a1,Ywhag,Bclaf1,Prkce,Map6,Birc6,Rgs14,Dync1h1,Grk3,Rasal1,Rpl21,Afg3l2,Shank3,Chn2,Glul,Myo5a,Cacnb2,Arhgap42,Nos1ap,Srgap1,Homer1,Stau2,Iqsec2,Wdr7,Dpysl2,Ubr5,Peak1,Lpxn,Ywhae,Sdhb,Cacng2,Sorbs1,Vps45,Mapt,Kcna4,Arhgap15,Arhgap32,Dlgap1,Gnb2,Cyfip2,Fgd4,Iqgap1,Arhgap26,Map4,Nudc,Slmap,H1f2,Strn,Map1b,Dock1,Eif4g3,Ppa2,Dhx29,Nck2,Ruvbl1,Ppp1r9b,Dock3,Ccdc88a,Kcnj10,Epb41l1,Grin2b,Pebp1,Lrrc7,Camsap1,Ralbp1,Kcnb2,Dlg2,Sipa1l1,Adgrl3,Pi4ka,Rapgef2,Ywhah,Nap1l4,Dlgap4,Hspa1b,Arhgef2,Grm5,Aak1,Ablim1,Gnao1,Dlg1,Arhgap21,Pakap,Ap1m1
801	CALM1 (calmodulin 1)	4.20499965608157e-06	-12.3792363463273	172	107	0.0203267477203647	5264	11667	224020,110078,73442,108645,51886,18574,234663,108058,18750,268980,20980,77579,67427,16438,18125,72148,11519,18573,67972,319934,14269,16564,74325,235442,239510,20324,20823,68203,20404,20405,19088,109042,21985,18221,50875,11764,73748,71770,286940,56421,53332,12211,19046,22628,17760,102093,227446,67145,11651,13424,94186,13175,12934,14467,72097,20742,56356,71702,13426,18951,67040,17184,19340,17886,23790,20479,70405,110351,65970,218038,19325,19055,75465,238880,227541,207615,18711,13822,12323,70350,18015,26949,19359,53972,67054,17756,70620,12322,107831,12345,19894,66589,270192,69908,66314,22631,24050,17196,20965,20979,270685,12343,80297,19070,52163,19267,68585	Pi4ka,Pygb,Hspa12a,Mat2b,Fubp1,Pde1b,Dync1li2,Camk2d,Prkca,Strn,Syt2,Myh10,Rps20,Itpr1,Nos1,Tdrp,Add2,Pde1a,Atp2b1,Sbf2,Fnbp1,Kif21a,Cltb,Rab8b,Phf20l1,Cavin2,Ssb,Diras2,Sh3gl2,Sh3gl1,Prkar2b,Cavin3,Tpd52,Nudc,Tmod3,Ap1b1,Gadl1,Ap2b1,Flnb,Pfkp,Mtmr1,Birc6,Ppp1cb,Ywhag,Map6,Phkb,Relch,Tomm34,Akt1,Dync1h1,Strn3,Dclk1,Dpysl2,Nipsnap2,Cracdl,Sptbn1,Gltp,Cdc5l,Dync1i1,Septin5,Ddx17,Matr3,Rab3d,Myh9,Coro1c,Vps4b,Calml3,Rap1gap,Lima1,Amph,Rab10,Ppp3ca,Dynlrb2,Actbl2,Camk1d,Wdr37,Pikfyve,Epb41l2,Camk2b,Basp1,Nf1,Vat1,Rad23b,Ngef,Paics,Map2,Ube2v2,Camk2a,Adgrb1,Capzb,Rph3a,Ube2v1,Rab6b,Rab3b,Tpd52l2,Ywhaz,Septin3,Mbp,Syn2,Syt1,Mthfd1l,Capza2,Sptbn4,Mob4,Camk1,Ptpre,Rtn4
56376	Pdlim5 (PDZ and LIM domain 5)	1.17386550161269e-05	-11.3526233143414	83	57	0.0108282674772036	5264	11667	27357,216810,117198,330662,109711,234214,16399,19765,14680,70231,71085,214895,106042,18575,76089,14784,243548,69601,14633,71435,231148,226251,16800,243362,18574,18587,319565,14683,117600,277360,22003,71544,14679,18810,69993,56373,74486,75547,28185,20662,225888,20411,53972,208890,107321,83997,224014,71972,72512,71302,20405,76884,56508,320292,13405,54126,76117	Gyg1,Tom1l2,Ivns1abp,Dock1,Actn1,Sorbs2,Itga2b,Ralbp1,Gnal,Gorasp2,Arhgap19,Lman2l,Prickle1,Pde1c,Rapgef2,Grb2,Prickle2,Dab2ip,Gli2,Arhgap21,Ablim2,Ablim1,Arhgef2,Stard13,Pde1b,Pde6b,Syne2,Gnas,Srgap1,Prex1,Tpm1,Arhgap42,Gnai3,Plec,Chn2,Cpb2,Osbpl10,Akap13,Tomm70a,Sos1,Kmt5b,Sorbs1,Ngef,Slc26a7,Lpxn,Slmap,Fgd4,Dnmbp,Sting1,Arhgap26,Sh3gl1,Cyfip2,Rapgef4,Rasgef1b,Dmd,Arhgef7,Arhgap15
14270	Srgap2 (SLIT-ROBO Rho GTPase activating protein 2)	1.36117086647506e-05	-11.2045802043793	44	34	0.00645896656534954	5264	11667	14680,117600,19765,71544,69993,14679,106042,71085,56376,117198,14683,319565,330662,140887,234214,83997,14633,71435,71302,71972,224014,76117,56508,320292,243362,28185,15204,243548,16924,20411,22627,208890,107321,51789	Gnal,Srgap1,Ralbp1,Arhgap42,Chn2,Gnai3,Prickle1,Arhgap19,Pdlim5,Ivns1abp,Gnas,Syne2,Dock1,Lnx2,Sorbs2,Slmap,Gli2,Arhgap21,Arhgap26,Dnmbp,Fgd4,Arhgap15,Rapgef4,Rasgef1b,Stard13,Tomm70a,Herc2,Prickle2,Lnx1,Sorbs1,Ywhae,Slc26a7,Lpxn,Tnk2
20411	Sorbs1 (sorbin and SH3 domain containing 1)	1.70240814472699e-05	-10.9808816605549	41	32	0.0060790273556231	5264	11667	71435,545156,14083,72512,224014,71302,20358,224997,16800,76884,76117,54126,15204,243548,13860,12402,51789,107321,208890,117600,109294,71544,69993,208650,106042,12488,17974,56376,15567,16337,234214,23921	Arhgap21,Kalrn,Ptk2,Sting1,Fgd4,Arhgap26,Sema6a,Dlgap1,Arhgef2,Cyfip2,Arhgap15,Arhgef7,Herc2,Prickle2,Eps8,Cbl,Tnk2,Lpxn,Slc26a7,Srgap1,Prex2,Arhgap42,Chn2,Cblb,Prickle1,Cd2ap,Nck2,Pdlim5,Slc6a4,Insr,Sorbs2,Sh2b2
16451	Jak1 (Janus kinase 1)	1.83211617515641e-05	-10.9074537863422	21	19	0.00360942249240122	5264	11667	19156,18762,211651,12703,20848,16367,16392,320696,16188,71132,20846,19255,12702,56468,14158,16911,16451,22724,20850	Psap,Prkcz,Fancd2,Socs1,Stat3,Irs1,Isl1,Ccdc158,Il3ra,Cabyr,Stat1,Ptpn2,Socs3,Socs5,Fer,Lmo4,Jak1,Zbtb7b,Stat5a
69993	Chn2 (chimerin 2)	2.14456559315422e-05	-10.7499884537744	70	49	0.00930851063829787	5264	11667	71544,117600,74486,56373,259302,14679,18587,319565,14683,224014,71972,71302,83997,76117,320292,54126,56508,13405,13860,75547,208715,225888,107321,208890,20411,19765,16564,71085,214895,50926,106042,227120,117198,56376,15572,234214,330662,21838,52502,71207,14633,71435,243362,16800,76089,243548,69601,30785,77116	Arhgap42,Srgap1,Osbpl10,Cpb2,Srgap3,Gnai3,Pde6b,Syne2,Gnas,Fgd4,Dnmbp,Arhgap26,Slmap,Arhgap15,Rasgef1b,Arhgef7,Rapgef4,Dmd,Eps8,Akap13,Hmgcs1,Kmt5b,Lpxn,Slc26a7,Sorbs1,Ralbp1,Kif21a,Arhgap19,Lman2l,Hnrnpdl,Prickle1,Plcl1,Ivns1abp,Pdlim5,Elavl4,Sorbs2,Dock1,Thy1,Carhsp1,Nudt4,Gli2,Arhgap21,Stard13,Arhgef2,Rapgef2,Prickle2,Dab2ip,Cttnbp2,Mtmr2
545156	Kalrn (kalirin, RhoGEF kinase)	5.21832251928442e-05	-9.86074947118066	61	43	0.00816869300911854	5264	11667	228071,18163,12322,223435,238871,14800,243725,20742,20411,18040,12325,208727,217692,23859,74392,69601,227937,12386,109676,11426,108058,269941,224997,16867,56508,11496,14805,320873,18039,219181,232227,66098,109294,83679,245666,26556,20743,67847,104027,17918,12323,14812,58234	Sestd1,Ctnnd2,Camk2a,Trio,Pde4d,Gria2,Ppp1r9a,Sptbn1,Sorbs1,Nefm,Camk2g,Hdac4,Sipa1l1,Dlg2,Specc1l,Dab2ip,Pkp4,Ctnna2,Ank2,Macf1,Camk2d,Chsy1,Dlgap1,Lhcgr,Rapgef4,Adam22,Grik1,Cdh10,Nefl,Akap11,Iqsec1,Chchd6,Prex2,Pde4dip,Iqsec2,Homer1,Sptbn2,Sncaip,Synpo,Myo5a,Camk2b,Grin2b,Shank3
