TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu05200	Pathways in cancer	1.91817570401949e-14	-31.5848167217161	393	231	0.0714727722772277	3232	8044	21414,17127,69635,12540,11848,20890,12575,12986,12043,14693,17342,110157,12447,12982,14174,240168,11607,12386,18126,21812,18710,235320,12402,22413,14180,22029,20181,20375,19016,319757,14184,16000,14745,13819,22417,18035,12978,13017,210044,19697,80857,14369,12006,16400,12827,14065,12767,20315,22411,16451,20183,26419,21415,20423,64337,14784,16777,242705,12443,11864,22059,19645,20848,15182,16590,27401,21802,22418,22030,13557,18798,12579,12828,26414,17311,14679,17126,19219,16398,22420,17685,26396,24069,18751,21787,22341,12394,14083,16772,12675,14365,14013,17128,11512,14633,218772,16776,14167,20850,11608,15234,14696,12395,16782,23797,208650,328572,18796,17390,18749,20846,64143,16842,83996,12122,12826,16410,21813,18590,19730,67653,19218,16399,224129,18707,22421,433759,58231,93735,17187,14701,14182,14103,110279,12370,112407,18750,17869,14165,14688,13063,14634,14176,22419,17344,59069,12829,21416,381810,76551,18803,11652,14367,74769,69632,14178,22423,56458,12385,18854,56438,21809,19353,14682,19765,20663,54354,27057,19878,19015,11836,22033,26413,12606,20851,100043507,15251,13617,14683,20662,22409,14702,14362,11515,16476,19419,17688,22422,16001,15519,14673,83995,11789,11651,19877,18706,14281,13618,15245,18795,432530,14169,16403,18708,66066,14183,216033,19206,14102,13176,17246,16412,16780,22414,12571,216795,18033,16774,94216,26420,16193,12062,14370,19211,11514,226519,14368,234779,14708,11796,17686	Tcf7,Smad3,Dapk1,Cdc42,Rhoa,Wnt8a,Cdkn1a,Csf3r,Bcl2,Gnb2,Mitf,Raf1,Ccne1,Csf2ra,Fgf3,Rasgrp3,Agtr1a,Ctnna2,Nos2,Tgfbr1,Pik3r3,Zbtb16,Cbl,Wnt2,Fgf9,Traf1,Rxra,Spi1,Pparg,Smo,Fgfr3,Igf1,Lpar1,Epas1,Wnt4,Nfkbia,Csf1r,Ctbp2,Adcy2,Rela,Fgf20,Fzd7,Axin2,Itga3,Col4a2,F2rl3,Cxcr4,Cxcl12,Wnt11,Jak1,Rxrg,Mapk8,Tcf7l1,Shh,Gng13,Grb2,Lamb1,E2f2,Ccnd1,Arnt2,Trp53,Rb1,Stat3,Hdac2,Kit,Skp2,Tgfa,Wnt5a,Traf2,E2f3,Plcb4,Cdkn2b,Col4a3,Mapk10,Kitl,Gnai3,Smad2,Ptger4,Itga2,Wnt6,Msh2,Map2k2,Sufu,Prkcb,Tfg,Vegfc,Runx1,Ptk2,Lama1,Chuk,Fzd3,Mecom,Smad4,Adcy6,Gli2,Rarb,Lama5,Fgf12,Stat5a,Agtr1b,Hgf,Gnb4,Runx1t1,Lamc2,Akt3,Cblb,Ep300,Plcb2,Mmp2,Prkacb,Stat1,Ralb,Lef1,Mmp1b,Bid,Col4a1,Itgav,Tgfbr2,Pdgfa,Ralgds,4930544G11Rik,Ptger3,Itga2b,Adcy5,Pik3cd,Wnt7a,Hdac1,Stk4,Wnt16,Max,Gng12,Fgfr1,Fasl,Bcr,Casp8,Egln3,Prkca,Myc,Fgf10,Gnb1,Cycs,Gli3,Fgf5,Wnt5b,Pias2,Tpm3,Col4a4,Tcf7l2,Lpar5,Ccdc6,Plcg1,Akt2,Fzd5,Pik3cb,Arhgef12,Fgf7,Wnt8b,Foxo1,Ctnna1,Pml,Rbx1,Tgfb3,Rac1,Gnaq,Ralbp1,Sos2,Rassf5,Ncoa4,Rock2,Ppard,Araf,Traf5,Mapk1,Cebpa,Stat5b,Gng5-ps,Hif1a,Ednra,Gnas,Sos1,Wnt10a,Gng2,Fzd1,Adcy9,Jun,Rasgrp1,Msh6,Wnt7b,Igf1r,Hsp90aa1,Gna12,Mmp1a,Apc,Akt1,Rock1,Pik3ca,Fos,Ednrb,Hhip,Plcb1,Adcy1,Fgf14,Itga6,Pik3r1,Gng11,Fgfr2,Ctnna3,Ptch1,Fas,Dcc,Mdm2,Itgb1,Lamb3,Wnt2b,Cdk6,Wnt9a,Nfkb1,Lama3,Col4a6,Mapk9,Il6,Bdkrb2,Fzd8,Pten,Adcy8,Lamc1,Fzd6,Plcg2,Gng7,Birc3,Msh3
mmu05205	Proteoglycans in cancer	5.6308145062236e-12	-25.9027670117324	206	131	0.0405321782178218	3232	8044	545291,12325,14369,19353,20663,22417,69632,22423,13869,14784,17532,16542,329251,15251,12843,12443,71950,22059,22411,19878,16402,11836,26413,11735,20423,24088,16419,12322,327826,19046,110157,93735,14182,14103,105244208,18750,17869,13345,22350,72508,17698,18607,18569,67653,13982,12540,11848,18707,22421,20890,12575,21825,66922,16439,18803,11652,319757,14367,16000,74769,22325,21844,18710,15163,12402,29875,22413,108058,22419,12389,15234,22414,22160,286940,216795,723893,16416,18708,19303,19206,21859,14102,14365,66911,12323,17246,15529,16412,11461,14368,11733,232807,18792,234779,12505,26415,16410,208650,23797,16160,17390,14370,18749,15170,17931,16438,16001,22422,20848,20662,22409,14000,22418,14362,13207,26396,83383,387140,18751,109676,21898,14083,17126,74055,12390,16398,11651,19877,18706,22420,26416	Hpse2,Camk2g,Fzd7,Rac1,Sos2,Wnt4,Arhgef12,Wnt8b,Erbb4,Grb2,Mras,Kdr,Ppp1r12b,Hif1a,Col1a2,Ccnd1,Nanog,Trp53,Wnt11,Rock2,Itga5,Araf,Mapk1,Ank3,Shh,Tlr2,Itgb5,Camk2a,Frs2,Ppp1cb,Raf1,Wnt16,Fgfr1,Fasl,Rps6-ps4,Prkca,Myc,Twist2,Ezr,Rps6kb1,Msn,Pdpk1,Pdcd4,4930544G11Rik,Esr1,Cdc42,Rhoa,Pik3cd,Wnt7a,Wnt8a,Cdkn1a,Thbs1,Rras2,Itpr2,Plcg1,Akt2,Smo,Fzd5,Igf1,Pik3cb,Vav2,Tiam1,Pik3r3,Hcls1,Cbl,Iqgap1,Wnt2,Camk2d,Wnt5b,Cav1,Hgf,Wnt2b,Twist1,Flnb,Wnt9a,Mir10a,Itgb3,Pik3r1,Pxn,Ptch1,Timp3,Fas,Fzd3,Nudt16l1,Camk2b,Mdm2,Sdc2,Itgb1,Actb,Fzd6,Ank1,Ppp1r12c,Plau,Plcg2,Cd44,Mapk13,Itgav,Cblb,Akt3,Il12b,Mmp2,Fzd8,Prkacb,Ptpn6,Ppp1r12a,Itpr1,Igf1r,Wnt7b,Stat3,Sos1,Wnt10a,Drosha,Wnt5a,Fzd1,Ddx5,Map2k2,Tfap4,Mir21a,Prkcb,Ank2,Tlr4,Ptk2,Smad2,Plce1,Cav2,Itga2,Akt1,Rock1,Pik3ca,Wnt6,Mapk14
ko05205	Proteoglycans in cancer	5.6308145062236e-12	-25.9027670117324	206	131	0.0405321782178218	3232	8044	16001,22422,15170,17931,16438,14000,22418,14362,20848,20662,22409,387140,83383,18751,109676,21898,14083,13207,26396,12390,11651,16398,19877,18706,22420,26416,17126,74055,22160,286940,216795,723893,16416,12389,15234,22414,14365,12323,66911,17246,15529,16412,11461,19303,18708,19206,14102,21859,16410,26415,14368,232807,11733,18792,234779,12505,18749,23797,208650,16160,14370,17390,93735,14182,14103,105244208,18750,17869,12322,327826,16419,110157,19046,12540,11848,22421,18707,20890,12575,21825,13345,22350,72508,17698,18607,18569,13982,67653,18803,11652,319757,74769,16000,14367,66922,16439,12402,29875,108058,22413,22419,22325,21844,18710,15163,20663,12325,545291,14369,19353,13869,22417,69632,22423,15251,329251,12843,12443,71950,22059,14784,17532,16542,11735,20423,24088,22411,19878,16402,11836,26413	Igf1r,Wnt7b,Ptpn6,Ppp1r12a,Itpr1,Drosha,Wnt5a,Fzd1,Stat3,Sos1,Wnt10a,Mir21a,Tfap4,Prkcb,Ank2,Tlr4,Ptk2,Ddx5,Map2k2,Cav2,Akt1,Itga2,Rock1,Pik3ca,Wnt6,Mapk14,Smad2,Plce1,Twist1,Flnb,Wnt9a,Mir10a,Itgb3,Cav1,Hgf,Wnt2b,Fzd3,Camk2b,Nudt16l1,Mdm2,Sdc2,Itgb1,Actb,Pxn,Pik3r1,Ptch1,Fas,Timp3,Itgav,Mapk13,Fzd6,Ppp1r12c,Ank1,Plau,Plcg2,Cd44,Prkacb,Akt3,Cblb,Il12b,Fzd8,Mmp2,Wnt16,Fgfr1,Fasl,Rps6-ps4,Prkca,Myc,Camk2a,Frs2,Itgb5,Raf1,Ppp1cb,Cdc42,Rhoa,Wnt7a,Pik3cd,Wnt8a,Cdkn1a,Thbs1,Twist2,Ezr,Rps6kb1,Msn,Pdpk1,Pdcd4,Esr1,4930544G11Rik,Plcg1,Akt2,Smo,Pik3cb,Igf1,Fzd5,Rras2,Itpr2,Cbl,Iqgap1,Camk2d,Wnt2,Wnt5b,Vav2,Tiam1,Pik3r3,Hcls1,Sos2,Camk2g,Hpse2,Fzd7,Rac1,Erbb4,Wnt4,Arhgef12,Wnt8b,Hif1a,Ppp1r12b,Col1a2,Ccnd1,Nanog,Trp53,Grb2,Mras,Kdr,Ank3,Shh,Tlr2,Wnt11,Rock2,Itga5,Araf,Mapk1
ko04360	Axon guidance	1.42268418501002e-11	-24.9758906645018	175	114	0.0352722772277228	3232	8044	20563,12162,13844,22066,13840,20351,22418,218397,65254,231148,214968,14083,20361,14360,237860,14679,17973,19877,18208,20357,18706,171171,22065,18021,20349,13640,19206,18708,20353,223881,13838,20359,192198,210801,16412,13176,12323,14365,234779,12632,13636,18019,13835,19649,214230,54712,53972,58220,224105,12168,93737,22068,13642,110157,241656,12322,20346,20360,18750,18762,20352,228026,67653,13837,107449,11848,18707,19876,20356,12540,74769,319757,18803,20354,18710,22253,22419,12167,108058,108151,20350,13841,19353,17974,12325,241568,93742,19055,243743,117600,22417,69632,20562,22063,226251,117606,50780,259302,57764,268902,20348,270190,26413,20358,19878,13839,12767,20315,12631,19058,20423,12934,20564,238057	Slit2,Bmp7,Ephb2,Trpc4,Epha6,Sema4a,Wnt5a,Rasa1,Dpysl5,Ablim2,Sema6d,Ptk2,Sema7a,Fyn,Ssh2,Gnai3,Nck1,Rock1,Ntn1,Sema5b,Pik3ca,Ntng2,Trpc3,Nfatc3,Sema3e,Efna5,Ptch1,Pik3r1,Sema4c,Rnd1,Epha4,Sema6b,Lrrc4,Unc5d,Itgb1,Dcc,Camk2b,Fzd3,Plcg2,Cfl2,Efna1,Nfatc2,Epha1,Robo3,Pak6,Plxnc1,Ngef,Pard6b,Pak2,Bmpr2,Pard6g,Trpc6,Efnb2,Raf1,Pak5,Camk2a,Sema3a,Sema6c,Prkca,Prkcz,Sema4b,Pdk1,4930544G11Rik,Epha3,Unc5b,Rhoa,Pik3cd,Robo1,Sema5a,Cdc42,Pik3cb,Smo,Plcg1,Sema4d,Pik3r3,Unc5c,Wnt5b,Bmpr1b,Camk2d,Sema3d,Sema3f,Epha7,Rac1,Nck2,Camk2g,Lrrc4c,Pard3,Ppp3ca,Plxna4,Srgap1,Wnt4,Arhgef12,Slit1,Trpc1,Ablim1,Boc,Rgs3,Srgap3,Ntn4,Robo2,Sema3c,Ephb1,Mapk1,Sema6a,Rock2,Epha5,Cxcr4,Cxcl12,Cfl1,Ppp3r1,Shh,Dpysl2,Slit3,Gdf7
mmu04360	Axon guidance	1.42268418501002e-11	-24.9758906645018	175	114	0.0352722772277228	3232	8044	13640,20349,18021,22065,13176,14365,12323,16412,210801,192198,223881,13838,20359,20353,18708,19206,13835,18019,13636,12632,234779,13642,22068,93737,224105,12168,58220,54712,53972,214230,19649,13844,12162,20563,22418,13840,20351,22066,14360,20361,214968,14083,231148,65254,218397,171171,19877,18208,17973,20357,18706,14679,237860,19055,241568,93742,12325,19353,17974,226251,22063,20562,69632,22417,243743,117600,270190,20348,268902,57764,259302,50780,117606,12934,20564,238057,20423,20315,12767,12631,19058,20358,19878,13839,26413,228026,20360,18750,20352,18762,12322,20346,110157,241656,12540,11848,18707,20356,19876,107449,13837,67653,18803,20354,319757,74769,108151,13841,20350,108058,12167,22419,22253,18710	Efna5,Sema3e,Nfatc3,Trpc3,Dcc,Fzd3,Camk2b,Itgb1,Unc5d,Lrrc4,Rnd1,Epha4,Sema6b,Sema4c,Pik3r1,Ptch1,Epha1,Nfatc2,Efna1,Cfl2,Plcg2,Efnb2,Trpc6,Pard6g,Pak2,Bmpr2,Pard6b,Plxnc1,Ngef,Pak6,Robo3,Ephb2,Bmp7,Slit2,Wnt5a,Epha6,Sema4a,Trpc4,Fyn,Sema7a,Sema6d,Ptk2,Ablim2,Dpysl5,Rasa1,Ntng2,Rock1,Ntn1,Nck1,Sema5b,Pik3ca,Gnai3,Ssh2,Ppp3ca,Lrrc4c,Pard3,Camk2g,Rac1,Nck2,Ablim1,Trpc1,Slit1,Arhgef12,Wnt4,Plxna4,Srgap1,Ephb1,Sema3c,Robo2,Ntn4,Srgap3,Rgs3,Boc,Dpysl2,Slit3,Gdf7,Shh,Cxcl12,Cxcr4,Cfl1,Ppp3r1,Sema6a,Rock2,Epha5,Mapk1,Pdk1,Sema6c,Prkca,Sema4b,Prkcz,Camk2a,Sema3a,Raf1,Pak5,Cdc42,Rhoa,Pik3cd,Sema5a,Robo1,Unc5b,Epha3,4930544G11Rik,Plcg1,Sema4d,Smo,Pik3cb,Sema3d,Epha7,Sema3f,Camk2d,Bmpr1b,Wnt5b,Unc5c,Pik3r3
mmu04660	T cell receptor signaling pathway	7.96314014423526e-10	-20.9510275173933	103	72	0.0222772277227723	3232	8044	18566,17444,12042,26409,19697,13383,12675,12487,18708,18035,18021,20663,18033,19055,18018,17974,19264,12503,26413,214230,26420,23797,208650,12477,224105,19058,26415,18019,16189,14784,26410,18761,16476,18707,11848,12540,67653,20662,21682,18607,12500,240354,110157,241656,54167,18036,19419,15170,26416,14281,17973,18706,16191,11651,12402,26400,15978,18710,16822,22325,74769,53859,16153,11652,14360,108723,18803,57257,18037,22637,26396,12502	Pdcd1,Grap2,Bcl10,Map3k7,Rela,Dlg1,Chuk,Cd28,Pik3r1,Nfkbia,Nfatc3,Sos2,Nfkb1,Ppp3ca,Nfatc1,Nck2,Ptprc,Cd247,Mapk1,Pak6,Mapk9,Akt3,Cblb,Ctla4,Pak2,Ppp3r1,Mapk13,Nfatc2,Il4,Grb2,Map3k8,Prkcq,Jun,Pik3cd,Rhoa,Cdc42,4930544G11Rik,Sos1,Tec,Pdpk1,Cd3d,Malt1,Raf1,Pak5,Icos,Nfkbib,Rasgrp1,Ptpn6,Mapk14,Fos,Nck1,Pik3ca,Il5,Akt1,Cbl,Map2k7,Ifng,Pik3r3,Lcp2,Vav2,Pik3cb,Map3k14,Il10,Akt2,Fyn,Card11,Plcg1,Vav3,Nfkbie,Zap70,Map2k2,Cd3g
ko04660	T cell receptor signaling pathway	7.96314014423526e-10	-20.9510275173933	103	72	0.0222772277227723	3232	8044	19058,224105,12477,208650,23797,26420,26413,214230,12503,16189,14784,18019,26415,18035,18708,12487,12675,13383,12042,19697,26409,17444,18566,19264,17974,18018,19055,18033,20663,18021,22325,16822,18710,15978,26400,12402,11651,16191,18706,17973,14281,26416,12502,26396,22637,18037,57257,14360,108723,18803,11652,16153,53859,74769,240354,12500,18607,21682,67653,20662,12540,18707,11848,18761,16476,26410,15170,19419,18036,54167,110157,241656	Ppp3r1,Pak2,Ctla4,Cblb,Akt3,Mapk9,Mapk1,Pak6,Cd247,Il4,Grb2,Nfatc2,Mapk13,Nfkbia,Pik3r1,Cd28,Chuk,Dlg1,Bcl10,Rela,Map3k7,Grap2,Pdcd1,Ptprc,Nck2,Nfatc1,Ppp3ca,Nfkb1,Sos2,Nfatc3,Vav2,Lcp2,Pik3r3,Ifng,Map2k7,Cbl,Akt1,Il5,Pik3ca,Nck1,Fos,Mapk14,Cd3g,Map2k2,Zap70,Nfkbie,Vav3,Fyn,Card11,Plcg1,Akt2,Il10,Map3k14,Pik3cb,Malt1,Cd3d,Pdpk1,Tec,4930544G11Rik,Sos1,Cdc42,Pik3cd,Rhoa,Prkcq,Jun,Map3k8,Ptpn6,Rasgrp1,Nfkbib,Icos,Raf1,Pak5
ko04310	Wnt signaling pathway	6.1440108564461e-09	-18.9077880741029	146	93	0.0287747524752475	3232	8044	93735,17869,26965,18750,67087,12322,11848,22421,20890,67653,21414,17127,14367,93840,408191,21416,114671,22419,22413,108058,18018,19055,14369,16974,12325,56438,19353,12006,20671,22417,234130,22423,12301,13017,56505,12443,22059,13000,19015,19878,19058,22411,21415,106042,26419,22422,56811,26414,21402,16476,18798,74499,14362,22418,212398,22409,243548,18751,12622,27412,67772,12234,18795,93687,20379,16973,22420,24117,11789,216795,18021,103583,22414,17128,208846,12995,12323,14365,26409,81004,20377,18019,20319,14368,93960,18749,54612,16842,12445,14370,18796,26420,328572	Wnt16,Myc,Cul1,Prkca,Ctnnbip1,Camk2a,Rhoa,Wnt7a,Wnt8a,4930544G11Rik,Tcf7,Smad3,Fzd5,Vangl2,Semp2l1,Tcf7l2,Semp2l2b,Wnt5b,Wnt2,Camk2d,Nfatc1,Ppp3ca,Fzd7,Lrp6,Camk2g,Rbx1,Rac1,Axin2,Sox17,Wnt4,Dkk4,Wnt8b,Cacybp,Ctbp2,Ruvbl1,Ccnd1,Trp53,Csnk2a2,Ppard,Rock2,Ppp3r1,Wnt11,Tcf7l1,Prickle1,Mapk8,Wnt7b,Dkk2,Mapk10,Skp1,Jun,Plcb4,Sost,Fzd1,Wnt5a,Frat2,Wnt10a,Prickle2,Prkcb,Cer1,Peg12,Chd8,Btrc,Plcb1,Csnk1a1,Sfrp4,Lrp5,Wnt6,Wif1,Apc,Wnt9a,Nfatc3,Fbxw11,Wnt2b,Smad4,Daam1,Csnk2a1,Camk2b,Fzd3,Map3k7,Tbl1xr1,Sfrp1,Nfatc2,Sfrp2,Fzd6,Nkd1,Prkacb,Sfrp5,Lef1,Ccnd3,Fzd8,Plcb2,Mapk9,Ep300
mmu04310	Wnt signaling pathway	6.1440108564461e-09	-18.9077880741029	146	93	0.0287747524752475	3232	8044	26409,17128,208846,12995,12323,14365,81004,20377,18021,216795,22414,103583,16842,54612,18749,14370,18796,26420,328572,12445,18019,20319,93960,14368,16476,18798,74499,14362,22418,21402,22409,243548,212398,56811,26414,22422,22420,24117,20379,16973,11789,67772,27412,18751,12622,18795,93687,12234,20671,22423,12301,13017,22417,234130,18018,19055,19353,12006,16974,14369,12325,56438,13000,21415,106042,26419,19015,19878,19058,22411,22059,56505,12443,20890,22421,11848,67653,17127,21414,26965,17869,67087,18750,93735,12322,22419,108058,22413,114671,14367,21416,93840,408191	Map3k7,Smad4,Daam1,Csnk2a1,Camk2b,Fzd3,Tbl1xr1,Sfrp1,Nfatc3,Wnt9a,Wnt2b,Fbxw11,Lef1,Sfrp5,Prkacb,Fzd8,Plcb2,Mapk9,Ep300,Ccnd3,Nfatc2,Sfrp2,Nkd1,Fzd6,Jun,Plcb4,Sost,Fzd1,Wnt5a,Skp1,Wnt10a,Prickle2,Frat2,Dkk2,Mapk10,Wnt7b,Wnt6,Wif1,Sfrp4,Lrp5,Apc,Chd8,Peg12,Prkcb,Cer1,Plcb1,Csnk1a1,Btrc,Sox17,Wnt8b,Cacybp,Ctbp2,Wnt4,Dkk4,Nfatc1,Ppp3ca,Rac1,Axin2,Lrp6,Fzd7,Camk2g,Rbx1,Csnk2a2,Tcf7l1,Prickle1,Mapk8,Ppard,Rock2,Ppp3r1,Wnt11,Trp53,Ruvbl1,Ccnd1,Wnt8a,Wnt7a,Rhoa,4930544G11Rik,Smad3,Tcf7,Cul1,Myc,Ctnnbip1,Prkca,Wnt16,Camk2a,Wnt5b,Camk2d,Wnt2,Semp2l2b,Fzd5,Tcf7l2,Vangl2,Semp2l1
mmu04010	MAPK signaling pathway	1.21359627141818e-08	-18.2270926672367	252	145	0.0448638613861386	3232	8044	12540,319520,58231,18590,19042,54376,15481,240168,14103,14701,14182,14174,17187,18750,17869,19060,12289,110157,12298,14176,14180,11911,21812,81905,26400,14165,11652,16177,14184,239556,66922,19418,30957,26404,19697,56274,12296,14178,17873,19252,215449,20663,73086,20111,68652,19055,18018,23938,65964,114713,80857,26405,19353,21809,54378,26408,12290,18015,19058,26413,17451,26419,15507,26399,271844,15370,22059,12294,12287,14784,17532,12293,12299,26410,22030,16476,26401,20662,140723,23882,19259,16176,17762,26414,19419,17165,13537,18205,67603,11651,225028,26921,26416,14281,216965,14673,26407,54377,18783,18751,26412,56692,12288,14169,53859,26396,235584,109905,218397,110651,11909,240672,14013,26403,109689,26409,12064,17260,12675,14102,76089,14183,18033,286940,18049,18021,19043,53608,102626,14167,12286,18749,63953,15511,23797,12300,224105,13714,26420,26415,21813,19417,17164,19279,16178	Cdc42,Dusp4,Stk4,Pdgfa,Ppm1a,Cacng3,Hspa8,Rasgrp3,Fasl,Gng12,Fgfr1,Fgf3,Max,Prkca,Myc,Ppp5c,Cacna1d,Raf1,Cacnb4,Fgf5,Fgf9,Atf4,Tgfbr1,Cacng8,Map2k7,Fgf10,Akt2,Il1r1,Fgfr3,Cacna1i,Rras2,Rasgrf2,Mapk8ip3,Map3k12,Rela,Stk3,Cacnb2,Fgf7,Gadd45b,Dusp1,Rap1b,Sos2,Rps6ka5,Rps6ka1,Tab2,Ppp3ca,Nfatc1,Map2k5,Map3k20,Rasa2,Fgf20,Map3k2,Rac1,Tgfb3,Cacng6,Map3k5,Cacna1e,Nf1,Ppp3r1,Mapk1,Mos,Mapk8,Hspb1,Map2k6,Pla2g4f,Nr4a1,Trp53,Cacna2d3,Cacna1b,Grb2,Mras,Cacna2d1,Cacng1,Map3k8,Traf2,Jun,Map3k1,Sos1,Cacng5,Gadd45g,Ptpn5,Il1b,Mapt,Mapk10,Rasgrp1,Mapkapk5,Dusp2,Ntf3,Dusp6,Akt1,Map4k3,Map4k4,Mapk14,Fos,Taok1,Gna12,Map3k4,Cacng4,Pla2g4a,Prkcb,Map4k2,Lamtor3,Cacna1c,Fgf14,Map3k14,Map2k2,Dusp7,Rap1a,Rasa1,Rps6ka3,Atf2,Dusp5,Mecom,Map3k11,Arrb1,Map3k7,Bdnf,Mef2c,Chuk,Fas,Rapgef2,Fgfr2,Nfkb1,Flnb,Ngf,Nfatc3,Ppm1b,Map3k6,Mapkapk3,Fgf12,Cacna1a,Prkacb,Dusp10,Hspa1b,Akt3,Cacng2,Pak2,Elk4,Mapk9,Mapk13,Tgfbr2,Rasgrf1,Mapkapk2,Ptprr,Il1r2
