TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-422475	Axon guidance	2.04036044535876e-08	-17.7075542628025	437	239	0.0658402203856749	3630	8672	26446,12995,26554,13642,83409,19415,19186,16912,17973,83961,14783,74117,243743,17169,15234,19185,21844,57257,19122,16542,16367,19167,20346,20361,13640,11852,53972,13835,17390,14784,12313,17974,100042150,16191,11853,18707,12296,20356,26396,110157,18761,270190,545156,11600,73699,70727,223881,13176,22190,13448,13449,13869,12826,13383,14432,16590,15529,14182,16772,13838,13839,16399,14360,16398,20349,19414,26440,26932,18015,12982,114715,19877,20741,14184,16443,18750,68318,57764,16452,26442,223435,14180,54153,18673,16706,56692,19419,53870,11487,17311,108058,20452,226519,18039,21687,13841,73178,14786,56705,12289,19177,12288,54126,66713,12829,12828,26443,20354,76089,67653,22253,19060,240168,69632,73086,330662,14183,14587,14573,20450,12298,20358,319504,103967,623279,11461,16410,67603,16192,20404,16184,14389,80297,16591,19876,12322,18590,19649,12661,19053,109700,224105,16188,12540,12912,20662,16412,53378,14083,12805,69601,26413,13430,104099,26403,23980,171463,16402,20418,230126,240672,19052,103554,18208,22187,14586,14176,12833,14026,19353,18007,14812,327826,18611,12323,211323,110596,14585,18708,18187,12484,14165,19417,80857,11733,20743,226849,56378,16416,11773,13000,12325,19165,77579,13636,65254,18803,56438,12835,19878,13844,54712,16777,232910,13837,20351,20439,13840,14178,12517,20563,74769,69077,54401,18706,22325,214968,71770,17463,20742,11836,231474,268902,22350,235584,76829,19179,19181,384783,14174,12827,16451,109676,110351,11352,269116,218397,12934,114713	Psmb3,Csnk2a1,Cul3,Efnb2,Lamtor2,Rasal1,Psme1,Psmb9,Nck1,Nrg4,Grb10,Actr3,Plxna4,Mark3,Hgf,Psmd4,Tiam1,Vav3,Prnp,Kdr,Irs1,Psma3,Sema3a,Sema7a,Efna5,Rhob,Ngef,Epha1,Mmp2,Grb2,Calm1,Nck2,Nrg2,Il5,Rhoc,Pik3cd,Cacnb2,Sema5a,Map2k2,Raf1,Prkcq,Ephb1,Kalrn,Angpt1,Ppp2r1b,Rasgef1a,Rnd1,Dcc,Ubc,Dok1,Dok2,Erbb4,Col4a1,Dlg1,Gap43,Kit,Sdc2,Fgfr1,Lama1,Epha4,Epha5,Itga2b,Fyn,Itga2,Sema3e,Rasa3,Psma1,Ppp2r5e,Nf1,Csf2ra,Spred1,Rock1,Sptb,Fgfr3,Itsn1,Prkca,Aph1c,Ntn4,Jak2,Psma5,Trio,Fgf9,Rasa4,Phb1,Ksr1,Lamtor3,Rasgrp1,Cntn6,Adam10,Kitl,Camk2d,St8sia4,Lamc1,Nefl,Tek,Epha7,Wasl,Grb7,Ranbp9,Cacna1d,Psmb7,Cacna1c,Arhgef7,Actr2,Col4a4,Col4a3,Psma6,Sema4d,Rapgef2,4930544G11Rik,Unc5c,Ppp5c,Rasgrp3,Arhgef12,Rps6ka5,Dock1,Fgfr2,Gfra3,Gdnf,St8sia2,Cacnb4,Sema6a,Nrcam,Dnm3,Dok6,Actb,Itgav,Dusp6,Il5ra,Sh3gl2,Il2ra,Gab2,Sptbn4,Kl,Robo1,Camk2a,Pdgfa,Robo3,Chl1,Ppp2cb,Itga1,Pak2,Il3ra,Cdc42,Creb1,Sos1,Itgb1,Sdcbp,Ptk2,Cntn1,Dab2ip,Mapk1,Dnm2,Itga9,Map3k11,Pebp1,Il17rd,Itga5,Shc3,Shb,Dusp5,Ppp2ca,Psme4,Ntn1,Ubb,Gfra2,Fgf5,Col6a1,Evl,Rac1,Neo1,Grin2b,Frs2,Pea15a,Camk2b,Nrg1,Arhgef28,Gfra1,Pik3r1,Nrp2,Cd24a,Fgf10,Rasgrf1,Fgf20,Ank1,Sptbn2,Ppp2r5a,Arpc3,Itgb3,Ap2m1,Csnk2a2,Camk2g,Psen2,Myh10,Efna1,Dpysl5,Plcg1,Rbx1,Col6a3,Rock2,Ephb2,Plxnc1,Lamb1,Ap2s1,Epha3,Sema4a,Siah2,Epha6,Fgf7,Cd72,Slit2,Pik3cb,Psmd11,Ywhab,Pik3ca,Vav2,Sema6d,Ap2b1,Psmd7,Sptbn1,Araf,Paqr3,Robo2,Ezr,Dusp7,Dok5,Psmc1,Psmc2,Irs2,Fgf3,Col4a2,Jak1,Ank2,Rap1gap,Abl2,Nfasc,Rasa1,Dpysl2,Rasa2
R-MMU-416482	G alpha (12/13) signalling events	3.19522003183005e-07	-14.9564396979476	59	44	0.0121212121212121	3630	8672	20662,14702,223435,11852,53972,277360,24001,13605,16443,30938,19878,224014,56349,21844,19877,57257,75547,73341,17207,109934,11550,207212,16800,18708,102098,14673,545156,67653,19353,69632,71704,54126,18706,226970,54324,22325,26382,20663,230972,11548,11549,14688,11853,622434	Sos1,Gng2,Trio,Rhob,Ngef,Prex1,Tiam2,Ect2,Itsn1,Fgd3,Rock2,Fgd4,Net1,Tiam1,Rock1,Vav3,Akap13,Arhgef6,Mcf2l,Abr,Adra1d,Arhgef17,Arhgef2,Pik3r1,Arhgef18,Gna12,Kalrn,4930544G11Rik,Rac1,Arhgef12,Arhgef3,Arhgef7,Pik3ca,Arhgef4,Arhgef5,Vav2,Fgd2,Sos2,Arhgef16,Adra1b,Adra1a,Gnb1,Rhoc,Arhgef26
R-MMU-166520	Signalling by NGF	5.61944307223477e-07	-14.3918630894303	408	219	0.0603305785123967	3630	8672	18708,68585,14585,211323,18607,12323,18611,14812,210044,19353,327826,19088,14586,14176,103554,22187,226970,19052,240672,20418,71704,622434,18549,18553,19084,15370,171463,23980,20663,26419,15937,26403,277360,69601,26413,18552,14083,19730,20662,12912,16188,19053,13605,11908,18590,56321,12322,77647,110651,18550,16591,80297,16184,16192,20404,18718,67603,73341,114713,218397,16451,14174,109270,384783,18205,19179,19181,235584,20742,11836,26416,231474,71770,17463,18706,54324,22325,54401,19085,69077,74769,18053,18049,83490,14178,230972,232910,18377,18803,78757,56438,20111,30938,19165,12325,24001,11773,226849,16333,80857,192662,20743,19417,17246,17207,14165,75547,54167,16590,19697,107746,13869,18035,22190,98432,70727,18574,11600,73699,224129,545156,110157,26396,319520,12064,18707,100042150,16191,12313,14784,53972,17164,18573,224014,12675,12125,235402,16367,19167,77480,22627,19185,15234,21844,11515,57257,17169,83961,83409,16912,19415,19186,26554,26446,18575,102098,11651,14183,14573,14587,69632,73086,19060,67653,240168,18749,76089,18753,26443,26382,56458,16337,19177,54126,56705,54152,109905,108058,18039,21687,17311,56484,56692,19419,18673,54153,18033,16706,432530,14180,223435,18754,16452,26442,68318,11512,16443,14184,18750,20741,56453,12575,26932,12487,18759,114715,12982,18015,26440,56349,19414,14360,207212,16800,102626,19211,109934,14182,11514	Pik3r1,Rtn4,Gfra1,Nrg1,Pdpk1,Camk2b,Pea15a,Grin2b,Adcy2,Rac1,Frs2,Prkar2b,Gfra2,Fgf5,Psme4,Ubb,Arhgef4,Ppp2ca,Dusp5,Shc3,Arhgef3,Arhgef26,Pcsk2,Pcsk6,Prkar1a,Nr4a1,Il17rd,Pebp1,Sos2,Mapk8,Ier3,Map3k11,Prex1,Dab2ip,Mapk1,Pcsk5,Ptk2,Ralgds,Sos1,Creb1,Il3ra,Ppp2cb,Ect2,Atf1,Pdgfa,Aatf,Camk2a,Trat1,Rps6ka3,Furin,Kl,Sptbn4,Il2ra,Il5ra,Sh3gl2,Pip4k2a,Dusp6,Arhgef6,Rasa2,Rasa1,Jak1,Fgf3,Prr5,Irs2,Ntf3,Psmc1,Psmc2,Dusp7,Sptbn1,Araf,Mapk14,Paqr3,Ap2b1,Psmd7,Pik3ca,Arhgef5,Vav2,Ywhab,Prkar1b,Psmd11,Pik3cb,Ngfr,Ngf,Pik3ap1,Fgf7,Arhgef16,Ap2s1,Omg,Plcg1,Rictor,Rbx1,Rps6ka1,Fgd3,Psen2,Camk2g,Tiam2,Ap2m1,Ppp2r5a,Ins1,Fgf20,Arhgdia,Sptbn2,Rasgrf1,Mdm2,Mcf2l,Fgf10,Akap13,Icos,Kit,Rela,Rapgef1,Erbb4,Nfkbia,Ubc,Phlpp1,Rasgef1a,Pde1b,Angpt1,Ppp2r1b,Adcy5,Kalrn,Raf1,Map2k2,Dusp4,Bdnf,Pik3cd,Nrg2,Il5,Calm1,Grb2,Ngef,Mapkapk2,Pde1a,Fgd4,Chuk,Bcl2l11,Lingo1,Irs1,Psma3,Kidins220,Ywhae,Psmd4,Hgf,Tiam1,Adcy9,Vav3,Mark3,Nrg4,Lamtor2,Psmb9,Rasal1,Psme1,Cul3,Psmb3,Pde1c,Arhgef18,Akt1,Fgfr2,Gdnf,Gfra3,Arhgef12,Rps6ka5,Ppp5c,4930544G11Rik,Rasgrp3,Prkacb,Rapgef2,Prkcd,Psma6,Fgd2,Foxo1,Insr,Psmb7,Arhgef7,Ranbp9,Dnal4,Rap1a,Camk2d,Nefl,Tek,Kitl,Foxo3,Lamtor3,Rasgrp1,Phb1,Rasa4,Nfkb1,Ksr1,Adcy1,Fgf9,Trio,Prkce,Jak2,Psma5,Aph1c,Adcy6,Itsn1,Fgfr3,Prkca,Sptb,Mbtps1,Cdkn1a,Ppp2r5e,Cd28,Prkci,Spred1,Csf2ra,Nf1,Psma1,Net1,Rasa3,Fyn,Arhgef17,Arhgef2,Mapkapk3,Pten,Abr,Fgfr1,Adcy8
R-MMU-193648	NRAGE signals death through JNK	4.75236043185286e-06	-12.2568691303264	52	38	0.0104683195592286	3630	8672	224014,69632,18205,30938,16443,12125,19353,545156,13605,24001,277360,53972,102098,223435,20662,16800,18053,622434,207212,12064,18049,17207,109934,230972,73341,26419,20663,75547,26382,56321,57257,21844,54324,226970,22325,56349,54126,71704	Fgd4,Arhgef12,Ntf3,Fgd3,Itsn1,Bcl2l11,Rac1,Kalrn,Ect2,Tiam2,Prex1,Ngef,Arhgef18,Trio,Sos1,Arhgef2,Ngfr,Arhgef26,Arhgef17,Bdnf,Ngf,Mcf2l,Abr,Arhgef16,Arhgef6,Mapk8,Sos2,Akap13,Fgd2,Aatf,Vav3,Tiam1,Arhgef5,Arhgef4,Vav2,Net1,Arhgef7,Arhgef3
R-MMU-112316	Neuronal System	7.26955687449483e-06	-11.8318152208907	311	168	0.0462809917355372	3630	8672	14806,232910,432530,14702,16513,16508,12846,14645,11438,11449,16492,226352,14708,192167,18750,20111,11512,244310,12325,14805,12647,14401,16521,20512,13002,16535,14412,11773,20510,17920,228836,54376,16494,214579,110834,56379,14395,23859,327814,110637,11514,238271,26556,19417,20979,14396,16490,170738,67111,17246,16510,14701,11441,12298,105727,16517,100043507,216028,18749,60613,16514,12287,140492,16522,14402,242667,20511,14411,16527,14407,18751,18195,241794,71770,14400,319924,107065,18039,108058,100502876,14660,16519,16518,12290,14816,11669,12912,224997,214084,26413,240444,18795,52589,269587,14807,18191,16538,16539,20907,16485,14399,18796,14800,56543,243499,21912,108071,14693,11515,26557,217826,14802,268345,242425,12322,14679,140493,20614,14394,242851,13821,70530,110651,74053,211468,16534,223604,67760,54377,20927,12286,15567,19266,14252,14680,16515,13383,12300,98741,110902,55984,52150,210044,226922,14812,224129,16531,16516,18607,225030,12323,57249,12296,16525,19280,110157,14406,243616,20928,13822,15481,12313,18189,74342,380728,14799,14688,81905	Grik2,Ap2s1,Adcy1,Gng2,Kcnj10,Kcnd2,Comt,Glul,Chrna4,Chrng,Kcna4,Epb41l5,Gng7,Nlgn1,Prkca,Rps6ka1,Adcy6,Dlgap2,Camk2g,Grik1,Chat,Gabrb2,Kcnj5,Slc1a3,Dnajc5,Kcnq1,Slc6a13,Ap2m1,Slc1a1,Myo6,Dlgap4,Cacng3,Kcna6,Aldh5a1,Chrna3,Kcnj1,Gabra2,Dlg2,Ppfia2,Grik4,Adcy8,Kcnh5,Homer1,Rasgrf1,Syt1,Gabra3,Kcna2,Kcnh7,Naaa,Mdm2,Kcnh1,Gng12,Chrna7,Cacnb4,Slc38a1,Kcnj16,Gng5-ps,Lrrtm3,Prkacb,Kcnq4,Kcnj11,Cacna1b,Kcnn2,Kcnj6,Gabrb3,Dlgap3,Slc1a2,Slc6a12,Kcnk3,Gabrg3,Prkcb,Nsf,Kcng1,Ap2b1,Gabrb1,Apba1,Lrrtm2,Nefl,Camk2d,Kcnmb3,Gls,Kcnj3,Kcnj2,Cacna1e,Grm1,Aldh2,Creb1,Dlgap1,Slc18a2,Mapk1,Kcng2,Plcb1,Ncald,Epb41,Grik3,Nrxn3,Kcns1,Kcns2,Stx1a,Kcna1,Gabra6,Plcb2,Gria2,Kcnd3,Lrrtm4,Tspan7,Grm5,Gnb2,Adcy9,Homer2,Kcnk13,Gria4,Kcnc2,Gabbr2,Camk2a,Gnai3,Kcnn3,Snap25,Gabra1,Gnat3,Epb41l1,Lrfn2,Rps6ka3,Grip1,Kcnh8,Kcnn4,Kcnk9,Slc38a2,Cacng4,Abcc8,Cacna1a,Slc6a4,Ptprd,Flot2,Gnal,Kcnj12,Dlg1,Cacng2,Kcnb2,Chrna2,Camkk1,Kcnk6,Adcy2,Kcnq5,Grin2b,Adcy5,Kcnma1,Kcnj15,Pdpk1,Kcng3,Camk2b,Gabrq,Cacnb2,Kcnk1,Ptprs,Raf1,Gabrg2,Slc6a11,Abcc9,Epb41l2,Hspa8,Calm1,Nrxn1,Lrrtm1,Kcnh4,Gria1,Gnb1,Cacng8
R-MMU-2454202	Fc epsilon receptor (FCERI) signaling	8.62723589533196e-06	-11.6605863944009	318	171	0.0471074380165289	3630	8672	57257,18590,19185,15234,17169,77647,12322,83961,56550,19415,16591,19186,80297,16912,83409,14389,16192,18718,16184,26400,26554,26446,14281,20963,67603,26409,69601,26413,14083,108723,12912,20662,16188,224105,234779,12675,18019,18018,19053,19167,16367,22187,103554,19052,110157,18761,19058,240672,21402,26396,26420,20418,18021,18707,23980,16191,100042150,171463,15370,26403,15937,26419,14784,12313,68652,16590,54167,16476,19697,18708,17444,13869,14585,211323,22190,26401,18035,18611,70727,18607,12323,98432,26414,73699,327826,19353,11600,22165,14812,14586,14176,12982,18015,114715,12042,12487,26932,26440,16333,226849,19414,20743,80857,19417,14360,19211,17246,14165,103583,14182,56692,19419,12234,16706,54153,18673,18033,14180,26442,240354,16452,66589,56438,18803,78757,14184,12575,12325,20741,56458,17463,26443,22325,26965,16337,18706,19177,54401,74769,56705,69077,83490,21687,18039,108058,56484,14178,17311,216080,114713,21682,218397,11651,14183,14573,14587,16822,16451,384783,109270,14174,235584,19181,240168,19179,19060,231474,20742,11836,19055,76089	Vav3,Pdgfa,Psmd4,Hgf,Mark3,Trat1,Camk2a,Nrg4,Ube2d2a,Rasal1,Kl,Psme1,Sptbn4,Psmb9,Lamtor2,Gab2,Il5ra,Pip4k2a,Il2ra,Map2k7,Cul3,Psmb3,Fos,Syk,Dusp6,Map3k7,Dab2ip,Mapk1,Ptk2,Card11,Creb1,Sos1,Il3ra,Pak2,Plcg2,Chuk,Nfatc2,Nfatc1,Ppp2cb,Psma3,Irs1,Ubb,Psme4,Ppp2ca,Raf1,Prkcq,Ppp3r1,Dusp5,Skp1,Map2k2,Mapk9,Shc3,Nfatc3,Pik3cd,Pebp1,Il5,Nrg2,Il17rd,Nr4a1,Map3k11,Ier3,Mapk8,Grb2,Calm1,Tab2,Kit,Icos,Jun,Rela,Pik3r1,Grap2,Erbb4,Gfra1,Nrg1,Ubc,Map3k1,Nfkbia,Pea15a,Rasgef1a,Pdpk1,Camk2b,Phlpp1,Mapk10,Ppp2r1b,Frs2,Rac1,Angpt1,Txk,Grin2b,Gfra2,Fgf5,Csf2ra,Nf1,Spred1,Bcl10,Cd28,Ppp2r5e,Psma1,Ins1,Ppp2r5a,Rasa3,Sptbn2,Fgf20,Rasgrf1,Fyn,Pten,Mdm2,Fgf10,Fbxw11,Fgfr1,Lamtor3,Rasgrp1,Btrc,Ksr1,Rasa4,Phb1,Nfkb1,Fgf9,Psma5,Malt1,Jak2,Ube2v1,Rbx1,Plcg1,Rictor,Fgfr3,Cdkn1a,Camk2g,Sptb,Foxo1,Psmd7,Psma6,Vav2,Cul1,Insr,Pik3ca,Psmb7,Ywhab,Pik3cb,Ranbp9,Psmd11,Pik3ap1,Tek,Nefl,Camk2d,Foxo3,Fgf7,Kitl,Ube2d1,Rasa2,Tec,Rasa1,Akt1,Fgfr2,Gdnf,Gfra3,Lcp2,Jak1,Irs2,Prr5,Fgf3,Dusp7,Psmc2,Rasgrp3,Psmc1,Ppp5c,Paqr3,Sptbn1,Araf,Ppp3ca,Rapgef2
R-MMU-877300	Interferon gamma signaling	8.99298624904175e-06	-11.6190655901066	17	16	0.00440771349862259	3630	8672	12702,16451,16452,19255,12323,15980,108058,18753,12325,15170,20846,15979,15978,12703,12322,56469	Socs3,Jak1,Jak2,Ptpn2,Camk2b,Ifngr2,Camk2d,Prkcd,Camk2g,Ptpn6,Stat1,Ifngr1,Ifng,Socs1,Camk2a,Pias1
R-MMU-194840	Rho GTPase cycle	1.36639563170363e-05	-11.2007491178614	127	77	0.0212121212121212	3630	8672	330914,214137,50768,56349,57257,21844,75415,192662,17925,71302,12549,70497,73910,270163,69710,380608,106952,16800,207212,78514,73341,232201,75547,71435,11857,17207,109934,74734,53972,26934,11852,69993,277360,72536,20662,71085,58996,76117,223435,224014,12540,244867,24001,110279,13605,104215,30938,69288,16443,226970,54324,22325,26382,108699,23912,71704,214804,54126,231532,246710,259302,11853,218581,117600,622434,230972,20663,19765,71709,102098,14569,243362,268970,69632,545156,67653,19353	Arhgap32,Arhgap29,Dlc1,Net1,Vav3,Tiam1,Arhgap12,Arhgdia,Myo9b,Arhgap26,Arhgap31,Arhgap17,Arhgap18,Myo9a,Arap1,Tagap1,Arap3,Arhgef2,Arhgef17,Arhgap10,Arhgef6,Arhgap25,Akap13,Arhgap21,Arhgdib,Mcf2l,Abr,Rhoh,Ngef,Racgap1,Rhob,Chn2,Prex1,Tagap,Sos1,Arhgap19,Arhgap23,Arhgap15,Trio,Fgd4,Cdc42,Arhgap20,Tiam2,Bcr,Ect2,Rhoq,Fgd3,Rhobtb1,Itsn1,Arhgef4,Arhgef5,Vav2,Fgd2,Chn1,Rhof,Arhgef3,Syde2,Arhgef7,Arhgap24,Rhobtb2,Srgap3,Rhoc,Depdc1b,Srgap1,Arhgef26,Arhgef16,Sos2,Ralbp1,Syde1,Arhgef18,Gdi2,Stard13,Arhgap28,Arhgef12,Kalrn,4930544G11Rik,Rac1
R-MMU-112314	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	2.1037868413257e-05	-10.7691864863841	136	81	0.0223140495867769	3630	8672	14693,21912,12322,14395,54376,14802,242425,110834,11773,17920,11515,11514,110637,13821,242851,14394,14679,17246,54377,74053,110651,19417,14396,11438,16513,12912,432530,14702,14806,232910,14708,18795,26413,11449,14805,12325,20111,11512,14807,18750,52589,16521,14401,18796,14800,14399,18751,14407,57249,110157,14400,71770,18195,12313,108058,14406,18039,81905,14688,16519,16518,14799,14680,11441,14701,110902,13383,16515,12300,100043507,16517,224129,210044,14812,55984,18749,14402,16522,18607,12323,16516	Gnb2,Tspan7,Camk2a,Gabra2,Cacng3,Gria4,Gabbr2,Chrna3,Ap2m1,Myo6,Adcy9,Adcy8,Grik4,Epb41l1,Gnat3,Gabra1,Gnai3,Mdm2,Cacng4,Grip1,Rps6ka3,Rasgrf1,Gabra3,Chrna4,Kcnj10,Creb1,Adcy1,Gng2,Grik2,Ap2s1,Gng7,Plcb1,Mapk1,Chrng,Grik1,Camk2g,Rps6ka1,Adcy6,Grik3,Prkca,Ncald,Kcnj5,Gabrb2,Plcb2,Gria2,Gabra6,Prkcb,Gabrg3,Gabrq,Raf1,Gabrb1,Ap2b1,Nsf,Calm1,Camk2d,Gabrg2,Nefl,Cacng8,Gnb1,Kcnj3,Kcnj2,Gria1,Gnal,Chrna7,Gng12,Chrna2,Dlg1,Kcnj12,Cacng2,Gng5-ps,Kcnj16,Adcy5,Adcy2,Grin2b,Camkk1,Prkacb,Gabrb3,Kcnj6,Pdpk1,Camk2b,Kcnj15
R-MMU-913709	O-linked glycosylation of mucins	3.18303945799843e-05	-10.3550889202663	44	32	0.00881542699724518	3630	8672	20444,272411,17833,14426,271786,108150,207839,20440,171212,53625,108105,20443,14423,218476,227327,14425,232984,231050,20441,20442,71685,74180,14537,241391,672682,94192,56336,17829,17063,26887,72077,108148	St3gal2,B3gnt6,Muc5ac,Galnt4,Galnt13,Galnt7,Galnt6,St6gal1,Galnt10,B3gnt2,B3gnt5,St3gal4,Galnt1,Gcnt4,B3gnt7,Galnt3,B3gnt8,Galnt11,St3gal3,St3gal1,Galnt14,Muc5b,Gcnt1,Galnt5,Muc21,C1galt1,B4galt5,Muc1,Muc13,Chst4,Gcnt3,Galnt2
