TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	2.63379611590095e-10	-22.0574247343605	252	161	0.0366408739189804	4394	9882	20399,211914,23797,70292,19878,14783,218397,16800,26382,231532,27280,54153,106952,227120,16369,18760,71801,74309,269615,26377,12169,14389,69632,13448,18803,347722,23853,75547,77300,231999,58996,224014,106877,210293,71544,24001,20743,64291,71096,380921,21844,237542,20649,80297,223435,234779,27260,19414,16367,13430,102595,381605,319934,231717,71302,105445,19157,218952,50915,30938,544817,19877,213522,67016,23921,320129,69601,109135,213783,244867,71720,78473,27062,384783,19159,110279,19415,13449,20742,215632,240753,17207,20947,11651,22325,83436,103967,217866,102098,232201,223254,74002,54519,623279,208177,16443,241639,110596,213556,234353,56792,22113,76117,100273,16560,78618,71435,216991,232237,19418,114713,24055,99031,320495,240505,102693,226971,226250,245666,13196,74486,277360,72789,20663,69710,224860,226751,230972,545156,78670,75292,75415,54353,78514,56193,622434,54324,54126,233765,11652,109294,226970,18806,109934,76303,76829,73341,20662,241308,16561,71704,19417,226245,20741,14786,57257,219140,53972,21682,67220,56349	Sh2b1,Asap2,Akt3,Afap1,Rock2,Grb10,Rasa1,Arhgef2,Fgd2,Arhgap24,Phlda3,Rasa4,Arap3,Plcl1,Irs3,Prkd1,Plekhf2,Osbp2,Plch2,Dapp1,Bmx,Gab2,Arhgef12,Dok1,Plcg1,Agap1,Def6,Akap13,Raph1,Plekha8,Arhgap23,Fgd4,Afap1l1,Dock10,Arhgap42,Tiam2,Sptbn2,Osbpl1a,Sntg1,Dgkh,Tiam1,Osbpl8,Sntb1,Sptbn4,Trio,Plcg2,Plek2,Rasa3,Irs1,Dnm2,Plekho2,Tbc1d2,Sbf2,Pheta1,Arhgap26,Dock9,Cyth1,Fermt2,Grb14,Fgd3,Arhgap27,Rock1,Plekhg6,Tbc1d2b,Sh2b2,Grk3,Dab2ip,Plekha5,Plekhg1,Arhgap20,Osbpl3,Skap1,Cadps,Irs2,Cyth3,Bcr,Rasal1,Dok2,Sptbn1,Psd4,Plekha6,Mcf2l,Swap70,Akt1,Vav2,Plekha2,Dnm3,Cdc42bpb,Arhgef18,Arhgap25,Farp1,Psd2,Apbb1ip,Dok6,Phldb2,Itsn1,Fermt1,Arhgef28,Plekhh2,Psd3,Stap1,Phlda2,Arhgap15,Osbpl9,Kif1a,Acap2,Arhgap21,Adap2,Fgd5,Rasgrf2,Rasa2,Sh3bp2,Osbpl6,Ipcef1,Cdc42bpg,Phldb1,Plekhb2,Afap1l2,Iqsec2,Asap1,Osbpl10,Prex1,Veph1,Sos2,Arap1,Plcl2,Cdc42bpa,Arhgef16,Kalrn,Plekhj1,Prkd3,Arhgap12,Skap2,Arhgap10,Plek,Arhgef26,Arhgef5,Arhgef7,Plekha7,Akt2,Prex2,Arhgef4,Pld2,Abr,Osbp,Dok5,Arhgef6,Sos1,Ralgps1,Kif1b,Arhgef3,Rasgrf1,Plekhs1,Sptb,Grb7,Vav3,Spata13,Ngef,Tec,Plekho1,Net1
SM00033	CH	7.82397086536501e-06	-11.7583183489906	64	46	0.0104688211197087	4394	9882	94040,22325,20741,57257,29875,18826,231830,18810,11426,20742,73341,231798,64009,13518,54126,56370,286940,74392,380916,330938,80297,77569,70144,21346,27008,237436,20743,13405,432572,60595,109711,194401,71994,78286,12316,319565,68678,22288,12798,114601,544963,210297,380928,320878,260315,102502	Clmn,Vav2,Sptb,Vav3,Iqgap1,Lcp1,Micall2,Plec,Macf1,Sptbn1,Arhgef6,Lrch4,Syne1,Dst,Arhgef7,Tagln3,Flnb,Specc1l,Lrch1,Dixdc1,Sptbn4,Limch1,Lrch3,Tagln2,Micall1,Gas2l3,Sptbn2,Dmd,Specc1,Actn4,Actn1,Mical3,Cnn3,Nav2,Aspm,Syne2,Smtnl1,Utrn,Cnn2,Ehbp1l1,Iqgap2,Lrch2,Lmo7,Mical2,Nav3,Pls1
SM00181	EGF	1.1709462877218e-05	-11.3551132501327	177	107	0.0243513882567137	4394	9882	52020,102635496,65969,94217,620292,114249,22635,224024,211323,216616,16774,17064,77446,11990,70417,18302,170757,14456,24117,228357,17063,11603,24087,16780,21825,14114,226243,238680,54003,226519,22018,231470,208777,64817,223272,14725,22359,214058,545370,23966,268977,338352,20344,12614,18074,171171,18129,70945,16772,19128,634731,13386,56788,245827,12032,320924,16973,14119,20339,54485,16835,380713,20562,230316,18191,170788,18553,18131,13389,21826,16974,23964,636808,16782,16998,329628,14107,16776,20564,240675,75740,16777,14118,170571,21960,268780,241175,26364,15245,23965,16975,241324,11899,18189,20563,21687,270120,13733,83961,21828,108075,21923,13003,353156,16449,66797,18552	Umodl1,Malrd1,Cubn,Lrp1b,Cntnap5c,Npnt,Zan,Scarf2,Nrg1,Efemp1,Lama3,Cd93,Heg1,Atrn,Megf10,Oit3,Adgrl4,Gas6,Wif1,Lrp4,Muc13,Agrn,Tll2,Lamb3,Thbs1,Fbln1,Habp2,Cntnap3,Nell2,Lamc1,Tpo,Fras1,Sned1,Svep1,Itgbl1,Lrp2,Vldlr,Megf11,Hmcn1,Tenm4,Ltbp1,Nell1,Selp,Celsr1,Nid2,Ntng2,Notch2,Mmrn1,Lama1,Pros1,Susd1,Dlk1,Scube2,Fat2,Bcan,Ccbe1,Lrp5,Fbn2,Sele,Dll4,Ldlr,Scarf1,Slit1,Megf9,Nrxn3,Crb1,Pcsk6,Notch3,Dll3,Thbs2,Lrp6,Tenm2,Cntnap5a,Lamc2,Ltbp3,Fat4,Fat1,Lama5,Slit3,Vwa2,Egfem1,Lamb1,Fbn1,Cntnap4,Tnr,Egflam,Cntnap5b,Adgre5,Hhip,Tenm3,Lrp8,Crb2,Astn1,Nrxn1,Slit2,Tek,Fat3,Adgre1,Nrg4,Thbs4,Ltbp4,Tnc,Vcan,Egfl7,Jag1,Cntnap2,Pcsk5
SM00282	LamG	8.41645886385705e-05	-9.38273628766449	40	30	0.00682749203459263	4394	9882	238680,20564,16776,620292,14107,329628,19128,12819,170571,16774,22283,245827,54003,14456,270120,170788,20563,18191,12614,20562,18189,338352,241324,241175,268780,16772,636808,12814,66797,11603	Cntnap3,Slit3,Lama5,Cntnap5c,Fat1,Fat4,Pros1,Col15a1,Cntnap4,Lama3,Ush2a,Fat2,Nell2,Gas6,Fat3,Crb1,Slit2,Nrxn3,Celsr1,Slit1,Nrxn1,Nell1,Crb2,Cntnap5b,Egflam,Lama1,Cntnap5a,Col11a1,Cntnap2,Agrn
SM00404	PTPc_motif	9.94632140882686e-05	-9.21572268981404	61	42	0.00955848884842968	4394	9882	19274,19248,19264,19277,19267,15170,19246,545622,19245,19244,53332,19255,19270,19260,19250,240672,19211,19283,545902,19276,319520,21961,218232,19266,218294,19263,77116,19252,24000,319939,19279,229776,19280,17772,19253,19272,19259,68440,19249,74302,19271,13537	Ptprm,Ptpn12,Ptprc,Ptpro,Ptpre,Ptpn6,Ptpn1,Ptpn3,Ptp4a3,Ptp4a2,Mtmr1,Ptpn2,Ptprg,Ptpn22,Ptpn14,Dusp5,Pten,Ptprz1,Ptprh,Ptprn2,Dusp4,Tns1,Ptpdc1,Ptprd,Cdc14b,Ptprb,Mtmr2,Dusp1,Ptpn21,Tns3,Ptprr,Cdc14a,Ptprs,Mtm1,Ptpn18,Ptprk,Ptpn5,Dusp23,Ptpn13,Mtmr3,Ptprj,Dusp2
SM00325	RhoGEF	0.000127538073745832	-8.96709562032879	65	44	0.0100136549840692	4394	9882	102098,56349,219140,57257,53972,20663,277360,22325,13605,19417,71704,223435,20662,17207,73341,21844,72754,109934,24001,19418,110279,226970,109294,232237,224014,213783,54126,75547,69632,54324,622434,213522,71972,110596,100045792,30938,26382,16443,234094,545156,16800,230972,223254,207212	Arhgef18,Net1,Spata13,Vav3,Ngef,Sos2,Prex1,Vav2,Ect2,Rasgrf1,Arhgef3,Trio,Sos1,Mcf2l,Arhgef6,Tiam1,Arhgef10l,Abr,Tiam2,Rasgrf2,Bcr,Arhgef4,Prex2,Fgd5,Fgd4,Plekhg1,Arhgef7,Akap13,Arhgef12,Arhgef5,Arhgef26,Plekhg6,Dnmbp,Arhgef28,Ect2l,Fgd3,Fgd2,Itsn1,Arhgef10,Kalrn,Arhgef2,Arhgef16,Farp1,Arhgef17
SM00109	C1	0.000504259565814468	-7.59241941092919	64	42	0.00955848884842968	4394	9882	320127,18751,54354,22325,208898,17925,382018,18761,217866,270163,23854,11836,57257,240168,217154,18762,110197,18759,69993,18753,240505,380921,237611,110157,214137,110596,16706,18755,19419,19877,333050,18760,18750,75547,26934,19878,108699,226751,16800,319939,75292,18754	Dgki,Prkcb,Rassf5,Vav2,Unc13c,Myo9b,Unc13a,Prkcq,Cdc42bpb,Myo9a,Def8,Araf,Vav3,Rasgrp3,Stac2,Prkcz,Dgkg,Prkci,Chn2,Prkcd,Cdc42bpg,Dgkh,Stac3,Raf1,Arhgap29,Arhgef28,Ksr1,Prkch,Rasgrp1,Rock1,Ksr2,Prkd1,Prkca,Akap13,Racgap1,Rock2,Chn1,Cdc42bpa,Arhgef2,Tns3,Prkd3,Prkce
SM00239	C2	0.000583224319514251	-7.44693867801193	121	72	0.0163859808830223	4394	9882	12337,66894,74413,74055,20979,18803,18750,18783,269615,16443,75788,231214,218397,18754,227120,80976,271844,54153,66871,19414,94253,208898,234779,18795,83671,238266,18796,116838,224860,114713,70450,54524,114875,52635,83672,240752,74741,234577,74998,70568,20980,13446,18755,329324,69601,55925,52055,271944,102278,18646,212139,16396,17999,244049,13447,18751,116837,83814,272636,19894,18798,18705,382018,110279,78771,20983,50780,226101,75767,83762,19415,109934	Capn5,Wwp2,Tc2n,Plce1,Syt1,Plcg1,Prkca,Pla2g4a,Plch2,Itsn1,Smurf1,Cc2d2a,Rasa1,Prkce,Plcl1,Syt13,Pla2g4f,Rasa4,Cpne8,Rasa3,Hecw1,Unc13c,Plcg2,Plcb1,Sytl2,Syt16,Plcb2,Rims2,Plcl2,Rasa2,Unc13d,Syt6,Plcz1,Esyt2,Sytl3,Pik3c2b,C2cd5,Cpne2,Rab11fip2,Cpne3,Syt2,Doc2a,Prkch,Syt14,Dab2ip,Syt8,Rab11fip5,C2cd4d,Cpne7,Prf1,Cc2d1a,Itch,Nedd4,Mctp2,Doc2b,Prkcb,Rims1,Nedd4l,Esyt3,Rph3a,Plcb4,Pik3c2g,Unc13a,Bcr,Mctp1,Syt4,Rgs3,Myof,Rab11fip1,Otof,Rasal1,Abr
SM00220	S_TKc	0.000638538993034761	-7.35632781460732	359	190	0.0432407828857533	4394	9882	215303,225724,26400,12747,20817,238323,244418,12995,26416,266632,226778,56274,22367,77485,20111,59125,11482,70425,50883,26918,320129,65964,29869,70661,16706,110157,18755,11477,69635,26410,12166,12748,74137,13728,18749,226419,17691,224105,17165,244859,69181,102626,71091,18712,329421,77976,240880,23797,55984,225028,228012,18760,333050,18004,18557,12675,18759,234854,50523,23938,667663,26404,18751,50932,211770,75292,320119,207565,20874,53859,244631,545156,78943,226751,17451,98267,26403,13175,216965,26399,16589,93687,12545,69922,56532,12323,213452,72587,26414,21813,108058,170755,12235,78334,56542,17169,546071,27263,269275,69562,26413,17164,26420,26408,52163,19134,11836,244895,18761,217866,26921,19106,11651,72508,15258,53608,27103,69131,227541,26419,19877,19091,21687,18753,18607,105787,26407,12167,11790,17776,223435,18754,70762,235344,104318,117229,19878,70415,213435,26401,26409,328329,15257,140780,57740,12322,26396,18762,13548,11652,26415,56480,13838,13000,64293,21812,104175,233328,140810,102414,20393,236574,18647,52033,20868,110651,12325,27206,56527,26412,58231,14841,240505,20620,12534,50772,232533,26405,12571,223255,18005,381113,73086,23954,17152,381836,108079,269774,18750,74178	Camk1g,Mapk4,Map2k7,Clk1,Srpk2,Rps6kl1,Prag1,Csnk2a1,Mapk14,Irak4,Mark1,Stk3,Vrk1,Stk31,Rps6ka1,Nek7,Acvrl1,Csnk1g3,Chek2,Ern2,Grk3,Map3k20,Ulk2,Sik3,Ksr1,Raf1,Prkch,Acvr1,Dapk1,Map3k8,Bmpr1a,Clk2,Nuak2,Mark2,Prkacb,Dyrk3,Sik1,Pak2,Mapkapk5,Ankk1,Dyrk2,Mapkapk3,Cdkl1,Pim1,Myo3b,Nuak1,Scyl3,Akt3,Camkk1,Map4k3,Tlk1,Prkd1,Ksr2,Nek1,Cdk18,Chuk,Prkci,Cdk10,Lats2,Map2k5,Myo3a,Map3k12,Prkcb,Mink1,Trib1,Prkd3,Rps6kc1,Camkk2,Slk,Map3k14,Pskh1,Kalrn,Ern1,Cdc42bpa,Mos,Stk17b,Map3k11,Dclk1,Taok1,Map2k6,Uhmk1,Csnk1a1,Cdc7,Vrk2,Ripk3,Camk2b,Dstyk,Pan3,Mapk10,Tgfbr2,Camk2d,Sgk3,Bub1,Cdk19,Cilk1,Mark3,Mast3,Smok2a,Acvr1c,Cdk13,Mapk1,Mapkapk2,Mapk9,Map3k5,Camk1,Prpf4b,Araf,Peak1,Prkcq,Cdc42bpb,Map4k4,Eif2ak2,Akt1,Rps6kb1,Hipk2,Map3k6,Eif2ak4,Cdk12,Camk1d,Mapk8,Rock1,Prkg1,Tek,Prkcd,Pdpk1,Prkaa1,Map3k4,Bmpr1b,Speg,Mast2,Trio,Prkce,Dclk2,Sik2,Csnk1d,Stk33,Rock2,Stk26,Mylk3,Map3k1,Map3k7,Mast4,Hipk1,Bmp2k,Stk32c,Camk2a,Map2k2,Prkcz,Dyrk1a,Akt2,Mapk13,Tbk1,Epha4,Csnk2a2,Stk32b,Tgfbr1,Sbk1,Lrrk1,Ttbk2,Clk3,Sgk1,Smok2b,Cdk14,Pbk,Stk10,Rps6ka3,Camk2g,Nrk,Mast1,Map4k2,Stk4,Haspin,Cdc42bpg,Plk2,Cdk1,Mapk6,Stk38l,Map3k2,Cdk6,Stk24,Nek2,Cdkl4,Rps6ka5,Nek3,Mak,Sbk2,Prkaa2,Aak1,Prkca,Stk40
SM00523	DWA	0.000949209269456294	-6.95988126790432	12	11	0.0025034137460173	4394	9882	17125,17126,18032,17131,18029,18027,17130,17127,18028,17128,55994	Smad1,Smad2,Nfix,Smad7,Nfic,Nfia,Smad6,Smad3,Nfib,Smad4,Smad9
