TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-5675221	Negative regulation of MAPK pathway	0.000456995158885259	-7.69083776037507	34	3	0.0769230769230769	39	8672	26931,22190,110157	Ppp2r5c,Ubc,Raf1
R-MMU-446652	Interleukin-1 signaling	0.000796586095449936	-7.13517534223985	41	3	0.0769230769230769	39	8672	16177,26965,22190	Il1r1,Cul1,Ubc
R-MMU-209560	NF-kB is activated and signals survival	0.00126428578848286	-6.67324791033061	12	2	0.0512820512820513	39	8672	18049,22190	Ngf,Ubc
R-MMU-209543	p75NTR recruits signalling complexes	0.00126428578848286	-6.67324791033061	12	2	0.0512820512820513	39	8672	18049,22190	Ngf,Ubc
R-MMU-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	0.00148991652173138	-6.50903518627791	13	2	0.0512820512820513	39	8672	22190,26965	Ubc,Cul1
R-MMU-5621481	C-type lectin receptors (CLRs)	0.00179813802971859	-6.32100357740396	117	4	0.102564102564103	39	8672	26965,110157,53859,22190	Cul1,Raf1,Map3k14,Ubc
R-MMU-193639	p75NTR signals via NF-kB	0.00199429626310821	-6.21746404119304	15	2	0.0512820512820513	39	8672	22190,18049	Ubc,Ngf
R-MMU-5676590	NIK-->noncanonical NF-kB signaling	0.00218732421122995	-6.12507630354218	58	3	0.0769230769230769	39	8672	26965,53859,22190	Cul1,Map3k14,Ubc
R-MMU-5607761	Dectin-1 mediated noncanonical NF-kB signaling	0.00218732421122995	-6.12507630354218	58	3	0.0769230769230769	39	8672	53859,26965,22190	Map3k14,Cul1,Ubc
R-MMU-205043	NRIF signals cell death from the nucleus	0.00227273423291168	-6.08677166443586	16	2	0.0512820512820513	39	8672	22190,18049	Ubc,Ngf
R-MMU-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	0.00392127201467558	-5.54133918427672	21	2	0.0512820512820513	39	8672	20602,22190	Ncor2,Ubc
R-MMU-1483196	PI and PC transport between ER and Golgi membranes	0.00449723247228823	-5.4042930775579	1	1	0.0256410256410256	39	8672	56305	Pitpnb
R-MMU-195253	Degradation of beta-catenin by the destruction complex	0.00506923289313788	-5.28456577595514	78	3	0.0769230769230769	39	8672	26931,22190,26965	Ppp2r5c,Ubc,Cul1
R-MMU-5673000	RAF activation	0.00598328737433637	-5.11878513391487	26	2	0.0512820512820513	39	8672	110157,26931	Raf1,Ppp2r5c
R-MMU-2565942	Regulation of PLK1 Activity at G2/M Transition	0.0062325364394526	-5.07797189590052	84	3	0.0769230769230769	39	8672	22190,329251,26965	Ubc,Ppp1r12b,Cul1
R-MMU-5689896	Ovarian tumor domain proteases	0.00691974737426352	-4.97337601662826	28	2	0.0512820512820513	39	8672	19211,22190	Pten,Ubc
R-MMU-1280215	Cytokine Signaling in Immune system	0.00701386807730759	-4.95986593592298	511	7	0.179487179487179	39	8672	26965,66892,16177,110157,22190,26931,53859	Cul1,Eif4e3,Il1r1,Raf1,Ubc,Ppp2r5c,Map3k14
R-MMU-202424	Downstream TCR signaling	0.00708975338253867	-4.94910472288811	88	3	0.0769230769230769	39	8672	19211,26965,22190	Pten,Cul1,Ubc
R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)	0.00821936180490489	-4.80126271223411	179	4	0.102564102564103	39	8672	22190,26931,26965,19211	Ubc,Ppp2r5c,Cul1,Pten
R-MMU-6806003	Regulation of TP53 Expression and Degradation	0.00844047504993158	-4.77471668642133	31	2	0.0512820512820513	39	8672	26931,22190	Ppp2r5c,Ubc
R-MMU-6804757	Regulation of TP53 Degradation	0.00844047504993158	-4.77471668642133	31	2	0.0512820512820513	39	8672	26931,22190	Ppp2r5c,Ubc
R-MMU-5607764	CLEC7A (Dectin-1) signaling	0.00850140355670836	-4.76752400479876	94	3	0.0769230769230769	39	8672	22190,53859,26965	Ubc,Map3k14,Cul1
R-MMU-2672351	Stimuli-sensing channels	0.00875159610300737	-4.73851918347535	95	3	0.0769230769230769	39	8672	22190,63873,110157	Ubc,Trpv4,Raf1
R-MMU-205017	NFG and proNGF binds to p75NTR	0.00897475616402177	-4.71333951333098	2	1	0.0256410256410256	39	8672	18049	Ngf
R-MMU-187015	Activation of TRKA receptors	0.00897475616402177	-4.71333951333098	2	1	0.0256410256410256	39	8672	18049	Ngf
R-MMU-187042	TRKA activation by NGF	0.00897475616402177	-4.71333951333098	2	1	0.0256410256410256	39	8672	18049	Ngf
R-MMU-983712	Ion channel transport	0.00938184434922422	-4.66897890957544	186	4	0.102564102564103	39	8672	22190,14400,63873,110157	Ubc,Gabrb1,Trpv4,Raf1
R-MMU-5668541	TNFR2 non-canonical NF-kB pathway	0.00952808418977372	-4.65351161092979	98	3	0.0769230769230769	39	8672	22190,26965,53859	Ubc,Cul1,Map3k14
R-MMU-69231	Cyclin D associated events in G1	0.01009707111058	-4.59550988624136	34	2	0.0512820512820513	39	8672	22190,26965	Ubc,Cul1
R-MMU-69236	G1 Phase	0.01009707111058	-4.59550988624136	34	2	0.0512820512820513	39	8672	22190,26965	Ubc,Cul1
R-MMU-202403	TCR signaling	0.0124015055937153	-4.38993739489381	108	3	0.0769230769230769	39	8672	19211,26965,22190	Pten,Cul1,Ubc
R-MMU-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	0.0131498888307549	-4.33134197432909	39	2	0.0512820512820513	39	8672	20602,22190	Ncor2,Ubc
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex	0.0131498888307549	-4.33134197432909	39	2	0.0512820512820513	39	8672	22190,20668	Ubc,Sox13
R-MMU-2454202	Fc epsilon receptor (FCERI) signaling	0.0132985233668921	-4.32010227496387	318	5	0.128205128205128	39	8672	26965,19211,110157,26931,22190	Cul1,Pten,Raf1,Ppp2r5c,Ubc
R-MMU-187037	NGF signalling via TRKA from the plasma membrane	0.0139781476677695	-4.27026004968414	322	5	0.128205128205128	39	8672	22190,26931,18049,110157,19211	Ubc,Ppp2r5c,Ngf,Raf1,Pten
R-MMU-198203	PI3K/AKT activation	0.014005538189547	-4.26830244262234	113	3	0.0769230769230769	39	8672	26931,19211,18049	Ppp2r5c,Pten,Ngf
R-MMU-983705	Signaling by the B Cell Receptor (BCR)	0.0141696712634663	-4.25665142502175	210	4	0.102564102564103	39	8672	26931,22190,26965,19211	Ppp2r5c,Ubc,Cul1,Pten
R-MMU-170984	ARMS-mediated activation	0.016303242176497	-4.11639128441515	219	4	0.102564102564103	39	8672	22190,26931,18049,110157	Ubc,Ppp2r5c,Ngf,Raf1
R-MMU-170968	Frs2-mediated activation	0.016303242176497	-4.11639128441515	219	4	0.102564102564103	39	8672	18049,110157,26931,22190	Ngf,Raf1,Ppp2r5c,Ubc
R-MMU-169893	Prolonged ERK activation events	0.0170571663396798	-4.07118485038175	222	4	0.102564102564103	39	8672	26931,22190,18049,110157	Ppp2r5c,Ubc,Ngf,Raf1
R-MMU-209563	Axonal growth stimulation	0.0178710132939778	-4.02457524778225	4	1	0.0256410256410256	39	8672	18049	Ngf
R-MMU-187687	Signalling to ERKs	0.0183620003887479	-3.9974719460893	227	4	0.102564102564103	39	8672	26931,22190,110157,18049	Ppp2r5c,Ubc,Raf1,Ngf
R-MMU-1638091	Heparan sulfate/heparin (HS-GAG) metabolism	0.0202899098950412	-3.89763156600981	49	2	0.0512820512820513	39	8672	50785,233781	Hs6st1,Xylt1
R-MMU-195721	Signaling by Wnt	0.0214487621728097	-3.84208834283457	238	4	0.102564102564103	39	8672	26965,20668,26931,22190	Cul1,Sox13,Ppp2r5c,Ubc
R-MMU-166187	Mitochondrial Uncoupling Proteins	0.0222899139031193	-3.80362099417059	5	1	0.0256410256410256	39	8672	22229	Ucp3
R-MMU-167827	The proton buffering model	0.0222899139031193	-3.80362099417059	5	1	0.0256410256410256	39	8672	22229	Ucp3
R-MMU-937072	TRAF6 mediated induction of TAK1 complex	0.0222899139031193	-3.80362099417059	5	1	0.0256410256410256	39	8672	22190	Ubc
R-MMU-167826	The fatty acid cycling model	0.0222899139031193	-3.80362099417059	5	1	0.0256410256410256	39	8672	22229	Ucp3
R-MMU-112314	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	0.0228554165605938	-3.77856714112984	136	3	0.0769230769230769	39	8672	16522,110157,14400	Kcnj6,Raf1,Gabrb1
