TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF07679	I-set	8.27199831019117e-16	-34.7284853744192	130	108	0.0113839991567408	9487	19276	114872,233199,272381,54631,242050,77739,545156,22253,18488,18007,72333,269784,15530,107250,107449,67703,101434,19649,268890,58916,53311,210801,19268,380698,545428,68802,69675,223435,242702,19289,13176,16542,22174,17968,13508,269116,107448,268902,14183,70530,17930,320747,244682,330222,237403,116904,19266,18213,22329,100042150,235472,16206,237979,320398,170643,235402,319504,75426,233067,66601,170721,22138,18198,12805,107589,545370,12661,192198,68753,16177,68810,109272,269959,74144,13723,20348,269473,14254,320772,17929,60367,225638,18212,26564,19272,11790,16981,211323,16980,241568,278507,242384,235106,238205,19876,53870,16979,330908,26563,117606,74762,116701,17967,80749,233186,57810,14182,14186	Psg29,Mybpc2,Lrrc4b,Nphs1,Igsf10,Adamtsl1,Kalrn,Unc5c,Cntn3,Neo1,Palld,Cntn4,Hspg2,Kazald1,Unc5b,Kirrel3,Ceacam15,Robo3,Lsamp,Myot,Mybph,Unc5d,Ptprf,Obscn,Ccdc141,Mypn,Pxdn,Trio,Myom3,Igdcc3,Dcc,Kdr,Tyro3,Ncam2,Dscam,Nfasc,Unc5a,Robo2,Fgfr2,Lrfn2,Myom2,Lingo4,Cntn5,Sdk1,Lingo3,Alpk3,Ptprd,Ntrk3,Vcam1,Nrg2,Prtg,Lrig1,Sdk2,Lrig3,Kirrel1,Lingo1,Nrcam,Igfbpl1,Lrfn3,Tmigd1,Papln,Ttn,Musk,Cntn1,Mylk,Hmcn1,Chl1,Lrrc4,Mybphl,Il1r1,Nexn,Mybpc1,Adamtsl3,Robo4,Emb,Sema3c,Lrig2,Flt1,Mdga2,Myom1,Il1rapl2,Alpk2,Ntrk2,Ror2,Ptprk,Speg,Lrrn3,Nrg1,Lrrn2,Lrrc4c,Wfikkn2,Lingo2,Ntm,Lrfn5,Robo1,Cntn6,Lrrn1,Opcml,Ror1,Boc,Mdga1,Fgfrl1,Ncam1,Lrfn1,Siglecf,Cdon,Fgfr1,Fgfr4
PF00169	PH	3.93259050726725e-12	-26.2617227450448	185	137	0.0144408137451249	9487	19276	241639,26382,320495,74309,11652,75974,232237,231717,226250,544817,22325,70292,226970,101476,71544,53972,57257,13998,67016,239027,106952,71302,114713,19159,623279,27276,71435,20399,17909,20663,79196,74486,241075,77980,14786,54153,231821,12169,18802,106326,83435,12704,72789,56349,232201,56193,71704,71801,219140,26377,103967,21682,50915,223254,216991,18760,106877,20649,19418,76117,13430,110253,210293,72318,17207,78670,384783,105445,27260,56792,212285,23853,19157,23797,218397,100273,78618,213556,20947,20662,230837,381605,245684,320405,12229,19414,102693,13196,226971,216445,77300,109294,211914,18805,110355,24001,78255,54519,380921,231532,230972,240753,319934,76303,216190,101540,24055,72993,217682,19415,16560,622434,109135,545156,98432,320129,213649,78514,16561,14388,94190,16428,19417,18803,218952,237542,114255,21844,78473,224014,210710,14783,380698,223435,54353,69239,213783	Fermt1,Fgd2,Ipcef1,Osbp2,Akt2,Dock11,Fgd5,Pheta1,Afap1l2,Arhgap27,Vav2,Afap1,Arhgef4,Plekha1,Arhgap42,Ngef,Vav3,Fgd6,Tbc1d2b,Arhgap22,Arap3,Arhgap26,Rasa2,Cyth3,Dok6,Plekhb1,Arhgap21,Sh2b1,Myo10,Sos2,Osbpl5,Osbpl10,Plekhm3,Sbf1,Grb7,Rasa4,Adap1,Bmx,Plcd4,Osbpl11,Plekha3,Cit,Veph1,Net1,Arhgap25,Plek,Arhgef3,Plekhf2,Spata13,Dapp1,Dnm3,Tec,Grb14,Farp1,Adap2,Prkd1,Afap1l1,Sntb1,Rasgrf2,Arhgap15,Dnm2,Triobp,Dock10,Cyth4,Mcf2l,Plekhj1,Irs2,Dock9,Plek2,Stap1,Arap2,Def6,Cyth1,Akt3,Rasa1,Osbpl9,Acap2,Plekhh2,Swap70,Sos1,Asap3,Tbc1d2,Cnksr2,Cadps2,Btk,Rasa3,Phldb1,Asap1,Plekhb2,Arhgap9,Raph1,Prex2,Asap2,Pld1,Grk2,Tiam2,Ralgps2,Apbb1ip,Dgkh,Arhgap24,Arhgef16,Plekha6,Sbf2,Osbp,Appl2,Prkd2,Sh3bp2,Appl1,Plekhd1,Rasal1,Kif1a,Arhgef26,Plekha5,Kalrn,Phlpp1,Grk3,Arhgef19,Arhgap10,Kif1b,Gab1,Ophn1,Itk,Rasgrf1,Plcg1,Fermt2,Osbpl8,Dok4,Tiam1,Skap1,Fgd4,Gab3,Grb10,Obscn,Trio,Skap2,Pdzph1,Plekhg1
PF00041	fn3	3.01825174443575e-09	-19.6185880657536	135	100	0.0105407399599452	9487	19276	16337,12986,13842,13176,19277,19289,19270,242702,19268,380698,13836,12816,19271,53311,18414,16880,19649,73368,329278,18007,269784,208777,18488,545156,21960,233199,54631,68655,12836,319504,235472,12818,19886,237979,13839,19266,13838,94090,218624,19273,319448,330222,70530,17930,244682,21687,268902,19274,13508,269116,17968,22174,320712,13844,17929,78911,21923,17289,74144,20660,109272,246154,68753,12805,107589,270190,12661,22138,72007,399558,233067,19281,268780,12804,17318,57810,237523,545902,17967,80749,117606,330863,16001,13845,16195,53870,13841,19876,13835,19283,81877,26362,22283,19272,16197,320181,16981,13840,16162,13837	Insr,Csf3r,Epha8,Dcc,Ptpro,Igdcc3,Ptprg,Myom3,Ptprf,Obscn,Epha2,Col12a1,Ptprj,Mybph,Osmr,Lifr,Robo3,Col20a1,Tnn,Neo1,Cntn4,Sned1,Cntn3,Kalrn,Tnr,Mybpc2,Nphs1,Fndc1,Col7a1,Nrcam,Prtg,Col14a1,Ros1,Sdk2,Epha5,Ptprd,Epha4,Trim9,Il31ra,Ptpru,Fndc3a,Sdk1,Lrfn2,Myom2,Cntn5,Tek,Robo2,Ptprm,Dscam,Nfasc,Ncam2,Tyro3,Abi3bp,Ephb2,Myom1,Trim42,Tnc,Mertk,Robo4,Sorl1,Mybpc1,Vasn,Mybphl,Cntn1,Mylk,Ephb1,Chl1,Ttn,Fndc3b,Flrt2,Lrfn3,Ptprt,Egflam,Cntfr,Mid1,Cdon,Ptprq,Ptprh,Ncam1,Lrfn1,Boc,Trim67,Igf1r,Ephb3,Il6st,Cntn6,Epha7,Robo1,Epha1,Ptprz1,Tnxb,Axl,Ush2a,Ptprk,Il7r,Fndc7,Lrrn3,Epha6,Il12rb2,Epha3
PF00520	Ion_trans	9.94762129705336e-09	-18.4259323799794	111	84	0.00885422156635396	9487	19276	24046,238271,15165,226025,67498,30952,234129,12288,20192,12289,99738,16508,16512,64177,60613,22066,16538,226922,22064,74096,66733,268345,12287,12790,16535,338370,16531,16490,238076,20269,239556,225865,244886,193034,63873,171382,20271,16500,22063,16491,15168,16439,16536,192775,277328,16504,380728,241794,170738,58226,16502,240595,16485,22068,12286,28240,20272,16494,20274,382571,16492,225997,225030,12290,15166,110862,110876,76856,98741,56543,16440,20191,16510,16493,22065,12788,252972,16511,240444,20190,20264,211468,330953,20273	Scn11a,Kcnh5,Hcn1,Trpm3,Kcnv1,Cngb3,Tpte,Cacna1c,Ryr3,Cacna1d,Kcnc4,Kcnd2,Kcnh3,Trpv6,Kcnq4,Trpc4,Kcns1,Kcnq5,Trpc2,Hvcn1,Kcng4,Kcnc2,Cacna1b,Cnga3,Kcnq1,Nalcn,Kcnma1,Kcna2,Kcns3,Scn3a,Cacna1i,Catsper1,Tmem266,Trpv1,Trpv4,Trpm8,Scn5a,Kcnb1,Trpc1,Kcna3,Hcn3,Itpr2,Kcnq2,Kcnh6,Trpa1,Kcnc3,Kcnh4,Kcng1,Kcnh7,Cacna1h,Kcnc1,Kcnv2,Kcna1,Trpc6,Cacna1a,Trpm2,Scn7a,Kcna6,Scn9a,Kcnf1,Kcna4,Trpm6,Kcng3,Cacna1e,Hcn2,Kcnq3,Scn2a,Catsper3,Kcnb2,Kcnd3,Itpr3,Ryr2,Kcnh1,Kcna5,Trpc3,Cnga1,Tpcn1,Kcnh2,Kcng2,Ryr1,Scn10a,Kcnh8,Hcn4,Scn8a
PF01391	Collagen	1.40373442998468e-08	-18.0815446086729	74	60	0.00632444397596711	9487	19276	237759,71693,12822,12826,20288,665033,12816,12814,12839,140703,12824,382864,12835,12831,73368,245026,329941,107581,17194,12840,71145,12837,227580,12830,12823,23829,12836,12832,140709,235379,12834,12828,94216,53867,69183,12818,12842,17195,56745,109323,69700,12827,68553,320924,12843,12817,12259,140792,71355,239447,77018,81799,12833,229389,12821,20390,12825,373864,14134,219151	Col23a1,Colec11,Col18a1,Col4a1,Msr1,Col6a5,Col12a1,Col11a1,Col9a1,Emid1,Col2a1,Colq,Col6a3,Col5a1,Col20a1,Col6a6,Col8a2,Col16a1,Mbl1,Col9a2,Scara5,Col8a1,C1ql3,Col4a5,Col19a1,C1ql1,Col7a1,Col5a2,Col26a1,Gldn,Col6a2,Col4a3,Col4a6,Col5a3,C1qtnf2,Col14a1,Col1a1,Mbl2,C1qtnf1,C1qtnf7,Col22a1,Col4a2,Col6a4,Ccbe1,Col1a2,Col13a1,C1qa,Colec12,Col24a1,Colec10,Col25a1,C1qtnf3,Col6a1,Otol1,Col17a1,Sftpd,Col3a1,Col27a1,Fcnb,Scara3
PF02210	Laminin_G_2	6.88463404366327e-08	-16.491388765884	36	33	0.00347844418678191	9487	19276	20564,329628,268780,121021,270120,14456,620292,338352,20562,241324,22283,66797,170571,16774,54003,12614,21825,16776,16772,12831,245827,241175,12814,53321,18190,16773,18191,14107,170788,238680,636808,16775,18189	Slit3,Fat4,Egflam,Cspg4,Fat3,Gas6,Cntnap5c,Nell1,Slit1,Crb2,Ush2a,Cntnap2,Cntnap4,Lama3,Nell2,Celsr1,Thbs1,Lama5,Lama1,Col5a1,Fat2,Cntnap5b,Col11a1,Cntnap1,Nrxn2,Lama2,Nrxn3,Fat1,Crb1,Cntnap3,Cntnap5a,Lama4,Nrxn1
PF07714	PK_Tyr_Ser-Thr	7.88697555160362e-08	-16.355468009376	127	92	0.00969748076314957	9487	19276	17289,14254,21682,110542,65964,14360,11302,20963,13844,54721,12169,13866,22165,11477,18198,22637,16451,270190,51789,71751,14191,109880,16001,26563,17295,18596,234878,26409,14186,14182,14302,74568,16590,230661,12978,26362,12143,73707,13837,18212,13840,26564,16886,19229,13845,17005,13841,16453,13869,18160,13835,13649,23920,11482,11350,26404,18211,14083,12167,13842,16885,16337,243659,13836,12305,14917,16706,231876,20187,16428,11682,435766,333050,18213,13838,83560,15162,13839,12988,12229,20779,16452,14158,17096,19886,18214,16542,22174,21813,192656,21687,14183	Mertk,Flt1,Tec,Amhr2,Map3k20,Fyn,Aatk,Syk,Ephb2,Tyk2,Bmx,Erbb2,Txk,Acvr1,Musk,Zap70,Jak1,Ephb1,Tnk2,Map3k13,Fgr,Braf,Igf1r,Ror1,Met,Pdgfrb,Map3k21,Map3k7,Fgfr4,Fgfr1,Frk,Mlkl,Kit,Tesk2,Csf1r,Axl,Blk,Gucy2g,Epha3,Ntrk2,Epha6,Ror2,Limk2,Ptk2b,Ephb3,Ltk,Epha7,Jak3,Erbb4,Npr1,Epha1,Egfr,Insrr,Acvrl1,Abl1,Map3k12,Ntrk1,Ptk2,Bmpr1b,Epha8,Limk1,Insr,Styk1,Epha2,Ddr1,Gucy2c,Ksr1,Lmtk2,Ryk,Itk,Alk,Tnni3k,Ksr2,Ntrk3,Epha4,Tex14,Hck,Epha5,Csk,Btk,Src,Jak2,Fer,Lyn,Ros1,Ddr2,Kdr,Tyro3,Tgfbr2,Ripk2,Tek,Fgfr2
PF00018	SH3_1	3.62230301119582e-06	-12.5284005434722	107	76	0.00801096236955834	9487	19276	11350,20404,14270,14269,17444,117600,18803,99662,78473,21682,19200,234779,94176,27059,23859,234214,14360,17972,17974,330662,16443,223435,53310,54353,66616,52906,14784,22165,622434,20403,20491,13383,12929,21981,71972,98402,20411,71893,237611,16428,56324,219140,269016,545156,17973,12488,225608,14191,15162,216445,12988,12229,20409,20779,237353,59009,230972,20408,14302,17096,13860,71602,12143,14218,17969,20405,17970,15163,268396,329165,20844,53972,207278,226970,259302,218397	Abl1,Sh3gl2,Srgap2,Fnbp1,Grap2,Srgap1,Plcg1,Eps8l3,Skap1,Tec,Pstpip1,Plcg2,Dock2,Sh3d19,Dlg2,Sorbs2,Fyn,Ncf4,Nck2,Dock1,Itsn1,Trio,Dlg3,Skap2,Snx9,Ahi1,Grb2,Txk,Arhgef26,Itsn2,Sla,Dlg1,Crkl,Ppp1r13b,Dnmbp,Sh3bp4,Sorbs1,Noxo1,Stac3,Itk,Stam2,Spata13,Sh3rf2,Kalrn,Nck1,Cd2ap,Sh3tc2,Fgr,Hck,Arhgap9,Csk,Btk,Ostf1,Src,Sh3rf3,Sh3rf1,Arhgef16,Sh3gl3,Frk,Lyn,Eps8,Myo1e,Blk,Sh3pxd2a,Ncf1,Sh3gl1,Ncf2,Hcls1,Sh3pxd2b,Abi2,Stam,Ngef,Fchsd2,Arhgef4,Srgap3,Rasa1
PF00090	TSP_1	4.06227857038922e-06	-12.4137665175443	54	43	0.00453251818277643	9487	19276	107448,233744,235130,330267,210933,20357,208936,109828,192199,56229,239337,12274,216725,21826,224697,230775,229595,319909,170721,77739,210417,68709,110382,30806,20356,21825,22253,545370,210801,101401,230558,12279,23794,240322,108154,107449,66548,233332,269959,330119,107831,217738,223838	Unc5a,Spon1,Adamts15,Thsd7a,Adgrb3,Sema5b,Adamts18,C7,Rspo1,Thsd1,Adamts12,C6,Adamts2,Thbs2,Adamts10,Adgrb2,Adamtsl4,Ism1,Papln,Adamtsl1,Thsd7b,Cilp2,C8b,Adamts8,Sema5a,Thbs1,Unc5c,Hmcn1,Unc5d,Adamts9,C8a,C9,Adamts5,Adamts19,Adamts6,Unc5b,Adamtsl5,Adamts17,Adamtsl3,Adamts3,Adgrb1,Ism2,Adamts20
PF00017	SH2	4.28817238445884e-06	-12.3596499334043	99	71	0.00748392537156108	9487	19276	18803,209039,20418,21682,50915,108699,11350,19247,16331,14783,17444,20963,17974,27371,12703,18708,217169,16822,234779,27278,14360,12929,20849,22637,20848,14786,22165,24055,12169,14784,21961,20491,216233,214547,17973,16428,54607,71130,12702,26377,12700,69993,271849,12229,12988,230126,14191,20399,15162,14302,17060,17096,20779,16452,328381,56468,14158,20850,545378,56792,12143,77799,192157,29815,72281,22325,218397,57257,319939,20851,20846	Plcg1,Tns2,Shc3,Tec,Grb14,Chn1,Abl1,Ptpn11,Inpp5d,Grb10,Grap2,Syk,Nck2,Sh2d2a,Socs1,Pik3r1,Tns4,Lcp2,Plcg2,Clnk,Fyn,Crkl,Stat4,Zap70,Stat3,Grb7,Txk,Sh3bp2,Bmx,Grb2,Tns1,Sla,Socs2,She,Nck1,Itk,Socs6,Sh2d6,Socs3,Dapp1,Cish,Chn2,Shc4,Btk,Csk,Shb,Fgr,Sh2b1,Hck,Frk,Blnk,Lyn,Src,Jak2,Sh2d4b,Socs5,Fer,Stat5a,Sh2d1b2,Stap1,Blk,Sla2,Socs7,Bcar3,Sh2d4a,Vav2,Rasa1,Vav3,Tns3,Stat5b,Stat1
