TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00109	TYRKINASE	4.00120402109852e-08	-17.0340854228508	97	74	0.0236497283477149	3129	6344	13844,13842,59125,13840,20963,22165,16885,231876,14302,270190,13866,16886,59126,18211,230661,26409,14360,13845,21682,12143,12305,51789,54721,26564,18198,12169,16452,14191,65964,234878,18213,13836,14186,17295,14158,17289,13835,14182,17096,14083,17005,19229,243659,13837,13869,13649,12988,14183,13841,26362,19886,12229,15162,23920,26404,18214,11302,22637,18212,26563,22174,11350,16453,11682,71751,16451,13839,16001,13838,20187,21687,20779,16428,16337	Ephb2,Epha8,Nek7,Epha6,Syk,Txk,Limk1,Lmtk2,Frk,Ephb1,Erbb2,Limk2,Nek6,Ntrk1,Tesk2,Map3k7,Fyn,Ephb3,Tec,Blk,Ddr1,Tnk2,Tyk2,Ror2,Musk,Bmx,Jak2,Fgr,Map3k20,Map3k21,Ntrk3,Epha2,Fgfr4,Met,Fer,Mertk,Epha1,Fgfr1,Lyn,Ptk2,Ltk,Ptk2b,Styk1,Epha3,Erbb4,Egfr,Csk,Fgfr2,Epha7,Axl,Ros1,Btk,Hck,Insrr,Map3k12,Ddr2,Aatk,Zap70,Ntrk2,Ror1,Tyro3,Abl1,Jak3,Alk,Map3k13,Jak1,Epha5,Igf1r,Epha4,Ryk,Tek,Src,Itk,Insr
PR00169	KCHANNEL	1.31914486951597e-05	-11.2359417644262	34	29	0.00926813678491531	3129	6344	16490,16491,16531,241794,16494,98741,226922,225030,16485,16492,16536,110862,66733,16538,99738,67498,56543,240595,16535,382571,60613,16502,16504,16500,240444,16508,238076,268345,16493	Kcna2,Kcna3,Kcnma1,Kcng1,Kcna6,Kcnb2,Kcnq5,Kcng3,Kcna1,Kcna4,Kcnq2,Kcnq3,Kcng4,Kcns1,Kcnc4,Kcnv1,Kcnd3,Kcnv2,Kcnq1,Kcnf1,Kcnq4,Kcnc1,Kcnc3,Kcnb1,Kcng2,Kcnd2,Kcns3,Kcnc2,Kcna5
PR00014	FNTYPEIII	4.00354044391706e-05	-10.1257463843508	32	27	0.00862895493767977	3129	6344	17929,22138,19266,545156,19268,13839,18007,53311,13838,237979,330222,319448,68753,233199,242702,72007,17930,13845,13844,13837,13842,13176,13840,13841,109272,270190,19273	Myom1,Ttn,Ptprd,Kalrn,Ptprf,Epha5,Neo1,Mybph,Epha4,Sdk2,Sdk1,Fndc3a,Mybphl,Mybpc2,Myom3,Fndc3b,Myom2,Ephb3,Ephb2,Epha3,Epha8,Dcc,Epha6,Epha7,Mybpc1,Ephb1,Ptpru
PR00249	GPCRSECRETIN	6.2068357595482e-05	-9.68727423840947	40	32	0.0102269095557686	3129	6344	99633,319387,13733,93896,77596,54672,12614,14652,330814,243277,107831,52614,230775,319229,54598,382045,381628,26364,435529,224792,239853,215798,12311,210933,381853,213527,11517,14527,12922,170757,14766,12921	Adgrl2,Adgrl3,Adgre1,Glp2r,Adgrf1,Adgrg3,Celsr1,Glp1r,Adgrl1,Adgrd1,Adgrb1,Adgre4,Adgrb2,Sctr,Calcrl,Adgrg5,Adgrf3,Adgre5,Adgrf2,Adgrf5,Adgrg7,Adgrg6,Calcr,Adgrb3,Gipr,Pth2r,Adcyap1r1,Gcgr,Crhr2,Adgrl4,Adgrg1,Crhr1
PR01491	KVCHANNEL	0.000115859795037123	-9.06312976135378	27	23	0.00735059124320869	3129	6344	66733,16538,16490,16491,98741,16494,241794,16485,225030,16492,240595,56543,67498,99738,382571,16508,240444,238076,268345,16493,16502,16504,16500	Kcng4,Kcns1,Kcna2,Kcna3,Kcnb2,Kcna6,Kcng1,Kcna1,Kcng3,Kcna4,Kcnv2,Kcnd3,Kcnv1,Kcnc4,Kcnf1,Kcnd2,Kcng2,Kcns3,Kcnc2,Kcna5,Kcnc1,Kcnc3,Kcnb1
PR00452	SH3DOMAIN	0.000343141642579647	-7.97736724391235	87	59	0.0188558644934484	3129	6344	16796,54353,22325,237353,20779,21981,19200,329416,231760,20408,58194,20409,20403,57257,20840,20844,17973,16443,15162,52906,12229,259302,74103,15163,56324,20405,17970,218038,17096,17444,17974,17972,59009,17969,333654,329165,75739,14191,20411,234878,20404,234214,71602,27059,14360,237611,269016,24057,21682,78473,12143,12929,23969,13196,207278,14302,12488,14784,18803	Lasp1,Skap2,Vav2,Sh3rf3,Src,Ppp1r13b,Pstpip1,Nostrin,Rimbp2,Sh3gl3,Sh3kbp1,Ostf1,Itsn2,Vav3,Stac,Stam,Nck1,Itsn1,Hck,Ahi1,Btk,Srgap3,Nebl,Hcls1,Stam2,Sh3gl1,Ncf2,Amph,Lyn,Grap2,Nck2,Ncf4,Sh3rf1,Ncf1,Ppp1r13l,Abi2,Mpp7,Fgr,Sorbs1,Map3k21,Sh3gl2,Sorbs2,Myo1e,Sh3d19,Fyn,Stac3,Sh3rf2,Sh3yl1,Tec,Skap1,Blk,Crkl,Pacsin1,Asap1,Fchsd2,Frk,Cd2ap,Grb2,Plcg1
PR00205	CADHERIN	0.000561028168628741	-7.4857394422427	116	75	0.0239693192713327	3129	6344	353236,93889,93713,93888,65945,12561,12939,12614,211924,215654,211712,245827,75599,93890,192163,93717,12558,381409,219257,320873,12941,14107,353234,93722,116731,93724,73173,93704,68764,93702,93700,64085,232370,12563,12557,93883,13506,353237,241201,11994,93706,93877,12936,93884,329628,227485,18526,93880,12560,93703,12562,12555,12550,93876,320865,12554,12552,13507,12565,93885,93699,93872,22295,93893,18530,93715,54216,53601,12942,23836,270120,104010,93710,13510,192164	Pcdhac1,Pcdhb18,Pcdhga5,Pcdhb17,Clstn1,Cdh4,Pcdha7,Celsr1,Dsg1c,Cdh12,Pcdh9,Fat2,Pcdh1,Pcdhb19,Pcdha3,Pcdhga9,Cdh2,Cdh26,Pcdh20,Cdh10,Pcdha5,Fat1,Pcdha2,Pcdhga10,Pcdha1,Pcdhga12,Pcdh18,Pcdhgb7,Cdhr3,Pcdhgb5,Pcdhgb2,Clstn2,Clstn3,Cdh6,Cdh17,Pcdhb12,Dsc2,Pcdhac2,Cdh7,Pcdh15,Pcdhgc3,Pcdhb6,Pcdha4,Pcdhb13,Fat4,Cdh19,Pcdh10,Pcdhb9,Cdh3,Pcdhgb6,Cdh5,Cdh15,Cdh1,Pcdhb5,Cdh18,Cdh13,Cdh11,Dsc3,Cdh9,Pcdhb14,Pcdhgb1,Pcdhb1,Cdh23,Pcdhb22,Pcdh8,Pcdhga7,Pcdh7,Pcdh12,Pcdha11,Cdh20,Fat3,Cdh22,Pcdhga2,Dsg1a,Pcdha12
PR00401	SH2DOMAIN	0.000578338525485154	-7.4553511765076	71	49	0.0156599552572707	3129	6344	19247,14360,21682,12929,12143,230126,77799,20963,22165,14302,18708,14786,14784,18803,216233,14158,17096,17444,17974,545378,72281,14191,12169,271849,328381,20418,71130,214547,57257,22637,218397,16331,27278,11350,12988,50915,17973,12700,27371,15162,12229,14783,20491,22325,20399,16428,20779,26377,234779	Ptpn11,Fyn,Tec,Crkl,Blk,Shb,Sla2,Syk,Txk,Frk,Pik3r1,Grb7,Grb2,Plcg1,Socs2,Fer,Lyn,Grap2,Nck2,Sh2d1b2,Sh2d4a,Fgr,Bmx,Shc4,Sh2d4b,Shc3,Sh2d6,She,Vav3,Zap70,Rasa1,Inpp5d,Clnk,Abl1,Csk,Grb14,Nck1,Cish,Sh2d2a,Hck,Btk,Grb10,Sla,Vav2,Sh2b1,Itk,Src,Dapp1,Plcg2
PR00119	CATATPASE	0.000948480842022025	-6.96064896697767	37	28	0.00894854586129754	3129	6344	76295,54667,67331,320571,11941,50769,231287,50771,381290,11979,319767,11937,11928,50770,11982,53313,27222,11981,69047,11980,224079,268878,192113,232975,54670,67972,241633,235574	Atp11b,Atp8b2,Atp8b3,Atp8b5,Atp2b2,Atp8a2,Atp10d,Atp9b,Atp2b4,Atp7b,Atp10b,Atp2a1,Atp1a1,Atp11a,Atp10a,Atp2a3,Atp1a4,Atp9a,Atp2c2,Atp8a1,Atp13a4,Atp13a5,Atp12a,Atp1a3,Atp8b1,Atp2b1,Atp8b4,Atp2c1
PR01463	EAGCHANLFMLY	0.00145438459770123	-6.53317242473655	13	12	0.00383509108341323	3129	6344	330953,211468,15165,170738,380728,16511,15166,16510,16512,238271,15168,192775	Hcn4,Kcnh8,Hcn1,Kcnh7,Kcnh4,Kcnh2,Hcn2,Kcnh1,Kcnh3,Kcnh5,Hcn3,Kcnh6
