TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	7.86682914433063e-14	-30.1735362248261	237	175	0.025818825612275	6778	13465	106877,353047,27260,213649,110355,57257,16370,237542,78255,19878,212285,218952,380698,320405,75547,230972,27276,18802,21844,56792,54353,226751,226250,622434,13196,64291,71240,72789,83435,16443,103967,98432,24055,213783,240753,11652,71720,216445,12704,101476,16369,75974,213556,210293,102693,211914,241075,320129,54153,224014,77980,241639,234353,100273,72993,106952,14786,224860,24001,94190,76303,102098,226970,12229,80297,226971,69239,20947,18805,71544,71704,230837,14783,16560,20403,109934,18760,347722,106326,213522,18803,19417,277360,19157,56349,78514,17207,79196,18799,216991,56193,13430,217682,50915,109135,20741,110596,110253,227737,71435,223435,545156,21682,54519,71801,74486,20662,26382,67016,109294,231717,234779,268534,231821,78670,12169,78473,269615,226245,14388,20742,232201,74309,105445,23853,110279,17909,381605,231532,20663,232237,69601,219140,380921,53972,217866,74002,19418,245684,99031,239027,19159,227120,69632,72318,16561,26377,223254,319934,320495,71302,16800,544817,102075,19415,20649,384783,23797,216190,114713,269437,16428,13998,78618,231134,76117,71096,77300,101540,19414,22325,215632,70292,218397,210710	Afap1l1,Plekhm1,Plek2,Arhgef19,Grk2,Vav3,Irs4,Osbpl8,Ralgps2,Rock2,Arap2,Fermt2,Obscn,Cadps2,Akap13,Arhgef16,Plekhb1,Plcd4,Tiam1,Stap1,Skap2,Cdc42bpa,Afap1l2,Arhgef26,Asap1,Osbpl1a,Osbpl7,Veph1,Plekha3,Itsn1,Dnm3,Phlpp1,Sh3bp2,Plekhg1,Plekha6,Akt2,Osbpl3,Arhgap9,Cit,Plekha1,Irs3,Dock11,Plekhh2,Dock10,Phldb1,Asap2,Plekhm3,Grk3,Rasa4,Fgd4,Sbf1,Fermt1,Psd3,Osbpl9,Appl1,Arap3,Grb7,Plcl2,Tiam2,Ophn1,Osbp,Arhgef18,Arhgef4,Btk,Sptbn4,Plekhb2,Pdzph1,Swap70,Pld1,Arhgap42,Arhgef3,Asap3,Grb10,Kif1a,Itsn2,Abr,Prkd1,Agap1,Osbpl11,Plekhg6,Plcg1,Rasgrf1,Prex1,Cyth1,Net1,Arhgap10,Mcf2l,Osbpl5,Plcd1,Adap2,Plek,Dnm2,Plekhd1,Grb14,Plekha5,Sptb,Arhgef28,Triobp,Niban2,Arhgap21,Trio,Kalrn,Tec,Apbb1ip,Plekhf2,Osbpl10,Sos1,Fgd2,Tbc1d2b,Prex2,Pheta1,Plcg2,Sntg2,Adap1,Plekhj1,Bmx,Skap1,Plch2,Plekhs1,Gab1,Sptbn1,Arhgap25,Osbp2,Dock9,Def6,Bcr,Myo10,Tbc1d2,Arhgap24,Sos2,Fgd5,Dab2ip,Spata13,Dgkh,Ngef,Cdc42bpb,Psd2,Rasgrf2,Cnksr2,Osbpl6,Arhgap22,Cyth3,Plcl1,Arhgef12,Cyth4,Kif1b,Dapp1,Farp1,Sbf2,Ipcef1,Arhgap26,Arhgef2,Arhgap27,Plekhg4,Rasal1,Sntb1,Irs2,Akt3,Appl2,Rasa2,Plch1,Itk,Fgd6,Acap2,Dok7,Arhgap15,Sntg1,Raph1,Prkd2,Rasa3,Vav2,Psd4,Afap1,Rasa1,Gab3
PS50835	IG_LIKE	3.23322977151469e-10	-21.8523693630406	457	295	0.0435231631749779	6778	13465	74048,16847,22174,331461,26439,245126,78908,16542,12215,80891,13176,116904,407814,110696,211739,22329,11790,75426,233186,59290,14131,12524,170721,14728,320027,434540,235402,18613,72333,100042150,233274,266815,26438,170643,107527,12950,18566,211323,230622,53870,26362,74144,19289,16178,14012,224754,18596,107448,15007,71687,12483,224761,210801,60533,16423,328833,235281,13508,77739,574429,140559,16160,12477,72242,14182,72058,16981,117606,630146,68395,26436,224792,320736,19281,399549,68802,272381,235106,12805,108151,17968,58235,83964,72431,237754,60367,320148,229499,235472,27218,106347,107250,58188,19266,94332,26365,223435,545156,12032,12804,12522,54631,101202,14183,270152,101434,105827,320563,435653,269784,632126,239857,14254,242627,237979,18007,271375,12978,268890,53311,241568,233199,278507,54698,213262,68797,330908,320398,547431,52685,19268,70530,14186,668101,17929,21687,12478,12519,242702,71566,230613,22138,74762,52118,11658,17470,26561,667977,13003,16980,68709,68753,22253,384557,19274,66601,12479,380732,15015,16206,20354,16456,330483,12506,15042,235086,224840,269473,26968,117586,18212,18729,269116,16177,18726,238205,328830,70693,246256,107589,230623,382097,244682,751864,54725,18725,330222,207683,16590,233067,239849,19649,18198,319504,14727,276891,15006,620235,192198,58916,14985,224753,242122,67703,17082,15013,75870,12007,21838,18211,11595,20361,230868,15018,14130,225825,380698,73940,110557,57781,545428,243911,20348,328505,58217,26563,57810,17289,26367,16979,19272,74748,237403,242384,268902,320747,15001,20349,80749,14125,12480,13723,329693,17441,109272,16182,67374,114872,228592,70080,17930,171283,225638,116701,14129,12661,19221,242235,13052,320832,277432,15530,69675,58998,19876,14998,243864,75345,208154,57278,269959,320772,84544,545925,68810,238555,15002,242050,15064,26564,240354,320840,17085,110558,98365,107449,16194,17967,18488,12501,18213,100038947,171285,545370,78560	Vsir,Lepr,Tyro3,Il1rapl1,Psg19,Tarm1,Igsf3,Kdr,Bsg,Fcrl2,Dcc,Alpk3,Timd6,H2-M10.3,Vstm2a,Vcam1,Speg,Igfbpl1,Siglecf,Gpa33,Fcgr3,Cd86,Papln,Lilrb4a,Fstl4,Psg20,Lingo1,Pecam1,Palld,Nrg2,Siglech,Mill1,Psg18,Kirrel1,Il1rl2,Hapln1,Pdcd1,Nrg1,Skint6,Cntn6,Axl,Robo4,Igdcc3,Il1r2,Mpzl2,H2-M11,Pdgfrb,Unc5a,H2-Q10,Tmem25,Cd22,H2-M10.5,Unc5d,Cd274,Cd47,Treml2,Scn3b,Dscam,Adamtsl1,Psg26,Igsf8,Il12b,Ctla4,Psg21,Fgfr1,Igsf5,Lrrn3,Boc,Cd101,H2-Q8,Psg16,Adgrf5,Vstm4,Ptprt,H2-M10.6,Mypn,Lrrc4b,Ntm,Cntn1,Sema3d,Ncam2,Nectin1,Jam3,Ceacam18,Btnl9,Il1rapl2,Trem6l,Fcrl1,Prtg,Slamf1,Ildr1,Kazald1,Vstm2b,Ptprd,Cadm3,Ceacam1,Trio,Kalrn,Bcan,Cntfr,Cd83,Nphs1,Hepacam2,Fgfr2,Jaml,Ceacam15,Amigo2,Islr2,Fcrlb,Cntn4,Btnl4,Cadm2,Flt1,Skint5,Sdk2,Neo1,Cd200r2,Csf1r,Lsamp,Mybph,Lrrc4c,Mybpc2,Wfikkn2,Crtam,Fstl5,Pdgfrl,Opcml,Lrig3,Btnl2,Cd300lg,Ptprf,Lrfn2,Fgfr4,Sirpb1b,Myom1,Tek,Cd19,Cd80,Myom3,Clmp,Skint10,Ttn,Mdga1,Pvr,Alcam,Cd200,Mmp23,H2-T26,Vcan,Lrrn2,Cilp2,Mybphl,Unc5c,Ceacam3,Ptprm,Tmigd1,Cd1d1,Milr1,H2-Q4,Lrig1,Sema4d,F11r,Ceacam16,Cd48,H2-T24,Igsf9b,Treml4,Lrig2,Islr,A1bg,Ntrk2,Pira6,Nfasc,Il1r1,Lilra6,Lrfn5,A530064D06Rik,Adgra3,Fcgr4,Mylk,Skint11,Gm1123,Cntn5,Sirpd,Cadm1,Pira2,Sdk1,Igsf11,Kit,Lrfn3,Cd200r4,Robo3,Musk,Nrcam,Lilrb4b,Timd4,H2-Q1,Siglec15,Lrrc4,Myot,H2-M10.1,H2-M10.4,Vtcn1,Kirrel3,Il1rl1,H2-Q2,Tcam1,Azgp1,Thy1,Ntrk1,Acan,Sema7a,Igsf21,H2-Q7,Fcgr2b,Cd226,Obscn,Hapln2,H2-Q6,Cd200r1,Ccdc141,Kirrel2,Sema3c,Skint7,Trem1,Ror1,Cdon,Mertk,Ceacam2,Lrrn1,Ptprk,Slamf8,Lingo3,Lingo2,Robo2,Lingo4,H2-Oa,Sema3e,Lrfn1,Fcer1a,Cd1d2,Emb,Fcrl5,Mog,Mybpc1,Il18r1,Jam2,Psg29,F830045P16Rik,Igsf23,Myom2,Havcr1,Alpk2,Fgfrl1,Fcgr1,Chl1,Ptgfrn,Lrit3,Cxadr,Sirpb1a,Vstm2l,Hspg2,Pxdn,Nectin3,Robo1,H2-DMa,Mill2,Slamf7,Btla,Bcam,Adamtsl3,Mdga2,Cd96,Psg27,Nexn,Btn2a2,H2-Ob,Igsf10,Mr1,Ror2,Malt1,Negr1,Ly9,H2-Q9,Slamf9,Unc5b,Il6ra,Ncam1,Cntn3,Cd3e,Ntrk3,Sirpb1c,Havcr2,Hmcn1,Adgra2
PS50853	FN3	1.00176092901561e-08	-18.4189213635545	190	134	0.0197698436116849	6778	13465	16185,68753,218624,19274,319448,68655,246154,269116,26362,53870,74144,235086,19277,19289,329278,23920,16880,11790,242702,231760,320712,72007,22174,19116,19283,17929,16847,21687,13176,57914,215494,22138,74762,21923,213208,54394,13508,399558,319504,16337,237313,54343,22283,16155,13844,16981,117606,320116,244682,107589,16192,15980,16162,60504,233067,237523,19273,19649,396184,21960,242700,330222,94090,13845,71436,17318,80749,12804,54631,545156,268780,19266,15975,268902,17930,109272,13838,14600,19270,13841,18414,12805,17968,19281,12818,380698,19886,270190,209590,57810,235472,19272,16979,320181,17289,13839,12983,19264,13836,12836,13840,52020,320772,330863,16197,545902,16001,13835,12835,19268,70530,20660,18488,16194,17967,13842,13837,237979,269784,50498,73368,12661,16165,53311,12986,19876,19271,12816,233199,18007,16195,78911,81877,208777	Il2rb,Mybphl,Il31ra,Ptprm,Fndc3a,Fndc1,Vasn,Nfasc,Axl,Cntn6,Robo4,Igsf9b,Ptpro,Igdcc3,Tnn,Insrr,Lifr,Speg,Myom3,Rimbp2,Abi3bp,Fndc3b,Tyro3,Prlr,Ptprz1,Myom1,Lepr,Tek,Dcc,Crlf2,Pomgnt2,Ttn,Mdga1,Tnc,Il20rb,Crlf3,Dscam,Flrt2,Nrcam,Insr,Il20ra,Atf7ip,Ush2a,Il10rb,Ephb2,Lrrn3,Boc,Fndc9,Cntn5,Mylk,Il5ra,Ifngr2,Il12rb2,Il21r,Lrfn3,Ptprq,Ptpru,Robo3,Flrt1,Tnr,Ifnlr1,Sdk1,Trim9,Ephb3,Flrt3,Mid1,Lrfn1,Cntfr,Nphs1,Kalrn,Egflam,Ptprd,Ifnar1,Robo2,Myom2,Mybpc1,Epha4,Ghr,Ptprg,Epha7,Osmr,Cntn1,Ncam2,Ptprt,Col14a1,Obscn,Ros1,Ephb1,Il23r,Cdon,Prtg,Ptprk,Lrrn1,Fndc7,Mertk,Epha5,Csf2rb,Ptprc,Epha2,Col7a1,Epha6,Umodl1,Mdga2,Trim67,Il7r,Ptprh,Igf1r,Epha1,Col6a3,Ptprf,Lrfn2,Sorl1,Cntn3,Il6ra,Ncam1,Epha8,Epha3,Sdk2,Cntn4,Ebi3,Col20a1,Chl1,Il13ra2,Mybph,Csf3r,Robo1,Ptprj,Col12a1,Mybpc2,Neo1,Il6st,Trim42,Tnxb,Sned1
PS00109	PROTEIN_KINASE_TYR	1.75846289264444e-08	-17.8562406729523	96	75	0.0110652109766893	6778	13465	14182,13844,230661,19229,16428,18213,18211,14158,16001,16451,13835,14302,16453,674895,14186,13840,16337,14360,243659,26564,13836,14083,22637,13845,12978,20779,16590,18198,13869,76367,381406,12305,14254,14191,13842,13837,12169,14183,13838,26362,18212,18596,12229,16452,231876,17005,20963,20187,13866,11302,21682,51789,22138,13649,13839,244418,26563,22165,17096,11682,17289,18214,22174,380698,12988,19886,270190,21687,16542,15162,23920,13841,54721,17295,11350	Fgfr1,Ephb2,Tesk2,Ptk2b,Itk,Ntrk3,Ntrk1,Fer,Igf1r,Jak1,Epha1,Frk,Jak3,Nek10,Fgfr4,Epha6,Insr,Fyn,Styk1,Ror2,Epha2,Ptk2,Zap70,Ephb3,Csf1r,Src,Kit,Musk,Erbb4,Trp53rkb,Trp53rka,Ddr1,Flt1,Fgr,Epha8,Epha3,Bmx,Fgfr2,Epha4,Axl,Ntrk2,Pdgfrb,Btk,Jak2,Lmtk2,Ltk,Syk,Ryk,Erbb2,Aatk,Tec,Tnk2,Ttn,Egfr,Epha5,Prag1,Ror1,Txk,Lyn,Alk,Mertk,Ddr2,Tyro3,Obscn,Csk,Ros1,Ephb1,Tek,Kdr,Hck,Insrr,Epha7,Tyk2,Met,Abl1
PS50026	EGF_3	5.46067842218133e-08	-16.7231077087676	200	138	0.0203599881971083	6778	13465	12153,192188,56622,23963,21826,280667,140474,17063,245827,20562,13388,21825,12845,14725,64817,216616,620292,83961,227325,338352,11839,64706,80883,21824,13389,13612,11499,268977,21892,13645,270120,18792,11990,238680,230157,19128,329628,12223,23966,21687,13386,11496,240675,634731,20339,19123,16998,100042150,13003,19225,23965,11495,22359,21923,14068,77446,211323,241324,66797,16971,19699,23793,70417,11497,246154,94217,636808,17064,17182,18791,23964,75740,18191,13733,18074,12614,214058,15200,18129,18419,56363,320924,226255,208777,15530,21802,54426,269878,20564,52020,23792,22635,545370,24117,14115,16975,14456,102635496,106565,26364,14107,11492,238405,53321,17304,384813,18189,71078,16449,20563,56788,110751,14119,170757,71768,382007,13522,224024,12032,15245,170788,241175,73182,23876,171171,18190,353156,13874,268780,11488,226243,71920,238406,54003,17288,14118,170571,24087	Bmp1,Stab2,Adam21,Tenm1,Thbs2,Adam1b,Muc4,Muc13,Fat2,Slit1,Dll1,Thbs1,Comp,Lrp2,Svep1,Efemp1,Cntnap5c,Nrg4,Dner,Nell1,Areg,Scube1,Ntng1,Thbd,Dll3,Edil3,Adam5,Ltbp1,Tll1,Egf,Fat3,Plau,Atrn,Cntnap3,Tmeff1,Pros1,Fat4,Btc,Tenm4,Tek,Dlk1,Adam22,Vwa2,Susd1,Sele,Proc,Ltbp3,Nrg2,Vcan,Ptgs2,Tenm3,Adam2,Vldlr,Tnc,F7,Heg1,Nrg1,Crb2,Cntnap2,Lrp1,Reln,Adam25,Megf10,Adam3,Vasn,Lrp1b,Cntnap5a,Cd93,Matn3,Plat,Tenm2,Egfem1,Nrxn3,Adgre1,Nid2,Celsr1,Megf11,Hbegf,Notch2,Otog,Tmeff2,Ccbe1,Atrnl1,Sned1,Hspg2,Tgfa,Hgfac,Megf8,Slit3,Umodl1,Adam23,Zan,Hmcn1,Wif1,Fbln2,Lrp8,Gas6,Malrd1,Dlk2,Adgre5,Fat1,Adam19,Adam6b,Cntnap1,Mfge8,Adam34l,Nrxn1,Adam30,Jag1,Slit2,Scube2,Adam33,Fbn2,Adgrl4,Vwce,Adam26b,Adam28,Scarf2,Bcan,Hhip,Crb1,Cntnap5b,Pear1,Fbln5,Ntng2,Nrxn2,Egfl7,Ereg,Egflam,Adam11,Habp2,Epgn,Adam6a,Nell2,Mep1b,Fbn1,Cntnap4,Tll2
PS01186	EGF_2	2.05915559411367e-07	-15.3957996579612	213	144	0.0212452050752434	6778	13465	226255,81877,208777,15530,16773,21802,16974,13733,18074,75740,13842,18129,15200,214058,12614,320924,56363,13835,24117,545370,14115,14456,16975,20660,17175,23928,320910,54426,13836,110382,20564,269878,16779,22635,56788,20563,16449,27426,16776,13839,110751,71768,14119,77042,170757,106565,70445,102635496,16420,238405,11492,13841,14107,270190,17304,71078,226243,238406,71920,16777,54003,24087,14118,15245,12032,224024,16774,13522,170788,353156,171171,73182,23876,268780,13874,20562,21825,13388,14725,21960,12845,192188,12153,21826,23963,56622,16414,280667,245827,17063,66864,13612,11499,16416,13389,21824,13645,268977,21892,11990,270120,216616,64817,16415,338352,227325,64706,16780,100042150,19123,16998,17180,13003,22359,21923,16772,23965,77446,19128,230157,329278,12223,329628,16419,21687,13386,23966,20339,634731,240675,94217,246154,17064,223272,23964,18791,17182,241324,211323,16971,19699,70417,11497,23793	Atrnl1,Tnxb,Sned1,Hspg2,Lama2,Tgfa,Lrp6,Adgre1,Nid2,Egfem1,Epha8,Notch2,Hbegf,Megf11,Celsr1,Ccbe1,Tmeff2,Epha1,Wif1,Hmcn1,Fbln2,Gas6,Lrp8,Sorl1,Masp2,Lamc3,Itgb8,Hgfac,Epha2,C8b,Slit3,Megf8,Lamb2,Zan,Scube2,Slit2,Jag1,Nagpa,Lama5,Epha5,Adam33,Vwce,Fbn2,Hyal4,Adgrl4,Dlk2,Cd248,Malrd1,Itgb6,Adam6b,Adam19,Epha7,Fat1,Ephb1,Mfge8,Adam30,Habp2,Adam6a,Epgn,Lamb1,Nell2,Tll2,Fbn1,Hhip,Bcan,Scarf2,Lama3,Adam28,Crb1,Egfl7,Ntng2,Pear1,Fbln5,Egflam,Ereg,Slit1,Thbs1,Dll1,Lrp2,Tnr,Comp,Stab2,Bmp1,Thbs2,Tenm1,Adam21,Itgb2,Adam1b,Fat2,Muc13,Clec14a,Edil3,Adam5,Itgb3,Dll3,Thbd,Egf,Ltbp1,Tll1,Atrn,Fat3,Efemp1,Svep1,Itgb2l,Nell1,Dner,Scube1,Lamb3,Nrg2,Proc,Ltbp3,Matn1,Vcan,Vldlr,Tnc,Lama1,Tenm3,Heg1,Pros1,Tmeff1,Tnn,Btc,Fat4,Itgb5,Tek,Dlk1,Tenm4,Sele,Susd1,Vwa2,Lrp1b,Vasn,Cd93,Itgbl1,Tenm2,Plat,Matn3,Crb2,Nrg1,Lrp1,Reln,Megf10,Adam3,Adam25
PS00022	EGF_1	4.22610620606617e-07	-14.6768146004981	164	114	0.0168191206845677	6778	13465	23928,16412,320910,14456,24117,23792,22635,16779,269878,20564,110382,54426,21802,208777,15530,16773,81877,226255,56363,214058,15200,12614,18129,75740,14118,54003,16777,226243,71920,13874,11488,268780,73182,353156,171171,170788,16774,12032,15245,224024,71768,77042,14119,27426,16776,16449,20563,17304,14107,18209,16775,16420,106565,102635496,18792,270120,11990,268977,13645,80883,13389,22283,13612,16416,11839,16780,227325,338352,83961,64817,16415,14725,21960,13388,20562,140474,245827,16414,16782,23963,192188,23964,18791,230558,223272,246154,94217,70417,12279,19699,16971,241324,211323,14068,77446,16772,23965,21923,13003,19123,16998,100042150,240675,20339,21687,13386,23966,16419,11496,329628,329278,12223,19128,230157	Lamc3,Itgb1,Itgb8,Gas6,Wif1,Adam23,Zan,Lamb2,Megf8,Slit3,C8b,Hgfac,Tgfa,Sned1,Hspg2,Lama2,Tnxb,Atrnl1,Tmeff2,Megf11,Hbegf,Celsr1,Notch2,Egfem1,Fbn1,Nell2,Lamb1,Habp2,Epgn,Ereg,Adam11,Egflam,Pear1,Egfl7,Ntng2,Crb1,Lama3,Bcan,Hhip,Scarf2,Vwce,Hyal4,Fbn2,Nagpa,Lama5,Jag1,Slit2,Mfge8,Fat1,Ntn3,Lama4,Itgb6,Dlk2,Malrd1,Plau,Fat3,Atrn,Ltbp1,Egf,Ntng1,Dll3,Ush2a,Edil3,Itgb3,Areg,Lamb3,Dner,Nell1,Nrg4,Svep1,Itgb2l,Lrp2,Tnr,Dll1,Slit1,Muc4,Fat2,Itgb2,Lamc2,Tenm1,Stab2,Tenm2,Plat,C8a,Itgbl1,Vasn,Lrp1b,Megf10,C9,Reln,Lrp1,Crb2,Nrg1,F7,Heg1,Lama1,Tenm3,Tnc,Vcan,Proc,Ltbp3,Nrg2,Vwa2,Sele,Tek,Dlk1,Tenm4,Itgb5,Adam22,Fat4,Tnn,Btc,Pros1,Tmeff1
PS50025	LAM_G_DOMAIN	6.40653029377357e-07	-14.2607778224024	37	33	0.00486869282974329	6778	13465	636808,22283,238680,270120,14456,170571,620292,170788,66797,241324,121021,16774,268780,338352,20564,18190,241175,16776,20562,20563,16772,15530,16773,16775,53321,14107,329628,18191,19128,245827,18189,53867,12614	Cntnap5a,Ush2a,Cntnap3,Fat3,Gas6,Cntnap4,Cntnap5c,Crb1,Cntnap2,Crb2,Cspg4,Lama3,Egflam,Nell1,Slit3,Nrxn2,Cntnap5b,Lama5,Slit1,Slit2,Lama1,Hspg2,Lama2,Lama4,Cntnap1,Fat1,Fat4,Nrxn3,Pros1,Fat2,Nrxn1,Col5a3,Celsr1
PS50092	TSP1	7.21904840954271e-07	-14.1413725059722	65	52	0.00767187961050457	6778	13465	235130,230558,223838,101401,107448,210417,233332,239337,226866,217738,228770,12279,192199,22253,20357,330119,327743,107831,216725,233744,230775,224697,229595,16007,18133,68709,239405,170721,20356,330267,319909,30806,109828,107449,72780,545370,66548,269959,210933,108154,77739,12274,110382,21825,240322,56229,100689,23794,210801,21826,14219,208936	Adamts15,C8a,Adamts20,Adamts9,Unc5a,Thsd7b,Adamts17,Adamts12,Sbspon,Ism2,Rspo4,C9,Rspo1,Unc5c,Sema5b,Adamts3,Ccn6,Adgrb1,Adamts2,Spon1,Adgrb2,Adamts10,Adamtsl4,Ccn1,Ccn3,Cilp2,Rspo2,Papln,Sema5a,Thsd7a,Ism1,Adamts8,C7,Unc5b,Rspo3,Hmcn1,Adamtsl5,Adamtsl3,Adgrb3,Adamts6,Adamtsl1,C6,C8b,Thbs1,Adamts19,Thsd1,Spon2,Adamts5,Unc5d,Thbs2,Ccn2,Adamts18
PS50261	G_PROTEIN_RECEP_F2_4	7.91261930265439e-06	-11.747051692863	57	45	0.00663912658601357	6778	13465	319387,12921,170757,14368,12922,230775,14652,54672,319229,93896,14370,14365,12311,14362,52614,12614,269604,381853,77596,70693,13733,26364,215798,243277,14371,14369,110789,435529,330814,52389,224792,78560,93897,14527,54598,11517,239853,382045,107831,14367,381628,99633,213527,14766,210933	Adgrl3,Crhr1,Adgrl4,Fzd6,Crhr2,Adgrb2,Glp1r,Adgrg3,Sctr,Glp2r,Fzd8,Fzd3,Calcr,Fzd1,Adgre4,Celsr1,Gpr157,Gipr,Adgrf1,Adgra3,Adgre1,Adgre5,Adgrg6,Adgrd1,Fzd9,Fzd7,Adgrv1,Adgrf2,Adgrl1,Adgra1,Adgrf5,Adgra2,Fzd10,Gcgr,Calcrl,Adcyap1r1,Adgrg7,Adgrg5,Adgrb1,Fzd5,Adgrf3,Adgrl2,Pth2r,Adgrg1,Adgrb3
