TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00408	IGc2	2.65998229893936e-10	-22.0475314617031	228	167	0.0317732115677321	5256	9882	246256,211323,53870,68753,545370,223435,72242,235472,272381,73940,330908,26439,242384,545428,434540,17930,17929,12661,109272,14254,19289,19268,630146,107527,80891,14186,68802,170643,16981,18488,14182,22174,237979,12804,72431,320398,18596,329693,14129,268890,70530,380698,74144,331461,72333,16178,16456,210801,67374,57810,269959,17968,320772,319504,19876,16980,69675,26436,116701,57278,207683,243911,116904,13176,16590,16206,58916,68709,58235,225638,238205,269116,14183,237403,16194,26564,18613,242702,320747,54631,22253,67703,192198,26968,330222,18007,77739,114872,53311,235402,269473,80749,18726,54725,74762,12805,15530,242235,233199,244682,117606,243816,233186,71566,60367,22138,83964,12978,19649,17967,66601,11790,19266,545156,18198,320027,13052,18212,320840,100042150,16160,235106,270152,233067,101202,26438,269784,94332,20354,16979,268902,384557,12483,75426,18729,240354,235086,241568,547431,278507,107449,239857,545925,26367,13508,22329,26365,574429,12501,242122,59290,242050,17082,213262,16542,26563,20348,101434,382097,170721,224792,18725,330483,105827,107589,107250,12215	Fcgr4,Nrg1,Cntn6,Mybphl,Hmcn1,Trio,Psg21,Prtg,Lrrc4b,Hapln2,Opcml,Psg19,Lingo2,Ccdc141,Psg20,Myom2,Myom1,Chl1,Mybpc1,Flt1,Igdcc3,Ptprf,Cd101,Il1rl2,Fcrl2,Fgfr4,Mypn,Kirrel1,Lrrn3,Cntn3,Fgfr1,Tyro3,Sdk2,Cntfr,Ceacam18,Lrig3,Pdgfrb,Fcrl5,Fcgr1,Lsamp,Lrfn2,Obscn,Robo4,Il1rapl1,Palld,Il1r2,F11r,Unc5d,Jam2,Cdon,Adamtsl3,Ncam2,Mdga2,Nrcam,Robo1,Lrrn2,Pxdn,Psg16,Fgfrl1,Bcam,Igsf11,Kirrel2,Alpk3,Dcc,Kit,Lrig1,Myot,Cilp2,Nectin1,Alpk2,Lrfn5,Nfasc,Fgfr2,Lingo3,Il6ra,Ror2,Pecam1,Myom3,Lingo4,Nphs1,Unc5c,Kirrel3,Lrrc4,Islr,Sdk1,Neo1,Adamtsl1,Psg29,Mybph,Lingo1,Lrig2,Lrfn1,Lilra6,Cadm1,Mdga1,Cntn1,Hspg2,Lrit3,Mybpc2,Cntn5,Boc,Gp6,Siglecf,Clmp,Il1rapl2,Ttn,Jam3,Csf1r,Robo3,Ncam1,Tmigd1,Speg,Ptprd,Kalrn,Musk,Fstl4,Cxadr,Ntrk2,Negr1,Nrg2,Il12b,Ntm,Jaml,Lrfn3,Hepacam2,Psg18,Cntn4,Cadm3,Sema4d,Lrrn1,Robo2,Ceacam3,Cd22,Igfbpl1,Pira6,Malt1,Igsf9b,Lrrc4c,Btnl2,Wfikkn2,Unc5b,Cadm2,Psg27,Ceacam2,Dscam,Vcam1,Ceacam1,Psg26,Cd3e,Vtcn1,Gpa33,Igsf10,Il1rl1,Fstl5,Kdr,Ror1,Sema3c,Ceacam15,Gm1123,Papln,Adgrf5,Pira2,Ceacam16,Amigo2,Mylk,Kazald1,Bsg
SM00233	PH	3.52611813849445e-09	-19.4630682485705	252	179	0.0340563165905632	5256	9882	13196,56792,54153,102693,69239,20649,16370,78255,109135,380698,75547,71704,12704,19417,78473,71240,218952,277360,24055,102098,110355,216991,23797,241639,219140,79196,26382,216445,237542,110279,78670,226970,231532,20741,67016,210293,110596,213556,13430,216190,245684,381605,20662,103967,545156,211914,223254,16561,71544,94190,64291,56349,106877,14786,74309,385263,224860,106326,110253,109294,230972,69632,75974,20663,22325,114255,12229,101540,12169,226245,80297,623279,14783,380921,226971,11652,20403,16560,56193,18799,19878,54353,622434,234779,26377,78514,77980,99031,74486,21682,215632,53972,71435,19415,217866,114713,54519,223435,353047,76117,230837,218397,101476,78618,17909,74002,16369,20399,234353,71720,21844,27276,16443,213649,226250,241075,244867,269437,27260,232237,72789,20947,71302,71801,231717,213783,76303,217682,77300,23853,320495,544817,72318,106952,347722,227120,226751,384783,231134,24001,19414,69601,50915,102075,210710,16800,83435,76829,14388,100273,18805,105445,71096,17207,18803,240753,320129,239027,70292,224014,212285,269615,232201,13998,109934,57257,320405,19418,16428,19157,18760,319934,72993,213522,20742,18802,72469,19159,231821	Asap1,Stap1,Rasa4,Phldb1,Pdzph1,Sntb1,Irs4,Ralgps2,Plekha5,Obscn,Akap13,Arhgef3,Cit,Rasgrf1,Skap1,Osbpl7,Fermt2,Prex1,Sh3bp2,Arhgef18,Grk2,Adap2,Akt3,Fermt1,Spata13,Osbpl5,Fgd2,Arhgap9,Osbpl8,Bcr,Plekhj1,Arhgef4,Arhgap24,Sptb,Tbc1d2b,Dock10,Arhgef28,Plekhh2,Dnm2,Appl2,Cnksr2,Tbc1d2,Sos1,Dnm3,Kalrn,Asap2,Farp1,Kif1b,Arhgap42,Ophn1,Osbpl1a,Net1,Afap1l1,Grb7,Osbp2,Gm1527,Plcl2,Osbpl11,Triobp,Prex2,Arhgef16,Arhgef12,Dock11,Sos2,Vav2,Dok4,Btk,Prkd2,Bmx,Plekhs1,Sptbn4,Dok6,Grb10,Dgkh,Plekhb2,Akt2,Itsn2,Kif1a,Plek,Plcd1,Rock2,Skap2,Arhgef26,Plcg2,Dapp1,Arhgap10,Sbf1,Osbpl6,Osbpl10,Tec,Psd4,Ngef,Arhgap21,Rasal1,Cdc42bpb,Rasa2,Apbb1ip,Trio,Plekhm1,Arhgap15,Asap3,Rasa1,Plekha1,Acap2,Myo10,Psd2,Irs3,Sh2b1,Psd3,Osbpl3,Tiam1,Plekhb1,Itsn1,Arhgef19,Afap1l2,Plekhm3,Arhgap20,Plch1,Plek2,Fgd5,Veph1,Swap70,Arhgap26,Plekhf2,Pheta1,Plekhg1,Osbp,Plekhd1,Raph1,Def6,Ipcef1,Arhgap27,Cyth4,Arap3,Agap1,Plcl1,Cdc42bpa,Irs2,Dok7,Tiam2,Rasa3,Dab2ip,Grb14,Plekhg4,Gab3,Arhgef2,Plekha3,Dok5,Gab1,Osbpl9,Pld1,Dock9,Sntg1,Mcf2l,Plcg1,Plekha6,Grk3,Arhgap22,Afap1,Fgd4,Arap2,Plch2,Arhgap25,Fgd6,Abr,Vav3,Cadps2,Rasgrf2,Itk,Cyth1,Prkd1,Sbf2,Appl1,Plekhg6,Sptbn1,Plcd4,Plcd3,Cyth3,Adap1
SM00181	EGF	7.67450499049614e-09	-18.6853620419054	177	131	0.024923896499239	5256	9882	338352,66797,54426,320924,620292,24117,15530,14456,226243,71768,70445,21825,94217,23964,170757,270120,16774,18191,73182,192188,245827,13003,14725,16780,80883,329628,20562,140474,208777,17180,214058,12845,17304,238680,12614,54003,246154,20339,18190,170571,268780,16973,268977,70417,14068,19699,81877,16975,56788,83961,13388,21892,19123,17064,20563,21826,216616,14118,22359,16971,13645,241324,106565,23965,14115,227325,545370,16775,211323,16777,12032,634731,231470,17175,18791,18552,75740,241175,23963,16773,13612,18074,14119,19128,16779,18189,21824,13389,240675,170788,269878,23876,64706,102635496,22635,77446,171171,16782,21960,16974,353156,17182,18302,11990,18553,21687,329278,223272,16998,14107,52020,24087,636808,226519,12153,224024,16772,23966,226255,18129,16776,21923,16449,17063,23928,15245,13733,13386,20564,64817,26364	Nell1,Cntnap2,Hgfac,Ccbe1,Cntnap5c,Wif1,Hspg2,Gas6,Habp2,Vwce,Cd248,Thbs1,Lrp1b,Tenm2,Adgrl4,Fat3,Lama3,Nrxn3,Pear1,Stab2,Fat2,Vcan,Lrp2,Lamb3,Ntng1,Fat4,Slit1,Muc4,Sned1,Matn1,Megf11,Comp,Mfge8,Cntnap3,Celsr1,Nell2,Vasn,Sele,Nrxn2,Cntnap4,Egflam,Lrp5,Ltbp1,Megf10,F7,Reln,Tnxb,Lrp8,Scube2,Nrg4,Dll1,Tll1,Proc,Cd93,Slit2,Thbs2,Efemp1,Fbn1,Vldlr,Lrp1,Egf,Crb2,Dlk2,Tenm3,Fbln2,Dner,Hmcn1,Lama4,Nrg1,Lamb1,Bcan,Susd1,Fras1,Masp2,Plat,Pcsk5,Egfem1,Cntnap5b,Tenm1,Lama2,Edil3,Nid2,Fbn2,Pros1,Lamb2,Nrxn1,Thbd,Dll3,Vwa2,Crb1,Megf8,Fbln5,Scube1,Malrd1,Zan,Heg1,Ntng2,Lamc2,Tnr,Lrp6,Egfl7,Matn3,Oit3,Atrn,Pcsk6,Tek,Tnn,Itgbl1,Ltbp3,Fat1,Umodl1,Tll2,Cntnap5a,Lamc1,Bmp1,Scarf2,Lama1,Tenm4,Atrnl1,Notch2,Lama5,Tnc,Jag1,Muc13,Lamc3,Hhip,Adgre1,Dlk1,Slit3,Svep1,Adgre5
SM00409	IG	4.10468985670117e-07	-14.7059654634779	378	248	0.0471841704718417	5256	9882	54725,12950,11595,15530,12805,107448,17085,77739,269473,435653,53311,620235,19266,328505,18566,545156,60533,52118,17967,19221,18212,320027,244682,68810,83964,117606,233186,98365,240354,18729,75426,13723,58998,13508,12477,26367,107449,547431,278507,270152,269784,101202,26438,217304,235106,100042150,54698,16979,94332,238555,330483,18213,224792,170721,16182,107250,107589,59290,242050,16542,17082,17086,574429,242627,101434,382097,26563,20348,14125,230622,242384,545428,330908,73940,12661,12522,171285,52685,211323,68797,70693,268890,329693,12804,320398,72431,380698,331461,74144,239849,19289,19268,18488,16981,14182,237979,14186,170643,225825,13176,224840,57278,26436,68709,225638,57781,58235,58916,11658,57810,269959,171283,16178,67374,78908,230868,320832,69675,16980,19876,319504,192198,330222,320747,22253,117586,328830,14183,12506,242702,16194,84544,26564,18726,229499,17289,233274,74762,208154,114872,78560,18007,235402,80749,19274,11790,16177,66601,12978,19649,26362,18198,13052,233199,13003,276891,277432,242235,60367,71566,22138,243816,12483,384557,72058,22329,632126,239857,545925,74048,58188,26365,235086,241568,14012,106347,140559,233067,320840,268902,18725,12215,105827,213262,242122,58217,434540,272381,26439,17441,14254,407814,109272,17929,17930,668101,12032,246256,545370,68753,211739,53870,72242,320148,751864,235472,19273,235281,223435,217305,18596,14129,14130,328833,72333,20349,70530,100038947,630146,80891,107527,22174,68802,12478,14131,116904,243911,207683,116701,17470,238205,16206,16590,237754,100039795,320772,17968,19272,210801,16456,12519,380732,54631,67703,245126,237403,269116,18613	Cadm1,Hapln1,Acan,Hspg2,Cntn1,Unc5a,Ly9,Adamtsl1,Lrig2,Fcrlb,Mybph,Siglec15,Ptprd,Skint7,Pdcd1,Kalrn,Cd274,Pvr,Ncam1,Ptgfrn,Ntrk2,Fstl4,Cntn5,Nexn,Jam3,Boc,Siglecf,Slamf9,Malt1,Pira6,Igfbpl1,Emb,Nectin3,Dscam,Ctla4,Ceacam2,Unc5b,Btnl2,Wfikkn2,Jaml,Cntn4,Hepacam2,Psg18,Cd300lb,Ntm,Nrg2,Crtam,Lrrn1,Cadm3,Btn2a2,Ceacam16,Ntrk3,Adgrf5,Papln,Il18r1,Kazald1,Mylk,Gpa33,Igsf10,Kdr,Il1rl1,Ncr1,Psg26,Skint5,Ceacam15,Gm1123,Ror1,Sema3c,Fcer1a,Skint6,Lingo2,Ccdc141,Opcml,Hapln2,Chl1,Cd83,Havcr2,Cd300lg,Nrg1,Pdgfrl,Adgra3,Lsamp,Fcrl5,Cntfr,Lrig3,Ceacam18,Obscn,Il1rapl1,Robo4,Cd200r4,Igdcc3,Ptprf,Cntn3,Lrrn3,Fgfr1,Sdk2,Fgfr4,Kirrel1,Cd226,Dcc,Treml4,Bcam,Psg16,Cilp2,Alpk2,Cd200r1,Nectin1,Myot,Alcam,Cdon,Adamtsl3,Havcr1,Il1r2,Jam2,Igsf3,Igsf21,Sirpb1a,Pxdn,Lrrn2,Robo1,Nrcam,Lrrc4,Sdk1,Lingo4,Unc5c,A1bg,A530064D06Rik,Fgfr2,Cd48,Myom3,Il6ra,Cd96,Ror2,Lilra6,Fcrl1,Mertk,Siglech,Mdga1,Btla,Psg29,Adgra2,Neo1,Lingo1,Lrfn1,Ptprm,Speg,Il1r1,Tmigd1,Csf1r,Robo3,Axl,Musk,Cxadr,Mybpc2,Vcan,Timd4,Vstm2l,Lrit3,Il1rapl2,Clmp,Ttn,Gp6,Cd22,Ceacam3,Igsf5,Vcam1,Btnl4,Cadm2,Psg27,Vsir,Vstm2b,Ceacam1,Igsf9b,Lrrc4c,Mpzl2,Ildr1,Igsf8,Lrfn3,Negr1,Robo2,Pira2,Bsg,Amigo2,Fstl5,Vtcn1,Trem1,Psg20,Lrrc4b,Psg19,Mog,Flt1,Timd6,Mybpc1,Myom1,Myom2,Sirpb1b,Bcan,Fcgr4,Hmcn1,Mybphl,Vstm2a,Cntn6,Psg21,Trem6l,Sirpd,Prtg,Ptpru,Scn3b,Trio,Cd300ld,Pdgfrb,Fcgr1,Fcgr2b,Treml2,Palld,Sema3e,Lrfn2,Sirpb1c,Cd101,Fcrl2,Il1rl2,Tyro3,Mypn,Cd19,Fcgr3,Alpk3,Kirrel2,Igsf11,Fgfrl1,Cd200,Lrfn5,Lrig1,Kit,Btnl9,Ildr2,Mdga2,Ncam2,Ptprk,Unc5d,F11r,Cd80,Milr1,Nphs1,Kirrel3,Tarm1,Lingo3,Nfasc,Pecam1
SM00060	FN3	9.26511094937027e-07	-13.8918398161853	149	108	0.0205479452054795	5256	9882	19264,320181,13841,72007,330222,54631,242702,52020,330863,16337,13835,19886,13837,21923,269116,21687,13176,329278,231760,20660,12983,13839,19876,319504,21960,17968,19272,57810,319448,218624,74144,94090,380698,78911,18414,12804,13844,237979,22174,18488,19283,16162,19268,19277,12836,19289,545902,68169,12661,109272,13840,17930,17929,16847,235472,23920,13836,19273,22283,68753,53870,12986,12818,13842,107589,237523,81877,16001,270190,73368,19281,16155,13508,50498,235086,268902,246154,269784,16195,19271,268780,208777,26362,545156,57914,19266,11790,19649,17967,22138,117606,244682,320712,233199,19116,19270,13838,13845,12805,12816,17289,16880,53311,68655,19274,17318,15975,18007	Ptprc,Fndc7,Epha7,Fndc3b,Sdk1,Nphs1,Myom3,Umodl1,Trim67,Insr,Epha1,Ros1,Epha3,Tnc,Nfasc,Tek,Dcc,Tnn,Rimbp2,Sorl1,Csf2rb,Epha5,Robo1,Nrcam,Tnr,Ncam2,Ptprk,Cdon,Fndc3a,Il31ra,Robo4,Trim9,Obscn,Trim42,Osmr,Cntfr,Ephb2,Sdk2,Tyro3,Cntn3,Ptprz1,Il12rb2,Ptprf,Ptpro,Col7a1,Igdcc3,Ptprh,Ndnf,Chl1,Mybpc1,Epha6,Myom2,Myom1,Lepr,Prtg,Insrr,Epha2,Ptpru,Ush2a,Mybphl,Cntn6,Csf3r,Col14a1,Epha8,Mylk,Ptprq,Tnxb,Igf1r,Ephb1,Col20a1,Ptprt,Il10rb,Dscam,Ebi3,Igsf9b,Robo2,Vasn,Cntn4,Il6st,Ptprj,Egflam,Sned1,Axl,Kalrn,Crlf2,Ptprd,Speg,Robo3,Ncam1,Ttn,Boc,Cntn5,Abi3bp,Mybpc2,Prlr,Ptprg,Epha4,Ephb3,Cntn1,Col12a1,Mertk,Lifr,Mybph,Fndc1,Ptprm,Mid1,Ifnar1,Neo1
SM00219	TyrKc	1.16399200972858e-06	-13.6636550731729	81	64	0.0121765601217656	5256	9882	13838,12305,14254,12143,14360,13840,13845,20187,17289,12988,14302,16453,13836,23920,18212,18198,26362,21682,18211,18596,17096,13844,12978,20963,13649,22174,14182,14186,17005,20779,11682,13866,11350,14083,21687,16590,22637,12229,13839,12169,15162,14158,16452,16451,16428,14191,13842,19229,13841,54721,51789,22165,18213,18214,16337,16001,13837,270190,19886,13835,16542,14183,13869,17295	Epha4,Ddr1,Flt1,Blk,Fyn,Epha6,Ephb3,Ryk,Mertk,Csk,Frk,Jak3,Epha2,Insrr,Ntrk2,Musk,Axl,Tec,Ntrk1,Pdgfrb,Lyn,Ephb2,Csf1r,Syk,Egfr,Tyro3,Fgfr1,Fgfr4,Ltk,Src,Alk,Erbb2,Abl1,Ptk2,Tek,Kit,Zap70,Btk,Epha5,Bmx,Hck,Fer,Jak2,Jak1,Itk,Fgr,Epha8,Ptk2b,Epha7,Tyk2,Tnk2,Txk,Ntrk3,Ddr2,Insr,Igf1r,Epha3,Ephb1,Ros1,Epha1,Kdr,Fgfr2,Erbb4,Met
SM00209	TSP1	3.86421479324206e-06	-12.4637520548458	63	51	0.00970319634703196	5256	9882	14219,109828,192199,107831,327743,229595,30806,12274,12279,330119,101401,239337,16007,108154,77739,545370,107448,20356,66548,224697,230775,228770,210417,223838,21825,216725,319909,330267,235130,217738,240322,20357,110382,22253,170721,21826,208936,233332,18133,210801,23794,269959,233744,230558,210933,68709,72780,107449,56229,239405,100689	Ccn2,C7,Rspo1,Adgrb1,Ccn6,Adamtsl4,Adamts8,C6,C9,Adamts3,Adamts9,Adamts12,Ccn1,Adamts6,Adamtsl1,Hmcn1,Unc5a,Sema5a,Adamtsl5,Adamts10,Adgrb2,Rspo4,Thsd7b,Adamts20,Thbs1,Adamts2,Ism1,Thsd7a,Adamts15,Ism2,Adamts19,Sema5b,C8b,Unc5c,Papln,Thbs2,Adamts18,Adamts17,Ccn3,Unc5d,Adamts5,Adamtsl3,Spon1,C8a,Adgrb3,Cilp2,Rspo3,Unc5b,Thsd1,Rspo2,Spon2
SM00282	LamG	2.28872844106e-05	-10.684929067534	40	34	0.00646879756468798	5256	9882	245827,16776,16772,19128,270120,14107,16773,636808,16774,18191,238680,20563,20564,20562,18189,329628,22283,16775,66797,170571,268780,338352,18190,241324,12614,54003,170788,121021,241175,53321,15530,14456,12814,620292	Fat2,Lama5,Lama1,Pros1,Fat3,Fat1,Lama2,Cntnap5a,Lama3,Nrxn3,Cntnap3,Slit2,Slit3,Slit1,Nrxn1,Fat4,Ush2a,Lama4,Cntnap2,Cntnap4,Egflam,Nell1,Nrxn2,Crb2,Celsr1,Nell2,Crb1,Cspg4,Cntnap5b,Cntnap1,Hspg2,Gas6,Col11a1,Cntnap5c
SM00100	cNMP	6.91191992471001e-05	-9.5796780185023	31	27	0.00513698630136986	5256	9882	170738,70873,15168,50767,76089,330953,12790,19084,19091,19088,16510,19092,192786,15166,380728,30952,19085,19087,12788,211468,333329,16512,238271,16511,192775,15165,56508	Kcnh7,Cnbd2,Hcn3,Pnpla6,Rapgef2,Hcn4,Cnga3,Prkar1a,Prkg1,Prkar2b,Kcnh1,Prkg2,Rapgef6,Hcn2,Kcnh4,Cngb3,Prkar1b,Prkar2a,Cnga1,Kcnh8,Cngb1,Kcnh3,Kcnh5,Kcnh2,Kcnh6,Hcn1,Rapgef4
SM00326	SH3	0.000346439124881474	-7.96780344053662	196	128	0.0243531202435312	5256	9882	17921,20403,218038,259302,20409,58194,243961,12229,268396,13860,17970,72828,330662,16428,14191,71893,22325,230972,20405,57257,333654,21981,238130,58234,225608,53310,210274,17974,13169,207278,17969,12988,17207,18803,74103,23880,53618,98402,211914,71544,170625,208869,50997,329165,70097,234214,17096,545156,117600,17910,19200,20779,20404,17444,66616,23859,17922,108100,234878,17996,14784,227157,56324,71602,231760,56524,15162,27059,328795,75739,71302,18708,20411,226970,14218,51789,16443,22165,213649,216445,57329,219140,17973,20491,14270,329416,20840,12143,14360,12929,24057,218397,71972,52906,16796,237353,94176,67742,223435,12488,269016,12361,14302,59009,320664,78473,207495,15163,20408,21682,13383,53972,237611,99662,20844,78514,60597,14269,234779,330914,77799,54353,17972,71228,23969,11350,13196,622434	Myo7a,Itsn2,Amph,Srgap3,Ostf1,Sh3kbp1,Shank1,Btk,Sh3pxd2b,Eps8,Ncf2,Ubash3b,Dock1,Itk,Fgr,Noxo1,Vav2,Arhgef16,Sh3gl1,Vav3,Ppp1r13l,Ppp1r13b,Dock4,Shank3,Sh3tc2,Dlg3,Shank2,Nck2,Dbnl,Fchsd2,Ncf1,Csk,Mcf2l,Plcg1,Nebl,Fyb1,Fut8,Sh3bp4,Asap2,Arhgap42,Snx18,Dock3,Mpp2,Abi2,Sash1,Sorbs2,Lyn,Kalrn,Srgap1,Myo15a,Pstpip1,Src,Sh3gl2,Grap2,Snx9,Dlg2,Myo7b,Baiap2,Map3k21,Neb,Grb2,Mpp4,Stam2,Myo1e,Rimbp2,Pals2,Hck,Sh3d19,Ubash3a,Mpp7,Arhgap26,Pik3r1,Sorbs1,Arhgef4,Sh3pxd2a,Tnk2,Itsn1,Txk,Arhgef19,Arhgap9,Otor,Spata13,Nck1,Sla,Srgap2,Nostrin,Stac,Blk,Fyn,Crkl,Sh3yl1,Rasa1,Dnmbp,Ahi1,Lasp1,Sh3rf3,Dock2,Samsn1,Trio,Cd2ap,Sh3rf2,Cask,Frk,Sh3rf1,Cass4,Skap1,Baiap2l2,Hcls1,Sh3gl3,Tec,Dlg1,Ngef,Stac3,Eps8l3,Stam,Arhgap10,Mapk8ip2,Fnbp1,Plcg2,Arhgap32,Sla2,Skap2,Ncf4,Dlg5,Pacsin1,Abl1,Asap1,Arhgef26
