TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2309	XPodNet - protein-protein interactions in the podocyte expanded by STRING	6.94756064886302e-09	-18.7848752247547	838	510	0.200235571260306	2547	4906	20649,16423,12578,19211,17756,11865,22350,67703,22408,21813,104709,56013,54698,224796,16658,231532,22371,13510,18008,16410,12388,13869,22088,54519,17060,12361,20662,18213,18810,109880,30955,22218,18707,12385,16416,210789,13844,107221,54004,20404,54607,68058,14281,11975,22196,22770,68404,19401,56177,13388,14812,77579,55927,268902,12166,12575,15182,94187,12507,76089,18129,22793,16419,12695,13860,16392,211484,12450,12308,18749,216033,66313,14388,16331,18193,20411,16559,12562,18125,12386,104010,50798,15481,17977,12929,20979,15530,12628,18187,18779,17463,18762,20742,16443,209039,12576,16777,16490,11482,15376,11519,268903,58220,16007,56632,12978,218397,78808,208117,84092,57750,17258,20613,17184,13386,16197,14623,16591,76408,12168,11607,216724,210757,57259,12822,16847,12305,64176,24052,50914,13082,93960,83767,54380,12540,216190,74244,23959,19122,18479,72333,27218,74053,74769,18708,83766,66993,24136,50754,11554,73181,210710,17973,19664,14609,12988,14401,211652,12159,16531,18571,12741,16773,19268,66513,16000,14463,14234,109689,18504,234779,29875,83964,18186,12325,110829,16776,12577,20538,58235,53378,72281,11600,14784,16779,11517,72058,18451,16825,22288,668303,16009,12370,94217,14811,16796,18007,242274,19055,192119,109700,18189,21415,20399,54401,20533,24117,12167,12561,11608,215280,16924,13617,17913,21803,26380,56715,56299,16403,21416,213556,74055,16400,83814,18803,23797,27278,14804,18049,16452,12606,15163,14042,14066,20750,101055731,16542,18109,64209,19894,12444,330914,60597,17131,14102,16572,20683,12503,12977,170643,16008,118449,76709,20315,237459,12345,12323,227937,23880,17248,72433,18741,226041,19052,16765,66795,70549,21412,16593,19876,330222,108100,20419,16456,104027,18753,16822,18481,19249,18750,83672,67923,214444,14800,14200,12428,66713,22068,17126,12322,72293,12550,23882,69993,226519,15251,269589,15896,12443,17207,19225,14360,12739,108058,13836,71775,18074,241324,17295,14254,17220,56194,16998,16402,74126,12487,71745,80976,12830,19264,17128,58804,54611,15110,11789,57278,268859,19219,19298,14786,112406,112407,19248,50791,319924,64930,16842,19229,244431,23938,12478,83408,17246,384783,17974,13717,22337,73178,66725,270152,17762,56699,238130,13800,12738,22325,59006,12043,239405,12567,59287,12161,73542,13838,26992,57875,12558,73086,17125,22431,21834,54420,16772,11487,12445,18538,56637,268977,14783,239036,14489,11350,53624,17130,83671,58998,20779,192662,13047,20737,13819,21844,18792,11864,12488,14115,68151,17984,55982,13367,19087,18160,22628,328572,71602,12501,93742,20430,243328,74440,12452,13642,20218,240725,56349,26921,18645,71233,18510,27401,12560,21872,16782,22339,18613,71365,387609,110310,243911,50913,20963,20405,216869,12737,18021,114774,50766,74203,54353,107951,21814,252870,19013,14406,16871,13052,14107,108030,103967,12143,58194,12125,67393,16917,432530,18596,238871,64929,11981,11845,19045,22629,74117,18124,101543,67903,218772,26413,13199,53321,208154,14924,13992,14083,22317,12162,319594,19247,11819,17127,22352,231830,16337,140723,13840,56378,12477,19277,26419,16001,16533,21687,231470,13430,16412,18212,12828,241201,76055,23962,75477,23928,20663,110157,17754,14219,13557,54631,12483,17096	Sntb1,Cd47,Cdkn2a,Pten,Map2,Bmal1,Ezr,Kirrel3,Wnt1,Tgfbr2,Pik3r6,Srcin1,Crtam,Clic5,Mafb,Arhgap24,Vwf,Dsg1a,Nes,Itgav,Ctnnd1,Erbb4,Tsg101,Apbb1ip,Blnk,Cask,Sos1,Ntrk3,Plec,Braf,Pik3cg,Sumo1,Pik3cd,Ctnna1,Itgb3,Tbc1d4,Ephb2,Ffar4,Diaph2,Sh3gl2,Socs6,Chd1l,Fos,Atp6v0a1,Ube2i,Zhx1,Nrn1,Rara,Olfm1,Dll1,Grin2b,Myh10,Hes6,Robo2,Bmpr1a,Cdkn1a,Hdac2,Zfp423,Cd5,Rapgef2,Notch2,Zyx,Itgb5,Patj,Eps8,Isl1,Tsga10,Ccng1,Calb2,Prkacb,Ctnna3,Smurf2,Gab1,Inpp5d,Nsd1,Sorbs1,Kif17,Cdh5,Nos1,Ctnna2,Cdh22,Gne,Hspa8,Ncoa1,Crkl,Syt1,Hspg2,Cfh,Nrp2,Pla2r1,Psmd7,Prkcz,Sptbn1,Itsn1,Tns2,Cdkn1b,Lamb1,Kcna2,Acvrl1,Foxa2,Add2,Nrip1,Pard6b,Ccn1,Sphk2,Csf1r,Rasa1,Stxbp5,Aph1b,Usp8,Wdr12,Mef2a,Snai1,Matr3,Dlk1,Il7r,Gjb6,Kl,Abcc3,Bmpr2,Agtr1a,Rufy1,Themis,Tob2,Col18a1,Lepr,Ddr1,Sv2b,Sgcd,Olig1,Cyp26a1,Nkd1,Wasf1,Smarcal1,Cdc42,Appl2,Atg7,Nt5e,Prnp,Pak1,Palld,Slamf1,Grip1,Pik3cb,Pik3r1,Actl6b,Smarcd3,Zeb2,Fbxw7,Adrb1,Nfatc4,Gab3,Nck1,Rbpj,Gja1,Csk,Gabrb2,Wwc1,Bmp4,Kcnma1,Pdcd6ip,Cldn5,Lama2,Ptprf,Tab1,Igf1,Gata4,Foxc2,Arrb1,Pax2,Plcg2,Iqgap1,Jam3,Nrp1,Camk2g,Lims1,Lama5,Cdkn1c,Slc6a2,Nectin1,Sdcbp,Sh2d4a,Angpt1,Grb2,Lamb2,Adcyap1r1,Igsf5,P4ha1,Ldb1,Utrn,Kif26a,Igfbp3,Casp8,Lrp1b,Grin2a,Lasp1,Neo1,Lrrc7,Ppp3ca,Dicer1,Itga1,Nrxn1,Tcf7l1,Sh2b1,Ywhab,Slc4a1,Wif1,Bmpr1b,Cdh4,Agtr1b,Wipf1,Lnx1,Ednra,Myo1c,Tgfb1,Esrrb,Rabgef1,Fkbpl,Itga6,Tcf7l2,Plekhh2,Plce1,Itga3,Nedd4l,Plcg1,Akt3,Clnk,Grid2,Ngf,Jak2,Cebpa,Hcls1,Ext1,F3,Spp1,Gm29719,Kdr,Mycn,Herpud1,Rph3a,Ccnd2,Arhgap32,Mapk8ip2,Smad7,Fas,Kif5a,Sp1,Cd247,Csf1,Kirrel1,Igfbp2,Synpo2,Arpc2,Cxcl12,Cdk17,Capzb,Camk2b,Pkp4,Fyb1,Mdm4,Rab38,Pitx2,Pgm5,Ppp2ca,Stmn1,Atg10,Tln2,Tcf21,Klc1,Robo1,Sdk1,Baiap2,Shcbp1,F11r,Synpo,Prkcd,Lcp2,Pak3,Ptpn13,Prkca,Sytl3,Eloc,Cdk5rap2,Gria2,Fhl2,Ccna2,Actr2,Trpc6,Smad2,Camk2a,Nkd2,Cdh1,Gadd45g,Chn2,Lamc1,Hif1a,Sytl1,Icam2,Ccnd1,Mcf2l,Ptgs2,Fyn,Cldn3,Camk2d,Epha2,Inhca,Nid2,Crb2,Met,Flt1,Mcm7,Prpf40a,Ltbp3,Itga5,Syvn1,Cd28,Cul2,Syt13,Col4a5,Ptprc,Smad4,Cdc42ep5,Pde3a,Hand1,Apc,Bcam,Rbfox1,Ptger4,Pex19,Grb7,Egln2,Egln3,Ptpn12,Magi2,Apba1,Tsc1,Lef1,Ptk2b,Sgcz,Map2k5,Cd19,Gimap3,Mdm2,Irs2,Nck2,Eln,Vdr,Wasl,Lrrk2,Jaml,Mapt,Cdc42ep4,Dock4,Enah,Cldn2,Vav2,Myoz2,Bcl2,Rspo2,Cdk4,Ncstn,Bmp6,Tssk5,Epha4,Brd7,Angptl4,Cdh2,Rps6ka5,Smad1,Wt1,Thrb,Cldn8,Lama1,Adam10,Ccnd3,Pcna,Gsk3b,Ltbp1,Grb10,4930596D02Rik,Mtpn,Abl1,Cldn7,Smad6,Sytl2,Nectin3,Src,Arhgdia,Cux1,Spn,Epas1,Tiam1,Plau,Arnt2,Cd2ap,Fbln2,Wls,Ndn,Paxip1,Diaph1,Prkar2a,Npr1,Ywhag,Ep300,Myo1e,Cd3e,Pard3,Cyfip1,Slc29a4,Cmip,Ccng2,Efnb2,Khdrbs1,Sulf1,Net1,Map4k4,Pfn2,Enkur,Pax8,Skp2,Cdh3,Tjp1,Lamc2,Vegfa,Pecam1,Pdss2,Zhx2,Krt7,Kirrel2,Olig2,Syk,Sh3gl1,Arrb2,Cldn1,Nfatc3,Pawr,Crim1,Eif4enif1,Skap2,Cdk9,Tgfbr3,Usp7,Ppara,Gabrg2,Lhx3,Cxadr,Fat1,Lin7a,Dnm3,Blk,Sh3kbp1,Bcl2l11,Cxxc5,Lmx1b,Adcy1,Pdgfrb,Pde4d,Scel,Atp9a,Arf6,Ppp1ca,Ywhah,Actr3,Nr4a3,Wtip,Gipc1,Rarb,Mapk1,Ddn,Cntnap1,Btla,Magi1,Khdrbs3,Ptk2,Vamp1,Bmp7,Hif1an,Ptpn11,Nr2f2,Smad3,Vim,Micall2,Insr,Cacng5,Epha6,Arpc3,Ctla4,Ptpro,Mapk8,Igf1r,Kcnmb1,Tek,Fras1,Dnm2,Itgb1,Ntrk2,Col4a3,Cdh7,Oga,Oasl2,Pfn3,Lamc3,Sos2,Raf1,Map1a,Ccn2,E2f3,Nphs1,Cd22,Lyn
WP1396	Non-odorant GPCRs	4.6913941360423e-06	-12.2697807625264	267	174	0.0683156654888104	2547	4906	319387,12311,59289,226278,17201,353344,12778,65086,12771,20609,14371,216749,64297,12672,57254,213439,20606,15562,11554,84112,574402,12922,225192,12802,140498,233080,140795,54393,18101,18166,26361,13349,19217,15558,15551,229214,52614,14652,21338,14767,13488,11517,14527,11552,58861,233079,227288,12775,14362,11608,15550,210933,14823,69296,232431,13617,76854,20608,54140,18441,238377,18386,99633,12061,70086,18217,387355,319229,11542,12273,239283,11539,14816,12770,14367,17200,13609,12773,12767,14370,17203,12614,213788,108071,14063,78826,21336,14427,230775,18168,13489,22095,22045,20605,54199,16995,17202,15557,11555,13490,14369,140741,13610,268934,17171,26364,12921,242425,208188,54598,11549,12671,21337,15466,12777,58182,381489,18387,12425,13733,107221,108073,14064,15552,14765,12801,226304,15565,11551,23832,330814,18390,74191,319239,15566,17773,246313,387285,70839,14766,14428,19219,244701,107831,170757,14368,108069,18430,381810,12768,387349,11541,11548,381853,18442,18167,11550,11553,12062,13618,19204,243764,14744,213527,11607,15560,80885,15465,15563,93896,14739,12765,14365,19220	Adgrl3,Calcr,Ackr2,Prlhr,Mc3r,Opn5,Ackr3,Lpar3,Ccr3,Sstr5,Fzd9,Nmur2,Gprc5b,Chrm4,Tas2r119,Gpr174,Sstr2,Htr4,Adrb1,Sucnr1,Gpr17,Crhr2,Hrh4,Cnr2,Rxfp2,Ffar3,P2ry14,Gabbr1,Nmbr,Npy1r,Avpr1b,Ackr1,Ptger2,Htr2a,Htr1b,Qrfpr,Adgre4,Glp1r,Tacr3,Nmur1,Drd1,Adcyap1r1,Gcgr,Adra2b,Cysltr1,Ffar2,Cxcr1,Ccr7,Fzd1,Agtr1b,Htr1a,Adgrb3,Grm8,Tmigd3,Gprc5a,Ednra,Gper1,Sstr4,Avpr1a,P2ry1,Gpr68,Oprd1,Adgrl2,Bdkrb1,Cysltr2,Ntsr2,Tas2r130,Sctr,Adora3,C5ar1,Oxgr1,Adora1,Grm1,Ccr1l1,Fzd5,Mc2r,S1pr1,Ccr4,Cxcr4,Fzd8,Mc5r,Celsr1,Chrm5,Grm5,F2rl1,P2ry10,Tacr1,Galr1,Adgrb2,Npy5r,Drd2,Tshr,Trhr,Sstr1,Ccrl2,Ltb4r1,Mc4r,Htr1f,Adrb2,Drd3,Fzd7,Gpr6,S1pr3,Grm4,Mas1,Adgre5,Crhr1,Gabbr2,Ghsr,Calcrl,Adra1a,Chrm3,Tacr2,Hrh2,Ccr10,Prokr1,Rxfp1,Oprk1,Cckar,Adgre1,Ffar4,Grm7,F2rl2,Htr1d,Gpr50,Cnr1,Npbwr1,Htr6,Adra2a,Xcr1,Adgrl1,Oprm1,P2ry13,Npsr1,Htr7,Mtnr1a,Prokr2,Hcrtr2,P2ry12,Adgrg1,Galr2,Ptger4,Mtnr1b,Adgrb1,Adgrl4,Fzd6,Grm3,Oxtr,Lpar5,Ccr1,Tas2r121,Adora2b,Adra1b,Gipr,P2ry2,Npy2r,Adra1d,Adra2c,Bdkrb2,Ednrb,Ptafr,Chrm2,Gpr65,Pth2r,Agtr1a,Htr2c,Hcar2,Hrh1,Htr5a,Glp2r,S1pr2,Cxcr2,Fzd3,Ptgfr
WP339	ESC Pluripotency Pathways	7.23970466547708e-06	-11.8359301444598	117	84	0.032979976442874	2547	4906	14178,18121,14182,16476,20363,26399,110157,14365,14168,14169,56637,22415,14784,11477,14172,16195,12166,225724,17125,13649,14281,14186,22414,12168,16880,20848,17131,11652,14176,18707,22417,22410,14367,19247,14370,55994,22413,17246,12159,22421,14180,23797,20662,14164,109880,14183,26413,13645,14170,14177,26397,16451,93735,18596,14167,14173,80857,23939,23938,66713,22411,29857,16973,14165,14368,14369,22408,22418,22419,22409,14371,64654,67112,16878,17128,22412,17129,14362,11789,17130,14388,19211,12167,16974	Fgf7,Nog,Fgfr1,Jun,Selenop,Map2k6,Raf1,Fzd3,Fgf13,Fgf14,Gsk3b,Wnt3,Grb2,Acvr1,Fgf18,Il6st,Bmpr1a,Mapk4,Smad1,Egfr,Fos,Fgfr4,Wnt2b,Bmpr2,Lifr,Stat3,Smad7,Akt2,Fgf5,Pik3cd,Wnt4,Wnt10b,Fzd5,Ptpn11,Fzd8,Smad9,Wnt2,Mdm2,Bmp4,Wnt7a,Fgf9,Akt3,Sos1,Fgf1,Braf,Fgfr2,Mapk1,Egf,Fgf15,Fgf6,Map2k3,Jak1,Wnt16,Pdgfrb,Fgf12,Fgf2,Fgf20,Mapk7,Map2k5,Actr2,Wnt11,Mapk12,Lrp5,Fgf10,Fzd6,Fzd7,Wnt1,Wnt5a,Wnt5b,Wnt10a,Fzd9,Fgf23,Fgf22,Lif,Smad4,Wnt9b,Smad5,Fzd1,Apc,Smad6,Gab1,Pten,Bmpr1b,Lrp6
WP85	Focal Adhesion	5.82478318217164e-05	-9.750803688156	185	122	0.0478994895956027	2547	4906	22371,75669,23939,13367,22165,16410,51789,16407,20662,17931,16773,13645,170736,109880,16000,226519,11796,241656,215449,20779,22341,16420,19211,18479,109905,18708,243659,74769,230661,13866,11852,18481,16782,14254,22339,16779,17295,320910,14784,18607,16402,225724,329278,109711,319480,26399,105083,20363,22793,15162,16401,104099,16408,16419,19699,14360,18707,11652,12443,12826,30955,16416,16776,53867,12842,15234,21826,26397,16774,12827,16403,16780,12143,12929,23938,12831,18596,18654,16400,16777,23797,12824,26413,20750,12832,19878,330662,16414,21825,107589,16775,54635,12814,94216,20418,29857,14205,12843,12825,26419,21923,16412,12834,12445,23928,15891,16476,16772,12540,21960,56637,110157,71785,381924,19354,14083,81877,12043,13649,14191,107746,12444	Vwf,Pik3r4,Mapk7,Diaph1,Txk,Itgav,Tnk2,Itgae,Sos1,Ppp1r12a,Lama2,Egf,Parvb,Braf,Igf1,Lamc1,Birc3,Pak5,Rap1b,Src,Vegfc,Itgb6,Pten,Pak1,Rap1a,Pik3r1,Styk1,Pik3cb,Tesk2,Erbb2,Rhob,Pak3,Lamc2,Flt1,Vegfa,Lamb2,Met,Itgb8,Grb2,Pdpk1,Itga5,Mapk4,Tnn,Actn1,Itga11,Map2k6,Pelo,Selenop,Zyx,Hck,Itga4,Itga9,Itgal,Itgb5,Reln,Fyn,Pik3cd,Akt2,Ccnd1,Col4a1,Pik3cg,Itgb3,Lama5,Col5a3,Col1a1,Hgf,Thbs2,Map2k3,Lama3,Col4a2,Itga6,Lamb3,Blk,Crkl,Map2k5,Col5a1,Pdgfrb,Pgf,Itga3,Lamb1,Akt3,Col2a1,Mapk1,Spp1,Col5a2,Rock2,Dock1,Itgb2,Thbs1,Mylk,Lama4,Pdgfc,Col11a1,Col4a6,Shc3,Mapk12,Vegfd,Col1a2,Col3a1,Mapk8,Tnc,Itgb1,Col6a2,Ccnd3,Lamc3,Ibsp,Jun,Lama1,Cdc42,Tnr,Gsk3b,Raf1,Pdgfd,Itgad,Rac2,Ptk2,Tnxb,Bcl2,Egfr,Fgr,Rapgef1,Ccnd2
WP2310	PodNet: protein-protein interactions in the podocyte	8.97801295022387e-05	-9.3181468821718	315	196	0.0769532783667059	2547	4906	17295,77579,12575,12166,268902,76089,18129,12830,12695,16419,12443,19225,18707,14360,12385,16416,108058,68404,22770,56177,19401,241324,18074,231532,224796,16658,18008,12388,16410,22088,66713,12361,17126,22068,12322,15251,226519,109880,18213,12578,21412,70549,330222,19876,67703,16456,22350,108100,104027,21813,22408,18750,57875,12822,64176,12305,22431,13082,11487,54380,12540,208117,20613,13800,22325,12043,59287,11607,15530,18779,12628,20742,17974,73178,22337,12576,209039,16007,57278,216033,18749,19219,112407,112406,50798,12386,50791,21872,14784,16779,22339,72058,16009,22288,18451,16825,16796,110310,387609,71365,242274,243911,19055,192119,18189,216869,14234,18504,74440,240725,12325,18186,29875,110829,12577,16776,72281,11600,12560,12488,12988,55982,17973,19664,12159,211652,71602,16531,18571,16000,243328,93742,17130,18479,20779,72333,74769,192662,13047,18708,13819,56378,20683,19277,16001,16412,231470,13430,16008,170643,20315,12828,76709,12323,12345,54631,14219,14924,13992,16542,14083,319594,12162,17127,11819,16337,19894,17131,16403,58194,103967,74055,16917,213556,67393,64929,16400,432530,74117,18803,218772,14042,101543,13199,20750,14066,54401,20533,50766,18021,24117,11608,21803,14107,13052,56715	Met,Myh10,Cdkn1a,Bmpr1a,Robo2,Rapgef2,Notch2,Col4a5,Patj,Itgb5,Ccnd1,Ptgs2,Pik3cd,Fyn,Ctnna1,Itgb3,Camk2d,Nrn1,Zhx1,Olfm1,Rara,Crb2,Nid2,Arhgap24,Clic5,Mafb,Nes,Ctnnd1,Itgav,Tsg101,Actr2,Cask,Smad2,Trpc6,Camk2a,Hif1a,Lamc1,Braf,Ntrk3,Cdkn2a,Tcf21,Tln2,Sdk1,Robo1,Kirrel3,F11r,Ezr,Baiap2,Synpo,Tgfbr2,Wnt1,Prkca,Angptl4,Col18a1,Sv2b,Ddr1,Wt1,Cyp26a1,Adam10,Smarcal1,Cdc42,Aph1b,Snai1,Enah,Vav2,Bcl2,Ncstn,Agtr1a,Hspg2,Pla2r1,Cfh,Sptbn1,Nck2,Wasl,Vdr,Cdkn1b,Tns2,Ccn1,Bcam,Ctnna3,Prkacb,Ptger4,Egln3,Egln2,Gne,Ctnna2,Magi2,Tjp1,Grb2,Lamb2,Vegfa,Igsf5,Igfbp3,Utrn,P4ha1,Ldb1,Lasp1,Krt7,Zhx2,Pdss2,Lrrc7,Kirrel2,Ppp3ca,Dicer1,Nrxn1,Arrb2,Foxc2,Pax2,Cmip,Sulf1,Camk2g,Nrp1,Iqgap1,Lims1,Cdkn1c,Lama5,Sh2d4a,Angpt1,Cdh3,Cd2ap,Csk,Paxip1,Nck1,Rbpj,Bmp4,Wwc1,Myo1e,Kcnma1,Pdcd6ip,Igf1,Slc29a4,Pard3,Smad6,Pak1,Src,Palld,Pik3cb,Arhgdia,Cux1,Pik3r1,Epas1,Arpc3,Sp1,Ptpro,Igf1r,Itgb1,Fras1,Dnm2,Igfbp2,Kirrel1,Cxcl12,Col4a3,Arpc2,Camk2b,Capzb,Nphs1,Ccn2,Magi1,Khdrbs3,Kdr,Ptk2,Hif1an,Bmp7,Smad3,Nr2f2,Insr,Rph3a,Smad7,Itga6,Sh3kbp1,Dnm3,Plce1,Lmx1b,Plekhh2,Cxxc5,Scel,Itga3,Adcy1,Actr3,Plcg1,Rarb,Ext1,Wtip,Ddn,Spp1,F3,Ywhab,Slc4a1,Crim1,Nfatc3,Wif1,Agtr1b,Tgfb1,Fat1,Cxadr,Rabgef1
WP2872	White fat cell differentiation	0.000124880027947127	-8.98815705796526	32	27	0.0106007067137809	2547	4906	12224,12606,19016,21415,21887,19883,94187,16600,13591,66277,14013,13654,14815,19401,14461,12912,16333,16598,20851,11819,20787,14462,56458,12385,20850,22410,16364	Klf5,Cebpa,Pparg,Tcf7l1,Tle3,Rora,Zfp423,Klf4,Ebf1,Klf15,Mecom,Egr2,Nr3c1,Rara,Gata2,Creb1,Ins1,Klf2,Stat5b,Nr2f2,Srebf1,Gata3,Foxo1,Ctnna1,Stat5a,Wnt10b,Irf4
WP2841	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	0.000190937211185615	-8.56356592121167	325	200	0.0785237534354142	2547	4906	16774,16451,16780,64930,208677,12827,14177,13684,12831,18654,80857,14180,12576,16777,170768,384783,17246,12824,12978,14183,21825,13640,14708,14701,19116,12814,94216,14205,19325,100043507,381810,18125,11602,107476,14172,16183,235542,13637,15891,16772,21960,14169,56637,16194,381924,68365,16197,14186,243764,13649,22371,64337,16407,12283,27380,16410,20662,16188,14706,13645,56484,15251,226519,98432,72930,19052,16590,105244208,22341,16420,56458,226849,19211,14165,26427,26931,15972,19017,67112,14254,74370,17295,16402,12575,12915,15375,22027,105083,18414,16453,244650,14168,16419,18126,18707,15974,66066,16369,30955,17311,16416,72149,232493,13836,16333,12842,14700,21826,15234,16185,16403,270198,19744,18596,16400,18049,16452,15976,23797,26413,20750,12832,16414,13685,11909,16775,11601,57915,54635,16150,12843,12825,16370,15962,12986,14702,21923,16412,21687,12977,12834,18413,16001,240752,23928,231991,14178,110157,71785,19053,15964,81877,16542,14083,14710,16337,18053,14170,75669,12845,14167,14173,16000,16773,14164,19109,230396,14688,18708,74769,12912,65086,13819,16779,16782,22339,74747,18607,320910,14784,15975,14936,329278,16184,319480,73699,14182,104099,16401,14600,21432,18705,16408,19699,11652,12826,20787,16776,53867,11600	Lama3,Jak1,Lamb3,Tsc1,Creb3l3,Col4a2,Fgf6,Eif4e,Col5a1,Pgf,Fgf20,Fgf9,Cdkn1b,Lamb1,Pfkfb3,Irs2,Mdm2,Col2a1,Csf1r,Fgfr2,Thbs1,Efna5,Gng7,Gng12,Prlr,Col11a1,Col4a6,Vegfd,Rab10,Gng5-ps,Lpar5,Nos1,Angpt4,Acaca,Fgf18,Il2,Ppp2r3a,Efna2,Ibsp,Lama1,Tnr,Fgf14,Gsk3b,Il6ra,Itgad,Rab14,Il7r,Fgfr4,Chrm2,Egfr,Vwf,Gng13,Itgae,Cab39,Tcl1b4,Itgav,Sos1,Il3ra,Gng4,Egf,Foxo3,Hif1a,Lamc1,Phlpp1,Ppp2r2b,Ppp2ca,Kit,Rps6-ps4,Vegfc,Itgb6,Foxo1,Ppp2r5a,Pten,Fgf10,Creb3l1,Ppp2r5c,Ifna9,Ppargc1a,Fgf22,Flt1,Rptor,Met,Itga5,Cdkn1a,Atf6b,Foxa1,Hsp90b1,Pelo,Osmr,Jak3,Phlpp2,Fgf13,Itgb5,Nos2,Pik3cd,Ifnab,Gng11,Irs3,Pik3cg,Kitl,Itgb3,Strada,Gys2,Epha2,Ins1,Col1a1,Gng10,Thbs2,Hgf,Il2rb,Itga6,Pfkfb4,Rheb,Pdgfrb,Itga3,Ngf,Jak2,Ifnar2,Akt3,Mapk1,Spp1,Col5a2,Itgb2,Eif4ebp1,Atf2,Lama4,Angpt2,Tbc1d1,Pdgfc,Ikbkb,Col1a2,Col3a1,Irs4,Ifna1,Csf3r,Gng2,Tnc,Itgb1,Tek,Csf1,Col6a2,Osm,Igf1r,Pik3c2b,Lamc3,Creb5,Fgf7,Raf1,Pdgfd,Ppp2cb,Ifna11,Tnxb,Kdr,Ptk2,Gngt2,Insr,Ngfr,Fgf15,Pik3r4,Comp,Fgf12,Fgf2,Igf1,Lama2,Fgf1,Prl,Ifna13,Gnb1,Pik3r1,Pik3cb,Creb1,Lpar3,Epas1,Lamb2,Lamc2,Vegfa,Ddit4,Pdpk1,Itgb8,Grb2,Ifnar1,Gys1,Tnn,Il2ra,Itga11,Ppp2r1b,Fgfr1,Itga9,Itga4,Ghr,Tcl1,Pik3c2g,Itgal,Reln,Akt2,Col4a1,Srebf1,Lama5,Col5a3,Angpt1
WP570	Monoamine GPCRs	0.000346894924314368	-7.96648863564831	33	27	0.0106007067137809	2547	4906	15466,11550,12671,11552,11553,11554,15562,11551,15560,12672,11549,11548,15563,15465,13488,13489,243764,15565,15551,15558,15566,213788,15552,13490,11555,15557,15550	Hrh2,Adra1d,Chrm3,Adra2b,Adra2c,Adrb1,Htr4,Adra2a,Htr2c,Chrm4,Adra1a,Adra1b,Htr5a,Hrh1,Drd1,Drd2,Chrm2,Htr6,Htr1b,Htr2a,Htr7,Chrm5,Htr1d,Drd3,Adrb2,Htr1f,Htr1a
WP553	Calcium Regulation in the Cardiac Cell	0.000418160422908619	-7.77964541220413	158	103	0.0404397330192383	2547	4906	11555,19085,14688,16439,18750,16500,14622,11941,18753,381290,12297,14682,11512,11549,14609,11933,18769,12672,11554,19084,64337,14612,14706,50779,27222,20190,53313,12671,12322,19087,22628,67972,12325,66066,12314,56533,14615,12286,109689,11515,14687,108058,67865,19735,22631,12373,19088,216869,11514,18760,12289,14708,14701,18749,14672,19739,54401,100043507,14702,14616,64214,12326,12290,432530,11548,58175,14619,18768,210044,11928,12287,18755,18761,50778,16440,24012,18762,11550,20541,19736,22629,18821,16519,213788,18751,14677,14683,58226,12313,14623,243764,20191,14697,11513,50780,20192,12323,110893,14610,11931,18767,12288,224129	Adrb2,Prkar1b,Gnb1,Itpr2,Prkca,Kcnb1,Gjb5,Atp2b2,Prkcd,Atp2b4,Cacnb3,Gnaq,Adcy6,Adra1a,Gja1,Atp1b3,Pkig,Chrm4,Adrb1,Prkar1a,Gng13,Gja4,Gng4,Rgs6,Atp1a4,Ryr1,Atp2a3,Chrm3,Camk2a,Prkar2a,Ywhag,Atp2b1,Camk2g,Gng11,Calm2,Rgs17,Gjc1,Cacna1a,Arrb1,Adcy9,Gnaz,Camk2d,Rgs10,Rgs2,Ywhaz,Casq2,Prkar2b,Arrb2,Adcy8,Prkd1,Cacna1d,Gng7,Gng12,Prkacb,Gna11,Rgs9,Ywhab,Gng5-ps,Gng2,Gja8,Rgs18,Camk4,Cacna1e,Adcy1,Adra1b,Rgs20,Gjb2,Pkib,Adcy2,Atp1a1,Cacna1b,Prkch,Prkcq,Rgs1,Itpr3,Rgs7,Prkcz,Adra1d,Slc8a1,Rgs4,Ywhah,Pln,Kcnj3,Chrm5,Prkcb,Gnai1,Gnas,Cacna1h,Calm1,Gjb6,Chrm2,Ryr2,Gnb5,Adcy7,Rgs3,Ryr3,Camk2b,Slc8a3,Gja10,Atp1b1,Pkia,Cacna1c,Adcy5
WP113	TGF Beta Signaling Pathway	0.000520951634394778	-7.55985335277579	52	39	0.0153121319199058	2547	4906	24136,12399,17131,20848,230597,16878,68010,17127,14281,21803,21813,22408,17130,16323,16420,55994,21814,12393,18033,17129,17128,21825,15978,20481,268977,14313,13645,20750,12159,16476,18121,17126,328572,94187,17125,20846,21815,16842,16451	Zeb2,Runx3,Smad7,Stat3,Zfyve9,Lif,Bambi,Smad3,Fos,Tgfb1,Tgfbr2,Wnt1,Smad6,Inhba,Itgb6,Smad9,Tgfbr3,Runx2,Nfkb1,Smad5,Smad4,Thbs1,Ifng,Ski,Ltbp1,Fst,Egf,Spp1,Bmp4,Jun,Nog,Smad2,Ep300,Zfp423,Smad1,Stat1,Tgif1,Lef1,Jak1
