TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005737	cytoplasm	5.60091113602194e-07	-14.3951663635908	11867	100	0.602409638554217	166	28799	106504,14103,240396,56043,76781,22411,18647,14645,105005,246179,14924,73750,20324,216742,13803,80877,71519,320150,74482,16656,71066,15117,75669,71704,14269,16392,240025,109648,63955,70599,77087,140488,11793,18129,21353,381626,217207,76850,108123,67216,13589,64214,18569,100554,108011,14107,67199,12593,211666,23888,14420,77976,19707,238880,71982,53860,79221,234915,193385,18750,234214,11637,240168,360216,73834,99151,241274,66234,26407,210293,13614,20322,11982,227606,215748,76898,226144,319939,320825,68975,70122,22360,105835,209039,14088,23923,207818,67088,66934,56449,234564,217732,75471,14051,22670,78610,380993,51902,69053,14872	Stk38,Fasl,Mex3c,Akr1e1,Mettl4,Wnt11,Cdk14,Glul,Lratd1,Fktn,Magi1,Whrn,Cavin2,Fnip1,Enc1,Lrba,Cyp2u1,Zdhhc17,Ifitm7,Hivep3,Hsfy2,Has2,Pik3r4,Arhgef3,Fnbp1,Isl1,Dact2,Npy,Cables1,Itprid2,Ankrd11,Igf2bp3,Atg5,Notch2,Tank,Rbm33,Dhx8,Ago4,Napg,Mboat2,Mapre1,Rgs18,Pdcd4,Pramel52-ps,Ap4e1,Fat1,Pfdn1,Cdyl,Mgst2,Gpc6,Galc,Nuak1,Reps1,Actbl2,Snx10,Septin9,Hdac9,Cep126,Ripor2,Prkca,Sorbs2,Ak2,Rasgrp3,Zranb1,Atp6v1d,Cercam,Pnpla7,Msmo1,Map3k4,Dock10,Edn1,Sord,Atp10a,Tbpl2,Cnksr3,B3gat1,Erlin1,Tns3,Samd5,Med27,Mllt3,Nrsn1,Sgsm3,Tns2,Fancc,Aadat,Smagp,Cand2,Dsn1,Ybx3,Ces1f,Cipc,1700009N14Rik,Eya4,Trim26,Uvrag,Zfat,Rnf24,Hapstr1,Gstt2
GO:0005622	intracellular anatomical structure	1.32279241248632e-05	-11.2331804988104	14712	112	0.674698795180723	166	28799	14107,108011,13589,64214,18569,100554,238880,71982,53860,19707,211666,23888,77805,14420,77976,67199,12593,69010,140488,11793,18129,70599,77087,63955,108123,67216,217207,76850,11804,381626,98267,21353,74482,71519,320150,216742,13803,80877,20324,16392,240025,109648,71704,14269,71066,75669,15117,16656,18647,56043,76781,22411,106504,14103,240396,74481,246179,73750,14924,105005,14645,17463,75471,14051,73389,217732,56449,234564,69053,214133,14872,78610,380993,51902,22385,22670,105835,22360,70122,319939,320825,68975,226144,66934,78100,207818,67088,23923,209039,14088,210293,13614,66234,26407,234258,99151,241274,73834,76898,215748,227606,20322,11982,18750,193385,79221,234915,360216,240168,71137,11637,234214	Fat1,Ap4e1,Mapre1,Rgs18,Pdcd4,Pramel52-ps,Actbl2,Snx10,Septin9,Reps1,Mgst2,Gpc6,Esco1,Galc,Nuak1,Pfdn1,Cdyl,Anapc13,Igf2bp3,Atg5,Notch2,Itprid2,Ankrd11,Cables1,Napg,Mboat2,Dhx8,Ago4,Aplp2,Rbm33,Stk17b,Tank,Ifitm7,Cyp2u1,Zdhhc17,Fnip1,Enc1,Lrba,Cavin2,Isl1,Dact2,Npy,Arhgef3,Fnbp1,Hsfy2,Pik3r4,Has2,Hivep3,Cdk14,Akr1e1,Mettl4,Wnt11,Stk38,Fasl,Mex3c,Batf2,Fktn,Whrn,Magi1,Lratd1,Glul,Psmd7,1700009N14Rik,Eya4,Hbp1,Cipc,Ybx3,Ces1f,Hapstr1,Tet2,Gstt2,Uvrag,Zfat,Rnf24,Baz1b,Trim26,Sgsm3,Nrsn1,Mllt3,Tns3,Samd5,Med27,Erlin1,Dsn1,Msantd4,Smagp,Cand2,Aadat,Tns2,Fancc,Dock10,Edn1,Msmo1,Map3k4,Neil3,Cercam,Pnpla7,Atp6v1d,B3gat1,Cnksr3,Tbpl2,Sord,Atp10a,Prkca,Ripor2,Hdac9,Cep126,Zranb1,Rasgrp3,Rfx4,Ak2,Sorbs2
GO:0043229	intracellular organelle	0.000278586405765808	-8.18578229261952	13077	98	0.590361445783133	166	28799	214133,69053,14872,380993,78610,22385,51902,22670,14051,75471,217732,73389,234564,56449,78100,66934,67088,207818,23923,14088,22360,70122,319939,68975,226144,76898,227606,20322,11982,13614,210293,66234,234258,241274,99151,73834,360216,71137,11637,234214,18750,193385,234915,79221,238880,53860,71982,19707,77805,23888,211666,77976,14420,12593,14107,108011,13589,18569,108123,67216,76850,217207,11804,98267,381626,69010,11793,140488,18129,70599,77087,63955,240025,16392,109648,14269,15117,75669,71066,16656,74482,320150,71519,13803,216742,80877,20324,246179,73750,14924,14645,17463,18647,76781,106504,74481,14103,240396	Tet2,Hapstr1,Gstt2,Zfat,Uvrag,Baz1b,Rnf24,Trim26,Eya4,1700009N14Rik,Cipc,Hbp1,Ces1f,Ybx3,Msantd4,Dsn1,Cand2,Smagp,Aadat,Fancc,Nrsn1,Mllt3,Tns3,Med27,Erlin1,B3gat1,Tbpl2,Sord,Atp10a,Edn1,Dock10,Msmo1,Neil3,Pnpla7,Cercam,Atp6v1d,Zranb1,Rfx4,Ak2,Sorbs2,Prkca,Ripor2,Cep126,Hdac9,Actbl2,Septin9,Snx10,Reps1,Esco1,Gpc6,Mgst2,Nuak1,Galc,Cdyl,Fat1,Ap4e1,Mapre1,Pdcd4,Napg,Mboat2,Ago4,Dhx8,Aplp2,Stk17b,Rbm33,Anapc13,Atg5,Igf2bp3,Notch2,Itprid2,Ankrd11,Cables1,Dact2,Isl1,Npy,Fnbp1,Has2,Pik3r4,Hsfy2,Hivep3,Ifitm7,Zdhhc17,Cyp2u1,Enc1,Fnip1,Lrba,Cavin2,Fktn,Whrn,Magi1,Glul,Psmd7,Cdk14,Mettl4,Stk38,Batf2,Fasl,Mex3c
GO:0030054	cell junction	0.000317090598630089	-8.05632302482514	2429	28	0.168674698795181	166	28799	23888,238880,109648,56449,13589,73834,320150,14107,210293,23836,209039,234214,211712,11804,15550,14645,73750,14924,207818,108123,14611,106504,319939,76965,11793,18750,230959,105835	Gpc6,Actbl2,Npy,Ybx3,Mapre1,Atp6v1d,Zdhhc17,Fat1,Dock10,Cdh20,Tns2,Sorbs2,Pcdh9,Aplp2,Htr1a,Glul,Whrn,Magi1,Smagp,Napg,Gja3,Stk38,Tns3,Slitrk1,Atg5,Prkca,Ajap1,Sgsm3
GO:0043227	membrane-bounded organelle	0.000323617042611773	-8.03594970849375	12434	94	0.566265060240964	166	28799	234258,66234,210293,13614,73834,99151,241274,76898,11982,20322,227606,18750,79221,234915,360216,11637,71137,73389,217732,75471,14051,234564,56449,14872,69053,214133,22670,22385,51902,78610,380993,70122,22360,226144,68975,67088,207818,78100,66934,14088,23923,71519,320150,74482,20324,80877,216742,13803,14269,109648,16392,240025,16656,71066,15117,75669,18647,240396,14103,74481,106504,76781,73750,14924,246179,17463,14645,14107,18569,13589,108011,19707,71982,53860,12593,14420,77976,211666,77805,23888,18129,11793,140488,69010,63955,77087,70599,217207,76850,67216,108123,381626,98267,11804	Neil3,Msmo1,Dock10,Edn1,Atp6v1d,Cercam,Pnpla7,B3gat1,Atp10a,Sord,Tbpl2,Prkca,Hdac9,Cep126,Zranb1,Ak2,Rfx4,Hbp1,Cipc,1700009N14Rik,Eya4,Ces1f,Ybx3,Gstt2,Hapstr1,Tet2,Trim26,Baz1b,Rnf24,Uvrag,Zfat,Mllt3,Nrsn1,Erlin1,Med27,Cand2,Smagp,Msantd4,Dsn1,Fancc,Aadat,Cyp2u1,Zdhhc17,Ifitm7,Cavin2,Lrba,Fnip1,Enc1,Fnbp1,Npy,Isl1,Dact2,Hivep3,Hsfy2,Has2,Pik3r4,Cdk14,Mex3c,Fasl,Batf2,Stk38,Mettl4,Whrn,Magi1,Fktn,Psmd7,Glul,Fat1,Pdcd4,Mapre1,Ap4e1,Reps1,Snx10,Septin9,Cdyl,Galc,Nuak1,Mgst2,Esco1,Gpc6,Notch2,Atg5,Igf2bp3,Anapc13,Cables1,Ankrd11,Itprid2,Dhx8,Ago4,Mboat2,Napg,Rbm33,Stk17b,Aplp2
GO:0043231	intracellular membrane-bounded organelle	0.000324956704635605	-8.03181860101447	11925	91	0.548192771084337	166	28799	71066,15117,75669,16656,109648,16392,240025,14269,80877,216742,13803,20324,74482,71519,320150,14645,17463,14924,246179,76781,240396,14103,74481,106504,18647,14420,77976,211666,77805,23888,12593,71982,19707,108011,18569,13589,14107,381626,98267,11804,67216,108123,217207,76850,77087,70599,63955,69010,18129,11793,140488,227606,11982,20322,76898,99151,241274,73834,210293,13614,234258,66234,11637,71137,360216,79221,18750,51902,22385,78610,380993,22670,14872,69053,214133,56449,234564,75471,14051,73389,217732,23923,14088,78100,66934,207818,67088,68975,226144,22360,70122	Hsfy2,Has2,Pik3r4,Hivep3,Npy,Isl1,Dact2,Fnbp1,Lrba,Fnip1,Enc1,Cavin2,Ifitm7,Cyp2u1,Zdhhc17,Glul,Psmd7,Magi1,Fktn,Mettl4,Mex3c,Fasl,Batf2,Stk38,Cdk14,Galc,Nuak1,Mgst2,Esco1,Gpc6,Cdyl,Snx10,Reps1,Ap4e1,Pdcd4,Mapre1,Fat1,Rbm33,Stk17b,Aplp2,Mboat2,Napg,Dhx8,Ago4,Ankrd11,Itprid2,Cables1,Anapc13,Notch2,Atg5,Igf2bp3,Tbpl2,Atp10a,Sord,B3gat1,Cercam,Pnpla7,Atp6v1d,Dock10,Edn1,Neil3,Msmo1,Ak2,Rfx4,Zranb1,Hdac9,Prkca,Rnf24,Baz1b,Uvrag,Zfat,Trim26,Gstt2,Hapstr1,Tet2,Ybx3,Ces1f,1700009N14Rik,Eya4,Hbp1,Cipc,Aadat,Fancc,Msantd4,Dsn1,Smagp,Cand2,Med27,Erlin1,Nrsn1,Mllt3
GO:0043226	organelle	0.000498527462847137	-7.60385187911266	13428	99	0.596385542168675	166	28799	66934,78100,207818,67088,23923,14088,22360,70122,319939,68975,226144,214133,69053,14872,380993,78610,22385,51902,22670,14051,75471,217732,73389,234564,56449,360216,71137,11637,234214,18750,193385,234915,79221,76898,227606,20322,11982,13614,210293,66234,234258,99151,241274,73834,108123,67216,76850,217207,11804,98267,381626,69010,140488,11793,18129,70599,77087,63955,238880,53860,71982,19707,23888,77805,211666,77976,14420,12593,14107,108011,13589,18569,246179,14924,73750,14645,17463,18647,76965,76781,106504,74481,240396,14103,240025,16392,109648,14269,75669,15117,71066,16656,74482,320150,71519,13803,216742,80877,20324	Dsn1,Msantd4,Smagp,Cand2,Aadat,Fancc,Nrsn1,Mllt3,Tns3,Med27,Erlin1,Tet2,Hapstr1,Gstt2,Zfat,Uvrag,Baz1b,Rnf24,Trim26,Eya4,1700009N14Rik,Cipc,Hbp1,Ces1f,Ybx3,Zranb1,Rfx4,Ak2,Sorbs2,Prkca,Ripor2,Cep126,Hdac9,B3gat1,Tbpl2,Sord,Atp10a,Edn1,Dock10,Msmo1,Neil3,Cercam,Pnpla7,Atp6v1d,Napg,Mboat2,Ago4,Dhx8,Aplp2,Stk17b,Rbm33,Anapc13,Igf2bp3,Atg5,Notch2,Itprid2,Ankrd11,Cables1,Actbl2,Septin9,Snx10,Reps1,Gpc6,Esco1,Mgst2,Nuak1,Galc,Cdyl,Fat1,Ap4e1,Mapre1,Pdcd4,Fktn,Magi1,Whrn,Glul,Psmd7,Cdk14,Slitrk1,Mettl4,Stk38,Batf2,Mex3c,Fasl,Dact2,Isl1,Npy,Fnbp1,Pik3r4,Has2,Hsfy2,Hivep3,Ifitm7,Zdhhc17,Cyp2u1,Enc1,Fnip1,Lrba,Cavin2
GO:0070161	anchoring junction	0.000516559339999033	-7.56832038733189	765	13	0.0783132530120482	166	28799	14107,23836,105835,230959,18750,319939,56449,13589,14611,14924,211712,209039,234214	Fat1,Cdh20,Sgsm3,Ajap1,Prkca,Tns3,Ybx3,Mapre1,Gja3,Magi1,Pcdh9,Tns2,Sorbs2
GO:0005829	cytosol	0.000524780570472132	-7.55253034374816	3979	39	0.234939759036145	166	28799	360216,66934,76850,67088,73750,217207,14645,14088,21353,18647,105835,140488,11793,70122,18129,18750,319939,56043,70599,76781,68975,77087,193385,106504,63955,19707,14872,71066,20322,16656,14107,210293,217732,216742,80877,56449,234564,20324,18569	Zranb1,Dsn1,Ago4,Cand2,Whrn,Dhx8,Glul,Fancc,Tank,Cdk14,Sgsm3,Igf2bp3,Atg5,Mllt3,Notch2,Prkca,Tns3,Akr1e1,Itprid2,Mettl4,Med27,Ankrd11,Ripor2,Stk38,Cables1,Reps1,Gstt2,Hsfy2,Sord,Hivep3,Fat1,Dock10,Cipc,Fnip1,Lrba,Ybx3,Ces1f,Cavin2,Pdcd4
GO:0035032	phosphatidylinositol 3-kinase complex, class III	0.000903877138743485	-7.00881711527809	8	2	0.0120481927710843	166	28799	75669,78610	Pik3r4,Uvrag
