TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00479	ZF_DAG_PE_1	0.000540192947403842	-7.52358417221886	59	4	0.0465116279069767	86	13465	240168,18750,319939,209039	Rasgrp3,Prkca,Tns3,Tns2
PS50081	ZF_DAG_PE_2	0.000736089747254664	-7.21415850746467	64	4	0.0465116279069767	86	13465	18750,240168,319939,209039	Prkca,Rasgrp3,Tns3,Tns2
PS51181	PPASE_TENSIN	0.000829303506920085	-7.0949243577447	7	2	0.0232558139534884	86	13465	319939,209039	Tns3,Tns2
PS51182	C2_TENSIN	0.000829303506920085	-7.0949243577447	7	2	0.0232558139534884	86	13465	319939,209039	Tns3,Tns2
PS00108	PROTEIN_KINASE_ST	0.00411589924694778	-5.49289793969969	317	7	0.0813953488372093	86	13465	106504,18647,77976,75669,98267,18750,26407	Stk38,Cdk14,Nuak1,Pik3r4,Stk17b,Prkca,Map3k4
PS00181	GLNA_ATP	0.00638692907532864	-5.05350170900033	1	1	0.0116279069767442	86	13465	14645	Glul
PS00180	GLNA_1	0.00638692907532864	-5.05350170900033	1	1	0.0116279069767442	86	13465	14645	Glul
PS01242	ZF_FPG_1	0.00638692907532864	-5.05350170900033	1	1	0.0116279069767442	86	13465	234258	Neil3
PS50199	ZF_RANBP2_2	0.0093502139879412	-4.67235604953261	23	2	0.0232558139534884	86	13465	234258,360216	Neil3,Zranb1
PS01358	ZF_RANBP2_1	0.0101582257668985	-4.58947148132354	24	2	0.0232558139534884	86	13465	360216,234258	Zranb1,Neil3
PS51811	ZF_CCHC_HIVEP	0.012733536628759	-4.36351608655582	2	1	0.0116279069767442	86	13465	16656	Hivep3
PS51136	WAC	0.012733536628759	-4.36351608655582	2	1	0.0116279069767442	86	13465	22385	Baz1b
PS51066	ZF_FPG_2	0.012733536628759	-4.36351608655582	2	1	0.0116279069767442	86	13465	234258	Neil3
PS00351	TFIID	0.012733536628759	-4.36351608655582	2	1	0.0116279069767442	86	13465	227606	Tbpl2
PS51987	GS_CATALYTIC	0.012733536628759	-4.36351608655582	2	1	0.0116279069767442	86	13465	14645	Glul
PS51836	DENN_FNIP12	0.012733536628759	-4.36351608655582	2	1	0.0116279069767442	86	13465	216742	Fnip1
PS51986	GS_BETA_GRASP	0.012733536628759	-4.36351608655582	2	1	0.0116279069767442	86	13465	14645	Glul
PS50084	KH_TYPE_1	0.0187262843055655	-3.97782716418373	33	2	0.0232558139534884	86	13465	140488,240396	Igf2bp3,Mex3c
PS50831	SOHO	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	234214	Sorbs2
PS51230	EB1_C	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	13589	Mapre1
PS51068	FPG_CAT	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	234258	Neil3
PS51143	MT_A70	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	76781	Mettl4
PS50276	PANCREATIC_HORMONE_2	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	109648	Npy
PS00265	PANCREATIC_HORMONE_1	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	109648	Npy
PS51290	CRIC	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	215748	Cnksr3
PS00320	APP_INTRA	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	11804	Aplp2
PS00319	APP_CUBD	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	11804	Aplp2
PS51418	RAN	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	75471	1700009N14Rik
PS51870	APP_E2	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	11804	Aplp2
PS51869	APP_E1	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	11804	Aplp2
PS00270	ENDOTHELIN	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	13614	Edn1
PS51148	AXH	0.01904007423988	-3.96120935047316	3	1	0.0116279069767442	86	13465	73389	Hbp1
PS50086	TBC_RABGAP	0.0244266639325593	-3.71207995921563	38	2	0.0232558139534884	86	13465	105835,223754	Sgsm3,Tbc1d22a
PS51905	ZF_UBZ1	0.0253067919347139	-3.67668246335896	4	1	0.0116279069767442	86	13465	21353	Tank
PS51037	YEATS	0.0253067919347139	-3.67668246335896	4	1	0.0116279069767442	86	13465	70122	Mllt3
PS00018	EF_HAND_1	0.0261579556810404	-3.64360190219598	176	4	0.0465116279069767	86	13465	240168,213262,235542,19707	Rasgrp3,Fstl5,Ppp2r3a,Reps1
PS51854	CSPG	0.0315339382019049	-3.45669090989779	5	1	0.0116279069767442	86	13465	329872	Frem1
PS50827	DDT	0.0315339382019049	-3.45669090989779	5	1	0.0116279069767442	86	13465	22385	Baz1b
PS50258	LNR	0.0315339382019049	-3.45669090989779	5	1	0.0116279069767442	86	13465	18129	Notch2
PS00107	PROTEIN_KINASE_ATP	0.0341852326886913	-3.37596152089123	379	6	0.0697674418604651	86	13465	77976,106504,18647,26407,98267,18750	Nuak1,Stk38,Cdk14,Map3k4,Stk17b,Prkca
PS00232	CADHERIN_1	0.0356394205095022	-3.33430293606553	113	3	0.0348837209302326	86	13465	211712,23836,14107	Pcdh9,Cdh20,Fat1
PS50011	PROTEIN_KINASE_DOM	0.0369551402539968	-3.29805052748806	490	7	0.0813953488372093	86	13465	98267,18750,26407,106504,18647,75669,77976	Stk17b,Prkca,Map3k4,Stk38,Cdk14,Pik3r4,Nuak1
PS01207	GLYPICAN	0.0377217599934726	-3.27751816288141	6	1	0.0116279069767442	86	13465	23888	Gpc6
PS51934	LRAT	0.0377217599934726	-3.27751816288141	6	1	0.0116279069767442	86	13465	105005	Lratd1
PS00059	ADH_ZINC	0.0377217599934726	-3.27751816288141	6	1	0.0116279069767442	86	13465	20322	Sord
PS00352	CSD_1	0.0377217599934726	-3.27751816288141	6	1	0.0116279069767442	86	13465	56449	Ybx3
PS51366	MI	0.0377217599934726	-3.27751816288141	6	1	0.0116279069767442	86	13465	18569	Pdcd4
PS50821	PAZ	0.0377217599934726	-3.27751816288141	6	1	0.0116279069767442	86	13465	76850	Ago4
PS50822	PIWI	0.0377217599934726	-3.27751816288141	6	1	0.0116279069767442	86	13465	76850	Ago4
PS00113	ADENYLATE_KINASE	0.0377217599934726	-3.27751816288141	6	1	0.0116279069767442	86	13465	11637	Ak2
PS50268	CADHERIN_2	0.0397265783612821	-3.22573483515779	118	3	0.0348837209302326	86	13465	211712,14107,23836	Pcdh9,Fat1,Cdh20
PS51999	ZF_GRF	0.0438705027414622	-3.12651310406885	7	1	0.0116279069767442	86	13465	234258	Neil3
PS00406	ACTINS_1	0.0438705027414622	-3.12651310406885	7	1	0.0116279069767442	86	13465	238880	Actbl2
PS00092	N6_MTASE	0.0438705027414622	-3.12651310406885	7	1	0.0116279069767442	86	13465	76781	Mettl4
PS51285	AGC_KINASE_CTER	0.045036456254227	-3.10028297821445	53	2	0.0232558139534884	86	13465	106504,18750	Stk38,Prkca
PS50222	EF_HAND_2	0.0473922742311446	-3.04929605446969	213	4	0.0465116279069767	86	13465	19707,240168,213262,235542	Reps1,Rasgrp3,Fstl5,Ppp2r3a
PS51857	CSD_2	0.0499804103618311	-2.99612414308821	8	1	0.0116279069767442	86	13465	56449	Ybx3
PS51783	PH_BEACH	0.0499804103618311	-2.99612414308821	8	1	0.0116279069767442	86	13465	80877	Lrba
PS50126	S1	0.0499804103618311	-2.99612414308821	8	1	0.0116279069767442	86	13465	217207	Dhx8
PS51635	PNPLA	0.0499804103618311	-2.99612414308821	8	1	0.0116279069767442	86	13465	241274	Pnpla7
PS50197	BEACH	0.0560517252693259	-2.88148034903982	9	1	0.0116279069767442	86	13465	80877	Lrba
PS51526	RFX_DBD	0.0560517252693259	-2.88148034903982	9	1	0.0116279069767442	86	13465	71137	Rfx4
PS00063	ALDOKETO_REDUCTASE_3	0.0620846883816364	-2.77925588434738	10	1	0.0116279069767442	86	13465	56043	Akr1e1
PS50106	PDZ	0.067812292388245	-2.69101179680788	147	3	0.0348837209302326	86	13465	73750,14924,215748	Whrn,Magi1,Cnksr3
PS51650	C2_DOCK	0.0680795391272042	-2.68707856431684	11	1	0.0116279069767442	86	13465	210293	Dock10
PS51651	DOCKER	0.0680795391272042	-2.68707856431684	11	1	0.0116279069767442	86	13465	210293	Dock10
PS50031	EH	0.0680795391272042	-2.68707856431684	11	1	0.0116279069767442	86	13465	19707	Reps1
PS00251	TNF_1	0.0680795391272042	-2.68707856431684	11	1	0.0116279069767442	86	13465	14103	Fasl
PS00432	ACTINS_2	0.0740365154650778	-2.6031968552547	12	1	0.0116279069767442	86	13465	238880	Actbl2
PS51860	REM_1	0.0740365154650778	-2.6031968552547	12	1	0.0116279069767442	86	13465	14269	Fnbp1
PS51719	G_SEPTIN	0.0799558538796858	-2.52628062312446	13	1	0.0116279069767442	86	13465	53860	Septin9
PS01132	ACTINS_ACT_LIKE	0.0799558538796858	-2.52628062312446	13	1	0.0116279069767442	86	13465	238880	Actbl2
PS50105	SAM_DOMAIN	0.0829734953235531	-2.48923405563449	75	2	0.0232558139534884	86	13465	320825,215748	Samd5,Cnksr3
PS00798	ALDOKETO_REDUCTASE_1	0.085837789396353	-2.45529593359669	14	1	0.0116279069767442	86	13465	56043	Akr1e1
PS50077	HEAT_REPEAT	0.085837789396353	-2.45529593359669	14	1	0.0116279069767442	86	13465	75669	Pik3r4
PS50802	OTU	0.0916825555924616	-2.38942315126829	15	1	0.0116279069767442	86	13465	360216	Zranb1
PS00856	GUANYLATE_KINASE_1	0.0974903846031047	-2.32800152529689	16	1	0.0116279069767442	86	13465	14924	Magi1
PS00062	ALDOKETO_REDUCTASE_2	0.0974903846031047	-2.32800152529689	16	1	0.0116279069767442	86	13465	56043	Akr1e1
PS00407	CONNEXINS_1	0.103261507136669	-2.27049060408545	17	1	0.0116279069767442	86	13465	14611	Gja3
PS50915	CRYSTALLIN_BETA_GAMMA	0.103261507136669	-2.27049060408545	17	1	0.0116279069767442	86	13465	12970	Crygs
PS50049	TNF_2	0.103261507136669	-2.27049060408545	17	1	0.0116279069767442	86	13465	14103	Fasl
PS00408	CONNEXINS_2	0.10899615246387	-2.21644269587261	18	1	0.0116279069767442	86	13465	14611	Gja3
PS50249	MPN	0.10899615246387	-2.21644269587261	18	1	0.0116279069767442	86	13465	17463	Psmd7
PS00598	CHROMO_1	0.10899615246387	-2.21644269587261	18	1	0.0116279069767442	86	13465	12593	Cdyl
PS00246	WNT1	0.114694548454413	-2.16548278470857	19	1	0.0116279069767442	86	13465	22411	Wnt11
PS50826	RUN	0.114694548454413	-2.16548278470857	19	1	0.0116279069767442	86	13465	105835	Sgsm3
PS01187	EGF_CA	0.119023727172649	-2.1284324177403	93	2	0.0232558139534884	86	13465	18129,14107	Notch2,Fat1
PS50279	BPTI_KUNITZ_2	0.120356921567524	-2.11729360442073	20	1	0.0116279069767442	86	13465	11804	Aplp2
PS00690	DEAH_ATP_HELICASE	0.120356921567524	-2.11729360442073	20	1	0.0116279069767442	86	13465	217207	Dhx8
PS00280	BPTI_KUNITZ_1	0.120356921567524	-2.11729360442073	20	1	0.0116279069767442	86	13465	11804	Aplp2
PS00010	ASX_HYDROXYL	0.123241464546813	-2.09360972162732	95	2	0.0232558139534884	86	13465	18129,14107	Notch2,Fat1
PS00122	CARBOXYLESTERASE_B_1	0.125983496854172	-2.07160435795679	21	1	0.0116279069767442	86	13465	234564	Ces1f
PS50052	GUANYLATE_KINASE_2	0.131574497988896	-2.02818206314842	22	1	0.0116279069767442	86	13465	14924	Magi1
PS51741	F_BAR	0.137130147262693	-1.9868248240798	23	1	0.0116279069767442	86	13465	14269	Fnbp1
PS50013	CHROMO_2	0.137130147262693	-1.9868248240798	23	1	0.0116279069767442	86	13465	12593	Cdyl
PS00216	SUGAR_TRANSPORT_1	0.137130147262693	-1.9868248240798	23	1	0.0116279069767442	86	13465	73102	Slc22a23
PS50001	SH2	0.142647504033308	-1.9473786986134	104	2	0.0232558139534884	86	13465	209039,319939	Tns2,Tns3
PS00741	DH_1	0.142650665589355	-1.94735653544249	24	1	0.0116279069767442	86	13465	71704	Arhgef3
PS00633	BROMODOMAIN_1	0.142650665589355	-1.94735653544249	24	1	0.0116279069767442	86	13465	22385	Baz1b
PS00941	CARBOXYLESTERASE_B_2	0.148136272520428	-1.90962266858457	25	1	0.0116279069767442	86	13465	234564	Ces1f
