TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-1632852	Macroautophagy	0.00445354328019708	-5.41405525689615	58	3	0.06	50	8672	78610,75669,11793	Uvrag,Pik3r4,Atg5
R-MMU-1971475	A tetrasaccharide linker sequence is required for GAG synthesis	0.00969367387714397	-4.63628178384715	26	2	0.04	50	8672	23888,76898	Gpc6,B3gat1
R-MMU-156590	Glutathione conjugation	0.00969367387714397	-4.63628178384715	26	2	0.04	50	8672	14872,211666	Gstt2,Mgst2
R-MMU-4086400	PCP/CE pathway	0.0112262304108009	-4.48950223792655	81	3	0.06	50	8672	22411,17463,18750	Wnt11,Psmd7,Prkca
R-MMU-5652227	Fructose biosynthesis	0.0114987833216551	-4.4655140473269	2	1	0.02	50	8672	20322	Sord
R-MMU-75157	FasL/ CD95L signaling	0.0228679592377433	-3.77801850808404	4	1	0.02	50	8672	14103	Fasl
R-MMU-210455	Astrocytic Glutamate-Glutamine Uptake And Metabolism	0.0228679592377433	-3.77801850808404	4	1	0.02	50	8672	14645	Glul
R-MMU-112313	Neurotransmitter uptake and Metabolism In Glial Cells	0.0228679592377433	-3.77801850808404	4	1	0.02	50	8672	14645	Glul
R-MMU-3858494	Beta-catenin independent WNT signaling	0.023535420150675	-3.74924875212458	107	3	0.06	50	8672	17463,22411,18750	Psmd7,Wnt11,Prkca
R-MMU-8875513	MET interacts with TNS proteins	0.0285043923295891	-3.55769708675462	5	1	0.02	50	8672	319939	Tns3
R-MMU-1912399	Pre-NOTCH Processing in the Endoplasmic Reticulum	0.0285043923295891	-3.55769708675462	5	1	0.02	50	8672	18129	Notch2
R-MMU-5661270	Catabolism of glucuronate to xylulose-5-phosphate	0.0285043923295891	-3.55769708675462	5	1	0.02	50	8672	20322	Sord
R-MMU-5221030	TET1,2,3 and TDG demethylate DNA	0.0285043923295891	-3.55769708675462	5	1	0.02	50	8672	214133	Tet2
R-MMU-114516	Disinhibition of SNARE formation	0.0285043923295891	-3.55769708675462	5	1	0.02	50	8672	18750	Prkca
