TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
20607	Sstr3 (somatostatin receptor 3)	1.57379105801483e-11	-24.8749486276118	388	267	0.043706007529874	6109	11667	12286,14396,217517,56543,75209,192198,75687,19349,232023,72729,18007,110862,23945,12388,76740,74340,104111,18749,268345,20511,110265,53321,216028,14401,242425,58235,109905,20320,11829,14394,16412,213056,22253,14763,17118,19299,16508,16494,16522,20527,17988,12540,14688,13723,12260,74020,100434,74551,13641,13665,260297,83921,243274,20503,14360,230775,16485,58994,94229,27207,16905,406218,235072,19271,18530,17470,11842,18222,20614,18738,74342,237397,64294,381813,57440,668212,70425,20510,14687,13483,16590,15165,26419,14400,19179,56044,11857,20779,235402,98660,55988,13642,20742,22612,15166,97130,11932,11928,11636,12801,94221,217480,11773,14432,67974,19057,58998,20512,24012,17995,23984,71803,71302,74337,232333,18189,72393,268902,12300,17254,13838,269615,18717,56710,70310,76156,69190,110197,69551,52398,57138,50779,54403,11736,226844,54198,70350,83674,13728,73442,52585,227059,108099,260299,241263,11352,17475,68732,71436,20409,11898,497097,110886,11938,11517,260315,16490,14693,170738,18163,50769,71435,54393,20496,234353,224860,64143,26926,230085,11515,11302,269109,11845,213990,56418,70757,50934,17968,18213,14718,110891,12290,54338,13869,228850,70948,80718,269060,11981,226527,71947,20541,11496,110911,13401,67703,66588,17967,20359,14816,14807,320560,20274,14680,20536,330814,56079,22141,108068,15558,432530,93840,104718,52635,13844,242384,228852,22329,11941,319655,17448,13845,56737,94219,66482,399548,16519,57776,12168,20981,18795,64933,14406,330485,20362,11852,108116,71729,347722,13176,108071,68203,74012,243499,19384,269587,13052,19876,23966,14167,214230,59033,77220,94185,192167,223666,109154,56533,22671,17992,14664,59027,11732,171469,67972,27360,208846	Cacna1a,Gabra3,Stxbp6,Kcnd3,Sv2c,Lrrc4,Ripor1,Rab7,Vopp1,Cdc42se2,Neo1,Kcnq3,Mgll,Ctnnd1,Efr3a,Ahcyl2,Adcy3,Prkacb,Kcnc2,Slc1a2,Msra,Cntnap1,Lrrtm3,Gabrb2,Gabbr2,Nectin1,Rap1a,Nptn,Aqp4,Gabra1,Itgb1,Hycc2,Unc5c,Gpr37,Marcks,Abcd3,Kcnd2,Kcna6,Kcnj6,Slc2a3,Ndrg1,Cdc42,Gnb1,Emb,C1qb,Cpne4,Slc44a1,Pck2,Efnb1,Eif2s1,Prrt1,Cemip2,Tmem132d,Slc16a7,Fyn,Adgrb2,Kcna1,Smpd3,Slc4a10,Rps11,Lmna,Panx2,Septin7,Ptprj,Pcdh8,Cd200,Arf3,Numb,Snap25,Pitpna,Lrrtm1,C2cd4c,Itm2c,Prmt8,Ehd3,Efr3b,Csnk1g3,Slc1a1,Gnaz,Dpp6,Kit,Hcn1,Mapk8,Gabrb1,Psmc1,Rala,Arhgdib,Src,Lingo1,Atp1a2,Snx12,Efnb2,Sptbn1,Yes1,Hcn2,Nhsl3,Atp1b2,Atp1a1,Ak1,Cnr1,Gopc,Dgkb,Ap2m1,Gap43,Ccny,Ppp3cc,Nectin3,Slc1a3,Rgs7,Ndufv1,Pde10a,Slc25a18,Arhgap26,Palm3,Slc6a1,Nrxn1,Faim2,Robo2,Cacng2,Slc3a2,Epha4,Plch2,Pip5k1c,Brinp1,Plscr3,Fam131b,Dym,Dgkg,2310022B05Rik,Septin11,Slc12a5,Rgs6,Slc4a4,Ankfy1,Flvcr1,Snx3,Basp1,Cnnm1,Mark2,Hspa12a,Dhrs1,Slc39a10,Prkag2,Cadm4,Gpr158,Abl2,Mpdz,Carmil1,Flrt3,Ostf1,Ass1,Xkr4,Gabra5,Atp2a2,Adcyap1r1,Nav3,Kcna2,Gnb2,Kcnh7,Ctnnd2,Atp8a2,Arhgap21,Gabbr1,Slc12a2,Psd3,Plcl2,Ralb,Aifm1,Phf24,Adcy9,Aatk,Dpp10,Arf6,Agap3,Ykt6,Hacd2,Slc7a8,Ncam2,Ntrk3,Got1,Slc8a2,Cacna1e,Slc23a2,Erbb4,Ralgapb,Wdr20rt,Rab27b,Dagla,Atp9a,Cryzl2,Tmem94,Slc8a1,Adam22,Cds2,Dmwd,Kirrel3,Cmpk1,Ncam1,Sema6b,Grm1,Grik3,Dennd5b,Scn9a,Gnal,Slc4a3,Adgrl1,Astn2,Tub,Grm2,Htr2a,Adcy1,Vangl2,Ttc7b,Esyt2,Ephb2,Lingo2,Ppp1r16b,Vcam1,Atp2b2,Podxl2,Mdh2,Ephb3,Alg2,Cnnm2,Exoc2,Scn4b,Kcnj3,Ttyh1,Bmpr2,Syt3,Plcb1,Ap3m2,Gabrg2,Tmem145,Septin8,Rhob,Slco3a1,Rgs12,Agap1,Dcc,Grm5,Diras2,Rap2b,Lrrtm4,Ran,Epb41,Cxadr,Robo1,Tenm4,Fgf12,Pak6,Slc4a8,Tmem200a,Tnfrsf21,Nlgn1,Arhgap39,Mlec,Rgs17,Rnf112,Ndufa4,Slc6a9,Nampt,Ank,Gpr37l1,Atp2b1,Add3,Daam1
216439	Agap2 (ArfGAP with GTPase domain, ankyrin repeat and PH domain 2)	6.61860570515362e-10	-21.1359662007316	194	143	0.0234080864298576	6109	11667	26556,11426,210274,327814,12322,665113,13821,227733,11352,320706,18772,244310,19116,108888,77531,54216,14683,245666,18951,26875,545156,224997,12325,76089,19046,18015,14693,14645,20320,17918,58234,13800,69601,13823,109676,108069,269593,13196,18749,259302,53310,319504,17968,12540,14688,26557,29875,70549,226525,235661,116838,245684,213109,12934,21960,244418,18751,13383,19088,26422,12297,381813,63958,18039,56491,14811,235072,26413,140887,12290,218194,20430,14800,14799,20779,23859,243621,243725,26414,234214,14816,20411,116837,14687,14812,19056,108058,18754,56320,320472,56508,544963,66797,18752,18223,20742,233977,109711,22284,217882,13385,108068,19055,104015,67300,60595,64009,19229,12323,242667,13424,17754,268980,17999,108071,17760,11735,75599,70661,54633,232227,14682,56013,223435,13429,14083,20740,102098,227753,13175,11764,242274,18040,223666,192167,13822,76884,228836,13000,18750,83679,207565,50720	Homer1,Macf1,Shank2,Ppfia2,Camk2a,Tnik,Epb41l1,Pip5kl1,Abl2,Mtcl2,Pkp1,Dlgap2,Prlr,Atad3a,Anks1b,Pcdh7,Gnas,Iqsec2,Septin5,Pclo,Kalrn,Dlgap1,Camk2g,Rapgef2,Ppp1cb,Nf1,Gnb2,Glul,Nptn,Myo5a,Shank3,Enah,Dab2ip,Epb41l3,Ank2,Grm3,Luzp1,Asap1,Prkacb,Srgap3,Dlg3,Nrcam,Ncam2,Cdc42,Gnb1,Homer2,Iqgap1,Tln2,Rasal2,Dync1li1,Rims2,Cnksr2,Phf3,Dpysl2,Tnr,Prag1,Prkcb,Dlg1,Prkar2b,Nbea,Cacnb3,Prmt8,Ube4b,Nefl,Vapb,Grin2a,Septin7,Mapk1,Lnx2,Cacna1e,Phactr1,Cyfip1,Gria2,Gria1,Src,Dlg2,Iqsec3,Ppp1r9a,Mapk10,Sorbs2,Grm1,Sorbs1,Rims1,Gnaz,Grin2b,Ppp3cb,Camk2d,Prkce,Dbn1,Ppm1e,Rapgef4,Iqgap2,Cntnap2,Prkcg,Numbl,Sptbn1,Ppfia1,Actn1,Usp9x,Cep170b,Dlg4,Grm2,Ppp3ca,Synj1,Cltc,Actn4,Syne1,Ptk2b,Camk2b,Dlgap3,Dync1h1,Map1a,Strn,Nedd4,Grm5,Map6,Ank3,Pcdh1,Sik3,Pqbp1,Iqsec1,Gnaq,Srcin1,Trio,Dnm1,Ptk2,Sptan1,Arhgef18,Gsn,Dclk1,Ap1b1,Lrrc7,Nefm,Arhgap39,Nlgn1,Epb41l2,Cyfip2,Dlgap4,Csnk2a2,Prkca,Pde4dip,Camkk2,Sacs
13385	Dlg4 (discs large MAGUK scaffold protein 4)	2.42147097173653e-08	-17.5363055488829	356	237	0.0387952201669668	6109	11667	18752,544963,64337,207728,14544,20352,74094,11941,330914,15194,67300,93840,18212,12343,15558,13385,330814,210933,23859,14799,16975,72542,225791,208869,16491,20411,56320,17967,66871,108058,272381,11496,14083,622434,70729,19309,18195,76884,14405,54357,223666,14805,228836,214230,99470,12323,20979,74012,23964,13176,76886,72828,333605,14406,70530,70620,232227,14020,14806,106042,19046,19159,380785,18451,237353,109676,16490,71902,382253,16563,13800,69601,320720,210274,11426,12322,19259,319387,107831,380684,13860,72555,244310,77531,243312,26422,215748,19088,16492,19878,83814,18039,13361,18125,80749,13869,170707,235044,67295,52389,19325,20430,226251,108073,12805,100039795,214459,319504,246317,53310,237979,17246,27402,67916,19353,209743,11845,13508,18751,109934,11928,244895,16554,234267,68365,20742,104015,228071,19055,14800,72416,20779,234214,14400,216739,21838,14812,20720,217219,216439,19056,18754,70350,12387,54403,243548,52398,22628,66860,242274,16498,22031,207393,21366,18189,64009,19229,74007,12300,242667,11308,23984,68585,16517,11735,77097,54401,238130,212999,71069,16497,14394,14086,17974,224997,545156,102193,14645,14401,66589,268373,53321,108069,381290,50997,58807,13823,20511,58234,18749,14395,16572,239667,22631,665113,108100,26556,217692,54712,54376,15560,18951,245666,14396,14803,53382,16568,74513,76742,14811,74256,75409,16432,140580,11842,224650,26413,380702,56298,234023,230775,16485,11418,241568,70047,260297,26557,14688,245684,14813,16522,16494,16971,54377,13383,16508,12934	Prkcg,Iqgap2,Gng13,Pde2a,Gda,Sema4b,Tjap1,Atp2b2,Arhgap32,Htt,Cltc,Vangl2,Ntrk2,Capza2,Htr2a,Dlg4,Adgrl1,Adgrb3,Dlg2,Gria1,Lrp8,Pgam5,Ptgr3,Dock3,Kcna3,Sorbs1,Dbn1,Ncam1,Cpne8,Camk2d,Lrrc4b,Adam22,Ptk2,Arhgef26,Nos1ap,Pygm,Nsf,Cyfip2,Gabrg1,Epb41l4b,Arhgap39,Grik1,Dlgap4,Pak6,Magi3,Camk2b,Syt1,Rap2b,Tenm2,Dcc,Fam81a,Ubash3b,Frmpd4,Gabrg2,Lrfn2,Ube2v2,Iqsec1,Evi5,Grik2,Prickle1,Ppp1cb,Cyth3,Begain,P4ha1,Sh3rf3,Ank2,Kcna2,Cand1,Cdkl5,Kif2a,Enah,Dab2ip,Fastkd1,Shank2,Macf1,Camk2a,Ptpn5,Adgrl3,Adgrb1,Nefh,Eps8,Shisa9,Dlgap2,Anks1b,Elfn1,Nbea,Cnksr3,Prkar2b,Kcna4,Rock2,Nedd4l,Nefl,Dhfr,Nos1,Lrfn1,Erbb4,Usp48,Plppr2,Rab3c,Adgra1,Rab10,Cyfip1,Ablim1,Grm7,Cntn1,Ildr2,Fnbp1l,Nrcam,Neto1,Dlg3,Sdk2,Mdm2,Pdhx,Plpp3,Rac1,Minar1,Arf6,Dscam,Prkcb,Abr,Atp1a1,Peak1,Kif13b,Gpm6a,Rab14,Sptbn1,Synj1,Sestd1,Ppp3ca,Gria2,Lrpprc,Src,Sorbs2,Gabrb1,Acsl6,Thy1,Grin2b,Serpine2,Fam171a2,Agap2,Ppp3cb,Prkce,Basp1,Ctnnb1,Slc4a4,Prickle2,Septin11,Ywhag,Tanc1,Lrrc7,Kcnab2,Traf3,Elfn2,Slc6a6,Nrxn1,Syne1,Ptk2b,Abtb3,Cacng2,Dlgap3,Abi1,Pde10a,Rtn4,Kcnj16,Ank3,Tanc2,Ywhab,Dock4,Tnpo2,Stox2,Kcnab1,Gabra1,Fscn1,Nck2,Dlgap1,Kalrn,Zdhhc7,Glul,Gabrb2,Ube2v1,Ppia,Cntnap1,Grm3,Atp2b4,Mpp2,Slco1c1,Epb41l3,Slc1a2,Shank3,Prkacb,Gabra2,Kif5a,Dip2b,Ywhaz,Tnik,Baiap2,Homer1,Sipa1l1,Plxnc1,Cacng3,Htr2c,Septin5,Iqsec2,Gabra3,Grid1,Txnl1,Kif3a,Neto2,Snx27,Grin2a,Cyld,Slitrk5,Itm2b,Elmo1,Arf3,Anks1,Mapk1,Shisa6,Atl2,Arglu1,Adgrb2,Kcna1,Asic2,Lrrc4c,Trnt1,Prrt1,Homer2,Gnb1,Cnksr2,Grin2c,Kcnj6,Kcna6,Lrp1,Cacng4,Dlg1,Kcnd2,Dpysl2
224997	Dlgap1 (DLG associated protein 1)	5.7173447374945e-08	-16.6771762530697	165	120	0.0196431494516287	6109	11667	18163,380785,14645,14693,109905,19290,16497,12325,545156,19159,16572,12388,16490,53321,67857,13823,69601,58234,382253,16563,17475,13821,380684,665113,12322,16574,210274,22631,26556,108100,18951,245666,13199,244310,83814,14811,16492,74256,19047,18039,26422,14359,215748,74342,20430,226251,208151,230775,16485,11842,26413,230904,235072,16443,18578,14688,53310,22629,13383,268932,18751,12934,245684,19353,226525,20616,12386,223254,26921,18752,544963,56508,12343,19055,13385,22284,330914,20742,241688,234214,243621,210933,14799,23859,14800,216439,56320,11496,108058,19056,14812,20411,227753,59079,20740,74488,208618,72685,14083,12387,228836,52398,22628,76884,66860,223666,242274,26936,269941,242667,74007,12323,18189,64009,13429,223435,330369,13367,54401,232227	Ctnnd2,Begain,Glul,Gnb2,Rap1a,Pura,Kcnab1,Camk2g,Kalrn,Cyth3,Kif5a,Ctnnd1,Kcna2,Cntnap1,Ppp6c,Epb41l3,Dab2ip,Shank3,Cdkl5,Kif2a,Mpdz,Epb41l1,Nefh,Tnik,Camk2a,Kif5c,Shank2,Ywhaz,Homer1,Baiap2,Septin5,Iqsec2,Ddn,Dlgap2,Nedd4l,Grin2a,Kcna4,Cyld,Ppp1cc,Nefl,Nbea,Fxr1,Cnksr3,Lrrtm1,Cyfip1,Ablim1,Tmem132b,Adgrb2,Kcna1,Arf3,Mapk1,Fbxo2,Septin7,Itsn1,Pde4b,Gnb1,Dlg3,Ywhah,Dlg1,Caskin1,Prkcb,Dpysl2,Cnksr2,Rac1,Rasal2,Snap91,Ctnna2,Farp1,Map4k4,Prkcg,Iqgap2,Rapgef4,Capza2,Ppp3ca,Dlg4,Usp9x,Arhgap32,Sptbn1,Dzank1,Sorbs2,Iqsec3,Adgrb3,Gria1,Dlg2,Gria2,Agap2,Dbn1,Adam22,Camk2d,Ppp3cb,Grin2b,Sorbs1,Gsn,Erbin,Sptan1,Lrrc15,Etl4,Dnajc6,Ptk2,Ctnnb1,Dlgap4,Septin11,Ywhag,Cyfip2,Tanc1,Arhgap39,Lrrc7,Mprip,Chsy1,Dlgap3,Abtb3,Camk2b,Nrxn1,Syne1,Dnm1,Trio,Fbxo41,Diaph1,Ywhab,Iqsec1
240057	Syngap1 (synaptic Ras GTPase activating protein 1 homolog (rat))	1.33183298794354e-06	-13.5289543781341	264	176	0.0288099525290555	6109	11667	104015,20742,211914,56376,76117,50708,244895,18754,11767,216439,13004,12211,14687,14812,214579,74006,241134,234214,14026,224671,14800,74901,16498,17756,242274,13822,22628,243548,12387,78920,70350,243362,13429,17755,108686,20512,17754,71302,68585,77097,218038,545481,19229,12300,242667,26554,230861,16800,11502,104069,74143,58234,268373,53321,12296,14645,17974,224997,224014,545156,19290,76089,117600,13199,67834,245666,13821,217692,108100,26556,22631,330662,665113,230775,380702,244668,230904,26413,11842,235380,14811,17758,30957,59021,12934,19299,13383,22352,245684,66514,14688,13385,67300,320292,330914,104418,11363,23980,14544,18148,18752,320129,544963,11496,56320,17967,20411,208869,17762,98741,320609,210933,14799,23859,228836,29819,223666,76884,677884,70729,330369,106042,55949,232227,380686,347722,268980,108071,104776,76886,17760,77629,13424,12323,66870,52822,382253,17918,69601,13800,109676,71902,14693,380785,71435,13169,77531,243312,14683,244310,22365,67886,319387,69993,210274,12322,16765,71544,18213,20430,226251,67295,19325,50797,83997,269774,16492,26422,226525,227120,213990,29875,104082,75547,53310,22629	Synj1,Sptbn1,Asap2,Pdlim5,Arhgap15,H1f2,Peak1,Prkce,Ap1m1,Agap2,Ncan,Birc6,Gnaz,Grin2b,Aldh5a1,Dnm1l,Nyap2,Sorbs2,Evl,Btbd9,Gria2,Kbtbd11,Kcnab2,Map2,Lrrc7,Epb41l2,Ywhag,Prickle2,Ctnnb1,Dlst,Basp1,Stard13,Dnm1,Map1b,Ccdc88a,Slc1a3,Map1a,Arhgap26,Rtn4,Tanc2,Amph,Arhgap40,Ptk2b,Cacng2,Dlgap3,Cul3,Eif4g3,Arhgef2,Adam9,Sncb,Opa1,Shank3,Ppia,Cntnap1,Cacnb2,Glul,Nck2,Dlgap1,Fgd4,Kalrn,Pura,Rapgef2,Srgap1,Ddn,Idh3a,Iqsec2,Epb41l1,Sipa1l1,Baiap2,Homer1,Ywhaz,Dock1,Tnik,Adgrb2,Shisa6,Sipa1l2,Fbxo2,Mapk1,Arf3,Dmxl2,Grin2a,Map4,Mapk8ip3,Rab2a,Dpysl2,Abcd3,Dlg1,Vim,Cnksr2,Asrgl1,Gnb1,Dlg4,Cltc,Rasgef1b,Arhgap32,Dgkz,Acadl,Pebp1,Gda,Npm1,Prkcg,Grk3,Iqgap2,Adam22,Dbn1,Ncam1,Sorbs1,Dock3,Mapt,Kcnb2,Strip2,Adgrb3,Gria1,Dlg2,Dlgap4,Stau2,Arhgap39,Cyfip2,Pakap,Nos1ap,Fbxo41,Prickle1,Eef1b2,Iqsec1,Cnrip1,Agap1,Strn,Grm5,Aldh6a1,Fam81a,Map6,Sphkap,Dync1h1,Camk2b,Serbp1,Rufy3,Cdkl5,Myo5a,Dab2ip,Enah,Ank2,Cand1,Gnb2,Begain,Arhgap21,Dbnl,Anks1b,Elfn1,Gnas,Dlgap2,Vps45,Camsap2,Adgrl3,Chn2,Shank2,Camk2a,Stmn1,Arhgap42,Ntrk3,Cyfip1,Ablim1,Rab3c,Rab10,Copb2,Slmap,Aak1,Kcna4,Nbea,Rasal2,Plcl1,Agap3,Iqgap1,Wdr7,Akap13,Dlg3,Ywhah
665113	Tnik (TRAF2 and NCK interacting kinase)	2.53464683909729e-06	-12.8854562445918	259	172	0.0281551808806679	6109	11667	14359,99982,230753,238988,14811,26413,67299,18530,71702,76007,19266,338355,108000,219158,20616,245684,12934,13383,16906,21960,224997,12325,545156,30785,19290,329165,14645,58234,16800,16572,12388,12558,18749,26556,97387,108100,232875,12295,217692,219249,19280,22224,20404,12286,59035,245666,242466,330474,12387,20740,13016,208618,320127,242274,21872,231760,11789,11308,50791,64009,26992,227723,11735,77097,76707,20334,223435,13429,18008,69890,56508,13017,12386,67772,26921,241688,20742,217882,24086,22284,12298,15182,14800,98956,234214,14812,320873,27041,15165,19056,216439,58208,19088,58869,105440,26422,11603,18125,19047,83814,107650,12290,20430,226251,244654,53310,259302,67269,217864,19353,18751,53972,71435,100986,18536,18163,16531,382253,16563,17918,109676,110279,12322,16574,210274,11426,67252,81004,24136,20602,233651,13518,13175,12293,227753,69719,223666,18195,76884,109135,382018,83679,22404,56705,211134,13424,12323,73804,17999,15260,268980,108071,232227,14806,18752,104383,11538,75974,330914,15194,13385,18212,20624,23859,14799,68094,114142,77683,224092,243621,116837,108058	Fxr1,Kdm1a,Thrap3,Erc2,Grin2a,Mapk1,Dock7,Pcdh8,Cdc5l,Zmym2,Ptprd,Fkbp15,Cenpf,Ccar2,Snap91,Cnksr2,Dpysl2,Dlg1,Lmnb1,Tnr,Dlgap1,Camk2g,Kalrn,Cttnbp2,Pura,Abi2,Glul,Shank3,Arhgef2,Kif5a,Ctnnd1,Cdh2,Prkacb,Homer1,Strn4,Baiap2,Zscan18,Cacnb1,Sipa1l1,Tdrd3,Ptprs,Usp10,Sh3gl2,Cacna1a,Carm1,Iqsec2,Zfp462,Zc3h4,Ctnnb1,Sptan1,Ctbp1,Etl4,Dgki,Lrrc7,Tjp1,Rimbp2,Apc,Abi1,Magi2,Syne1,Brd7,Prrc2b,Ank3,Tanc2,Clasp1,Sec23a,Trio,Dnm1,Nes,Zfp219,Rapgef4,Ctbp2,Ctnna2,Chd8,Map4k4,Dzank1,Sptbn1,Cep170b,Tlk2,Usp9x,Cacnb4,Hdac2,Gria2,Nat10,Sorbs2,Grin2b,Cdh10,G3bp1,Hcn1,Ppp3cb,Agap2,Bcl11b,Prkar2b,Pex5l,Kctd9,Nbea,Agrn,Nos1,Ppp1cc,Nedd4l,Pi4kb,Cacna1e,Cyfip1,Ablim1,Mtss2,Dlg3,Srgap3,Agtpbp1,Rcor1,Rac1,Prkcb,Ngef,Arhgap21,Akap9,Pcm1,Ctnnd2,Kcnma1,Cdkl5,Kif2a,Myo5a,Ank2,Bcr,Camk2a,Kif5c,Shank2,Macf1,Cap2,Tbl1xr1,Zeb2,Ncor2,Dchs1,Dst,Dclk1,Cacna2d1,Gsn,Cad,Arhgap39,Nsf,Cyfip2,Plekha5,Unc13a,Pde4dip,Wiz,Ranbp9,Lzts1,Dync1h1,Camk2b,Kif2c,Nedd4,Hira,Strn,Grm5,Iqsec1,Grik2,Prkcg,Rcor2,Adnp,Dock11,Arhgap32,Htt,Dlg4,Ntrk2,Eftud2,Dlg2,Gria1,Smarcc2,Foxp2,Ehmt1,Lsg1,Iqsec3,Rims1,Camk2d
545156	Kalrn (kalirin, RhoGEF kinase)	5.18077740857541e-06	-12.170555434078	61	49	0.0080209526927484	6109	11667	243725,67847,217692,14800,74392,26556,23859,11426,665113,12322,108058,11496,216439,208727,245666,20411,16867,14812,320873,18163,12386,12325,224997,109294,56508,338372,13385,228071,238871,20742,241688,17918,13823,58234,69601,109676,227937,269941,66098,12323,223435,219181,232227,245684,18039,20740,14805,83679,18040	Ppp1r9a,Sncaip,Sipa1l1,Gria2,Specc1l,Homer1,Dlg2,Macf1,Tnik,Camk2a,Camk2d,Adam22,Agap2,Hdac4,Iqsec2,Sorbs1,Lhcgr,Grin2b,Cdh10,Ctnnd2,Ctnna2,Camk2g,Dlgap1,Prex2,Rapgef4,Map3k9,Dlg4,Sestd1,Pde4d,Sptbn1,Dzank1,Myo5a,Epb41l3,Shank3,Dab2ip,Ank2,Pkp4,Chsy1,Chchd6,Camk2b,Trio,Akap11,Iqsec1,Cnksr2,Nefl,Sptan1,Grik1,Pde4dip,Nefm
56376	Pdlim5 (PDZ and LIM domain 5)	8.25700792856623e-06	-11.7044482723058	83	63	0.0103126534621051	6109	11667	71435,224014,20662,117600,76089,56508,72512,76117,14784,70231,14633,69601,13085,320292,109711,16800,14679,52323,22004,16399,20405,22234,69993,14680,117198,330662,320609,234214,235416,27357,277360,232906,208890,20411,18810,14683,243362,54126,16871,83997,20336,243548,76857,76884,20844,216831,18575,226251,74486,71544,75547,22003,71972,13405,22333,71302,28185,22330,216810,71085,231148,106042,53972	Arhgap21,Fgd4,Sos1,Srgap1,Rapgef2,Rapgef4,Sting1,Arhgap15,Grb2,Gorasp2,Gli2,Dab2ip,Cyp2a12,Rasgef1b,Actn1,Arhgef2,Gnai3,Klhl7,Tpm2,Itga2b,Sh3gl1,Ugcg,Chn2,Gnal,Ivns1abp,Dock1,Strip2,Sorbs2,Lman1l,Gyg1,Prex1,Arhgap35,Slc26a7,Sorbs1,Plec,Gnas,Stard13,Arhgef7,Lhx3,Slmap,Exoc4,Prickle2,Spopl,Cyfip2,Stam,Arhgap44,Pde1c,Ablim1,Osbpl10,Arhgap42,Akap13,Tpm1,Dnmbp,Dmd,Vdac1,Arhgap26,Tomm70a,Vcl,Tom1l2,Arhgap19,Ablim2,Prickle1,Ngef
14812	Grin2b (glutamate receptor, ionotropic, NMDA2B (epsilon 2))	1.2168867445782e-05	-11.3166297164471	125	89	0.0145686691766247	6109	11667	382253,13823,58234,12388,11938,12558,100986,224997,545156,18015,170711,109905,18163,243312,14803,26556,210274,12322,665113,19259,18783,241263,319387,26413,18530,14360,110651,22142,19088,19047,18125,14811,18708,16971,19353,234353,18751,53310,241568,18803,12540,12695,15194,330914,19055,13385,67300,26914,18752,19060,319520,23980,12386,14816,14812,229521,217219,16170,18754,216439,19052,17967,14800,17295,23859,20779,13043,98741,56044,17756,110157,66860,242274,18195,13052,23966,12387,677884,14804,241520,238276,20362,13429,19229,242667,12323,20111,23984,20846	Cdkl5,Epb41l3,Shank3,Ctnnd1,Atp2a2,Cdh2,Akap9,Dlgap1,Kalrn,Nf1,Otud7a,Rap1a,Ctnnd2,Elfn1,Grid1,Homer1,Shank2,Camk2a,Tnik,Ptpn5,Pla2g4a,Gpr158,Adgrl3,Mapk1,Pcdh8,Fyn,Rps6ka3,Tuba1a,Prkar2b,Ppp1cc,Nos1,Grin2a,Pik3r1,Lrp1,Rac1,Psd3,Prkcb,Dlg3,Lrrc4c,Plcg1,Cdc42,Patj,Htt,Arhgap32,Ppp3ca,Dlg4,Cltc,Macroh2a1,Prkcg,Ppp5c,Dusp4,Pebp1,Ctnna2,Grm1,Grin2b,Syt11,Fam171a2,Il16,Prkce,Agap2,Ppp2ca,Ncam1,Gria2,Met,Dlg2,Src,Cttn,Kcnb2,Rala,Map2,Raf1,Tanc1,Lrrc7,Nsf,Cxadr,Tenm4,Ctnnb1,Pakap,Grid2,Fam171b,Akap5,Septin8,Dnm1,Ptk2b,Dlgap3,Camk2b,Rps6ka1,Pde10a,Stat1
75547	Akap13 (A kinase anchor protein 13)	1.25428936293189e-05	-11.2863562974393	30	27	0.00441970862661647	6109	11667	53972,56349,217944,13860,69632,213649,320609,234094,19211,234214,71302,54324,69993,545481,16800,71544,213522,320292,54126,56376,102098,243548,268480,110596,224014,71435,22644	Ngef,Net1,Rapgef5,Eps8,Arhgef12,Arhgef19,Strip2,Arhgef10,Pten,Sorbs2,Arhgap26,Arhgef5,Chn2,Arhgap40,Arhgef2,Arhgap42,Plekhg6,Rasgef1b,Arhgef7,Pdlim5,Arhgef18,Prickle2,Rapgefl1,Arhgef28,Fgd4,Arhgap21,Rnf103
