TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF07679	I-set	6.36641127559042e-13	-28.0825702771243	130	103	0.0109761295822677	9384	19276	53870,268902,13508,235472,19289,75426,15530,14184,19268,71306,330222,269116,29817,19280,319504,66601,17967,19272,13723,244682,170643,22253,269473,229715,233067,84004,56741,241568,18213,242702,211323,26564,238205,70530,18198,16980,17930,192198,67703,545156,545370,18595,80749,242384,14182,20348,22329,16979,19876,268890,72333,210801,17929,170721,330908,14186,69675,237979,74144,57810,107250,320747,20320,14183,272381,16177,14254,117606,320398,16981,60367,16542,18007,77739,68802,223435,13176,242050,74762,269959,16206,320772,12661,380698,19266,98733,107449,18212,269784,19649,26563,68810,18488,107448,100042150,225638,68753,235106,17968,12805,22138,233186,235402	Cntn6,Robo2,Dscam,Prtg,Igdcc3,Igfbpl1,Hspg2,Fgfr3,Ptprf,Mfap3l,Sdk1,Nfasc,Igfbp7,Ptprs,Nrcam,Tmigd1,Ncam1,Ptprk,Emb,Cntn5,Kirrel1,Unc5c,Lrig2,Amigo1,Lrfn3,Mcam,Igdcc4,Lrrc4c,Ntrk3,Myom3,Nrg1,Ror2,Lrfn5,Lrfn2,Musk,Lrrn2,Myom2,Lrrc4,Kirrel3,Kalrn,Hmcn1,Pdgfra,Lrfn1,Lingo2,Fgfr1,Sema3c,Vcam1,Lrrn1,Robo1,Lsamp,Palld,Unc5d,Myom1,Papln,Opcml,Fgfr4,Pxdn,Sdk2,Robo4,Cdon,Kazald1,Lingo4,Nptn,Fgfr2,Lrrc4b,Il1r1,Flt1,Boc,Lrig3,Lrrn3,Il1rapl2,Kdr,Neo1,Adamtsl1,Mypn,Trio,Dcc,Igsf10,Mdga1,Adamtsl3,Lrig1,Mdga2,Chl1,Obscn,Ptprd,Obsl1,Unc5b,Ntrk2,Cntn4,Robo3,Ror1,Nexn,Cntn3,Unc5a,Nrg2,Alpk2,Mybphl,Ntm,Ncam2,Cntn1,Ttn,Siglecf,Lingo1
PF00018	SH3_1	2.7168282737045e-12	-26.63155599186	107	87	0.00927109974424552	9384	19276	15163,17973,269016,12143,21981,12928,14360,78473,622434,13385,12488,14218,11352,94176,11350,98402,23859,22324,66616,12929,22165,68813,218397,225608,20779,237353,20411,219140,14302,17444,19200,14191,52906,234214,20403,16443,171207,545156,214459,22612,14269,71893,12988,59009,259302,14784,53972,230972,268396,18803,15468,207278,20409,234779,56324,21682,53310,330662,105835,17974,237611,20410,13383,20740,329165,226970,319262,20408,54324,13860,11308,27059,216445,20844,99662,20405,71602,20491,17970,17972,54353,117600,71972,223435,17969,71520,20404	Hcls1,Nck1,Sh3rf2,Blk,Ppp1r13b,Crk,Fyn,Skap1,Arhgef26,Dlg4,Cd2ap,Sh3pxd2a,Abl2,Dock2,Abl1,Sh3bp4,Dlg2,Vav1,Snx9,Crkl,Txk,Dock5,Rasa1,Sh3tc2,Src,Sh3rf3,Sorbs1,Spata13,Frk,Grap2,Pstpip1,Fgr,Ahi1,Sorbs2,Itsn2,Itsn1,Arhgap4,Kalrn,Fnbp1l,Yes1,Fnbp1,Noxo1,Csk,Sh3rf1,Srgap3,Grb2,Ngef,Arhgef16,Sh3pxd2b,Plcg1,Prmt2,Fchsd2,Ostf1,Plcg2,Stam2,Tec,Dlg3,Dock1,Sgsm3,Nck2,Stac3,Sorbs3,Dlg1,Sptan1,Abi2,Arhgef4,Fchsd1,Sh3gl3,Arhgef5,Eps8,Abi1,Sh3d19,Arhgap9,Stam,Eps8l3,Sh3gl1,Myo1e,Sla,Ncf2,Ncf4,Skap2,Srgap1,Dnmbp,Trio,Ncf1,Grap,Sh3gl2
PF00041	fn3	4.3228525426933e-09	-19.259350341791	135	99	0.0105498721227621	9384	19276	246154,68655,22283,320974,57810,74144,270190,16161,237979,94090,17929,18007,16981,28105,117606,330863,12818,320712,19649,269784,19277,19266,20660,380698,319448,12661,218624,13176,19271,19263,13846,22138,16195,13837,19283,13857,13836,19281,17968,12805,68753,21960,18414,17289,13841,18488,16880,19280,78911,269116,70911,13839,330222,13840,19268,13842,19289,235472,13508,268902,53870,56741,329278,233067,399558,13838,19270,319636,244682,19272,237523,17967,13848,319504,545156,73368,16197,13845,21687,17930,19274,70530,19886,545902,21923,81877,23947,242702,12816,246228,19876,72007,14268,333564,13844,16162,16001,80749,16337	Vasn,Fndc1,Ush2a,Lrrn4,Cdon,Robo4,Ephb1,Il12rb1,Sdk2,Trim9,Myom1,Neo1,Lrrn3,Trim36,Boc,Trim67,Col14a1,Abi3bp,Robo3,Cntn4,Ptpro,Ptprd,Sorl1,Obscn,Fndc3a,Chl1,Il31ra,Dcc,Ptprj,Ptprb,Ephb4,Ttn,Il6st,Epha3,Ptprz1,Epor,Epha2,Ptprt,Ncam2,Cntn1,Mybphl,Tnr,Osmr,Mertk,Epha7,Cntn3,Lifr,Ptprs,Trim42,Nfasc,Phyhipl,Epha5,Sdk1,Epha6,Ptprf,Epha8,Igdcc3,Prtg,Dscam,Robo2,Cntn6,Igdcc4,Tnn,Lrfn3,Flrt2,Epha4,Ptprg,Fsd1l,Cntn5,Ptprk,Ptprq,Ncam1,Ephb6,Nrcam,Kalrn,Col20a1,Il7r,Ephb3,Tek,Myom2,Ptprm,Lrfn2,Ros1,Ptprh,Tnc,Tnxb,Mid2,Myom3,Col12a1,Vwa1,Robo1,Fndc3b,Fn1,Fndc3c1,Ephb2,Il12rb2,Igf1r,Lrfn1,Insr
PF00090	TSP_1	2.37408385142866e-08	-17.5560691276521	54	46	0.00490196078431373	9384	19276	101401,12279,107449,68709,77739,229595,210933,269959,319909,208936,21825,110382,30806,237360,223838,330119,207596,240322,240913,21826,210417,545370,192199,235130,230775,77794,107448,216725,109828,279028,239337,170721,210801,108153,11504,107831,23794,108154,214425,12274,330267,217738,20357,233744,22253,20356	Adamts9,C9,Unc5b,Cilp2,Adamtsl1,Adamtsl4,Adgrb3,Adamtsl3,Ism1,Adamts18,Thbs1,C8b,Adamts8,Adamts14,Adamts20,Adamts3,Thsd4,Adamts19,Adamts4,Thbs2,Thsd7b,Hmcn1,Rspo1,Adamts15,Adgrb2,Adamtsl2,Unc5a,Adamts2,C7,Adamts13,Adamts12,Papln,Unc5d,Adamts7,Adamts1,Adgrb1,Adamts5,Adamts6,Cilp,C6,Thsd7a,Ism2,Sema5b,Spon1,Unc5c,Sema5a
PF00169	PH	6.30369878829459e-08	-16.579544173583	185	126	0.0134271099744246	9384	19276	72789,19417,27280,101497,381605,216445,74486,16367,71302,226971,26377,54519,13430,380921,77300,98432,30938,20662,20947,213649,231999,54353,101540,78514,13998,218952,106877,56193,216859,223435,27260,76117,380698,71801,23797,53972,239027,230972,18803,226250,245684,21844,109135,19159,21682,223254,232970,240753,100273,241639,23921,226970,75974,213783,56792,232201,230837,76303,319934,54324,544817,105445,75415,17909,114713,54126,69710,17207,27062,219140,67016,241075,71544,320129,109294,237542,20650,71704,106952,74309,83435,71435,78255,211914,545156,20649,19157,232237,70292,24001,231532,208177,320495,623279,79196,75292,57257,20663,233765,22325,210293,224014,16560,13429,69239,78473,622434,26382,19418,14783,101476,210710,103967,14388,384783,26936,18760,11652,50915,212285,22324,67220,18805,13196,218397,56349	Veph1,Rasgrf1,Phlda3,Plekhg2,Tbc1d2,Arhgap9,Osbpl10,Irs1,Arhgap26,Plekhb2,Dapp1,Apbb1ip,Dnm2,Dgkh,Raph1,Phlpp1,Fgd3,Sos1,Swap70,Arhgef19,Plekha8,Skap2,Prkd2,Arhgap10,Fgd6,Fermt2,Afap1l1,Plek,Acap1,Trio,Plek2,Arhgap15,Obscn,Plekhf2,Akt3,Ngef,Arhgap22,Arhgef16,Plcg1,Afap1l2,Cnksr2,Tiam1,Plekha5,Cyth3,Tec,Farp1,Phldb3,Plekha6,Osbpl9,Fermt1,Sh2b2,Arhgef4,Dock11,Plekhg1,Stap1,Arhgap25,Asap3,Osbp,Sbf2,Arhgef5,Arhgap27,Dock9,Arhgap12,Myo10,Rasa2,Arhgef7,Arap1,Mcf2l,Cadps,Spata13,Tbc1d2b,Plekhm3,Arhgap42,Grk3,Prex2,Osbpl8,Sntb2,Arhgef3,Arap3,Osbp2,Plekha3,Arhgap21,Ralgps2,Asap2,Kalrn,Sntb1,Cyth1,Fgd5,Afap1,Tiam2,Arhgap24,Phldb2,Ipcef1,Dok6,Osbpl5,Prkd3,Vav3,Sos2,Plekha7,Vav2,Dock10,Fgd4,Kif1a,Dnm1,Pdzph1,Skap1,Arhgef26,Fgd2,Rasgrf2,Grb10,Plekha1,Gab3,Dnm3,Gab1,Irs2,Mprip,Prkd1,Akt2,Grb14,Arap2,Vav1,Plekho1,Pld1,Asap1,Rasa1,Net1
PF00621	RhoGEF	6.95883103524799e-08	-16.4806692384178	67	54	0.00575447570332481	9384	19276	102098,381112,109294,219140,17207,19417,54126,101497,24001,232237,380698,110279,75547,223435,328967,13605,545156,69632,13998,71972,30938,20662,52666,20403,16443,71704,213649,100045792,223254,110596,21844,234094,19418,26382,72754,622434,22325,224014,442801,53972,20663,57257,230972,56349,102075,54324,77669,213522,16800,226970,213783,22324,277360,109934	Arhgef18,Arhgef33,Prex2,Spata13,Mcf2l,Rasgrf1,Arhgef7,Plekhg2,Tiam2,Fgd5,Obscn,Bcr,Akap13,Trio,Arhgef37,Ect2,Kalrn,Arhgef12,Fgd6,Dnmbp,Fgd3,Sos1,Arhgef25,Itsn2,Itsn1,Arhgef3,Arhgef19,Ect2l,Farp1,Arhgef28,Tiam1,Arhgef10,Rasgrf2,Fgd2,Arhgef10l,Arhgef26,Vav2,Fgd4,Arhgef15,Ngef,Sos2,Vav3,Arhgef16,Net1,Plekhg4,Arhgef5,Arhgef38,Plekhg6,Arhgef2,Arhgef4,Plekhg1,Vav1,Prex1,Abr
PF07714	PK_Tyr_Ser-Thr	3.02818527652059e-07	-15.0101321295005	127	90	0.00959079283887468	9384	19276	18214,234878,12167,14254,11682,21682,381983,16452,16542,19882,16885,14186,83560,11482,270190,26403,14183,13869,17289,13841,14158,13836,16590,51789,13846,13837,18596,435766,13649,14917,54721,26563,21813,11302,18212,14159,13848,13838,65964,109880,12305,18213,14360,14919,14083,12143,71751,14918,73707,231876,333050,22165,20779,13840,14184,19713,13842,16886,13839,11350,11352,26409,16706,17005,20187,16001,18595,16337,14191,13867,14182,13844,23920,19229,12978,14302,26564,22612,11477,18198,20963,12988,19886,22637,13845,243659,21687,269275,16451,17295	Ddr2,Map3k21,Bmpr1b,Flt1,Alk,Tec,Lmtk3,Jak2,Kdr,Mst1r,Limk1,Fgfr4,Tex14,Acvrl1,Ephb1,Map3k11,Fgfr2,Erbb4,Mertk,Epha7,Fer,Epha2,Kit,Tnk2,Ephb4,Epha3,Pdgfrb,Tnni3k,Egfr,Gucy2c,Tyk2,Ror1,Tgfbr2,Aatk,Ntrk2,Fes,Ephb6,Epha4,Map3k20,Braf,Ddr1,Ntrk3,Fyn,Gucy2e,Ptk2,Blk,Map3k13,Gucy2d,Gucy2g,Lmtk2,Ksr2,Txk,Src,Epha6,Fgfr3,Ret,Epha8,Limk2,Epha5,Abl1,Abl2,Map3k7,Ksr1,Ltk,Ryk,Igf1r,Pdgfra,Insr,Fgr,Erbb3,Fgfr1,Ephb2,Insrr,Ptk2b,Csf1r,Frk,Ror2,Yes1,Acvr1,Musk,Syk,Csk,Ros1,Zap70,Ephb3,Styk1,Tek,Acvr1c,Jak1,Met
PF13927	Ig_3	1.69692483042513e-06	-13.2866928682589	120	84	0.00895140664961637	9384	19276	235086,268890,242235,19876,229499,22329,235106,17968,12805,57278,58235,545370,17289,216760,54725,18488,320840,246256,269784,19649,67703,68709,545925,19266,98733,80891,72927,16180,12661,320772,16206,231668,74762,242050,18596,16456,67374,77739,18007,240916,16542,11658,68797,214425,56741,26368,84004,213262,57276,269473,320398,170643,83964,244682,260299,102657,117606,320027,240354,17967,14254,319504,19280,94332,207683,269116,14183,20320,330222,239857,14184,114871,15530,74144,57810,19289,235472,237979,330908,14186,13508,53870,268902,170721	Igsf9b,Lsamp,Lrit3,Robo1,Fcrl1,Vcam1,Ntm,Ncam2,Cntn1,Bcam,Nectin1,Hmcn1,Mertk,Mfap3,Cadm1,Cntn3,Negr1,Fcgr4,Cntn4,Robo3,Kirrel3,Cilp2,Psg27,Ptprd,Obsl1,Fcrl2,Hepacam,Il1rap,Chl1,Mdga2,Lrig1,Vsig10,Mdga1,Igsf10,Pdgfrb,F11r,Jam2,Adamtsl1,Neo1,Vsig8,Kdr,Alcam,Pdgfrl,Cilp,Igdcc4,Ceacam9,Mcam,Fstl5,Vsig2,Lrig2,Lrig3,Kirrel1,Jam3,Cntn5,Cadm4,Cd276,Boc,Fstl4,Malt1,Ncam1,Flt1,Nrcam,Ptprs,Cadm3,Igsf11,Nfasc,Fgfr2,Nptn,Sdk1,Cadm2,Fgfr3,Psg28,Hspg2,Robo4,Cdon,Igdcc3,Prtg,Sdk2,Opcml,Fgfr4,Dscam,Cntn6,Robo2,Papln
PF00595	PDZ	1.92750830441025e-06	-13.1592824231342	127	88	0.00937766410912191	9384	19276	116838,99470,75739,24001,215748,71096,20649,54132,209047,69632,16924,17356,93737,231858,59020,239618,17475,20650,217692,76089,170935,94221,21872,53378,76742,56376,109294,244668,27428,16170,20469,18693,242274,27375,192786,14924,72823,58220,170761,19258,26875,56524,545622,55983,59079,54120,116837,208431,23859,227929,228765,207792,333605,50997,68070,380928,13383,227157,16886,11784,360013,118449,93742,24131,50780,13385,53310,268534,20913,21844,245684,69239,56513,18125,74053,243725,140887,73750,16885,57267,14787,19249,21873,50791,108030,71729,666060,12695	Rims2,Magi3,Mpp7,Tiam2,Cnksr3,Sntg1,Sntb1,Pdlim1,Gipc3,Arhgef12,Lnx1,Afdn,Pard6g,Radil,Pdzk1,Pdzrn4,Mpdz,Sntb2,Sipa1l1,Rapgef2,Grid2ip,Gopc,Tjp1,Sdcbp,Snx27,Pdlim5,Prex2,Sipa1l2,Shroom3,Il16,Sipa1,Pick1,Lrrc7,Tjp3,Rapgef6,Magi1,Pard3b,Pard6b,Nherf4,Ptpn4,Pclo,Pals2,Ptpn3,Pdzrn3,Erbin,Gipc2,Rims1,Shroom4,Dlg2,Cytip,Sdcbp2,BC034090,Frmpd4,Mpp2,Pdzd2,Lmo7,Dlg1,Mpp4,Limk2,Apba2,Myo18a,Synpo2,Pard3,Ldb3,Rgs3,Dlg4,Dlg3,Sntg2,Stxbp4,Tiam1,Cnksr2,Pdzph1,Pard6a,Nos1,Grip1,Ppp1r9a,Lnx2,Whrn,Limk1,Apba3,Rhpn1,Ptpn13,Tjp2,Magi2,Lin7a,Rgs12,Frmpd1,Patj
PF00010	HLH	2.62257764704533e-06	-12.8513528890894	104	74	0.00788576300085251	9384	19276	11864,16918,11922,21425,17342,50913,18142,17119,20465,17173,50914,15110,59058,20893,21413,84653,11863,94222,17928,320522,12753,20788,17292,21406,18013,11865,18072,21426,56198,20464,21349,13345,15902,20289,21423,17877,17187,18071,17293,18012,17428,17927,22278,208104,22282,15903,17681,234219,15901,227631,17121,18109,140489,17859,79362,83383,17869,17341,114712,15213,11921,18143,21412,207806,71093,17172,272322,20787,11924,15205,53404,11622,22160,15214	Arnt2,Mycl,Neurod6,Tfeb,Mitf,Olig2,Npas1,Mxd1,Sim2,Ascl2,Olig1,Hand1,Bhlhe22,Bhlhe40,Tcf4,Hes7,Arnt,Olig3,Myog,Bhlha9,Clock,Srebf2,Mesp1,Tcf12,Neurod2,Bmal1,Nhlh2,Tfec,Heyl,Sim1,Tal1,Twist2,Id2,Scx,Tcf3,Myf5,Max,Nhlh1,Mesp2,Neurod1,Mnt,Myod1,Usf1,Mlxip,Usf2,Id3,Msc,Helt,Id1,Sohlh1,Mxd3,Mycn,Bhlhe23,Mxi1,Bhlhe41,Tfap4,Myc,Bhlha15,Ferd3l,Hey1,Atoh1,Npas2,Tcf21,Usf3,Atoh8,Ascl1,Bmal2,Srebf1,Neurog2,Hes1,Atoh7,Ahr,Twist1,Hey2
