TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00452	SH3DOMAIN	7.0603390609771e-10	-21.0713578539543	87	69	0.0229923358880373	3001	6344	21981,217154,23969,26403,23970,59009,231760,14302,269016,218038,259302,12488,27059,20403,234214,71602,19200,16796,17973,75739,333654,237353,13196,338372,13644,13043,20410,78473,56324,54353,14191,329165,329416,234878,14360,57257,20408,12928,71520,237611,18803,14784,207278,20411,17974,12929,20409,15468,17444,20404,74103,20405,16443,22325,54126,21682,15163,52906,22324,17969,24057,20779,20740,20844,12143,17972,22612,17970,11308	Ppp1r13b,Stac2,Pacsin1,Map3k11,Pacsin2,Sh3rf1,Rimbp2,Frk,Sh3rf2,Amph,Srgap3,Cd2ap,Sh3d19,Itsn2,Sorbs2,Myo1e,Pstpip1,Lasp1,Nck1,Mpp7,Ppp1r13l,Sh3rf3,Asap1,Map3k9,Efs,Cttn,Sorbs3,Skap1,Stam2,Skap2,Fgr,Abi2,Nostrin,Map3k21,Fyn,Vav3,Sh3gl3,Crk,Grap,Stac3,Plcg1,Grb2,Fchsd2,Sorbs1,Nck2,Crkl,Ostf1,Prmt2,Grap2,Sh3gl2,Nebl,Sh3gl1,Itsn1,Vav2,Arhgef7,Tec,Hcls1,Ahi1,Vav1,Ncf1,Sh3yl1,Src,Sptan1,Stam,Blk,Ncf4,Yes1,Ncf2,Abi1
PR00109	TYRKINASE	1.49394772335099e-08	-18.0192586489175	97	73	0.024325224925025	3001	6344	12305,13839,381983,19882,16885,16337,14186,12988,338372,14083,13841,16452,14183,22165,17295,13867,13838,51789,13649,26564,14158,19713,26403,11352,11350,14302,65964,59126,21687,14159,13846,23920,18213,270190,19886,19229,18214,231876,13869,13848,21682,14182,71751,22612,12143,26409,13844,243659,13845,26563,59125,20779,13837,17289,14184,18198,13836,11682,16001,16886,17005,20187,14191,234878,18212,14360,11302,16451,20963,13840,13842,54721,22637	Ddr1,Epha5,Lmtk3,Mst1r,Limk1,Insr,Fgfr4,Csk,Map3k9,Ptk2,Epha7,Jak2,Fgfr2,Txk,Met,Erbb3,Epha4,Tnk2,Egfr,Ror2,Fer,Ret,Map3k11,Abl2,Abl1,Frk,Map3k20,Nek6,Tek,Fes,Ephb4,Insrr,Ntrk3,Ephb1,Ros1,Ptk2b,Ddr2,Lmtk2,Erbb4,Ephb6,Tec,Fgfr1,Map3k13,Yes1,Blk,Map3k7,Ephb2,Styk1,Ephb3,Ror1,Nek7,Src,Epha3,Mertk,Fgfr3,Musk,Epha2,Alk,Igf1r,Limk2,Ltk,Ryk,Fgr,Map3k21,Ntrk2,Fyn,Aatk,Jak1,Syk,Epha6,Epha8,Tyk2,Zap70
PR00014	FNTYPEIII	1.54543801955565e-05	-11.0776180869983	32	27	0.00899700099966678	3001	6344	18007,17929,68753,13840,270190,13842,545156,237979,19268,330222,13176,333564,17930,19280,13844,13841,13845,319448,19266,13838,14268,13837,13839,13848,72007,22138,242702	Neo1,Myom1,Mybphl,Epha6,Ephb1,Epha8,Kalrn,Sdk2,Ptprf,Sdk1,Dcc,Fndc3c1,Myom2,Ptprs,Ephb2,Epha7,Ephb3,Fndc3a,Ptprd,Epha4,Fn1,Epha3,Epha5,Ephb6,Fndc3b,Ttn,Myom3
PR00453	VWFADOMAIN	2.78488771935554e-05	-10.4887179086136	31	26	0.00866377874041986	3001	6344	16407,16408,240675,17181,12833,12810,14962,12816,16411,16409,73368,69700,245026,12818,665033,12835,319480,22371,109700,16398,17183,381924,68553,74199,213945,246228	Itgae,Itgal,Vwa2,Matn2,Col6a1,Coch,Cfb,Col12a1,Itgax,Itgam,Col20a1,Col22a1,Col6a6,Col14a1,Col6a5,Col6a3,Itga11,Vwf,Itga1,Itga2,Matn4,Itgad,Col6a4,Vit,Col28a1,Vwa1
PR00499	P67PHOX	4.85485312023025e-05	-9.93294661698422	24	21	0.00699766744418527	3001	6344	20410,56324,13043,11308,17970,12488,20411,14784,237353,20409,20844,59009,71972,237611,71520,20403,16443,27059,15163,234214,217154	Sorbs3,Stam2,Cttn,Abi1,Ncf2,Cd2ap,Sorbs1,Grb2,Sh3rf3,Ostf1,Stam,Sh3rf1,Dnmbp,Stac3,Grap,Itsn2,Itsn1,Sh3d19,Hcls1,Sorbs2,Stac2
PR01491	KVCHANNEL	0.000276396618576076	-8.1936736999514	27	22	0.00733088970343219	3001	6344	16502,242151,225030,56543,16500,16538,98741,16504,16493,16491,67498,240444,66733,241794,16494,268345,16492,16508,16539,16490,16485,382571	Kcnc1,Kcna10,Kcng3,Kcnd3,Kcnb1,Kcns1,Kcnb2,Kcnc3,Kcna5,Kcna3,Kcnv1,Kcng2,Kcng4,Kcng1,Kcna6,Kcnc2,Kcna4,Kcnd2,Kcns2,Kcna2,Kcna1,Kcnf1
PR01185	INTEGRINA	0.000291794685960563	-8.13946013328006	18	16	0.00533155614795068	3001	6344	16401,16399,16410,381924,16402,16409,16400,241226,16411,16408,16407,109700,16398,319480,16403,104099	Itga4,Itga2b,Itgav,Itgad,Itga5,Itgam,Itga3,Itga8,Itgax,Itgal,Itgae,Itga1,Itga2,Itga11,Itga6,Itga9
PR01857	ADAMTSFAMILY	0.000300955329429074	-8.10854871144122	24	20	0.00666444518493835	3001	6344	269959,235130,240913,77794,240322,223838,237360,11504,216725,208936,77739,239337,330119,170721,23794,108153,30806,279028,108154,101401	Adamtsl3,Adamts15,Adamts4,Adamtsl2,Adamts19,Adamts20,Adamts14,Adamts1,Adamts2,Adamts18,Adamtsl1,Adamts12,Adamts3,Papln,Adamts5,Adamts7,Adamts8,Adamts13,Adamts6,Adamts9
PR00935	BAND41	0.000300955329429074	-8.10854871144122	24	20	0.00666444518493835	3001	6344	22350,19250,19249,385354,228564,232288,218203,209630,13823,545622,223254,13824,13821,269587,54357,24000,13822,17698,19258,242506	Ezr,Ptpn14,Ptpn13,Frmd7,Frmd5,Frmd4b,Mylip,Frmd4a,Epb41l3,Ptpn3,Farp1,Epb41l4a,Epb41l1,Epb41,Epb41l4b,Ptpn21,Epb41l2,Msn,Ptpn4,Frmd3
PR00053	FORKHEAD	0.000338689356703442	-7.99042722259815	45	33	0.0109963345551483	3001	6344	230700,116810,14233,15377,110805,14240,329934,15375,15229,17300,14236,68837,15221,74123,56458,56484,270004,382074,15223,14241,14238,384244,64290,17425,14237,71375,14106,14239,108655,114142,17301,14234,15376	Foxj3,Foxn4,Foxi1,Foxa3,Foxe1,Foxb2,Foxo6,Foxa1,Foxd1,Foxc1,Foxn2,Foxk2,Foxd3,Foxp4,Foxo1,Foxo3,Foxi2,Foxr1,Foxj1,Foxl1,Foxf2,Foxl3,Foxb1,Foxk1,Foxd4,Foxn3,Foxh1,Foxs1,Foxp1,Foxp2,Foxd2,Foxc2,Foxa2
PR00700	PRTYPHPHTASE	0.000404708001357361	-7.81234473519473	37	28	0.00933022325891369	3001	6344	19274,19263,19271,19250,19283,19279,19246,19277,19260,19266,19280,237523,19255,19268,15170,19249,19270,19276,19259,19267,19272,19248,24000,19281,19258,545902,545622,19264	Ptprm,Ptprb,Ptprj,Ptpn14,Ptprz1,Ptprr,Ptpn1,Ptpro,Ptpn22,Ptprd,Ptprs,Ptprq,Ptpn2,Ptprf,Ptpn6,Ptpn13,Ptprg,Ptprn2,Ptpn5,Ptpre,Ptprk,Ptpn12,Ptpn21,Ptprt,Ptpn4,Ptprh,Ptpn3,Ptprc
PR00047	STROIDFINGER	0.000422307391309839	-7.76977709366786	47	34	0.0113295568143952	3001	6344	13983,217166,19013,26381,20181,14536,218772,26424,13982,22337,19016,30942,21907,22025,110784,21834,225998,18667,19401,353187,19883,26380,20186,21833,19411,11819,11835,26423,18124,13865,19015,14815,15370,13864	Esr2,Nr1d1,Ppara,Esrrg,Rxra,Nr6a1,Rarb,Nr5a2,Esr1,Vdr,Pparg,Hnf4g,Nr2e1,Nr2c1,Nr3c2,Thrb,Rorb,Pgr,Rara,Nr1d2,Rora,Esrrb,Nr1h4,Thra,Rarg,Nr2f2,Ar,Nr5a1,Nr4a3,Nr2f1,Ppard,Nr3c1,Nr4a1,Nr2f6
