TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00326	SH3	4.29168890117666e-10	-21.5691705912155	196	147	0.0277149321266968	5304	9882	22612,11352,58234,53972,71302,259302,108100,12988,23880,14269,333654,330914,71520,227157,20491,216445,23859,26403,53310,15468,20411,13644,78473,71972,53618,75415,20779,329416,66616,77799,12488,71893,52906,234214,14784,78514,268396,17970,71602,20404,12929,71544,330662,22324,225608,54324,20409,56524,54126,338372,237611,17972,17973,100213,211914,208869,23970,17444,227700,70097,230972,622434,74103,98402,20740,170625,14191,218038,21682,14218,13860,214459,11350,21981,13196,68813,75739,14360,59009,210274,17996,213649,24057,15163,50997,51789,238130,13043,67742,19200,20408,13169,20844,16443,219140,237353,57257,12928,17969,234779,99662,231760,268932,13383,171207,269016,12143,226970,18803,117600,27059,223435,218397,320664,13385,56324,328967,11308,54353,72828,235406,105835,14302,17910,18003,20403,20410,545156,17921,22325,234878,94176,17974,20405,329165,16796,17207,22165,57329,207777,217154,319262,77669,54673,23969,18708,207278	Yes1,Abl2,Shank3,Ngef,Arhgap26,Srgap3,Baiap2,Csk,Fyb1,Fnbp1,Ppp1r13l,Arhgap32,Grap,Mpp4,Sla,Arhgap9,Dlg2,Map3k11,Dlg3,Prmt2,Sorbs1,Efs,Skap1,Dnmbp,Fut8,Arhgap12,Src,Nostrin,Snx9,Sla2,Cd2ap,Noxo1,Ahi1,Sorbs2,Grb2,Arhgap10,Sh3pxd2b,Ncf2,Myo1e,Sh3gl2,Crkl,Arhgap42,Dock1,Vav1,Sh3tc2,Arhgef5,Ostf1,Pals2,Arhgef7,Map3k9,Stac3,Ncf4,Nck1,Rusc2,Asap2,Dock3,Pacsin2,Grap2,Sh3glb2,Sash1,Arhgef16,Arhgef26,Nebl,Sh3bp4,Sptan1,Snx18,Fgr,Amph,Tec,Sh3pxd2a,Eps8,Fnbp1l,Abl1,Ppp1r13b,Asap1,Dock5,Mpp7,Fyn,Sh3rf1,Shank2,Neb,Arhgef19,Sh3yl1,Hcls1,Mpp2,Tnk2,Dock4,Cttn,Samsn1,Pstpip1,Sh3gl3,Dbnl,Stam,Itsn1,Spata13,Sh3rf3,Vav3,Crk,Ncf1,Plcg2,Eps8l3,Rimbp2,Caskin1,Dlg1,Arhgap4,Sh3rf2,Blk,Arhgef4,Plcg1,Srgap1,Sh3d19,Trio,Rasa1,Cass4,Dlg4,Stam2,Arhgef37,Abi1,Skap2,Ubash3b,Snx33,Sgsm3,Frk,Myo15a,Nedd9,Itsn2,Sorbs3,Kalrn,Myo7a,Vav2,Map3k21,Dock2,Nck2,Sh3gl1,Abi2,Lasp1,Mcf2l,Txk,Otor,Tspoap1,Stac2,Fchsd1,Arhgef38,Sh3glb1,Pacsin1,Pik3r1,Fchsd2
SM00209	TSP1	1.22567279944765e-08	-18.2171908266851	63	55	0.010369532428356	5304	9882	77794,22253,228770,101401,279028,30806,16007,216725,107449,14219,210933,233744,210417,319909,20357,21825,239337,214425,23794,239405,77739,240322,68709,223838,235130,170721,330119,72780,240913,192199,11504,109828,12279,110382,12274,107448,18133,327743,217738,107831,545370,208936,269959,100689,21826,22402,229595,207596,210801,237360,108154,20356,330267,108153,230775	Adamtsl2,Unc5c,Rspo4,Adamts9,Adamts13,Adamts8,Ccn1,Adamts2,Unc5b,Ccn2,Adgrb3,Spon1,Thsd7b,Ism1,Sema5b,Thbs1,Adamts12,Cilp,Adamts5,Rspo2,Adamtsl1,Adamts19,Cilp2,Adamts20,Adamts15,Papln,Adamts3,Rspo3,Adamts4,Rspo1,Adamts1,C7,C9,C8b,C6,Unc5a,Ccn3,Ccn6,Ism2,Adgrb1,Hmcn1,Adamts18,Adamtsl3,Spon2,Thbs2,Ccn4,Adamtsl4,Thsd4,Unc5d,Adamts14,Adamts6,Sema5a,Thsd7a,Adamts7,Adgrb2
SM00325	RhoGEF	5.7730977775242e-07	-14.3648868379843	65	54	0.0101809954751131	5304	9882	75547,26382,381112,30938,57257,72754,21844,13605,219140,380698,16443,13998,277360,110596,442801,53972,19417,56349,213649,234094,328967,213783,102098,102075,109934,16800,213522,223435,20663,20662,71972,226970,69632,230972,622434,22325,19418,545156,20403,54126,232237,54324,22324,100045792,71704,110279,109294,223254,77669,101497,24001,52666,224014,17207	Akap13,Fgd2,Arhgef33,Fgd3,Vav3,Arhgef10l,Tiam1,Ect2,Spata13,Obscn,Itsn1,Fgd6,Prex1,Arhgef28,Arhgef15,Ngef,Rasgrf1,Net1,Arhgef19,Arhgef10,Arhgef37,Plekhg1,Arhgef18,Plekhg4,Abr,Arhgef2,Plekhg6,Trio,Sos2,Sos1,Dnmbp,Arhgef4,Arhgef12,Arhgef16,Arhgef26,Vav2,Rasgrf2,Kalrn,Itsn2,Arhgef7,Fgd5,Arhgef5,Vav1,Ect2l,Arhgef3,Bcr,Prex2,Farp1,Arhgef38,Plekhg2,Tiam2,Arhgef25,Fgd4,Mcf2l
SM00233	PH	6.68268603404587e-07	-14.2185756433256	252	173	0.0326168929110106	5304	9882	109294,110279,347722,71704,17207,216859,224014,73728,239027,384783,27260,109135,24001,100273,212285,19878,241075,19418,22325,70292,20947,216439,16370,76303,72469,102098,226245,71096,245666,99031,67220,76829,23921,18805,14783,226970,18803,20662,20663,223435,26936,57257,56193,219140,234779,69239,26382,19417,71720,19877,80297,13196,18799,218952,319934,54519,244867,230972,622434,22324,230837,58996,232970,67016,71544,320495,226525,241639,79196,16800,78514,11652,78473,27280,13429,75415,380698,381605,232201,216445,71302,237542,213990,27062,18760,210293,71801,72789,19157,16367,20650,77300,227120,545156,114713,20403,210710,20649,71435,217866,76117,320129,224860,269615,233765,109934,102075,245684,54353,101476,69632,69710,74309,50915,218397,106766,213522,21844,30938,20741,16443,106877,226751,56792,231532,106952,213649,110596,100037278,14388,277360,16560,101540,69601,223254,234353,105445,226250,75974,21682,101497,19159,211914,17909,54324,226971,240753,74486,78255,623279,232237,54126,213783,64291,21664,23797,74002,231999,83435,353047,240505,380921,20742,75547,26377,53972,13430,56349,208177,103967,544817,13998,75292	Prex2,Bcr,Agap1,Arhgef3,Mcf2l,Acap1,Fgd4,Psd,Arhgap22,Irs2,Plek2,Plekha5,Tiam2,Osbpl9,Arap2,Rock2,Plekhm3,Rasgrf2,Vav2,Afap1,Swap70,Agap2,Irs4,Osbp,Plcd3,Arhgef18,Plekhs1,Sntg1,Iqsec2,Osbpl6,Plekho1,Dok5,Sh2b2,Pld1,Grb10,Arhgef4,Plcg1,Sos1,Sos2,Trio,Mprip,Vav3,Plek,Spata13,Plcg2,Pdzph1,Fgd2,Rasgrf1,Osbpl3,Rock1,Sptbn4,Asap1,Plcd1,Fermt2,Sbf2,Apbb1ip,Arhgap20,Arhgef16,Arhgef26,Vav1,Asap3,Arhgap23,Phldb3,Tbc1d2b,Arhgap42,Ipcef1,Rasal2,Fermt1,Osbpl5,Arhgef2,Arhgap10,Akt2,Skap1,Phlda3,Dnm1,Arhgap12,Obscn,Tbc1d2,Arhgap25,Arhgap9,Arhgap26,Osbpl8,Agap3,Cadps,Prkd1,Dock10,Plekhf2,Veph1,Cyth1,Irs1,Sntb2,Raph1,Plcl1,Kalrn,Rasa2,Itsn2,Gab3,Sntb1,Arhgap21,Cdc42bpb,Arhgap15,Grk3,Plcl2,Plch2,Plekha7,Abr,Plekhg4,Cnksr2,Skap2,Plekha1,Arhgef12,Arap1,Osbp2,Grb14,Rasa1,Stap2,Plekhg6,Tiam1,Fgd3,Sptb,Itsn1,Afap1l1,Cdc42bpa,Stap1,Arhgap24,Arap3,Arhgef19,Arhgef28,Niban3,Gab1,Prex1,Kif1a,Prkd2,Dab2ip,Farp1,Psd3,Dock9,Afap1l2,Dock11,Tec,Plekhg2,Cyth3,Asap2,Myo10,Arhgef5,Plekhb2,Plekha6,Osbpl10,Ralgps2,Dok6,Fgd5,Arhgef7,Plekhg1,Osbpl1a,Phlda1,Akt3,Psd2,Plekha8,Plekha3,Plekhm1,Cdc42bpg,Dgkh,Sptbn1,Akap13,Dapp1,Ngef,Dnm2,Net1,Phldb2,Dnm3,Arhgap27,Fgd6,Prkd3
SM00181	EGF	5.27113831517861e-06	-12.1532642196503	177	124	0.0233785822021116	5304	9882	16777,80883,77446,26364,11603,14071,18074,54485,211323,18552,18553,226243,16775,320924,19128,16773,16772,231470,18302,170788,20344,13612,170571,75740,114249,64706,20564,15530,17304,22242,268977,23964,241324,19699,192188,18190,192187,17181,246154,70945,226519,52020,23966,14118,214058,16971,13733,15245,19123,16998,353156,56788,17063,241175,70445,170757,66797,13003,12032,13645,21825,18129,14107,54003,620292,21826,14114,14119,58859,14068,16774,50909,21960,13386,329278,338352,108075,16782,81877,20563,20562,21923,23965,268935,24117,18131,634731,23963,21892,269878,18191,23928,240675,22018,545370,238680,65969,18791,24087,21687,17183,636808,23876,16449,83961,329628,16973,16975,22635,226255,22359,102635496,228357,16780,18189,17064,94217,270120,12614,14725,73182,667277,216616,13004	Lamb1,Ntng1,Heg1,Adgre5,Agrn,F9,Nid2,Dll4,Nrg1,Pcsk5,Pcsk6,Habp2,Lama4,Ccbe1,Pros1,Lama2,Lama1,Fras1,Oit3,Crb1,Selp,Edil3,Cntnap4,Egfem1,Npnt,Scube1,Slit3,Hspg2,Mfge8,Umod,Ltbp1,Tenm2,Crb2,Reln,Stab2,Nrxn2,Stab1,Matn2,Vasn,Mmrn1,Lamc1,Umodl1,Tenm4,Fbn1,Megf11,Lrp1,Adgre1,Hhip,Proc,Ltbp3,Egfl7,Scube2,Muc13,Cntnap5b,Cd248,Adgrl4,Cntnap2,Vcan,Bcan,Egf,Thbs1,Notch2,Fat1,Nell2,Cntnap5c,Thbs2,Fbln1,Fbn2,Efemp2,F7,Lama3,C1ra,Tnr,Dlk1,Tnn,Nell1,Ltbp4,Lamc2,Tnxb,Slit2,Slit1,Tnc,Tenm3,Scube3,Wif1,Notch3,Susd1,Tenm1,Tll1,Megf8,Nrxn3,Lamc3,Vwa2,Tpo,Hmcn1,Cntnap3,Cubn,Plat,Tll2,Tek,Matn4,Cntnap5a,Fbln5,Jag1,Nrg4,Fat4,Lrp5,Lrp8,Zan,Atrnl1,Vldlr,Malrd1,Lrp4,Lamb3,Nrxn1,Cd93,Lrp1b,Fat3,Celsr1,Lrp2,Pear1,C1rb,Efemp1,Ncan
SM00219	TyrKc	1.67745372288327e-05	-10.9956484624419	81	62	0.0116892911010558	5304	9882	20963,18213,18212,18198,17295,54721,16001,22637,14184,14254,13649,18214,12143,20779,270190,14182,14183,20187,19882,13837,13839,14158,18596,13840,11352,22612,13867,13869,13846,51789,12978,12988,11350,13842,13841,19229,19713,16337,13836,21687,14360,13845,16590,12305,13844,17005,22165,14191,19886,18595,16542,17289,21682,14186,16451,14302,23920,16452,13838,14083,14159,11682	Syk,Ntrk3,Ntrk2,Musk,Met,Tyk2,Igf1r,Zap70,Fgfr3,Flt1,Egfr,Ddr2,Blk,Src,Ephb1,Fgfr1,Fgfr2,Ryk,Mst1r,Epha3,Epha5,Fer,Pdgfrb,Epha6,Abl2,Yes1,Erbb3,Erbb4,Ephb4,Tnk2,Csf1r,Csk,Abl1,Epha8,Epha7,Ptk2b,Ret,Insr,Epha2,Tek,Fyn,Ephb3,Kit,Ddr1,Ephb2,Ltk,Txk,Fgr,Ros1,Pdgfra,Kdr,Mertk,Tec,Fgfr4,Jak1,Frk,Insrr,Jak2,Epha4,Ptk2,Fes,Alk
SM00408	IGc2	6.69990077096821e-05	-9.61083274898623	228	151	0.0284690799396682	5304	9882	240354,170643,16178,18596,12805,58235,94332,57810,12501,74762,216760,12661,107250,16979,68709,19280,12978,60367,170721,16194,242122,233067,57278,320398,237979,20320,270152,18198,11596,13176,240916,16456,54725,269473,242235,53870,223435,14182,235402,14183,319504,320772,235086,14129,26563,107449,67703,67374,70530,18726,246256,29817,224792,268902,269116,20350,545156,18007,211323,17929,19266,235472,15530,71306,269959,16590,630146,243816,268890,16160,16542,68753,17930,16980,19649,239857,102657,330222,98733,74144,330790,235106,13508,84004,231668,207683,26368,16981,260299,380698,17967,18488,83964,114871,330908,68802,80891,242702,57276,22138,14254,14184,213262,72927,20348,75426,18212,214425,117606,545925,20354,225638,77739,26564,22253,107527,272381,320840,233186,66601,229715,100042150,192198,238205,13052,269784,14186,16206,105827,17968,72333,72431,59290,242384,241568,22329,210801,98752,56741,545370,69675,320027,19268,242050,19289,17082,18595,19876,320747,244682,80749	Malt1,Kirrel1,Il1r2,Pdgfrb,Cntn1,Nectin1,Cadm3,Cdon,Cd3e,Mdga1,Mfap3,Chl1,Kazald1,Lrrn1,Cilp2,Ptprs,Csf1r,Il1rapl2,Papln,Il6ra,Vtcn1,Lrfn3,Bcam,Lrig3,Sdk2,Nptn,Jaml,Musk,Ager,Dcc,Vsig8,F11r,Cadm1,Lrig2,Lrit3,Cntn6,Trio,Fgfr1,Lingo1,Fgfr2,Nrcam,Mdga2,Igsf9b,Fcgr1,Ror1,Unc5b,Kirrel3,Jam2,Lrfn2,Lilra6,Fcgr4,Igfbp7,Adgrf5,Robo2,Nfasc,Sema3f,Kalrn,Neo1,Nrg1,Myom1,Ptprd,Prtg,Hspg2,Mfap3l,Adamtsl3,Kit,Cd101,Gp6,Lsamp,Il12b,Kdr,Mybphl,Myom2,Lrrn2,Robo3,Cadm2,Cd276,Sdk1,Obsl1,Robo4,Hapln4,Ntm,Dscam,Mcam,Vsig10,Igsf11,Ceacam9,Lrrn3,Cadm4,Obscn,Ncam1,Cntn3,Jam3,Psg28,Opcml,Mypn,Fcrl2,Myom3,Vsig2,Ttn,Flt1,Fgfr3,Fstl5,Hepacam,Sema3c,Igfbpl1,Ntrk2,Cilp,Boc,Psg27,Sema4d,Alpk2,Adamtsl1,Ror2,Unc5c,Il1rl2,Lrrc4b,Negr1,Siglecf,Tmigd1,Amigo1,Nrg2,Lrrc4,Lrfn5,Cxadr,Cntn4,Fgfr4,Lrig1,Amigo2,Ncam2,Palld,Ceacam18,Gpa33,Lingo2,Lrrc4c,Vcam1,Unc5d,Fcrla,Igdcc4,Hmcn1,Pxdn,Fstl4,Ptprf,Igsf10,Igdcc3,Il1rl1,Pdgfra,Robo1,Lingo4,Cntn5,Lrfn1
SM00353	HLH	6.88075557862386e-05	-9.58419699658062	110	79	0.014894419306184	5304	9882	84653,15110,21425,17341,320522,17342,11865,15251,17869,15213,11863,94222,71093,11922,21423,11921,17927,18072,18071,207806,20289,56198,17681,15214,11622,17977,17979,59058,11864,11924,79362,22282,20893,83383,17119,21349,17859,12753,114712,20788,15901,20464,15902,15903,208104,13345,272322,17173,17172,17877,17978,17187,17121,17928,22160,234219,20465,18143,18142,22278,21412,21413,50913,18013,18012,20787,18109,140489,16918,21406,50914,17293,17292,27386,21426,17428,53404,13819,15205	Hes7,Hand1,Tfeb,Bhlha15,Bhlha9,Mitf,Bmal1,Hif1a,Myc,Hey1,Arnt,Olig3,Atoh8,Neurod6,Tcf3,Atoh1,Myod1,Nhlh2,Nhlh1,Usf3,Scx,Heyl,Msc,Hey2,Ahr,Ncoa1,Ncoa3,Bhlhe22,Arnt2,Neurog2,Bhlhe41,Usf2,Bhlhe40,Tfap4,Mxd1,Tal1,Mxi1,Clock,Ferd3l,Srebf2,Id1,Sim1,Id2,Id3,Mlxip,Twist2,Bmal2,Ascl2,Ascl1,Myf5,Ncoa2,Max,Mxd3,Myog,Twist1,Helt,Sim2,Npas2,Npas1,Usf1,Tcf21,Tcf4,Olig2,Neurod2,Neurod1,Srebf1,Mycn,Bhlhe23,Mycl,Tcf12,Olig1,Mesp2,Mesp1,Npas3,Tfec,Mnt,Atoh7,Epas1,Hes1
SM00060	FN3	7.73398301939307e-05	-9.4673014673664	149	103	0.0194193061840121	5304	9882	269116,268902,333564,73368,545156,14268,20660,22283,17929,19266,320974,235472,18007,13838,13842,19271,94090,13845,19283,330222,74144,207777,68753,19886,17930,19649,19274,57810,13837,23947,12661,16162,12805,231760,246154,13840,545902,19116,52020,246228,19280,18414,68655,13848,16157,237979,16001,13176,235086,16155,12818,53870,270190,19264,57914,319504,269784,81877,329278,319636,68169,218624,21960,23920,17968,12983,78911,13841,13836,21687,16337,56741,19281,19272,319448,19268,244682,13844,19277,19289,17289,19876,21923,380698,17967,18488,13508,16161,13839,12816,16195,242702,72007,13846,19270,13857,117606,16880,320712,237523,22138,19263,330863	Nfasc,Robo2,Fndc3c1,Col20a1,Kalrn,Fn1,Sorl1,Ush2a,Myom1,Ptprd,Lrrn4,Prtg,Neo1,Epha4,Epha8,Ptprj,Trim9,Ephb3,Ptprz1,Sdk1,Robo4,Tspoap1,Mybphl,Ros1,Myom2,Robo3,Ptprm,Cdon,Epha3,Mid2,Chl1,Il12rb2,Cntn1,Rimbp2,Vasn,Epha6,Ptprh,Prlr,Umodl1,Vwa1,Ptprs,Osmr,Fndc1,Ephb6,Il11ra1,Sdk2,Igf1r,Dcc,Igsf9b,Il10rb,Col14a1,Cntn6,Ephb1,Ptprc,Crlf2,Nrcam,Cntn4,Tnxb,Tnn,Fsd1l,Ndnf,Il31ra,Tnr,Insrr,Ncam2,Csf2rb,Trim42,Epha7,Epha2,Tek,Insr,Igdcc4,Ptprt,Ptprk,Fndc3a,Ptprf,Cntn5,Ephb2,Ptpro,Igdcc3,Mertk,Robo1,Tnc,Obscn,Ncam1,Cntn3,Dscam,Il12rb1,Epha5,Col12a1,Il6st,Myom3,Fndc3b,Ephb4,Ptprg,Epor,Boc,Lifr,Abi3bp,Ptprq,Ttn,Ptprb,Trim67
SM00228	PDZ	0.000100955154683221	-9.20083415276341	148	102	0.0192307692307692	5304	9882	231858,58220,192786,18125,53310,209047,207792,243725,56513,333605,380928,108030,11784,55983,59020,58234,23859,227157,99470,26875,78558,50780,208431,71729,217692,14924,17475,17356,545622,210274,54132,75739,170761,107368,16885,19258,94221,56524,19249,27375,58996,76089,56213,74206,330723,13385,21873,21872,16170,18693,239618,69632,13383,57267,14787,268534,16886,73750,245684,71096,118449,116837,93737,76742,116838,277360,50997,20913,68070,20469,228765,69239,21844,16924,27428,328329,12695,244668,64704,24001,380614,20650,227929,170935,93742,53378,215748,72823,59079,109294,360013,97998,140887,74053,56376,54120,24131,71435,666060,50791,20649,242274	Radil,Pard6b,Rapgef6,Nos1,Dlg3,Gipc3,BC034090,Ppp1r9a,Pard6a,Frmpd4,Lmo7,Lin7a,Apba2,Pdzrn3,Pdzk1,Shank3,Dlg2,Mpp4,Magi3,Pclo,Htra3,Rgs3,Shroom4,Rgs12,Sipa1l1,Magi1,Mpdz,Afdn,Ptpn3,Shank2,Pdlim1,Mpp7,Nherf4,Pdzd8,Limk1,Ptpn4,Gopc,Pals2,Ptpn13,Tjp3,Arhgap23,Rapgef2,Htra1,Sipa1l3,Htra4,Dlg4,Tjp2,Tjp1,Il16,Pick1,Pdzrn4,Arhgef12,Dlg1,Apba3,Rhpn1,Sntg2,Limk2,Whrn,Cnksr2,Sntg1,Synpo2,Rims1,Pard6g,Snx27,Rims2,Prex1,Mpp2,Stxbp4,Pdzd2,Sipa1,Sdcbp2,Pdzph1,Tiam1,Lnx1,Shroom3,Mast4,Patj,Sipa1l2,Htra2,Tiam2,Intu,Sntb2,Cytip,Grid2ip,Pard3,Sdcbp,Cnksr3,Pard3b,Erbin,Prex2,Myo18a,Deptor,Lnx2,Grip1,Pdlim5,Gipc2,Ldb3,Arhgap21,Frmpd1,Magi2,Sntb1,Lrrc7
